team,year,link
BYU Cougars,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=77&stats_player_seq=-100
Ball St. Cardinals,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=47&stats_player_seq=-100
Ball St. Cardinals,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=47&stats_player_seq=-100
Ball St. Cardinals,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=47&stats_player_seq=-100
Ball St. Cardinals,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=47&stats_player_seq=-100
Baylor Bears,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=51&stats_player_seq=-100
Baylor Bears,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=51&stats_player_seq=-100
Baylor Bears,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=51&stats_player_seq=-100
Baylor Bears,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=51&stats_player_seq=-100
Boise St. Broncos,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=66&stats_player_seq=-100
Boise St. Broncos,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=66&stats_player_seq=-100
Boise St. Broncos,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=66&stats_player_seq=-100
Boise St. Broncos,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=66&stats_player_seq=-100
Boston College Eagles,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=67&stats_player_seq=-100
Boston College Eagles,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=67&stats_player_seq=-100
Boston College Eagles,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=67&stats_player_seq=-100
Boston College Eagles,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=67&stats_player_seq=-100
Bowling Green Falcons,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=71&stats_player_seq=-100
Bowling Green Falcons,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=71&stats_player_seq=-100
Bowling Green Falcons,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=71&stats_player_seq=-100
Bowling Green Falcons,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=71&stats_player_seq=-100
Buffalo Bulls,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=86&stats_player_seq=-100
Buffalo Bulls,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=86&stats_player_seq=-100
Buffalo Bulls,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=86&stats_player_seq=-100
Buffalo Bulls,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=86&stats_player_seq=-100
California Golden Bears,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=107&stats_player_seq=-100
California Golden Bears,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=107&stats_player_seq=-100
Central Mich. Chippewas,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=129&stats_player_seq=-100
Charlotte 49ers,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=458&stats_player_seq=-100
Charlotte 49ers,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=458&stats_player_seq=-100
Charlotte 49ers,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=458&stats_player_seq=-100
Cincinnati Bearcats,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=140&stats_player_seq=-100
Cincinnati Bearcats,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=140&stats_player_seq=-100
Cincinnati Bearcats,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=140&stats_player_seq=-100
Cincinnati Bearcats,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=140&stats_player_seq=-100
Clemson Tigers,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=147&stats_player_seq=-100
Clemson Tigers,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=147&stats_player_seq=-100
Clemson Tigers,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=147&stats_player_seq=-100
Clemson Tigers,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=147&stats_player_seq=-100
Coastal Caro. Chanticleers,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=149&stats_player_seq=-100
Colorado Buffaloes,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=157&stats_player_seq=-100
Colorado Buffaloes,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=157&stats_player_seq=-100
Colorado Buffaloes,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=157&stats_player_seq=-100
Colorado Buffaloes,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=157&stats_player_seq=-100
Colorado St. Rams,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=156&stats_player_seq=-100
Colorado St. Rams,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=156&stats_player_seq=-100
