key,link,team,txt,year
history,http://stats.ncaa.org/teams/history/MFB/433,Ole Miss Rebels,Team History,2015
people,http://stats.ncaa.org/people/38512?sport_code=MFB,Ole Miss Rebels,Hugh Freeze,2015
roster,http://stats.ncaa.org/team/433/roster/11980,Ole Miss Rebels,Roster,2015
stats,http://stats.ncaa.org/team/433/stats/11980,Ole Miss Rebels,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/529,Oregon Ducks,Team History,2015
people,http://stats.ncaa.org/people/41683?sport_code=MFB,Oregon Ducks,Mark Helfrich,2015
roster,http://stats.ncaa.org/team/529/roster/11980,Oregon Ducks,Roster,2015
stats,http://stats.ncaa.org/team/529/stats/11980,Oregon Ducks,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/528,Oregon St. Beavers,Team History,2015
people,http://stats.ncaa.org/people/15427?sport_code=MFB,Oregon St. Beavers,Mike Riley,2015
roster,http://stats.ncaa.org/team/528/roster/11980,Oregon St. Beavers,Roster,2015
stats,http://stats.ncaa.org/team/528/stats/11980,Oregon St. Beavers,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/539,Penn St. Nittany Lions,Team History,2015
people,http://stats.ncaa.org/people/38549?sport_code=MFB,Penn St. Nittany Lions,James Franklin,2015
roster,http://stats.ncaa.org/team/539/roster/11980,Penn St. Nittany Lions,Roster,2015
stats,http://stats.ncaa.org/team/539/stats/11980,Penn St. Nittany Lions,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/545,Pittsburgh Panthers,Team History,2015
people,http://stats.ncaa.org/people/25784?sport_code=MFB,Pittsburgh Panthers,Paul Chryst,2015
people,http://stats.ncaa.org/people/44018?sport_code=MFB,Pittsburgh Panthers,Joe Rudolph,2015
roster,http://stats.ncaa.org/team/545/roster/11980,Pittsburgh Panthers,Roster,2015
stats,http://stats.ncaa.org/team/545/stats/11980,Pittsburgh Panthers,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/574,Rice Owls,Team History,2015
people,http://stats.ncaa.org/people/25058?sport_code=MFB,Rice Owls,David Bailiff,2015
roster,http://stats.ncaa.org/team/574/roster/11980,Rice Owls,Roster,2015
stats,http://stats.ncaa.org/team/574/stats/11980,Rice Owls,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/663,SMU Mustangs,Team History,2015
people,http://stats.ncaa.org/people/2054?sport_code=MFB,SMU Mustangs,June Jones,2015
people,http://stats.ncaa.org/people/23463?sport_code=MFB,SMU Mustangs,Tom Mason,2015
roster,http://stats.ncaa.org/team/663/roster/11980,SMU Mustangs,Roster,2015
stats,http://stats.ncaa.org/team/663/stats/11980,SMU Mustangs,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/587,Rutgers Scarlet Knights,Team History,2015
people,http://stats.ncaa.org/people/37122?sport_code=MFB,Rutgers Scarlet Knights,Kyle Flood,2015
roster,http://stats.ncaa.org/team/587/roster/11980,Rutgers Scarlet Knights,Roster,2015
stats,http://stats.ncaa.org/team/587/stats/11980,Rutgers Scarlet Knights,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/626,San Diego St. Aztecs,Team History,2015
people,http://stats.ncaa.org/people/3211?sport_code=MFB,San Diego St. Aztecs,Rocky Long,2015
roster,http://stats.ncaa.org/team/626/roster/11980,San Diego St. Aztecs,Roster,2015
stats,http://stats.ncaa.org/team/626/stats/11980,San Diego St. Aztecs,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/630,San Jose St. Spartans,Team History,2015
people,http://stats.ncaa.org/people/31313?sport_code=MFB,San Jose St. Spartans,Ron Caragher,2015
roster,http://stats.ncaa.org/team/630/roster/11980,San Jose St. Spartans,Roster,2015
stats,http://stats.ncaa.org/team/630/stats/11980,San Jose St. Spartans,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/646,South Ala. Jaguars,Team History,2015
people,http://stats.ncaa.org/people/40974?sport_code=MFB,South Ala. Jaguars,Joey Jones,2015
roster,http://stats.ncaa.org/team/646/roster/11980,South Ala. Jaguars,Roster,2015
stats,http://stats.ncaa.org/team/646/stats/11980,South Ala. Jaguars,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/648,South Carolina Gamecocks,Team History,2015
people,http://stats.ncaa.org/people/3529?sport_code=MFB,South Carolina Gamecocks,Steve Spurrier,2015
roster,http://stats.ncaa.org/team/648/roster/11980,South Carolina Gamecocks,Roster,2015
stats,http://stats.ncaa.org/team/648/stats/11980,South Carolina Gamecocks,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/657,Southern California Trojans,Team History,2015
people,http://stats.ncaa.org/people/35875?sport_code=MFB,Southern California Trojans,Steve Sarkisian,2015
roster,http://stats.ncaa.org/team/657/roster/11980,Southern California Trojans,Roster,2015
stats,http://stats.ncaa.org/team/657/stats/11980,Southern California Trojans,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/664,Southern Miss. Golden Eagles,Team History,2015
people,http://stats.ncaa.org/people/41716?sport_code=MFB,Southern Miss. Golden Eagles,Todd Monken,2015
roster,http://stats.ncaa.org/team/664/roster/11980,Southern Miss. Golden Eagles,Roster,2015
stats,http://stats.ncaa.org/team/664/stats/11980,Southern Miss. Golden Eagles,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/674,Stanford Cardinal,Team History,2015
people,http://stats.ncaa.org/people/38546?sport_code=MFB,Stanford Cardinal,David Shaw,2015
roster,http://stats.ncaa.org/team/674/roster/11980,Stanford Cardinal,Roster,2015
stats,http://stats.ncaa.org/team/674/stats/11980,Stanford Cardinal,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/688,Syracuse Orange,Team History,2015
people,http://stats.ncaa.org/people/41717?sport_code=MFB,Syracuse Orange,Scott Shafer,2015
roster,http://stats.ncaa.org/team/688/roster/11980,Syracuse Orange,Roster,2015
stats,http://stats.ncaa.org/team/688/stats/11980,Syracuse Orange,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/698,TCU Horned Frogs,Team History,2015
people,http://stats.ncaa.org/people/1268?sport_code=MFB,TCU Horned Frogs,Gary Patterson,2015
roster,http://stats.ncaa.org/team/698/roster/11980,TCU Horned Frogs,Roster,2015
stats,http://stats.ncaa.org/team/698/stats/11980,TCU Horned Frogs,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/690,Temple Owls,Team History,2015
people,http://stats.ncaa.org/people/41718?sport_code=MFB,Temple Owls,Matt Rhule,2015
roster,http://stats.ncaa.org/team/690/roster/11980,Temple Owls,Roster,2015
stats,http://stats.ncaa.org/team/690/stats/11980,Temple Owls,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/694,Tennessee Volunteers,Team History,2015
people,http://stats.ncaa.org/people/31752?sport_code=MFB,Tennessee Volunteers,Butch Jones,2015
roster,http://stats.ncaa.org/team/694/roster/11980,Tennessee Volunteers,Roster,2015
stats,http://stats.ncaa.org/team/694/stats/11980,Tennessee Volunteers,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/703,Texas Longhorns,Team History,2015
people,http://stats.ncaa.org/people/25309?sport_code=MFB,Texas Longhorns,Charlie Strong,2015
roster,http://stats.ncaa.org/team/703/roster/11980,Texas Longhorns,Roster,2015
stats,http://stats.ncaa.org/team/703/stats/11980,Texas Longhorns,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/697,Texas A&M Aggies,Team History,2015
people,http://stats.ncaa.org/people/33421?sport_code=MFB,Texas A&M Aggies,Kevin Sumlin,2015
roster,http://stats.ncaa.org/team/697/roster/11980,Texas A&M Aggies,Roster,2015
stats,http://stats.ncaa.org/team/697/stats/11980,Texas A&M Aggies,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/670,Texas St. Bobcats,Team History,2015
people,http://stats.ncaa.org/people/945?sport_code=MFB,Texas St. Bobcats,Dennis Franchione,2015
roster,http://stats.ncaa.org/team/670/roster/11980,Texas St. Bobcats,Roster,2015
stats,http://stats.ncaa.org/team/670/stats/11980,Texas St. Bobcats,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/709,Toledo Rockets,Team History,2015
people,http://stats.ncaa.org/people/22364?sport_code=MFB,Toledo Rockets,Matt Campbell,2015
roster,http://stats.ncaa.org/team/709/roster/11980,Toledo Rockets,Roster,2015
stats,http://stats.ncaa.org/team/709/stats/11980,Toledo Rockets,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/716,Troy Trojans,Team History,2015
people,http://stats.ncaa.org/people/2269?sport_code=MFB,Troy Trojans,Larry Blakeney,2015
roster,http://stats.ncaa.org/team/716/roster/11980,Troy Trojans,Roster,2015
stats,http://stats.ncaa.org/team/716/stats/11980,Troy Trojans,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/718,Tulane Green Wave,Team History,2015
people,http://stats.ncaa.org/people/39897?sport_code=MFB,Tulane Green Wave,Curtis Johnson,2015
roster,http://stats.ncaa.org/team/718/roster/11980,Tulane Green Wave,Roster,2015
stats,http://stats.ncaa.org/team/718/stats/11980,Tulane Green Wave,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/719,Tulsa Golden Hurricane,Team History,2015
people,http://stats.ncaa.org/people/38548?sport_code=MFB,Tulsa Golden Hurricane,Bill Blankenship,2015
roster,http://stats.ncaa.org/team/719/roster/11980,Tulsa Golden Hurricane,Roster,2015
stats,http://stats.ncaa.org/team/719/stats/11980,Tulsa Golden Hurricane,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/128,UCF Knights,Team History,2015
people,http://stats.ncaa.org/people/1312?sport_code=MFB,UCF Knights,George O'Leary,2015
roster,http://stats.ncaa.org/team/128/roster/11980,UCF Knights,Roster,2015
stats,http://stats.ncaa.org/team/128/stats/11980,UCF Knights,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/110,UCLA Bruins,Team History,2015
people,http://stats.ncaa.org/people/13944?sport_code=MFB,UCLA Bruins,Jim L. Mora,2015
roster,http://stats.ncaa.org/team/110/roster/11980,UCLA Bruins,Roster,2015
stats,http://stats.ncaa.org/team/110/stats/11980,UCLA Bruins,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/164,"UConn Huskies, UConn",Team History,2015
people,http://stats.ncaa.org/people/42979?sport_code=MFB,"UConn Huskies, UConn",Bob Diaco,2015
roster,http://stats.ncaa.org/team/164/roster/11980,"UConn Huskies, UConn",Roster,2015
stats,http://stats.ncaa.org/team/164/stats/11980,"UConn Huskies, UConn",Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/465,UNLV Rebels,Team History,2015
people,http://stats.ncaa.org/people/21446?sport_code=MFB,UNLV Rebels,Bobby Hauck,2015
roster,http://stats.ncaa.org/team/465/roster/11980,UNLV Rebels,Roster,2015
stats,http://stats.ncaa.org/team/465/stats/11980,UNLV Rebels,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/704,UTEP Miners,Team History,2015
people,http://stats.ncaa.org/people/41719?sport_code=MFB,UTEP Miners,Sean Kugler,2015
roster,http://stats.ncaa.org/team/704/roster/11980,UTEP Miners,Roster,2015
stats,http://stats.ncaa.org/team/704/stats/11980,UTEP Miners,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/706,UTSA Roadrunners,Team History,2015
people,http://stats.ncaa.org/people/2271?sport_code=MFB,UTSA Roadrunners,Larry Coker,2015
roster,http://stats.ncaa.org/team/706/roster/11980,UTSA Roadrunners,Roster,2015
stats,http://stats.ncaa.org/team/706/stats/11980,UTSA Roadrunners,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/732,Utah Utes,Team History,2015
people,http://stats.ncaa.org/people/25052?sport_code=MFB,Utah Utes,Kyle Whittingham,2015
roster,http://stats.ncaa.org/team/732/roster/11980,Utah Utes,Roster,2015
stats,http://stats.ncaa.org/team/732/stats/11980,Utah Utes,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/731,Utah St. Aggies,Team History,2015
people,http://stats.ncaa.org/people/41685?sport_code=MFB,Utah St. Aggies,Matt Wells,2015
roster,http://stats.ncaa.org/team/731/roster/11980,Utah St. Aggies,Roster,2015
stats,http://stats.ncaa.org/team/731/stats/11980,Utah St. Aggies,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/736,Vanderbilt Commodores,Team History,2015
people,http://stats.ncaa.org/people/42977?sport_code=MFB,Vanderbilt Commodores,Derek Mason,2015
roster,http://stats.ncaa.org/team/736/roster/11980,Vanderbilt Commodores,Roster,2015
stats,http://stats.ncaa.org/team/736/stats/11980,Vanderbilt Commodores,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/746,Virginia Cavaliers,Team History,2015
people,http://stats.ncaa.org/people/33438?sport_code=MFB,Virginia Cavaliers,Mike London,2015
roster,http://stats.ncaa.org/team/746/roster/11980,Virginia Cavaliers,Roster,2015
stats,http://stats.ncaa.org/team/746/stats/11980,Virginia Cavaliers,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/742,Virginia Tech Hokies,Team History,2015
people,http://stats.ncaa.org/people/1190?sport_code=MFB,Virginia Tech Hokies,Frank Beamer,2015
roster,http://stats.ncaa.org/team/742/roster/11980,Virginia Tech Hokies,Roster,2015
stats,http://stats.ncaa.org/team/742/stats/11980,Virginia Tech Hokies,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/749,Wake Forest Demon Deacons,Team History,2015
people,http://stats.ncaa.org/people/807?sport_code=MFB,Wake Forest Demon Deacons,Dave Clawson,2015
roster,http://stats.ncaa.org/team/749/roster/11980,Wake Forest Demon Deacons,Roster,2015
stats,http://stats.ncaa.org/team/749/stats/11980,Wake Forest Demon Deacons,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/756,Washington Huskies,Team History,2015
people,http://stats.ncaa.org/people/27999?sport_code=MFB,Washington Huskies,Chris Petersen,2015
roster,http://stats.ncaa.org/team/756/roster/11980,Washington Huskies,Roster,2015
stats,http://stats.ncaa.org/team/756/stats/11980,Washington Huskies,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/754,Washington St. Cougars,Team History,2015
people,http://stats.ncaa.org/people/2710?sport_code=MFB,Washington St. Cougars,Mike Leach,2015
roster,http://stats.ncaa.org/team/754/roster/11980,Washington St. Cougars,Roster,2015
stats,http://stats.ncaa.org/team/754/stats/11980,Washington St. Cougars,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/768,West Virginia Mountaineers,Team History,2015
people,http://stats.ncaa.org/people/37545?sport_code=MFB,West Virginia Mountaineers,Dana Holgorsen,2015
roster,http://stats.ncaa.org/team/768/roster/11980,West Virginia Mountaineers,Roster,2015
stats,http://stats.ncaa.org/team/768/stats/11980,West Virginia Mountaineers,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/772,Western Ky. Hilltoppers,Team History,2015
people,http://stats.ncaa.org/people/42983?sport_code=MFB,Western Ky. Hilltoppers,Jeff Brohm,2015
roster,http://stats.ncaa.org/team/772/roster/11980,Western Ky. Hilltoppers,Roster,2015
stats,http://stats.ncaa.org/team/772/stats/11980,Western Ky. Hilltoppers,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/774,Western Mich. Broncos,Team History,2015
people,http://stats.ncaa.org/people/41684?sport_code=MFB,Western Mich. Broncos,P.J. Fleck,2015
roster,http://stats.ncaa.org/team/774/roster/11980,Western Mich. Broncos,Roster,2015
stats,http://stats.ncaa.org/team/774/stats/11980,Western Mich. Broncos,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/796,Wisconsin Badgers,Team History,2015
people,http://stats.ncaa.org/people/35874?sport_code=MFB,Wisconsin Badgers,Gary Andersen,2015
people,http://stats.ncaa.org/people/132?sport_code=MFB,Wisconsin Badgers,Barry Alvarez,2015
roster,http://stats.ncaa.org/team/796/roster/11980,Wisconsin Badgers,Roster,2015
stats,http://stats.ncaa.org/team/796/stats/11980,Wisconsin Badgers,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/811,Wyoming Cowboys,Team History,2015
people,http://stats.ncaa.org/people/20685?sport_code=MFB,Wyoming Cowboys,Craig Bohl,2015
roster,http://stats.ncaa.org/team/811/roster/11980,Wyoming Cowboys,Roster,2015
stats,http://stats.ncaa.org/team/811/stats/11980,Wyoming Cowboys,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/721,Air Force Falcons,Team History,2014
people,http://stats.ncaa.org/people/31099?sport_code=MFB,Air Force Falcons,Troy Calhoun,2014
roster,http://stats.ncaa.org/team/721/roster/11520,Air Force Falcons,Roster,2014
stats,http://stats.ncaa.org/team/721/stats/11520,Air Force Falcons,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/5,Akron Zips,Team History,2014
people,http://stats.ncaa.org/people/25564?sport_code=MFB,Akron Zips,Terry Bowden,2014
roster,http://stats.ncaa.org/team/5/roster/11520,Akron Zips,Roster,2014
stats,http://stats.ncaa.org/team/5/stats/11520,Akron Zips,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/8,Alabama Crimson Tide,Team History,2014
people,http://stats.ncaa.org/people/2826?sport_code=MFB,Alabama Crimson Tide,Nick Saban,2014
roster,http://stats.ncaa.org/team/8/roster/11520,Alabama Crimson Tide,Roster,2014
stats,http://stats.ncaa.org/team/8/stats/11520,Alabama Crimson Tide,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/27,Appalachian St. Mountaineers,Team History,2014
people,http://stats.ncaa.org/people/41727?sport_code=MFB,Appalachian St. Mountaineers,Scott Satterfield,2014
roster,http://stats.ncaa.org/team/27/roster/11520,Appalachian St. Mountaineers,Roster,2014
stats,http://stats.ncaa.org/team/27/stats/11520,Appalachian St. Mountaineers,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/29,Arizona Wildcats,Team History,2014
people,http://stats.ncaa.org/people/3089?sport_code=MFB,Arizona Wildcats,Rich Rodriguez,2014
roster,http://stats.ncaa.org/team/29/roster/11520,Arizona Wildcats,Roster,2014
stats,http://stats.ncaa.org/team/29/stats/11520,Arizona Wildcats,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/31,Arkansas Razorbacks,Team History,2014
people,http://stats.ncaa.org/people/28008?sport_code=MFB,Arkansas Razorbacks,Bret Bielema,2014
roster,http://stats.ncaa.org/team/31/roster/11520,Arkansas Razorbacks,Roster,2014
stats,http://stats.ncaa.org/team/31/stats/11520,Arkansas Razorbacks,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/725,Army West Point Black Knights,Team History,2014
people,http://stats.ncaa.org/people/3078?sport_code=MFB,Army West Point Black Knights,Rich Ellerson,2014
roster,http://stats.ncaa.org/team/725/roster/11520,Army West Point Black Knights,Roster,2014
stats,http://stats.ncaa.org/team/725/stats/11520,Army West Point Black Knights,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/37,Auburn Tigers,Team History,2014
people,http://stats.ncaa.org/people/18897?sport_code=MFB,Auburn Tigers,Gus Malzahn,2014
roster,http://stats.ncaa.org/team/37/roster/11520,Auburn Tigers,Roster,2014
stats,http://stats.ncaa.org/team/37/stats/11520,Auburn Tigers,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/77,BYU Cougars,Team History,2014
people,http://stats.ncaa.org/people/24968?sport_code=MFB,BYU Cougars,Bronco Mendenhall,2014
roster,http://stats.ncaa.org/team/77/roster/11520,BYU Cougars,Roster,2014
stats,http://stats.ncaa.org/team/77/stats/11520,BYU Cougars,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/47,Ball St. Cardinals,Team History,2014
people,http://stats.ncaa.org/people/2969?sport_code=MFB,Ball St. Cardinals,Pete Lembo,2014
roster,http://stats.ncaa.org/team/47/roster/11520,Ball St. Cardinals,Roster,2014
stats,http://stats.ncaa.org/team/47/stats/11520,Ball St. Cardinals,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/51,Baylor Bears,Team History,2014
people,http://stats.ncaa.org/people/21351?sport_code=MFB,Baylor Bears,Art Briles,2014
roster,http://stats.ncaa.org/team/51/roster/11520,Baylor Bears,Roster,2014
stats,http://stats.ncaa.org/team/51/stats/11520,Baylor Bears,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/66,Boise St. Broncos,Team History,2014
people,http://stats.ncaa.org/people/27999?sport_code=MFB,Boise St. Broncos,Chris Petersen,2014
people,http://stats.ncaa.org/people/43189?sport_code=MFB,Boise St. Broncos,Bob Gregory,2014
roster,http://stats.ncaa.org/team/66/roster/11520,Boise St. Broncos,Roster,2014
stats,http://stats.ncaa.org/team/66/stats/11520,Boise St. Broncos,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/67,Boston College Eagles,Team History,2014
people,http://stats.ncaa.org/people/38547?sport_code=MFB,Boston College Eagles,Steve Addazio,2014
roster,http://stats.ncaa.org/team/67/roster/11520,Boston College Eagles,Roster,2014
stats,http://stats.ncaa.org/team/67/stats/11520,Boston College Eagles,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/71,Bowling Green Falcons,Team History,2014
people,http://stats.ncaa.org/people/807?sport_code=MFB,Bowling Green Falcons,Dave Clawson,2014
people,http://stats.ncaa.org/people/45735?sport_code=MFB,Bowling Green Falcons,Adam Scheier,2014
roster,http://stats.ncaa.org/team/71/roster/11520,Bowling Green Falcons,Roster,2014
stats,http://stats.ncaa.org/team/71/stats/11520,Bowling Green Falcons,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/86,Buffalo Bulls,Team History,2014
people,http://stats.ncaa.org/people/31016?sport_code=MFB,Buffalo Bulls,Jeff Quinn,2014
roster,http://stats.ncaa.org/team/86/roster/11520,Buffalo Bulls,Roster,2014
stats,http://stats.ncaa.org/team/86/stats/11520,Buffalo Bulls,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/107,California Golden Bears,Team History,2014
people,http://stats.ncaa.org/people/37006?sport_code=MFB,California Golden Bears,Sonny Dykes,2014
roster,http://stats.ncaa.org/team/107/roster/11520,California Golden Bears,Roster,2014
stats,http://stats.ncaa.org/team/107/stats/11520,California Golden Bears,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/140,Cincinnati Bearcats,Team History,2014
people,http://stats.ncaa.org/people/3821?sport_code=MFB,Cincinnati Bearcats,Tommy Tuberville,2014
roster,http://stats.ncaa.org/team/140/roster/11520,Cincinnati Bearcats,Roster,2014
stats,http://stats.ncaa.org/team/140/stats/11520,Cincinnati Bearcats,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/147,Clemson Tigers,Team History,2014
people,http://stats.ncaa.org/people/34932?sport_code=MFB,Clemson Tigers,Dabo Swinney,2014
roster,http://stats.ncaa.org/team/147/roster/11520,Clemson Tigers,Roster,2014
stats,http://stats.ncaa.org/team/147/stats/11520,Clemson Tigers,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/157,Colorado Buffaloes,Team History,2014
people,http://stats.ncaa.org/people/37033?sport_code=MFB,Colorado Buffaloes,Mike MacIntyre,2014
roster,http://stats.ncaa.org/team/157/roster/11520,Colorado Buffaloes,Roster,2014
stats,http://stats.ncaa.org/team/157/stats/11520,Colorado Buffaloes,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/156,Colorado St. Rams,Team History,2014
people,http://stats.ncaa.org/people/40992?sport_code=MFB,Colorado St. Rams,Jim McElwain,2014
roster,http://stats.ncaa.org/team/156/roster/11520,Colorado St. Rams,Roster,2014
stats,http://stats.ncaa.org/team/156/stats/11520,Colorado St. Rams,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/193,Duke Blue Devils,Team History,2014
people,http://stats.ncaa.org/people/856?sport_code=MFB,Duke Blue Devils,David Cutcliffe,2014
roster,http://stats.ncaa.org/team/193/roster/11520,Duke Blue Devils,Roster,2014
stats,http://stats.ncaa.org/team/193/stats/11520,Duke Blue Devils,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/196,East Carolina Pirates,Team History,2014
people,http://stats.ncaa.org/people/36711?sport_code=MFB,East Carolina Pirates,Ruffin McNeill,2014
roster,http://stats.ncaa.org/team/196/roster/11520,East Carolina Pirates,Roster,2014
stats,http://stats.ncaa.org/team/196/stats/11520,East Carolina Pirates,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/204,Eastern Mich. Eagles,Team History,2014
people,http://stats.ncaa.org/people/35864?sport_code=MFB,Eastern Mich. Eagles,Ron English,2014
people,http://stats.ncaa.org/people/27809?sport_code=MFB,Eastern Mich. Eagles,Stan Parrish,2014
roster,http://stats.ncaa.org/team/204/roster/11520,Eastern Mich. Eagles,Roster,2014
stats,http://stats.ncaa.org/team/204/stats/11520,Eastern Mich. Eagles,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/231,FIU Panthers,Team History,2014
people,http://stats.ncaa.org/people/3283?sport_code=MFB,FIU Panthers,Ron Turner,2014
roster,http://stats.ncaa.org/team/231/roster/11520,FIU Panthers,Roster,2014
stats,http://stats.ncaa.org/team/231/stats/11520,FIU Panthers,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/229,Fla. Atlantic Owls,Team History,2014
people,http://stats.ncaa.org/people/39896?sport_code=MFB,Fla. Atlantic Owls,Carl Pelini,2014
people,http://stats.ncaa.org/people/42421?sport_code=MFB,Fla. Atlantic Owls,Brian Wright,2014
roster,http://stats.ncaa.org/team/229/roster/11520,Fla. Atlantic Owls,Roster,2014
stats,http://stats.ncaa.org/team/229/stats/11520,Fla. Atlantic Owls,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/234,Florida St. Seminoles,Team History,2014
people,http://stats.ncaa.org/people/37001?sport_code=MFB,Florida St. Seminoles,Jimbo Fisher,2014
roster,http://stats.ncaa.org/team/234/roster/11520,Florida St. Seminoles,Roster,2014
stats,http://stats.ncaa.org/team/234/stats/11520,Florida St. Seminoles,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/96,Fresno St. Bulldogs,Team History,2014
people,http://stats.ncaa.org/people/40878?sport_code=MFB,Fresno St. Bulldogs,Tim DeRuyter,2014
roster,http://stats.ncaa.org/team/96/roster/11520,Fresno St. Bulldogs,Roster,2014
stats,http://stats.ncaa.org/team/96/stats/11520,Fresno St. Bulldogs,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/253,Ga. Southern Eagles,Team History,2014
people,http://stats.ncaa.org/people/37004?sport_code=MFB,Ga. Southern Eagles,Jeff Monken,2014
roster,http://stats.ncaa.org/team/253/roster/11520,Ga. Southern Eagles,Roster,2014
stats,http://stats.ncaa.org/team/253/stats/11520,Ga. Southern Eagles,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/257,Georgia Bulldogs,Team History,2014
people,http://stats.ncaa.org/people/2504?sport_code=MFB,Georgia Bulldogs,Mark Richt,2014
roster,http://stats.ncaa.org/team/257/roster/11520,Georgia Bulldogs,Roster,2014
stats,http://stats.ncaa.org/team/257/stats/11520,Georgia Bulldogs,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/254,Georgia St. Panthers,Team History,2014
people,http://stats.ncaa.org/people/33449?sport_code=MFB,Georgia St. Panthers,Trent Miles,2014
roster,http://stats.ncaa.org/team/254/roster/11520,Georgia St. Panthers,Roster,2014
stats,http://stats.ncaa.org/team/254/stats/11520,Georgia St. Panthers,Team Statistics,2014
history,http://stats.ncaa.org/teams/history/MFB/277,Hawaii Rainbow Warriors,Team History,2014
people,http://stats.ncaa.org/people/40879?sport_code=MFB,Hawaii Rainbow Warriors,Norm Chow,2014
