key,link,team,txt,year
stats,http://stats.ncaa.org/team/77/stats/11980,BYU Cougars,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/47,Ball St. Cardinals,Team History,2015
people,http://stats.ncaa.org/people/2969?sport_code=MFB,Ball St. Cardinals,Pete Lembo,2015
roster,http://stats.ncaa.org/team/47/roster/11980,Ball St. Cardinals,Roster,2015
stats,http://stats.ncaa.org/team/47/stats/11980,Ball St. Cardinals,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/51,Baylor Bears,Team History,2015
people,http://stats.ncaa.org/people/21351?sport_code=MFB,Baylor Bears,Art Briles,2015
roster,http://stats.ncaa.org/team/51/roster/11980,Baylor Bears,Roster,2015
stats,http://stats.ncaa.org/team/51/stats/11980,Baylor Bears,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/66,Boise St. Broncos,Team History,2015
people,http://stats.ncaa.org/people/41686?sport_code=MFB,Boise St. Broncos,Bryan Harsin,2015
roster,http://stats.ncaa.org/team/66/roster/11980,Boise St. Broncos,Roster,2015
stats,http://stats.ncaa.org/team/66/stats/11980,Boise St. Broncos,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/67,Boston College Eagles,Team History,2015
people,http://stats.ncaa.org/people/38547?sport_code=MFB,Boston College Eagles,Steve Addazio,2015
roster,http://stats.ncaa.org/team/67/roster/11980,Boston College Eagles,Roster,2015
stats,http://stats.ncaa.org/team/67/stats/11980,Boston College Eagles,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/71,Bowling Green Falcons,Team History,2015
people,http://stats.ncaa.org/people/40968?sport_code=MFB,Bowling Green Falcons,Dino Babers,2015
roster,http://stats.ncaa.org/team/71/roster/11980,Bowling Green Falcons,Roster,2015
stats,http://stats.ncaa.org/team/71/stats/11980,Bowling Green Falcons,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/86,Buffalo Bulls,Team History,2015
people,http://stats.ncaa.org/people/31016?sport_code=MFB,Buffalo Bulls,Jeff Quinn,2015
people,http://stats.ncaa.org/people/25587?sport_code=MFB,Buffalo Bulls,Alex Wood,2015
roster,http://stats.ncaa.org/team/86/roster/11980,Buffalo Bulls,Roster,2015
stats,http://stats.ncaa.org/team/86/stats/11980,Buffalo Bulls,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/458,Charlotte 49ers,Team History,2015
people,http://stats.ncaa.org/people/42447?sport_code=MFB,Charlotte 49ers,Brad Lambert,2015
roster,http://stats.ncaa.org/team/458/roster/11980,Charlotte 49ers,Roster,2015
stats,http://stats.ncaa.org/team/458/stats/11980,Charlotte 49ers,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/140,Cincinnati Bearcats,Team History,2015
people,http://stats.ncaa.org/people/3821?sport_code=MFB,Cincinnati Bearcats,Tommy Tuberville,2015
roster,http://stats.ncaa.org/team/140/roster/11980,Cincinnati Bearcats,Roster,2015
stats,http://stats.ncaa.org/team/140/stats/11980,Cincinnati Bearcats,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/147,Clemson Tigers,Team History,2015
people,http://stats.ncaa.org/people/34932?sport_code=MFB,Clemson Tigers,Dabo Swinney,2015
roster,http://stats.ncaa.org/team/147/roster/11980,Clemson Tigers,Roster,2015
stats,http://stats.ncaa.org/team/147/stats/11980,Clemson Tigers,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/157,Colorado Buffaloes,Team History,2015
people,http://stats.ncaa.org/people/37033?sport_code=MFB,Colorado Buffaloes,Mike MacIntyre,2015
roster,http://stats.ncaa.org/team/157/roster/11980,Colorado Buffaloes,Roster,2015
stats,http://stats.ncaa.org/team/157/stats/11980,Colorado Buffaloes,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/156,Colorado St. Rams,Team History,2015
people,http://stats.ncaa.org/people/40992?sport_code=MFB,Colorado St. Rams,Jim McElwain,2015
people,http://stats.ncaa.org/people/25177?sport_code=MFB,Colorado St. Rams,Dave Baldwin,2015
roster,http://stats.ncaa.org/team/156/roster/11980,Colorado St. Rams,Roster,2015
stats,http://stats.ncaa.org/team/156/stats/11980,Colorado St. Rams,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/193,Duke Blue Devils,Team History,2015
people,http://stats.ncaa.org/people/856?sport_code=MFB,Duke Blue Devils,David Cutcliffe,2015
roster,http://stats.ncaa.org/team/193/roster/11980,Duke Blue Devils,Roster,2015
stats,http://stats.ncaa.org/team/193/stats/11980,Duke Blue Devils,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/196,East Carolina Pirates,Team History,2015
people,http://stats.ncaa.org/people/36711?sport_code=MFB,East Carolina Pirates,Ruffin McNeill,2015
roster,http://stats.ncaa.org/team/196/roster/11980,East Carolina Pirates,Roster,2015
stats,http://stats.ncaa.org/team/196/stats/11980,East Carolina Pirates,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/204,Eastern Mich. Eagles,Team History,2015
people,http://stats.ncaa.org/people/617?sport_code=MFB,Eastern Mich. Eagles,Chris Creighton,2015
roster,http://stats.ncaa.org/team/204/roster/11980,Eastern Mich. Eagles,Roster,2015
stats,http://stats.ncaa.org/team/204/stats/11980,Eastern Mich. Eagles,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/231,FIU Panthers,Team History,2015
people,http://stats.ncaa.org/people/3283?sport_code=MFB,FIU Panthers,Ron Turner,2015
roster,http://stats.ncaa.org/team/231/roster/11980,FIU Panthers,Roster,2015
stats,http://stats.ncaa.org/team/231/stats/11980,FIU Panthers,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/229,Fla. Atlantic Owls,Team History,2015
people,http://stats.ncaa.org/people/42982?sport_code=MFB,Fla. Atlantic Owls,Charlie Partridge,2015
roster,http://stats.ncaa.org/team/229/roster/11980,Fla. Atlantic Owls,Roster,2015
stats,http://stats.ncaa.org/team/229/stats/11980,Fla. Atlantic Owls,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/235,Florida Gators,Team History,2015
people,http://stats.ncaa.org/people/38515?sport_code=MFB,Florida Gators,Will Muschamp,2015
people,http://stats.ncaa.org/people/44008?sport_code=MFB,Florida Gators,D.J. Durkin,2015
roster,http://stats.ncaa.org/team/235/roster/11980,Florida Gators,Roster,2015
stats,http://stats.ncaa.org/team/235/stats/11980,Florida Gators,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/234,Florida St. Seminoles,Team History,2015
people,http://stats.ncaa.org/people/37001?sport_code=MFB,Florida St. Seminoles,Jimbo Fisher,2015
roster,http://stats.ncaa.org/team/234/roster/11980,Florida St. Seminoles,Roster,2015
stats,http://stats.ncaa.org/team/234/stats/11980,Florida St. Seminoles,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/96,Fresno St. Bulldogs,Team History,2015
people,http://stats.ncaa.org/people/40878?sport_code=MFB,Fresno St. Bulldogs,Tim DeRuyter,2015
roster,http://stats.ncaa.org/team/96/roster/11980,Fresno St. Bulldogs,Roster,2015
stats,http://stats.ncaa.org/team/96/stats/11980,Fresno St. Bulldogs,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/253,Ga. Southern Eagles,Team History,2015
people,http://stats.ncaa.org/people/3953?sport_code=MFB,Ga. Southern Eagles,Willie Fritz,2015
roster,http://stats.ncaa.org/team/253/roster/11980,Ga. Southern Eagles,Roster,2015
stats,http://stats.ncaa.org/team/253/stats/11980,Ga. Southern Eagles,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/257,Georgia Bulldogs,Team History,2015
people,http://stats.ncaa.org/people/2504?sport_code=MFB,Georgia Bulldogs,Mark Richt,2015
roster,http://stats.ncaa.org/team/257/roster/11980,Georgia Bulldogs,Roster,2015
stats,http://stats.ncaa.org/team/257/stats/11980,Georgia Bulldogs,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/254,Georgia St. Panthers,Team History,2015
people,http://stats.ncaa.org/people/33449?sport_code=MFB,Georgia St. Panthers,Trent Miles,2015
roster,http://stats.ncaa.org/team/254/roster/11980,Georgia St. Panthers,Roster,2015
stats,http://stats.ncaa.org/team/254/stats/11980,Georgia St. Panthers,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/255,Georgia Tech Yellow Jackets,Team History,2015
people,http://stats.ncaa.org/people/2926?sport_code=MFB,Georgia Tech Yellow Jackets,Paul Johnson,2015
roster,http://stats.ncaa.org/team/255/roster/11980,Georgia Tech Yellow Jackets,Roster,2015
stats,http://stats.ncaa.org/team/255/stats/11980,Georgia Tech Yellow Jackets,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/277,Hawaii Rainbow Warriors,Team History,2015
people,http://stats.ncaa.org/people/40879?sport_code=MFB,Hawaii Rainbow Warriors,Norm Chow,2015
roster,http://stats.ncaa.org/team/277/roster/11980,Hawaii Rainbow Warriors,Roster,2015
stats,http://stats.ncaa.org/team/277/stats/11980,Hawaii Rainbow Warriors,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/288,Houston Cougars,Team History,2015
