team,link,txt,key,year
Clemson Tigers,http://stats.ncaa.org/teams/history/MFB/147,Team History,history,2014
Clemson Tigers,http://stats.ncaa.org/people/34932?sport_code=MFB,Dabo Swinney,people,2014
Clemson Tigers,http://stats.ncaa.org/team/147/roster/11520,Roster,roster,2014
Clemson Tigers,http://stats.ncaa.org/team/147/stats/11520,Team Statistics,stats,2014
Colorado  Buffaloes,http://stats.ncaa.org/teams/history/MFB/157,Team History,history,2014
Colorado  Buffaloes,http://stats.ncaa.org/people/37033?sport_code=MFB,Mike MacIntyre,people,2014
Colorado  Buffaloes,http://stats.ncaa.org/team/157/roster/11520,Roster,roster,2014
Colorado  Buffaloes,http://stats.ncaa.org/team/157/stats/11520,Team Statistics,stats,2014
Colorado St. Rams,http://stats.ncaa.org/teams/history/MFB/156,Team History,history,2014
Colorado St. Rams,http://stats.ncaa.org/people/40992?sport_code=MFB,Jim McElwain,people,2014
Colorado St. Rams,http://stats.ncaa.org/team/156/roster/11520,Roster,roster,2014
Colorado St. Rams,http://stats.ncaa.org/team/156/stats/11520,Team Statistics,stats,2014
Duke Blue Devils,http://stats.ncaa.org/teams/history/MFB/193,Team History,history,2014
Duke Blue Devils,http://stats.ncaa.org/people/856?sport_code=MFB,David Cutcliffe,people,2014
Duke Blue Devils,http://stats.ncaa.org/team/193/roster/11520,Roster,roster,2014
Duke Blue Devils,http://stats.ncaa.org/team/193/stats/11520,Team Statistics,stats,2014
East Carolina Pirates,http://stats.ncaa.org/teams/history/MFB/196,Team History,history,2014
East Carolina Pirates,http://stats.ncaa.org/people/36711?sport_code=MFB,Ruffin McNeill,people,2014
East Carolina Pirates,http://stats.ncaa.org/team/196/roster/11520,Roster,roster,2014
East Carolina Pirates,http://stats.ncaa.org/team/196/stats/11520,Team Statistics,stats,2014
Eastern Mich. Eagles,http://stats.ncaa.org/teams/history/MFB/204,Team History,history,2014
Eastern Mich. Eagles,http://stats.ncaa.org/people/35864?sport_code=MFB,Ron English,people,2014
Eastern Mich. Eagles,http://stats.ncaa.org/people/27809?sport_code=MFB,Stan Parrish,people,2014
Eastern Mich. Eagles,http://stats.ncaa.org/team/204/roster/11520,Roster,roster,2014
Eastern Mich. Eagles,http://stats.ncaa.org/team/204/stats/11520,Team Statistics,stats,2014
FIU Panthers,http://stats.ncaa.org/teams/history/MFB/231,Team History,history,2014
FIU Panthers,http://stats.ncaa.org/people/3283?sport_code=MFB,Ron Turner,people,2014
FIU Panthers,http://stats.ncaa.org/team/231/roster/11520,Roster,roster,2014
FIU Panthers,http://stats.ncaa.org/team/231/stats/11520,Team Statistics,stats,2014
Fla. Atlantic Owls,http://stats.ncaa.org/teams/history/MFB/229,Team History,history,2014
Fla. Atlantic Owls,http://stats.ncaa.org/people/39896?sport_code=MFB,Carl Pelini,people,2014
Fla. Atlantic Owls,http://stats.ncaa.org/people/42421?sport_code=MFB,Brian Wright,people,2014
Fla. Atlantic Owls,http://stats.ncaa.org/team/229/roster/11520,Roster,roster,2014
Fla. Atlantic Owls,http://stats.ncaa.org/team/229/stats/11520,Team Statistics,stats,2014
Florida St. Seminoles,http://stats.ncaa.org/teams/history/MFB/234,Team History,history,2014
Florida St. Seminoles,http://stats.ncaa.org/people/37001?sport_code=MFB,Jimbo Fisher,people,2014
Florida St. Seminoles,http://stats.ncaa.org/team/234/roster/11520,Roster,roster,2014
Florida St. Seminoles,http://stats.ncaa.org/team/234/stats/11520,Team Statistics,stats,2014
Fresno St. Bulldogs,http://stats.ncaa.org/teams/history/MFB/96,Team History,history,2014
Fresno St. Bulldogs,http://stats.ncaa.org/people/40878?sport_code=MFB,Tim DeRuyter,people,2014
Fresno St. Bulldogs,http://stats.ncaa.org/team/96/roster/11520,Roster,roster,2014
