Date,Opponent,Result,G,FGM,FGA,FGBlocksAllowed,LongFGM,Team,OffenseDefense
11/23/2013,@ Eastern Mich.,W 58 - 7,1/,nan,nan,nan,nan,Bowling Green Falcons,Defense
11/29/2013,@ Buffalo,W 24 - 7,1/,1,1,nan,40,Bowling Green Falcons,Offense
11/29/2013,@ Buffalo,W 24 - 7,1/,nan,nan,nan,nan,Bowling Green Falcons,Defense
12/06/2013,"Northern Ill. @ Detroit, Mich.",W 47 - 27,1/,2,3,nan,52/,Bowling Green Falcons,Offense
12/06/2013,"Northern Ill. @ Detroit, Mich.",W 47 - 27,1/,2,4,nan,51,Bowling Green Falcons,Defense
12/26/2013,"Pittsburgh @ Detroit, Mich.",L 27 - 30,1/,2,2,nan,46,Bowling Green Falcons,Offense
12/26/2013,"Pittsburgh @ Detroit, Mich.",L 27 - 30,1/,3,4,nan,39,Bowling Green Falcons,Defense
08/30/2014,@ Massachusetts,W 30 - 7,1/,3,4,nan,44,Boston College Eagles,Offense
08/30/2014,@ Massachusetts,W 30 - 7,1/,nan,1,nan,nan,Boston College Eagles,Defense
09/05/2014,Pittsburgh,L 20 - 30,1/,nan,1,nan,nan,Boston College Eagles,Offense
09/05/2014,Pittsburgh,L 20 - 30,1/,3,3,nan,49,Boston College Eagles,Defense
09/13/2014,Southern California,W 37 - 31,1/,1,2,nan,25,Boston College Eagles,Offense
09/13/2014,Southern California,W 37 - 31,1/,1,1,nan,52,Boston College Eagles,Defense
09/20/2014,Maine,W 40 - 10,1/,2,2,nan,40,Boston College Eagles,Offense
09/20/2014,Maine,W 40 - 10,1/,1,1,nan,24,Boston College Eagles,Defense
09/27/2014,Colorado St.,L 21 - 24,1/,nan,1,nan,nan,Boston College Eagles,Offense
09/27/2014,Colorado St.,L 21 - 24,1/,1,1,nan,33,Boston College Eagles,Defense
10/11/2014,@ NC State,W 30 - 14,1/,1,2,nan,28,Boston College Eagles,Offense
10/11/2014,@ NC State,W 30 - 14,1/,nan,1,nan,nan,Boston College Eagles,Defense
10/18/2014,Clemson,L 13 - 17,1/,nan,nan,nan,nan,Boston College Eagles,Offense
10/18/2014,Clemson,L 13 - 17,1/,1,1,nan,23,Boston College Eagles,Defense
10/25/2014,@ Wake Forest,W 23 - 17,1/,1,1,nan,30,Boston College Eagles,Offense
10/25/2014,@ Wake Forest,W 23 - 17,1/,1,1,nan,28,Boston College Eagles,Defense
11/01/2014,@ Virginia Tech,W 33 - 31,1/,2,2,nan,44,Boston College Eagles,Offense
11/01/2014,@ Virginia Tech,W 33 - 31,1/,1,2,1/,27,Boston College Eagles,Defense
11/08/2014,Louisville,L 19 - 38,1/,nan,nan,nan,nan,Boston College Eagles,Offense
11/08/2014,Louisville,L 19 - 38,1/,1,1,nan,23,Boston College Eagles,Defense
11/22/2014,@ Florida St.,L 17 - 20,1/,1,2,nan,40,Boston College Eagles,Offense
11/22/2014,@ Florida St.,L 17 - 20,1/,2,3,nan,37,Boston College Eagles,Defense
11/29/2014,Syracuse,W 28 - 7,1/,nan,1,nan,nan,Boston College Eagles,Offense
11/29/2014,Syracuse,W 28 - 7,1/,nan,nan,nan,nan,Boston College Eagles,Defense
12/27/2014,@ Penn St.,L 30 - 31 (1OT),1/,1,1,nan,20,Boston College Eagles,Offense
12/27/2014,@ Penn St.,L 30 - 31 (1OT),1/,1,1,nan,45,Boston College Eagles,Defense
09/05/2015,Maine,W 24 - 3,1/,1,2,nan,31,Boston College Eagles,Offense
09/05/2015,Maine,W 24 - 3,1/,1,1,nan,39,Boston College Eagles,Defense
09/12/2015,Howard,W 76 - 0,1/,nan,nan,nan,nan,Boston College Eagles,Offense
09/12/2015,Howard,W 76 - 0,1/,nan,nan,nan,nan,Boston College Eagles,Defense
09/18/2015,Florida St.,L 0 - 14,1/,nan,nan,nan,nan,Boston College Eagles,Offense
09/18/2015,Florida St.,L 0 - 14,1/,nan,1,nan,nan,Boston College Eagles,Defense
09/26/2015,Northern Ill.,W 17 - 14,1/,1,1,nan,25,Boston College Eagles,Offense
09/26/2015,Northern Ill.,W 17 - 14,1/,nan,1,nan,nan,Boston College Eagles,Defense
10/03/2015,@ Duke,L 7 - 9,1/,nan,1,nan,nan,Boston College Eagles,Offense
10/03/2015,@ Duke,L 7 - 9,1/,3,3,nan,53,Boston College Eagles,Defense
10/10/2015,Wake Forest,L 0 - 3,1/,nan,2,nan,nan,Boston College Eagles,Offense
10/10/2015,Wake Forest,L 0 - 3,1/,1,2,nan,25,Boston College Eagles,Defense
10/17/2015,@ Clemson,L 17 - 34,1/,1,1,nan,21,Boston College Eagles,Offense
10/17/2015,@ Clemson,L 17 - 34,1/,2,2,nan,42,Boston College Eagles,Defense
10/24/2015,@ Louisville,L 14 - 17,1/,nan,nan,nan,nan,Boston College Eagles,Offense
10/24/2015,@ Louisville,L 14 - 17,1/,1,1,nan,34,Boston College Eagles,Defense
10/31/2015,Virginia Tech,L 10 - 26,1/,1,2,nan,29,Boston College Eagles,Offense
10/31/2015,Virginia Tech,L 10 - 26,1/,4,4,nan,47,Boston College Eagles,Defense
11/07/2015,NC State,L 8 - 24,1/,nan,nan,nan,nan,Boston College Eagles,Offense
11/07/2015,NC State,L 8 - 24,1/,1,1,nan,37,Boston College Eagles,Defense
11/21/2015,"Notre Dame @ Boston, Mass.",L 16 - 19,1/,1,1,nan,43,Boston College Eagles,Offense
11/21/2015,"Notre Dame @ Boston, Mass.",L 16 - 19,1/,2,2,nan,35,Boston College Eagles,Defense
11/28/2015,@ Syracuse,L 17 - 20,1/,1,1,nan,43,Boston College Eagles,Offense
11/28/2015,@ Syracuse,L 17 - 20,1/,2,2,nan,49,Boston College Eagles,Defense
08/31/2013,Villanova,W 24 - 14,1/,1,1,nan,39,Boston College Eagles,Offense
08/31/2013,Villanova,W 24 - 14,1/,nan,nan,nan,nan,Boston College Eagles,Defense
09/06/2013,Wake Forest,W 24 - 10,1/,1,1,nan,33,Boston College Eagles,Offense
09/06/2013,Wake Forest,W 24 - 10,1/,1,1,nan,26,Boston College Eagles,Defense
09/14/2013,@ Southern California,L 7 - 35,1/,nan,nan,nan,nan,Boston College Eagles,Offense
09/14/2013,@ Southern California,L 7 - 35,1/,nan,nan,nan,nan,Boston College Eagles,Defense
09/28/2013,Florida St.,L 34 - 48,1/,2,2,nan,24,Boston College Eagles,Offense
09/28/2013,Florida St.,L 34 - 48,1/,2,2,nan,40,Boston College Eagles,Defense
10/05/2013,Army West Point,W 48 - 27,1/,2,2,nan,49,Boston College Eagles,Offense
10/05/2013,Army West Point,W 48 - 27,1/,2,2,nan,40,Boston College Eagles,Defense
10/12/2013,@ Clemson,L 14 - 24,1/,nan,nan,nan,nan,Boston College Eagles,Offense
10/12/2013,@ Clemson,L 14 - 24,1/,1,2,nan,35,Boston College Eagles,Defense
10/26/2013,@ North Carolina,L 10 - 34,1/,1,1,nan,38,Boston College Eagles,Offense
10/26/2013,@ North Carolina,L 10 - 34,1/,nan,nan,nan,nan,Boston College Eagles,Defense
11/02/2013,Virginia Tech,W 34 - 27,1/,2,2,nan,43,Boston College Eagles,Offense
11/02/2013,Virginia Tech,W 34 - 27,1/,2,2,nan,56/,Boston College Eagles,Defense
11/09/2013,@ New Mexico St.,W 48 - 34,1/,2,2,nan,51,Boston College Eagles,Offense
11/09/2013,@ New Mexico St.,W 48 - 34,1/,2,2,nan,43,Boston College Eagles,Defense
11/16/2013,NC State,W 38 - 21,1/,3,3,nan,41,Boston College Eagles,Offense
11/16/2013,NC State,W 38 - 21,1/,nan,nan,nan,nan,Boston College Eagles,Defense
11/23/2013,@ Maryland,W 29 - 26,1/,3,3,nan,52,Boston College Eagles,Offense
11/23/2013,@ Maryland,W 29 - 26,1/,1,1,nan,43,Boston College Eagles,Defense
11/30/2013,@ Syracuse,L 31 - 34,1/,1,1,nan,21,Boston College Eagles,Offense
11/30/2013,@ Syracuse,L 31 - 34,1/,2,3,nan,44,Boston College Eagles,Defense
12/31/2013,"Arizona @ Shreveport, La.",L 19 - 42,1/,2,2,nan,41,Boston College Eagles,Offense
12/31/2013,"Arizona @ Shreveport, La.",L 19 - 42,1/,nan,nan,nan,nan,Boston College Eagles,Defense
09/03/2016,"Georgia Tech @ Dublin, Ireland",L 14 - 17,1/,nan,2,1/,nan,Boston College Eagles,Offense
09/03/2016,"Georgia Tech @ Dublin, Ireland",L 14 - 17,1/,1,1,nan,40,Boston College Eagles,Defense
09/10/2016,@ Massachusetts,W 26 - 7,1/,2,2,nan,40,Boston College Eagles,Offense
09/10/2016,@ Massachusetts,W 26 - 7,1/,nan,nan,nan,nan,Boston College Eagles,Defense
09/17/2016,@ Virginia Tech,L 0 - 49,1/,nan,nan,nan,nan,Boston College Eagles,Offense
09/17/2016,@ Virginia Tech,L 0 - 49,1/,nan,nan,nan,nan,Boston College Eagles,Defense
09/24/2016,Wagner,W 42 - 10,1/,nan,nan,nan,nan,Boston College Eagles,Offense
09/24/2016,Wagner,W 42 - 10,1/,1,1,nan,34,Boston College Eagles,Defense
10/01/2016,Buffalo,W 35 - 3,1/,nan,nan,nan,nan,Boston College Eagles,Offense
10/01/2016,Buffalo,W 35 - 3,1/,1,1,nan,28,Boston College Eagles,Defense
10/07/2016,Clemson,L 10 - 56,1/,1,1,nan,21,Boston College Eagles,Offense
10/07/2016,Clemson,L 10 - 56,1/,nan,nan,nan,nan,Boston College Eagles,Defense
10/22/2016,Syracuse,L 20 - 28,1/,2,2,nan,39,Boston College Eagles,Offense
10/22/2016,Syracuse,L 20 - 28,1/,nan,1,nan,nan,Boston College Eagles,Defense
10/29/2016,@ NC State,W 21 - 14,1/,2,3,1/,29,Boston College Eagles,Offense
10/29/2016,@ NC State,W 21 - 14,1/,nan,nan,nan,nan,Boston College Eagles,Defense
11/05/2016,Louisville,L 7 - 52,1/,nan,nan,nan,nan,Boston College Eagles,Offense
11/05/2016,Louisville,L 7 - 52,1/,1,2,nan,26,Boston College Eagles,Defense
11/11/2016,@ Florida St.,L 7 - 45,1/,nan,nan,nan,nan,Boston College Eagles,Offense
11/11/2016,@ Florida St.,L 7 - 45,1/,1,1,nan,53,Boston College Eagles,Defense
11/19/2016,UConn,W 30 - 0,1/,3,3,nan,39,Boston College Eagles,Offense
11/19/2016,UConn,W 30 - 0,1/,nan,nan,nan,nan,Boston College Eagles,Defense
11/26/2016,@ Wake Forest,W 17 - 14,1/,1,1,nan,22,Boston College Eagles,Offense
11/26/2016,@ Wake Forest,W 17 - 14,1/,nan,2,nan,nan,Boston College Eagles,Defense
12/26/2016,"Maryland @ Detroit, MI",W 36 - 30,1/,1,2,nan,22,Boston College Eagles,Offense
12/26/2016,"Maryland @ Detroit, MI",W 36 - 30,1/,1,1,nan,23,Boston College Eagles,Defense
09/03/2016,@ Louisiana,W 45 - 10,1/,1,2,nan,30,Boise St. Broncos,Offense
09/03/2016,@ Louisiana,W 45 - 10,1/,1,2,nan,44,Boise St. Broncos,Defense
09/10/2016,Washington St.,W 31 - 28,1/,1,1,nan,31,Boise St. Broncos,Offense
09/10/2016,Washington St.,W 31 - 28,1/,nan,1,1/,nan,Boise St. Broncos,Defense
09/24/2016,@ Oregon St.,W 38 - 24,1/,1,1,nan,29,Boise St. Broncos,Offense
09/24/2016,@ Oregon St.,W 38 - 24,1/,1,2,nan,41,Boise St. Broncos,Defense
10/01/2016,Utah St.,W 21 - 10,1/,nan,nan,nan,nan,Boise St. Broncos,Offense
10/01/2016,Utah St.,W 21 - 10,1/,1,2,nan,28,Boise St. Broncos,Defense
10/07/2016,@ New Mexico,W 49 - 21,1/,nan,nan,nan,nan,Boise St. Broncos,Offense
10/07/2016,@ New Mexico,W 49 - 21,1/,nan,nan,nan,nan,Boise St. Broncos,Defense
10/15/2016,Colorado St.,W 28 - 23,1/,nan,nan,nan,nan,Boise St. Broncos,Offense
10/15/2016,Colorado St.,W 28 - 23,1/,1,1,nan,39,Boise St. Broncos,Defense
10/20/2016,BYU,W 28 - 27,1/,nan,2,1/,nan,Boise St. Broncos,Offense
10/20/2016,BYU,W 28 - 27,1/,2,3,1/,37,Boise St. Broncos,Defense
10/29/2016,@ Wyoming,L 28 - 30,1/,nan,nan,nan,nan,Boise St. Broncos,Offense
10/29/2016,@ Wyoming,L 28 - 30,1/,2,2,nan,40,Boise St. Broncos,Defense
11/04/2016,San Jose St.,W 45 - 31,1/,1,1,nan,34,Boise St. Broncos,Offense
11/04/2016,San Jose St.,W 45 - 31,1/,3,3,nan,39,Boise St. Broncos,Defense
11/12/2016,@ Hawaii,W 52 - 16,1/,1,1,nan,38,Boise St. Broncos,Offense
11/12/2016,@ Hawaii,W 52 - 16,1/,3,3,nan,35,Boise St. Broncos,Defense
11/18/2016,UNLV,W 42 - 25,1/,nan,1,nan,nan,Boise St. Broncos,Offense
11/18/2016,UNLV,W 42 - 25,1/,1,1,nan,21,Boise St. Broncos,Defense
11/25/2016,@ Air Force,L 20 - 27,1/,2,2,nan,31,Boise St. Broncos,Offense
11/25/2016,@ Air Force,L 20 - 27,1/,2,2,nan,36,Boise St. Broncos,Defense
12/27/2016,"Baylor @ Phoenix, AZ",L 12 - 31,1/,2,2,nan,26,Boise St. Broncos,Offense
12/27/2016,"Baylor @ Phoenix, AZ",L 12 - 31,1/,1,1,nan,34,Boise St. Broncos,Defense
08/31/2013,@ Washington,L 6 - 38,1/,2,3,1/,37,Boise St. Broncos,Offense
08/31/2013,@ Washington,L 6 - 38,1/,1,1,nan,30,Boise St. Broncos,Defense
09/07/2013,UT Martin,W 63 - 14,1/,nan,nan,nan,nan,Boise St. Broncos,Offense
09/07/2013,UT Martin,W 63 - 14,1/,nan,nan,nan,nan,Boise St. Broncos,Defense
09/13/2013,Air Force,W 42 - 20,1/,nan,nan,nan,nan,Boise St. Broncos,Offense
09/13/2013,Air Force,W 42 - 20,1/,2,2,nan,33,Boise St. Broncos,Defense
09/20/2013,@ Fresno St.,L 40 - 41,1/,2,2,nan,32,Boise St. Broncos,Offense
09/20/2013,@ Fresno St.,L 40 - 41,1/,2,2,nan,28,Boise St. Broncos,Defense
09/28/2013,Southern Miss.,W 60 - 7,1/,2,2,nan,33,Boise St. Broncos,Offense
09/28/2013,Southern Miss.,W 60 - 7,1/,nan,2,2/,nan,Boise St. Broncos,Defense
10/12/2013,@ Utah St.,W 34 - 23,1/,2,2,nan,39,Boise St. Broncos,Offense
10/12/2013,@ Utah St.,W 34 - 23,1/,1,2,1/,33,Boise St. Broncos,Defense
10/19/2013,Nevada,W 34 - 17,1/,nan,nan,nan,nan,Boise St. Broncos,Offense
10/19/2013,Nevada,W 34 - 17,1/,1,1,nan,33,Boise St. Broncos,Defense
10/25/2013,@ BYU,L 20 - 37,1/,2,2,nan,34,Boise St. Broncos,Offense
10/25/2013,@ BYU,L 20 - 37,1/,3,4,nan,41,Boise St. Broncos,Defense
11/02/2013,@ Colorado St.,W 42 - 30,1/,nan,nan,nan,nan,Boise St. Broncos,Offense
11/02/2013,@ Colorado St.,W 42 - 30,1/,1,2,nan,29,Boise St. Broncos,Defense
11/16/2013,Wyoming,W 48 - 7,1/,2,2,nan,47,Boise St. Broncos,Offense
11/16/2013,Wyoming,W 48 - 7,1/,nan,nan,nan,nan,Boise St. Broncos,Defense
11/23/2013,@ San Diego St.,L 31 - 34 (1OT),1/,1,2,nan,35,Boise St. Broncos,Offense
11/23/2013,@ San Diego St.,L 31 - 34 (1OT),1/,nan,nan,nan,nan,Boise St. Broncos,Defense
11/30/2013,New Mexico,W 45 - 17,1/,1,1,nan,23,Boise St. Broncos,Offense
11/30/2013,New Mexico,W 45 - 17,1/,1,1,nan,42,Boise St. Broncos,Defense
12/24/2013,"Oregon St. @ Honolulu, O'ahu",L 23 - 38,1/,3,3,nan,42,Boise St. Broncos,Offense
12/24/2013,"Oregon St. @ Honolulu, O'ahu",L 23 - 38,1/,1,1,nan,27,Boise St. Broncos,Defense
08/31/2013,Georgia,W 38 - 35,1/,1,1,nan,24,Clemson Tigers,Offense
08/31/2013,Georgia,W 38 - 35,1/,nan,nan,nan,nan,Clemson Tigers,Defense
09/07/2013,South Carolina St.,W 52 - 13,1/,1,1,nan,38,Clemson Tigers,Offense
09/07/2013,South Carolina St.,W 52 - 13,1/,nan,nan,nan,nan,Clemson Tigers,Defense
09/19/2013,@ NC State,W 26 - 14,1/,2,2,nan,49,Clemson Tigers,Offense
09/19/2013,@ NC State,W 26 - 14,1/,nan,1,nan,nan,Clemson Tigers,Defense
09/28/2013,Wake Forest,W 56 - 7,1/,nan,nan,nan,nan,Clemson Tigers,Offense
09/28/2013,Wake Forest,W 56 - 7,1/,nan,nan,nan,nan,Clemson Tigers,Defense
10/05/2013,@ Syracuse,W 49 - 14,1/,nan,nan,nan,nan,Clemson Tigers,Offense
10/05/2013,@ Syracuse,W 49 - 14,1/,nan,1,nan,nan,Clemson Tigers,Defense
10/12/2013,Boston College,W 24 - 14,1/,1,2,nan,35,Clemson Tigers,Offense
10/12/2013,Boston College,W 24 - 14,1/,nan,nan,nan,nan,Clemson Tigers,Defense
10/19/2013,Florida St.,L 14 - 51,1/,nan,nan,nan,nan,Clemson Tigers,Offense
10/19/2013,Florida St.,L 14 - 51,1/,3,3,nan,28,Clemson Tigers,Defense
10/26/2013,@ Maryland,W 40 - 27,1/,4/,4,nan,31,Clemson Tigers,Offense
10/26/2013,@ Maryland,W 40 - 27,1/,2,2,nan,41,Clemson Tigers,Defense
11/02/2013,@ Virginia,W 59 - 10,1/,1,2,nan,41,Clemson Tigers,Offense
11/02/2013,@ Virginia,W 59 - 10,1/,1,1,nan,40,Clemson Tigers,Defense
11/14/2013,Georgia Tech,W 55 - 31,1/,2,2,nan,51,Clemson Tigers,Offense
11/14/2013,Georgia Tech,W 55 - 31,1/,1,1,nan,33,Clemson Tigers,Defense
11/23/2013,The Citadel,W 52 - 6,1/,1,1,nan,32,Clemson Tigers,Offense
11/23/2013,The Citadel,W 52 - 6,1/,2,2,nan,42,Clemson Tigers,Defense
11/30/2013,@ South Carolina,L 17 - 31,1/,1,1,nan,38,Clemson Tigers,Offense
11/30/2013,@ South Carolina,L 17 - 31,1/,1,1,nan,21,Clemson Tigers,Defense
01/03/2014,"Ohio St. @ Miami Gardens, FL",W 40 - 35,1/,nan,nan,nan,nan,Clemson Tigers,Offense
01/03/2014,"Ohio St. @ Miami Gardens, FL",W 40 - 35,1/,nan,nan,nan,nan,Clemson Tigers,Defense
09/01/2013,"Colorado St. @ Denver, Colo.",W 41 - 27,1/,4/,4,nan,52,Colorado Buffaloes,Offense
09/01/2013,"Colorado St. @ Denver, Colo.",W 41 - 27,1/,2,2,nan,39,Colorado Buffaloes,Defense
09/07/2013,Central Ark.,W 38 - 24,1/,1,2,nan,31,Colorado Buffaloes,Offense
09/07/2013,Central Ark.,W 38 - 24,1/,1,1,nan,28,Colorado Buffaloes,Defense
09/28/2013,@ Oregon St.,L 17 - 44,1/,1,1,nan,19,Colorado Buffaloes,Offense
09/28/2013,@ Oregon St.,L 17 - 44,1/,1,2,nan,36,Colorado Buffaloes,Defense
10/05/2013,Oregon,L 16 - 57,1/,3,3,nan,33,Colorado Buffaloes,Offense
10/05/2013,Oregon,L 16 - 57,1/,nan,nan,nan,nan,Colorado Buffaloes,Defense
10/12/2013,@ Arizona St.,L 13 - 54,1/,nan,nan,nan,nan,Colorado Buffaloes,Offense
10/12/2013,@ Arizona St.,L 13 - 54,1/,3,3,nan,41,Colorado Buffaloes,Defense
10/19/2013,Charleston So.,W 43 - 10,1/,nan,nan,nan,nan,Colorado Buffaloes,Offense
10/19/2013,Charleston So.,W 43 - 10,1/,1,1,nan,33,Colorado Buffaloes,Defense
10/26/2013,Arizona,L 20 - 44,1/,2,3,nan,53/,Colorado Buffaloes,Offense
10/26/2013,Arizona,L 20 - 44,1/,3,3,nan,37,Colorado Buffaloes,Defense
11/02/2013,@ UCLA,L 23 - 45,1/,3,5/,nan,47,Colorado Buffaloes,Offense
11/02/2013,@ UCLA,L 23 - 45,1/,1,2,nan,45,Colorado Buffaloes,Defense
11/09/2013,@ Washington,L 7 - 59,1/,nan,2,nan,nan,Colorado Buffaloes,Offense
11/09/2013,@ Washington,L 7 - 59,1/,1,1,nan,27,Colorado Buffaloes,Defense
11/16/2013,California,W 41 - 24,1/,2,3,nan,27,Colorado Buffaloes,Offense
11/16/2013,California,W 41 - 24,1/,1,1,nan,42,Colorado Buffaloes,Defense
11/23/2013,Southern California,L 29 - 47,1/,nan,nan,nan,nan,Colorado Buffaloes,Offense
11/23/2013,Southern California,L 29 - 47,1/,1,1,nan,39,Colorado Buffaloes,Defense
11/30/2013,@ Utah,L 17 - 24,1/,1,1,nan,19,Colorado Buffaloes,Offense
11/30/2013,@ Utah,L 17 - 24,1/,1,1,nan,46,Colorado Buffaloes,Defense
08/29/2014,"Colorado St. @ Denver, Colorado",L 17 - 31,1/,1,2,nan,23,Colorado Buffaloes,Offense
08/29/2014,"Colorado St. @ Denver, Colorado",L 17 - 31,1/,1,1,nan,52,Colorado Buffaloes,Defense
09/06/2014,@ Massachusetts,W 41 - 38,1/,2,2,nan,47,Colorado Buffaloes,Offense
09/06/2014,@ Massachusetts,W 41 - 38,1/,1,1,nan,34,Colorado Buffaloes,Defense
09/13/2014,Arizona St.,L 24 - 38,1/,1,1,nan,27,Colorado Buffaloes,Offense
09/13/2014,Arizona St.,L 24 - 38,1/,1,1,nan,31,Colorado Buffaloes,Defense
09/20/2014,Hawaii,W 21 - 12,1/,nan,nan,nan,nan,Colorado Buffaloes,Offense
09/20/2014,Hawaii,W 21 - 12,1/,4/,4,nan,41,Colorado Buffaloes,Defense
09/27/2014,@ California,L 56 - 59 (2OT),1/,nan,3,nan,nan,Colorado Buffaloes,Offense
09/27/2014,@ California,L 56 - 59 (2OT),1/,1,2,nan,34,Colorado Buffaloes,Defense
10/04/2014,Oregon St.,L 31 - 36,1/,1,1,nan,44,Colorado Buffaloes,Offense
10/04/2014,Oregon St.,L 31 - 36,1/,3,3,nan,47,Colorado Buffaloes,Defense
10/18/2014,@ Southern California,L 28 - 56,1/,nan,nan,nan,nan,Colorado Buffaloes,Offense
10/18/2014,@ Southern California,L 28 - 56,1/,nan,nan,nan,nan,Colorado Buffaloes,Defense
10/25/2014,UCLA,L 37 - 40 (2OT),1/,3,3,nan,38,Colorado Buffaloes,Offense
10/25/2014,UCLA,L 37 - 40 (2OT),1/,2,2,nan,31,Colorado Buffaloes,Defense
11/01/2014,Washington,L 23 - 38,1/,3,3,nan,49,Colorado Buffaloes,Offense
11/01/2014,Washington,L 23 - 38,1/,1,1,nan,35,Colorado Buffaloes,Defense
11/08/2014,@ Arizona,L 20 - 38,1/,2,2,nan,33,Colorado Buffaloes,Offense
11/08/2014,@ Arizona,L 20 - 38,1/,1,1,nan,37,Colorado Buffaloes,Defense
11/22/2014,@ Oregon,L 10 - 44,1/,1,2,nan,23,Colorado Buffaloes,Offense
11/22/2014,@ Oregon,L 10 - 44,1/,1,1,nan,25,Colorado Buffaloes,Defense
11/29/2014,Utah,L 34 - 38,1/,2,2,nan,46,Colorado Buffaloes,Offense
11/29/2014,Utah,L 34 - 38,1/,2,2,nan,41,Colorado Buffaloes,Defense
09/03/2015,@ Hawaii,L 20 - 28,1/,2,2,nan,40,Colorado Buffaloes,Offense
09/03/2015,@ Hawaii,L 20 - 28,1/,2,2,nan,34,Colorado Buffaloes,Defense
09/12/2015,Massachusetts,W 48 - 14,1/,2,2,nan,31,Colorado Buffaloes,Offense
09/12/2015,Massachusetts,W 48 - 14,1/,nan,nan,nan,nan,Colorado Buffaloes,Defense
09/19/2015,"Colorado St. @ Denver, Colo.",W 27 - 24 (1OT),1/,2,4,1/,52,Colorado Buffaloes,Offense
09/19/2015,"Colorado St. @ Denver, Colo.",W 27 - 24 (1OT),1/,1,4,1,24,Colorado Buffaloes,Defense
09/26/2015,Nicholls St.,W 48 - 0,1/,2,3,nan,46,Colorado Buffaloes,Offense
09/26/2015,Nicholls St.,W 48 - 0,1/,nan,nan,nan,nan,Colorado Buffaloes,Defense
10/03/2015,Oregon,L 24 - 41,1/,1,1,nan,52,Colorado Buffaloes,Offense
10/03/2015,Oregon,L 24 - 41,1/,2,2,nan,39,Colorado Buffaloes,Defense
10/10/2015,@ Arizona St.,L 23 - 48,1/,1,1,nan,27,Colorado Buffaloes,Offense
10/10/2015,@ Arizona St.,L 23 - 48,1/,2,2,nan,26,Colorado Buffaloes,Defense
10/17/2015,Arizona,L 31 - 38,1/,1,2,nan,20,Colorado Buffaloes,Offense
10/17/2015,Arizona,L 31 - 38,1/,1,2,nan,48,Colorado Buffaloes,Defense
10/24/2015,@ Oregon St.,W 17 - 13,1/,1,2,nan,21,Colorado Buffaloes,Offense
10/24/2015,@ Oregon St.,W 17 - 13,1/,2,3,nan,42,Colorado Buffaloes,Defense
10/31/2015,@ UCLA,L 31 - 35,1/,3,4,nan,45,Colorado Buffaloes,Offense
10/31/2015,@ UCLA,L 31 - 35,1/,nan,nan,nan,nan,Colorado Buffaloes,Defense
11/07/2015,Stanford,L 10 - 42,1/,1,2,nan,29,Colorado Buffaloes,Offense
11/07/2015,Stanford,L 10 - 42,1/,nan,nan,nan,nan,Colorado Buffaloes,Defense
11/13/2015,Southern California,L 24 - 27,1/,1,2,1/,28,Colorado Buffaloes,Offense
11/13/2015,Southern California,L 24 - 27,1/,2,2,nan,41,Colorado Buffaloes,Defense
11/21/2015,@ Washington St.,L 3 - 27,1/,1,3,nan,24,Colorado Buffaloes,Offense
11/21/2015,@ Washington St.,L 3 - 27,1/,2,3,nan,37,Colorado Buffaloes,Defense
11/28/2015,@ Utah,L 14 - 20,1/,nan,1,1/,nan,Colorado Buffaloes,Offense
11/28/2015,@ Utah,L 14 - 20,1/,2,2,nan,37,Colorado Buffaloes,Defense
09/02/2016,"Colorado St. @ Denver, Colo.",W 44 - 7,1/,3,3,nan,30,Colorado Buffaloes,Offense
09/02/2016,"Colorado St. @ Denver, Colo.",W 44 - 7,1/,nan,nan,nan,nan,Colorado Buffaloes,Defense
09/10/2016,Idaho St.,W 56 - 7,1/,nan,1,nan,nan,Colorado Buffaloes,Offense
09/10/2016,Idaho St.,W 56 - 7,1/,nan,nan,nan,nan,Colorado Buffaloes,Defense
09/17/2016,@ Michigan,L 28 - 45,1/,nan,1,nan,nan,Colorado Buffaloes,Offense
09/17/2016,@ Michigan,L 28 - 45,1/,1,3,nan,39,Colorado Buffaloes,Defense
09/24/2016,@ Oregon,W 41 - 38,1/,2,2,nan,33,Colorado Buffaloes,Offense
09/24/2016,@ Oregon,W 41 - 38,1/,1,1,nan,41,Colorado Buffaloes,Defense
10/01/2016,Oregon St.,W 47 - 6,1/,2,2,nan,54,Colorado Buffaloes,Offense
10/01/2016,Oregon St.,W 47 - 6,1/,2,2,nan,40,Colorado Buffaloes,Defense
10/08/2016,@ Southern California,L 17 - 21,1/,1,1,nan,42,Colorado Buffaloes,Offense
10/08/2016,@ Southern California,L 17 - 21,1/,nan,nan,nan,nan,Colorado Buffaloes,Defense
10/15/2016,Arizona St.,W 40 - 16,1/,2,3,nan,36,Colorado Buffaloes,Offense
10/15/2016,Arizona St.,W 40 - 16,1/,3,3,nan,59/,Colorado Buffaloes,Defense
10/22/2016,@ Stanford,W 10 - 5,1/,1,4,nan,22,Colorado Buffaloes,Offense
10/22/2016,@ Stanford,W 10 - 5,1/,1,1,nan,26,Colorado Buffaloes,Defense
11/03/2016,UCLA,W 20 - 10,1/,2,3,1/,37,Colorado Buffaloes,Offense
11/03/2016,UCLA,W 20 - 10,1/,1,4,1/,48,Colorado Buffaloes,Defense
11/12/2016,@ Arizona,W 49 - 24,1/,nan,nan,nan,nan,Colorado Buffaloes,Offense
