Date,Opponent,Result,G,FGM,FGA,FGBlocksAllowed,LongFGM,Team,OffenseDefense
09/28/2013,Charleston So.,L 24 - 27,1/,2,2,nan,32,Appalachian St. Mountaineers,Defense
10/05/2013,@ The Citadel,L 28 - 31 (1OT),1/,nan,nan,nan,nan,Appalachian St. Mountaineers,Offense
10/05/2013,@ The Citadel,L 28 - 31 (1OT),1/,1,1,nan,35,Appalachian St. Mountaineers,Defense
10/12/2013,Samford,L 10 - 34,1/,1,1,nan,38,Appalachian St. Mountaineers,Offense
10/12/2013,Samford,L 10 - 34,1/,2,2,nan,30,Appalachian St. Mountaineers,Defense
10/19/2013,@ Furman,L 10 - 27,1/,1,1,nan,37,Appalachian St. Mountaineers,Offense
10/19/2013,@ Furman,L 10 - 27,1/,2,3,nan,50/,Appalachian St. Mountaineers,Defense
10/26/2013,Ga. Southern,W 38 - 14,1/,1,2,1/,41,Appalachian St. Mountaineers,Offense
10/26/2013,Ga. Southern,W 38 - 14,1/,nan,nan,nan,nan,Appalachian St. Mountaineers,Defense
11/02/2013,Chattanooga,L 28 - 35,1/,nan,nan,nan,nan,Appalachian St. Mountaineers,Offense
11/02/2013,Chattanooga,L 28 - 35,1/,nan,nan,nan,nan,Appalachian St. Mountaineers,Defense
11/09/2013,@ Georgia,L 6 - 45,1/,2,4,1/,49,Appalachian St. Mountaineers,Offense
11/09/2013,@ Georgia,L 6 - 45,1/,1,1,nan,42,Appalachian St. Mountaineers,Defense
11/16/2013,@ Wofford,W 33 - 21,1/,2,2,nan,30,Appalachian St. Mountaineers,Offense
11/16/2013,@ Wofford,W 33 - 21,1/,nan,1,nan,nan,Appalachian St. Mountaineers,Defense
11/23/2013,Western Caro.,W 48 - 27,1/,2,2,nan,48,Appalachian St. Mountaineers,Offense
11/23/2013,Western Caro.,W 48 - 27,1/,nan,nan,nan,nan,Appalachian St. Mountaineers,Defense
09/01/2016,@ Tennessee,L 13 - 20 (1OT),1/,nan,1,nan,nan,Appalachian St. Mountaineers,Offense
09/01/2016,@ Tennessee,L 13 - 20 (1OT),1/,2,2,nan,39,Appalachian St. Mountaineers,Defense
09/10/2016,Old Dominion,W 31 - 7,1/,1,1,nan,20,Appalachian St. Mountaineers,Offense
09/10/2016,Old Dominion,W 31 - 7,1/,nan,nan,nan,nan,Appalachian St. Mountaineers,Defense
09/17/2016,Miami (FL),L 10 - 45,1/,1,2,nan,31,Appalachian St. Mountaineers,Offense
09/17/2016,Miami (FL),L 10 - 45,1/,1,1,nan,44,Appalachian St. Mountaineers,Defense
09/24/2016,@ Akron,W 45 - 38,1/,1,1,nan,34,Appalachian St. Mountaineers,Offense
09/24/2016,@ Akron,W 45 - 38,1/,1,1,nan,26,Appalachian St. Mountaineers,Defense
10/01/2016,Georgia St.,W 17 - 3,1/,1,3,nan,42,Appalachian St. Mountaineers,Offense
10/01/2016,Georgia St.,W 17 - 3,1/,1,2,nan,43,Appalachian St. Mountaineers,Defense
10/12/2016,@ Louisiana,W 24 - 0,1/,1,1,nan,21,Appalachian St. Mountaineers,Offense
10/12/2016,@ Louisiana,W 24 - 0,1/,nan,2,nan,nan,Appalachian St. Mountaineers,Defense
10/22/2016,Idaho,W 37 - 19,1/,3,3,nan,28,Appalachian St. Mountaineers,Offense
10/22/2016,Idaho,W 37 - 19,1/,4/,4/,nan,46,Appalachian St. Mountaineers,Defense
10/27/2016,@ Ga. Southern,W 34 - 10,1/,2,3,1/,32,Appalachian St. Mountaineers,Offense
10/27/2016,@ Ga. Southern,W 34 - 10,1/,1,1,nan,32,Appalachian St. Mountaineers,Defense
11/05/2016,Texas St.,W 35 - 10,1/,nan,nan,nan,nan,Appalachian St. Mountaineers,Offense
11/05/2016,Texas St.,W 35 - 10,1/,1,1,nan,25,Appalachian St. Mountaineers,Defense
11/12/2016,@ Troy,L 24 - 28,1/,1,1,nan,47,Appalachian St. Mountaineers,Offense
11/12/2016,@ Troy,L 24 - 28,1/,nan,1,nan,nan,Appalachian St. Mountaineers,Defense
