Year,Team,GP,G,RushNetYards,TOP,PassYards,Plays,TotOff,YdsPlay,RushingFirstDowns,PassingFirstDowns,FirstDownsbyPenalty,Penalties,PenaltiesPerGame,PenaltyYards,PenaltyYdsPerGame,TotalOffYardsG,OffenseDefense
2017-18,Purdue,12,12,1811,20644,2874,845,4685,0.00,103,129,23,70,5.83,608,50.67,390.42,Offense
2017-18,Purdue,0,12,1600,22556,2851,857,4451,5.19,83,126,22,84,7.00,731,60.92,370.92,Defensive
2013-14,Pittsburgh,13,13,1634,400:17,3074,853,4708,0.00,95,141,14,75,5.77,605,46.54,362.15,Offense
2013-14,Pittsburgh,0,13,1937,379:43,2841,865,4778,5.52,105,119,19,72,5.54,651,50.08,367.54,Defensive
2014-15,Pittsburgh,13,13,3243,439:38,2417,918,5660,0.00,182,107,19,83,6.38,695,53.46,403.54,Offense
2014-15,Pittsburgh,0,13,2091,340:22,2586,837,4677,5.59,118,112,16,78,6.00,634,48.77,338.54,Defensive
2015-16,Pittsburgh,13,13,2429,412:14,2478,852,4907,0.00,124,116,14,65,5.00,530,40.77,377.46,Offense
2015-16,Pittsburgh,0,13,1930,367:46,2791,829,4721,5.69,107,111,16,62,4.77,526,40.46,363.15,Defensive
2016-17,Pittsburgh,13,13,2926,401:33,2882,866,5808,0.00,128,115,23,74,5.69,647,49.77,446.77,Offense
2016-17,Pittsburgh,0,13,1555,378:27,4331,985,5886,5.98,87,193,23,82,82.00,703,703.00,5886.00,Defensive
2017-18,Pittsburgh,12,12,1782,389:33,2612,822,4394,0.00,107,116,13,46,3.83,458,38.17,366.17,Offense
2017-18,Pittsburgh,0,12,1709,330:27,3050,798,4759,5.96,90,131,17,57,4.75,461,38.42,396.58,Defensive
2013-14,Pittsburgh,13,13,1634,24017,3074,853,4708,0.00,95,141,14,75,5.77,605,46.54,362.15,Offense
2013-14,Pittsburgh,0,13,1937,22783,2841,865,4778,5.52,105,119,19,72,5.54,651,50.08,367.54,Defensive
2014-15,Pittsburgh,13,13,3243,26378,2417,918,5660,0.00,182,107,19,83,6.38,695,53.46,403.54,Offense
2014-15,Pittsburgh,0,13,2091,20422,2586,837,4677,5.59,118,112,16,78,6.00,634,48.77,338.54,Defensive
2015-16,Pittsburgh,13,13,2429,24734,2478,852,4907,0.00,124,116,14,65,5.00,530,40.77,377.46,Offense
2015-16,Pittsburgh,0,13,1930,22066,2791,829,4721,5.69,107,111,16,62,4.77,526,40.46,363.15,Defensive
2016-17,Pittsburgh,13,13,2926,24093,2882,866,5808,0.00,128,115,23,74,5.69,647,49.77,446.77,Offense
2016-17,Pittsburgh,0,13,1555,22707,4331,985,5886,5.98,87,193,23,82,82.00,703,703.00,5886.00,Defensive
2017-18,Pittsburgh,12,12,1782,23373,2612,822,4394,0.00,107,116,13,46,3.83,458,38.17,366.17,Offense
2017-18,Pittsburgh,0,12,1709,19827,3050,798,4759,5.96,90,131,17,57,4.75,461,38.42,396.58,Defensive
2013-14,Pittsburgh,13,13,1634,24017,3074,853,4708,0.00,95,141,14,75,5.77,605,46.54,362.15,Offense
2013-14,Pittsburgh,0,13,1937,22783,2841,865,4778,5.52,105,119,19,72,5.54,651,50.08,367.54,Defensive
2014-15,Pittsburgh,13,13,3243,26378,2417,918,5660,0.00,182,107,19,83,6.38,695,53.46,403.54,Offense
2014-15,Pittsburgh,0,13,2091,20422,2586,837,4677,5.59,118,112,16,78,6.00,634,48.77,338.54,Defensive
2015-16,Pittsburgh,13,13,2429,24734,2478,852,4907,0.00,124,116,14,65,5.00,530,40.77,377.46,Offense
2015-16,Pittsburgh,0,13,1930,22066,2791,829,4721,5.69,107,111,16,62,4.77,526,40.46,363.15,Defensive
2016-17,Pittsburgh,13,13,2926,24093,2882,866,5808,0.00,128,115,23,74,5.69,647,49.77,446.77,Offense
2016-17,Pittsburgh,0,13,1555,22707,4331,985,5886,5.98,87,193,23,82,82.00,703,703.00,5886.00,Defensive
2017-18,Pittsburgh,12,12,1782,23373,2612,822,4394,0.00,107,116,13,46,3.83,458,38.17,366.17,Offense
2017-18,Pittsburgh,0,12,1709,19827,3050,798,4759,5.96,90,131,17,57,4.75,461,38.42,396.58,Defensive
2013-14,Pittsburgh,13,13,1634,24017,3074,853,4708,0.00,95,141,14,75,5.77,605,46.54,362.15,Offense
2013-14,Pittsburgh,0,13,1937,22783,2841,865,4778,5.52,105,119,19,72,5.54,651,50.08,367.54,Defensive
2014-15,Pittsburgh,13,13,3243,26378,2417,918,5660,0.00,182,107,19,83,6.38,695,53.46,403.54,Offense
2014-15,Pittsburgh,0,13,2091,20422,2586,837,4677,5.59,118,112,16,78,6.00,634,48.77,338.54,Defensive
2015-16,Pittsburgh,13,13,2429,24734,2478,852,4907,0.00,124,116,14,65,5.00,530,40.77,377.46,Offense
2015-16,Pittsburgh,0,13,1930,22066,2791,829,4721,5.69,107,111,16,62,4.77,526,40.46,363.15,Defensive
2016-17,Pittsburgh,13,13,2926,24093,2882,866,5808,0.00,128,115,23,74,5.69,647,49.77,446.77,Offense
2016-17,Pittsburgh,0,13,1555,22707,4331,985,5886,5.98,87,193,23,82,82.00,703,703.00,5886.00,Defensive
2017-18,Pittsburgh,12,12,1782,23373,2612,822,4394,0.00,107,116,13,46,3.83,458,38.17,366.17,Offense
2017-18,Pittsburgh,0,12,1709,19827,3050,798,4759,5.96,90,131,17,57,4.75,461,38.42,396.58,Defensive
2013-14,Penn St.,12,12,2088,21595,3110,910,5198,0.00,112,133,25,55,4.58,403,33.58,391.42,Offense
2013-14,Penn St.,0,12,1728,21605,2848,864,4576,5.30,86,140,7,72,6.00,638,53.17,359.33,Defensive
2014-15,Penn St.,13,13,1325,24382,3034,948,4359,0.00,84,137,28,75,5.77,600,46.15,246.46,Offense
