Year,Team,GP,G,RushNetYards,TOP,PassYards,Plays,TotOff,YdsPlay,RushingFirstDowns,PassingFirstDowns,FirstDownsbyPenalty,Penalties,PenaltiesPerGame,PenaltyYards,PenaltyYdsPerGame,TotalOffYardsG,OffenseDefense
2015-16,Boise St.,13,13,2488,24823,4032,1079,6520,0.00,128,188,28,82,6.31,691,53.15,475.62,Offense
2015-16,Boise St.,0,13,1407,21977,2731,851,4138,4.86,71,110,25,93,7.15,787,60.54,304.54,Defensive
2016-17,Boise St.,13,13,2268,21857,3878,899,6146,0.00,115,167,18,56,4.31,491,37.77,472.77,Offense
2016-17,Boise St.,0,13,2298,24943,2769,975,5067,5.20,144,120,14,99,99.00,801,801.00,5067.00,Defensive
2017-18,Boise St.,13,13,1897,24056,3308,891,5205,0.00,101,148,19,78,6.00,650,50.00,400.38,Offense
2017-18,Boise St.,0,13,1636,22744,2741,901,4377,4.86,95,124,17,52,4.00,490,37.69,336.69,Defensive
2013-14,Boise St.,13,13,2578,22145,3610,1029,6188,0.00,135,171,21,54,4.15,489,37.62,476.00,Offense
2013-14,Boise St.,0,13,2134,24655,3240,1023,5374,5.25,128,150,17,74,5.69,618,47.54,413.38,Defensive
2014-15,Boise St.,14,14,2994,26423,3926,1060,6920,0.00,148,173,17,92,6.57,801,57.21,446.00,Offense
2014-15,Boise St.,0,14,1996,23977,3260,1004,5256,5.24,90,148,20,76,5.43,622,44.43,342.43,Defensive
2015-16,Boise St.,13,13,2488,24823,4032,1079,6520,0.00,128,188,28,82,6.31,691,53.15,475.62,Offense
2015-16,Boise St.,0,13,1407,21977,2731,851,4138,4.86,71,110,25,93,7.15,787,60.54,304.54,Defensive
2016-17,Boise St.,13,13,2268,21857,3878,899,6146,0.00,115,167,18,56,4.31,491,37.77,472.77,Offense
2016-17,Boise St.,0,13,2298,24943,2769,975,5067,5.20,144,120,14,99,99.00,801,801.00,5067.00,Defensive
2017-18,Boise St.,13,13,1897,24056,3308,891,5205,0.00,101,148,19,78,6.00,650,50.00,400.38,Offense
2017-18,Boise St.,0,13,1636,22744,2741,901,4377,4.86,95,124,17,52,4.00,490,37.69,336.69,Defensive
2013-14,Baylor,13,13,3376,21281,4668,1074,8044,0.00,174,179,19,120,9.23,1070,82.31,618.77,Offense
2013-14,Baylor,0,13,1890,25519,2794,986,4684,4.75,98,109,35,80,6.15,707,54.38,360.31,Defensive
2014-15,Baylor,13,13,2802,22630,4757,1138,7559,0.00,171,193,27,127,9.77,1149,88.38,581.46,Offense
2014-15,Baylor,0,13,1530,24170,3434,941,4964,5.28,85,128,43,89,6.85,866,66.62,381.85,Defensive
2015-16,Baylor,13,13,4247,21733,3764,1103,8011,0.00,220,144,19,118,9.08,1043,80.23,616.23,Offense
2015-16,Baylor,0,13,2120,25067,3035,994,5155,5.19,119,126,29,102,7.85,840,64.62,396.54,Defensive
2016-17,Baylor,13,13,3143,21071,3652,1108,6795,0.00,174,141,14,129,9.92,1068,82.15,522.69,Offense
2016-17,Baylor,0,13,2609,25729,2992,1032,5601,5.43,133,128,29,77,5.92,622,47.85,430.85,Defensive
2017-18,Baylor,12,12,1407,21459,3452,876,4859,0.00,80,137,22,88,7.33,671,55.92,404.92,Offense
2017-18,Baylor,0,12,2279,21741,3204,849,5483,6.46,124,125,15,79,6.58,787,65.58,456.92,Defensive
2013-14,Baylor,13,13,3376,354:41,4668,1074,8044,0.00,174,179,19,120,9.23,1070,82.31,618.77,Offense
2013-14,Baylor,0,13,1890,425:19,2794,986,4684,4.75,98,109,35,80,6.15,707,54.38,360.31,Defensive
2014-15,Baylor,13,13,2802,377:10,4757,1138,7559,0.00,171,193,27,127,9.77,1149,88.38,581.46,Offense
2014-15,Baylor,0,13,1530,402:50,3434,941,4964,5.28,85,128,43,89,6.85,866,66.62,381.85,Defensive
2015-16,Baylor,13,13,4247,362:13,3764,1103,8011,0.00,220,144,19,118,9.08,1043,80.23,616.23,Offense
2015-16,Baylor,0,13,2120,417:47,3035,994,5155,5.19,119,126,29,102,7.85,840,64.62,396.54,Defensive
2016-17,Baylor,13,13,3143,351:11,3652,1108,6795,0.00,174,141,14,129,9.92,1068,82.15,522.69,Offense
2016-17,Baylor,0,13,2609,428:49,2992,1032,5601,5.43,133,128,29,77,5.92,622,47.85,430.85,Defensive
2017-18,Baylor,12,12,1407,357:39,3452,876,4859,0.00,80,137,22,88,7.33,671,55.92,404.92,Offense
2017-18,Baylor,0,12,2279,362:21,3204,849,5483,6.46,124,125,15,79,6.58,787,65.58,456.92,Defensive
2013-14,Baylor,13,13,3376,21281,4668,1074,8044,0.00,174,179,19,120,9.23,1070,82.31,618.77,Offense
2013-14,Baylor,0,13,1890,25519,2794,986,4684,4.75,98,109,35,80,6.15,707,54.38,360.31,Defensive
2014-15,Baylor,13,13,2802,22630,4757,1138,7559,0.00,171,193,27,127,9.77,1149,88.38,581.46,Offense
2014-15,Baylor,0,13,1530,24170,3434,941,4964,5.28,85,128,43,89,6.85,866,66.62,381.85,Defensive
2015-16,Baylor,13,13,4247,21733,3764,1103,8011,0.00,220,144,19,118,9.08,1043,80.23,616.23,Offense
2015-16,Baylor,0,13,2120,25067,3035,994,5155,5.19,119,126,29,102,7.85,840,64.62,396.54,Defensive
2016-17,Baylor,13,13,3143,21071,3652,1108,6795,0.00,174,141,14,129,9.92,1068,82.15,522.69,Offense
2016-17,Baylor,0,13,2609,25729,2992,1032,5601,5.43,133,128,29,77,5.92,622,47.85,430.85,Defensive
2017-18,Baylor,12,12,1407,21459,3452,876,4859,0.00,80,137,22,88,7.33,671,55.92,404.92,Offense
2017-18,Baylor,0,12,2279,21741,3204,849,5483,6.46,124,125,15,79,6.58,787,65.58,456.92,Defensive
2013-14,Baylor,13,13,3376,21281,4668,1074,8044,0.00,174,179,19,120,9.23,1070,82.31,618.77,Offense
2013-14,Baylor,0,13,1890,25519,2794,986,4684,4.75,98,109,35,80,6.15,707,54.38,360.31,Defensive
2014-15,Baylor,13,13,2802,22630,4757,1138,7559,0.00,171,193,27,127,9.77,1149,88.38,581.46,Offense
2014-15,Baylor,0,13,1530,24170,3434,941,4964,5.28,85,128,43,89,6.85,866,66.62,381.85,Defensive
2015-16,Baylor,13,13,4247,21733,3764,1103,8011,0.00,220,144,19,118,9.08,1043,80.23,616.23,Offense
2015-16,Baylor,0,13,2120,25067,3035,994,5155,5.19,119,126,29,102,7.85,840,64.62,396.54,Defensive
2016-17,Baylor,13,13,3143,21071,3652,1108,6795,0.00,174,141,14,129,9.92,1068,82.15,522.69,Offense
2016-17,Baylor,0,13,2609,25729,2992,1032,5601,5.43,133,128,29,77,5.92,622,47.85,430.85,Defensive
2017-18,Baylor,12,12,1407,21459,3452,876,4859,0.00,80,137,22,88,7.33,671,55.92,404.92,Offense
2017-18,Baylor,0,12,2279,21741,3204,849,5483,6.46,124,125,15,79,6.58,787,65.58,456.92,Defensive
2013-14,Ball St.,13,13,1988,22486,4214,960,6202,0.00,92,205,32,49,3.77,404,31.08,477.08,Offense
2013-14,Ball St.,0,13,2539,24314,2841,965,5380,5.58,135,129,16,99,7.62,838,64.46,413.85,Defensive
2014-15,Ball St.,12,12,1841,21527,2590,857,4431,0.00,92,129,23,50,4.17,489,40.75,369.25,Offense
2014-15,Ball St.,0,12,2293,21673,2853,877,5146,5.87,121,128,16,67,5.58,588,49.00,428.83,Defensive
2015-16,Ball St.,12,12,1840,20602,2619,896,4459,0.00,103,123,24,44,3.67,425,35.42,371.58,Offense
2015-16,Ball St.,0,12,2706,22598,3510,920,6216,6.76,124,152,12,93,7.75,812,67.67,518.00,Defensive
2016-17,Ball St.,12,12,2640,22356,2750,955,5390,0.00,141,139,14,48,4.00,426,35.50,449.17,Offense
2016-17,Ball St.,0,12,1807,20844,3836,885,5643,6.38,93,165,15,70,70.00,577,577.00,5643.00,Defensive
2017-18,Ball St.,12,12,1906,23881,2126,902,4032,0.00,106,107,14,49,4.08,479,39.92,336.00,Offense
2017-18,Ball St.,0,12,2256,19319,2803,764,5059,6.62,105,122,15,49,4.08,478,39.83,421.58,Defensive
2013-14,Ball St.,13,13,1988,22486,4214,960,6202,0.00,92,205,32,49,3.77,404,31.08,477.08,Offense
2013-14,Ball St.,0,13,2539,24314,2841,965,5380,5.58,135,129,16,99,7.62,838,64.46,413.85,Defensive
2014-15,Ball St.,12,12,1841,21527,2590,857,4431,0.00,92,129,23,50,4.17,489,40.75,369.25,Offense
2014-15,Ball St.,0,12,2293,21673,2853,877,5146,5.87,121,128,16,67,5.58,588,49.00,428.83,Defensive
2015-16,Ball St.,12,12,1840,20602,2619,896,4459,0.00,103,123,24,44,3.67,425,35.42,371.58,Offense
2015-16,Ball St.,0,12,2706,22598,3510,920,6216,6.76,124,152,12,93,7.75,812,67.67,518.00,Defensive
2016-17,Ball St.,12,12,2640,22356,2750,955,5390,0.00,141,139,14,48,4.00,426,35.50,449.17,Offense
2016-17,Ball St.,0,12,1807,20844,3836,885,5643,6.38,93,165,15,70,70.00,577,577.00,5643.00,Defensive
2017-18,Ball St.,12,12,1906,23881,2126,902,4032,0.00,106,107,14,49,4.08,479,39.92,336.00,Offense
2017-18,Ball St.,0,12,2256,19319,2803,764,5059,6.62,105,122,15,49,4.08,478,39.83,421.58,Defensive
2013-14,Ball St.,13,13,1988,22486,4214,960,6202,0.00,92,205,32,49,3.77,404,31.08,477.08,Offense
2013-14,Ball St.,0,13,2539,24314,2841,965,5380,5.58,135,129,16,99,7.62,838,64.46,413.85,Defensive
2014-15,Ball St.,12,12,1841,21527,2590,857,4431,0.00,92,129,23,50,4.17,489,40.75,369.25,Offense
2014-15,Ball St.,0,12,2293,21673,2853,877,5146,5.87,121,128,16,67,5.58,588,49.00,428.83,Defensive
2015-16,Ball St.,12,12,1840,20602,2619,896,4459,0.00,103,123,24,44,3.67,425,35.42,371.58,Offense
2015-16,Ball St.,0,12,2706,22598,3510,920,6216,6.76,124,152,12,93,7.75,812,67.67,518.00,Defensive
2016-17,Ball St.,12,12,2640,22356,2750,955,5390,0.00,141,139,14,48,4.00,426,35.50,449.17,Offense
2016-17,Ball St.,0,12,1807,20844,3836,885,5643,6.38,93,165,15,70,70.00,577,577.00,5643.00,Defensive
2017-18,Ball St.,12,12,1906,23881,2126,902,4032,0.00,106,107,14,49,4.08,479,39.92,336.00,Offense
2017-18,Ball St.,0,12,2256,19319,2803,764,5059,6.62,105,122,15,49,4.08,478,39.83,421.58,Defensive
2013-14,BYU,13,13,3475,21676,2942,1111,6417,0.00,161,145,19,102,7.85,863,66.38,493.62,Offense
2013-14,BYU,0,13,2079,25124,2846,1028,4925,4.79,100,136,27,70,5.38,530,40.77,378.85,Defensive
2014-15,BYU,13,13,2363,21764,3623,1050,5986,0.00,143,160,22,110,8.46,1053,81.00,414.23,Offense
2014-15,BYU,0,13,1584,25036,3506,1032,5090,4.93,87,164,31,89,6.85,783,60.23,359.92,Defensive
2015-16,BYU,13,13,1668,22456,3854,917,5522,0.00,90,157,27,85,6.54,750,57.69,424.77,Offense
2015-16,BYU,0,13,1870,24344,2624,918,4494,4.90,91,132,22,86,6.62,763,58.69,345.69,Defensive
2016-17,BYU,13,13,2615,25477,2573,956,5188,0.00,141,130,28,83,6.38,782,60.15,399.08,Offense
2016-17,BYU,0,13,1467,21323,3278,860,4745,5.52,78,143,23,82,82.00,747,747.00,4745.00,Defensive
2017-18,BYU,13,13,1697,21753,2530,822,4227,0.00,87,116,12,59,4.54,509,39.15,325.15,Offense
2017-18,BYU,0,13,1919,25047,2928,906,4847,5.35,119,135,13,69,5.31,637,49.00,372.85,Defensive
2013-14,BYU,13,13,3475,361:16,2942,1111,6417,0.00,161,145,19,102,7.85,863,66.38,493.62,Offense
2013-14,BYU,0,13,2079,418:44,2846,1028,4925,4.79,100,136,27,70,5.38,530,40.77,378.85,Defensive
2014-15,BYU,13,13,2363,362:44,3623,1050,5986,0.00,143,160,22,110,8.46,1053,81.00,414.23,Offense
2014-15,BYU,0,13,1584,417:16,3506,1032,5090,4.93,87,164,31,89,6.85,783,60.23,359.92,Defensive
2015-16,BYU,13,13,1668,374:16,3854,917,5522,0.00,90,157,27,85,6.54,750,57.69,424.77,Offense
2015-16,BYU,0,13,1870,405:44,2624,918,4494,4.90,91,132,22,86,6.62,763,58.69,345.69,Defensive
2016-17,BYU,13,13,2615,424:37,2573,956,5188,0.00,141,130,28,83,6.38,782,60.15,399.08,Offense
2016-17,BYU,0,13,1467,355:23,3278,860,4745,5.52,78,143,23,82,82.00,747,747.00,4745.00,Defensive
2017-18,BYU,13,13,1697,362:33,2530,822,4227,0.00,87,116,12,59,4.54,509,39.15,325.15,Offense
