Date,Opponent,Result,G,PuntRet,PuntRetTDs,PuntRetYds,Team,OffenseDefense
10/22/2016,UTEP,L 49 - 52 (5OT),1/,3,nan,34,UTSA Roadrunners,Offense
10/22/2016,UTEP,L 49 - 52 (5OT),1/,1,nan,-2,UTSA Roadrunners,Defense
10/29/2016,North Texas,W 31 - 17,1/,2,nan,17,UTSA Roadrunners,Offense
10/29/2016,North Texas,W 31 - 17,1/,3,nan,48,UTSA Roadrunners,Defense
11/05/2016,@ Middle Tenn.,W 45 - 25,1/,nan,nan,nan,UTSA Roadrunners,Offense
11/05/2016,@ Middle Tenn.,W 45 - 25,1/,2,nan,9,UTSA Roadrunners,Defense
11/12/2016,@ Louisiana Tech,L 35 - 63,1/,1,nan,36,UTSA Roadrunners,Offense
11/12/2016,@ Louisiana Tech,L 35 - 63,1/,3,nan,21,UTSA Roadrunners,Defense
11/19/2016,@ Texas A&M,L 10 - 23,1/,nan,nan,nan,UTSA Roadrunners,Offense
11/19/2016,@ Texas A&M,L 10 - 23,1/,1,nan,1,UTSA Roadrunners,Defense
11/26/2016,Charlotte,W 33 - 14,1/,3,nan,16,UTSA Roadrunners,Offense
11/26/2016,Charlotte,W 33 - 14,1/,nan,nan,nan,UTSA Roadrunners,Defense
12/17/2016,"New Mexico @ Albuquerque, N.M.",L 20 - 23,1/,1,nan,3,UTSA Roadrunners,Offense
12/17/2016,"New Mexico @ Albuquerque, N.M.",L 20 - 23,1/,1,nan,3,UTSA Roadrunners,Defense
08/31/2013,@ New Mexico,W 21 - 13,1/,1,nan,-2,UTSA Roadrunners,Offense
08/31/2013,@ New Mexico,W 21 - 13,1/,2,nan,3,UTSA Roadrunners,Defense
09/07/2013,Oklahoma St.,L 35 - 56,1/,1,nan,62,UTSA Roadrunners,Offense
09/07/2013,Oklahoma St.,L 35 - 56,1/,2,nan,2,UTSA Roadrunners,Defense
09/14/2013,@ Arizona,L 13 - 38,1/,nan,nan,nan,UTSA Roadrunners,Offense
09/14/2013,@ Arizona,L 13 - 38,1/,3,nan,18,UTSA Roadrunners,Defense
09/21/2013,@ UTEP,W 32 - 13,1/,1,nan,nan,UTSA Roadrunners,Offense
09/21/2013,@ UTEP,W 32 - 13,1/,3,nan,12,UTSA Roadrunners,Defense
09/28/2013,Houston,L 28 - 59,1/,nan,nan,nan,UTSA Roadrunners,Offense
09/28/2013,Houston,L 28 - 59,1/,2,nan,2,UTSA Roadrunners,Defense
10/05/2013,@ Marshall,L 10 - 34,1/,nan,nan,nan,UTSA Roadrunners,Offense
10/05/2013,@ Marshall,L 10 - 34,1/,3,nan,56,UTSA Roadrunners,Defense
10/12/2013,Rice,L 21 - 27,1/,2,nan,-4,UTSA Roadrunners,Offense
10/12/2013,Rice,L 21 - 27,1/,2,nan,11,UTSA Roadrunners,Defense
10/26/2013,UAB,W 52 - 31,1/,nan,nan,nan,UTSA Roadrunners,Offense
10/26/2013,UAB,W 52 - 31,1/,nan,nan,nan,UTSA Roadrunners,Defense
11/02/2013,@ Tulsa,W 34 - 15,1/,2,nan,-7,UTSA Roadrunners,Offense
11/02/2013,@ Tulsa,W 34 - 15,1/,2,nan,2,UTSA Roadrunners,Defense
11/09/2013,Tulane,W 10 - 7,1/,1,nan,5,UTSA Roadrunners,Offense
11/09/2013,Tulane,W 10 - 7,1/,2,nan,8,UTSA Roadrunners,Defense
11/23/2013,@ North Texas,W 21 - 13,1/,1,nan,-1,UTSA Roadrunners,Offense
11/23/2013,@ North Texas,W 21 - 13,1/,nan,nan,nan,UTSA Roadrunners,Defense
11/30/2013,Louisiana Tech,W 30 - 10,1/,1,nan,-1,UTSA Roadrunners,Offense
11/30/2013,Louisiana Tech,W 30 - 10,1/,1,nan,24,UTSA Roadrunners,Defense
09/03/2015,@ Arizona,L 32 - 42,1/,1,nan,nan,UTSA Roadrunners,Offense
09/03/2015,@ Arizona,L 32 - 42,1/,nan,nan,nan,UTSA Roadrunners,Defense
09/12/2015,Kansas St.,L 3 - 30,1/,2,nan,5,UTSA Roadrunners,Offense
09/12/2015,Kansas St.,L 3 - 30,1/,3,nan,1,UTSA Roadrunners,Defense
09/19/2015,@ Oklahoma St.,L 14 - 69,1/,2,nan,3,UTSA Roadrunners,Offense
09/19/2015,@ Oklahoma St.,L 14 - 69,1/,2,nan,17,UTSA Roadrunners,Defense
09/26/2015,Colorado St.,L 31 - 33,1/,1,nan,20,UTSA Roadrunners,Offense
09/26/2015,Colorado St.,L 31 - 33,1/,2,nan,nan,UTSA Roadrunners,Defense
10/03/2015,@ UTEP,W 25 - 6,1/,3,nan,40,UTSA Roadrunners,Offense
10/03/2015,@ UTEP,W 25 - 6,1/,3,nan,26,UTSA Roadrunners,Defense
10/10/2015,Louisiana Tech,L 31 - 34,1/,2,nan,2,UTSA Roadrunners,Offense
10/10/2015,Louisiana Tech,L 31 - 34,1/,1,nan,2,UTSA Roadrunners,Defense
10/17/2015,@ Southern Miss.,L 10 - 32,1/,2,nan,9,UTSA Roadrunners,Offense
10/17/2015,@ Southern Miss.,L 10 - 32,1/,2,nan,22,UTSA Roadrunners,Defense
10/31/2015,@ North Texas,L 23 - 30,1/,3,nan,9,UTSA Roadrunners,Offense
10/31/2015,@ North Texas,L 23 - 30,1/,2,nan,34,UTSA Roadrunners,Defense
11/07/2015,Old Dominion,L 31 - 36,1/,2,nan,4,UTSA Roadrunners,Offense
11/07/2015,Old Dominion,L 31 - 36,1/,1,nan,-4,UTSA Roadrunners,Defense
11/14/2015,@ Charlotte,W 30 - 27 (1OT),1/,nan,nan,nan,UTSA Roadrunners,Offense
11/14/2015,@ Charlotte,W 30 - 27 (1OT),1/,3,nan,14,UTSA Roadrunners,Defense
11/21/2015,Rice,W 34 - 24,1/,nan,nan,nan,UTSA Roadrunners,Offense
11/21/2015,Rice,W 34 - 24,1/,2,nan,20,UTSA Roadrunners,Defense
11/28/2015,Middle Tenn.,L 7 - 42,1/,1,nan,6,UTSA Roadrunners,Offense
11/28/2015,Middle Tenn.,L 7 - 42,1/,nan,nan,nan,UTSA Roadrunners,Defense
08/30/2014,@ New Mexico,W 31 - 24,1/,nan,nan,nan,UTEP Miners,Offense
08/30/2014,@ New Mexico,W 31 - 24,1/,2,nan,2,UTEP Miners,Defense
