Year,Team,GP,G,TDs,KickPAT,PATAtt,RushPAT,Ru2PTAtt,ReceivingPAT,Pass2PtConv,Pass2PTAtt,KickReturnPAT,FumbRetPAT,FG,Safeties,Points,OffenseDefense
2017-18,Georgia Tech,11,11,42,34,38,1,2,nan,nan,2,nan,nan,7,nan,309,Offense
2017-18,Georgia Tech,0,11,35,30,31,nan,nan,1,1,4,nan,nan,16,1,292,Defensive
2013-14,Georgia St.,12,12,29,27,28,nan,nan,nan,nan,1,nan,nan,8,nan,225,Offense
2013-14,Georgia St.,0,12,59,56,57,nan,nan,nan,nan,1,nan,nan,10,nan,440,Defensive
2014-15,Georgia St.,12,12,36,35,35,nan,nan,nan,nan,1,nan,nan,7,nan,272,Offense
2014-15,Georgia St.,0,12,67,64,67,nan,nan,nan,nan,nan,nan,nan,18,nan,520,Defensive
2015-16,Georgia St.,13,13,45,42,43,nan,nan,nan,nan,2,nan,nan,12,1,350,Offense
2015-16,Georgia St.,0,13,44,38,41,nan,nan,nan,nan,3,nan,nan,22,nan,368,Defensive
2016-17,Georgia St.,12,12,31,26,30,nan,1,nan,nan,nan,nan,nan,9,nan,239,Offense
2016-17,Georgia St.,0,12,37,36,36,1,1,nan,nan,nan,nan,nan,19,1,319,Defensive
2017-18,Georgia St.,11,11,27,25,27,nan,nan,nan,nan,nan,nan,nan,10,nan,217,Offense
2017-18,Georgia St.,0,11,36,34,35,nan,nan,nan,nan,1,nan,nan,10,nan,280,Defensive
2013-14,Georgia St.,12,12,29,27,28,nan,nan,nan,nan,1,nan,nan,8,nan,225,Offense
2013-14,Georgia St.,0,12,59,56,57,nan,nan,nan,nan,1,nan,nan,10,nan,440,Defensive
2014-15,Georgia St.,12,12,36,35,35,nan,nan,nan,nan,1,nan,nan,7,nan,272,Offense
2014-15,Georgia St.,0,12,67,64,67,nan,nan,nan,nan,nan,nan,nan,18,nan,520,Defensive
2015-16,Georgia St.,13,13,45,42,43,nan,nan,nan,nan,2,nan,nan,12,1,350,Offense
2015-16,Georgia St.,0,13,44,38,41,nan,nan,nan,nan,3,nan,nan,22,nan,368,Defensive
2016-17,Georgia St.,12,12,31,26,30,nan,1,nan,nan,nan,nan,nan,9,nan,239,Offense
2016-17,Georgia St.,0,12,37,36,36,1,1,nan,nan,nan,nan,nan,19,1,319,Defensive
2017-18,Georgia St.,11,11,27,25,27,nan,nan,nan,nan,nan,nan,nan,10,nan,217,Offense
2017-18,Georgia St.,0,11,36,34,35,nan,nan,nan,nan,1,nan,nan,10,nan,280,Defensive
2013-14,Georgia St.,12,12,29,27,28,nan,nan,nan,,1,nan,nan,8,nan,225,Offense
2013-14,Georgia St.,0,12,59,56,57,nan,nan,nan,,1,nan,nan,10,nan,440,Defensive
2014-15,Georgia St.,12,12,36,35,35,nan,nan,nan,,1,nan,nan,7,nan,272,Offense
2014-15,Georgia St.,0,12,67,64,67,nan,nan,nan,,nan,nan,nan,18,nan,520,Defensive
2015-16,Georgia St.,13,13,45,42,43,nan,nan,nan,,2,nan,nan,12,1,350,Offense
2015-16,Georgia St.,0,13,44,38,41,nan,nan,nan,,3,nan,nan,22,nan,368,Defensive
2016-17,Georgia St.,12,12,31,26,30,nan,1,nan,,nan,nan,nan,9,nan,239,Offense
2016-17,Georgia St.,0,12,37,36,36,1,1,nan,,nan,nan,nan,19,1,319,Defensive
2017-18,Georgia St.,11,11,27,25,27,nan,nan,nan,,nan,nan,nan,10,nan,217,Offense
2017-18,Georgia St.,0,11,36,34,35,nan,nan,nan,,1,nan,nan,10,nan,280,Defensive
2013-14,Georgia,13,13,58,57,57,nan,nan,nan,nan,1,nan,nan,24,nan,477,Offense
2013-14,Georgia,0,13,47,43,45,nan,nan,1,1,2,nan,nan,16,1,377,Defensive
2014-15,Georgia,13,13,70,67,68,nan,nan,1,1,2,nan,nan,16,nan,537,Offense
2014-15,Georgia,0,13,36,30,32,nan,3,1,1,1,nan,nan,7,nan,269,Defensive
2015-16,Georgia,13,13,41,40,40,nan,nan,nan,nan,nan,nan,nan,18,1,342,Offense
2015-16,Georgia,0,13,26,23,24,1,1,nan,nan,1,nan,nan,13,nan,220,Defensive
2016-17,Georgia,13,13,38,36,36,nan,1,1,1,1,nan,nan,17,1,319,Offense
2016-17,Georgia,0,13,41,39,40,nan,nan,nan,nan,nan,nan,nan,9,nan,312,Defensive
2017-18,Georgia,13,13,58,56,56,nan,nan,1,1,2,nan,nan,16,nan,454,Offense
2017-18,Georgia,0,13,19,19,19,nan,nan,nan,nan,nan,nan,nan,13,nan,172,Defensive
2013-14,Georgia,13,13,58,57,57,nan,nan,nan,,1,nan,nan,24,nan,477,Offense
2013-14,Georgia,0,13,47,43,45,nan,nan,1,,2,nan,nan,16,1,377,Defensive
2014-15,Georgia,13,13,70,67,68,nan,nan,1,,2,nan,nan,16,nan,537,Offense
2014-15,Georgia,0,13,36,30,32,nan,3,1,,1,nan,nan,7,nan,269,Defensive
2015-16,Georgia,13,13,41,40,40,nan,nan,nan,,nan,nan,nan,18,1,342,Offense
2015-16,Georgia,0,13,26,23,24,1,1,nan,,1,nan,nan,13,nan,220,Defensive
2016-17,Georgia,13,13,38,36,36,nan,1,1,,1,nan,nan,17,1,319,Offense
2016-17,Georgia,0,13,41,39,40,nan,nan,nan,,nan,nan,nan,9,nan,312,Defensive
2017-18,Georgia,13,13,58,56,56,nan,nan,1,,2,nan,nan,16,nan,454,Offense
2017-18,Georgia,0,13,19,19,19,nan,nan,nan,,nan,nan,nan,13,nan,172,Defensive
2013-14,Georgia,13,13,58,57,57,nan,nan,nan,nan,1,nan,nan,24,nan,477,Offense
2013-14,Georgia,0,13,47,43,45,nan,nan,1,1,2,nan,nan,16,1,377,Defensive
2014-15,Georgia,13,13,70,67,68,nan,nan,1,1,2,nan,nan,16,nan,537,Offense
2014-15,Georgia,0,13,36,30,32,nan,3,1,1,1,nan,nan,7,nan,269,Defensive
2015-16,Georgia,13,13,41,40,40,nan,nan,nan,nan,nan,nan,nan,18,1,342,Offense
2015-16,Georgia,0,13,26,23,24,1,1,nan,nan,1,nan,nan,13,nan,220,Defensive
2016-17,Georgia,13,13,38,36,36,nan,1,1,1,1,nan,nan,17,1,319,Offense
2016-17,Georgia,0,13,41,39,40,nan,nan,nan,nan,nan,nan,nan,9,nan,312,Defensive
2017-18,Georgia,13,13,58,56,56,nan,nan,1,1,2,nan,nan,16,nan,454,Offense
2017-18,Georgia,0,13,19,19,19,nan,nan,nan,nan,nan,nan,nan,13,nan,172,Defensive
2013-14,Georgia,13,13,58,57,57,nan,nan,nan,,1,nan,nan,24,nan,477,Offense
2013-14,Georgia,0,13,47,43,45,nan,nan,1,,2,nan,nan,16,1,377,Defensive
2014-15,Georgia,13,13,70,67,68,nan,nan,1,,2,nan,nan,16,nan,537,Offense
2014-15,Georgia,0,13,36,30,32,nan,3,1,,1,nan,nan,7,nan,269,Defensive
2015-16,Georgia,13,13,41,40,40,nan,nan,nan,,nan,nan,nan,18,1,342,Offense
2015-16,Georgia,0,13,26,23,24,1,1,nan,,1,nan,nan,13,nan,220,Defensive
2016-17,Georgia,13,13,38,36,36,nan,1,1,,1,nan,nan,17,1,319,Offense
2016-17,Georgia,0,13,41,39,40,nan,nan,nan,,nan,nan,nan,9,nan,312,Defensive
2017-18,Georgia,13,13,58,56,56,nan,nan,1,,2,nan,nan,16,nan,454,Offense
2017-18,Georgia,0,13,19,19,19,nan,nan,nan,,nan,nan,nan,13,nan,172,Defensive
2013-14,Ga. Southern,11,11,50,43,46,nan,2,1,1,2,nan,nan,7,1,368,Offense
2013-14,Ga. Southern,0,11,32,24,27,nan,1,2,2,4,nan,nan,11,1,255,Defensive
2014-15,Ga. Southern,12,12,64,53,61,nan,nan,1,1,3,nan,nan,10,nan,469,Offense
2014-15,Ga. Southern,0,12,37,31,33,1,2,1,1,2,nan,nan,8,nan,281,Defensive
2015-16,Ga. Southern,13,13,61,59,60,nan,1,nan,nan,nan,1,nan,15,1,474,Offense
2015-16,Ga. Southern,0,13,39,31,34,nan,nan,1,1,4,nan,nan,13,nan,306,Defensive
2016-17,Ga. Southern,12,12,38,34,36,nan,1,nan,nan,1,nan,nan,19,nan,319,Offense
2016-17,Ga. Southern,0,12,39,37,39,nan,nan,nan,nan,nan,nan,1,15,nan,318,Defensive
2017-18,Ga. Southern,12,12,29,27,28,1,1,nan,nan,nan,nan,nan,15,1,250,Offense
2017-18,Ga. Southern,0,12,52,48,51,nan,nan,1,1,1,nan,nan,8,nan,386,Defensive
2013-14,Ga. Southern,11,11,50,43,46,nan,2,1,,2,nan,nan,7,1,368,Offense
2013-14,Ga. Southern,0,11,32,24,27,nan,1,2,,4,nan,nan,11,1,255,Defensive
2014-15,Ga. Southern,12,12,64,53,61,nan,nan,1,,3,nan,nan,10,nan,469,Offense
2014-15,Ga. Southern,0,12,37,31,33,1,2,1,,2,nan,nan,8,nan,281,Defensive
2015-16,Ga. Southern,13,13,61,59,60,nan,1,nan,,nan,1,nan,15,1,474,Offense
2015-16,Ga. Southern,0,13,39,31,34,nan,nan,1,,4,nan,nan,13,nan,306,Defensive
2016-17,Ga. Southern,12,12,38,34,36,nan,1,nan,,1,nan,nan,19,nan,319,Offense
2016-17,Ga. Southern,0,12,39,37,39,nan,nan,nan,,nan,nan,1,15,nan,318,Defensive
2017-18,Ga. Southern,12,12,29,27,28,1,1,nan,,nan,nan,nan,15,1,250,Offense
2017-18,Ga. Southern,0,12,52,48,51,nan,nan,1,,1,nan,nan,8,nan,386,Defensive
2013-14,Ga. Southern,11,11,50,43,46,nan,2,1,1,2,nan,nan,7,1,368,Offense
2013-14,Ga. Southern,0,11,32,24,27,nan,1,2,2,4,nan,nan,11,1,255,Defensive
2014-15,Ga. Southern,12,12,64,53,61,nan,nan,1,1,3,nan,nan,10,nan,469,Offense
2014-15,Ga. Southern,0,12,37,31,33,1,2,1,1,2,nan,nan,8,nan,281,Defensive
2015-16,Ga. Southern,13,13,61,59,60,nan,1,nan,nan,nan,1,nan,15,1,474,Offense
2015-16,Ga. Southern,0,13,39,31,34,nan,nan,1,1,4,nan,nan,13,nan,306,Defensive
2016-17,Ga. Southern,12,12,38,34,36,nan,1,nan,nan,1,nan,nan,19,nan,319,Offense
2016-17,Ga. Southern,0,12,39,37,39,nan,nan,nan,nan,nan,nan,1,15,nan,318,Defensive
2017-18,Ga. Southern,12,12,29,27,28,1,1,nan,nan,nan,nan,nan,15,1,250,Offense
2017-18,Ga. Southern,0,12,52,48,51,nan,nan,1,1,1,nan,nan,8,nan,386,Defensive
2013-14,Ga. Southern,11,11,50,43,46,nan,2,1,,2,nan,nan,7,1,368,Offense
2013-14,Ga. Southern,0,11,32,24,27,nan,1,2,,4,nan,nan,11,1,255,Defensive
2014-15,Ga. Southern,12,12,64,53,61,nan,nan,1,,3,nan,nan,10,nan,469,Offense
2014-15,Ga. Southern,0,12,37,31,33,1,2,1,,2,nan,nan,8,nan,281,Defensive
2015-16,Ga. Southern,13,13,61,59,60,nan,1,nan,,nan,1,nan,15,1,474,Offense
2015-16,Ga. Southern,0,13,39,31,34,nan,nan,1,,4,nan,nan,13,nan,306,Defensive
2016-17,Ga. Southern,12,12,38,34,36,nan,1,nan,,1,nan,nan,19,nan,319,Offense
2016-17,Ga. Southern,0,12,39,37,39,nan,nan,nan,,nan,nan,1,15,nan,318,Defensive
2017-18,Ga. Southern,12,12,29,27,28,1,1,nan,,nan,nan,nan,15,1,250,Offense
2017-18,Ga. Southern,0,12,52,48,51,nan,nan,1,,1,nan,nan,8,nan,386,Defensive
2013-14,Indiana,12,12,62,56,56,2,3,nan,nan,3,nan,nan,9,1,461,Offense
2013-14,Indiana,0,12,63,61,62,nan,nan,nan,nan,1,nan,nan,9,nan,466,Defensive
2014-15,Indiana,12,12,37,35,35,1,2,nan,nan,nan,nan,nan,14,nan,301,Offense
2014-15,Indiana,0,12,48,46,47,nan,nan,nan,nan,1,nan,nan,20,nan,394,Defensive
2015-16,Indiana,13,13,58,53,57,1,1,nan,nan,nan,nan,nan,24,nan,475,Offense
2015-16,Indiana,0,13,65,54,59,1,3,2,2,3,nan,nan,13,nan,489,Defensive
2016-17,Indiana,13,13,41,33,36,1,4,nan,nan,1,nan,nan,16,3,335,Offense
2016-17,Indiana,0,13,42,37,38,nan,2,nan,nan,1,nan,nan,21,1,354,Defensive
2017-18,Indiana,12,12,39,38,39,nan,nan,nan,nan,nan,nan,nan,16,1,322,Offense
2017-18,Indiana,0,12,39,38,38,1,1,nan,nan,nan,nan,nan,10,nan,304,Defensive
2013-14,Indiana,12,12,62,56,56,2,3,nan,,3,nan,nan,9,1,461,Offense
2013-14,Indiana,0,12,63,61,62,nan,nan,nan,,1,nan,nan,9,nan,466,Defensive
2014-15,Indiana,12,12,37,35,35,1,2,nan,,nan,nan,nan,14,nan,301,Offense
2014-15,Indiana,0,12,48,46,47,nan,nan,nan,,1,nan,nan,20,nan,394,Defensive
2015-16,Indiana,13,13,58,53,57,1,1,nan,,nan,nan,nan,24,nan,475,Offense
2015-16,Indiana,0,13,65,54,59,1,3,2,,3,nan,nan,13,nan,489,Defensive
2016-17,Indiana,13,13,41,33,36,1,4,nan,,1,nan,nan,16,3,335,Offense
2016-17,Indiana,0,13,42,37,38,nan,2,nan,,1,nan,nan,21,1,354,Defensive
2017-18,Indiana,12,12,39,38,39,nan,nan,nan,,nan,nan,nan,16,1,322,Offense
2017-18,Indiana,0,12,39,38,38,1,1,nan,,nan,nan,nan,10,nan,304,Defensive
2013-14,Indiana,12,12,62,56,56,2,3,nan,,3,nan,nan,9,1,461,Offense
2013-14,Indiana,0,12,63,61,62,nan,nan,nan,,1,nan,nan,9,nan,466,Defensive
2014-15,Indiana,12,12,37,35,35,1,2,nan,,nan,nan,nan,14,nan,301,Offense
2014-15,Indiana,0,12,48,46,47,nan,nan,nan,,1,nan,nan,20,nan,394,Defensive
2015-16,Indiana,13,13,58,53,57,1,1,nan,,nan,nan,nan,24,nan,475,Offense
2015-16,Indiana,0,13,65,54,59,1,3,2,,3,nan,nan,13,nan,489,Defensive
2016-17,Indiana,13,13,41,33,36,1,4,nan,,1,nan,nan,16,3,335,Offense
2016-17,Indiana,0,13,42,37,38,nan,2,nan,,1,nan,nan,21,1,354,Defensive
2017-18,Indiana,12,12,39,38,39,nan,nan,nan,,nan,nan,nan,16,1,322,Offense
2017-18,Indiana,0,12,39,38,38,1,1,nan,,nan,nan,nan,10,nan,304,Defensive
2013-14,Illinois,12,12,45,40,40,nan,nan,4,4,5,nan,nan,12,1,356,Offense
2013-14,Illinois,0,12,55,52,55,nan,nan,nan,nan,nan,nan,nan,13,2,425,Defensive
2014-15,Illinois,13,13,45,38,42,nan,nan,nan,nan,3,nan,nan,9,1,337,Offense
2014-15,Illinois,0,13,56,53,53,1,1,2,2,2,nan,nan,15,1,442,Defensive
2015-16,Illinois,12,12,32,32,32,nan,nan,nan,nan,nan,nan,nan,16,nan,272,Offense
2015-16,Illinois,0,12,34,29,32,1,1,nan,nan,1,nan,nan,14,1,279,Defensive
2016-17,Illinois,12,12,28,26,26,nan,nan,2,2,2,nan,nan,12,1,236,Offense
2016-17,Illinois,0,12,47,46,46,nan,nan,1,1,1,nan,nan,17,1,383,Defensive
2017-18,Illinois,12,12,21,17,17,1,1,1,1,3,1,nan,12,nan,185,Offense
2017-18,Illinois,0,12,50,48,49,nan,1,nan,nan,nan,nan,nan,10,nan,378,Defensive
2013-14,Illinois,12,12,45,40,40,nan,nan,4,,5,nan,nan,12,1,356,Offense
2013-14,Illinois,0,12,55,52,55,nan,nan,nan,,nan,nan,nan,13,2,425,Defensive
2014-15,Illinois,13,13,45,38,42,nan,nan,nan,,3,nan,nan,9,1,337,Offense
2014-15,Illinois,0,13,56,53,53,1,1,2,,2,nan,nan,15,1,442,Defensive
2015-16,Illinois,12,12,32,32,32,nan,nan,nan,,nan,nan,nan,16,nan,272,Offense
2015-16,Illinois,0,12,34,29,32,1,1,nan,,1,nan,nan,14,1,279,Defensive
2016-17,Illinois,12,12,28,26,26,nan,nan,2,,2,nan,nan,12,1,236,Offense
2016-17,Illinois,0,12,47,46,46,nan,nan,1,,1,nan,nan,17,1,383,Defensive
2017-18,Illinois,12,12,21,17,17,1,1,1,,3,1,nan,12,nan,185,Offense
2017-18,Illinois,0,12,50,48,49,nan,1,nan,,nan,nan,nan,10,nan,378,Defensive
2013-14,Illinois,12,12,45,40,40,nan,nan,4,4,5,nan,nan,12,1,356,Offense
2013-14,Illinois,0,12,55,52,55,nan,nan,nan,nan,nan,nan,nan,13,2,425,Defensive
2014-15,Illinois,13,13,45,38,42,nan,nan,nan,nan,3,nan,nan,9,1,337,Offense
2014-15,Illinois,0,13,56,53,53,1,1,2,2,2,nan,nan,15,1,442,Defensive
2015-16,Illinois,12,12,32,32,32,nan,nan,nan,nan,nan,nan,nan,16,nan,272,Offense
2015-16,Illinois,0,12,34,29,32,1,1,nan,nan,1,nan,nan,14,1,279,Defensive
2016-17,Illinois,12,12,28,26,26,nan,nan,2,2,2,nan,nan,12,1,236,Offense
2016-17,Illinois,0,12,47,46,46,nan,nan,1,1,1,nan,nan,17,1,383,Defensive
2017-18,Illinois,12,12,21,17,17,1,1,1,1,3,1,nan,12,nan,185,Offense
2017-18,Illinois,0,12,50,48,49,nan,1,nan,nan,nan,nan,nan,10,nan,378,Defensive
2013-14,Illinois,12,12,45,40,40,nan,nan,4,,5,nan,nan,12,1,356,Offense
2013-14,Illinois,0,12,55,52,55,nan,nan,nan,,nan,nan,nan,13,2,425,Defensive
2014-15,Illinois,13,13,45,38,42,nan,nan,nan,,3,nan,nan,9,1,337,Offense
2014-15,Illinois,0,13,56,53,53,1,1,2,,2,nan,nan,15,1,442,Defensive
2015-16,Illinois,12,12,32,32,32,nan,nan,nan,,nan,nan,nan,16,nan,272,Offense
2015-16,Illinois,0,12,34,29,32,1,1,nan,,1,nan,nan,14,1,279,Defensive
2016-17,Illinois,12,12,28,26,26,nan,nan,2,,2,nan,nan,12,1,236,Offense
2016-17,Illinois,0,12,47,46,46,nan,nan,1,,1,nan,nan,17,1,383,Defensive
2017-18,Illinois,12,12,21,17,17,1,1,1,,3,1,nan,12,nan,185,Offense
2017-18,Illinois,0,12,50,48,49,nan,1,nan,,nan,nan,nan,10,nan,378,Defensive
2013-14,Idaho,12,12,27,26,27,nan,nan,nan,nan,nan,nan,nan,10,nan,218,Offense
2013-14,Idaho,0,12,76,73,76,nan,nan,nan,nan,nan,nan,nan,10,1,561,Defensive
2014-15,Idaho,11,11,35,28,29,nan,1,1,1,5,nan,nan,11,1,275,Offense
2014-15,Idaho,0,11,54,50,53,nan,nan,nan,nan,1,nan,nan,12,nan,410,Defensive
2015-16,Idaho,12,12,42,39,40,1,1,1,1,1,nan,nan,23,nan,364,Offense
2015-16,Idaho,0,12,66,65,65,nan,1,nan,nan,nan,nan,nan,14,1,505,Defensive
2016-17,Idaho,13,13,46,42,44,nan,nan,1,1,1,nan,nan,26,1,400,Offense
2016-17,Idaho,0,13,52,48,51,nan,nan,1,1,1,nan,nan,15,nan,407,Defensive
2017-18,Idaho,12,12,31,29,30,nan,nan,nan,nan,nan,nan,nan,12,nan,251,Offense
2017-18,Idaho,0,12,36,31,34,1,2,nan,nan,nan,nan,nan,20,nan,309,Defensive
2013-14,Idaho,12,12,27,26,27,nan,nan,nan,,nan,nan,nan,10,nan,218,Offense
2013-14,Idaho,0,12,76,73,76,nan,nan,nan,,nan,nan,nan,10,1,561,Defensive
2014-15,Idaho,11,11,35,28,29,nan,1,1,,5,nan,nan,11,1,275,Offense
2014-15,Idaho,0,11,54,50,53,nan,nan,nan,,1,nan,nan,12,nan,410,Defensive
2015-16,Idaho,12,12,42,39,40,1,1,1,,1,nan,nan,23,nan,364,Offense
2015-16,Idaho,0,12,66,65,65,nan,1,nan,,nan,nan,nan,14,1,505,Defensive
2016-17,Idaho,13,13,46,42,44,nan,nan,1,,1,nan,nan,26,1,400,Offense
2016-17,Idaho,0,13,52,48,51,nan,nan,1,,1,nan,nan,15,nan,407,Defensive
2017-18,Idaho,12,12,31,29,30,nan,nan,nan,,nan,nan,nan,12,nan,251,Offense
2017-18,Idaho,0,12,36,31,34,1,2,nan,,nan,nan,nan,20,nan,309,Defensive
2013-14,Idaho,12,12,27,26,27,nan,nan,nan,nan,nan,nan,nan,10,nan,218,Offense
2013-14,Idaho,0,12,76,73,76,nan,nan,nan,nan,nan,nan,nan,10,1,561,Defensive
2014-15,Idaho,11,11,35,28,29,nan,1,1,1,5,nan,nan,11,1,275,Offense
2014-15,Idaho,0,11,54,50,53,nan,nan,nan,nan,1,nan,nan,12,nan,410,Defensive
2015-16,Idaho,12,12,42,39,40,1,1,1,1,1,nan,nan,23,nan,364,Offense
2015-16,Idaho,0,12,66,65,65,nan,1,nan,nan,nan,nan,nan,14,1,505,Defensive
2016-17,Idaho,13,13,46,42,44,nan,nan,1,1,1,nan,nan,26,1,400,Offense
2016-17,Idaho,0,13,52,48,51,nan,nan,1,1,1,nan,nan,15,nan,407,Defensive
2017-18,Idaho,12,12,31,29,30,nan,nan,nan,nan,nan,nan,nan,12,nan,251,Offense
2017-18,Idaho,0,12,36,31,34,1,2,nan,nan,nan,nan,nan,20,nan,309,Defensive
2013-14,Idaho,12,12,27,26,27,nan,nan,nan,,nan,nan,nan,10,nan,218,Offense
2013-14,Idaho,0,12,76,73,76,nan,nan,nan,,nan,nan,nan,10,1,561,Defensive
2014-15,Idaho,11,11,35,28,29,nan,1,1,,5,nan,nan,11,1,275,Offense
2014-15,Idaho,0,11,54,50,53,nan,nan,nan,,1,nan,nan,12,nan,410,Defensive
2015-16,Idaho,12,12,42,39,40,1,1,1,,1,nan,nan,23,nan,364,Offense
2015-16,Idaho,0,12,66,65,65,nan,1,nan,,nan,nan,nan,14,1,505,Defensive
2016-17,Idaho,13,13,46,42,44,nan,nan,1,,1,nan,nan,26,1,400,Offense
2016-17,Idaho,0,13,52,48,51,nan,nan,1,,1,nan,nan,15,nan,407,Defensive
2017-18,Idaho,12,12,31,29,30,nan,nan,nan,,nan,nan,nan,12,nan,251,Offense
2017-18,Idaho,0,12,36,31,34,1,2,nan,,nan,nan,nan,20,nan,309,Defensive
2013-14,Houston,13,13,54,52,52,nan,nan,1,1,2,nan,nan,17,1,431,Offense
2013-14,Houston,0,13,34,28,31,nan,1,nan,nan,2,nan,nan,17,nan,283,Defensive
2014-15,Houston,13,13,49,43,48,nan,nan,1,1,1,nan,nan,16,nan,387,Offense
2014-15,Houston,0,13,33,33,33,nan,nan,nan,nan,nan,nan,nan,11,2,268,Defensive
2015-16,Houston,14,14,75,75,75,nan,nan,nan,nan,nan,nan,nan,13,1,566,Offense
2015-16,Houston,0,14,36,34,34,nan,nan,2,2,2,nan,nan,12,nan,290,Defensive
2016-17,Houston,13,13,59,56,59,nan,nan,nan,nan,nan,nan,nan,16,4,466,Offense
2016-17,Houston,0,13,37,34,34,nan,nan,1,1,3,nan,nan,15,1,305,Defensive
2017-18,Houston,11,11,40,40,40,nan,nan,nan,nan,nan,nan,nan,10,1,312,Offense
2017-18,Houston,0,11,29,28,29,nan,nan,nan,nan,nan,nan,nan,17,nan,253,Defensive
2013-14,Houston,13,13,54,52,52,nan,nan,1,,2,nan,nan,17,1,431,Offense
2013-14,Houston,0,13,34,28,31,nan,1,nan,,2,nan,nan,17,nan,283,Defensive
2014-15,Houston,13,13,49,43,48,nan,nan,1,,1,nan,nan,16,nan,387,Offense
2014-15,Houston,0,13,33,33,33,nan,nan,nan,,nan,nan,nan,11,2,268,Defensive
2015-16,Houston,14,14,75,75,75,nan,nan,nan,,nan,nan,nan,13,1,566,Offense
2015-16,Houston,0,14,36,34,34,nan,nan,2,,2,nan,nan,12,nan,290,Defensive
2016-17,Houston,13,13,59,56,59,nan,nan,nan,,nan,nan,nan,16,4,466,Offense
2016-17,Houston,0,13,37,34,34,nan,nan,1,,3,nan,nan,15,1,305,Defensive
2017-18,Houston,11,11,40,40,40,nan,nan,nan,,nan,nan,nan,10,1,312,Offense
2017-18,Houston,0,11,29,28,29,nan,nan,nan,,nan,nan,nan,17,nan,253,Defensive
2013-14,Houston,13,13,54,52,52,nan,nan,1,,2,nan,nan,17,1,431,Offense
2013-14,Houston,0,13,34,28,31,nan,1,nan,,2,nan,nan,17,nan,283,Defensive
2014-15,Houston,13,13,49,43,48,nan,nan,1,,1,nan,nan,16,nan,387,Offense
2014-15,Houston,0,13,33,33,33,nan,nan,nan,,nan,nan,nan,11,2,268,Defensive
2015-16,Houston,14,14,75,75,75,nan,nan,nan,,nan,nan,nan,13,1,566,Offense
2015-16,Houston,0,14,36,34,34,nan,nan,2,,2,nan,nan,12,nan,290,Defensive
2016-17,Houston,13,13,59,56,59,nan,nan,nan,,nan,nan,nan,16,4,466,Offense
2016-17,Houston,0,13,37,34,34,nan,nan,1,,3,nan,nan,15,1,305,Defensive
2017-18,Houston,11,11,40,40,40,nan,nan,nan,,nan,nan,nan,10,1,312,Offense
2017-18,Houston,0,11,29,28,29,nan,nan,nan,,nan,nan,nan,17,nan,253,Defensive
2013-14,Houston,13,13,54,52,52,nan,nan,1,1,2,nan,nan,17,1,431,Offense
2013-14,Houston,0,13,34,28,31,nan,1,nan,nan,2,nan,nan,17,nan,283,Defensive
2014-15,Houston,13,13,49,43,48,nan,nan,1,1,1,nan,nan,16,nan,387,Offense
2014-15,Houston,0,13,33,33,33,nan,nan,nan,nan,nan,nan,nan,11,2,268,Defensive
2015-16,Houston,14,14,75,75,75,nan,nan,nan,nan,nan,nan,nan,13,1,566,Offense
2015-16,Houston,0,14,36,34,34,nan,nan,2,2,2,nan,nan,12,nan,290,Defensive
2016-17,Houston,13,13,59,56,59,nan,nan,nan,nan,nan,nan,nan,16,4,466,Offense
2016-17,Houston,0,13,37,34,34,nan,nan,1,1,3,nan,nan,15,1,305,Defensive
2017-18,Houston,11,11,40,40,40,nan,nan,nan,nan,nan,nan,nan,10,1,312,Offense
2017-18,Houston,0,11,29,28,29,nan,nan,nan,nan,nan,nan,nan,17,nan,253,Defensive
2013-14,Hawaii,12,12,44,36,38,1,1,2,,5,nan,nan,7,1,329,Offense
2013-14,Hawaii,0,12,59,56,56,nan,nan,1,,3,nan,nan,17,1,465,Defensive
2014-15,Hawaii,13,13,31,28,28,nan,1,1,,2,nan,nan,18,1,272,Offense
2014-15,Hawaii,0,13,47,46,47,nan,nan,nan,,nan,nan,nan,7,nan,349,Defensive
2015-16,Hawaii,13,13,29,27,28,nan,nan,1,,1,nan,nan,8,1,229,Offense
2015-16,Hawaii,0,13,59,58,58,nan,nan,nan,,1,nan,nan,17,nan,463,Defensive
2016-17,Hawaii,14,14,51,49,50,nan,nan,nan,,1,nan,nan,13,1,396,Offense
2016-17,Hawaii,0,14,67,63,64,nan,1,nan,,2,nan,nan,19,nan,522,Defensive
2017-18,Hawaii,12,12,37,33,35,nan,nan,1,,2,1,nan,4,1,273,Offense
2017-18,Hawaii,0,12,55,51,54,nan,1,nan,,nan,1,nan,8,nan,407,Defensive
2013-14,Hawaii,12,12,44,36,38,1,1,2,,5,nan,nan,7,1,329,Offense
2013-14,Hawaii,0,12,59,56,56,nan,nan,1,,3,nan,nan,17,1,465,Defensive
2014-15,Hawaii,13,13,31,28,28,nan,1,1,,2,nan,nan,18,1,272,Offense
2014-15,Hawaii,0,13,47,46,47,nan,nan,nan,,nan,nan,nan,7,nan,349,Defensive
2015-16,Hawaii,13,13,29,27,28,nan,nan,1,,1,nan,nan,8,1,229,Offense
2015-16,Hawaii,0,13,59,58,58,nan,nan,nan,,1,nan,nan,17,nan,463,Defensive
2016-17,Hawaii,14,14,51,49,50,nan,nan,nan,,1,nan,nan,13,1,396,Offense
