Year,Team,GP,G,Rec,ReceivingYards,ReceptionsPerGame,YardsPerReception,RecTD,RecYdsG,OffenseDefense
2014-15,FIU,0,12,181,2440,15.08,13.48,17,203.33,Defensive
2015-16,FIU,12,12,274,2854,22.83,10.42,22,237.83,Offense
2015-16,FIU,0,12,231,2652,19.25,11.48,17,221.00,Defensive
2016-17,FIU,12,12,238,2720,19.83,11.43,19,226.67,Offense
2016-17,FIU,0,12,226,2830,18.83,12.52,22,235.83,Defensive
2017-18,FIU,12,12,235,2862,19.58,12.18,19,238.50,Offense
2017-18,FIU,0,12,255,2913,21.25,11.42,23,242.75,Defensive
2013-14,Eastern Mich.,12,12,178,2137,14.83,12.01,14,178.08,Offense
2013-14,Eastern Mich.,0,12,204,3031,17.00,14.86,23,252.58,Defensive
2014-15,Eastern Mich.,12,12,167,1821,13.92,10.90,13,151.75,Offense
2014-15,Eastern Mich.,0,12,247,3298,20.58,13.35,27,274.83,Defensive
2015-16,Eastern Mich.,12,12,249,2666,20.75,10.71,18,222.17,Offense
2015-16,Eastern Mich.,0,12,184,2433,15.33,13.22,22,202.75,Defensive
2016-17,Eastern Mich.,13,13,309,3849,23.77,12.46,25,296.08,Offense
2016-17,Eastern Mich.,0,13,279,3447,279.00,162.35,25,3447.00,Defensive
2017-18,Eastern Mich.,12,12,257,3088,21.42,12.02,21,257.33,Offense
2017-18,Eastern Mich.,0,12,195,2284,16.25,11.71,16,190.33,Defensive
2013-14,Eastern Mich.,12,12,178,2137,14.83,12.01,14,178.08,Offense
2013-14,Eastern Mich.,0,12,204,3031,17.00,14.86,23,252.58,Defensive
2014-15,Eastern Mich.,12,12,167,1821,13.92,10.90,13,151.75,Offense
2014-15,Eastern Mich.,0,12,247,3298,20.58,13.35,27,274.83,Defensive
2015-16,Eastern Mich.,12,12,249,2666,20.75,10.71,18,222.17,Offense
2015-16,Eastern Mich.,0,12,184,2433,15.33,13.22,22,202.75,Defensive
2016-17,Eastern Mich.,13,13,309,3849,23.77,12.46,25,296.08,Offense
2016-17,Eastern Mich.,0,13,279,3447,279.00,162.35,25,3447.00,Defensive
2017-18,Eastern Mich.,12,12,257,3088,21.42,12.02,21,257.33,Offense
2017-18,Eastern Mich.,0,12,195,2284,16.25,11.71,16,190.33,Defensive
2013-14,Eastern Mich.,12,12,178,2137,14.83,12.01,14,178.08,Offense
2013-14,Eastern Mich.,0,12,204,3031,17.00,14.86,23,252.58,Defensive
2014-15,Eastern Mich.,12,12,167,1821,13.92,10.90,13,151.75,Offense
2014-15,Eastern Mich.,0,12,247,3298,20.58,13.35,27,274.83,Defensive
2015-16,Eastern Mich.,12,12,249,2666,20.75,10.71,18,222.17,Offense
2015-16,Eastern Mich.,0,12,184,2433,15.33,13.22,22,202.75,Defensive
2016-17,Eastern Mich.,13,13,309,3849,23.77,12.46,25,296.08,Offense
2016-17,Eastern Mich.,0,13,279,3447,279.00,162.35,25,3447.00,Defensive
2017-18,Eastern Mich.,12,12,257,3088,21.42,12.02,21,257.33,Offense
2017-18,Eastern Mich.,0,12,195,2284,16.25,11.71,16,190.33,Defensive
2013-14,Eastern Mich.,12,12,178,2137,14.83,12.01,14,178.08,Offense
2013-14,Eastern Mich.,0,12,204,3031,17.00,14.86,23,252.58,Defensive
2014-15,Eastern Mich.,12,12,167,1821,13.92,10.90,13,151.75,Offense
2014-15,Eastern Mich.,0,12,247,3298,20.58,13.35,27,274.83,Defensive
2015-16,Eastern Mich.,12,12,249,2666,20.75,10.71,18,222.17,Offense
2015-16,Eastern Mich.,0,12,184,2433,15.33,13.22,22,202.75,Defensive
2016-17,Eastern Mich.,13,13,309,3849,23.77,12.46,25,296.08,Offense
2016-17,Eastern Mich.,0,13,279,3447,279.00,162.35,25,3447.00,Defensive
2017-18,Eastern Mich.,12,12,257,3088,21.42,12.02,21,257.33,Offense
2017-18,Eastern Mich.,0,12,195,2284,16.25,11.71,16,190.33,Defensive
2013-14,East Carolina,13,13,397,4265,30.54,10.74,35,328.08,Offense
2013-14,East Carolina,0,13,304,3277,23.38,10.78,24,252.08,Defensive
2014-15,East Carolina,13,13,402,4835,30.92,12.03,31,371.92,Offense
2014-15,East Carolina,0,13,284,3322,21.85,11.70,20,255.54,Defensive
2015-16,East Carolina,12,12,321,3375,26.75,10.51,21,281.25,Offense
2015-16,East Carolina,0,12,204,2717,17.00,13.32,17,226.42,Defensive
2016-17,East Carolina,12,12,359,4016,29.92,11.19,26,334.67,Offense
2016-17,East Carolina,0,12,194,2691,16.17,13.87,17,224.25,Defensive
2017-18,East Carolina,12,12,307,3815,25.58,12.43,26,317.92,Offense
2017-18,East Carolina,0,12,227,3554,18.92,15.66,31,296.17,Defensive
2013-14,East Carolina,13,13,397,4265,30.54,10.74,35,328.08,Offense
2013-14,East Carolina,0,13,304,3277,23.38,10.78,24,252.08,Defensive
2014-15,East Carolina,13,13,402,4835,30.92,12.03,31,371.92,Offense
2014-15,East Carolina,0,13,284,3322,21.85,11.70,20,255.54,Defensive
2015-16,East Carolina,12,12,321,3375,26.75,10.51,21,281.25,Offense
2015-16,East Carolina,0,12,204,2717,17.00,13.32,17,226.42,Defensive
2016-17,East Carolina,12,12,359,4016,29.92,11.19,26,334.67,Offense
2016-17,East Carolina,0,12,194,2691,16.17,13.87,17,224.25,Defensive
2017-18,East Carolina,12,12,307,3815,25.58,12.43,26,317.92,Offense
2017-18,East Carolina,0,12,227,3554,18.92,15.66,31,296.17,Defensive
2013-14,East Carolina,13,13,397,4265,30.54,10.74,35,328.08,Offense
2013-14,East Carolina,0,13,304,3277,23.38,10.78,24,252.08,Defensive
2014-15,East Carolina,13,13,402,4835,30.92,12.03,31,371.92,Offense
2014-15,East Carolina,0,13,284,3322,21.85,11.70,20,255.54,Defensive
2015-16,East Carolina,12,12,321,3375,26.75,10.51,21,281.25,Offense
2015-16,East Carolina,0,12,204,2717,17.00,13.32,17,226.42,Defensive
2016-17,East Carolina,12,12,359,4016,29.92,11.19,26,334.67,Offense
2016-17,East Carolina,0,12,194,2691,16.17,13.87,17,224.25,Defensive
2017-18,East Carolina,12,12,307,3815,25.58,12.43,26,317.92,Offense
2017-18,East Carolina,0,12,227,3554,18.92,15.66,31,296.17,Defensive
2013-14,Duke,14,14,298,3474,21.29,11.66,26,248.14,Offense
2013-14,Duke,0,14,264,3414,18.86,12.93,25,243.86,Defensive
2014-15,Duke,13,13,268,2814,20.62,10.50,23,216.46,Offense
2014-15,Duke,0,13,235,2688,235.00,148.55,14,2688.00,Defensive
2015-16,Duke,13,13,294,3204,22.62,10.90,18,246.46,Offense
2015-16,Duke,0,13,223,3132,223.00,197.96,23,3132.00,Defensive
2016-17,Duke,12,12,277,2877,23.08,10.39,18,239.75,Offense
2016-17,Duke,0,12,177,2877,14.75,16.25,21,239.75,Defensive
2017-18,Duke,12,12,239,2522,19.92,10.55,14,210.17,Offense
2017-18,Duke,0,12,152,2098,12.67,13.80,15,174.83,Defensive
2013-14,Duke,14,14,298,3474,21.29,11.66,26,248.14,Offense
2013-14,Duke,0,14,264,3414,18.86,12.93,25,243.86,Defensive
2014-15,Duke,13,13,268,2814,20.62,10.50,23,216.46,Offense
2014-15,Duke,0,13,235,2688,235.00,148.55,14,2688.00,Defensive
2015-16,Duke,13,13,294,3204,22.62,10.90,18,246.46,Offense
2015-16,Duke,0,13,223,3132,223.00,197.96,23,3132.00,Defensive
2016-17,Duke,12,12,277,2877,23.08,10.39,18,239.75,Offense
2016-17,Duke,0,12,177,2877,14.75,16.25,21,239.75,Defensive
2017-18,Duke,12,12,239,2522,19.92,10.55,14,210.17,Offense
2017-18,Duke,0,12,152,2098,12.67,13.80,15,174.83,Defensive
2013-14,Duke,14,14,298,3474,21.29,11.66,26,248.14,Offense
2013-14,Duke,0,14,264,3414,18.86,12.93,25,243.86,Defensive
2014-15,Duke,13,13,268,2814,20.62,10.50,23,216.46,Offense
2014-15,Duke,0,13,235,2688,235.00,148.55,14,2688.00,Defensive
2015-16,Duke,13,13,294,3204,22.62,10.90,18,246.46,Offense
2015-16,Duke,0,13,223,3132,223.00,197.96,23,3132.00,Defensive
2016-17,Duke,12,12,277,2877,23.08,10.39,18,239.75,Offense
2016-17,Duke,0,12,177,2877,14.75,16.25,21,239.75,Defensive
2017-18,Duke,12,12,239,2522,19.92,10.55,14,210.17,Offense
2017-18,Duke,0,12,152,2098,12.67,13.80,15,174.83,Defensive
2013-14,Duke,14,14,298,3474,21.29,11.66,26,248.14,Offense
2013-14,Duke,0,14,264,3414,18.86,12.93,25,243.86,Defensive
2014-15,Duke,13,13,268,2814,20.62,10.50,23,216.46,Offense
2014-15,Duke,0,13,235,2688,235.00,148.55,14,2688.00,Defensive
2015-16,Duke,13,13,294,3204,22.62,10.90,18,246.46,Offense
2015-16,Duke,0,13,223,3132,223.00,197.96,23,3132.00,Defensive
2016-17,Duke,12,12,277,2877,23.08,10.39,18,239.75,Offense
2016-17,Duke,0,12,177,2877,14.75,16.25,21,239.75,Defensive
2017-18,Duke,12,12,239,2522,19.92,10.55,14,210.17,Offense
2017-18,Duke,0,12,152,2098,12.67,13.80,15,174.83,Defensive
2013-14,Colorado St.,14,14,298,3730,21.29,12.52,24,266.43,Offense
2013-14,Colorado St.,0,14,310,3860,22.14,12.45,33,275.71,Defensive
2014-15,Colorado St.,13,13,286,4181,22.00,14.62,34,321.62,Offense
2014-15,Colorado St.,0,13,238,2915,18.31,12.25,14,224.23,Defensive
2015-16,Colorado St.,13,13,233,2965,17.92,12.73,24,228.08,Offense
2015-16,Colorado St.,0,13,175,2309,13.46,13.19,12,177.62,Defensive
2016-17,Colorado St.,13,13,218,3181,16.77,14.59,29,244.69,Offense
2016-17,Colorado St.,0,13,185,2668,185.00,201.47,18,2668.00,Defensive
2017-18,Colorado St.,12,12,259,3479,21.58,13.43,27,289.92,Offense
2017-18,Colorado St.,0,12,220,2917,18.33,13.26,19,243.08,Defensive
2013-14,Colorado St.,14,14,298,3730,21.29,12.52,24,266.43,Offense
2013-14,Colorado St.,0,14,310,3860,22.14,12.45,33,275.71,Defensive
2014-15,Colorado St.,13,13,286,4181,22.00,14.62,34,321.62,Offense
2014-15,Colorado St.,0,13,238,2915,18.31,12.25,14,224.23,Defensive
2015-16,Colorado St.,13,13,233,2965,17.92,12.73,24,228.08,Offense
2015-16,Colorado St.,0,13,175,2309,13.46,13.19,12,177.62,Defensive
2016-17,Colorado St.,13,13,218,3181,16.77,14.59,29,244.69,Offense
2016-17,Colorado St.,0,13,185,2668,185.00,201.47,18,2668.00,Defensive
2017-18,Colorado St.,12,12,259,3479,21.58,13.43,27,289.92,Offense
2017-18,Colorado St.,0,12,220,2917,18.33,13.26,19,243.08,Defensive
2013-14,Colorado St.,14,14,298,3730,21.29,12.52,24,266.43,Offense
2013-14,Colorado St.,0,14,310,3860,22.14,12.45,33,275.71,Defensive
2014-15,Colorado St.,13,13,286,4181,22.00,14.62,34,321.62,Offense
2014-15,Colorado St.,0,13,238,2915,18.31,12.25,14,224.23,Defensive
2015-16,Colorado St.,13,13,233,2965,17.92,12.73,24,228.08,Offense
2015-16,Colorado St.,0,13,175,2309,13.46,13.19,12,177.62,Defensive
2016-17,Colorado St.,13,13,218,3181,16.77,14.59,29,244.69,Offense
2016-17,Colorado St.,0,13,185,2668,185.00,201.47,18,2668.00,Defensive
2017-18,Colorado St.,12,12,259,3479,21.58,13.43,27,289.92,Offense
2017-18,Colorado St.,0,12,220,2917,18.33,13.26,19,243.08,Defensive
2013-14,Colorado St.,14,14,298,3730,21.29,12.52,24,266.43,Offense
2013-14,Colorado St.,0,14,310,3860,22.14,12.45,33,275.71,Defensive
2014-15,Colorado St.,13,13,286,4181,22.00,14.62,34,321.62,Offense
2014-15,Colorado St.,0,13,238,2915,18.31,12.25,14,224.23,Defensive
2015-16,Colorado St.,13,13,233,2965,17.92,12.73,24,228.08,Offense
2015-16,Colorado St.,0,13,175,2309,13.46,13.19,12,177.62,Defensive
2016-17,Colorado St.,13,13,218,3181,16.77,14.59,29,244.69,Offense
2016-17,Colorado St.,0,13,185,2668,185.00,201.47,18,2668.00,Defensive
2017-18,Colorado St.,12,12,259,3479,21.58,13.43,27,289.92,Offense
2017-18,Colorado St.,0,12,220,2917,18.33,13.26,19,243.08,Defensive
2013-14,Fresno St.,13,13,460,5133,35.38,11.16,50,394.85,Offense
2013-14,Fresno St.,0,13,280,3674,21.54,13.12,26,282.62,Defensive
2014-15,Fresno St.,14,14,299,3132,21.36,10.47,25,223.71,Offense
2014-15,Fresno St.,0,14,243,3557,243.00,216.35,32,3557.00,Defensive
2015-16,Fresno St.,12,12,202,2140,16.83,10.59,20,178.33,Offense
2015-16,Fresno St.,0,12,206,2538,17.17,12.32,20,211.50,Defensive
2016-17,Fresno St.,12,12,210,2557,17.50,12.18,13,213.08,Offense
2016-17,Fresno St.,0,12,160,2012,160.00,159.30,21,2012.00,Defensive
2017-18,Fresno St.,13,13,235,2989,18.08,12.72,19,229.92,Offense
2017-18,Fresno St.,0,13,252,2631,19.38,10.44,13,202.38,Defensive
2013-14,Fresno St.,13,13,460,5133,35.38,11.16,50,394.85,Offense
2013-14,Fresno St.,0,13,280,3674,21.54,13.12,26,282.62,Defensive
2014-15,Fresno St.,14,14,299,3132,21.36,10.47,25,223.71,Offense
2014-15,Fresno St.,0,14,243,3557,243.00,216.35,32,3557.00,Defensive
2015-16,Fresno St.,12,12,202,2140,16.83,10.59,20,178.33,Offense
2015-16,Fresno St.,0,12,206,2538,17.17,12.32,20,211.50,Defensive
2016-17,Fresno St.,12,12,210,2557,17.50,12.18,13,213.08,Offense
2016-17,Fresno St.,0,12,160,2012,160.00,159.30,21,2012.00,Defensive
2017-18,Fresno St.,13,13,235,2989,18.08,12.72,19,229.92,Offense
2017-18,Fresno St.,0,13,252,2631,19.38,10.44,13,202.38,Defensive
2013-14,Fresno St.,13,13,460,5133,35.38,11.16,50,394.85,Offense
2013-14,Fresno St.,0,13,280,3674,21.54,13.12,26,282.62,Defensive
2014-15,Fresno St.,14,14,299,3132,21.36,10.47,25,223.71,Offense
2014-15,Fresno St.,0,14,243,3557,243.00,216.35,32,3557.00,Defensive
2015-16,Fresno St.,12,12,202,2140,16.83,10.59,20,178.33,Offense
2015-16,Fresno St.,0,12,206,2538,17.17,12.32,20,211.50,Defensive
2016-17,Fresno St.,12,12,210,2557,17.50,12.18,13,213.08,Offense
2016-17,Fresno St.,0,12,160,2012,160.00,159.30,21,2012.00,Defensive
2017-18,Fresno St.,13,13,235,2989,18.08,12.72,19,229.92,Offense
2017-18,Fresno St.,0,13,252,2631,19.38,10.44,13,202.38,Defensive
2013-14,Fresno St.,13,13,460,5133,35.38,11.16,50,394.85,Offense
2013-14,Fresno St.,0,13,280,3674,21.54,13.12,26,282.62,Defensive
2014-15,Fresno St.,14,14,299,3132,21.36,10.47,25,223.71,Offense
2014-15,Fresno St.,0,14,243,3557,243.00,216.35,32,3557.00,Defensive
2015-16,Fresno St.,12,12,202,2140,16.83,10.59,20,178.33,Offense
2015-16,Fresno St.,0,12,206,2538,17.17,12.32,20,211.50,Defensive
2016-17,Fresno St.,12,12,210,2557,17.50,12.18,13,213.08,Offense
2016-17,Fresno St.,0,12,160,2012,160.00,159.30,21,2012.00,Defensive
2017-18,Fresno St.,13,13,235,2989,18.08,12.72,19,229.92,Offense
2017-18,Fresno St.,0,13,252,2631,19.38,10.44,13,202.38,Defensive
2013-14,Florida St.,14,14,288,4423,20.57,15.36,42,315.93,Offense
2013-14,Florida St.,0,14,222,2193,15.86,9.88,14,156.64,Defensive
2014-15,Florida St.,14,14,330,4246,23.57,12.87,26,303.29,Offense
2014-15,Florida St.,0,14,248,3175,17.71,12.80,22,226.79,Defensive
2015-16,Florida St.,13,13,264,3325,20.31,12.59,22,255.77,Offense
2015-16,Florida St.,0,13,252,2491,19.38,9.88,14,191.62,Defensive
2016-17,Florida St.,13,13,244,3433,18.77,14.07,23,264.08,Offense
2016-17,Florida St.,0,13,224,2874,224.00,186.15,18,2874.00,Defensive
2017-18,Florida St.,12,12,183,2313,15.25,12.64,17,192.75,Offense
2017-18,Florida St.,0,12,228,2412,19.00,10.58,14,201.00,Defensive
2013-14,Florida St.,14,14,288,4423,20.57,15.36,42,315.93,Offense
2013-14,Florida St.,0,14,222,2193,15.86,9.88,14,156.64,Defensive
2014-15,Florida St.,14,14,330,4246,23.57,12.87,26,303.29,Offense
2014-15,Florida St.,0,14,248,3175,17.71,12.80,22,226.79,Defensive
2015-16,Florida St.,13,13,264,3325,20.31,12.59,22,255.77,Offense
2015-16,Florida St.,0,13,252,2491,19.38,9.88,14,191.62,Defensive
2016-17,Florida St.,13,13,244,3433,18.77,14.07,23,264.08,Offense
2016-17,Florida St.,0,13,224,2874,224.00,186.15,18,2874.00,Defensive
2017-18,Florida St.,12,12,183,2313,15.25,12.64,17,192.75,Offense
2017-18,Florida St.,0,12,228,2412,19.00,10.58,14,201.00,Defensive
2013-14,Florida St.,14,14,288,4423,20.57,15.36,42,315.93,Offense
2013-14,Florida St.,0,14,222,2193,15.86,9.88,14,156.64,Defensive
2014-15,Florida St.,14,14,330,4246,23.57,12.87,26,303.29,Offense
2014-15,Florida St.,0,14,248,3175,17.71,12.80,22,226.79,Defensive
2015-16,Florida St.,13,13,264,3325,20.31,12.59,22,255.77,Offense
2015-16,Florida St.,0,13,252,2491,19.38,9.88,14,191.62,Defensive
2016-17,Florida St.,13,13,244,3433,18.77,14.07,23,264.08,Offense
2016-17,Florida St.,0,13,224,2874,224.00,186.15,18,2874.00,Defensive
2017-18,Florida St.,12,12,183,2313,15.25,12.64,17,192.75,Offense
2017-18,Florida St.,0,12,228,2412,19.00,10.58,14,201.00,Defensive
2013-14,Florida St.,14,14,288,4423,20.57,15.36,42,315.93,Offense
2013-14,Florida St.,0,14,222,2193,15.86,9.88,14,156.64,Defensive
2014-15,Florida St.,14,14,330,4246,23.57,12.87,26,303.29,Offense
2014-15,Florida St.,0,14,248,3175,17.71,12.80,22,226.79,Defensive
2015-16,Florida St.,13,13,264,3325,20.31,12.59,22,255.77,Offense
2015-16,Florida St.,0,13,252,2491,19.38,9.88,14,191.62,Defensive
2016-17,Florida St.,13,13,244,3433,18.77,14.07,23,264.08,Offense
2016-17,Florida St.,0,13,224,2874,224.00,186.15,18,2874.00,Defensive
2017-18,Florida St.,12,12,183,2313,15.25,12.64,17,192.75,Offense
2017-18,Florida St.,0,12,228,2412,19.00,10.58,14,201.00,Defensive
2013-14,Florida,12,12,199,2051,16.58,10.31,11,170.92,Offense
2013-14,Florida,0,12,159,2062,13.25,12.97,9,171.83,Defensive
2014-15,Florida,12,12,169,2159,14.08,12.78,18,179.92,Offense
2014-15,Florida,0,12,228,2563,19.00,11.24,15,213.58,Defensive
2015-16,Florida,14,14,229,2899,16.36,12.66,20,207.07,Offense
2015-16,Florida,0,14,231,2550,16.50,11.04,17,182.14,Defensive
2016-17,Florida,13,13,241,2805,18.54,11.64,18,215.77,Offense
2016-17,Florida,0,13,148,1931,11.38,13.05,8,148.54,Defensive
2017-18,Florida,11,11,174,1975,15.82,11.35,10,179.55,Offense
2017-18,Florida,0,11,148,2149,13.45,14.52,16,195.36,Defensive
2013-14,Florida,12,12,199,2051,16.58,10.31,11,170.92,Offense
2013-14,Florida,0,12,159,2062,13.25,12.97,9,171.83,Defensive
2014-15,Florida,12,12,169,2159,14.08,12.78,18,179.92,Offense
2014-15,Florida,0,12,228,2563,19.00,11.24,15,213.58,Defensive
2015-16,Florida,14,14,229,2899,16.36,12.66,20,207.07,Offense
2015-16,Florida,0,14,231,2550,16.50,11.04,17,182.14,Defensive
2016-17,Florida,13,13,241,2805,18.54,11.64,18,215.77,Offense
2016-17,Florida,0,13,148,1931,11.38,13.05,8,148.54,Defensive
2017-18,Florida,11,11,174,1975,15.82,11.35,10,179.55,Offense
2017-18,Florida,0,11,148,2149,13.45,14.52,16,195.36,Defensive
2013-14,Florida,12,12,199,2051,16.58,10.31,11,170.92,Offense
2013-14,Florida,0,12,159,2062,13.25,12.97,9,171.83,Defensive
2014-15,Florida,12,12,169,2159,14.08,12.78,18,179.92,Offense
2014-15,Florida,0,12,228,2563,19.00,11.24,15,213.58,Defensive
2015-16,Florida,14,14,229,2899,16.36,12.66,20,207.07,Offense
2015-16,Florida,0,14,231,2550,16.50,11.04,17,182.14,Defensive
2016-17,Florida,13,13,241,2805,18.54,11.64,18,215.77,Offense
2016-17,Florida,0,13,148,1931,11.38,13.05,8,148.54,Defensive
2017-18,Florida,11,11,174,1975,15.82,11.35,10,179.55,Offense
2017-18,Florida,0,11,148,2149,13.45,14.52,16,195.36,Defensive
2013-14,Fla. Atlantic,12,12,196,2380,16.33,12.14,16,198.33,Offense
2013-14,Fla. Atlantic,0,12,162,1938,13.50,11.96,11,161.50,Defensive
2014-15,Fla. Atlantic,12,12,206,2394,17.17,11.62,18,199.50,Offense
2014-15,Fla. Atlantic,0,12,238,2864,19.83,12.03,18,238.67,Defensive
2015-16,Fla. Atlantic,12,12,206,2557,17.17,12.41,12,213.08,Offense
2015-16,Fla. Atlantic,0,12,217,2840,18.08,13.09,23,236.67,Defensive
2016-17,Fla. Atlantic,12,12,215,2521,17.92,11.73,9,210.08,Offense
2016-17,Fla. Atlantic,0,12,233,3221,233.00,173.77,24,3221.00,Defensive
2017-18,Fla. Atlantic,13,13,215,2713,16.54,12.62,19,208.69,Offense
2017-18,Fla. Atlantic,0,13,266,3153,20.46,11.85,18,242.54,Defensive
2013-14,Fla. Atlantic,12,12,196,2380,16.33,12.14,16,198.33,Offense
2013-14,Fla. Atlantic,0,12,162,1938,13.50,11.96,11,161.50,Defensive
2014-15,Fla. Atlantic,12,12,206,2394,17.17,11.62,18,199.50,Offense
2014-15,Fla. Atlantic,0,12,238,2864,19.83,12.03,18,238.67,Defensive
2015-16,Fla. Atlantic,12,12,206,2557,17.17,12.41,12,213.08,Offense
2015-16,Fla. Atlantic,0,12,217,2840,18.08,13.09,23,236.67,Defensive
2016-17,Fla. Atlantic,12,12,215,2521,17.92,11.73,9,210.08,Offense
2016-17,Fla. Atlantic,0,12,233,3221,233.00,173.77,24,3221.00,Defensive
2017-18,Fla. Atlantic,13,13,215,2713,16.54,12.62,19,208.69,Offense
2017-18,Fla. Atlantic,0,13,266,3153,20.46,11.85,18,242.54,Defensive
2013-14,Fla. Atlantic,12,12,196,2380,16.33,12.14,16,198.33,Offense
2013-14,Fla. Atlantic,0,12,162,1938,13.50,11.96,11,161.50,Defensive
2014-15,Fla. Atlantic,12,12,206,2394,17.17,11.62,18,199.50,Offense
2014-15,Fla. Atlantic,0,12,238,2864,19.83,12.03,18,238.67,Defensive
2015-16,Fla. Atlantic,12,12,206,2557,17.17,12.41,12,213.08,Offense
2015-16,Fla. Atlantic,0,12,217,2840,18.08,13.09,23,236.67,Defensive
2016-17,Fla. Atlantic,12,12,215,2521,17.92,11.73,9,210.08,Offense
2016-17,Fla. Atlantic,0,12,233,3221,233.00,173.77,24,3221.00,Defensive
2017-18,Fla. Atlantic,13,13,215,2713,16.54,12.62,19,208.69,Offense
2017-18,Fla. Atlantic,0,13,266,3153,20.46,11.85,18,242.54,Defensive
2013-14,Fla. Atlantic,12,12,196,2380,16.33,12.14,16,198.33,Offense
2013-14,Fla. Atlantic,0,12,162,1938,13.50,11.96,11,161.50,Defensive
2014-15,Fla. Atlantic,12,12,206,2394,17.17,11.62,18,199.50,Offense
2014-15,Fla. Atlantic,0,12,238,2864,19.83,12.03,18,238.67,Defensive
2015-16,Fla. Atlantic,12,12,206,2557,17.17,12.41,12,213.08,Offense
2015-16,Fla. Atlantic,0,12,217,2840,18.08,13.09,23,236.67,Defensive
2016-17,Fla. Atlantic,12,12,215,2521,17.92,11.73,9,210.08,Offense
2016-17,Fla. Atlantic,0,12,233,3221,233.00,173.77,24,3221.00,Defensive
2017-18,Fla. Atlantic,13,13,215,2713,16.54,12.62,19,208.69,Offense
2017-18,Fla. Atlantic,0,13,266,3153,20.46,11.85,18,242.54,Defensive
2013-14,FIU,12,12,153,1713,12.75,11.20,8,142.75,Offense
2013-14,FIU,0,12,206,2691,17.17,13.06,28,224.25,Defensive
2014-15,FIU,12,12,171,2016,14.25,11.79,15,168.00,Offense
2014-15,FIU,0,12,181,2440,15.08,13.48,17,203.33,Defensive
2015-16,FIU,12,12,274,2854,22.83,10.42,22,237.83,Offense
2015-16,FIU,0,12,231,2652,19.25,11.48,17,221.00,Defensive
2016-17,FIU,12,12,238,2720,19.83,11.43,19,226.67,Offense
2016-17,FIU,0,12,226,2830,18.83,12.52,22,235.83,Defensive
2017-18,FIU,12,12,235,2862,19.58,12.18,19,238.50,Offense
2017-18,FIU,0,12,255,2913,21.25,11.42,23,242.75,Defensive
2013-14,FIU,12,12,153,1713,12.75,11.20,8,142.75,Offense
2013-14,FIU,0,12,206,2691,17.17,13.06,28,224.25,Defensive
2014-15,FIU,12,12,171,2016,14.25,11.79,15,168.00,Offense
2014-15,FIU,0,12,181,2440,15.08,13.48,17,203.33,Defensive
2015-16,FIU,12,12,274,2854,22.83,10.42,22,237.83,Offense
2015-16,FIU,0,12,231,2652,19.25,11.48,17,221.00,Defensive
2016-17,FIU,12,12,238,2720,19.83,11.43,19,226.67,Offense
2016-17,FIU,0,12,226,2830,18.83,12.52,22,235.83,Defensive
2017-18,FIU,12,12,235,2862,19.58,12.18,19,238.50,Offense
2017-18,FIU,0,12,255,2913,21.25,11.42,23,242.75,Defensive
2013-14,Hawaii,12,12,296,3617,24.67,12.22,31,301.42,Offense
2013-14,Hawaii,0,12,248,3373,20.67,13.60,27,281.08,Defensive
2014-15,Hawaii,13,13,231,2794,17.77,12.10,15,214.92,Offense
2014-15,Hawaii,0,13,243,3196,18.69,13.15,26,245.85,Defensive
2015-16,Hawaii,13,13,202,2501,15.54,12.38,12,192.38,Offense
2015-16,Hawaii,0,13,224,2716,17.23,12.12,23,208.92,Defensive
2016-17,Hawaii,14,14,257,3185,18.36,12.39,25,227.50,Offense
2016-17,Hawaii,0,14,246,3183,246.00,185.07,29,3183.00,Defensive
2017-18,Hawaii,12,12,260,2814,21.67,10.82,19,234.50,Offense
2017-18,Hawaii,0,12,213,2983,17.75,14.00,29,248.58,Defensive
2013-14,Hawaii,12,12,296,3617,24.67,12.22,31,301.42,Offense
2013-14,Hawaii,0,12,248,3373,20.67,13.60,27,281.08,Defensive
2014-15,Hawaii,13,13,231,2794,17.77,12.10,15,214.92,Offense
2014-15,Hawaii,0,13,243,3196,18.69,13.15,26,245.85,Defensive
2015-16,Hawaii,13,13,202,2501,15.54,12.38,12,192.38,Offense
2015-16,Hawaii,0,13,224,2716,17.23,12.12,23,208.92,Defensive
2016-17,Hawaii,14,14,257,3185,18.36,12.39,25,227.50,Offense
2016-17,Hawaii,0,14,246,3183,246.00,185.07,29,3183.00,Defensive
2017-18,Hawaii,12,12,260,2814,21.67,10.82,19,234.50,Offense
2017-18,Hawaii,0,12,213,2983,17.75,14.00,29,248.58,Defensive
2013-14,Georgia St.,12,12,218,3036,18.17,13.93,18,253.00,Offense
2013-14,Georgia St.,0,12,223,2943,18.58,13.20,27,245.25,Defensive
2014-15,Georgia St.,12,12,264,3348,22.00,12.68,23,279.00,Offense
2014-15,Georgia St.,0,12,222,2324,18.50,10.47,23,193.67,Defensive
2015-16,Georgia St.,13,13,308,4367,23.69,14.18,28,335.92,Offense
2015-16,Georgia St.,0,13,267,2919,20.54,10.93,19,224.54,Defensive
2016-17,Georgia St.,12,12,231,2955,19.25,12.79,17,246.25,Offense
2016-17,Georgia St.,0,12,193,2087,193.00,138.29,8,2087.00,Defensive
2017-18,Georgia St.,11,11,245,2972,22.27,12.13,14,270.18,Offense
