Year,Team,GP,G,Rec,ReceivingYards,ReceptionsPerGame,YardsPerReception,RecTD,RecYdsG,OffenseDefense
2017-18,Bowling Green,12,12,226,2820,18.83,12.48,21,235.00,Offense
2017-18,Bowling Green,0,12,221,3040,18.42,13.76,22,253.33,Defensive
2013-14,Boston College,13,13,164,2012,12.62,12.27,17,154.77,Offense
2013-14,Boston College,0,13,283,3489,21.77,12.33,26,268.38,Defensive
2014-15,Boston College,13,13,135,1681,10.38,12.45,13,129.31,Offense
2014-15,Boston College,0,13,264,2987,20.31,11.31,20,229.77,Defensive
2015-16,Boston College,12,12,111,1334,9.25,12.02,8,111.17,Offense
2015-16,Boston College,0,12,173,2058,14.42,11.90,9,171.50,Defensive
2016-17,Boston College,13,13,150,1869,11.54,12.46,14,143.77,Offense
2016-17,Boston College,0,13,213,2673,213.00,157.91,28,2673.00,Defensive
2017-18,Boston College,12,12,182,1954,15.17,10.74,15,162.83,Offense
2017-18,Boston College,0,12,203,2396,16.92,11.80,9,199.67,Defensive
2013-14,Boston College,13,13,164,2012,12.62,12.27,17,154.77,Offense
2013-14,Boston College,0,13,283,3489,21.77,12.33,26,268.38,Defensive
2014-15,Boston College,13,13,135,1681,10.38,12.45,13,129.31,Offense
2014-15,Boston College,0,13,264,2987,20.31,11.31,20,229.77,Defensive
2015-16,Boston College,12,12,111,1334,9.25,12.02,8,111.17,Offense
2015-16,Boston College,0,12,173,2058,14.42,11.90,9,171.50,Defensive
2016-17,Boston College,13,13,150,1869,11.54,12.46,14,143.77,Offense
2016-17,Boston College,0,13,213,2673,213.00,157.91,28,2673.00,Defensive
2017-18,Boston College,12,12,182,1954,15.17,10.74,15,162.83,Offense
2017-18,Boston College,0,12,203,2396,16.92,11.80,9,199.67,Defensive
2013-14,Boston College,13,13,164,2012,12.62,12.27,17,154.77,Offense
2013-14,Boston College,0,13,283,3489,21.77,12.33,26,268.38,Defensive
2014-15,Boston College,13,13,135,1681,10.38,12.45,13,129.31,Offense
2014-15,Boston College,0,13,264,2987,20.31,11.31,20,229.77,Defensive
2015-16,Boston College,12,12,111,1334,9.25,12.02,8,111.17,Offense
2015-16,Boston College,0,12,173,2058,14.42,11.90,9,171.50,Defensive
2016-17,Boston College,13,13,150,1869,11.54,12.46,14,143.77,Offense
2016-17,Boston College,0,13,213,2673,213.00,157.91,28,2673.00,Defensive
2017-18,Boston College,12,12,182,1954,15.17,10.74,15,162.83,Offense
2017-18,Boston College,0,12,203,2396,16.92,11.80,9,199.67,Defensive
2013-14,Boston College,13,13,164,2012,12.62,12.27,17,154.77,Offense
2013-14,Boston College,0,13,283,3489,21.77,12.33,26,268.38,Defensive
2014-15,Boston College,13,13,135,1681,10.38,12.45,13,129.31,Offense
2014-15,Boston College,0,13,264,2987,20.31,11.31,20,229.77,Defensive
2015-16,Boston College,12,12,111,1334,9.25,12.02,8,111.17,Offense
2015-16,Boston College,0,12,173,2058,14.42,11.90,9,171.50,Defensive
2016-17,Boston College,13,13,150,1869,11.54,12.46,14,143.77,Offense
2016-17,Boston College,0,13,213,2673,213.00,157.91,28,2673.00,Defensive
2017-18,Boston College,12,12,182,1954,15.17,10.74,15,162.83,Offense
2017-18,Boston College,0,12,203,2396,16.92,11.80,9,199.67,Defensive
2013-14,Boise St.,13,13,329,3610,25.31,10.97,28,277.69,Offense
2013-14,Boise St.,0,13,294,3240,22.62,11.02,17,249.23,Defensive
2014-15,Boise St.,14,14,310,3926,22.14,12.66,27,280.43,Offense
2014-15,Boise St.,0,14,280,3260,20.00,11.64,18,232.86,Defensive
2015-16,Boise St.,13,13,334,4032,25.69,12.07,24,310.15,Offense
