Year,Team,GP,G,PuntRet,PuntRetTDs,PuntRetYds,OffenseDefense
2014-15,Fla. Atlantic,12,12,23,1,332,Offense
2014-15,Fla. Atlantic,0,12,25,nan,222,Defensive
2015-16,Fla. Atlantic,12,12,20,nan,135,Offense
2015-16,Fla. Atlantic,0,12,16,nan,116,Defensive
2016-17,Fla. Atlantic,12,12,13,nan,50,Offense
2016-17,Fla. Atlantic,0,12,21,1,181,Defensive
2017-18,Fla. Atlantic,13,13,14,nan,105,Offense
2017-18,Fla. Atlantic,0,13,12,nan,54,Defensive
2013-14,Fla. Atlantic,12,12,33,1,204,Offense
2013-14,Fla. Atlantic,0,12,28,1,267,Defensive
2014-15,Fla. Atlantic,12,12,23,1,332,Offense
2014-15,Fla. Atlantic,0,12,25,nan,222,Defensive
2015-16,Fla. Atlantic,12,12,20,nan,135,Offense
2015-16,Fla. Atlantic,0,12,16,nan,116,Defensive
2016-17,Fla. Atlantic,12,12,13,nan,50,Offense
2016-17,Fla. Atlantic,0,12,21,1,181,Defensive
2017-18,Fla. Atlantic,13,13,14,nan,105,Offense
2017-18,Fla. Atlantic,0,13,12,nan,54,Defensive
2013-14,Fla. Atlantic,12,12,33,1,204,Offense
2013-14,Fla. Atlantic,0,12,28,1,267,Defensive
2014-15,Fla. Atlantic,12,12,23,1,332,Offense
2014-15,Fla. Atlantic,0,12,25,nan,222,Defensive
2015-16,Fla. Atlantic,12,12,20,nan,135,Offense
2015-16,Fla. Atlantic,0,12,16,nan,116,Defensive
2016-17,Fla. Atlantic,12,12,13,nan,50,Offense
2016-17,Fla. Atlantic,0,12,21,1,181,Defensive
2017-18,Fla. Atlantic,13,13,14,nan,105,Offense
2017-18,Fla. Atlantic,0,13,12,nan,54,Defensive
2013-14,Fla. Atlantic,12,12,33,1,204,Offense
2013-14,Fla. Atlantic,0,12,28,1,267,Defensive
2014-15,Fla. Atlantic,12,12,23,1,332,Offense
2014-15,Fla. Atlantic,0,12,25,nan,222,Defensive
2015-16,Fla. Atlantic,12,12,20,nan,135,Offense
2015-16,Fla. Atlantic,0,12,16,nan,116,Defensive
2016-17,Fla. Atlantic,12,12,13,nan,50,Offense
2016-17,Fla. Atlantic,0,12,21,1,181,Defensive
2017-18,Fla. Atlantic,13,13,14,nan,105,Offense
2017-18,Fla. Atlantic,0,13,12,nan,54,Defensive
2013-14,FIU,12,12,17,nan,153,Offense
2013-14,FIU,0,12,27,nan,155,Defensive
2014-15,FIU,12,12,21,1,382,Offense
2014-15,FIU,0,12,33,nan,241,Defensive
2015-16,FIU,12,12,19,1,206,Offense
2015-16,FIU,0,12,17,1,155,Defensive
2016-17,FIU,12,12,15,nan,148,Offense
2016-17,FIU,0,12,14,nan,147,Defensive
2017-18,FIU,12,12,10,nan,45,Offense
2017-18,FIU,0,12,11,nan,73,Defensive
2013-14,FIU,12,12,17,nan,153,Offense
2013-14,FIU,0,12,27,nan,155,Defensive
2014-15,FIU,12,12,21,1,382,Offense
2014-15,FIU,0,12,33,nan,241,Defensive
2015-16,FIU,12,12,19,1,206,Offense
2015-16,FIU,0,12,17,1,155,Defensive
2016-17,FIU,12,12,15,nan,148,Offense
2016-17,FIU,0,12,14,nan,147,Defensive
2017-18,FIU,12,12,10,nan,45,Offense
2017-18,FIU,0,12,11,nan,73,Defensive
2013-14,Hawaii,12,12,25,nan,186,Offense
2013-14,Hawaii,0,12,23,nan,93,Defensive
2014-15,Hawaii,13,13,26,nan,229,Offense
2014-15,Hawaii,0,13,18,nan,29,Defensive
2015-16,Hawaii,13,13,26,1,201,Offense
2015-16,Hawaii,0,13,28,nan,209,Defensive
2016-17,Hawaii,14,14,8,nan,63,Offense
2016-17,Hawaii,0,14,29,1,292,Defensive
2017-18,Hawaii,12,12,6,nan,30,Offense
2017-18,Hawaii,0,12,27,nan,201,Defensive
2013-14,Hawaii,12,12,25,nan,186,Offense
2013-14,Hawaii,0,12,23,nan,93,Defensive
2014-15,Hawaii,13,13,26,nan,229,Offense
2014-15,Hawaii,0,13,18,nan,29,Defensive
2015-16,Hawaii,13,13,26,1,201,Offense
2015-16,Hawaii,0,13,28,nan,209,Defensive
2016-17,Hawaii,14,14,8,nan,63,Offense
2016-17,Hawaii,0,14,29,1,292,Defensive
2017-18,Hawaii,12,12,6,nan,30,Offense
2017-18,Hawaii,0,12,27,nan,201,Defensive
2013-14,Georgia St.,12,12,16,1,142,Offense
2013-14,Georgia St.,0,12,13,1,199,Defensive
2014-15,Georgia St.,12,12,7,nan,77,Offense
2014-15,Georgia St.,0,12,16,nan,216,Defensive
2015-16,Georgia St.,13,13,10,nan,35,Offense
2015-16,Georgia St.,0,13,21,2,295,Defensive
2016-17,Georgia St.,12,12,7,nan,10,Offense
2016-17,Georgia St.,0,12,30,2,373,Defensive
2017-18,Georgia St.,11,11,15,nan,96,Offense
2017-18,Georgia St.,0,11,19,nan,190,Defensive
2013-14,Georgia Tech,13,13,19,nan,160,Offense
2013-14,Georgia Tech,0,13,17,nan,152,Defensive
2014-15,Georgia Tech,14,14,12,nan,97,Offense
2014-15,Georgia Tech,0,14,16,nan,105,Defensive
2015-16,Georgia Tech,12,12,20,nan,189,Offense
2015-16,Georgia Tech,0,12,14,nan,109,Defensive
2016-17,Georgia Tech,13,13,12,nan,131,Offense
2016-17,Georgia Tech,0,13,14,nan,131,Defensive
2017-18,Georgia Tech,11,11,17,nan,125,Offense
2017-18,Georgia Tech,0,11,21,1,198,Defensive
2013-14,Georgia Tech,13,13,19,nan,160,Offense
2013-14,Georgia Tech,0,13,17,nan,152,Defensive
2014-15,Georgia Tech,14,14,12,nan,97,Offense
2014-15,Georgia Tech,0,14,16,nan,105,Defensive
2015-16,Georgia Tech,12,12,20,nan,189,Offense
2015-16,Georgia Tech,0,12,14,nan,109,Defensive
2016-17,Georgia Tech,13,13,12,nan,131,Offense
2016-17,Georgia Tech,0,13,14,nan,131,Defensive
2017-18,Georgia Tech,11,11,17,nan,125,Offense
2017-18,Georgia Tech,0,11,21,1,198,Defensive
2013-14,Georgia Tech,13,13,19,nan,160,Offense
2013-14,Georgia Tech,0,13,17,nan,152,Defensive
2014-15,Georgia Tech,14,14,12,nan,97,Offense
2014-15,Georgia Tech,0,14,16,nan,105,Defensive
2015-16,Georgia Tech,12,12,20,nan,189,Offense
2015-16,Georgia Tech,0,12,14,nan,109,Defensive
2016-17,Georgia Tech,13,13,12,nan,131,Offense
2016-17,Georgia Tech,0,13,14,nan,131,Defensive
2017-18,Georgia Tech,11,11,17,nan,125,Offense
2017-18,Georgia Tech,0,11,21,1,198,Defensive
2013-14,Georgia St.,12,12,16,1,142,Offense
2013-14,Georgia St.,0,12,13,1,199,Defensive
2014-15,Georgia St.,12,12,7,nan,77,Offense
2014-15,Georgia St.,0,12,16,nan,216,Defensive
2015-16,Georgia St.,13,13,10,nan,35,Offense
2015-16,Georgia St.,0,13,21,2,295,Defensive
2016-17,Georgia St.,12,12,7,nan,10,Offense
2016-17,Georgia St.,0,12,30,2,373,Defensive
2017-18,Georgia St.,11,11,15,nan,96,Offense
2017-18,Georgia St.,0,11,19,nan,190,Defensive
2013-14,Georgia St.,12,12,16,1,142,Offense
2013-14,Georgia St.,0,12,13,1,199,Defensive
2014-15,Georgia St.,12,12,7,nan,77,Offense
2014-15,Georgia St.,0,12,16,nan,216,Defensive
2015-16,Georgia St.,13,13,10,nan,35,Offense
2015-16,Georgia St.,0,13,21,2,295,Defensive
2016-17,Georgia St.,12,12,7,nan,10,Offense
2016-17,Georgia St.,0,12,30,2,373,Defensive
2017-18,Georgia St.,11,11,15,nan,96,Offense
2017-18,Georgia St.,0,11,19,nan,190,Defensive
2013-14,Georgia St.,12,12,16,1,142,Offense
2013-14,Georgia St.,0,12,13,1,199,Defensive
2014-15,Georgia St.,12,12,7,nan,77,Offense
2014-15,Georgia St.,0,12,16,nan,216,Defensive
2015-16,Georgia St.,13,13,10,nan,35,Offense
2015-16,Georgia St.,0,13,21,2,295,Defensive
2016-17,Georgia St.,12,12,7,nan,10,Offense
2016-17,Georgia St.,0,12,30,2,373,Defensive
2017-18,Georgia St.,11,11,15,nan,96,Offense
2017-18,Georgia St.,0,11,19,nan,190,Defensive
2013-14,Georgia,13,13,25,nan,73,Offense
2013-14,Georgia,0,13,10,2,43,Defensive
2014-15,Georgia,13,13,31,2,325,Offense
2014-15,Georgia,0,13,10,nan,47,Defensive
2015-16,Georgia,13,13,30,3,394,Offense
2015-16,Georgia,0,13,18,1,152,Defensive
2016-17,Georgia,13,13,23,1,245,Offense
2016-17,Georgia,0,13,20,nan,122,Defensive
2017-18,Georgia,13,13,25,nan,228,Offense
2017-18,Georgia,0,13,11,nan,59,Defensive
2013-14,Georgia,13,13,25,nan,73,Offense
2013-14,Georgia,0,13,10,2,43,Defensive
2014-15,Georgia,13,13,31,2,325,Offense
2014-15,Georgia,0,13,10,nan,47,Defensive
2015-16,Georgia,13,13,30,3,394,Offense
2015-16,Georgia,0,13,18,1,152,Defensive
2016-17,Georgia,13,13,23,1,245,Offense
2016-17,Georgia,0,13,20,nan,122,Defensive
2017-18,Georgia,13,13,25,nan,228,Offense
2017-18,Georgia,0,13,11,nan,59,Defensive
2013-14,Georgia,13,13,25,nan,73,Offense
2013-14,Georgia,0,13,10,2,43,Defensive
2014-15,Georgia,13,13,31,2,325,Offense
2014-15,Georgia,0,13,10,nan,47,Defensive
2015-16,Georgia,13,13,30,3,394,Offense
2015-16,Georgia,0,13,18,1,152,Defensive
2016-17,Georgia,13,13,23,1,245,Offense
2016-17,Georgia,0,13,20,nan,122,Defensive
2017-18,Georgia,13,13,25,nan,228,Offense
2017-18,Georgia,0,13,11,nan,59,Defensive
2013-14,Georgia,13,13,25,nan,73,Offense
2013-14,Georgia,0,13,10,2,43,Defensive
2014-15,Georgia,13,13,31,2,325,Offense
2014-15,Georgia,0,13,10,nan,47,Defensive
2015-16,Georgia,13,13,30,3,394,Offense
2015-16,Georgia,0,13,18,1,152,Defensive
2016-17,Georgia,13,13,23,1,245,Offense
2016-17,Georgia,0,13,20,nan,122,Defensive
2017-18,Georgia,13,13,25,nan,228,Offense
2017-18,Georgia,0,13,11,nan,59,Defensive
2013-14,Ga. Southern,11,11,30,nan,252,Offense
2013-14,Ga. Southern,0,11,5,nan,34,Defensive
2014-15,Ga. Southern,12,12,25,nan,128,Offense
2014-15,Ga. Southern,0,12,5,nan,44,Defensive
2015-16,Ga. Southern,13,13,21,1,339,Offense
2015-16,Ga. Southern,0,13,13,nan,66,Defensive
2016-17,Ga. Southern,12,12,16,nan,207,Offense
2016-17,Ga. Southern,0,12,8,nan,56,Defensive
2017-18,Ga. Southern,12,12,15,nan,143,Offense
2017-18,Ga. Southern,0,12,15,1,153,Defensive
2013-14,Ga. Southern,11,11,30,nan,252,Offense
2013-14,Ga. Southern,0,11,5,nan,34,Defensive
2014-15,Ga. Southern,12,12,25,nan,128,Offense
2014-15,Ga. Southern,0,12,5,nan,44,Defensive
2015-16,Ga. Southern,13,13,21,1,339,Offense
2015-16,Ga. Southern,0,13,13,nan,66,Defensive
2016-17,Ga. Southern,12,12,16,nan,207,Offense
2016-17,Ga. Southern,0,12,8,nan,56,Defensive
2017-18,Ga. Southern,12,12,15,nan,143,Offense
2017-18,Ga. Southern,0,12,15,1,153,Defensive
2013-14,Ga. Southern,11,11,30,nan,252,Offense
2013-14,Ga. Southern,0,11,5,nan,34,Defensive
2014-15,Ga. Southern,12,12,25,nan,128,Offense
2014-15,Ga. Southern,0,12,5,nan,44,Defensive
2015-16,Ga. Southern,13,13,21,1,339,Offense
2015-16,Ga. Southern,0,13,13,nan,66,Defensive
2016-17,Ga. Southern,12,12,16,nan,207,Offense
2016-17,Ga. Southern,0,12,8,nan,56,Defensive
2017-18,Ga. Southern,12,12,15,nan,143,Offense
2017-18,Ga. Southern,0,12,15,1,153,Defensive
2013-14,Ga. Southern,11,11,30,nan,252,Offense
2013-14,Ga. Southern,0,11,5,nan,34,Defensive
2014-15,Ga. Southern,12,12,25,nan,128,Offense
2014-15,Ga. Southern,0,12,5,nan,44,Defensive
2015-16,Ga. Southern,13,13,21,1,339,Offense
2015-16,Ga. Southern,0,13,13,nan,66,Defensive
2016-17,Ga. Southern,12,12,16,nan,207,Offense
2016-17,Ga. Southern,0,12,8,nan,56,Defensive
2017-18,Ga. Southern,12,12,15,nan,143,Offense
2017-18,Ga. Southern,0,12,15,1,153,Defensive
2013-14,Indiana,12,12,10,1,130,Offense
2013-14,Indiana,0,12,15,1,140,Defensive
2014-15,Indiana,12,12,17,nan,88,Offense
2014-15,Indiana,0,12,18,1,195,Defensive
2015-16,Indiana,13,13,18,2,199,Offense
2015-16,Indiana,0,13,27,1,191,Defensive
2016-17,Indiana,13,13,24,nan,179,Offense
2016-17,Indiana,0,13,32,1,195,Defensive
2017-18,Indiana,12,12,29,2,368,Offense
2017-18,Indiana,0,12,25,1,124,Defensive
2013-14,Indiana,12,12,10,1,130,Offense
2013-14,Indiana,0,12,15,1,140,Defensive
2014-15,Indiana,12,12,17,nan,88,Offense
2014-15,Indiana,0,12,18,1,195,Defensive
2015-16,Indiana,13,13,18,2,199,Offense
2015-16,Indiana,0,13,27,1,191,Defensive
2016-17,Indiana,13,13,24,nan,179,Offense
2016-17,Indiana,0,13,32,1,195,Defensive
2017-18,Indiana,12,12,29,2,368,Offense
2017-18,Indiana,0,12,25,1,124,Defensive
2013-14,Indiana,12,12,10,1,130,Offense
2013-14,Indiana,0,12,15,1,140,Defensive
2014-15,Indiana,12,12,17,nan,88,Offense
2014-15,Indiana,0,12,18,1,195,Defensive
2015-16,Indiana,13,13,18,2,199,Offense
2015-16,Indiana,0,13,27,1,191,Defensive
2016-17,Indiana,13,13,24,nan,179,Offense
2016-17,Indiana,0,13,32,1,195,Defensive
2017-18,Indiana,12,12,29,2,368,Offense
2017-18,Indiana,0,12,25,1,124,Defensive
2013-14,Illinois,12,12,21,1,272,Offense
2013-14,Illinois,0,12,20,nan,117,Defensive
2014-15,Illinois,13,13,22,nan,191,Offense
2014-15,Illinois,0,13,22,nan,174,Defensive
2015-16,Illinois,12,12,29,2,290,Offense
2015-16,Illinois,0,12,25,1,297,Defensive
2016-17,Illinois,12,12,23,nan,101,Offense
2016-17,Illinois,0,12,24,1,273,Defensive
2017-18,Illinois,12,12,12,nan,74,Offense
2017-18,Illinois,0,12,30,nan,143,Defensive
2013-14,Illinois,12,12,21,1,272,Offense
2013-14,Illinois,0,12,20,nan,117,Defensive
2014-15,Illinois,13,13,22,nan,191,Offense
2014-15,Illinois,0,13,22,nan,174,Defensive
2015-16,Illinois,12,12,29,2,290,Offense
2015-16,Illinois,0,12,25,1,297,Defensive
2016-17,Illinois,12,12,23,nan,101,Offense
2016-17,Illinois,0,12,24,1,273,Defensive
2017-18,Illinois,12,12,12,nan,74,Offense
2017-18,Illinois,0,12,30,nan,143,Defensive
2013-14,Illinois,12,12,21,1,272,Offense
2013-14,Illinois,0,12,20,nan,117,Defensive
2014-15,Illinois,13,13,22,nan,191,Offense
2014-15,Illinois,0,13,22,nan,174,Defensive
2015-16,Illinois,12,12,29,2,290,Offense
2015-16,Illinois,0,12,25,1,297,Defensive
2016-17,Illinois,12,12,23,nan,101,Offense
2016-17,Illinois,0,12,24,1,273,Defensive
2017-18,Illinois,12,12,12,nan,74,Offense
2017-18,Illinois,0,12,30,nan,143,Defensive
2013-14,Illinois,12,12,21,1,272,Offense
2013-14,Illinois,0,12,20,nan,117,Defensive
2014-15,Illinois,13,13,22,nan,191,Offense
2014-15,Illinois,0,13,22,nan,174,Defensive
2015-16,Illinois,12,12,29,2,290,Offense
2015-16,Illinois,0,12,25,1,297,Defensive
2016-17,Illinois,12,12,23,nan,101,Offense
2016-17,Illinois,0,12,24,1,273,Defensive
2017-18,Illinois,12,12,12,nan,74,Offense
2017-18,Illinois,0,12,30,nan,143,Defensive
2013-14,Idaho,12,12,24,nan,131,Offense
2013-14,Idaho,0,12,33,nan,390,Defensive
2014-15,Idaho,11,11,13,nan,80,Offense
2014-15,Idaho,0,11,15,nan,129,Defensive
2015-16,Idaho,12,12,12,nan,20,Offense
2015-16,Idaho,0,12,23,nan,183,Defensive
2016-17,Idaho,13,13,15,2,133,Offense
2016-17,Idaho,0,13,16,nan,124,Defensive
2017-18,Idaho,12,12,13,nan,77,Offense
2017-18,Idaho,0,12,25,1,346,Defensive
2013-14,Idaho,12,12,24,nan,131,Offense
2013-14,Idaho,0,12,33,nan,390,Defensive
2014-15,Idaho,11,11,13,nan,80,Offense
2014-15,Idaho,0,11,15,nan,129,Defensive
2015-16,Idaho,12,12,12,nan,20,Offense
2015-16,Idaho,0,12,23,nan,183,Defensive
2016-17,Idaho,13,13,15,2,133,Offense
2016-17,Idaho,0,13,16,nan,124,Defensive
2017-18,Idaho,12,12,13,nan,77,Offense
2017-18,Idaho,0,12,25,1,346,Defensive
2013-14,Idaho,12,12,24,nan,131,Offense
2013-14,Idaho,0,12,33,nan,390,Defensive
2014-15,Idaho,11,11,13,nan,80,Offense
2014-15,Idaho,0,11,15,nan,129,Defensive
2015-16,Idaho,12,12,12,nan,20,Offense
2015-16,Idaho,0,12,23,nan,183,Defensive
2016-17,Idaho,13,13,15,2,133,Offense
2016-17,Idaho,0,13,16,nan,124,Defensive
2017-18,Idaho,12,12,13,nan,77,Offense
2017-18,Idaho,0,12,25,1,346,Defensive
2013-14,Idaho,12,12,24,nan,131,Offense
2013-14,Idaho,0,12,33,nan,390,Defensive
2014-15,Idaho,11,11,13,nan,80,Offense
2014-15,Idaho,0,11,15,nan,129,Defensive
2015-16,Idaho,12,12,12,nan,20,Offense
2015-16,Idaho,0,12,23,nan,183,Defensive
2016-17,Idaho,13,13,15,2,133,Offense
2016-17,Idaho,0,13,16,nan,124,Defensive
2017-18,Idaho,12,12,13,nan,77,Offense
2017-18,Idaho,0,12,25,1,346,Defensive
2013-14,Houston,13,13,20,nan,73,Offense
2013-14,Houston,0,13,18,nan,73,Defensive
2014-15,Houston,13,13,15,nan,85,Offense
2014-15,Houston,0,13,22,nan,99,Defensive
2015-16,Houston,14,14,29,1,302,Offense
2015-16,Houston,0,14,16,nan,35,Defensive
2016-17,Houston,13,13,18,nan,73,Offense
2016-17,Houston,0,13,13,nan,34,Defensive
2017-18,Houston,11,11,16,nan,70,Offense
2017-18,Houston,0,11,8,nan,47,Defensive
2013-14,Houston,13,13,20,nan,73,Offense
2013-14,Houston,0,13,18,nan,73,Defensive
2014-15,Houston,13,13,15,nan,85,Offense
2014-15,Houston,0,13,22,nan,99,Defensive
2015-16,Houston,14,14,29,1,302,Offense
2015-16,Houston,0,14,16,nan,35,Defensive
2016-17,Houston,13,13,18,nan,73,Offense
2016-17,Houston,0,13,13,nan,34,Defensive
2017-18,Houston,11,11,16,nan,70,Offense
2017-18,Houston,0,11,8,nan,47,Defensive
2013-14,Houston,13,13,20,nan,73,Offense
2013-14,Houston,0,13,18,nan,73,Defensive
2014-15,Houston,13,13,15,nan,85,Offense
2014-15,Houston,0,13,22,nan,99,Defensive
2015-16,Houston,14,14,29,1,302,Offense
2015-16,Houston,0,14,16,nan,35,Defensive
2016-17,Houston,13,13,18,nan,73,Offense
2016-17,Houston,0,13,13,nan,34,Defensive
2017-18,Houston,11,11,16,nan,70,Offense
2017-18,Houston,0,11,8,nan,47,Defensive
2013-14,Houston,13,13,20,nan,73,Offense
2013-14,Houston,0,13,18,nan,73,Defensive
2014-15,Houston,13,13,15,nan,85,Offense
2014-15,Houston,0,13,22,nan,99,Defensive
2015-16,Houston,14,14,29,1,302,Offense
2015-16,Houston,0,14,16,nan,35,Defensive
2016-17,Houston,13,13,18,nan,73,Offense
2016-17,Houston,0,13,13,nan,34,Defensive
2017-18,Houston,11,11,16,nan,70,Offense
2017-18,Houston,0,11,8,nan,47,Defensive
2013-14,Hawaii,12,12,25,nan,186,Offense
2013-14,Hawaii,0,12,23,nan,93,Defensive
2014-15,Hawaii,13,13,26,nan,229,Offense
2014-15,Hawaii,0,13,18,nan,29,Defensive
2015-16,Hawaii,13,13,26,1,201,Offense
2015-16,Hawaii,0,13,28,nan,209,Defensive
2016-17,Hawaii,14,14,8,nan,63,Offense
2016-17,Hawaii,0,14,29,1,292,Defensive
2017-18,Hawaii,12,12,6,nan,30,Offense
2017-18,Hawaii,0,12,27,nan,201,Defensive
2013-14,Hawaii,12,12,25,nan,186,Offense
2013-14,Hawaii,0,12,23,nan,93,Defensive
2014-15,Hawaii,13,13,26,nan,229,Offense
2014-15,Hawaii,0,13,18,nan,29,Defensive
2015-16,Hawaii,13,13,26,1,201,Offense
2015-16,Hawaii,0,13,28,nan,209,Defensive
2016-17,Hawaii,14,14,8,nan,63,Offense
2016-17,Hawaii,0,14,29,1,292,Defensive
2017-18,Hawaii,12,12,6,nan,30,Offense
2017-18,Hawaii,0,12,27,nan,201,Defensive
2013-14,Kansas St.,13,13,16,nan,200,Offense
2013-14,Kansas St.,0,13,10,nan,128,Defensive
2014-15,Kansas St.,13,13,24,2,432,Offense
2014-15,Kansas St.,0,13,11,1,122,Defensive
2015-16,Kansas St.,13,13,24,1,167,Offense
2015-16,Kansas St.,0,13,19,nan,127,Defensive
2016-17,Kansas St.,13,13,21,1,227,Offense
2016-17,Kansas St.,0,13,21,nan,87,Defensive
2017-18,Kansas St.,12,12,27,1,399,Offense
2017-18,Kansas St.,0,12,17,nan,97,Defensive
2013-14,Kansas St.,13,13,16,nan,200,Offense
2013-14,Kansas St.,0,13,10,nan,128,Defensive
2014-15,Kansas St.,13,13,24,2,432,Offense
2014-15,Kansas St.,0,13,11,1,122,Defensive
2015-16,Kansas St.,13,13,24,1,167,Offense
2015-16,Kansas St.,0,13,19,nan,127,Defensive
2016-17,Kansas St.,13,13,21,1,227,Offense
2016-17,Kansas St.,0,13,21,nan,87,Defensive
2017-18,Kansas St.,12,12,27,1,399,Offense
2017-18,Kansas St.,0,12,17,nan,97,Defensive
2013-14,Kansas St.,13,13,16,nan,200,Offense
2013-14,Kansas St.,0,13,10,nan,128,Defensive
2014-15,Kansas St.,13,13,24,2,432,Offense
2014-15,Kansas St.,0,13,11,1,122,Defensive
2015-16,Kansas St.,13,13,24,1,167,Offense
2015-16,Kansas St.,0,13,19,nan,127,Defensive
2016-17,Kansas St.,13,13,21,1,227,Offense
2016-17,Kansas St.,0,13,21,nan,87,Defensive
2017-18,Kansas St.,12,12,27,1,399,Offense
2017-18,Kansas St.,0,12,17,nan,97,Defensive
2013-14,Kansas St.,13,13,16,nan,200,Offense
2013-14,Kansas St.,0,13,10,nan,128,Defensive
2014-15,Kansas St.,13,13,24,2,432,Offense
2014-15,Kansas St.,0,13,11,1,122,Defensive
2015-16,Kansas St.,13,13,24,1,167,Offense
2015-16,Kansas St.,0,13,19,nan,127,Defensive
2016-17,Kansas St.,13,13,21,1,227,Offense
2016-17,Kansas St.,0,13,21,nan,87,Defensive
2017-18,Kansas St.,12,12,27,1,399,Offense
2017-18,Kansas St.,0,12,17,nan,97,Defensive
2013-14,Kansas,12,12,18,nan,203,Offense
2013-14,Kansas,0,12,35,nan,172,Defensive
2014-15,Kansas,12,12,14,1,174,Offense
2014-15,Kansas,0,12,32,1,261,Defensive
2015-16,Kansas,12,12,13,nan,26,Offense
2015-16,Kansas,0,12,31,3,244,Defensive
2016-17,Kansas,12,12,7,nan,-10,Offense
2016-17,Kansas,0,12,25,1,241,Defensive
2017-18,Kansas,12,12,13,nan,81,Offense
2017-18,Kansas,0,12,20,2,366,Defensive
2013-14,Kansas,12,12,18,nan,203,Offense
2013-14,Kansas,0,12,35,nan,172,Defensive
2014-15,Kansas,12,12,14,1,174,Offense
2014-15,Kansas,0,12,32,1,261,Defensive
2015-16,Kansas,12,12,13,nan,26,Offense
2015-16,Kansas,0,12,31,3,244,Defensive
2016-17,Kansas,12,12,7,nan,-10,Offense
2016-17,Kansas,0,12,25,1,241,Defensive
2017-18,Kansas,12,12,13,nan,81,Offense
2017-18,Kansas,0,12,20,2,366,Defensive
2013-14,Kansas,12,12,18,nan,203,Offense
2013-14,Kansas,0,12,35,nan,172,Defensive
2014-15,Kansas,12,12,14,1,174,Offense
2014-15,Kansas,0,12,32,1,261,Defensive
2015-16,Kansas,12,12,13,nan,26,Offense
2015-16,Kansas,0,12,31,3,244,Defensive
2016-17,Kansas,12,12,7,nan,-10,Offense
2016-17,Kansas,0,12,25,1,241,Defensive
2017-18,Kansas,12,12,13,nan,81,Offense
2017-18,Kansas,0,12,20,2,366,Defensive
2013-14,Kansas,12,12,18,nan,203,Offense
2013-14,Kansas,0,12,35,nan,172,Defensive
2014-15,Kansas,12,12,14,1,174,Offense
2014-15,Kansas,0,12,32,1,261,Defensive
2015-16,Kansas,12,12,13,nan,26,Offense
2015-16,Kansas,0,12,31,3,244,Defensive
2016-17,Kansas,12,12,7,nan,-10,Offense
2016-17,Kansas,0,12,25,1,241,Defensive
2017-18,Kansas,12,12,13,nan,81,Offense
2017-18,Kansas,0,12,20,2,366,Defensive
2013-14,Iowa St.,12,12,20,nan,178,Offense
2013-14,Iowa St.,0,12,16,2,182,Defensive
2014-15,Iowa St.,12,12,14,1,156,Offense
2014-15,Iowa St.,0,12,18,nan,67,Defensive
2015-16,Iowa St.,12,12,22,1,383,Offense
2015-16,Iowa St.,0,12,15,nan,94,Defensive
2016-17,Iowa St.,12,12,24,nan,226,Offense
2016-17,Iowa St.,0,12,15,nan,66,Defensive
2017-18,Iowa St.,12,12,20,1,181,Offense
2017-18,Iowa St.,0,12,14,nan,80,Defensive
2013-14,Iowa St.,12,12,20,nan,178,Offense
2013-14,Iowa St.,0,12,16,2,182,Defensive
2014-15,Iowa St.,12,12,14,1,156,Offense
2014-15,Iowa St.,0,12,18,nan,67,Defensive
2015-16,Iowa St.,12,12,22,1,383,Offense
2015-16,Iowa St.,0,12,15,nan,94,Defensive
2016-17,Iowa St.,12,12,24,nan,226,Offense
2016-17,Iowa St.,0,12,15,nan,66,Defensive
2017-18,Iowa St.,12,12,20,1,181,Offense
2017-18,Iowa St.,0,12,14,nan,80,Defensive
2013-14,Iowa St.,12,12,20,nan,178,Offense
2013-14,Iowa St.,0,12,16,2,182,Defensive
2014-15,Iowa St.,12,12,14,1,156,Offense
2014-15,Iowa St.,0,12,18,nan,67,Defensive
2015-16,Iowa St.,12,12,22,1,383,Offense
2015-16,Iowa St.,0,12,15,nan,94,Defensive
2016-17,Iowa St.,12,12,24,nan,226,Offense
2016-17,Iowa St.,0,12,15,nan,66,Defensive
2017-18,Iowa St.,12,12,20,1,181,Offense
2017-18,Iowa St.,0,12,14,nan,80,Defensive
2013-14,Iowa St.,12,12,20,nan,178,Offense
2013-14,Iowa St.,0,12,16,2,182,Defensive
2014-15,Iowa St.,12,12,14,1,156,Offense
2014-15,Iowa St.,0,12,18,nan,67,Defensive
2015-16,Iowa St.,12,12,22,1,383,Offense
2015-16,Iowa St.,0,12,15,nan,94,Defensive
2016-17,Iowa St.,12,12,24,nan,226,Offense
2016-17,Iowa St.,0,12,15,nan,66,Defensive
2017-18,Iowa St.,12,12,20,1,181,Offense
2017-18,Iowa St.,0,12,14,nan,80,Defensive
2013-14,Iowa,13,13,24,2,337,Offense
2013-14,Iowa,0,13,21,nan,103,Defensive
2014-15,Iowa,13,13,24,2,123,Offense
2014-15,Iowa,0,13,15,1,227,Defensive
2015-16,Iowa,14,14,18,nan,251,Offense
2015-16,Iowa,0,14,13,2,180,Defensive
2016-17,Iowa,13,13,33,1,412,Offense
2016-17,Iowa,0,13,12,nan,134,Defensive
2017-18,Iowa,12,12,18,nan,122,Offense
2017-18,Iowa,0,12,16,nan,81,Defensive
2013-14,Iowa,13,13,24,2,337,Offense
2013-14,Iowa,0,13,21,nan,103,Defensive
