Year,Team,GP,G,RZScores,RZPts,RZRushTD,RZPassTD,RZFGMade,RZEndFGA,RZEndFumble,RZEndINT,RZEndDowns,RZEndHalf,RZEndGame,OffenseDefense
2016-17,FIU,12,12,38,226,15,13,10,3,1,1,1,nan,nan,Offense
2016-17,FIU,0,12,39,237,19,11,9,3,nan,nan,nan,1,nan,Defensive
2017-18,FIU,12,12,39,236,18,12,9,nan,1,nan,nan,nan,nan,Offense
2017-18,FIU,0,12,39,241,16,15,8,4,2,nan,5,nan,nan,Defensive
2013-14,FIU,12,12,18,101,5,7,6,1,2,1,2,1,nan,Offense
2013-14,FIU,0,12,46,260,18,13,15,5,nan,nan,nan,1,nan,Defensive
2014-15,FIU,12,12,27,142,9,7,11,3,1,nan,1,1,nan,Offense
2014-15,FIU,0,12,27,153,12,6,9,1,8,3,nan,nan,nan,Defensive
2015-16,FIU,12,12,34,203,13,13,8,1,1,1,2,nan,nan,Offense
2015-16,FIU,0,12,34,213,19,9,6,3,1,nan,4,3,nan,Defensive
2016-17,FIU,12,12,38,226,15,13,10,3,1,1,1,nan,nan,Offense
2016-17,FIU,0,12,39,237,19,11,9,3,nan,nan,nan,1,nan,Defensive
2017-18,FIU,12,12,39,236,18,12,9,nan,1,nan,nan,nan,nan,Offense
2017-18,FIU,0,12,39,241,16,15,8,4,2,nan,5,nan,nan,Defensive
2013-14,Eastern Mich.,12,12,24,151,11,9,4,1,2,3,2,nan,nan,Offense
2013-14,Eastern Mich.,0,12,47,277,24,10,13,1,1,2,1,2,nan,Defensive
2014-15,Eastern Mich.,12,12,19,111,7,7,5,3,2,nan,3,nan,nan,Offense
2014-15,Eastern Mich.,0,12,45,261,22,10,13,4,2,1,6,1,nan,Defensive
2015-16,Eastern Mich.,12,12,30,198,14,13,3,4,2,nan,nan,nan,nan,Offense
2015-16,Eastern Mich.,0,12,45,296,30,10,5,5,1,1,2,2,nan,Defensive
2016-17,Eastern Mich.,13,13,51,296,18,18,15,1,nan,2,2,1,nan,Offense
2016-17,Eastern Mich.,0,13,37,230,18,12,7,3,2,nan,2,nan,nan,Defensive
2017-18,Eastern Mich.,12,12,35,192,11,12,12,3,1,nan,2,1,nan,Offense
2017-18,Eastern Mich.,0,12,37,214,14,12,11,4,nan,nan,2,nan,nan,Defensive
2013-14,Eastern Mich.,12,12,24,151,11,9,4,1,2,3,2,nan,nan,Offense
2013-14,Eastern Mich.,0,12,47,277,24,10,13,1,1,2,1,2,nan,Defensive
2014-15,Eastern Mich.,12,12,19,111,7,7,5,3,2,nan,3,nan,nan,Offense
2014-15,Eastern Mich.,0,12,45,261,22,10,13,4,2,1,6,1,nan,Defensive
2015-16,Eastern Mich.,12,12,30,198,14,13,3,4,2,nan,nan,nan,nan,Offense
2015-16,Eastern Mich.,0,12,45,296,30,10,5,5,1,1,2,2,nan,Defensive
2016-17,Eastern Mich.,13,13,51,296,18,18,15,1,nan,2,2,1,nan,Offense
2016-17,Eastern Mich.,0,13,37,230,18,12,7,3,2,nan,2,nan,nan,Defensive
2017-18,Eastern Mich.,12,12,35,192,11,12,12,3,1,nan,2,1,nan,Offense
2017-18,Eastern Mich.,0,12,37,214,14,12,11,4,nan,nan,2,nan,nan,Defensive
2013-14,Eastern Mich.,12,12,24,151,11,9,4,1,2,3,2,nan,nan,Offense
2013-14,Eastern Mich.,0,12,47,277,24,10,13,1,1,2,1,2,nan,Defensive
2014-15,Eastern Mich.,12,12,19,111,7,7,5,3,2,nan,3,nan,nan,Offense
2014-15,Eastern Mich.,0,12,45,261,22,10,13,4,2,1,6,1,nan,Defensive
2015-16,Eastern Mich.,12,12,30,198,14,13,3,4,2,nan,nan,nan,nan,Offense
2015-16,Eastern Mich.,0,12,45,296,30,10,5,5,1,1,2,2,nan,Defensive
2016-17,Eastern Mich.,13,13,51,296,18,18,15,1,nan,2,2,1,nan,Offense
2016-17,Eastern Mich.,0,13,37,230,18,12,7,3,2,nan,2,nan,nan,Defensive
2017-18,Eastern Mich.,12,12,35,192,11,12,12,3,1,nan,2,1,nan,Offense
2017-18,Eastern Mich.,0,12,37,214,14,12,11,4,nan,nan,2,nan,nan,Defensive
2013-14,Eastern Mich.,12,12,24,151,11,9,4,1,2,3,2,nan,nan,Offense
2013-14,Eastern Mich.,0,12,47,277,24,10,13,1,1,2,1,2,nan,Defensive
2014-15,Eastern Mich.,12,12,19,111,7,7,5,3,2,nan,3,nan,nan,Offense
2014-15,Eastern Mich.,0,12,45,261,22,10,13,4,2,1,6,1,nan,Defensive
2015-16,Eastern Mich.,12,12,30,198,14,13,3,4,2,nan,nan,nan,nan,Offense
2015-16,Eastern Mich.,0,12,45,296,30,10,5,5,1,1,2,2,nan,Defensive
2016-17,Eastern Mich.,13,13,51,296,18,18,15,1,nan,2,2,1,nan,Offense
2016-17,Eastern Mich.,0,13,37,230,18,12,7,3,2,nan,2,nan,nan,Defensive
2017-18,Eastern Mich.,12,12,35,192,11,12,12,3,1,nan,2,1,nan,Offense
2017-18,Eastern Mich.,0,12,37,214,14,12,11,4,nan,nan,2,nan,nan,Defensive
2013-14,East Carolina,13,13,64,396,27,24,13,4,2,2,2,1,nan,Offense
2013-14,East Carolina,0,13,34,205,12,14,8,4,1,2,3,1,nan,Defensive
2014-15,East Carolina,13,13,62,379,24,25,13,5,1,2,4,nan,nan,Offense
2014-15,East Carolina,0,13,33,190,15,8,10,3,nan,nan,3,nan,nan,Defensive
2015-16,East Carolina,12,12,39,236,13,17,9,3,1,nan,1,nan,nan,Offense
2015-16,East Carolina,0,12,37,222,19,9,9,5,nan,1,1,nan,nan,Defensive
2016-17,East Carolina,12,12,34,201,11,14,9,4,2,3,3,nan,nan,Offense
2016-17,East Carolina,0,12,49,293,27,10,12,nan,1,1,2,2,nan,Defensive
2017-18,East Carolina,12,12,33,195,9,15,9,1,1,3,5,1,nan,Offense
2017-18,East Carolina,0,12,50,313,25,16,9,2,1,1,1,1,nan,Defensive
2013-14,East Carolina,13,13,64,396,27,24,13,4,2,2,2,1,nan,Offense
2013-14,East Carolina,0,13,34,205,12,14,8,4,1,2,3,1,nan,Defensive
2014-15,East Carolina,13,13,62,379,24,25,13,5,1,2,4,nan,nan,Offense
2014-15,East Carolina,0,13,33,190,15,8,10,3,nan,nan,3,nan,nan,Defensive
2015-16,East Carolina,12,12,39,236,13,17,9,3,1,nan,1,nan,nan,Offense
2015-16,East Carolina,0,12,37,222,19,9,9,5,nan,1,1,nan,nan,Defensive
2016-17,East Carolina,12,12,34,201,11,14,9,4,2,3,3,nan,nan,Offense
2016-17,East Carolina,0,12,49,293,27,10,12,nan,1,1,2,2,nan,Defensive
2017-18,East Carolina,12,12,33,195,9,15,9,1,1,3,5,1,nan,Offense
2017-18,East Carolina,0,12,50,313,25,16,9,2,1,1,1,1,nan,Defensive
2013-14,East Carolina,13,13,64,396,27,24,13,4,2,2,2,1,nan,Offense
2013-14,East Carolina,0,13,34,205,12,14,8,4,1,2,3,1,nan,Defensive
2014-15,East Carolina,13,13,62,379,24,25,13,5,1,2,4,nan,nan,Offense
2014-15,East Carolina,0,13,33,190,15,8,10,3,nan,nan,3,nan,nan,Defensive
2015-16,East Carolina,12,12,39,236,13,17,9,3,1,nan,1,nan,nan,Offense
2015-16,East Carolina,0,12,37,222,19,9,9,5,nan,1,1,nan,nan,Defensive
2016-17,East Carolina,12,12,34,201,11,14,9,4,2,3,3,nan,nan,Offense
2016-17,East Carolina,0,12,49,293,27,10,12,nan,1,1,2,2,nan,Defensive
2017-18,East Carolina,12,12,33,195,9,15,9,1,1,3,5,1,nan,Offense
2017-18,East Carolina,0,12,50,313,25,16,9,2,1,1,1,1,nan,Defensive
2013-14,Duke,14,14,50,309,25,15,10,1,nan,3,3,1,nan,Offense
2013-14,Duke,0,14,37,228,16,13,8,4,2,1,1,nan,nan,Defensive
2014-15,Duke,13,13,49,285,20,15,14,nan,1,1,4,1,nan,Offense
2014-15,Duke,0,13,45,250,19,11,15,1,2,2,1,nan,nan,Defensive
2015-16,Duke,13,13,46,253,17,12,17,2,1,1,5,nan,nan,Offense
2015-16,Duke,0,13,34,204,15,11,8,1,1,2,1,1,nan,Defensive
2016-17,Duke,12,12,33,217,18,12,3,4,1,nan,3,nan,nan,Offense
2016-17,Duke,0,12,30,174,13,8,9,4,1,nan,1,1,nan,Defensive
2017-18,Duke,12,12,39,203,14,8,17,3,nan,2,3,nan,nan,Offense
2017-18,Duke,0,12,21,122,9,6,6,2,nan,nan,1,nan,nan,Defensive
2013-14,Duke,14,14,50,309,25,15,10,1,nan,3,3,1,nan,Offense
2013-14,Duke,0,14,37,228,16,13,8,4,2,1,1,nan,nan,Defensive
2014-15,Duke,13,13,49,285,20,15,14,nan,1,1,4,1,nan,Offense
2014-15,Duke,0,13,45,250,19,11,15,1,2,2,1,nan,nan,Defensive
2015-16,Duke,13,13,46,253,17,12,17,2,1,1,5,nan,nan,Offense
2015-16,Duke,0,13,34,204,15,11,8,1,1,2,1,1,nan,Defensive
2016-17,Duke,12,12,33,217,18,12,3,4,1,nan,3,nan,nan,Offense
2016-17,Duke,0,12,30,174,13,8,9,4,1,nan,1,1,nan,Defensive
2017-18,Duke,12,12,39,203,14,8,17,3,nan,2,3,nan,nan,Offense
2017-18,Duke,0,12,21,122,9,6,6,2,nan,nan,1,nan,nan,Defensive
2013-14,Duke,14,14,50,309,25,15,10,1,nan,3,3,1,nan,Offense
2013-14,Duke,0,14,37,228,16,13,8,4,2,1,1,nan,nan,Defensive
2014-15,Duke,13,13,49,285,20,15,14,nan,1,1,4,1,nan,Offense
2014-15,Duke,0,13,45,250,19,11,15,1,2,2,1,nan,nan,Defensive
2015-16,Duke,13,13,46,253,17,12,17,2,1,1,5,nan,nan,Offense
2015-16,Duke,0,13,34,204,15,11,8,1,1,2,1,1,nan,Defensive
2016-17,Duke,12,12,33,217,18,12,3,4,1,nan,3,nan,nan,Offense
2016-17,Duke,0,12,30,174,13,8,9,4,1,nan,1,1,nan,Defensive
2017-18,Duke,12,12,39,203,14,8,17,3,nan,2,3,nan,nan,Offense
2017-18,Duke,0,12,21,122,9,6,6,2,nan,nan,1,nan,nan,Defensive
2013-14,Duke,14,14,50,309,25,15,10,1,nan,3,3,1,nan,Offense
2013-14,Duke,0,14,37,228,16,13,8,4,2,1,1,nan,nan,Defensive
2014-15,Duke,13,13,49,285,20,15,14,nan,1,1,4,1,nan,Offense
2014-15,Duke,0,13,45,250,19,11,15,1,2,2,1,nan,nan,Defensive
2015-16,Duke,13,13,46,253,17,12,17,2,1,1,5,nan,nan,Offense
2015-16,Duke,0,13,34,204,15,11,8,1,1,2,1,1,nan,Defensive
2016-17,Duke,12,12,33,217,18,12,3,4,1,nan,3,nan,nan,Offense
2016-17,Duke,0,12,30,174,13,8,9,4,1,nan,1,1,nan,Defensive
2017-18,Duke,12,12,39,203,14,8,17,3,nan,2,3,nan,nan,Offense
2017-18,Duke,0,12,21,122,9,6,6,2,nan,nan,1,nan,nan,Defensive
2013-14,Colorado St.,14,14,49,298,27,11,11,2,nan,2,3,nan,nan,Offense
2013-14,Colorado St.,0,14,38,222,13,14,11,3,1,1,3,nan,nan,Defensive
2014-15,Colorado St.,13,13,42,269,21,15,6,3,1,nan,4,nan,nan,Offense
2014-15,Colorado St.,0,13,43,255,24,8,11,2,nan,4,1,nan,nan,Defensive
2015-16,Colorado St.,13,13,47,273,17,16,14,2,2,2,1,nan,nan,Offense
2015-16,Colorado St.,0,13,37,194,17,4,16,2,1,nan,2,nan,nan,Defensive
2016-17,Colorado St.,13,13,50,317,22,20,8,1,nan,nan,1,1,nan,Offense
2016-17,Colorado St.,0,13,44,274,27,9,8,1,nan,nan,2,nan,nan,Defensive
2017-18,Colorado St.,12,12,51,314,21,20,10,2,3,3,1,nan,nan,Offense
2017-18,Colorado St.,0,12,24,144,12,6,6,2,nan,1,2,1,nan,Defensive
2013-14,Colorado St.,14,14,49,298,27,11,11,2,nan,2,3,nan,nan,Offense
2013-14,Colorado St.,0,14,38,222,13,14,11,3,1,1,3,nan,nan,Defensive
2014-15,Colorado St.,13,13,42,269,21,15,6,3,1,nan,4,nan,nan,Offense
2014-15,Colorado St.,0,13,43,255,24,8,11,2,nan,4,1,nan,nan,Defensive
2015-16,Colorado St.,13,13,47,273,17,16,14,2,2,2,1,nan,nan,Offense
2015-16,Colorado St.,0,13,37,194,17,4,16,2,1,nan,2,nan,nan,Defensive
2016-17,Colorado St.,13,13,50,317,22,20,8,1,nan,nan,1,1,nan,Offense
2016-17,Colorado St.,0,13,44,274,27,9,8,1,nan,nan,2,nan,nan,Defensive
2017-18,Colorado St.,12,12,51,314,21,20,10,2,3,3,1,nan,nan,Offense
2017-18,Colorado St.,0,12,24,144,12,6,6,2,nan,1,2,1,nan,Defensive
2013-14,Colorado St.,14,14,49,298,27,11,11,2,nan,2,3,nan,nan,Offense
2013-14,Colorado St.,0,14,38,222,13,14,11,3,1,1,3,nan,nan,Defensive
2014-15,Colorado St.,13,13,42,269,21,15,6,3,1,nan,4,nan,nan,Offense
2014-15,Colorado St.,0,13,43,255,24,8,11,2,nan,4,1,nan,nan,Defensive
2015-16,Colorado St.,13,13,47,273,17,16,14,2,2,2,1,nan,nan,Offense
2015-16,Colorado St.,0,13,37,194,17,4,16,2,1,nan,2,nan,nan,Defensive
2016-17,Colorado St.,13,13,50,317,22,20,8,1,nan,nan,1,1,nan,Offense
2016-17,Colorado St.,0,13,44,274,27,9,8,1,nan,nan,2,nan,nan,Defensive
2017-18,Colorado St.,12,12,51,314,21,20,10,2,3,3,1,nan,nan,Offense
2017-18,Colorado St.,0,12,24,144,12,6,6,2,nan,1,2,1,nan,Defensive
2013-14,Colorado St.,14,14,49,298,27,11,11,2,nan,2,3,nan,nan,Offense
2013-14,Colorado St.,0,14,38,222,13,14,11,3,1,1,3,nan,nan,Defensive
2014-15,Colorado St.,13,13,42,269,21,15,6,3,1,nan,4,nan,nan,Offense
2014-15,Colorado St.,0,13,43,255,24,8,11,2,nan,4,1,nan,nan,Defensive
2015-16,Colorado St.,13,13,47,273,17,16,14,2,2,2,1,nan,nan,Offense
2015-16,Colorado St.,0,13,37,194,17,4,16,2,1,nan,2,nan,nan,Defensive
2016-17,Colorado St.,13,13,50,317,22,20,8,1,nan,nan,1,1,nan,Offense
2016-17,Colorado St.,0,13,44,274,27,9,8,1,nan,nan,2,nan,nan,Defensive
2017-18,Colorado St.,12,12,51,314,21,20,10,2,3,3,1,nan,nan,Offense
2017-18,Colorado St.,0,12,24,144,12,6,6,2,nan,1,2,1,nan,Defensive
2013-14,Fresno St.,13,13,59,379,19,32,8,3,1,2,1,4,nan,Offense
2013-14,Fresno St.,0,13,39,236,14,16,9,1,1,1,3,nan,nan,Defensive
2014-15,Fresno St.,14,14,41,260,19,16,6,2,3,1,5,3,nan,Offense
2014-15,Fresno St.,0,14,46,263,14,18,14,3,nan,1,3,nan,nan,Defensive
2015-16,Fresno St.,12,12,23,138,9,9,5,2,nan,3,5,nan,nan,Offense
2015-16,Fresno St.,0,12,38,248,23,11,4,2,1,2,1,1,nan,Defensive
2016-17,Fresno St.,12,12,26,145,9,8,9,1,nan,3,4,nan,nan,Offense
2016-17,Fresno St.,0,12,42,261,24,10,8,2,nan,1,3,2,nan,Defensive
2017-18,Fresno St.,13,13,42,232,18,9,15,1,nan,nan,1,3,nan,Offense
2017-18,Fresno St.,0,13,29,167,10,10,9,1,1,1,2,1,nan,Defensive
2013-14,Fresno St.,13,13,59,379,19,32,8,3,1,2,1,4,nan,Offense
2013-14,Fresno St.,0,13,39,236,14,16,9,1,1,1,3,nan,nan,Defensive
2014-15,Fresno St.,14,14,41,260,19,16,6,2,3,1,5,3,nan,Offense
2014-15,Fresno St.,0,14,46,263,14,18,14,3,nan,1,3,nan,nan,Defensive
2015-16,Fresno St.,12,12,23,138,9,9,5,2,nan,3,5,nan,nan,Offense
2015-16,Fresno St.,0,12,38,248,23,11,4,2,1,2,1,1,nan,Defensive
2016-17,Fresno St.,12,12,26,145,9,8,9,1,nan,3,4,nan,nan,Offense
2016-17,Fresno St.,0,12,42,261,24,10,8,2,nan,1,3,2,nan,Defensive
2017-18,Fresno St.,13,13,42,232,18,9,15,1,nan,nan,1,3,nan,Offense
2017-18,Fresno St.,0,13,29,167,10,10,9,1,1,1,2,1,nan,Defensive
2013-14,Fresno St.,13,13,59,379,19,32,8,3,1,2,1,4,nan,Offense
2013-14,Fresno St.,0,13,39,236,14,16,9,1,1,1,3,nan,nan,Defensive
2014-15,Fresno St.,14,14,41,260,19,16,6,2,3,1,5,3,nan,Offense
2014-15,Fresno St.,0,14,46,263,14,18,14,3,nan,1,3,nan,nan,Defensive
2015-16,Fresno St.,12,12,23,138,9,9,5,2,nan,3,5,nan,nan,Offense
2015-16,Fresno St.,0,12,38,248,23,11,4,2,1,2,1,1,nan,Defensive
2016-17,Fresno St.,12,12,26,145,9,8,9,1,nan,3,4,nan,nan,Offense
2016-17,Fresno St.,0,12,42,261,24,10,8,2,nan,1,3,2,nan,Defensive
2017-18,Fresno St.,13,13,42,232,18,9,15,1,nan,nan,1,3,nan,Offense
2017-18,Fresno St.,0,13,29,167,10,10,9,1,1,1,2,1,nan,Defensive
2013-14,Fresno St.,13,13,59,379,19,32,8,3,1,2,1,4,nan,Offense
2013-14,Fresno St.,0,13,39,236,14,16,9,1,1,1,3,nan,nan,Defensive
2014-15,Fresno St.,14,14,41,260,19,16,6,2,3,1,5,3,nan,Offense
2014-15,Fresno St.,0,14,46,263,14,18,14,3,nan,1,3,nan,nan,Defensive
2015-16,Fresno St.,12,12,23,138,9,9,5,2,nan,3,5,nan,nan,Offense
2015-16,Fresno St.,0,12,38,248,23,11,4,2,1,2,1,1,nan,Defensive
2016-17,Fresno St.,12,12,26,145,9,8,9,1,nan,3,4,nan,nan,Offense
2016-17,Fresno St.,0,12,42,261,24,10,8,2,nan,1,3,2,nan,Defensive
2017-18,Fresno St.,13,13,42,232,18,9,15,1,nan,nan,1,3,nan,Offense
2017-18,Fresno St.,0,13,29,167,10,10,9,1,1,1,2,1,nan,Defensive
2013-14,Florida St.,14,14,71,445,35,23,13,nan,1,1,nan,nan,nan,Offense
2013-14,Florida St.,0,14,23,132,5,11,7,1,nan,3,3,nan,nan,Defensive
2014-15,Florida St.,14,14,54,301,22,13,19,1,1,1,1,1,nan,Offense
2014-15,Florida St.,0,14,39,226,17,11,11,3,3,3,4,nan,nan,Defensive
2015-16,Florida St.,13,13,41,227,15,11,15,nan,1,2,2,nan,nan,Offense
2015-16,Florida St.,0,13,29,154,8,9,12,1,nan,2,2,1,nan,Defensive
2016-17,Florida St.,13,13,55,338,26,18,11,nan,nan,1,nan,1,nan,Offense
2016-17,Florida St.,0,13,36,209,15,11,10,3,1,3,1,1,nan,Defensive
2017-18,Florida St.,12,12,38,218,12,14,12,2,1,nan,nan,nan,nan,Offense
2017-18,Florida St.,0,12,33,180,15,6,12,nan,2,nan,2,nan,nan,Defensive
2013-14,Florida St.,14,14,71,445,35,23,13,nan,1,1,nan,nan,nan,Offense
2013-14,Florida St.,0,14,23,132,5,11,7,1,nan,3,3,nan,nan,Defensive
2014-15,Florida St.,14,14,54,301,22,13,19,1,1,1,1,1,nan,Offense
2014-15,Florida St.,0,14,39,226,17,11,11,3,3,3,4,nan,nan,Defensive
2015-16,Florida St.,13,13,41,227,15,11,15,nan,1,2,2,nan,nan,Offense
2015-16,Florida St.,0,13,29,154,8,9,12,1,nan,2,2,1,nan,Defensive
2016-17,Florida St.,13,13,55,338,26,18,11,nan,nan,1,nan,1,nan,Offense
2016-17,Florida St.,0,13,36,209,15,11,10,3,1,3,1,1,nan,Defensive
2017-18,Florida St.,12,12,38,218,12,14,12,2,1,nan,nan,nan,nan,Offense
2017-18,Florida St.,0,12,33,180,15,6,12,nan,2,nan,2,nan,nan,Defensive
2013-14,Florida St.,14,14,71,445,35,23,13,nan,1,1,nan,nan,nan,Offense
2013-14,Florida St.,0,14,23,132,5,11,7,1,nan,3,3,nan,nan,Defensive
2014-15,Florida St.,14,14,54,301,22,13,19,1,1,1,1,1,nan,Offense
2014-15,Florida St.,0,14,39,226,17,11,11,3,3,3,4,nan,nan,Defensive
2015-16,Florida St.,13,13,41,227,15,11,15,nan,1,2,2,nan,nan,Offense
2015-16,Florida St.,0,13,29,154,8,9,12,1,nan,2,2,1,nan,Defensive
2016-17,Florida St.,13,13,55,338,26,18,11,nan,nan,1,nan,1,nan,Offense
2016-17,Florida St.,0,13,36,209,15,11,10,3,1,3,1,1,nan,Defensive
2017-18,Florida St.,12,12,38,218,12,14,12,2,1,nan,nan,nan,nan,Offense
2017-18,Florida St.,0,12,33,180,15,6,12,nan,2,nan,2,nan,nan,Defensive
2013-14,Florida St.,14,14,71,445,35,23,13,nan,1,1,nan,nan,nan,Offense
2013-14,Florida St.,0,14,23,132,5,11,7,1,nan,3,3,nan,nan,Defensive
2014-15,Florida St.,14,14,54,301,22,13,19,1,1,1,1,1,nan,Offense
2014-15,Florida St.,0,14,39,226,17,11,11,3,3,3,4,nan,nan,Defensive
2015-16,Florida St.,13,13,41,227,15,11,15,nan,1,2,2,nan,nan,Offense
2015-16,Florida St.,0,13,29,154,8,9,12,1,nan,2,2,1,nan,Defensive
2016-17,Florida St.,13,13,55,338,26,18,11,nan,nan,1,nan,1,nan,Offense
2016-17,Florida St.,0,13,36,209,15,11,10,3,1,3,1,1,nan,Defensive
2017-18,Florida St.,12,12,38,218,12,14,12,2,1,nan,nan,nan,nan,Offense
2017-18,Florida St.,0,12,33,180,15,6,12,nan,2,nan,2,nan,nan,Defensive
2013-14,Florida,12,12,30,165,13,6,11,5,1,2,4,1,nan,Offense
2013-14,Florida,0,12,32,170,15,4,13,1,2,nan,2,2,nan,Defensive
2014-15,Florida,12,12,40,222,16,10,14,1,nan,1,2,nan,nan,Offense
2014-15,Florida,0,12,29,156,9,9,11,1,1,2,4,nan,nan,Defensive
2015-16,Florida,14,14,34,214,19,10,5,7,1,4,4,1,nan,Offense
2015-16,Florida,0,14,31,169,10,9,12,2,1,1,2,2,nan,Defensive
2016-17,Florida,13,13,30,172,10,11,9,2,3,nan,6,1,nan,Offense
2016-17,Florida,0,13,28,156,14,4,10,2,1,1,6,1,nan,Defensive
2017-18,Florida,11,11,30,171,13,8,9,nan,nan,nan,1,nan,nan,Offense
2017-18,Florida,0,11,29,171,9,12,8,2,nan,3,nan,1,nan,Defensive
2013-14,Florida,12,12,30,165,13,6,11,5,1,2,4,1,nan,Offense
2013-14,Florida,0,12,32,170,15,4,13,1,2,nan,2,2,nan,Defensive
2014-15,Florida,12,12,40,222,16,10,14,1,nan,1,2,nan,nan,Offense
2014-15,Florida,0,12,29,156,9,9,11,1,1,2,4,nan,nan,Defensive
2015-16,Florida,14,14,34,214,19,10,5,7,1,4,4,1,nan,Offense
2015-16,Florida,0,14,31,169,10,9,12,2,1,1,2,2,nan,Defensive
2016-17,Florida,13,13,30,172,10,11,9,2,3,nan,6,1,nan,Offense
2016-17,Florida,0,13,28,156,14,4,10,2,1,1,6,1,nan,Defensive
2017-18,Florida,11,11,30,171,13,8,9,nan,nan,nan,1,nan,nan,Offense
2017-18,Florida,0,11,29,171,9,12,8,2,nan,3,nan,1,nan,Defensive
2013-14,Florida,12,12,30,165,13,6,11,5,1,2,4,1,nan,Offense
2013-14,Florida,0,12,32,170,15,4,13,1,2,nan,2,2,nan,Defensive
2014-15,Florida,12,12,40,222,16,10,14,1,nan,1,2,nan,nan,Offense
2014-15,Florida,0,12,29,156,9,9,11,1,1,2,4,nan,nan,Defensive
2015-16,Florida,14,14,34,214,19,10,5,7,1,4,4,1,nan,Offense
2015-16,Florida,0,14,31,169,10,9,12,2,1,1,2,2,nan,Defensive
2016-17,Florida,13,13,30,172,10,11,9,2,3,nan,6,1,nan,Offense
2016-17,Florida,0,13,28,156,14,4,10,2,1,1,6,1,nan,Defensive
2017-18,Florida,11,11,30,171,13,8,9,nan,nan,nan,1,nan,nan,Offense
2017-18,Florida,0,11,29,171,9,12,8,2,nan,3,nan,1,nan,Defensive
2013-14,Fla. Atlantic,12,12,32,193,15,10,7,4,1,2,1,nan,nan,Offense
2013-14,Fla. Atlantic,0,12,28,163,14,6,8,nan,1,1,3,nan,nan,Defensive
2014-15,Fla. Atlantic,12,12,33,191,11,12,10,3,4,1,2,1,nan,Offense
2014-15,Fla. Atlantic,0,12,42,258,24,9,9,2,2,1,1,3,nan,Defensive
2015-16,Fla. Atlantic,12,12,37,197,13,9,15,3,2,2,7,nan,nan,Offense
2015-16,Fla. Atlantic,0,12,29,172,13,9,7,7,nan,2,nan,1,nan,Defensive
2016-17,Fla. Atlantic,12,12,33,211,23,5,5,3,1,nan,3,nan,nan,Offense
2016-17,Fla. Atlantic,0,12,52,326,31,11,10,2,nan,2,nan,nan,nan,Defensive
2017-18,Fla. Atlantic,13,13,55,339,37,7,11,1,1,nan,2,nan,nan,Offense
2017-18,Fla. Atlantic,0,13,36,215,16,11,9,6,nan,1,2,1,nan,Defensive
2013-14,Fla. Atlantic,12,12,32,193,15,10,7,4,1,2,1,nan,nan,Offense
2013-14,Fla. Atlantic,0,12,28,163,14,6,8,nan,1,1,3,nan,nan,Defensive
2014-15,Fla. Atlantic,12,12,33,191,11,12,10,3,4,1,2,1,nan,Offense
2014-15,Fla. Atlantic,0,12,42,258,24,9,9,2,2,1,1,3,nan,Defensive
2015-16,Fla. Atlantic,12,12,37,197,13,9,15,3,2,2,7,nan,nan,Offense
2015-16,Fla. Atlantic,0,12,29,172,13,9,7,7,nan,2,nan,1,nan,Defensive
2016-17,Fla. Atlantic,12,12,33,211,23,5,5,3,1,nan,3,nan,nan,Offense
2016-17,Fla. Atlantic,0,12,52,326,31,11,10,2,nan,2,nan,nan,nan,Defensive
2017-18,Fla. Atlantic,13,13,55,339,37,7,11,1,1,nan,2,nan,nan,Offense
2017-18,Fla. Atlantic,0,13,36,215,16,11,9,6,nan,1,2,1,nan,Defensive
2013-14,Fla. Atlantic,12,12,32,193,15,10,7,4,1,2,1,nan,nan,Offense
2013-14,Fla. Atlantic,0,12,28,163,14,6,8,nan,1,1,3,nan,nan,Defensive
2014-15,Fla. Atlantic,12,12,33,191,11,12,10,3,4,1,2,1,nan,Offense
2014-15,Fla. Atlantic,0,12,42,258,24,9,9,2,2,1,1,3,nan,Defensive
2015-16,Fla. Atlantic,12,12,37,197,13,9,15,3,2,2,7,nan,nan,Offense
2015-16,Fla. Atlantic,0,12,29,172,13,9,7,7,nan,2,nan,1,nan,Defensive
2016-17,Fla. Atlantic,12,12,33,211,23,5,5,3,1,nan,3,nan,nan,Offense
2016-17,Fla. Atlantic,0,12,52,326,31,11,10,2,nan,2,nan,nan,nan,Defensive
2017-18,Fla. Atlantic,13,13,55,339,37,7,11,1,1,nan,2,nan,nan,Offense
2017-18,Fla. Atlantic,0,13,36,215,16,11,9,6,nan,1,2,1,nan,Defensive
2013-14,Fla. Atlantic,12,12,32,193,15,10,7,4,1,2,1,nan,nan,Offense
2013-14,Fla. Atlantic,0,12,28,163,14,6,8,nan,1,1,3,nan,nan,Defensive
2014-15,Fla. Atlantic,12,12,33,191,11,12,10,3,4,1,2,1,nan,Offense
2014-15,Fla. Atlantic,0,12,42,258,24,9,9,2,2,1,1,3,nan,Defensive
2015-16,Fla. Atlantic,12,12,37,197,13,9,15,3,2,2,7,nan,nan,Offense
2015-16,Fla. Atlantic,0,12,29,172,13,9,7,7,nan,2,nan,1,nan,Defensive
2016-17,Fla. Atlantic,12,12,33,211,23,5,5,3,1,nan,3,nan,nan,Offense
2016-17,Fla. Atlantic,0,12,52,326,31,11,10,2,nan,2,nan,nan,nan,Defensive
