Year,Team,GP,G,RZScores,RZPts,RZRushTD,RZPassTD,RZFGMade,RZEndFGA,RZEndFumble,RZEndINT,RZEndDowns,RZEndHalf,RZEndGame,OffenseDefense
2017-18,Alabama,0,12,21,116,8,6,7,1,1,3,nan,2,nan,Defensive
2013-14,Alabama,13,13,43,269,20,15,8,4,4,nan,2,1,nan,Offense
2013-14,Alabama,0,13,17,107,6,8,3,1,1,1,5,nan,nan,Defensive
2014-15,Alabama,14,14,55,344,27,18,10,4,1,nan,1,3,nan,Offense
2014-15,Alabama,0,14,37,178,4,13,20,1,1,3,2,nan,nan,Defensive
2015-16,Alabama,15,15,51,291,23,12,16,5,nan,1,1,4,nan,Offense
2015-16,Alabama,0,15,25,128,6,8,11,2,1,1,1,nan,nan,Defensive
2016-17,Alabama,15,15,58,334,24,16,18,3,1,1,2,nan,nan,Offense
2016-17,Alabama,0,15,21,110,4,8,9,nan,1,1,2,nan,nan,Defensive
2017-18,Alabama,12,12,52,325,29,13,10,1,nan,1,1,4,nan,Offense
2017-18,Alabama,0,12,21,116,8,6,7,1,1,3,nan,2,nan,Defensive
2013-14,Akron,12,12,25,150,10,9,6,3,1,1,2,nan,nan,Offense
2013-14,Akron,0,12,43,259,15,18,10,2,1,2,2,1,nan,Defensive
2014-15,Akron,12,12,32,187,15,8,9,3,3,4,5,nan,nan,Offense
2014-15,Akron,0,12,31,175,9,13,9,2,1,3,3,1,nan,Defensive
2015-16,Akron,13,13,36,203,17,7,12,6,nan,2,1,2,nan,Offense
2015-16,Akron,0,13,34,218,12,17,5,2,1,2,3,1,nan,Defensive
2016-17,Akron,12,12,28,164,11,9,8,nan,2,3,nan,nan,nan,Offense
2016-17,Akron,0,12,53,303,20,16,17,1,1,2,3,2,nan,Defensive
2017-18,Akron,13,13,23,149,13,7,3,4,1,1,1,1,nan,Offense
2017-18,Akron,0,13,38,225,15,13,10,4,1,3,3,nan,nan,Defensive
2013-14,Alabama,13,13,43,269,20,15,8,4,4,nan,2,1,nan,Offense
2013-14,Alabama,0,13,17,107,6,8,3,1,1,1,5,nan,nan,Defensive
2014-15,Alabama,14,14,55,344,27,18,10,4,1,nan,1,3,nan,Offense
2014-15,Alabama,0,14,37,178,4,13,20,1,1,3,2,nan,nan,Defensive
2015-16,Alabama,15,15,51,291,23,12,16,5,nan,1,1,4,nan,Offense
2015-16,Alabama,0,15,25,128,6,8,11,2,1,1,1,nan,nan,Defensive
2016-17,Alabama,15,15,58,334,24,16,18,3,1,1,2,nan,nan,Offense
2016-17,Alabama,0,15,21,110,4,8,9,nan,1,1,2,nan,nan,Defensive
2017-18,Alabama,12,12,52,325,29,13,10,1,nan,1,1,4,nan,Offense
2017-18,Alabama,0,12,21,116,8,6,7,1,1,3,nan,2,nan,Defensive
2013-14,Akron,12,12,25,150,10,9,6,3,1,1,2,nan,nan,Offense
2013-14,Akron,0,12,43,259,15,18,10,2,1,2,2,1,nan,Defensive
2014-15,Akron,12,12,32,187,15,8,9,3,3,4,5,nan,nan,Offense
2014-15,Akron,0,12,31,175,9,13,9,2,1,3,3,1,nan,Defensive
2015-16,Akron,13,13,36,203,17,7,12,6,nan,2,1,2,nan,Offense
2015-16,Akron,0,13,34,218,12,17,5,2,1,2,3,1,nan,Defensive
2016-17,Akron,12,12,28,164,11,9,8,nan,2,3,nan,nan,nan,Offense
2016-17,Akron,0,12,53,303,20,16,17,1,1,2,3,2,nan,Defensive
2017-18,Akron,13,13,23,149,13,7,3,4,1,1,1,1,nan,Offense
2017-18,Akron,0,13,38,225,15,13,10,4,1,3,3,nan,nan,Defensive
2013-14,Akron,12,12,25,150,10,9,6,3,1,1,2,nan,nan,Offense
2013-14,Akron,0,12,43,259,15,18,10,2,1,2,2,1,nan,Defensive
2014-15,Akron,12,12,32,187,15,8,9,3,3,4,5,nan,nan,Offense
2014-15,Akron,0,12,31,175,9,13,9,2,1,3,3,1,nan,Defensive
2015-16,Akron,13,13,36,203,17,7,12,6,nan,2,1,2,nan,Offense
2015-16,Akron,0,13,34,218,12,17,5,2,1,2,3,1,nan,Defensive
2016-17,Akron,12,12,28,164,11,9,8,nan,2,3,nan,nan,nan,Offense
2016-17,Akron,0,12,53,303,20,16,17,1,1,2,3,2,nan,Defensive
2017-18,Akron,13,13,23,149,13,7,3,4,1,1,1,1,nan,Offense
2017-18,Akron,0,13,38,225,15,13,10,4,1,3,3,nan,nan,Defensive
2013-14,Akron,12,12,25,150,10,9,6,3,1,1,2,nan,nan,Offense
2013-14,Akron,0,12,43,259,15,18,10,2,1,2,2,1,nan,Defensive
2014-15,Akron,12,12,32,187,15,8,9,3,3,4,5,nan,nan,Offense
2014-15,Akron,0,12,31,175,9,13,9,2,1,3,3,1,nan,Defensive
2015-16,Akron,13,13,36,203,17,7,12,6,nan,2,1,2,nan,Offense
2015-16,Akron,0,13,34,218,12,17,5,2,1,2,3,1,nan,Defensive
2016-17,Akron,12,12,28,164,11,9,8,nan,2,3,nan,nan,nan,Offense
2016-17,Akron,0,12,53,303,20,16,17,1,1,2,3,2,nan,Defensive
2017-18,Akron,13,13,23,149,13,7,3,4,1,1,1,1,nan,Offense
2017-18,Akron,0,13,38,225,15,13,10,4,1,3,3,nan,nan,Defensive
2013-14,Air Force,12,12,35,219,26,3,6,nan,1,nan,1,nan,nan,Offense
2013-14,Air Force,0,12,50,339,35,13,2,2,2,nan,3,nan,nan,Defensive
2014-15,Air Force,13,13,54,317,32,7,15,2,1,nan,1,2,nan,Offense
2014-15,Air Force,0,13,34,189,11,11,12,1,nan,3,4,nan,nan,Defensive
2015-16,Air Force,14,14,46,294,36,3,7,1,2,1,5,nan,nan,Offense
2015-16,Air Force,0,14,31,171,12,8,11,3,2,nan,1,1,nan,Defensive
2016-17,Air Force,13,13,53,302,33,3,17,3,1,1,1,1,nan,Offense
2016-17,Air Force,0,13,35,213,17,10,8,1,1,5,1,nan,nan,Defensive
2017-18,Air Force,12,12,42,268,34,2,6,1,1,nan,4,nan,nan,Offense
2017-18,Air Force,0,12,38,215,19,6,13,2,1,2,nan,nan,nan,Defensive
