Year,Team,GP,G,FGM,FGA,FGBlocksAllowed,FGM1-19,FGA1-19,FGM20-29,FGA20-29,FGM30-39,FGA30-39,FGM40-49,FGA40-49,FGM50-59,FGA50-59,FGM60+,FGA60+,LongFGM,OffenseDefense
2016-17,Colorado St.,0,13,9,11,nan,nan,nan,4,5,4,4,0,1,1,1,nan,nan,nan,Defensive
2017-18,Colorado St.,12,12,15,18,nan,1,1,6,6,3,5,3,4,2,2,nan,nan,nan,Offense
2017-18,Colorado St.,0,12,12,18,1,nan,nan,4,4,3,5,4,6,1,3,nan,nan,nan,Defensive
2013-14,Colorado St.,14,14,21,24,nan,1,1,6,7,6,7,6,7,2,2,nan,nan,nan,Offense
2013-14,Colorado St.,0,14,17,24,3,1,1,5,5,4,7,6,9,1,2,nan,nan,nan,Defensive
2014-15,Colorado St.,13,13,12,20,nan,nan,nan,1,2,5,7,3,7,3,4,nan,nan,nan,Offense
2014-15,Colorado St.,0,13,13,20,2,nan,nan,6,7,6,7,1,5,0,1,nan,nan,nan,Defensive
2015-16,Colorado St.,13,13,16,23,2,nan,nan,9,10,5,6,2,5,0,2,nan,nan,nan,Offense
2015-16,Colorado St.,0,13,21,27,3,2,2,4,5,7,8,5,7,3,5,nan,nan,nan,Defensive
2016-17,Colorado St.,13,13,11,15,nan,nan,nan,2,3,6,6,2,4,1,2,nan,nan,nan,Offense
2016-17,Colorado St.,0,13,9,11,nan,nan,nan,4,5,4,4,0,1,1,1,nan,nan,nan,Defensive
2017-18,Colorado St.,12,12,15,18,nan,1,1,6,6,3,5,3,4,2,2,nan,nan,nan,Offense
2017-18,Colorado St.,0,12,12,18,1,nan,nan,4,4,3,5,4,6,1,3,nan,nan,nan,Defensive
2013-14,Colorado St.,14,14,21,24,nan,1,1,6,7,6,7,6,7,2,2,nan,nan,nan,Offense
2013-14,Colorado St.,0,14,17,24,3,1,1,5,5,4,7,6,9,1,2,nan,nan,nan,Defensive
2014-15,Colorado St.,13,13,12,20,nan,nan,nan,1,2,5,7,3,7,3,4,nan,nan,nan,Offense
2014-15,Colorado St.,0,13,13,20,2,nan,nan,6,7,6,7,1,5,0,1,nan,nan,nan,Defensive
2015-16,Colorado St.,13,13,16,23,2,nan,nan,9,10,5,6,2,5,0,2,nan,nan,nan,Offense
2015-16,Colorado St.,0,13,21,27,3,2,2,4,5,7,8,5,7,3,5,nan,nan,nan,Defensive
2016-17,Colorado St.,13,13,11,15,nan,nan,nan,2,3,6,6,2,4,1,2,nan,nan,nan,Offense
2016-17,Colorado St.,0,13,9,11,nan,nan,nan,4,5,4,4,0,1,1,1,nan,nan,nan,Defensive
2017-18,Colorado St.,12,12,15,18,nan,1,1,6,6,3,5,3,4,2,2,nan,nan,nan,Offense
2017-18,Colorado St.,0,12,12,18,1,nan,nan,4,4,3,5,4,6,1,3,nan,nan,nan,Defensive
2013-14,Fresno St.,13,13,11,16,2,nan,nan,4,5,4,6,3,4,0,1,nan,nan,nan,Offense
2013-14,Fresno St.,0,13,13,19,1,1,1,3,3,5,6,4,9,nan,nan,nan,nan,nan,Defensive
2014-15,Fresno St.,14,14,9,14,3,nan,nan,3,3,3,6,3,5,nan,nan,nan,nan,nan,Offense
2014-15,Fresno St.,0,14,17,23,nan,1,1,7,9,6,8,3,5,nan,nan,nan,nan,nan,Defensive
2015-16,Fresno St.,12,12,8,12,1,nan,nan,2,3,4,6,2,2,0,1,nan,nan,nan,Offense
2015-16,Fresno St.,0,12,6,13,nan,nan,nan,1,1,3,5,2,5,0,2,nan,nan,nan,Defensive
2016-17,Fresno St.,12,12,15,17,1,nan,nan,7,7,2,3,6,7,nan,nan,nan,nan,nan,Offense
2016-17,Fresno St.,0,12,12,16,nan,nan,nan,6,8,3,3,3,5,nan,nan,nan,nan,nan,Defensive
2017-18,Fresno St.,13,13,21,26,nan,nan,nan,8,8,7,8,5,8,1,2,nan,nan,nan,Offense
2017-18,Fresno St.,0,13,12,17,2,nan,nan,7,7,3,5,1,4,1,1,nan,nan,nan,Defensive
2013-14,Fresno St.,13,13,11,16,2,nan,nan,4,5,4,6,3,4,0,1,nan,nan,nan,Offense
2013-14,Fresno St.,0,13,13,19,1,1,1,3,3,5,6,4,9,nan,nan,nan,nan,nan,Defensive
2014-15,Fresno St.,14,14,9,14,3,nan,nan,3,3,3,6,3,5,nan,nan,nan,nan,nan,Offense
2014-15,Fresno St.,0,14,17,23,nan,1,1,7,9,6,8,3,5,nan,nan,nan,nan,nan,Defensive
2015-16,Fresno St.,12,12,8,12,1,nan,nan,2,3,4,6,2,2,0,1,nan,nan,nan,Offense
2015-16,Fresno St.,0,12,6,13,nan,nan,nan,1,1,3,5,2,5,0,2,nan,nan,nan,Defensive
2016-17,Fresno St.,12,12,15,17,1,nan,nan,7,7,2,3,6,7,nan,nan,nan,nan,nan,Offense
2016-17,Fresno St.,0,12,12,16,nan,nan,nan,6,8,3,3,3,5,nan,nan,nan,nan,nan,Defensive
2017-18,Fresno St.,13,13,21,26,nan,nan,nan,8,8,7,8,5,8,1,2,nan,nan,nan,Offense
2017-18,Fresno St.,0,13,12,17,2,nan,nan,7,7,3,5,1,4,1,1,nan,nan,nan,Defensive
2013-14,Fresno St.,13,13,11,16,2,nan,nan,4,5,4,6,3,4,0,1,nan,nan,nan,Offense
2013-14,Fresno St.,0,13,13,19,1,1,1,3,3,5,6,4,9,nan,nan,nan,nan,nan,Defensive
2014-15,Fresno St.,14,14,9,14,3,nan,nan,3,3,3,6,3,5,nan,nan,nan,nan,nan,Offense
2014-15,Fresno St.,0,14,17,23,nan,1,1,7,9,6,8,3,5,nan,nan,nan,nan,nan,Defensive
2015-16,Fresno St.,12,12,8,12,1,nan,nan,2,3,4,6,2,2,0,1,nan,nan,nan,Offense
2015-16,Fresno St.,0,12,6,13,nan,nan,nan,1,1,3,5,2,5,0,2,nan,nan,nan,Defensive
2016-17,Fresno St.,12,12,15,17,1,nan,nan,7,7,2,3,6,7,nan,nan,nan,nan,nan,Offense
2016-17,Fresno St.,0,12,12,16,nan,nan,nan,6,8,3,3,3,5,nan,nan,nan,nan,nan,Defensive
2017-18,Fresno St.,13,13,21,26,nan,nan,nan,8,8,7,8,5,8,1,2,nan,nan,nan,Offense
2017-18,Fresno St.,0,13,12,17,2,nan,nan,7,7,3,5,1,4,1,1,nan,nan,nan,Defensive
2013-14,Fresno St.,13,13,11,16,2,nan,nan,4,5,4,6,3,4,0,1,nan,nan,nan,Offense
2013-14,Fresno St.,0,13,13,19,1,1,1,3,3,5,6,4,9,nan,nan,nan,nan,nan,Defensive
2014-15,Fresno St.,14,14,9,14,3,nan,nan,3,3,3,6,3,5,nan,nan,nan,nan,nan,Offense
2014-15,Fresno St.,0,14,17,23,nan,1,1,7,9,6,8,3,5,nan,nan,nan,nan,nan,Defensive
2015-16,Fresno St.,12,12,8,12,1,nan,nan,2,3,4,6,2,2,0,1,nan,nan,nan,Offense
2015-16,Fresno St.,0,12,6,13,nan,nan,nan,1,1,3,5,2,5,0,2,nan,nan,nan,Defensive
