Year,Team,GP,SackUA,G,SackA,SackYds,Sacks,OffenseDefense
2013-14,Georgia,13,nan,13,nan,222,nan,Offense
2013-14,Georgia,0,nan,13,nan,140,nan,Defensive
2014-15,Georgia,13,nan,13,nan,231,nan,Offense
2014-15,Georgia,0,nan,13,nan,110,nan,Defensive
2015-16,Georgia,13,nan,13,nan,121,nan,Offense
2015-16,Georgia,0,nan,13,nan,105,nan,Defensive
2016-17,Georgia,13,nan,13,nan,198,nan,Offense
2016-17,Georgia,0,nan,13,nan,146,nan,Defensive
2017-18,Georgia,13,nan,13,nan,189,nan,Offense
2017-18,Georgia,0,nan,13,nan,99,nan,Defensive
2013-14,Georgia,13,nan,13,nan,222,nan,Offense
2013-14,Georgia,0,nan,13,nan,140,nan,Defensive
2014-15,Georgia,13,nan,13,nan,231,nan,Offense
2014-15,Georgia,0,nan,13,nan,110,nan,Defensive
2015-16,Georgia,13,nan,13,nan,121,nan,Offense
2015-16,Georgia,0,nan,13,nan,105,nan,Defensive
2016-17,Georgia,13,nan,13,nan,198,nan,Offense
2016-17,Georgia,0,nan,13,nan,146,nan,Defensive
2017-18,Georgia,13,nan,13,nan,189,nan,Offense
2017-18,Georgia,0,nan,13,nan,99,nan,Defensive
2013-14,Georgia,13,nan,13,nan,222,nan,Offense
2013-14,Georgia,0,nan,13,nan,140,nan,Defensive
2014-15,Georgia,13,nan,13,nan,231,nan,Offense
2014-15,Georgia,0,nan,13,nan,110,nan,Defensive
2015-16,Georgia,13,nan,13,nan,121,nan,Offense
2015-16,Georgia,0,nan,13,nan,105,nan,Defensive
2016-17,Georgia,13,nan,13,nan,198,nan,Offense
2016-17,Georgia,0,nan,13,nan,146,nan,Defensive
2017-18,Georgia,13,nan,13,nan,189,nan,Offense
2017-18,Georgia,0,nan,13,nan,99,nan,Defensive
2013-14,Ga. Southern,11,nan,11,nan,68,nan,Offense
2013-14,Ga. Southern,0,nan,11,nan,37,nan,Defensive
2014-15,Ga. Southern,12,nan,12,nan,180,nan,Offense
2014-15,Ga. Southern,0,nan,12,nan,29,nan,Defensive
2015-16,Ga. Southern,13,nan,13,nan,148,nan,Offense
2015-16,Ga. Southern,0,nan,13,nan,51,nan,Defensive
2016-17,Ga. Southern,12,nan,12,nan,92,nan,Offense
2016-17,Ga. Southern,0,nan,12,nan,85,nan,Defensive
2017-18,Ga. Southern,12,nan,12,nan,106,nan,Offense
2017-18,Ga. Southern,0,nan,12,nan,176,nan,Defensive
2013-14,Ga. Southern,11,nan,11,nan,68,nan,Offense
2013-14,Ga. Southern,0,nan,11,nan,37,nan,Defensive
2014-15,Ga. Southern,12,nan,12,nan,180,nan,Offense
2014-15,Ga. Southern,0,nan,12,nan,29,nan,Defensive
2015-16,Ga. Southern,13,nan,13,nan,148,nan,Offense
2015-16,Ga. Southern,0,nan,13,nan,51,nan,Defensive
2016-17,Ga. Southern,12,nan,12,nan,92,nan,Offense
2016-17,Ga. Southern,0,nan,12,nan,85,nan,Defensive
2017-18,Ga. Southern,12,nan,12,nan,106,nan,Offense
2017-18,Ga. Southern,0,nan,12,nan,176,nan,Defensive
2013-14,Ga. Southern,11,nan,11,nan,68,nan,Offense
2013-14,Ga. Southern,0,nan,11,nan,37,nan,Defensive
2014-15,Ga. Southern,12,nan,12,nan,180,nan,Offense
2014-15,Ga. Southern,0,nan,12,nan,29,nan,Defensive
2015-16,Ga. Southern,13,nan,13,nan,148,nan,Offense
2015-16,Ga. Southern,0,nan,13,nan,51,nan,Defensive
2016-17,Ga. Southern,12,nan,12,nan,92,nan,Offense
2016-17,Ga. Southern,0,nan,12,nan,85,nan,Defensive
2017-18,Ga. Southern,12,nan,12,nan,106,nan,Offense
2017-18,Ga. Southern,0,nan,12,nan,176,nan,Defensive
2013-14,Ga. Southern,11,nan,11,nan,68,nan,Offense
2013-14,Ga. Southern,0,nan,11,nan,37,nan,Defensive
2014-15,Ga. Southern,12,nan,12,nan,180,nan,Offense
2014-15,Ga. Southern,0,nan,12,nan,29,nan,Defensive
2015-16,Ga. Southern,13,nan,13,nan,148,nan,Offense
2015-16,Ga. Southern,0,nan,13,nan,51,nan,Defensive
2016-17,Ga. Southern,12,nan,12,nan,92,nan,Offense
2016-17,Ga. Southern,0,nan,12,nan,85,nan,Defensive
2017-18,Ga. Southern,12,nan,12,nan,106,nan,Offense
2017-18,Ga. Southern,0,nan,12,nan,176,nan,Defensive
2013-14,Indiana,12,nan,12,nan,126,nan,Offense
2013-14,Indiana,0,nan,12,nan,121,nan,Defensive
2014-15,Indiana,12,nan,12,nan,132,nan,Offense
2014-15,Indiana,0,nan,12,nan,179,nan,Defensive
2015-16,Indiana,13,nan,13,nan,146,nan,Offense
2015-16,Indiana,0,nan,13,nan,92,nan,Defensive
2016-17,Indiana,13,nan,13,nan,220,nan,Offense
2016-17,Indiana,0,nan,13,nan,235,nan,Defensive
2017-18,Indiana,12,nan,12,nan,213,nan,Offense
2017-18,Indiana,0,nan,12,nan,211,nan,Defensive
2013-14,Indiana,12,nan,12,nan,126,nan,Offense
2013-14,Indiana,0,nan,12,nan,121,nan,Defensive
2014-15,Indiana,12,nan,12,nan,132,nan,Offense
2014-15,Indiana,0,nan,12,nan,179,nan,Defensive
2015-16,Indiana,13,nan,13,nan,146,nan,Offense
2015-16,Indiana,0,nan,13,nan,92,nan,Defensive
2016-17,Indiana,13,nan,13,nan,220,nan,Offense
2016-17,Indiana,0,nan,13,nan,235,nan,Defensive
2017-18,Indiana,12,nan,12,nan,213,nan,Offense
2017-18,Indiana,0,nan,12,nan,211,nan,Defensive
2013-14,Indiana,12,nan,12,nan,126,nan,Offense
2013-14,Indiana,0,nan,12,nan,121,nan,Defensive
2014-15,Indiana,12,nan,12,nan,132,nan,Offense
2014-15,Indiana,0,nan,12,nan,179,nan,Defensive
2015-16,Indiana,13,nan,13,nan,146,nan,Offense
2015-16,Indiana,0,nan,13,nan,92,nan,Defensive
2016-17,Indiana,13,nan,13,nan,220,nan,Offense
2016-17,Indiana,0,nan,13,nan,235,nan,Defensive
2017-18,Indiana,12,nan,12,nan,213,nan,Offense
2017-18,Indiana,0,nan,12,nan,211,nan,Defensive
2013-14,Illinois,12,nan,12,nan,94,nan,Offense
2013-14,Illinois,0,nan,12,nan,231,nan,Defensive
2014-15,Illinois,13,nan,13,nan,149,nan,Offense
2014-15,Illinois,0,nan,13,nan,239,nan,Defensive
2015-16,Illinois,12,nan,12,nan,139,nan,Offense
2015-16,Illinois,0,nan,12,nan,180,nan,Defensive
2016-17,Illinois,12,nan,12,nan,151,nan,Offense
2016-17,Illinois,0,nan,12,nan,143,nan,Defensive
2017-18,Illinois,12,nan,12,nan,137,nan,Offense
2017-18,Illinois,0,nan,12,nan,277,nan,Defensive
2013-14,Illinois,12,nan,12,nan,94,nan,Offense
2013-14,Illinois,0,nan,12,nan,231,nan,Defensive
2014-15,Illinois,13,nan,13,nan,149,nan,Offense
2014-15,Illinois,0,nan,13,nan,239,nan,Defensive
2015-16,Illinois,12,nan,12,nan,139,nan,Offense
2015-16,Illinois,0,nan,12,nan,180,nan,Defensive
2016-17,Illinois,12,nan,12,nan,151,nan,Offense
2016-17,Illinois,0,nan,12,nan,143,nan,Defensive
2017-18,Illinois,12,nan,12,nan,137,nan,Offense
2017-18,Illinois,0,nan,12,nan,277,nan,Defensive
2013-14,Illinois,12,nan,12,nan,94,nan,Offense
2013-14,Illinois,0,nan,12,nan,231,nan,Defensive
2014-15,Illinois,13,nan,13,nan,149,nan,Offense
2014-15,Illinois,0,nan,13,nan,239,nan,Defensive
2015-16,Illinois,12,nan,12,nan,139,nan,Offense
2015-16,Illinois,0,nan,12,nan,180,nan,Defensive
2016-17,Illinois,12,nan,12,nan,151,nan,Offense
2016-17,Illinois,0,nan,12,nan,143,nan,Defensive
2017-18,Illinois,12,nan,12,nan,137,nan,Offense
2017-18,Illinois,0,nan,12,nan,277,nan,Defensive
2013-14,Illinois,12,nan,12,nan,94,nan,Offense
2013-14,Illinois,0,nan,12,nan,231,nan,Defensive
2014-15,Illinois,13,nan,13,nan,149,nan,Offense
2014-15,Illinois,0,nan,13,nan,239,nan,Defensive
2015-16,Illinois,12,nan,12,nan,139,nan,Offense
2015-16,Illinois,0,nan,12,nan,180,nan,Defensive
2016-17,Illinois,12,nan,12,nan,151,nan,Offense
2016-17,Illinois,0,nan,12,nan,143,nan,Defensive
2017-18,Illinois,12,nan,12,nan,137,nan,Offense
2017-18,Illinois,0,nan,12,nan,277,nan,Defensive
2013-14,Idaho,12,nan,12,nan,168,nan,Offense
2013-14,Idaho,0,nan,12,nan,368,nan,Defensive
2014-15,Idaho,11,nan,11,nan,103,nan,Offense
2014-15,Idaho,0,nan,11,nan,282,nan,Defensive
2015-16,Idaho,12,nan,12,nan,63,nan,Offense
2015-16,Idaho,0,nan,12,nan,178,nan,Defensive
2016-17,Idaho,13,nan,13,nan,158,nan,Offense
2016-17,Idaho,0,nan,13,nan,140,nan,Defensive
2017-18,Idaho,12,nan,12,nan,181,nan,Offense
2017-18,Idaho,0,nan,12,nan,335,nan,Defensive
2013-14,Idaho,12,nan,12,nan,168,nan,Offense
2013-14,Idaho,0,nan,12,nan,368,nan,Defensive
2014-15,Idaho,11,nan,11,nan,103,nan,Offense
2014-15,Idaho,0,nan,11,nan,282,nan,Defensive
2015-16,Idaho,12,nan,12,nan,63,nan,Offense
2015-16,Idaho,0,nan,12,nan,178,nan,Defensive
2016-17,Idaho,13,nan,13,nan,158,nan,Offense
2016-17,Idaho,0,nan,13,nan,140,nan,Defensive
2017-18,Idaho,12,nan,12,nan,181,nan,Offense
2017-18,Idaho,0,nan,12,nan,335,nan,Defensive
2013-14,Idaho,12,nan,12,nan,168,nan,Offense
2013-14,Idaho,0,nan,12,nan,368,nan,Defensive
2014-15,Idaho,11,nan,11,nan,103,nan,Offense
2014-15,Idaho,0,nan,11,nan,282,nan,Defensive
2015-16,Idaho,12,nan,12,nan,63,nan,Offense
2015-16,Idaho,0,nan,12,nan,178,nan,Defensive
2016-17,Idaho,13,nan,13,nan,158,nan,Offense
2016-17,Idaho,0,nan,13,nan,140,nan,Defensive
2017-18,Idaho,12,nan,12,nan,181,nan,Offense
2017-18,Idaho,0,nan,12,nan,335,nan,Defensive
2013-14,Idaho,12,nan,12,nan,168,nan,Offense
2013-14,Idaho,0,nan,12,nan,368,nan,Defensive
2014-15,Idaho,11,nan,11,nan,103,nan,Offense
2014-15,Idaho,0,nan,11,nan,282,nan,Defensive
2015-16,Idaho,12,nan,12,nan,63,nan,Offense
2015-16,Idaho,0,nan,12,nan,178,nan,Defensive
2016-17,Idaho,13,nan,13,nan,158,nan,Offense
2016-17,Idaho,0,nan,13,nan,140,nan,Defensive
2017-18,Idaho,12,nan,12,nan,181,nan,Offense
2017-18,Idaho,0,nan,12,nan,335,nan,Defensive
2013-14,Houston,13,nan,13,nan,248,nan,Offense
2013-14,Houston,0,nan,13,nan,209,nan,Defensive
2014-15,Houston,13,nan,13,nan,175,nan,Offense
2014-15,Houston,0,nan,13,nan,215,nan,Defensive
2015-16,Houston,14,nan,14,nan,274,nan,Offense
2015-16,Houston,0,nan,14,nan,160,nan,Defensive
2016-17,Houston,13,nan,13,nan,278,nan,Offense
2016-17,Houston,0,nan,13,nan,243,nan,Defensive
2017-18,Houston,11,nan,11,nan,137,nan,Offense
2017-18,Houston,0,nan,11,nan,99,nan,Defensive
2013-14,Houston,13,nan,13,nan,248,nan,Offense
2013-14,Houston,0,nan,13,nan,209,nan,Defensive
2014-15,Houston,13,nan,13,nan,175,nan,Offense
2014-15,Houston,0,nan,13,nan,215,nan,Defensive
2015-16,Houston,14,nan,14,nan,274,nan,Offense
2015-16,Houston,0,nan,14,nan,160,nan,Defensive
2016-17,Houston,13,nan,13,nan,278,nan,Offense
2016-17,Houston,0,nan,13,nan,243,nan,Defensive
2017-18,Houston,11,nan,11,nan,137,nan,Offense
2017-18,Houston,0,nan,11,nan,99,nan,Defensive
2013-14,Houston,13,nan,13,nan,248,nan,Offense
2013-14,Houston,0,nan,13,nan,209,nan,Defensive
2014-15,Houston,13,nan,13,nan,175,nan,Offense
2014-15,Houston,0,nan,13,nan,215,nan,Defensive
2015-16,Houston,14,nan,14,nan,274,nan,Offense
2015-16,Houston,0,nan,14,nan,160,nan,Defensive
2016-17,Houston,13,nan,13,nan,278,nan,Offense
2016-17,Houston,0,nan,13,nan,243,nan,Defensive
2017-18,Houston,11,nan,11,nan,137,nan,Offense
2017-18,Houston,0,nan,11,nan,99,nan,Defensive
2013-14,Houston,13,nan,13,nan,248,nan,Offense
2013-14,Houston,0,nan,13,nan,209,nan,Defensive
2014-15,Houston,13,nan,13,nan,175,nan,Offense
2014-15,Houston,0,nan,13,nan,215,nan,Defensive
2015-16,Houston,14,nan,14,nan,274,nan,Offense
2015-16,Houston,0,nan,14,nan,160,nan,Defensive
2016-17,Houston,13,nan,13,nan,278,nan,Offense
2016-17,Houston,0,nan,13,nan,243,nan,Defensive
2017-18,Houston,11,nan,11,nan,137,nan,Offense
2017-18,Houston,0,nan,11,nan,99,nan,Defensive
2013-14,Hawaii,12,nan,12,nan,154,nan,Offense
2013-14,Hawaii,0,nan,12,nan,264,nan,Defensive
2014-15,Hawaii,13,nan,13,nan,179,nan,Offense
2014-15,Hawaii,0,nan,13,nan,264,nan,Defensive
2015-16,Hawaii,13,nan,13,nan,145,nan,Offense
2015-16,Hawaii,0,nan,13,nan,217,nan,Defensive
2016-17,Hawaii,14,nan,14,nan,173,nan,Offense
2016-17,Hawaii,0,nan,14,nan,192,nan,Defensive
2017-18,Hawaii,12,nan,12,nan,162,nan,Offense
2017-18,Hawaii,0,nan,12,nan,189,nan,Defensive
2013-14,Hawaii,12,nan,12,nan,154,nan,Offense
2013-14,Hawaii,0,nan,12,nan,264,nan,Defensive
2014-15,Hawaii,13,nan,13,nan,179,nan,Offense
2014-15,Hawaii,0,nan,13,nan,264,nan,Defensive
2015-16,Hawaii,13,nan,13,nan,145,nan,Offense
2015-16,Hawaii,0,nan,13,nan,217,nan,Defensive
2016-17,Hawaii,14,nan,14,nan,173,nan,Offense
2016-17,Hawaii,0,nan,14,nan,192,nan,Defensive
2017-18,Hawaii,12,nan,12,nan,162,nan,Offense
2017-18,Hawaii,0,nan,12,nan,189,nan,Defensive
2013-14,Kansas St.,13,nan,13,nan,140,nan,Offense
2013-14,Kansas St.,0,nan,13,nan,150,nan,Defensive
2014-15,Kansas St.,13,nan,13,nan,170,nan,Offense
2014-15,Kansas St.,0,nan,13,nan,173,nan,Defensive
2015-16,Kansas St.,13,nan,13,nan,214,nan,Offense
2015-16,Kansas St.,0,nan,13,nan,222,nan,Defensive
2016-17,Kansas St.,13,nan,13,nan,208,nan,Offense
2016-17,Kansas St.,0,nan,13,nan,147,nan,Defensive
2017-18,Kansas St.,12,nan,12,nan,147,nan,Offense
2017-18,Kansas St.,0,nan,12,nan,94,nan,Defensive
2013-14,Kansas St.,13,nan,13,nan,140,nan,Offense
2013-14,Kansas St.,0,nan,13,nan,150,nan,Defensive
2014-15,Kansas St.,13,nan,13,nan,170,nan,Offense
2014-15,Kansas St.,0,nan,13,nan,173,nan,Defensive
2015-16,Kansas St.,13,nan,13,nan,214,nan,Offense
2015-16,Kansas St.,0,nan,13,nan,222,nan,Defensive
2016-17,Kansas St.,13,nan,13,nan,208,nan,Offense
2016-17,Kansas St.,0,nan,13,nan,147,nan,Defensive
2017-18,Kansas St.,12,nan,12,nan,147,nan,Offense
2017-18,Kansas St.,0,nan,12,nan,94,nan,Defensive
2013-14,Kansas St.,13,nan,13,nan,140,nan,Offense
2013-14,Kansas St.,0,nan,13,nan,150,nan,Defensive
2014-15,Kansas St.,13,nan,13,nan,170,nan,Offense
2014-15,Kansas St.,0,nan,13,nan,173,nan,Defensive
2015-16,Kansas St.,13,nan,13,nan,214,nan,Offense
2015-16,Kansas St.,0,nan,13,nan,222,nan,Defensive
2016-17,Kansas St.,13,nan,13,nan,208,nan,Offense
2016-17,Kansas St.,0,nan,13,nan,147,nan,Defensive
2017-18,Kansas St.,12,nan,12,nan,147,nan,Offense
2017-18,Kansas St.,0,nan,12,nan,94,nan,Defensive
2013-14,Kansas St.,13,nan,13,nan,140,nan,Offense
2013-14,Kansas St.,0,nan,13,nan,150,nan,Defensive
2014-15,Kansas St.,13,nan,13,nan,170,nan,Offense
2014-15,Kansas St.,0,nan,13,nan,173,nan,Defensive
2015-16,Kansas St.,13,nan,13,nan,214,nan,Offense
2015-16,Kansas St.,0,nan,13,nan,222,nan,Defensive
2016-17,Kansas St.,13,nan,13,nan,208,nan,Offense
2016-17,Kansas St.,0,nan,13,nan,147,nan,Defensive
2017-18,Kansas St.,12,nan,12,nan,147,nan,Offense
2017-18,Kansas St.,0,nan,12,nan,94,nan,Defensive
2013-14,Kansas,12,nan,12,nan,151,nan,Offense
2013-14,Kansas,0,nan,12,nan,227,nan,Defensive
2014-15,Kansas,12,nan,12,nan,127,nan,Offense
2014-15,Kansas,0,nan,12,nan,201,nan,Defensive
2015-16,Kansas,12,nan,12,nan,149,nan,Offense
2015-16,Kansas,0,nan,12,nan,267,nan,Defensive
2016-17,Kansas,12,nan,12,nan,183,nan,Offense
2016-17,Kansas,0,nan,12,nan,153,nan,Defensive
2017-18,Kansas,12,nan,12,nan,124,nan,Offense
2017-18,Kansas,0,nan,12,nan,188,nan,Defensive
2013-14,Kansas,12,nan,12,nan,151,nan,Offense
2013-14,Kansas,0,nan,12,nan,227,nan,Defensive
2014-15,Kansas,12,nan,12,nan,127,nan,Offense
2014-15,Kansas,0,nan,12,nan,201,nan,Defensive
2015-16,Kansas,12,nan,12,nan,149,nan,Offense
2015-16,Kansas,0,nan,12,nan,267,nan,Defensive
2016-17,Kansas,12,nan,12,nan,183,nan,Offense
2016-17,Kansas,0,nan,12,nan,153,nan,Defensive
2017-18,Kansas,12,nan,12,nan,124,nan,Offense
2017-18,Kansas,0,nan,12,nan,188,nan,Defensive
2013-14,Kansas,12,nan,12,nan,151,nan,Offense
2013-14,Kansas,0,nan,12,nan,227,nan,Defensive
2014-15,Kansas,12,nan,12,nan,127,nan,Offense
2014-15,Kansas,0,nan,12,nan,201,nan,Defensive
2015-16,Kansas,12,nan,12,nan,149,nan,Offense
2015-16,Kansas,0,nan,12,nan,267,nan,Defensive
2016-17,Kansas,12,nan,12,nan,183,nan,Offense
2016-17,Kansas,0,nan,12,nan,153,nan,Defensive
2017-18,Kansas,12,nan,12,nan,124,nan,Offense
2017-18,Kansas,0,nan,12,nan,188,nan,Defensive
2013-14,Kansas,12,nan,12,nan,151,nan,Offense
2013-14,Kansas,0,nan,12,nan,227,nan,Defensive
2014-15,Kansas,12,nan,12,nan,127,nan,Offense
2014-15,Kansas,0,nan,12,nan,201,nan,Defensive
2015-16,Kansas,12,nan,12,nan,149,nan,Offense
2015-16,Kansas,0,nan,12,nan,267,nan,Defensive
2016-17,Kansas,12,nan,12,nan,183,nan,Offense
2016-17,Kansas,0,nan,12,nan,153,nan,Defensive
2017-18,Kansas,12,nan,12,nan,124,nan,Offense
2017-18,Kansas,0,nan,12,nan,188,nan,Defensive
2013-14,Iowa St.,12,nan,12,nan,89,nan,Offense
2013-14,Iowa St.,0,nan,12,nan,225,nan,Defensive
2014-15,Iowa St.,12,nan,12,nan,73,nan,Offense
2014-15,Iowa St.,0,nan,12,nan,188,nan,Defensive
2015-16,Iowa St.,12,nan,12,nan,168,nan,Offense
2015-16,Iowa St.,0,nan,12,nan,229,nan,Defensive
2016-17,Iowa St.,12,nan,12,nan,100,nan,Offense
2016-17,Iowa St.,0,nan,12,nan,188,nan,Defensive
2017-18,Iowa St.,12,nan,12,nan,113,nan,Offense
2017-18,Iowa St.,0,nan,12,nan,115,nan,Defensive
2013-14,Iowa St.,12,nan,12,nan,89,nan,Offense
2013-14,Iowa St.,0,nan,12,nan,225,nan,Defensive
2014-15,Iowa St.,12,nan,12,nan,73,nan,Offense
2014-15,Iowa St.,0,nan,12,nan,188,nan,Defensive
2015-16,Iowa St.,12,nan,12,nan,168,nan,Offense
2015-16,Iowa St.,0,nan,12,nan,229,nan,Defensive
2016-17,Iowa St.,12,nan,12,nan,100,nan,Offense
2016-17,Iowa St.,0,nan,12,nan,188,nan,Defensive
2017-18,Iowa St.,12,nan,12,nan,113,nan,Offense
2017-18,Iowa St.,0,nan,12,nan,115,nan,Defensive
2013-14,Iowa St.,12,nan,12,nan,89,nan,Offense
2013-14,Iowa St.,0,nan,12,nan,225,nan,Defensive
2014-15,Iowa St.,12,nan,12,nan,73,nan,Offense
2014-15,Iowa St.,0,nan,12,nan,188,nan,Defensive
2015-16,Iowa St.,12,nan,12,nan,168,nan,Offense
2015-16,Iowa St.,0,nan,12,nan,229,nan,Defensive
2016-17,Iowa St.,12,nan,12,nan,100,nan,Offense
2016-17,Iowa St.,0,nan,12,nan,188,nan,Defensive
2017-18,Iowa St.,12,nan,12,nan,113,nan,Offense
2017-18,Iowa St.,0,nan,12,nan,115,nan,Defensive
2013-14,Iowa St.,12,nan,12,nan,89,nan,Offense
2013-14,Iowa St.,0,nan,12,nan,225,nan,Defensive
2014-15,Iowa St.,12,nan,12,nan,73,nan,Offense
2014-15,Iowa St.,0,nan,12,nan,188,nan,Defensive
2015-16,Iowa St.,12,nan,12,nan,168,nan,Offense
2015-16,Iowa St.,0,nan,12,nan,229,nan,Defensive
2016-17,Iowa St.,12,nan,12,nan,100,nan,Offense
2016-17,Iowa St.,0,nan,12,nan,188,nan,Defensive
2017-18,Iowa St.,12,nan,12,nan,113,nan,Offense
2017-18,Iowa St.,0,nan,12,nan,115,nan,Defensive
2013-14,Iowa,13,nan,13,nan,129,nan,Offense
2013-14,Iowa,0,nan,13,nan,61,nan,Defensive
2014-15,Iowa,13,nan,13,nan,163,nan,Offense
2014-15,Iowa,0,nan,13,nan,146,nan,Defensive
2015-16,Iowa,14,nan,14,nan,217,nan,Offense
2015-16,Iowa,0,nan,14,nan,221,nan,Defensive
2016-17,Iowa,13,nan,13,nan,184,nan,Offense
2016-17,Iowa,0,nan,13,nan,217,nan,Defensive
2017-18,Iowa,12,nan,12,nan,158,nan,Offense
2017-18,Iowa,0,nan,12,nan,149,nan,Defensive
2013-14,Iowa,13,nan,13,nan,129,nan,Offense
2013-14,Iowa,0,nan,13,nan,61,nan,Defensive
2014-15,Iowa,13,nan,13,nan,163,nan,Offense
2014-15,Iowa,0,nan,13,nan,146,nan,Defensive
2015-16,Iowa,14,nan,14,nan,217,nan,Offense
2015-16,Iowa,0,nan,14,nan,221,nan,Defensive
2016-17,Iowa,13,nan,13,nan,184,nan,Offense
2016-17,Iowa,0,nan,13,nan,217,nan,Defensive
2017-18,Iowa,12,nan,12,nan,158,nan,Offense
2017-18,Iowa,0,nan,12,nan,149,nan,Defensive
2013-14,Iowa,13,nan,13,nan,129,nan,Offense
2013-14,Iowa,0,nan,13,nan,61,nan,Defensive
2014-15,Iowa,13,nan,13,nan,163,nan,Offense
2014-15,Iowa,0,nan,13,nan,146,nan,Defensive
2015-16,Iowa,14,nan,14,nan,217,nan,Offense
2015-16,Iowa,0,nan,14,nan,221,nan,Defensive
2016-17,Iowa,13,nan,13,nan,184,nan,Offense
2016-17,Iowa,0,nan,13,nan,217,nan,Defensive
2017-18,Iowa,12,nan,12,nan,158,nan,Offense
2017-18,Iowa,0,nan,12,nan,149,nan,Defensive
2013-14,Iowa,13,nan,13,nan,129,nan,Offense
2013-14,Iowa,0,nan,13,nan,61,nan,Defensive
2014-15,Iowa,13,nan,13,nan,163,nan,Offense
2014-15,Iowa,0,nan,13,nan,146,nan,Defensive
2015-16,Iowa,14,nan,14,nan,217,nan,Offense
2015-16,Iowa,0,nan,14,nan,221,nan,Defensive
2016-17,Iowa,13,nan,13,nan,184,nan,Offense
2016-17,Iowa,0,nan,13,nan,217,nan,Defensive
2017-18,Iowa,12,nan,12,nan,158,nan,Offense
2017-18,Iowa,0,nan,12,nan,149,nan,Defensive
2013-14,Indiana,12,nan,12,nan,126,nan,Offense
2013-14,Indiana,0,nan,12,nan,121,nan,Defensive
2014-15,Indiana,12,nan,12,nan,132,nan,Offense
2014-15,Indiana,0,nan,12,nan,179,nan,Defensive
2015-16,Indiana,13,nan,13,nan,146,nan,Offense
2015-16,Indiana,0,nan,13,nan,92,nan,Defensive
2016-17,Indiana,13,nan,13,nan,220,nan,Offense
2016-17,Indiana,0,nan,13,nan,235,nan,Defensive
2017-18,Indiana,12,nan,12,nan,213,nan,Offense
2017-18,Indiana,0,nan,12,nan,211,nan,Defensive
2013-14,Louisiana,13,nan,13,nan,126,nan,Offense
2013-14,Louisiana,0,nan,13,nan,166,nan,Defensive
2014-15,Louisiana,13,nan,13,nan,226,nan,Offense
2014-15,Louisiana,0,nan,13,nan,136,nan,Defensive
2015-16,Louisiana,12,nan,12,nan,111,nan,Offense
2015-16,Louisiana,0,nan,12,nan,137,nan,Defensive
2016-17,Louisiana,13,nan,13,nan,204,nan,Offense
2016-17,Louisiana,0,nan,13,nan,246,nan,Defensive
2017-18,Louisiana,12,nan,12,nan,164,nan,Offense
2017-18,Louisiana,0,nan,12,nan,204,nan,Defensive
2013-14,Louisiana,13,nan,13,nan,126,nan,Offense
2013-14,Louisiana,0,nan,13,nan,166,nan,Defensive
2014-15,Louisiana,13,nan,13,nan,226,nan,Offense
2014-15,Louisiana,0,nan,13,nan,136,nan,Defensive
2015-16,Louisiana,12,nan,12,nan,111,nan,Offense
2015-16,Louisiana,0,nan,12,nan,137,nan,Defensive
2016-17,Louisiana,13,nan,13,nan,204,nan,Offense
2016-17,Louisiana,0,nan,13,nan,246,nan,Defensive
2017-18,Louisiana,12,nan,12,nan,164,nan,Offense
2017-18,Louisiana,0,nan,12,nan,204,nan,Defensive
2013-14,La.-Monroe,12,nan,12,nan,82,nan,Offense
2013-14,La.-Monroe,0,nan,12,nan,139,nan,Defensive
2014-15,La.-Monroe,12,nan,12,nan,246,nan,Offense
2014-15,La.-Monroe,0,nan,12,nan,238,nan,Defensive
2015-16,La.-Monroe,13,nan,13,nan,174,nan,Offense
2015-16,La.-Monroe,0,nan,13,nan,175,nan,Defensive
2016-17,La.-Monroe,12,nan,12,nan,147,nan,Offense
2016-17,La.-Monroe,0,nan,12,nan,100,nan,Defensive
2017-18,La.-Monroe,12,nan,12,nan,137,nan,Offense
2017-18,La.-Monroe,0,nan,12,nan,129,nan,Defensive
2013-14,La.-Monroe,12,nan,12,nan,82,nan,Offense
2013-14,La.-Monroe,0,nan,12,nan,139,nan,Defensive
2014-15,La.-Monroe,12,nan,12,nan,246,nan,Offense
2014-15,La.-Monroe,0,nan,12,nan,238,nan,Defensive
2015-16,La.-Monroe,13,nan,13,nan,174,nan,Offense
2015-16,La.-Monroe,0,nan,13,nan,175,nan,Defensive
2016-17,La.-Monroe,12,nan,12,nan,147,nan,Offense
2016-17,La.-Monroe,0,nan,12,nan,100,nan,Defensive
2017-18,La.-Monroe,12,nan,12,nan,137,nan,Offense
2017-18,La.-Monroe,0,nan,12,nan,129,nan,Defensive
2013-14,La.-Monroe,12,nan,12,nan,82,nan,Offense
2013-14,La.-Monroe,0,nan,12,nan,139,nan,Defensive
2014-15,La.-Monroe,12,nan,12,nan,246,nan,Offense
2014-15,La.-Monroe,0,nan,12,nan,238,nan,Defensive
2015-16,La.-Monroe,13,nan,13,nan,174,nan,Offense
2015-16,La.-Monroe,0,nan,13,nan,175,nan,Defensive
2016-17,La.-Monroe,12,nan,12,nan,147,nan,Offense
2016-17,La.-Monroe,0,nan,12,nan,100,nan,Defensive
2017-18,La.-Monroe,12,nan,12,nan,137,nan,Offense
2017-18,La.-Monroe,0,nan,12,nan,129,nan,Defensive
