Year,Team,GP,SackUA,G,SackA,SackYds,Sacks,OffenseDefense
2014-15,Akron,12,nan,12,nan,167,nan,Offense
2014-15,Akron,0,nan,12,nan,152,nan,Defensive
2015-16,Akron,13,nan,13,nan,241,nan,Offense
2015-16,Akron,0,nan,13,nan,126,nan,Defensive
2016-17,Akron,12,nan,12,nan,105,nan,Offense
2016-17,Akron,0,nan,12,nan,152,nan,Defensive
2017-18,Akron,13,nan,13,nan,132,nan,Offense
2017-18,Akron,0,nan,13,nan,210,nan,Defensive
2013-14,Akron,12,nan,12,nan,157,nan,Offense
2013-14,Akron,0,nan,12,nan,185,nan,Defensive
2014-15,Akron,12,nan,12,nan,167,nan,Offense
2014-15,Akron,0,nan,12,nan,152,nan,Defensive
2015-16,Akron,13,nan,13,nan,241,nan,Offense
2015-16,Akron,0,nan,13,nan,126,nan,Defensive
2016-17,Akron,12,nan,12,nan,105,nan,Offense
2016-17,Akron,0,nan,12,nan,152,nan,Defensive
2017-18,Akron,13,nan,13,nan,132,nan,Offense
2017-18,Akron,0,nan,13,nan,210,nan,Defensive
2013-14,Akron,12,nan,12,nan,157,nan,Offense
2013-14,Akron,0,nan,12,nan,185,nan,Defensive
2014-15,Akron,12,nan,12,nan,167,nan,Offense
2014-15,Akron,0,nan,12,nan,152,nan,Defensive
2015-16,Akron,13,nan,13,nan,241,nan,Offense
2015-16,Akron,0,nan,13,nan,126,nan,Defensive
2016-17,Akron,12,nan,12,nan,105,nan,Offense
2016-17,Akron,0,nan,12,nan,152,nan,Defensive
2017-18,Akron,13,nan,13,nan,132,nan,Offense
2017-18,Akron,0,nan,13,nan,210,nan,Defensive
2013-14,Air Force,12,nan,12,nan,113,nan,Offense
2013-14,Air Force,0,nan,12,nan,79,nan,Defensive
2014-15,Air Force,13,nan,13,nan,204,nan,Offense
2014-15,Air Force,0,nan,13,nan,80,nan,Defensive
2015-16,Air Force,14,nan,14,nan,224,nan,Offense
2015-16,Air Force,0,nan,14,nan,9,nan,Defensive
2016-17,Air Force,13,nan,13,nan,202,nan,Offense
2016-17,Air Force,0,nan,13,nan,104,nan,Defensive
2017-18,Air Force,12,nan,12,nan,86,nan,Offense
2017-18,Air Force,0,nan,12,nan,149,nan,Defensive
2013-14,Air Force,12,nan,12,nan,113,nan,Offense
2013-14,Air Force,0,nan,12,nan,79,nan,Defensive
2014-15,Air Force,13,nan,13,nan,204,nan,Offense
2014-15,Air Force,0,nan,13,nan,80,nan,Defensive
2015-16,Air Force,14,nan,14,nan,224,nan,Offense
2015-16,Air Force,0,nan,14,nan,9,nan,Defensive
2016-17,Air Force,13,nan,13,nan,202,nan,Offense
2016-17,Air Force,0,nan,13,nan,104,nan,Defensive
2017-18,Air Force,12,nan,12,nan,86,nan,Offense
2017-18,Air Force,0,nan,12,nan,149,nan,Defensive
2013-14,Air Force,12,nan,12,nan,113,nan,Offense
2013-14,Air Force,0,nan,12,nan,79,nan,Defensive
2014-15,Air Force,13,nan,13,nan,204,nan,Offense
2014-15,Air Force,0,nan,13,nan,80,nan,Defensive
2015-16,Air Force,14,nan,14,nan,224,nan,Offense
2015-16,Air Force,0,nan,14,nan,9,nan,Defensive
2016-17,Air Force,13,nan,13,nan,202,nan,Offense
2016-17,Air Force,0,nan,13,nan,104,nan,Defensive
2017-18,Air Force,12,nan,12,nan,86,nan,Offense
2017-18,Air Force,0,nan,12,nan,149,nan,Defensive
2013-14,Air Force,12,nan,12,nan,113,nan,Offense
2013-14,Air Force,0,nan,12,nan,79,nan,Defensive
2014-15,Air Force,13,nan,13,nan,204,nan,Offense
2014-15,Air Force,0,nan,13,nan,80,nan,Defensive
2015-16,Air Force,14,nan,14,nan,224,nan,Offense
2015-16,Air Force,0,nan,14,nan,9,nan,Defensive
2016-17,Air Force,13,nan,13,nan,202,nan,Offense
2016-17,Air Force,0,nan,13,nan,104,nan,Defensive
