Year,Team,GP,G,OffenseDefense
2013-14,Cincinnati,0,13,Defensive
2014-15,Cincinnati,13,13,Offense
2014-15,Cincinnati,0,13,Defensive
2015-16,Cincinnati,13,13,Offense
2015-16,Cincinnati,0,13,Defensive
2016-17,Cincinnati,12,12,Offense
2016-17,Cincinnati,0,12,Defensive
2017-18,Cincinnati,12,12,Offense
2017-18,Cincinnati,0,12,Defensive
2013-14,Cincinnati,13,13,Offense
2013-14,Cincinnati,0,13,Defensive
2014-15,Cincinnati,13,13,Offense
2014-15,Cincinnati,0,13,Defensive
2015-16,Cincinnati,13,13,Offense
2015-16,Cincinnati,0,13,Defensive
2016-17,Cincinnati,12,12,Offense
2016-17,Cincinnati,0,12,Defensive
2017-18,Cincinnati,12,12,Offense
2017-18,Cincinnati,0,12,Defensive
2013-14,Cincinnati,13,13,Offense
2013-14,Cincinnati,0,13,Defensive
2014-15,Cincinnati,13,13,Offense
2014-15,Cincinnati,0,13,Defensive
2015-16,Cincinnati,13,13,Offense
2015-16,Cincinnati,0,13,Defensive
2016-17,Cincinnati,12,12,Offense
2016-17,Cincinnati,0,12,Defensive
2017-18,Cincinnati,12,12,Offense
2017-18,Cincinnati,0,12,Defensive
2013-14,Clemson,13,13,Offense
2013-14,Clemson,0,13,Defensive
2014-15,Clemson,13,13,Offense
2014-15,Clemson,0,13,Defensive
2015-16,Clemson,15,15,Offense
2015-16,Clemson,0,15,Defensive
2016-17,Clemson,15,15,Offense
2016-17,Clemson,0,15,Defensive
2017-18,Clemson,13,13,Offense
2017-18,Clemson,0,13,Defensive
2013-14,Clemson,13,13,Offense
2013-14,Clemson,0,13,Defensive
2014-15,Clemson,13,13,Offense
2014-15,Clemson,0,13,Defensive
2015-16,Clemson,15,15,Offense
2015-16,Clemson,0,15,Defensive
2016-17,Clemson,15,15,Offense
2016-17,Clemson,0,15,Defensive
2017-18,Clemson,13,13,Offense
2017-18,Clemson,0,13,Defensive
2013-14,Clemson,13,13,Offense
2013-14,Clemson,0,13,Defensive
2014-15,Clemson,13,13,Offense
2014-15,Clemson,0,13,Defensive
2015-16,Clemson,15,15,Offense
2015-16,Clemson,0,15,Defensive
2016-17,Clemson,15,15,Offense
2016-17,Clemson,0,15,Defensive
2017-18,Clemson,13,13,Offense
2017-18,Clemson,0,13,Defensive
2013-14,Coastal Caro.,15,15,Offense
2013-14,Coastal Caro.,0,15,Defensive
2014-15,Coastal Caro.,14,14,Offense
2014-15,Coastal Caro.,0,14,Defensive
2015-16,Coastal Caro.,12,12,Offense
2015-16,Coastal Caro.,0,12,Defensive
2016-17,Coastal Caro.,12,12,Offense
2016-17,Coastal Caro.,0,12,Defensive
2017-18,Coastal Caro.,12,12,Offense
2017-18,Coastal Caro.,0,12,Defensive
2013-14,Colorado,12,12,Offense
2013-14,Colorado,0,12,Defensive
2014-15,Colorado,12,12,Offense
2014-15,Colorado,0,12,Defensive
2015-16,Colorado,13,13,Offense
2015-16,Colorado,0,13,Defensive
2016-17,Colorado,14,14,Offense
2016-17,Colorado,0,14,Defensive
2017-18,Colorado,12,12,Offense
2017-18,Colorado,0,12,Defensive
2013-14,Colorado,12,12,Offense
2013-14,Colorado,0,12,Defensive
2014-15,Colorado,12,12,Offense
2014-15,Colorado,0,12,Defensive
2015-16,Colorado,13,13,Offense
2015-16,Colorado,0,13,Defensive
2016-17,Colorado,14,14,Offense
2016-17,Colorado,0,14,Defensive
2017-18,Colorado,12,12,Offense
2017-18,Colorado,0,12,Defensive
2013-14,Colorado,12,12,Offense
2013-14,Colorado,0,12,Defensive
2014-15,Colorado,12,12,Offense
2014-15,Colorado,0,12,Defensive
2015-16,Colorado,13,13,Offense
2015-16,Colorado,0,13,Defensive
2016-17,Colorado,14,14,Offense
2016-17,Colorado,0,14,Defensive
2017-18,Colorado,12,12,Offense
2017-18,Colorado,0,12,Defensive
2013-14,Colorado,12,12,Offense
2013-14,Colorado,0,12,Defensive
2014-15,Colorado,12,12,Offense
2014-15,Colorado,0,12,Defensive
2015-16,Colorado,13,13,Offense
2015-16,Colorado,0,13,Defensive
2016-17,Colorado,14,14,Offense
2016-17,Colorado,0,14,Defensive
2017-18,Colorado,12,12,Offense
2017-18,Colorado,0,12,Defensive
2013-14,Clemson,13,13,Offense
2013-14,Clemson,0,13,Defensive
2014-15,Clemson,13,13,Offense
2014-15,Clemson,0,13,Defensive
2015-16,Clemson,15,15,Offense
2015-16,Clemson,0,15,Defensive
2016-17,Clemson,15,15,Offense
2016-17,Clemson,0,15,Defensive
2017-18,Clemson,13,13,Offense
2017-18,Clemson,0,13,Defensive
2013-14,Colorado St.,14,14,Offense
2013-14,Colorado St.,0,14,Defensive
2014-15,Colorado St.,13,13,Offense
2014-15,Colorado St.,0,13,Defensive
2015-16,Colorado St.,13,13,Offense
2015-16,Colorado St.,0,13,Defensive
2016-17,Colorado St.,13,13,Offense
2016-17,Colorado St.,0,13,Defensive
2017-18,Colorado St.,12,12,Offense
2017-18,Colorado St.,0,12,Defensive
2013-14,Colorado St.,14,14,Offense
2013-14,Colorado St.,0,14,Defensive
2014-15,Colorado St.,13,13,Offense
2014-15,Colorado St.,0,13,Defensive
2015-16,Colorado St.,13,13,Offense
2015-16,Colorado St.,0,13,Defensive
2016-17,Colorado St.,13,13,Offense
2016-17,Colorado St.,0,13,Defensive
2017-18,Colorado St.,12,12,Offense
2017-18,Colorado St.,0,12,Defensive
2013-14,Colorado St.,14,14,Offense
2013-14,Colorado St.,0,14,Defensive
2014-15,Colorado St.,13,13,Offense
2014-15,Colorado St.,0,13,Defensive
2015-16,Colorado St.,13,13,Offense
2015-16,Colorado St.,0,13,Defensive
2016-17,Colorado St.,13,13,Offense
2016-17,Colorado St.,0,13,Defensive
2017-18,Colorado St.,12,12,Offense
2017-18,Colorado St.,0,12,Defensive
2013-14,Colorado St.,14,14,Offense
2013-14,Colorado St.,0,14,Defensive
2014-15,Colorado St.,13,13,Offense
2014-15,Colorado St.,0,13,Defensive
2015-16,Colorado St.,13,13,Offense
2015-16,Colorado St.,0,13,Defensive
2016-17,Colorado St.,13,13,Offense
2016-17,Colorado St.,0,13,Defensive
2017-18,Colorado St.,12,12,Offense
2017-18,Colorado St.,0,12,Defensive
2013-14,Duke,14,14,Offense
2013-14,Duke,0,14,Defensive
2014-15,Duke,13,13,Offense
2014-15,Duke,0,13,Defensive
2015-16,Duke,13,13,Offense
2015-16,Duke,0,13,Defensive
2016-17,Duke,12,12,Offense
2016-17,Duke,0,12,Defensive
2017-18,Duke,12,12,Offense
2017-18,Duke,0,12,Defensive
2013-14,Duke,14,14,Offense
2013-14,Duke,0,14,Defensive
2014-15,Duke,13,13,Offense
2014-15,Duke,0,13,Defensive
2015-16,Duke,13,13,Offense
2015-16,Duke,0,13,Defensive
2016-17,Duke,12,12,Offense
2016-17,Duke,0,12,Defensive
2017-18,Duke,12,12,Offense
2017-18,Duke,0,12,Defensive
2013-14,Duke,14,14,Offense
2013-14,Duke,0,14,Defensive
2014-15,Duke,13,13,Offense
2014-15,Duke,0,13,Defensive
2015-16,Duke,13,13,Offense
2015-16,Duke,0,13,Defensive
2016-17,Duke,12,12,Offense
2016-17,Duke,0,12,Defensive
2017-18,Duke,12,12,Offense
2017-18,Duke,0,12,Defensive
2013-14,Duke,14,14,Offense
2013-14,Duke,0,14,Defensive
2014-15,Duke,13,13,Offense
2014-15,Duke,0,13,Defensive
2015-16,Duke,13,13,Offense
2015-16,Duke,0,13,Defensive
2016-17,Duke,12,12,Offense
2016-17,Duke,0,12,Defensive
2017-18,Duke,12,12,Offense
2017-18,Duke,0,12,Defensive
2013-14,East Carolina,13,13,Offense
2013-14,East Carolina,0,13,Defensive
2014-15,East Carolina,13,13,Offense
2014-15,East Carolina,0,13,Defensive
2015-16,East Carolina,12,12,Offense
2015-16,East Carolina,0,12,Defensive
2016-17,East Carolina,12,12,Offense
2016-17,East Carolina,0,12,Defensive
2017-18,East Carolina,12,12,Offense
2017-18,East Carolina,0,12,Defensive
2013-14,East Carolina,13,13,Offense
2013-14,East Carolina,0,13,Defensive
2014-15,East Carolina,13,13,Offense
2014-15,East Carolina,0,13,Defensive
2015-16,East Carolina,12,12,Offense
2015-16,East Carolina,0,12,Defensive
2016-17,East Carolina,12,12,Offense
2016-17,East Carolina,0,12,Defensive
2017-18,East Carolina,12,12,Offense
2017-18,East Carolina,0,12,Defensive
2013-14,East Carolina,13,13,Offense
2013-14,East Carolina,0,13,Defensive
2014-15,East Carolina,13,13,Offense
2014-15,East Carolina,0,13,Defensive
2015-16,East Carolina,12,12,Offense
2015-16,East Carolina,0,12,Defensive
2016-17,East Carolina,12,12,Offense
2016-17,East Carolina,0,12,Defensive
2017-18,East Carolina,12,12,Offense
2017-18,East Carolina,0,12,Defensive
2013-14,Eastern Mich.,12,12,Offense
2013-14,Eastern Mich.,0,12,Defensive
2014-15,Eastern Mich.,12,12,Offense
2014-15,Eastern Mich.,0,12,Defensive
2015-16,Eastern Mich.,12,12,Offense
2015-16,Eastern Mich.,0,12,Defensive
2016-17,Eastern Mich.,13,13,Offense
2016-17,Eastern Mich.,0,13,Defensive
2017-18,Eastern Mich.,12,12,Offense
2017-18,Eastern Mich.,0,12,Defensive
2013-14,Eastern Mich.,12,12,Offense
2013-14,Eastern Mich.,0,12,Defensive
2014-15,Eastern Mich.,12,12,Offense
2014-15,Eastern Mich.,0,12,Defensive
2015-16,Eastern Mich.,12,12,Offense
2015-16,Eastern Mich.,0,12,Defensive
2016-17,Eastern Mich.,13,13,Offense
2016-17,Eastern Mich.,0,13,Defensive
2017-18,Eastern Mich.,12,12,Offense
2017-18,Eastern Mich.,0,12,Defensive
2013-14,Eastern Mich.,12,12,Offense
2013-14,Eastern Mich.,0,12,Defensive
2014-15,Eastern Mich.,12,12,Offense
2014-15,Eastern Mich.,0,12,Defensive
2015-16,Eastern Mich.,12,12,Offense
2015-16,Eastern Mich.,0,12,Defensive
2016-17,Eastern Mich.,13,13,Offense
2016-17,Eastern Mich.,0,13,Defensive
2017-18,Eastern Mich.,12,12,Offense
2017-18,Eastern Mich.,0,12,Defensive
2013-14,Eastern Mich.,12,12,Offense
2013-14,Eastern Mich.,0,12,Defensive
2014-15,Eastern Mich.,12,12,Offense
2014-15,Eastern Mich.,0,12,Defensive
2015-16,Eastern Mich.,12,12,Offense
2015-16,Eastern Mich.,0,12,Defensive
2016-17,Eastern Mich.,13,13,Offense
2016-17,Eastern Mich.,0,13,Defensive
2017-18,Eastern Mich.,12,12,Offense
2017-18,Eastern Mich.,0,12,Defensive
2013-14,FIU,12,12,Offense
2013-14,FIU,0,12,Defensive
2014-15,FIU,12,12,Offense
2014-15,FIU,0,12,Defensive
2015-16,FIU,12,12,Offense
2015-16,FIU,0,12,Defensive
2016-17,FIU,12,12,Offense
2016-17,FIU,0,12,Defensive
2017-18,FIU,12,12,Offense
2017-18,FIU,0,12,Defensive
2013-14,FIU,12,12,Offense
2013-14,FIU,0,12,Defensive
2014-15,FIU,12,12,Offense
2014-15,FIU,0,12,Defensive
2015-16,FIU,12,12,Offense
2015-16,FIU,0,12,Defensive
2016-17,FIU,12,12,Offense
2016-17,FIU,0,12,Defensive
2017-18,FIU,12,12,Offense
2017-18,FIU,0,12,Defensive
2013-14,FIU,12,12,Offense
2013-14,FIU,0,12,Defensive
2014-15,FIU,12,12,Offense
2014-15,FIU,0,12,Defensive
2015-16,FIU,12,12,Offense
2015-16,FIU,0,12,Defensive
2016-17,FIU,12,12,Offense
2016-17,FIU,0,12,Defensive
2017-18,FIU,12,12,Offense
2017-18,FIU,0,12,Defensive
2013-14,FIU,12,12,Offense
2013-14,FIU,0,12,Defensive
2014-15,FIU,12,12,Offense
2014-15,FIU,0,12,Defensive
2015-16,FIU,12,12,Offense
2015-16,FIU,0,12,Defensive
2016-17,FIU,12,12,Offense
2016-17,FIU,0,12,Defensive
2017-18,FIU,12,12,Offense
2017-18,FIU,0,12,Defensive
2013-14,Fla. Atlantic,12,12,Offense
2013-14,Fla. Atlantic,0,12,Defensive
2014-15,Fla. Atlantic,12,12,Offense
2014-15,Fla. Atlantic,0,12,Defensive
2015-16,Fla. Atlantic,12,12,Offense
2015-16,Fla. Atlantic,0,12,Defensive
2016-17,Fla. Atlantic,12,12,Offense
2016-17,Fla. Atlantic,0,12,Defensive
2017-18,Fla. Atlantic,13,13,Offense
2017-18,Fla. Atlantic,0,13,Defensive
2013-14,Fla. Atlantic,12,12,Offense
2013-14,Fla. Atlantic,0,12,Defensive
2014-15,Fla. Atlantic,12,12,Offense
2014-15,Fla. Atlantic,0,12,Defensive
2015-16,Fla. Atlantic,12,12,Offense
2015-16,Fla. Atlantic,0,12,Defensive
2016-17,Fla. Atlantic,12,12,Offense
2016-17,Fla. Atlantic,0,12,Defensive
2017-18,Fla. Atlantic,13,13,Offense
2017-18,Fla. Atlantic,0,13,Defensive
2013-14,Fla. Atlantic,12,12,Offense
2013-14,Fla. Atlantic,0,12,Defensive
2014-15,Fla. Atlantic,12,12,Offense
2014-15,Fla. Atlantic,0,12,Defensive
2015-16,Fla. Atlantic,12,12,Offense
2015-16,Fla. Atlantic,0,12,Defensive
2016-17,Fla. Atlantic,12,12,Offense
2016-17,Fla. Atlantic,0,12,Defensive
2017-18,Fla. Atlantic,13,13,Offense
2017-18,Fla. Atlantic,0,13,Defensive
2013-14,Fla. Atlantic,12,12,Offense
2013-14,Fla. Atlantic,0,12,Defensive
2014-15,Fla. Atlantic,12,12,Offense
2014-15,Fla. Atlantic,0,12,Defensive
2015-16,Fla. Atlantic,12,12,Offense
2015-16,Fla. Atlantic,0,12,Defensive
2016-17,Fla. Atlantic,12,12,Offense
2016-17,Fla. Atlantic,0,12,Defensive
2017-18,Fla. Atlantic,13,13,Offense
2017-18,Fla. Atlantic,0,13,Defensive
2013-14,Florida,12,12,Offense
2013-14,Florida,0,12,Defensive
2014-15,Florida,12,12,Offense
2014-15,Florida,0,12,Defensive
2015-16,Florida,14,14,Offense
2015-16,Florida,0,14,Defensive
2016-17,Florida,13,13,Offense
2016-17,Florida,0,13,Defensive
2017-18,Florida,11,11,Offense
2017-18,Florida,0,11,Defensive
2013-14,Florida,12,12,Offense
2013-14,Florida,0,12,Defensive
2014-15,Florida,12,12,Offense
2014-15,Florida,0,12,Defensive
2015-16,Florida,14,14,Offense
2015-16,Florida,0,14,Defensive
2016-17,Florida,13,13,Offense
2016-17,Florida,0,13,Defensive
2017-18,Florida,11,11,Offense
2017-18,Florida,0,11,Defensive
2013-14,Florida,12,12,Offense
2013-14,Florida,0,12,Defensive
2014-15,Florida,12,12,Offense
2014-15,Florida,0,12,Defensive
2015-16,Florida,14,14,Offense
2015-16,Florida,0,14,Defensive
2016-17,Florida,13,13,Offense
2016-17,Florida,0,13,Defensive
2017-18,Florida,11,11,Offense
2017-18,Florida,0,11,Defensive
2013-14,Florida St.,14,14,Offense
2013-14,Florida St.,0,14,Defensive
2014-15,Florida St.,14,14,Offense
2014-15,Florida St.,0,14,Defensive
2015-16,Florida St.,13,13,Offense
2015-16,Florida St.,0,13,Defensive
2016-17,Florida St.,13,13,Offense
2016-17,Florida St.,0,13,Defensive
2017-18,Florida St.,12,12,Offense
2017-18,Florida St.,0,12,Defensive
2013-14,Florida St.,14,14,Offense
2013-14,Florida St.,0,14,Defensive
2014-15,Florida St.,14,14,Offense
2014-15,Florida St.,0,14,Defensive
2015-16,Florida St.,13,13,Offense
2015-16,Florida St.,0,13,Defensive
2016-17,Florida St.,13,13,Offense
2016-17,Florida St.,0,13,Defensive
2017-18,Florida St.,12,12,Offense
2017-18,Florida St.,0,12,Defensive
2013-14,Florida St.,14,14,Offense
2013-14,Florida St.,0,14,Defensive
2014-15,Florida St.,14,14,Offense
2014-15,Florida St.,0,14,Defensive
2015-16,Florida St.,13,13,Offense
2015-16,Florida St.,0,13,Defensive
2016-17,Florida St.,13,13,Offense
2016-17,Florida St.,0,13,Defensive
2017-18,Florida St.,12,12,Offense
2017-18,Florida St.,0,12,Defensive
2013-14,Florida St.,14,14,Offense
2013-14,Florida St.,0,14,Defensive
2014-15,Florida St.,14,14,Offense
2014-15,Florida St.,0,14,Defensive
2015-16,Florida St.,13,13,Offense
2015-16,Florida St.,0,13,Defensive
2016-17,Florida St.,13,13,Offense
2016-17,Florida St.,0,13,Defensive
2017-18,Florida St.,12,12,Offense
2017-18,Florida St.,0,12,Defensive
2013-14,Fresno St.,13,13,Offense
2013-14,Fresno St.,0,13,Defensive
2014-15,Fresno St.,14,14,Offense
2014-15,Fresno St.,0,14,Defensive
2015-16,Fresno St.,12,12,Offense
2015-16,Fresno St.,0,12,Defensive
2016-17,Fresno St.,12,12,Offense
2016-17,Fresno St.,0,12,Defensive
2017-18,Fresno St.,13,13,Offense
2017-18,Fresno St.,0,13,Defensive
2013-14,Fresno St.,13,13,Offense
2013-14,Fresno St.,0,13,Defensive
2014-15,Fresno St.,14,14,Offense
2014-15,Fresno St.,0,14,Defensive
2015-16,Fresno St.,12,12,Offense
2015-16,Fresno St.,0,12,Defensive
2016-17,Fresno St.,12,12,Offense
2016-17,Fresno St.,0,12,Defensive
2017-18,Fresno St.,13,13,Offense
2017-18,Fresno St.,0,13,Defensive
2013-14,Fresno St.,13,13,Offense
2013-14,Fresno St.,0,13,Defensive
2014-15,Fresno St.,14,14,Offense
2014-15,Fresno St.,0,14,Defensive
2015-16,Fresno St.,12,12,Offense
2015-16,Fresno St.,0,12,Defensive
2016-17,Fresno St.,12,12,Offense
2016-17,Fresno St.,0,12,Defensive
2017-18,Fresno St.,13,13,Offense
2017-18,Fresno St.,0,13,Defensive
2013-14,Fresno St.,13,13,Offense
2013-14,Fresno St.,0,13,Defensive
2014-15,Fresno St.,14,14,Offense
2014-15,Fresno St.,0,14,Defensive
2015-16,Fresno St.,12,12,Offense
2015-16,Fresno St.,0,12,Defensive
2016-17,Fresno St.,12,12,Offense
2016-17,Fresno St.,0,12,Defensive
2017-18,Fresno St.,13,13,Offense
2017-18,Fresno St.,0,13,Defensive
2013-14,Ga. Southern,11,11,Offense
2013-14,Ga. Southern,0,11,Defensive
2014-15,Ga. Southern,12,12,Offense
2014-15,Ga. Southern,0,12,Defensive
2015-16,Ga. Southern,13,13,Offense
2015-16,Ga. Southern,0,13,Defensive
2016-17,Ga. Southern,12,12,Offense
2016-17,Ga. Southern,0,12,Defensive
2017-18,Ga. Southern,12,12,Offense
2017-18,Ga. Southern,0,12,Defensive
2013-14,Ga. Southern,11,11,Offense
2013-14,Ga. Southern,0,11,Defensive
2014-15,Ga. Southern,12,12,Offense
2014-15,Ga. Southern,0,12,Defensive
2015-16,Ga. Southern,13,13,Offense
2015-16,Ga. Southern,0,13,Defensive
2016-17,Ga. Southern,12,12,Offense
2016-17,Ga. Southern,0,12,Defensive
2017-18,Ga. Southern,12,12,Offense
2017-18,Ga. Southern,0,12,Defensive
2013-14,Ga. Southern,11,11,Offense
2013-14,Ga. Southern,0,11,Defensive
2014-15,Ga. Southern,12,12,Offense
2014-15,Ga. Southern,0,12,Defensive
2015-16,Ga. Southern,13,13,Offense
2015-16,Ga. Southern,0,13,Defensive
2016-17,Ga. Southern,12,12,Offense
2016-17,Ga. Southern,0,12,Defensive
2017-18,Ga. Southern,12,12,Offense
2017-18,Ga. Southern,0,12,Defensive
2013-14,Ga. Southern,11,11,Offense
2013-14,Ga. Southern,0,11,Defensive
2014-15,Ga. Southern,12,12,Offense
2014-15,Ga. Southern,0,12,Defensive
2015-16,Ga. Southern,13,13,Offense
2015-16,Ga. Southern,0,13,Defensive
2016-17,Ga. Southern,12,12,Offense
2016-17,Ga. Southern,0,12,Defensive
2017-18,Ga. Southern,12,12,Offense
2017-18,Ga. Southern,0,12,Defensive
2013-14,Georgia,13,13,Offense
2013-14,Georgia,0,13,Defensive
2014-15,Georgia,13,13,Offense
2014-15,Georgia,0,13,Defensive
2015-16,Georgia,13,13,Offense
2015-16,Georgia,0,13,Defensive
2016-17,Georgia,13,13,Offense
2016-17,Georgia,0,13,Defensive
2017-18,Georgia,13,13,Offense
2017-18,Georgia,0,13,Defensive
2013-14,Georgia,13,13,Offense
2013-14,Georgia,0,13,Defensive
2014-15,Georgia,13,13,Offense
2014-15,Georgia,0,13,Defensive
2015-16,Georgia,13,13,Offense
2015-16,Georgia,0,13,Defensive
2016-17,Georgia,13,13,Offense
2016-17,Georgia,0,13,Defensive
2017-18,Georgia,13,13,Offense
2017-18,Georgia,0,13,Defensive
2013-14,Georgia,13,13,Offense
2013-14,Georgia,0,13,Defensive
2014-15,Georgia,13,13,Offense
2014-15,Georgia,0,13,Defensive
2015-16,Georgia,13,13,Offense
2015-16,Georgia,0,13,Defensive
2016-17,Georgia,13,13,Offense
2016-17,Georgia,0,13,Defensive
2017-18,Georgia,13,13,Offense
2017-18,Georgia,0,13,Defensive
2013-14,Georgia,13,13,Offense
2013-14,Georgia,0,13,Defensive
2014-15,Georgia,13,13,Offense
2014-15,Georgia,0,13,Defensive
2015-16,Georgia,13,13,Offense
2015-16,Georgia,0,13,Defensive
2016-17,Georgia,13,13,Offense
2016-17,Georgia,0,13,Defensive
2017-18,Georgia,13,13,Offense
2017-18,Georgia,0,13,Defensive
2013-14,Georgia St.,12,12,Offense
2013-14,Georgia St.,0,12,Defensive
2014-15,Georgia St.,12,12,Offense
2014-15,Georgia St.,0,12,Defensive
2015-16,Georgia St.,13,13,Offense
2015-16,Georgia St.,0,13,Defensive
2016-17,Georgia St.,12,12,Offense
2016-17,Georgia St.,0,12,Defensive
2017-18,Georgia St.,11,11,Offense
2017-18,Georgia St.,0,11,Defensive
2013-14,Georgia St.,12,12,Offense
2013-14,Georgia St.,0,12,Defensive
2014-15,Georgia St.,12,12,Offense
2014-15,Georgia St.,0,12,Defensive
2015-16,Georgia St.,13,13,Offense
2015-16,Georgia St.,0,13,Defensive
2016-17,Georgia St.,12,12,Offense
2016-17,Georgia St.,0,12,Defensive
2017-18,Georgia St.,11,11,Offense
2017-18,Georgia St.,0,11,Defensive
2013-14,Georgia St.,12,12,Offense
2013-14,Georgia St.,0,12,Defensive
2014-15,Georgia St.,12,12,Offense
2014-15,Georgia St.,0,12,Defensive
2015-16,Georgia St.,13,13,Offense
2015-16,Georgia St.,0,13,Defensive
2016-17,Georgia St.,12,12,Offense
2016-17,Georgia St.,0,12,Defensive
2017-18,Georgia St.,11,11,Offense
2017-18,Georgia St.,0,11,Defensive
2013-14,Georgia Tech,13,13,Offense
2013-14,Georgia Tech,0,13,Defensive
2014-15,Georgia Tech,14,14,Offense
2014-15,Georgia Tech,0,14,Defensive
2015-16,Georgia Tech,12,12,Offense
2015-16,Georgia Tech,0,12,Defensive
2016-17,Georgia Tech,13,13,Offense
2016-17,Georgia Tech,0,13,Defensive
2017-18,Georgia Tech,11,11,Offense
2017-18,Georgia Tech,0,11,Defensive
2013-14,Georgia Tech,13,13,Offense
2013-14,Georgia Tech,0,13,Defensive
2014-15,Georgia Tech,14,14,Offense
2014-15,Georgia Tech,0,14,Defensive
2015-16,Georgia Tech,12,12,Offense
2015-16,Georgia Tech,0,12,Defensive
2016-17,Georgia Tech,13,13,Offense
2016-17,Georgia Tech,0,13,Defensive
2017-18,Georgia Tech,11,11,Offense
2017-18,Georgia Tech,0,11,Defensive
2013-14,Georgia Tech,13,13,Offense
2013-14,Georgia Tech,0,13,Defensive
2014-15,Georgia Tech,14,14,Offense
2014-15,Georgia Tech,0,14,Defensive
2015-16,Georgia Tech,12,12,Offense
2015-16,Georgia Tech,0,12,Defensive
2016-17,Georgia Tech,13,13,Offense
2016-17,Georgia Tech,0,13,Defensive
2017-18,Georgia Tech,11,11,Offense
2017-18,Georgia Tech,0,11,Defensive
2013-14,Georgia St.,12,12,Offense
2013-14,Georgia St.,0,12,Defensive
2014-15,Georgia St.,12,12,Offense
2014-15,Georgia St.,0,12,Defensive
2015-16,Georgia St.,13,13,Offense
2015-16,Georgia St.,0,13,Defensive
2016-17,Georgia St.,12,12,Offense
2016-17,Georgia St.,0,12,Defensive
2017-18,Georgia St.,11,11,Offense
2017-18,Georgia St.,0,11,Defensive
2013-14,Hawaii,12,12,Offense
2013-14,Hawaii,0,12,Defensive
2014-15,Hawaii,13,13,Offense
2014-15,Hawaii,0,13,Defensive
2015-16,Hawaii,13,13,Offense
2015-16,Hawaii,0,13,Defensive
2016-17,Hawaii,14,14,Offense
2016-17,Hawaii,0,14,Defensive
2017-18,Hawaii,12,12,Offense
2017-18,Hawaii,0,12,Defensive
2013-14,Hawaii,12,12,Offense
2013-14,Hawaii,0,12,Defensive
2014-15,Hawaii,13,13,Offense
2014-15,Hawaii,0,13,Defensive
2015-16,Hawaii,13,13,Offense
2015-16,Hawaii,0,13,Defensive
2016-17,Hawaii,14,14,Offense
2016-17,Hawaii,0,14,Defensive
2017-18,Hawaii,12,12,Offense
2017-18,Hawaii,0,12,Defensive
2013-14,Hawaii,12,12,Offense
2013-14,Hawaii,0,12,Defensive
2014-15,Hawaii,13,13,Offense
2014-15,Hawaii,0,13,Defensive
2015-16,Hawaii,13,13,Offense
2015-16,Hawaii,0,13,Defensive
2016-17,Hawaii,14,14,Offense
2016-17,Hawaii,0,14,Defensive
2017-18,Hawaii,12,12,Offense
2017-18,Hawaii,0,12,Defensive
2013-14,Hawaii,12,12,Offense
2013-14,Hawaii,0,12,Defensive
2014-15,Hawaii,13,13,Offense
2014-15,Hawaii,0,13,Defensive
2015-16,Hawaii,13,13,Offense
2015-16,Hawaii,0,13,Defensive
2016-17,Hawaii,14,14,Offense
2016-17,Hawaii,0,14,Defensive
2017-18,Hawaii,12,12,Offense
2017-18,Hawaii,0,12,Defensive
2013-14,Houston,13,13,Offense
2013-14,Houston,0,13,Defensive
2014-15,Houston,13,13,Offense
2014-15,Houston,0,13,Defensive
2015-16,Houston,14,14,Offense
2015-16,Houston,0,14,Defensive
2016-17,Houston,13,13,Offense
2016-17,Houston,0,13,Defensive
2017-18,Houston,11,11,Offense
2017-18,Houston,0,11,Defensive
2013-14,Houston,13,13,Offense
2013-14,Houston,0,13,Defensive
2014-15,Houston,13,13,Offense
2014-15,Houston,0,13,Defensive
2015-16,Houston,14,14,Offense
2015-16,Houston,0,14,Defensive
2016-17,Houston,13,13,Offense
2016-17,Houston,0,13,Defensive
2017-18,Houston,11,11,Offense
2017-18,Houston,0,11,Defensive
2013-14,Houston,13,13,Offense
2013-14,Houston,0,13,Defensive
2014-15,Houston,13,13,Offense
2014-15,Houston,0,13,Defensive
2015-16,Houston,14,14,Offense
2015-16,Houston,0,14,Defensive
2016-17,Houston,13,13,Offense
2016-17,Houston,0,13,Defensive
2017-18,Houston,11,11,Offense
2017-18,Houston,0,11,Defensive
2013-14,Houston,13,13,Offense
2013-14,Houston,0,13,Defensive
2014-15,Houston,13,13,Offense
2014-15,Houston,0,13,Defensive
2015-16,Houston,14,14,Offense
2015-16,Houston,0,14,Defensive
2016-17,Houston,13,13,Offense
2016-17,Houston,0,13,Defensive
2017-18,Houston,11,11,Offense
2017-18,Houston,0,11,Defensive
2013-14,Idaho,12,12,Offense
2013-14,Idaho,0,12,Defensive
2014-15,Idaho,11,11,Offense
2014-15,Idaho,0,11,Defensive
2015-16,Idaho,12,12,Offense
2015-16,Idaho,0,12,Defensive
2016-17,Idaho,13,13,Offense
2016-17,Idaho,0,13,Defensive
2017-18,Idaho,12,12,Offense
2017-18,Idaho,0,12,Defensive
2013-14,Idaho,12,12,Offense
2013-14,Idaho,0,12,Defensive
2014-15,Idaho,11,11,Offense
2014-15,Idaho,0,11,Defensive
2015-16,Idaho,12,12,Offense
2015-16,Idaho,0,12,Defensive
2016-17,Idaho,13,13,Offense
2016-17,Idaho,0,13,Defensive
2017-18,Idaho,12,12,Offense
