Year,Team,GP,G,OffenseDefense
2016-17,Arizona St.,12,12,Offense
2016-17,Arizona St.,0,12,Defensive
2017-18,Arizona St.,12,12,Offense
2017-18,Arizona St.,0,12,Defensive
2013-14,Arizona St.,14,14,Offense
2013-14,Arizona St.,0,14,Defensive
2014-15,Arizona St.,13,13,Offense
2014-15,Arizona St.,0,13,Defensive
2015-16,Arizona St.,13,13,Offense
2015-16,Arizona St.,0,13,Defensive
2016-17,Arizona St.,12,12,Offense
2016-17,Arizona St.,0,12,Defensive
2017-18,Arizona St.,12,12,Offense
2017-18,Arizona St.,0,12,Defensive
2013-14,Arizona St.,14,14,Offense
2013-14,Arizona St.,0,14,Defensive
2014-15,Arizona St.,13,13,Offense
2014-15,Arizona St.,0,13,Defensive
2015-16,Arizona St.,13,13,Offense
2015-16,Arizona St.,0,13,Defensive
2016-17,Arizona St.,12,12,Offense
2016-17,Arizona St.,0,12,Defensive
2017-18,Arizona St.,12,12,Offense
2017-18,Arizona St.,0,12,Defensive
2013-14,Arizona,13,13,Offense
2013-14,Arizona,0,13,Defensive
2014-15,Arizona,14,14,Offense
2014-15,Arizona,0,14,Defensive
2015-16,Arizona,13,13,Offense
2015-16,Arizona,0,13,Defensive
2016-17,Arizona,12,12,Offense
2016-17,Arizona,0,12,Defensive
2017-18,Arizona,12,12,Offense
2017-18,Arizona,0,12,Defensive
2013-14,Arizona,13,13,Offense
2013-14,Arizona,0,13,Defensive
2014-15,Arizona,14,14,Offense
2014-15,Arizona,0,14,Defensive
2015-16,Arizona,13,13,Offense
2015-16,Arizona,0,13,Defensive
2016-17,Arizona,12,12,Offense
2016-17,Arizona,0,12,Defensive
2017-18,Arizona,12,12,Offense
2017-18,Arizona,0,12,Defensive
2013-14,Arizona,13,13,Offense
2013-14,Arizona,0,13,Defensive
2014-15,Arizona,14,14,Offense
2014-15,Arizona,0,14,Defensive
2015-16,Arizona,13,13,Offense
2015-16,Arizona,0,13,Defensive
2016-17,Arizona,12,12,Offense
2016-17,Arizona,0,12,Defensive
2017-18,Arizona,12,12,Offense
2017-18,Arizona,0,12,Defensive
2013-14,Arizona,13,13,Offense
2013-14,Arizona,0,13,Defensive
2014-15,Arizona,14,14,Offense
2014-15,Arizona,0,14,Defensive
2015-16,Arizona,13,13,Offense
2015-16,Arizona,0,13,Defensive
2016-17,Arizona,12,12,Offense
2016-17,Arizona,0,12,Defensive
2017-18,Arizona,12,12,Offense
2017-18,Arizona,0,12,Defensive
2013-14,Arkansas,12,12,Offense
2013-14,Arkansas,0,12,Defensive
2014-15,Arkansas,13,13,Offense
2014-15,Arkansas,0,13,Defensive
2015-16,Arkansas,13,13,Offense
2015-16,Arkansas,0,13,Defensive
2016-17,Arkansas,13,13,Offense
2016-17,Arkansas,0,13,Defensive
2017-18,Arkansas,12,12,Offense
2017-18,Arkansas,0,12,Defensive
2013-14,Arkansas,12,12,Offense
2013-14,Arkansas,0,12,Defensive
2014-15,Arkansas,13,13,Offense
2014-15,Arkansas,0,13,Defensive
2015-16,Arkansas,13,13,Offense
2015-16,Arkansas,0,13,Defensive
2016-17,Arkansas,13,13,Offense
2016-17,Arkansas,0,13,Defensive
2017-18,Arkansas,12,12,Offense
2017-18,Arkansas,0,12,Defensive
2013-14,Arkansas,12,12,Offense
2013-14,Arkansas,0,12,Defensive
2014-15,Arkansas,13,13,Offense
2014-15,Arkansas,0,13,Defensive
2015-16,Arkansas,13,13,Offense
2015-16,Arkansas,0,13,Defensive
2016-17,Arkansas,13,13,Offense
2016-17,Arkansas,0,13,Defensive
2017-18,Arkansas,12,12,Offense
2017-18,Arkansas,0,12,Defensive
2013-14,Arkansas,12,12,Offense
2013-14,Arkansas,0,12,Defensive
2014-15,Arkansas,13,13,Offense
2014-15,Arkansas,0,13,Defensive
2015-16,Arkansas,13,13,Offense
2015-16,Arkansas,0,13,Defensive
2016-17,Arkansas,13,13,Offense
2016-17,Arkansas,0,13,Defensive
2017-18,Arkansas,12,12,Offense
2017-18,Arkansas,0,12,Defensive
2013-14,Arkansas St.,13,13,Offense
2013-14,Arkansas St.,0,13,Defensive
2014-15,Arkansas St.,13,13,Offense
2014-15,Arkansas St.,0,13,Defensive
2015-16,Arkansas St.,13,13,Offense
2015-16,Arkansas St.,0,13,Defensive
2016-17,Arkansas St.,13,13,Offense
2016-17,Arkansas St.,0,13,Defensive
2017-18,Arkansas St.,11,11,Offense
2017-18,Arkansas St.,0,11,Defensive
2013-14,Arkansas St.,13,13,Offense
2013-14,Arkansas St.,0,13,Defensive
2014-15,Arkansas St.,13,13,Offense
2014-15,Arkansas St.,0,13,Defensive
2015-16,Arkansas St.,13,13,Offense
2015-16,Arkansas St.,0,13,Defensive
2016-17,Arkansas St.,13,13,Offense
2016-17,Arkansas St.,0,13,Defensive
2017-18,Arkansas St.,11,11,Offense
2017-18,Arkansas St.,0,11,Defensive
2013-14,Army West Point,12,12,Offense
2013-14,Army West Point,0,12,Defensive
2014-15,Army West Point,12,12,Offense
2014-15,Army West Point,0,12,Defensive
2015-16,Army West Point,12,12,Offense
2015-16,Army West Point,0,12,Defensive
2016-17,Army West Point,13,13,Offense
2016-17,Army West Point,0,13,Defensive
2017-18,Army West Point,12,12,Offense
2017-18,Army West Point,0,12,Defensive
2013-14,Army West Point,12,12,Offense
2013-14,Army West Point,0,12,Defensive
2014-15,Army West Point,12,12,Offense
2014-15,Army West Point,0,12,Defensive
2015-16,Army West Point,12,12,Offense
2015-16,Army West Point,0,12,Defensive
2016-17,Army West Point,13,13,Offense
2016-17,Army West Point,0,13,Defensive
2017-18,Army West Point,12,12,Offense
2017-18,Army West Point,0,12,Defensive
2013-14,Army West Point,12,12,Offense
2013-14,Army West Point,0,12,Defensive
2014-15,Army West Point,12,12,Offense
2014-15,Army West Point,0,12,Defensive
2015-16,Army West Point,12,12,Offense
2015-16,Army West Point,0,12,Defensive
2016-17,Army West Point,13,13,Offense
2016-17,Army West Point,0,13,Defensive
2017-18,Army West Point,12,12,Offense
2017-18,Army West Point,0,12,Defensive
2013-14,Army West Point,12,12,Offense
2013-14,Army West Point,0,12,Defensive
2014-15,Army West Point,12,12,Offense
2014-15,Army West Point,0,12,Defensive
2015-16,Army West Point,12,12,Offense
2015-16,Army West Point,0,12,Defensive
2016-17,Army West Point,13,13,Offense
2016-17,Army West Point,0,13,Defensive
2017-18,Army West Point,12,12,Offense
2017-18,Army West Point,0,12,Defensive
2011-12,Auburn,1,1,Offense
2011-12,Auburn,0,1,Defensive
2013-14,Auburn,14,14,Offense
2013-14,Auburn,0,14,Defensive
2014-15,Auburn,13,13,Offense
2014-15,Auburn,0,13,Defensive
2015-16,Auburn,13,13,Offense
2015-16,Auburn,0,13,Defensive
2016-17,Auburn,13,13,Offense
2016-17,Auburn,0,13,Defensive
2017-18,Auburn,13,13,Offense
2017-18,Auburn,0,13,Defensive
2011-12,Auburn,1,1,Offense
2011-12,Auburn,0,1,Defensive
2013-14,Auburn,14,14,Offense
2013-14,Auburn,0,14,Defensive
2014-15,Auburn,13,13,Offense
2014-15,Auburn,0,13,Defensive
2015-16,Auburn,13,13,Offense
2015-16,Auburn,0,13,Defensive
2016-17,Auburn,13,13,Offense
2016-17,Auburn,0,13,Defensive
2017-18,Auburn,13,13,Offense
2017-18,Auburn,0,13,Defensive
2011-12,Auburn,1,1,Offense
2011-12,Auburn,0,1,Defensive
2013-14,Auburn,14,14,Offense
2013-14,Auburn,0,14,Defensive
2014-15,Auburn,13,13,Offense
2014-15,Auburn,0,13,Defensive
2015-16,Auburn,13,13,Offense
2015-16,Auburn,0,13,Defensive
2016-17,Auburn,13,13,Offense
2016-17,Auburn,0,13,Defensive
2017-18,Auburn,13,13,Offense
2017-18,Auburn,0,13,Defensive
2011-12,Auburn,1,1,Offense
2011-12,Auburn,0,1,Defensive
2013-14,Auburn,14,14,Offense
2013-14,Auburn,0,14,Defensive
2014-15,Auburn,13,13,Offense
2014-15,Auburn,0,13,Defensive
2015-16,Auburn,13,13,Offense
2015-16,Auburn,0,13,Defensive
2016-17,Auburn,13,13,Offense
2016-17,Auburn,0,13,Defensive
2017-18,Auburn,13,13,Offense
2017-18,Auburn,0,13,Defensive
2013-14,BYU,13,13,Offense
2013-14,BYU,0,13,Defensive
2014-15,BYU,13,13,Offense
2014-15,BYU,0,13,Defensive
2015-16,BYU,13,13,Offense
2015-16,BYU,0,13,Defensive
2016-17,BYU,13,13,Offense
2016-17,BYU,0,13,Defensive
2017-18,BYU,13,13,Offense
2017-18,BYU,0,13,Defensive
2013-14,BYU,13,13,Offense
2013-14,BYU,0,13,Defensive
2014-15,BYU,13,13,Offense
2014-15,BYU,0,13,Defensive
2015-16,BYU,13,13,Offense
2015-16,BYU,0,13,Defensive
2016-17,BYU,13,13,Offense
2016-17,BYU,0,13,Defensive
2017-18,BYU,13,13,Offense
2017-18,BYU,0,13,Defensive
2013-14,BYU,13,13,Offense
2013-14,BYU,0,13,Defensive
2014-15,BYU,13,13,Offense
2014-15,BYU,0,13,Defensive
2015-16,BYU,13,13,Offense
2015-16,BYU,0,13,Defensive
2016-17,BYU,13,13,Offense
2016-17,BYU,0,13,Defensive
2017-18,BYU,13,13,Offense
2017-18,BYU,0,13,Defensive
2013-14,BYU,13,13,Offense
2013-14,BYU,0,13,Defensive
2014-15,BYU,13,13,Offense
2014-15,BYU,0,13,Defensive
2015-16,BYU,13,13,Offense
2015-16,BYU,0,13,Defensive
2016-17,BYU,13,13,Offense
2016-17,BYU,0,13,Defensive
2017-18,BYU,13,13,Offense
2017-18,BYU,0,13,Defensive
2013-14,Ball St.,13,13,Offense
2013-14,Ball St.,0,13,Defensive
2014-15,Ball St.,12,12,Offense
2014-15,Ball St.,0,12,Defensive
2015-16,Ball St.,12,12,Offense
2015-16,Ball St.,0,12,Defensive
2016-17,Ball St.,12,12,Offense
2016-17,Ball St.,0,12,Defensive
2017-18,Ball St.,12,12,Offense
2017-18,Ball St.,0,12,Defensive
2013-14,Ball St.,13,13,Offense
2013-14,Ball St.,0,13,Defensive
2014-15,Ball St.,12,12,Offense
2014-15,Ball St.,0,12,Defensive
2015-16,Ball St.,12,12,Offense
2015-16,Ball St.,0,12,Defensive
2016-17,Ball St.,12,12,Offense
2016-17,Ball St.,0,12,Defensive
2017-18,Ball St.,12,12,Offense
2017-18,Ball St.,0,12,Defensive
2013-14,Ball St.,13,13,Offense
2013-14,Ball St.,0,13,Defensive
2014-15,Ball St.,12,12,Offense
2014-15,Ball St.,0,12,Defensive
2015-16,Ball St.,12,12,Offense
2015-16,Ball St.,0,12,Defensive
2016-17,Ball St.,12,12,Offense
2016-17,Ball St.,0,12,Defensive
2017-18,Ball St.,12,12,Offense
2017-18,Ball St.,0,12,Defensive
2013-14,Ball St.,13,13,Offense
2013-14,Ball St.,0,13,Defensive
2014-15,Ball St.,12,12,Offense
2014-15,Ball St.,0,12,Defensive
2015-16,Ball St.,12,12,Offense
2015-16,Ball St.,0,12,Defensive
2016-17,Ball St.,12,12,Offense
2016-17,Ball St.,0,12,Defensive
2017-18,Ball St.,12,12,Offense
2017-18,Ball St.,0,12,Defensive
2013-14,Baylor,13,13,Offense
2013-14,Baylor,0,13,Defensive
2014-15,Baylor,13,13,Offense
2014-15,Baylor,0,13,Defensive
2015-16,Baylor,13,13,Offense
2015-16,Baylor,0,13,Defensive
2016-17,Baylor,13,13,Offense
2016-17,Baylor,0,13,Defensive
2017-18,Baylor,12,12,Offense
2017-18,Baylor,0,12,Defensive
2013-14,Baylor,13,13,Offense
2013-14,Baylor,0,13,Defensive
2014-15,Baylor,13,13,Offense
2014-15,Baylor,0,13,Defensive
2015-16,Baylor,13,13,Offense
2015-16,Baylor,0,13,Defensive
2016-17,Baylor,13,13,Offense
2016-17,Baylor,0,13,Defensive
2017-18,Baylor,12,12,Offense
2017-18,Baylor,0,12,Defensive
2013-14,Baylor,13,13,Offense
2013-14,Baylor,0,13,Defensive
2014-15,Baylor,13,13,Offense
2014-15,Baylor,0,13,Defensive
2015-16,Baylor,13,13,Offense
2015-16,Baylor,0,13,Defensive
2016-17,Baylor,13,13,Offense
2016-17,Baylor,0,13,Defensive
2017-18,Baylor,12,12,Offense
2017-18,Baylor,0,12,Defensive
2013-14,Baylor,13,13,Offense
2013-14,Baylor,0,13,Defensive
2014-15,Baylor,13,13,Offense
2014-15,Baylor,0,13,Defensive
2015-16,Baylor,13,13,Offense
2015-16,Baylor,0,13,Defensive
2016-17,Baylor,13,13,Offense
2016-17,Baylor,0,13,Defensive
2017-18,Baylor,12,12,Offense
2017-18,Baylor,0,12,Defensive
2013-14,Boise St.,13,13,Offense
2013-14,Boise St.,0,13,Defensive
2014-15,Boise St.,14,14,Offense
2014-15,Boise St.,0,14,Defensive
2015-16,Boise St.,13,13,Offense
2015-16,Boise St.,0,13,Defensive
2016-17,Boise St.,13,13,Offense
2016-17,Boise St.,0,13,Defensive
2017-18,Boise St.,13,13,Offense
2017-18,Boise St.,0,13,Defensive
2013-14,Boise St.,13,13,Offense
2013-14,Boise St.,0,13,Defensive
2014-15,Boise St.,14,14,Offense
2014-15,Boise St.,0,14,Defensive
2015-16,Boise St.,13,13,Offense
2015-16,Boise St.,0,13,Defensive
2016-17,Boise St.,13,13,Offense
2016-17,Boise St.,0,13,Defensive
2017-18,Boise St.,13,13,Offense
2017-18,Boise St.,0,13,Defensive
2013-14,Boise St.,13,13,Offense
2013-14,Boise St.,0,13,Defensive
2014-15,Boise St.,14,14,Offense
2014-15,Boise St.,0,14,Defensive
2015-16,Boise St.,13,13,Offense
2015-16,Boise St.,0,13,Defensive
2016-17,Boise St.,13,13,Offense
2016-17,Boise St.,0,13,Defensive
2017-18,Boise St.,13,13,Offense
2017-18,Boise St.,0,13,Defensive
2013-14,Boise St.,13,13,Offense
2013-14,Boise St.,0,13,Defensive
2014-15,Boise St.,14,14,Offense
2014-15,Boise St.,0,14,Defensive
2015-16,Boise St.,13,13,Offense
2015-16,Boise St.,0,13,Defensive
2016-17,Boise St.,13,13,Offense
2016-17,Boise St.,0,13,Defensive
2017-18,Boise St.,13,13,Offense
2017-18,Boise St.,0,13,Defensive
2013-14,Boston College,13,13,Offense
2013-14,Boston College,0,13,Defensive
2014-15,Boston College,13,13,Offense
2014-15,Boston College,0,13,Defensive
2015-16,Boston College,12,12,Offense
2015-16,Boston College,0,12,Defensive
2016-17,Boston College,13,13,Offense
2016-17,Boston College,0,13,Defensive
2017-18,Boston College,12,12,Offense
2017-18,Boston College,0,12,Defensive
2013-14,Boston College,13,13,Offense
2013-14,Boston College,0,13,Defensive
2014-15,Boston College,13,13,Offense
2014-15,Boston College,0,13,Defensive
2015-16,Boston College,12,12,Offense
2015-16,Boston College,0,12,Defensive
2016-17,Boston College,13,13,Offense
2016-17,Boston College,0,13,Defensive
2017-18,Boston College,12,12,Offense
2017-18,Boston College,0,12,Defensive
2013-14,Boston College,13,13,Offense
2013-14,Boston College,0,13,Defensive
2014-15,Boston College,13,13,Offense
2014-15,Boston College,0,13,Defensive
