Year,Team,GP,G,FumblesRecovered,Int,Blkd,OffenseDefense
2015-16,Akron,13,13,14,14,2,Offense
2015-16,Akron,0,13,6,12,3,Defensive
2016-17,Akron,12,12,6,8,2,Offense
2016-17,Akron,0,12,8,14,2,Defensive
2017-18,Akron,13,13,8,19,1,Offense
2017-18,Akron,0,13,6,11,3,Defensive
2013-14,Air Force,12,12,5,4,7,Offense
2013-14,Air Force,0,12,9,4,2,Defensive
2014-15,Air Force,13,13,8,10,3,Offense
2014-15,Air Force,0,13,13,4,nan,Defensive
2015-16,Air Force,14,14,7,11,3,Offense
2015-16,Air Force,0,14,11,12,nan,Defensive
2016-17,Air Force,13,13,8,15,3,Offense
2016-17,Air Force,0,13,9,8,nan,Defensive
2017-18,Air Force,12,12,5,5,2,Offense
2017-18,Air Force,0,12,14,6,nan,Defensive
2013-14,Air Force,12,12,5,4,7,Offense
2013-14,Air Force,0,12,9,4,2,Defensive
2014-15,Air Force,13,13,8,10,3,Offense
2014-15,Air Force,0,13,13,4,nan,Defensive
2015-16,Air Force,14,14,7,11,3,Offense
2015-16,Air Force,0,14,11,12,nan,Defensive
2016-17,Air Force,13,13,8,15,3,Offense
2016-17,Air Force,0,13,9,8,nan,Defensive
2017-18,Air Force,12,12,5,5,2,Offense
2017-18,Air Force,0,12,14,6,nan,Defensive
2013-14,Air Force,12,12,5,4,7,Offense
2013-14,Air Force,0,12,9,4,2,Defensive
2014-15,Air Force,13,13,8,10,3,Offense
2014-15,Air Force,0,13,13,4,nan,Defensive
2015-16,Air Force,14,14,7,11,3,Offense
2015-16,Air Force,0,14,11,12,nan,Defensive
2016-17,Air Force,13,13,8,15,3,Offense
2016-17,Air Force,0,13,9,8,nan,Defensive
2017-18,Air Force,12,12,5,5,2,Offense
2017-18,Air Force,0,12,14,6,nan,Defensive
2013-14,Air Force,12,12,5,4,7,Offense
2013-14,Air Force,0,12,9,4,2,Defensive
2014-15,Air Force,13,13,8,10,3,Offense
2014-15,Air Force,0,13,13,4,nan,Defensive
2015-16,Air Force,14,14,7,11,3,Offense
2015-16,Air Force,0,14,11,12,nan,Defensive
2016-17,Air Force,13,13,8,15,3,Offense
2016-17,Air Force,0,13,9,8,nan,Defensive
2017-18,Air Force,12,12,5,5,2,Offense
2017-18,Air Force,0,12,14,6,nan,Defensive
2011-12,Auburn,1,1,nan,2,nan,Offense
2011-12,Auburn,0,1,1,1,nan,Defensive
2013-14,Auburn,14,14,6,13,2,Offense
2013-14,Auburn,0,14,11,8,2,Defensive
2014-15,Auburn,13,13,5,22,1,Offense
2014-15,Auburn,0,13,13,7,1,Defensive
2015-16,Auburn,13,13,5,14,1,Offense
2015-16,Auburn,0,13,5,12,nan,Defensive
2016-17,Auburn,13,13,6,11,3,Offense
2016-17,Auburn,0,13,8,6,2,Defensive
2017-18,Auburn,13,13,12,6,1,Offense
2017-18,Auburn,0,13,13,4,3,Defensive
2013-14,Army West Point,12,12,9,7,nan,Offense
2013-14,Army West Point,0,12,13,4,1,Defensive
2014-15,Army West Point,12,12,4,11,3,Offense
2014-15,Army West Point,0,12,11,2,2,Defensive
2015-16,Army West Point,12,12,5,6,4,Offense
2015-16,Army West Point,0,12,13,9,1,Defensive
2016-17,Army West Point,13,13,5,17,2,Offense
2016-17,Army West Point,0,13,14,11,3,Defensive
2017-18,Army West Point,12,12,8,5,5,Offense
2017-18,Army West Point,0,12,4,5,3,Defensive
2013-14,Army West Point,12,12,9,7,nan,Offense
2013-14,Army West Point,0,12,13,4,1,Defensive
2014-15,Army West Point,12,12,4,11,3,Offense
2014-15,Army West Point,0,12,11,2,2,Defensive
2015-16,Army West Point,12,12,5,6,4,Offense
2015-16,Army West Point,0,12,13,9,1,Defensive
2016-17,Army West Point,13,13,5,17,2,Offense
2016-17,Army West Point,0,13,14,11,3,Defensive
2017-18,Army West Point,12,12,8,5,5,Offense
2017-18,Army West Point,0,12,4,5,3,Defensive
2013-14,Army West Point,12,12,9,7,nan,Offense
2013-14,Army West Point,0,12,13,4,1,Defensive
2014-15,Army West Point,12,12,4,11,3,Offense
2014-15,Army West Point,0,12,11,2,2,Defensive
2015-16,Army West Point,12,12,5,6,4,Offense
2015-16,Army West Point,0,12,13,9,1,Defensive
2016-17,Army West Point,13,13,5,17,2,Offense
2016-17,Army West Point,0,13,14,11,3,Defensive
2017-18,Army West Point,12,12,8,5,5,Offense
2017-18,Army West Point,0,12,4,5,3,Defensive
2013-14,Army West Point,12,12,9,7,nan,Offense
2013-14,Army West Point,0,12,13,4,1,Defensive
2014-15,Army West Point,12,12,4,11,3,Offense
2014-15,Army West Point,0,12,11,2,2,Defensive
2015-16,Army West Point,12,12,5,6,4,Offense
2015-16,Army West Point,0,12,13,9,1,Defensive
2016-17,Army West Point,13,13,5,17,2,Offense
2016-17,Army West Point,0,13,14,11,3,Defensive
2017-18,Army West Point,12,12,8,5,5,Offense
2017-18,Army West Point,0,12,4,5,3,Defensive
2013-14,Arkansas St.,13,13,12,9,4,Offense
2013-14,Arkansas St.,0,13,7,7,nan,Defensive
2014-15,Arkansas St.,13,13,12,16,2,Offense
2014-15,Arkansas St.,0,13,14,8,nan,Defensive
2015-16,Arkansas St.,13,13,8,26,4,Offense
2015-16,Arkansas St.,0,13,11,15,nan,Defensive
2016-17,Arkansas St.,13,13,11,11,5,Offense
2016-17,Arkansas St.,0,13,8,9,1,Defensive
2017-18,Arkansas St.,11,11,10,11,2,Offense
2017-18,Arkansas St.,0,11,6,16,nan,Defensive
2013-14,Arkansas St.,13,13,12,9,4,Offense
2013-14,Arkansas St.,0,13,7,7,nan,Defensive
2014-15,Arkansas St.,13,13,12,16,2,Offense
2014-15,Arkansas St.,0,13,14,8,nan,Defensive
2015-16,Arkansas St.,13,13,8,26,4,Offense
2015-16,Arkansas St.,0,13,11,15,nan,Defensive
2016-17,Arkansas St.,13,13,11,11,5,Offense
2016-17,Arkansas St.,0,13,8,9,1,Defensive
2017-18,Arkansas St.,11,11,10,11,2,Offense
2017-18,Arkansas St.,0,11,6,16,nan,Defensive
2013-14,Arkansas,12,12,6,8,3,Offense
2013-14,Arkansas,0,12,12,11,1,Defensive
