Year,Team,GP,G,FumblesRecovered,Int,Blkd,OffenseDefense
2014-15,Fla. Atlantic,12,12,7,8,1,Offense
2014-15,Fla. Atlantic,0,12,13,5,2,Defensive
2015-16,Fla. Atlantic,12,12,9,14,1,Offense
2015-16,Fla. Atlantic,0,12,13,12,1,Defensive
2016-17,Fla. Atlantic,12,12,5,10,4,Offense
2016-17,Fla. Atlantic,0,12,7,13,1,Defensive
2017-18,Fla. Atlantic,13,13,6,20,1,Offense
2017-18,Fla. Atlantic,0,13,6,7,3,Defensive
2013-14,FIU,12,12,7,7,4,Offense
2013-14,FIU,0,12,10,10,1,Defensive
2014-15,FIU,12,12,19,14,1,Offense
2014-15,FIU,0,12,12,10,1,Defensive
2015-16,FIU,12,12,9,9,4,Offense
2015-16,FIU,0,12,7,8,1,Defensive
2016-17,FIU,12,12,8,6,2,Offense
2016-17,FIU,0,12,6,17,1,Defensive
2017-18,FIU,12,12,10,7,1,Offense
2017-18,FIU,0,12,10,8,nan,Defensive
2013-14,FIU,12,12,7,7,4,Offense
2013-14,FIU,0,12,10,10,1,Defensive
2014-15,FIU,12,12,19,14,1,Offense
2014-15,FIU,0,12,12,10,1,Defensive
2015-16,FIU,12,12,9,9,4,Offense
2015-16,FIU,0,12,7,8,1,Defensive
2016-17,FIU,12,12,8,6,2,Offense
2016-17,FIU,0,12,6,17,1,Defensive
2017-18,FIU,12,12,10,7,1,Offense
2017-18,FIU,0,12,10,8,nan,Defensive
2013-14,Hawaii,12,12,15,9,nan,Offense
2013-14,Hawaii,0,12,11,22,1,Defensive
2014-15,Hawaii,13,13,9,11,4,Offense
2014-15,Hawaii,0,13,13,14,1,Defensive
2015-16,Hawaii,13,13,8,3,2,Offense
2015-16,Hawaii,0,13,13,21,1,Defensive
2016-17,Hawaii,14,14,6,11,4,Offense
2016-17,Hawaii,0,14,10,15,nan,Defensive
2017-18,Hawaii,12,12,6,9,5,Offense
2017-18,Hawaii,0,12,6,8,2,Defensive
2013-14,Hawaii,12,12,15,9,nan,Offense
2013-14,Hawaii,0,12,11,22,1,Defensive
2014-15,Hawaii,13,13,9,11,4,Offense
2014-15,Hawaii,0,13,13,14,1,Defensive
2015-16,Hawaii,13,13,8,3,2,Offense
2015-16,Hawaii,0,13,13,21,1,Defensive
2016-17,Hawaii,14,14,6,11,4,Offense
2016-17,Hawaii,0,14,10,15,nan,Defensive
2017-18,Hawaii,12,12,6,9,5,Offense
2017-18,Hawaii,0,12,6,8,2,Defensive
2013-14,Georgia St.,12,12,8,6,2,Offense
2013-14,Georgia St.,0,12,11,12,2,Defensive
2014-15,Georgia St.,12,12,5,3,nan,Offense
2014-15,Georgia St.,0,12,12,18,nan,Defensive
2015-16,Georgia St.,13,13,7,15,1,Offense
2015-16,Georgia St.,0,13,11,12,5,Defensive
2016-17,Georgia St.,12,12,7,11,1,Offense
2016-17,Georgia St.,0,12,8,15,7,Defensive
2017-18,Georgia St.,11,11,6,8,2,Offense
2017-18,Georgia St.,0,11,11,9,2,Defensive
2013-14,Georgia Tech,13,13,6,14,5,Offense
2013-14,Georgia Tech,0,13,11,13,1,Defensive
2014-15,Georgia Tech,14,14,11,18,6,Offense
2014-15,Georgia Tech,0,14,12,6,2,Defensive
2015-16,Georgia Tech,12,12,8,9,3,Offense
2015-16,Georgia Tech,0,12,14,10,2,Defensive
2016-17,Georgia Tech,13,13,8,11,4,Offense
2016-17,Georgia Tech,0,13,11,4,2,Defensive
2017-18,Georgia Tech,11,11,4,6,1,Offense
2017-18,Georgia Tech,0,11,10,5,3,Defensive
2013-14,Georgia Tech,13,13,6,14,5,Offense
2013-14,Georgia Tech,0,13,11,13,1,Defensive
2014-15,Georgia Tech,14,14,11,18,6,Offense
2014-15,Georgia Tech,0,14,12,6,2,Defensive
2015-16,Georgia Tech,12,12,8,9,3,Offense
2015-16,Georgia Tech,0,12,14,10,2,Defensive
2016-17,Georgia Tech,13,13,8,11,4,Offense
2016-17,Georgia Tech,0,13,11,4,2,Defensive
2017-18,Georgia Tech,11,11,4,6,1,Offense
2017-18,Georgia Tech,0,11,10,5,3,Defensive
2013-14,Georgia Tech,13,13,6,14,5,Offense
2013-14,Georgia Tech,0,13,11,13,1,Defensive
2014-15,Georgia Tech,14,14,11,18,6,Offense
2014-15,Georgia Tech,0,14,12,6,2,Defensive
2015-16,Georgia Tech,12,12,8,9,3,Offense
2015-16,Georgia Tech,0,12,14,10,2,Defensive
2016-17,Georgia Tech,13,13,8,11,4,Offense
2016-17,Georgia Tech,0,13,11,4,2,Defensive
2017-18,Georgia Tech,11,11,4,6,1,Offense
2017-18,Georgia Tech,0,11,10,5,3,Defensive
2013-14,Georgia St.,12,12,8,6,2,Offense
2013-14,Georgia St.,0,12,11,12,2,Defensive
2014-15,Georgia St.,12,12,5,3,nan,Offense
2014-15,Georgia St.,0,12,12,18,nan,Defensive
2015-16,Georgia St.,13,13,7,15,1,Offense
2015-16,Georgia St.,0,13,11,12,5,Defensive
2016-17,Georgia St.,12,12,7,11,1,Offense
2016-17,Georgia St.,0,12,8,15,7,Defensive
2017-18,Georgia St.,11,11,6,8,2,Offense
2017-18,Georgia St.,0,11,11,9,2,Defensive
2013-14,Georgia St.,12,12,8,6,2,Offense
2013-14,Georgia St.,0,12,11,12,2,Defensive
2014-15,Georgia St.,12,12,5,3,nan,Offense
2014-15,Georgia St.,0,12,12,18,nan,Defensive
2015-16,Georgia St.,13,13,7,15,1,Offense
2015-16,Georgia St.,0,13,11,12,5,Defensive
2016-17,Georgia St.,12,12,7,11,1,Offense
2016-17,Georgia St.,0,12,8,15,7,Defensive
2017-18,Georgia St.,11,11,6,8,2,Offense
2017-18,Georgia St.,0,11,11,9,2,Defensive
2013-14,Georgia St.,12,12,8,6,2,Offense
2013-14,Georgia St.,0,12,11,12,2,Defensive
2014-15,Georgia St.,12,12,5,3,nan,Offense
2014-15,Georgia St.,0,12,12,18,nan,Defensive
2015-16,Georgia St.,13,13,7,15,1,Offense
2015-16,Georgia St.,0,13,11,12,5,Defensive
2016-17,Georgia St.,12,12,7,11,1,Offense
2016-17,Georgia St.,0,12,8,15,7,Defensive
2017-18,Georgia St.,11,11,6,8,2,Offense
2017-18,Georgia St.,0,11,11,9,2,Defensive
2013-14,Georgia,13,13,8,7,2,Offense
2013-14,Georgia,0,13,10,12,2,Defensive
2014-15,Georgia,13,13,13,16,3,Offense
2014-15,Georgia,0,13,7,6,2,Defensive
2015-16,Georgia,13,13,10,12,3,Offense
2015-16,Georgia,0,13,10,8,1,Defensive
2016-17,Georgia,13,13,12,15,nan,Offense
2016-17,Georgia,0,13,10,9,1,Defensive
2017-18,Georgia,13,13,8,10,3,Offense
2017-18,Georgia,0,13,6,7,nan,Defensive
2013-14,Georgia,13,13,8,7,2,Offense
2013-14,Georgia,0,13,10,12,2,Defensive
2014-15,Georgia,13,13,13,16,3,Offense
2014-15,Georgia,0,13,7,6,2,Defensive
2015-16,Georgia,13,13,10,12,3,Offense
2015-16,Georgia,0,13,10,8,1,Defensive
2016-17,Georgia,13,13,12,15,nan,Offense
2016-17,Georgia,0,13,10,9,1,Defensive
2017-18,Georgia,13,13,8,10,3,Offense
2017-18,Georgia,0,13,6,7,nan,Defensive
2013-14,Georgia,13,13,8,7,2,Offense
2013-14,Georgia,0,13,10,12,2,Defensive
2014-15,Georgia,13,13,13,16,3,Offense
2014-15,Georgia,0,13,7,6,2,Defensive
2015-16,Georgia,13,13,10,12,3,Offense
2015-16,Georgia,0,13,10,8,1,Defensive
2016-17,Georgia,13,13,12,15,nan,Offense
2016-17,Georgia,0,13,10,9,1,Defensive
2017-18,Georgia,13,13,8,10,3,Offense
2017-18,Georgia,0,13,6,7,nan,Defensive
2013-14,Georgia,13,13,8,7,2,Offense
2013-14,Georgia,0,13,10,12,2,Defensive
2014-15,Georgia,13,13,13,16,3,Offense
2014-15,Georgia,0,13,7,6,2,Defensive
2015-16,Georgia,13,13,10,12,3,Offense
2015-16,Georgia,0,13,10,8,1,Defensive
2016-17,Georgia,13,13,12,15,nan,Offense
2016-17,Georgia,0,13,10,9,1,Defensive
2017-18,Georgia,13,13,8,10,3,Offense
2017-18,Georgia,0,13,6,7,nan,Defensive
2013-14,Ga. Southern,11,11,2,10,4,Offense
2013-14,Ga. Southern,0,11,13,4,2,Defensive
2014-15,Ga. Southern,12,12,7,13,3,Offense
2014-15,Ga. Southern,0,12,8,4,2,Defensive
2015-16,Ga. Southern,13,13,10,17,4,Offense
2015-16,Ga. Southern,0,13,11,10,1,Defensive
2016-17,Ga. Southern,12,12,10,9,7,Offense
2016-17,Ga. Southern,0,12,9,9,nan,Defensive
2017-18,Ga. Southern,12,12,6,14,nan,Offense
2017-18,Ga. Southern,0,12,13,7,1,Defensive
2013-14,Ga. Southern,11,11,2,10,4,Offense
2013-14,Ga. Southern,0,11,13,4,2,Defensive
2014-15,Ga. Southern,12,12,7,13,3,Offense
2014-15,Ga. Southern,0,12,8,4,2,Defensive
2015-16,Ga. Southern,13,13,10,17,4,Offense
2015-16,Ga. Southern,0,13,11,10,1,Defensive
2016-17,Ga. Southern,12,12,10,9,7,Offense
2016-17,Ga. Southern,0,12,9,9,nan,Defensive
2017-18,Ga. Southern,12,12,6,14,nan,Offense
2017-18,Ga. Southern,0,12,13,7,1,Defensive
2013-14,Ga. Southern,11,11,2,10,4,Offense
2013-14,Ga. Southern,0,11,13,4,2,Defensive
2014-15,Ga. Southern,12,12,7,13,3,Offense
2014-15,Ga. Southern,0,12,8,4,2,Defensive
2015-16,Ga. Southern,13,13,10,17,4,Offense
2015-16,Ga. Southern,0,13,11,10,1,Defensive
2016-17,Ga. Southern,12,12,10,9,7,Offense
2016-17,Ga. Southern,0,12,9,9,nan,Defensive
2017-18,Ga. Southern,12,12,6,14,nan,Offense
2017-18,Ga. Southern,0,12,13,7,1,Defensive
2013-14,Ga. Southern,11,11,2,10,4,Offense
2013-14,Ga. Southern,0,11,13,4,2,Defensive
2014-15,Ga. Southern,12,12,7,13,3,Offense
2014-15,Ga. Southern,0,12,8,4,2,Defensive
2015-16,Ga. Southern,13,13,10,17,4,Offense
2015-16,Ga. Southern,0,13,11,10,1,Defensive
2016-17,Ga. Southern,12,12,10,9,7,Offense
2016-17,Ga. Southern,0,12,9,9,nan,Defensive
2017-18,Ga. Southern,12,12,6,14,nan,Offense
2017-18,Ga. Southern,0,12,13,7,1,Defensive
2013-14,Indiana,12,12,10,7,3,Offense
2013-14,Indiana,0,12,6,14,2,Defensive
2014-15,Indiana,12,12,4,13,2,Offense
2014-15,Indiana,0,12,10,9,nan,Defensive
2015-16,Indiana,13,13,10,12,4,Offense
2015-16,Indiana,0,13,6,8,1,Defensive
2016-17,Indiana,13,13,10,13,5,Offense
2016-17,Indiana,0,13,11,18,6,Defensive
2017-18,Indiana,12,12,8,5,2,Offense
2017-18,Indiana,0,12,7,13,3,Defensive
2013-14,Indiana,12,12,10,7,3,Offense
2013-14,Indiana,0,12,6,14,2,Defensive
2014-15,Indiana,12,12,4,13,2,Offense
2014-15,Indiana,0,12,10,9,nan,Defensive
2015-16,Indiana,13,13,10,12,4,Offense
2015-16,Indiana,0,13,6,8,1,Defensive
2016-17,Indiana,13,13,10,13,5,Offense
2016-17,Indiana,0,13,11,18,6,Defensive
2017-18,Indiana,12,12,8,5,2,Offense
2017-18,Indiana,0,12,7,13,3,Defensive
2013-14,Indiana,12,12,10,7,3,Offense
2013-14,Indiana,0,12,6,14,2,Defensive
2014-15,Indiana,12,12,4,13,2,Offense
2014-15,Indiana,0,12,10,9,nan,Defensive
2015-16,Indiana,13,13,10,12,4,Offense
2015-16,Indiana,0,13,6,8,1,Defensive
2016-17,Indiana,13,13,10,13,5,Offense
2016-17,Indiana,0,13,11,18,6,Defensive
2017-18,Indiana,12,12,8,5,2,Offense
2017-18,Indiana,0,12,7,13,3,Defensive
2013-14,Illinois,12,12,8,3,nan,Offense
2013-14,Illinois,0,12,7,14,nan,Defensive
2014-15,Illinois,13,13,12,7,1,Offense
2014-15,Illinois,0,13,10,12,1,Defensive
2015-16,Illinois,12,12,8,13,5,Offense
2015-16,Illinois,0,12,9,8,1,Defensive
2016-17,Illinois,12,12,11,7,1,Offense
2016-17,Illinois,0,12,11,9,1,Defensive
2017-18,Illinois,12,12,10,9,3,Offense
2017-18,Illinois,0,12,7,19,nan,Defensive
2013-14,Illinois,12,12,8,3,nan,Offense
2013-14,Illinois,0,12,7,14,nan,Defensive
2014-15,Illinois,13,13,12,7,1,Offense
2014-15,Illinois,0,13,10,12,1,Defensive
2015-16,Illinois,12,12,8,13,5,Offense
2015-16,Illinois,0,12,9,8,1,Defensive
2016-17,Illinois,12,12,11,7,1,Offense
2016-17,Illinois,0,12,11,9,1,Defensive
2017-18,Illinois,12,12,10,9,3,Offense
2017-18,Illinois,0,12,7,19,nan,Defensive
2013-14,Illinois,12,12,8,3,nan,Offense
2013-14,Illinois,0,12,7,14,nan,Defensive
2014-15,Illinois,13,13,12,7,1,Offense
2014-15,Illinois,0,13,10,12,1,Defensive
2015-16,Illinois,12,12,8,13,5,Offense
2015-16,Illinois,0,12,9,8,1,Defensive
2016-17,Illinois,12,12,11,7,1,Offense
2016-17,Illinois,0,12,11,9,1,Defensive
2017-18,Illinois,12,12,10,9,3,Offense
2017-18,Illinois,0,12,7,19,nan,Defensive
2013-14,Illinois,12,12,8,3,nan,Offense
2013-14,Illinois,0,12,7,14,nan,Defensive
2014-15,Illinois,13,13,12,7,1,Offense
2014-15,Illinois,0,13,10,12,1,Defensive
2015-16,Illinois,12,12,8,13,5,Offense
2015-16,Illinois,0,12,9,8,1,Defensive
2016-17,Illinois,12,12,11,7,1,Offense
2016-17,Illinois,0,12,11,9,1,Defensive
2017-18,Illinois,12,12,10,9,3,Offense
2017-18,Illinois,0,12,7,19,nan,Defensive
2013-14,Idaho,12,12,9,10,3,Offense
2013-14,Idaho,0,12,14,13,2,Defensive
2014-15,Idaho,11,11,9,8,2,Offense
2014-15,Idaho,0,11,8,20,nan,Defensive
2015-16,Idaho,12,12,11,6,nan,Offense
2015-16,Idaho,0,12,8,15,3,Defensive
2016-17,Idaho,13,13,11,17,3,Offense
2016-17,Idaho,0,13,6,11,2,Defensive
2017-18,Idaho,12,12,9,9,4,Offense
2017-18,Idaho,0,12,9,7,2,Defensive
2013-14,Idaho,12,12,9,10,3,Offense
2013-14,Idaho,0,12,14,13,2,Defensive
2014-15,Idaho,11,11,9,8,2,Offense
2014-15,Idaho,0,11,8,20,nan,Defensive
2015-16,Idaho,12,12,11,6,nan,Offense
2015-16,Idaho,0,12,8,15,3,Defensive
2016-17,Idaho,13,13,11,17,3,Offense
2016-17,Idaho,0,13,6,11,2,Defensive
2017-18,Idaho,12,12,9,9,4,Offense
2017-18,Idaho,0,12,9,7,2,Defensive
2013-14,Idaho,12,12,9,10,3,Offense
2013-14,Idaho,0,12,14,13,2,Defensive
2014-15,Idaho,11,11,9,8,2,Offense
2014-15,Idaho,0,11,8,20,nan,Defensive
2015-16,Idaho,12,12,11,6,nan,Offense
2015-16,Idaho,0,12,8,15,3,Defensive
2016-17,Idaho,13,13,11,17,3,Offense
2016-17,Idaho,0,13,6,11,2,Defensive
2017-18,Idaho,12,12,9,9,4,Offense
2017-18,Idaho,0,12,9,7,2,Defensive
2013-14,Idaho,12,12,9,10,3,Offense
2013-14,Idaho,0,12,14,13,2,Defensive
2014-15,Idaho,11,11,9,8,2,Offense
2014-15,Idaho,0,11,8,20,nan,Defensive
2015-16,Idaho,12,12,11,6,nan,Offense
2015-16,Idaho,0,12,8,15,3,Defensive
2016-17,Idaho,13,13,11,17,3,Offense
2016-17,Idaho,0,13,6,11,2,Defensive
2017-18,Idaho,12,12,9,9,4,Offense
2017-18,Idaho,0,12,9,7,2,Defensive
2013-14,Houston,13,13,18,25,4,Offense
2013-14,Houston,0,13,8,10,3,Defensive
2014-15,Houston,13,13,11,19,1,Offense
2014-15,Houston,0,13,7,15,3,Defensive
2015-16,Houston,14,14,14,21,2,Offense
2015-16,Houston,0,14,7,7,nan,Defensive
2016-17,Houston,13,13,11,7,nan,Offense
2016-17,Houston,0,13,10,15,2,Defensive
2017-18,Houston,11,11,5,14,1,Offense
2017-18,Houston,0,11,10,11,nan,Defensive
2013-14,Houston,13,13,18,25,4,Offense
2013-14,Houston,0,13,8,10,3,Defensive
2014-15,Houston,13,13,11,19,1,Offense
2014-15,Houston,0,13,7,15,3,Defensive
2015-16,Houston,14,14,14,21,2,Offense
2015-16,Houston,0,14,7,7,nan,Defensive
2016-17,Houston,13,13,11,7,nan,Offense
2016-17,Houston,0,13,10,15,2,Defensive
2017-18,Houston,11,11,5,14,1,Offense
2017-18,Houston,0,11,10,11,nan,Defensive
2013-14,Houston,13,13,18,25,4,Offense
2013-14,Houston,0,13,8,10,3,Defensive
2014-15,Houston,13,13,11,19,1,Offense
2014-15,Houston,0,13,7,15,3,Defensive
2015-16,Houston,14,14,14,21,2,Offense
2015-16,Houston,0,14,7,7,nan,Defensive
2016-17,Houston,13,13,11,7,nan,Offense
2016-17,Houston,0,13,10,15,2,Defensive
2017-18,Houston,11,11,5,14,1,Offense
2017-18,Houston,0,11,10,11,nan,Defensive
2013-14,Houston,13,13,18,25,4,Offense
2013-14,Houston,0,13,8,10,3,Defensive
2014-15,Houston,13,13,11,19,1,Offense
2014-15,Houston,0,13,7,15,3,Defensive
2015-16,Houston,14,14,14,21,2,Offense
2015-16,Houston,0,14,7,7,nan,Defensive
2016-17,Houston,13,13,11,7,nan,Offense
2016-17,Houston,0,13,10,15,2,Defensive
2017-18,Houston,11,11,5,14,1,Offense
2017-18,Houston,0,11,10,11,nan,Defensive
2013-14,Hawaii,12,12,15,9,nan,Offense
2013-14,Hawaii,0,12,11,22,1,Defensive
2014-15,Hawaii,13,13,9,11,4,Offense
2014-15,Hawaii,0,13,13,14,1,Defensive
2015-16,Hawaii,13,13,8,3,2,Offense
2015-16,Hawaii,0,13,13,21,1,Defensive
2016-17,Hawaii,14,14,6,11,4,Offense
2016-17,Hawaii,0,14,10,15,nan,Defensive
2017-18,Hawaii,12,12,6,9,5,Offense
2017-18,Hawaii,0,12,6,8,2,Defensive
2013-14,Hawaii,12,12,15,9,nan,Offense
2013-14,Hawaii,0,12,11,22,1,Defensive
2014-15,Hawaii,13,13,9,11,4,Offense
2014-15,Hawaii,0,13,13,14,1,Defensive
2015-16,Hawaii,13,13,8,3,2,Offense
2015-16,Hawaii,0,13,13,21,1,Defensive
2016-17,Hawaii,14,14,6,11,4,Offense
2016-17,Hawaii,0,14,10,15,nan,Defensive
2017-18,Hawaii,12,12,6,9,5,Offense
2017-18,Hawaii,0,12,6,8,2,Defensive
2013-14,Kansas St.,13,13,8,17,5,Offense
2013-14,Kansas St.,0,13,12,13,2,Defensive
2014-15,Kansas St.,13,13,6,15,3,Offense
2014-15,Kansas St.,0,13,5,8,4,Defensive
2015-16,Kansas St.,13,13,11,5,4,Offense
2015-16,Kansas St.,0,13,6,13,nan,Defensive
2016-17,Kansas St.,13,13,9,16,2,Offense
2016-17,Kansas St.,0,13,7,5,2,Defensive
2017-18,Kansas St.,12,12,10,12,1,Offense
2017-18,Kansas St.,0,12,5,7,nan,Defensive
2013-14,Kansas St.,13,13,8,17,5,Offense
2013-14,Kansas St.,0,13,12,13,2,Defensive
2014-15,Kansas St.,13,13,6,15,3,Offense
2014-15,Kansas St.,0,13,5,8,4,Defensive
2015-16,Kansas St.,13,13,11,5,4,Offense
2015-16,Kansas St.,0,13,6,13,nan,Defensive
2016-17,Kansas St.,13,13,9,16,2,Offense
2016-17,Kansas St.,0,13,7,5,2,Defensive
2017-18,Kansas St.,12,12,10,12,1,Offense
2017-18,Kansas St.,0,12,5,7,nan,Defensive
2013-14,Kansas St.,13,13,8,17,5,Offense
2013-14,Kansas St.,0,13,12,13,2,Defensive
2014-15,Kansas St.,13,13,6,15,3,Offense
2014-15,Kansas St.,0,13,5,8,4,Defensive
2015-16,Kansas St.,13,13,11,5,4,Offense
2015-16,Kansas St.,0,13,6,13,nan,Defensive
2016-17,Kansas St.,13,13,9,16,2,Offense
2016-17,Kansas St.,0,13,7,5,2,Defensive
2017-18,Kansas St.,12,12,10,12,1,Offense
2017-18,Kansas St.,0,12,5,7,nan,Defensive
2013-14,Kansas St.,13,13,8,17,5,Offense
2013-14,Kansas St.,0,13,12,13,2,Defensive
2014-15,Kansas St.,13,13,6,15,3,Offense
2014-15,Kansas St.,0,13,5,8,4,Defensive
2015-16,Kansas St.,13,13,11,5,4,Offense
2015-16,Kansas St.,0,13,6,13,nan,Defensive
2016-17,Kansas St.,13,13,9,16,2,Offense
2016-17,Kansas St.,0,13,7,5,2,Defensive
2017-18,Kansas St.,12,12,10,12,1,Offense
2017-18,Kansas St.,0,12,5,7,nan,Defensive
2013-14,Kansas,12,12,10,14,4,Offense
2013-14,Kansas,0,12,11,12,4,Defensive
2014-15,Kansas,12,12,12,9,3,Offense
2014-15,Kansas,0,12,5,13,4,Defensive
2015-16,Kansas,12,12,9,9,2,Offense
2015-16,Kansas,0,12,11,14,2,Defensive
2016-17,Kansas,12,12,12,10,2,Offense
2016-17,Kansas,0,12,14,22,1,Defensive
2017-18,Kansas,12,12,5,4,1,Offense
2017-18,Kansas,0,12,9,17,nan,Defensive
2013-14,Kansas,12,12,10,14,4,Offense
2013-14,Kansas,0,12,11,12,4,Defensive
2014-15,Kansas,12,12,12,9,3,Offense
2014-15,Kansas,0,12,5,13,4,Defensive
2015-16,Kansas,12,12,9,9,2,Offense
2015-16,Kansas,0,12,11,14,2,Defensive
2016-17,Kansas,12,12,12,10,2,Offense
2016-17,Kansas,0,12,14,22,1,Defensive
2017-18,Kansas,12,12,5,4,1,Offense
2017-18,Kansas,0,12,9,17,nan,Defensive
2013-14,Kansas,12,12,10,14,4,Offense
2013-14,Kansas,0,12,11,12,4,Defensive
2014-15,Kansas,12,12,12,9,3,Offense
2014-15,Kansas,0,12,5,13,4,Defensive
2015-16,Kansas,12,12,9,9,2,Offense
2015-16,Kansas,0,12,11,14,2,Defensive
2016-17,Kansas,12,12,12,10,2,Offense
2016-17,Kansas,0,12,14,22,1,Defensive
2017-18,Kansas,12,12,5,4,1,Offense
2017-18,Kansas,0,12,9,17,nan,Defensive
2013-14,Kansas,12,12,10,14,4,Offense
2013-14,Kansas,0,12,11,12,4,Defensive
2014-15,Kansas,12,12,12,9,3,Offense
2014-15,Kansas,0,12,5,13,4,Defensive
2015-16,Kansas,12,12,9,9,2,Offense
2015-16,Kansas,0,12,11,14,2,Defensive
2016-17,Kansas,12,12,12,10,2,Offense
2016-17,Kansas,0,12,14,22,1,Defensive
2017-18,Kansas,12,12,5,4,1,Offense
2017-18,Kansas,0,12,9,17,nan,Defensive
2013-14,Iowa St.,12,12,13,8,2,Offense
2013-14,Iowa St.,0,12,8,14,2,Defensive
2014-15,Iowa St.,12,12,6,10,nan,Offense
2014-15,Iowa St.,0,12,5,11,nan,Defensive
2015-16,Iowa St.,12,12,8,5,nan,Offense
2015-16,Iowa St.,0,12,12,12,2,Defensive
2016-17,Iowa St.,12,12,4,9,nan,Offense
2016-17,Iowa St.,0,12,8,8,nan,Defensive
2017-18,Iowa St.,12,12,8,12,nan,Offense
2017-18,Iowa St.,0,12,nan,9,nan,Defensive
2013-14,Iowa St.,12,12,13,8,2,Offense
2013-14,Iowa St.,0,12,8,14,2,Defensive
2014-15,Iowa St.,12,12,6,10,nan,Offense
2014-15,Iowa St.,0,12,5,11,nan,Defensive
2015-16,Iowa St.,12,12,8,5,nan,Offense
2015-16,Iowa St.,0,12,12,12,2,Defensive
2016-17,Iowa St.,12,12,4,9,nan,Offense
2016-17,Iowa St.,0,12,8,8,nan,Defensive
2017-18,Iowa St.,12,12,8,12,nan,Offense
2017-18,Iowa St.,0,12,nan,9,nan,Defensive
2013-14,Iowa St.,12,12,13,8,2,Offense
2013-14,Iowa St.,0,12,8,14,2,Defensive
2014-15,Iowa St.,12,12,6,10,nan,Offense
2014-15,Iowa St.,0,12,5,11,nan,Defensive
2015-16,Iowa St.,12,12,8,5,nan,Offense
2015-16,Iowa St.,0,12,12,12,2,Defensive
2016-17,Iowa St.,12,12,4,9,nan,Offense
2016-17,Iowa St.,0,12,8,8,nan,Defensive
2017-18,Iowa St.,12,12,8,12,nan,Offense
2017-18,Iowa St.,0,12,nan,9,nan,Defensive
2013-14,Iowa St.,12,12,13,8,2,Offense
2013-14,Iowa St.,0,12,8,14,2,Defensive
2014-15,Iowa St.,12,12,6,10,nan,Offense
2014-15,Iowa St.,0,12,5,11,nan,Defensive
2015-16,Iowa St.,12,12,8,5,nan,Offense
2015-16,Iowa St.,0,12,12,12,2,Defensive
2016-17,Iowa St.,12,12,4,9,nan,Offense
2016-17,Iowa St.,0,12,8,8,nan,Defensive
2017-18,Iowa St.,12,12,8,12,nan,Offense
2017-18,Iowa St.,0,12,nan,9,nan,Defensive
2013-14,Iowa,13,13,8,13,nan,Offense
2013-14,Iowa,0,13,7,15,nan,Defensive
2014-15,Iowa,13,13,3,13,2,Offense
2014-15,Iowa,0,13,15,7,1,Defensive
2015-16,Iowa,14,14,8,19,2,Offense
2015-16,Iowa,0,14,11,5,2,Defensive
2016-17,Iowa,13,13,9,9,1,Offense
2016-17,Iowa,0,13,2,10,1,Defensive
2017-18,Iowa,12,12,4,19,2,Offense
2017-18,Iowa,0,12,13,6,1,Defensive
2013-14,Iowa,13,13,8,13,nan,Offense
2013-14,Iowa,0,13,7,15,nan,Defensive
2014-15,Iowa,13,13,3,13,2,Offense
2014-15,Iowa,0,13,15,7,1,Defensive
2015-16,Iowa,14,14,8,19,2,Offense
2015-16,Iowa,0,14,11,5,2,Defensive
2016-17,Iowa,13,13,9,9,1,Offense
2016-17,Iowa,0,13,2,10,1,Defensive
2017-18,Iowa,12,12,4,19,2,Offense
2017-18,Iowa,0,12,13,6,1,Defensive
2013-14,Iowa,13,13,8,13,nan,Offense
2013-14,Iowa,0,13,7,15,nan,Defensive
2014-15,Iowa,13,13,3,13,2,Offense
2014-15,Iowa,0,13,15,7,1,Defensive
2015-16,Iowa,14,14,8,19,2,Offense
2015-16,Iowa,0,14,11,5,2,Defensive
2016-17,Iowa,13,13,9,9,1,Offense
2016-17,Iowa,0,13,2,10,1,Defensive
2017-18,Iowa,12,12,4,19,2,Offense
2017-18,Iowa,0,12,13,6,1,Defensive
2013-14,Iowa,13,13,8,13,nan,Offense
2013-14,Iowa,0,13,7,15,nan,Defensive
2014-15,Iowa,13,13,3,13,2,Offense
2014-15,Iowa,0,13,15,7,1,Defensive
2015-16,Iowa,14,14,8,19,2,Offense
2015-16,Iowa,0,14,11,5,2,Defensive
2016-17,Iowa,13,13,9,9,1,Offense
2016-17,Iowa,0,13,2,10,1,Defensive
2017-18,Iowa,12,12,4,19,2,Offense
2017-18,Iowa,0,12,13,6,1,Defensive
2013-14,Indiana,12,12,10,7,3,Offense
2013-14,Indiana,0,12,6,14,2,Defensive
2014-15,Indiana,12,12,4,13,2,Offense
2014-15,Indiana,0,12,10,9,nan,Defensive
2015-16,Indiana,13,13,10,12,4,Offense
2015-16,Indiana,0,13,6,8,1,Defensive
2016-17,Indiana,13,13,10,13,5,Offense
2016-17,Indiana,0,13,11,18,6,Defensive
2017-18,Indiana,12,12,8,5,2,Offense
2017-18,Indiana,0,12,7,13,3,Defensive
2013-14,Louisiana,13,13,9,14,nan,Offense
2013-14,Louisiana,0,13,8,14,nan,Defensive
2014-15,Louisiana,13,13,10,7,1,Offense
2014-15,Louisiana,0,13,5,9,2,Defensive
2015-16,Louisiana,12,12,6,5,4,Offense
2015-16,Louisiana,0,12,8,12,3,Defensive
2016-17,Louisiana,13,13,8,10,1,Offense
