Date,Opponent,Result,G,SoloTack,AsstTack,STFL,ATFL,TackleYds,Tackles,Team,OffenseDefense
10/26/2013,@ Appalachian St.,L 14 - 38,1/,30,62,4,6,19,92,Ga. Southern Eagles,Defense
11/02/2013,Furman,L 14 - 16,1/,29,28,5,nan,23,57,Ga. Southern Eagles,Offense
11/02/2013,Furman,L 14 - 16,1/,31,52,1,nan,6,83,Ga. Southern Eagles,Defense
11/09/2013,Western Caro.,W 35 - 19,1/,31,38,1,nan,1,69,Ga. Southern Eagles,Offense
11/09/2013,Western Caro.,W 35 - 19,1/,39,32,3,2,16,71,Ga. Southern Eagles,Defense
11/16/2013,@ Elon,W 38 - 20,1/,34,40,4,2,22,74,Ga. Southern Eagles,Offense
11/16/2013,@ Elon,W 38 - 20,1/,29,52,3,2,16,81,Ga. Southern Eagles,Defense
11/23/2013,@ Florida,W 26 - 20,1/,44,14,7,nan,13,58,Ga. Southern Eagles,Offense
11/23/2013,@ Florida,W 26 - 20,1/,43,24,3,nan,5,67,Ga. Southern Eagles,Defense
09/01/2016,@ FIU,W 34 - 13,1/,34,16,2,nan,10,50,Indiana Hoosiers,Offense
09/01/2016,@ FIU,W 34 - 13,1/,56,26,4,nan,22,82,Indiana Hoosiers,Defense
09/10/2016,Ball St.,W 30 - 20,1/,49,14,4,6,22,63,Indiana Hoosiers,Offense
09/10/2016,Ball St.,W 30 - 20,1/,53,24,6,2,30,77,Indiana Hoosiers,Defense
09/24/2016,Wake Forest,L 28 - 33,1/,50,28,3,nan,8,78,Indiana Hoosiers,Offense
09/24/2016,Wake Forest,L 28 - 33,1/,55,12,4,2,15,67,Indiana Hoosiers,Defense
10/01/2016,Michigan St.,W 24 - 21 (1OT),1/,50,18,3,6,15,68,Indiana Hoosiers,Offense
10/01/2016,Michigan St.,W 24 - 21 (1OT),1/,43,22,1,2,2,65,Indiana Hoosiers,Defense
10/08/2016,@ Ohio St.,L 17 - 38,1/,40,32,2,nan,2,72,Indiana Hoosiers,Offense
10/08/2016,@ Ohio St.,L 17 - 38,1/,44,24,6,6,17,68,Indiana Hoosiers,Defense
10/15/2016,Nebraska,L 22 - 27,1/,50,18,5,2,21,68,Indiana Hoosiers,Offense
10/15/2016,Nebraska,L 22 - 27,1/,52,10,5,4,28,62,Indiana Hoosiers,Defense
10/22/2016,@ Northwestern,L 14 - 24,1/,57,12,9,4,35,69,Indiana Hoosiers,Offense
10/22/2016,@ Northwestern,L 14 - 24,1/,58,12,6,nan,25,70,Indiana Hoosiers,Defense
10/29/2016,Maryland,W 42 - 36,1/,63,12,6,4,42,75,Indiana Hoosiers,Offense
10/29/2016,Maryland,W 42 - 36,1/,61,32,4,2,13,93,Indiana Hoosiers,Defense
11/05/2016,@ Rutgers,W 33 - 27,1/,42,18,8,2,40,60,Indiana Hoosiers,Offense
11/05/2016,@ Rutgers,W 33 - 27,1/,49,44,10,6,32,93,Indiana Hoosiers,Defense
11/12/2016,Penn St.,L 31 - 45,1/,58,8,14/,4,60,66,Indiana Hoosiers,Offense
11/12/2016,Penn St.,L 31 - 45,1/,51,22,6,6,54,73,Indiana Hoosiers,Defense
11/19/2016,@ Michigan,L 10 - 20,1/,43,26,6,4,23,69,Indiana Hoosiers,Offense
11/19/2016,@ Michigan,L 10 - 20,1/,30,32,11,2,47,62,Indiana Hoosiers,Defense
11/26/2016,Purdue,W 26 - 24,1/,52,14,11,nan,40,66,Indiana Hoosiers,Offense
11/26/2016,Purdue,W 26 - 24,1/,65/,6,8,nan,84/,71,Indiana Hoosiers,Defense
12/28/2016,"Utah @ Santa Clara, CA",L 24 - 26,1/,55,20,8,nan,36,75,Indiana Hoosiers,Offense
12/28/2016,"Utah @ Santa Clara, CA",L 24 - 26,1/,53,6,7,nan,38,59,Indiana Hoosiers,Defense
08/30/2014,Indiana St.,W 28 - 10,1/,32,14,8,nan,41,46,Indiana Hoosiers,Offense
08/30/2014,Indiana St.,W 28 - 10,1/,60,38,6,6,15,98,Indiana Hoosiers,Defense
09/13/2014,@ Bowling Green,L 42 - 45,1/,49,68,2,4,8,117/,Indiana Hoosiers,Offense
09/13/2014,@ Bowling Green,L 42 - 45,1/,38,52,2,4,7,90,Indiana Hoosiers,Defense
09/20/2014,@ Missouri,W 31 - 27,1/,38,34,7,8,43,72,Indiana Hoosiers,Offense
09/20/2014,@ Missouri,W 31 - 27,1/,44,36,4,nan,16,80,Indiana Hoosiers,Defense
09/27/2014,Maryland,L 15 - 37,1/,50,6,7,nan,20,56,Indiana Hoosiers,Offense
09/27/2014,Maryland,L 15 - 37,1/,50,30,6,2,36,80,Indiana Hoosiers,Defense
10/04/2014,North Texas,W 49 - 24,1/,49,8,4,2,22,57,Indiana Hoosiers,Offense
10/04/2014,North Texas,W 49 - 24,1/,51,26,3,nan,10,77,Indiana Hoosiers,Defense
10/11/2014,@ Iowa,L 29 - 45,1/,47,34,5,2,22,81,Indiana Hoosiers,Offense
10/11/2014,@ Iowa,L 29 - 45,1/,27,32,3,4,18,59,Indiana Hoosiers,Defense
10/18/2014,Michigan St.,L 17 - 56,1/,52,24,3,nan,11,76,Indiana Hoosiers,Offense
10/18/2014,Michigan St.,L 17 - 56,1/,32,18,7,2,36,50,Indiana Hoosiers,Defense
11/01/2014,@ Michigan,L 10 - 34,1/,38,26,1,4,5,64,Indiana Hoosiers,Offense
11/01/2014,@ Michigan,L 10 - 34,1/,44,18,9,6,29,62,Indiana Hoosiers,Defense
11/08/2014,Penn St.,L 7 - 13,1/,42,14,10/,2,38,56,Indiana Hoosiers,Offense
11/08/2014,Penn St.,L 7 - 13,1/,46,26,9,2,43,72,Indiana Hoosiers,Defense
11/15/2014,@ Rutgers,L 23 - 45,1/,47,14,5,nan,14,61,Indiana Hoosiers,Offense
11/15/2014,@ Rutgers,L 23 - 45,1/,60,20,8,2,63,80,Indiana Hoosiers,Defense
11/22/2014,@ Ohio St.,L 27 - 42,1/,43,36,5,2,21,79,Indiana Hoosiers,Offense
11/22/2014,@ Ohio St.,L 27 - 42,1/,36,26,6,4,21,62,Indiana Hoosiers,Defense
11/29/2014,Purdue,W 23 - 16,1/,49,14,8,nan,19,63,Indiana Hoosiers,Offense
11/29/2014,Purdue,W 23 - 16,1/,49,22,6,2,24,71,Indiana Hoosiers,Defense
08/29/2013,Indiana St.,W 73 - 35,1/,32,40,2,10,24,72,Indiana Hoosiers,Offense
08/29/2013,Indiana St.,W 73 - 35,1/,53,24,3,4,8,77,Indiana Hoosiers,Defense
09/07/2013,Navy,L 35 - 41,1/,48,36,3,nan,17,84,Indiana Hoosiers,Offense
09/07/2013,Navy,L 35 - 41,1/,48,12,nan,nan,nan,60,Indiana Hoosiers,Defense
09/14/2013,Bowling Green,W 42 - 10,1/,53,20,4,2,16,73,Indiana Hoosiers,Offense
09/14/2013,Bowling Green,W 42 - 10,1/,49,18,12/,2,45,67,Indiana Hoosiers,Defense
09/21/2013,Missouri,L 28 - 45,1/,71/,16,5,2,24,87,Indiana Hoosiers,Offense
09/21/2013,Missouri,L 28 - 45,1/,44,16,6,nan,17,60,Indiana Hoosiers,Defense
10/05/2013,Penn St.,W 44 - 24,1/,49,34,4,4,23,83,Indiana Hoosiers,Offense
10/05/2013,Penn St.,W 44 - 24,1/,49,16,6,2,31,65,Indiana Hoosiers,Defense
10/12/2013,@ Michigan St.,L 28 - 42,1/,41,40,2,2,12,81,Indiana Hoosiers,Offense
10/12/2013,@ Michigan St.,L 28 - 42,1/,38,18,6,nan,26,56,Indiana Hoosiers,Defense
10/19/2013,@ Michigan,L 47 - 63,1/,60,22,6,2,37,82,Indiana Hoosiers,Offense
10/19/2013,@ Michigan,L 47 - 63,1/,43,18,3,nan,25,61,Indiana Hoosiers,Defense
11/02/2013,Minnesota,L 39 - 42,1/,52,28,7,nan,17,80,Indiana Hoosiers,Offense
11/02/2013,Minnesota,L 39 - 42,1/,52,14,3,2,26,66,Indiana Hoosiers,Defense
11/09/2013,Illinois,W 52 - 35,1/,67,18,6,2,23,85,Indiana Hoosiers,Offense
11/09/2013,Illinois,W 52 - 35,1/,49,16,7,2,26,65,Indiana Hoosiers,Defense
11/16/2013,@ Wisconsin,L 3 - 51,1/,37,30,nan,10,10,67,Indiana Hoosiers,Offense
11/16/2013,@ Wisconsin,L 3 - 51,1/,33,22,3,2,15,55,Indiana Hoosiers,Defense
11/23/2013,@ Ohio St.,L 14 - 42,1/,33,22,2,nan,8,55,Indiana Hoosiers,Offense
11/23/2013,@ Ohio St.,L 14 - 42,1/,62,26,11,2,43,88,Indiana Hoosiers,Defense
11/30/2013,Purdue,W 56 - 36,1/,41,16,6,nan,21,57,Indiana Hoosiers,Offense
11/30/2013,Purdue,W 56 - 36,1/,62,26,4,4,18,88,Indiana Hoosiers,Defense
09/03/2016,Murray St.,W 52 - 3,1/,31,36,11,nan,50,67,Illinois Fighting Illini,Offense
09/03/2016,Murray St.,W 52 - 3,1/,23,51,3,nan,14,74,Illinois Fighting Illini,Defense
09/10/2016,North Carolina,L 23 - 48,1/,35,38,9,6,38,73,Illinois Fighting Illini,Offense
09/10/2016,North Carolina,L 23 - 48,1/,25,50,5,6,18,75,Illinois Fighting Illini,Defense
09/17/2016,Western Mich.,L 10 - 34,1/,31,54,6,6,25,85,Illinois Fighting Illini,Offense
09/17/2016,Western Mich.,L 10 - 34,1/,28,40,7,4,39,68,Illinois Fighting Illini,Defense
10/01/2016,@ Nebraska,L 16 - 31,1/,32,60,3,4,14,92,Illinois Fighting Illini,Offense
10/01/2016,@ Nebraska,L 16 - 31,1/,19,26,3,2,14,45,Illinois Fighting Illini,Defense
10/08/2016,Purdue,L 31 - 34 (1OT),1/,28,62,3,2,7,90,Illinois Fighting Illini,Offense
10/08/2016,Purdue,L 31 - 34 (1OT),1/,27,68,nan,2,3,95,Illinois Fighting Illini,Defense
10/15/2016,@ Rutgers,W 24 - 7,1/,53,30,7,4,30,83,Illinois Fighting Illini,Offense
10/15/2016,@ Rutgers,W 24 - 7,1/,33,26,2,6,18,59,Illinois Fighting Illini,Defense
10/22/2016,@ Michigan,L 8 - 41,1/,49,42,7,2,33,91,Illinois Fighting Illini,Offense
10/22/2016,@ Michigan,L 8 - 41,1/,18,22,2,4,28,40,Illinois Fighting Illini,Defense
10/29/2016,Minnesota,L 17 - 40,1/,33,46,4,8,34,79,Illinois Fighting Illini,Offense
10/29/2016,Minnesota,L 17 - 40,1/,34,34,4,2,24,68,Illinois Fighting Illini,Defense
11/05/2016,Michigan St.,W 31 - 27,1/,40,54,8,4,23,94,Illinois Fighting Illini,Offense
11/05/2016,Michigan St.,W 31 - 27,1/,12,44,1,4,5,56,Illinois Fighting Illini,Defense
11/12/2016,@ Wisconsin,L 3 - 48,1/,45,54,5,2,16,99,Illinois Fighting Illini,Offense
11/12/2016,@ Wisconsin,L 3 - 48,1/,17,26,3,6,11,43,Illinois Fighting Illini,Defense
11/19/2016,Iowa,L 0 - 28,1/,27,56,3,2,11,83,Illinois Fighting Illini,Offense
11/19/2016,Iowa,L 0 - 28,1/,29,38,3,8,18,67,Illinois Fighting Illini,Defense
11/26/2016,@ Northwestern,L 21 - 42,1/,50,10,9,nan,39,60,Illinois Fighting Illini,Offense
11/26/2016,@ Northwestern,L 21 - 42,1/,51,10,4,4,35,61,Illinois Fighting Illini,Defense
08/30/2014,Youngstown St.,W 28 - 17,1/,30,80/,6,2,25,110,Illinois Fighting Illini,Offense
08/30/2014,Youngstown St.,W 28 - 17,1/,25,30,2,2,9,55,Illinois Fighting Illini,Defense
09/06/2014,Western Ky.,W 42 - 34,1/,34,42,3,2,25,76,Illinois Fighting Illini,Offense
09/06/2014,Western Ky.,W 42 - 34,1/,41,38,6,nan,26,79,Illinois Fighting Illini,Defense
09/13/2014,@ Washington,L 19 - 44,1/,57,22,7,nan,32,79,Illinois Fighting Illini,Offense
09/13/2014,@ Washington,L 19 - 44,1/,38,18,7,2,32,56,Illinois Fighting Illini,Defense
09/20/2014,Texas St.,W 42 - 35,1/,46,48,8,12/,42,94,Illinois Fighting Illini,Offense
09/20/2014,Texas St.,W 42 - 35,1/,30,26,2,nan,7,56,Illinois Fighting Illini,Defense
09/27/2014,@ Nebraska,L 14 - 45,1/,37,76,5,6,23,113,Illinois Fighting Illini,Offense
09/27/2014,@ Nebraska,L 14 - 45,1/,28,22,7,4,38,50,Illinois Fighting Illini,Defense
10/04/2014,Purdue,L 27 - 38,1/,30,52,nan,6,8,82,Illinois Fighting Illini,Offense
10/04/2014,Purdue,L 27 - 38,1/,35,46,6,2,36,81,Illinois Fighting Illini,Defense
10/11/2014,@ Wisconsin,L 28 - 38,1/,39,26,5,nan,7,65,Illinois Fighting Illini,Offense
10/11/2014,@ Wisconsin,L 28 - 38,1/,47,16,9,4,52,63,Illinois Fighting Illini,Defense
10/25/2014,Minnesota,W 28 - 24,1/,19,50,6,10,35,69,Illinois Fighting Illini,Offense
10/25/2014,Minnesota,W 28 - 24,1/,41,30,8,4,53,71,Illinois Fighting Illini,Defense
11/01/2014,@ Ohio St.,L 14 - 55,1/,44,34,3,2,6,78,Illinois Fighting Illini,Offense
11/01/2014,@ Ohio St.,L 14 - 55,1/,45,18,10/,2,35,63,Illinois Fighting Illini,Defense
11/15/2014,Iowa,L 14 - 30,1/,35,60,1,4,6,95,Illinois Fighting Illini,Offense
11/15/2014,Iowa,L 14 - 30,1/,23,36,6,2,22,59,Illinois Fighting Illini,Defense
11/22/2014,Penn St.,W 16 - 14,1/,28,48,5,nan,35,76,Illinois Fighting Illini,Offense
11/22/2014,Penn St.,W 16 - 14,1/,37,32,5,6,25,69,Illinois Fighting Illini,Defense
11/29/2014,@ Northwestern,W 47 - 33,1/,44,20,5,nan,11,64,Illinois Fighting Illini,Offense
11/29/2014,@ Northwestern,W 47 - 33,1/,45,26,6,2,16,71,Illinois Fighting Illini,Defense
12/26/2014,"Louisiana Tech @ Dallas, Texas",L 18 - 35,1/,33,14,5,2,31,47,Illinois Fighting Illini,Offense
12/26/2014,"Louisiana Tech @ Dallas, Texas",L 18 - 35,1/,51,18,11,2,64,69,Illinois Fighting Illini,Defense
09/05/2015,Kent St.,W 52 - 3,1/,50,28,11,6,36,78,Illinois Fighting Illini,Offense
09/05/2015,Kent St.,W 52 - 3,1/,39,20,3,2,15,59,Illinois Fighting Illini,Defense
09/12/2015,Western Ill.,W 44 - 0,1/,20,38,4,4,11,58,Illinois Fighting Illini,Offense
09/12/2015,Western Ill.,W 44 - 0,1/,40,64,3,4,13,104,Illinois Fighting Illini,Defense
09/19/2015,@ North Carolina,L 14 - 48,1/,42,26,5,nan,13,68,Illinois Fighting Illini,Offense
09/19/2015,@ North Carolina,L 14 - 48,1/,36,52,2,2,7,88,Illinois Fighting Illini,Defense
09/26/2015,Middle Tenn.,W 27 - 25,1/,36,55,5,10,44,91,Illinois Fighting Illini,Offense
09/26/2015,Middle Tenn.,W 27 - 25,1/,45,50,5,nan,32,95,Illinois Fighting Illini,Defense
10/03/2015,Nebraska,W 14 - 13,1/,18,54,4,4,27,72,Illinois Fighting Illini,Offense
10/03/2015,Nebraska,W 14 - 13,1/,24,56,4,8,36,80,Illinois Fighting Illini,Defense
10/10/2015,@ Iowa,L 20 - 29,1/,46,34,7,nan,20,80,Illinois Fighting Illini,Offense
10/10/2015,@ Iowa,L 20 - 29,1/,36,26,4,2,23,62,Illinois Fighting Illini,Defense
10/24/2015,Wisconsin,L 13 - 24,1/,39,50,7,2,30,89,Illinois Fighting Illini,Offense
10/24/2015,Wisconsin,L 13 - 24,1/,28,20,1,2,5,48,Illinois Fighting Illini,Defense
10/31/2015,@ Penn St.,L 0 - 39,1/,39,28,6,2,36,67,Illinois Fighting Illini,Offense
10/31/2015,@ Penn St.,L 0 - 39,1/,31,26,7,4,48,57,Illinois Fighting Illini,Defense
11/07/2015,@ Purdue,W 48 - 14,1/,53,14,7,2,38,67,Illinois Fighting Illini,Offense
11/07/2015,@ Purdue,W 48 - 14,1/,46,18,3,nan,14,64,Illinois Fighting Illini,Defense
11/14/2015,Ohio St.,L 3 - 28,1/,24,74/,4,4,17,98,Illinois Fighting Illini,Offense
11/14/2015,Ohio St.,L 3 - 28,1/,35,32,5,12/,36,67,Illinois Fighting Illini,Defense
11/21/2015,@ Minnesota,L 23 - 32,1/,35,26,3,nan,5,61,Illinois Fighting Illini,Offense
11/21/2015,@ Minnesota,L 23 - 32,1/,47,48,6,2,35,95,Illinois Fighting Illini,Defense
11/28/2015,Northwestern,L 14 - 24,1/,38,52,9,nan,30,90,Illinois Fighting Illini,Offense
11/28/2015,Northwestern,L 14 - 24,1/,30,36,4,2,20,66,Illinois Fighting Illini,Defense
08/31/2013,Southern Ill.,W 42 - 34,1/,29,40,3,2,10,69,Illinois Fighting Illini,Offense
08/31/2013,Southern Ill.,W 42 - 34,1/,34,34,8,4,58,68,Illinois Fighting Illini,Defense
09/07/2013,Cincinnati,W 45 - 17,1/,32,48,2,4,17,80,Illinois Fighting Illini,Offense
09/07/2013,Cincinnati,W 45 - 17,1/,39,46,4,6,16,85,Illinois Fighting Illini,Defense
09/14/2013,"Washington @ Chicago, Ill.",L 24 - 34,1/,42,66/,5,4,23,108/,Illinois Fighting Illini,Offense
09/14/2013,"Washington @ Chicago, Ill.",L 24 - 34,1/,25,46,4,6,38,71,Illinois Fighting Illini,Defense
09/28/2013,Miami (OH),W 50 - 14,1/,22,50,5,2,16,72,Illinois Fighting Illini,Offense
09/28/2013,Miami (OH),W 50 - 14,1/,35,42,2,nan,10,77,Illinois Fighting Illini,Defense
10/05/2013,@ Nebraska,L 19 - 39,1/,36,36,7,4,22,72,Illinois Fighting Illini,Offense
10/05/2013,@ Nebraska,L 19 - 39,1/,44,38,8,4,32,82,Illinois Fighting Illini,Defense
10/19/2013,Wisconsin,L 32 - 56,1/,30,54,1,6,10,84,Illinois Fighting Illini,Offense
10/19/2013,Wisconsin,L 32 - 56,1/,38,32,5,2,28,70,Illinois Fighting Illini,Defense
10/26/2013,Michigan St.,L 3 - 42,1/,33,58,2,2,16,91,Illinois Fighting Illini,Offense
10/26/2013,Michigan St.,L 3 - 42,1/,22,32,8,2,39,54,Illinois Fighting Illini,Defense
11/02/2013,@ Penn St.,L 17 - 24 (1OT),1/,45,38,1,2,5,83,Illinois Fighting Illini,Offense
11/02/2013,@ Penn St.,L 17 - 24 (1OT),1/,40,28,3,2,17,68,Illinois Fighting Illini,Defense
11/09/2013,@ Indiana,L 35 - 52,1/,49,16,7,2,26,65,Illinois Fighting Illini,Offense
11/09/2013,@ Indiana,L 35 - 52,1/,67,18,6,2,23,85,Illinois Fighting Illini,Defense
11/16/2013,Ohio St.,L 35 - 60,1/,33,50,4,nan,19,83,Illinois Fighting Illini,Offense
11/16/2013,Ohio St.,L 35 - 60,1/,49,50,7,6,58,99,Illinois Fighting Illini,Defense
11/23/2013,@ Purdue,W 20 - 16,1/,42,10,9,nan,32,52,Illinois Fighting Illini,Offense
11/23/2013,@ Purdue,W 20 - 16,1/,45,16,5,nan,35,61,Illinois Fighting Illini,Defense
11/30/2013,Northwestern,L 34 - 37,1/,48,60,5,4,23,108/,Illinois Fighting Illini,Offense
11/30/2013,Northwestern,L 34 - 37,1/,38,42,2,2,24,80,Illinois Fighting Illini,Defense
09/01/2016,Montana St.,W 20 - 17,1/,51,17,5,nan,16,68,Idaho Vandals,Offense
09/01/2016,Montana St.,W 20 - 17,1/,37,14,2,nan,3,51,Idaho Vandals,Defense
09/10/2016,@ Washington,L 14 - 59,1/,37,28,4,nan,18,65,Idaho Vandals,Offense
09/10/2016,@ Washington,L 14 - 59,1/,52,20,7,4,33,72,Idaho Vandals,Defense
09/17/2016,@ Washington St.,L 6 - 56,1/,55,6,4,nan,16,61,Idaho Vandals,Offense
09/17/2016,@ Washington St.,L 6 - 56,1/,39,28,5,4,19,67,Idaho Vandals,Defense
09/24/2016,@ UNLV,W 33 - 30 (1OT),1/,53,24,4,nan,9,77,Idaho Vandals,Offense
09/24/2016,@ UNLV,W 33 - 30 (1OT),1/,33,38,6,2,25,71,Idaho Vandals,Defense
10/01/2016,Troy,L 13 - 34,1/,56,15,3,nan,20,71,Idaho Vandals,Offense
10/01/2016,Troy,L 13 - 34,1/,51,10,7,nan,43,61,Idaho Vandals,Defense
10/08/2016,@ La.-Monroe,W 34 - 31,1/,35,32,5,nan,11,67,Idaho Vandals,Offense
10/08/2016,@ La.-Monroe,W 34 - 31,1/,50,10,6,nan,19,60,Idaho Vandals,Defense
10/15/2016,New Mexico St.,W 55 - 23,1/,46,9,9,nan,55,55,Idaho Vandals,Offense
10/15/2016,New Mexico St.,W 55 - 23,1/,63,22,4,nan,9,85,Idaho Vandals,Defense
10/22/2016,@ Appalachian St.,L 19 - 37,1/,35,38,6,nan,21,73,Idaho Vandals,Offense
10/22/2016,@ Appalachian St.,L 19 - 37,1/,35,30,5,2,36,65,Idaho Vandals,Defense
11/05/2016,@ Louisiana,W 23 - 13,1/,37,38,7,4,44,75,Idaho Vandals,Offense
11/05/2016,@ Louisiana,W 23 - 13,1/,40,36,1,nan,2,76,Idaho Vandals,Defense
11/12/2016,@ Texas St.,W 47 - 14,1/,46,3,8,nan,41,49,Idaho Vandals,Offense
11/12/2016,@ Texas St.,W 47 - 14,1/,67/,18,3,nan,10,85,Idaho Vandals,Defense
11/26/2016,South Ala.,W 38 - 31,1/,53,25,6,nan,25,78,Idaho Vandals,Offense
11/26/2016,South Ala.,W 38 - 31,1/,50,16,5,nan,7,66,Idaho Vandals,Defense
12/03/2016,Georgia St.,W 37 - 12,1/,41,18,1,nan,3,59,Idaho Vandals,Offense
12/03/2016,Georgia St.,W 37 - 12,1/,62,25,6,nan,17,87,Idaho Vandals,Defense
12/22/2016,"Colorado St. @ Boise, Idaho",W 61 - 50,1/,37,12,2,nan,2,nan,Idaho Vandals,Offense
12/22/2016,"Colorado St. @ Boise, Idaho",W 61 - 50,1/,49,22,3,2,14,nan,Idaho Vandals,Defense
09/06/2014,@ La.-Monroe,L 31 - 38,1/,36,46,8,nan,28,82,Idaho Vandals,Offense
09/06/2014,@ La.-Monroe,L 31 - 38,1/,42,38,5,2,35,80,Idaho Vandals,Defense
09/13/2014,Western Mich.,L 33 - 45,1/,50,17,3,nan,8,67,Idaho Vandals,Offense
09/13/2014,Western Mich.,L 33 - 45,1/,52,13,7,nan,37,65,Idaho Vandals,Defense
09/20/2014,@ Ohio,L 24 - 36,1/,38,36,3,2,20,74,Idaho Vandals,Offense
09/20/2014,@ Ohio,L 24 - 36,1/,39,36,4,2,28,75,Idaho Vandals,Defense
09/27/2014,South Ala.,L 10 - 34,1/,49,24,2,nan,7,73,Idaho Vandals,Offense
09/27/2014,South Ala.,L 10 - 34,1/,59,10,8,nan,71/,69,Idaho Vandals,Defense
10/04/2014,@ Texas St.,L 30 - 35,1/,44,6,2,nan,5,50,Idaho Vandals,Offense
10/04/2014,@ Texas St.,L 30 - 35,1/,65,26,8,2,46,91,Idaho Vandals,Defense
10/11/2014,@ Ga. Southern,L 24 - 47,1/,50,32,5,nan,24,82,Idaho Vandals,Offense
10/11/2014,@ Ga. Southern,L 24 - 47,1/,41,32,7,6,35,73,Idaho Vandals,Defense
10/18/2014,New Mexico St.,W 29 - 17,1/,44,13,8,nan,22,57,Idaho Vandals,Offense
10/18/2014,New Mexico St.,W 29 - 17,1/,71/,22,3,nan,28,93,Idaho Vandals,Defense
11/01/2014,Arkansas St.,L 28 - 44,1/,61,19,12/,nan,37,80,Idaho Vandals,Offense
11/01/2014,Arkansas St.,L 28 - 44,1/,52,24,6,nan,27,76,Idaho Vandals,Defense
11/08/2014,@ San Diego St.,L 21 - 35,1/,34,30,5,2,28,64,Idaho Vandals,Offense
11/08/2014,@ San Diego St.,L 21 - 35,1/,43,44,5,2,25,87,Idaho Vandals,Defense
11/15/2014,Troy,L 17 - 34,1/,52,44,6,6,21,96,Idaho Vandals,Offense
11/15/2014,Troy,L 17 - 34,1/,34,22,3,nan,9,56,Idaho Vandals,Defense
11/29/2014,@ Appalachian St.,L 28 - 45,1/,38,20,3,6,14,58,Idaho Vandals,Offense
11/29/2014,@ Appalachian St.,L 28 - 45,1/,42,48,6,nan,10,90,Idaho Vandals,Defense
09/03/2015,Ohio,L 28 - 45,1/,39,26,3,nan,13,65,Idaho Vandals,Offense
09/03/2015,Ohio,L 28 - 45,1/,54,19,3,nan,20,73,Idaho Vandals,Defense
09/12/2015,@ Southern California,L 9 - 59,1/,50,22,2,nan,5,72,Idaho Vandals,Offense
09/12/2015,@ Southern California,L 9 - 59,1/,40,42,6,2,23,82,Idaho Vandals,Defense
09/19/2015,Wofford,W 41 - 38,1/,45,19,8,nan,25,64,Idaho Vandals,Offense
09/19/2015,Wofford,W 41 - 38,1/,59,23,7,nan,26,82,Idaho Vandals,Defense
09/26/2015,Ga. Southern,L 20 - 44,1/,57,12,7,nan,20,69,Idaho Vandals,Offense
09/26/2015,Ga. Southern,L 20 - 44,1/,50,20,2,nan,15,70,Idaho Vandals,Defense
10/03/2015,@ Arkansas St.,L 35 - 49,1/,52,18,4,nan,21,70,Idaho Vandals,Offense
10/03/2015,@ Arkansas St.,L 35 - 49,1/,46,16,5,2,18,62,Idaho Vandals,Defense
10/17/2015,@ Troy,W 19 - 16,1/,48,12,8,2,32,60,Idaho Vandals,Offense
10/17/2015,@ Troy,W 19 - 16,1/,44,18,5,4,22,62,Idaho Vandals,Defense
10/24/2015,La.-Monroe,W 27 - 13,1/,41,11,6,nan,29,52,Idaho Vandals,Offense
10/24/2015,La.-Monroe,W 27 - 13,1/,69/,22,6,nan,35,91,Idaho Vandals,Defense
10/31/2015,@ New Mexico St.,L 48 - 55 (1OT),1/,34,40,4,nan,15,74,Idaho Vandals,Offense
10/31/2015,@ New Mexico St.,L 48 - 55 (1OT),1/,36,74/,3,2,13,110/,Idaho Vandals,Defense
11/07/2015,@ South Ala.,L 45 - 52,1/,32,42,5,6,24,74,Idaho Vandals,Offense
11/07/2015,@ South Ala.,L 45 - 52,1/,42,58,nan,4,3,100,Idaho Vandals,Defense
11/14/2015,Appalachian St.,L 20 - 47,1/,61,17,4,nan,13,78,Idaho Vandals,Offense
11/14/2015,Appalachian St.,L 20 - 47,1/,44,12,5,nan,26,56,Idaho Vandals,Defense
11/21/2015,@ Auburn,L 34 - 56,1/,44,28,5,nan,22,72,Idaho Vandals,Offense
11/21/2015,@ Auburn,L 34 - 56,1/,48,20,5,2,27,68,Idaho Vandals,Defense
11/28/2015,Texas St.,W 38 - 31,1/,59,17,4,nan,11,76,Idaho Vandals,Offense
11/28/2015,Texas St.,W 38 - 31,1/,52,12,3,nan,14,64,Idaho Vandals,Defense
08/31/2013,@ North Texas,L 6 - 40,1/,61,21,9,nan,19,82,Idaho Vandals,Offense
08/31/2013,@ North Texas,L 6 - 40,1/,56,12,8,nan,47,68,Idaho Vandals,Defense
09/07/2013,@ Wyoming,L 10 - 42,1/,51,18,4,2,26,69,Idaho Vandals,Offense
09/07/2013,@ Wyoming,L 10 - 42,1/,56,36,6,4,62/,92,Idaho Vandals,Defense
09/14/2013,Northern Ill.,L 35 - 45,1/,58,12,4,nan,18,70,Idaho Vandals,Offense
09/14/2013,Northern Ill.,L 35 - 45,1/,76/,21,12/,nan,62/,97,Idaho Vandals,Defense
09/21/2013,@ Washington St.,L 0 - 42,1/,27,34,2,nan,13,61,Idaho Vandals,Offense
09/21/2013,@ Washington St.,L 0 - 42,1/,54,36,11,6,66,90,Idaho Vandals,Defense
09/28/2013,Temple,W 26 - 24,1/,55,10,5,nan,21,65,Idaho Vandals,Offense
09/28/2013,Temple,W 26 - 24,1/,65,25,7,nan,17,90,Idaho Vandals,Defense
