Date,Opponent,Result,G,SoloTack,AsstTack,STFL,ATFL,TackleYds,Tackles,Team,OffenseDefense
09/21/2013,@ Elon,W 31 - 21,1/,54,30,2,nan,4,84,Appalachian St. Mountaineers,Offense
09/21/2013,@ Elon,W 31 - 21,1/,55,18,2,4,19,73,Appalachian St. Mountaineers,Defense
09/28/2013,Charleston So.,L 24 - 27,1/,32,82/,2,6,10,114,Appalachian St. Mountaineers,Offense
09/28/2013,Charleston So.,L 24 - 27,1/,25,34,3,nan,8,59,Appalachian St. Mountaineers,Defense
10/05/2013,@ The Citadel,L 28 - 31 (1OT),1/,34,32,3,4,13,66,Appalachian St. Mountaineers,Offense
10/05/2013,@ The Citadel,L 28 - 31 (1OT),1/,45,22,5,2,18,67,Appalachian St. Mountaineers,Defense
10/12/2013,Samford,L 10 - 34,1/,25,54,2,6,7,79,Appalachian St. Mountaineers,Offense
10/12/2013,Samford,L 10 - 34,1/,35,48,7,4,69/,83,Appalachian St. Mountaineers,Defense
10/19/2013,@ Furman,L 10 - 27,1/,28,36,2,4,5,64,Appalachian St. Mountaineers,Offense
10/19/2013,@ Furman,L 10 - 27,1/,46,54,5,nan,24,100,Appalachian St. Mountaineers,Defense
10/26/2013,Ga. Southern,W 38 - 14,1/,30,62,4,6,19,92,Appalachian St. Mountaineers,Offense
10/26/2013,Ga. Southern,W 38 - 14,1/,42,40,5,2,28,82,Appalachian St. Mountaineers,Defense
11/02/2013,Chattanooga,L 28 - 35,1/,44,16,6,nan,20,60,Appalachian St. Mountaineers,Offense
11/02/2013,Chattanooga,L 28 - 35,1/,51,26,6,2,22,77,Appalachian St. Mountaineers,Defense
11/09/2013,@ Georgia,L 6 - 45,1/,42,26,2,nan,2,68,Appalachian St. Mountaineers,Offense
11/09/2013,@ Georgia,L 6 - 45,1/,45,28,7,nan,45,73,Appalachian St. Mountaineers,Defense
11/16/2013,@ Wofford,W 33 - 21,1/,54,12,6,nan,22,66,Appalachian St. Mountaineers,Offense
11/16/2013,@ Wofford,W 33 - 21,1/,53,22,6,nan,23,75,Appalachian St. Mountaineers,Defense
11/23/2013,Western Caro.,W 48 - 27,1/,47,18,3,4,12,65,Appalachian St. Mountaineers,Offense
11/23/2013,Western Caro.,W 48 - 27,1/,35,28,6,nan,13,63,Appalachian St. Mountaineers,Defense
09/01/2016,@ Tennessee,L 13 - 20 (1OT),1/,38,40,4,2,22,78,Appalachian St. Mountaineers,Offense
09/01/2016,@ Tennessee,L 13 - 20 (1OT),1/,43,32,5,2,16,75,Appalachian St. Mountaineers,Defense
09/10/2016,Old Dominion,W 31 - 7,1/,30,32,3,4,10,62,Appalachian St. Mountaineers,Offense
09/10/2016,Old Dominion,W 31 - 7,1/,41,38,7,nan,13,79,Appalachian St. Mountaineers,Defense
09/17/2016,Miami (FL),L 10 - 45,1/,29,36,3,nan,10,65,Appalachian St. Mountaineers,Offense
09/17/2016,Miami (FL),L 10 - 45,1/,35,42,6,12/,41,77,Appalachian St. Mountaineers,Defense
09/24/2016,@ Akron,W 45 - 38,1/,45,14,7,nan,28,59,Appalachian St. Mountaineers,Offense
09/24/2016,@ Akron,W 45 - 38,1/,51,36,5,2,9,87,Appalachian St. Mountaineers,Defense
10/01/2016,Georgia St.,W 17 - 3,1/,27,34,3,nan,7,61,Appalachian St. Mountaineers,Offense
10/01/2016,Georgia St.,W 17 - 3,1/,49,32,4,2,21,81,Appalachian St. Mountaineers,Defense
10/12/2016,@ Louisiana,W 24 - 0,1/,55,19,8,4,48,74,Appalachian St. Mountaineers,Offense
10/12/2016,@ Louisiana,W 24 - 0,1/,36,18,4,2,27,54,Appalachian St. Mountaineers,Defense
10/22/2016,Idaho,W 37 - 19,1/,35,30,5,2,36,65,Appalachian St. Mountaineers,Offense
