Year,Team,GP,G,SoloTack,AsstTack,STFL,ATFL,TackleYds,Tackles,OffenseDefense
2017-18,Alabama,12,12,407,417,65,30,312,824,Offense
2017-18,Alabama,0,12,432,440,36,18,189,872,Defensive
2013-14,Akron,12,12,470,431,51,32,251,901,Offense
2013-14,Akron,0,12,480,308,54,34,266,788,Defensive
2014-15,Akron,12,12,501,327,59,26,280,761,Offense
2014-15,Akron,0,12,473,271,48,22,213,682,Defensive
2015-16,Akron,13,13,498,332,63,44,382,830,Offense
2015-16,Akron,0,13,494,395,57,38,257,889,Defensive
2016-17,Akron,12,12,524,466,48,36,229,990,Offense
2016-17,Akron,0,12,460,252,68,18,254,712,Defensive
2017-18,Akron,13,13,537,402,51,34,267,939,Offense
2017-18,Akron,0,13,387,494,49,66,323,881,Defensive
2013-14,Akron,12,12,470,431,51,32,251,901,Offense
2013-14,Akron,0,12,480,308,54,34,266,788,Defensive
2014-15,Akron,12,12,501,327,59,26,280,761,Offense
2014-15,Akron,0,12,473,271,48,22,213,682,Defensive
2015-16,Akron,13,13,498,332,63,44,382,830,Offense
2015-16,Akron,0,13,494,395,57,38,257,889,Defensive
2016-17,Akron,12,12,524,466,48,36,229,990,Offense
2016-17,Akron,0,12,460,252,68,18,254,712,Defensive
2017-18,Akron,13,13,537,402,51,34,267,939,Offense
2017-18,Akron,0,13,387,494,49,66,323,881,Defensive
2013-14,Akron,12,12,470,431,51,32,251,901,Offense
2013-14,Akron,0,12,480,308,54,34,266,788,Defensive
2014-15,Akron,12,12,501,327,59,26,280,761,Offense
2014-15,Akron,0,12,473,271,48,22,213,682,Defensive
2015-16,Akron,13,13,498,332,63,44,382,830,Offense
2015-16,Akron,0,13,494,395,57,38,257,889,Defensive
2016-17,Akron,12,12,524,466,48,36,229,990,Offense
2016-17,Akron,0,12,460,252,68,18,254,712,Defensive
2017-18,Akron,13,13,537,402,51,34,267,939,Offense
2017-18,Akron,0,13,387,494,49,66,323,881,Defensive
2013-14,Air Force,12,12,523,432,31,22,170,955,Offense
2013-14,Air Force,0,12,474,438,45,20,188,912,Defensive
2014-15,Air Force,13,13,482,352,68,32,292,834,Offense
2014-15,Air Force,0,13,619,494,53,26,209,1113,Defensive
2015-16,Air Force,14,14,468,384,72,44,344,852,Offense
2015-16,Air Force,0,14,594,508,42,20,163,1102,Defensive
2016-17,Air Force,13,13,433,352,57,28,319,718,Offense
2016-17,Air Force,0,13,576,510,49,22,224,1005,Defensive
2017-18,Air Force,12,12,363,374,40,12,166,737,Offense
2017-18,Air Force,0,12,502,538,54,20,315,1040,Defensive
2013-14,Air Force,12,12,523,432,31,22,170,955,Offense
2013-14,Air Force,0,12,474,438,45,20,188,912,Defensive
2014-15,Air Force,13,13,482,352,68,32,292,834,Offense
2014-15,Air Force,0,13,619,494,53,26,209,1113,Defensive
2015-16,Air Force,14,14,468,384,72,44,344,852,Offense
2015-16,Air Force,0,14,594,508,42,20,163,1102,Defensive
2016-17,Air Force,13,13,433,352,57,28,319,718,Offense
2016-17,Air Force,0,13,576,510,49,22,224,1005,Defensive
2017-18,Air Force,12,12,363,374,40,12,166,737,Offense
2017-18,Air Force,0,12,502,538,54,20,315,1040,Defensive
2013-14,Air Force,12,12,523,432,31,22,170,955,Offense
2013-14,Air Force,0,12,474,438,45,20,188,912,Defensive
2014-15,Air Force,13,13,482,352,68,32,292,834,Offense
2014-15,Air Force,0,13,619,494,53,26,209,1113,Defensive
2015-16,Air Force,14,14,468,384,72,44,344,852,Offense
2015-16,Air Force,0,14,594,508,42,20,163,1102,Defensive
2016-17,Air Force,13,13,433,352,57,28,319,718,Offense
2016-17,Air Force,0,13,576,510,49,22,224,1005,Defensive
2017-18,Air Force,12,12,363,374,40,12,166,737,Offense
2017-18,Air Force,0,12,502,538,54,20,315,1040,Defensive
2013-14,Air Force,12,12,523,432,31,22,170,955,Offense
2013-14,Air Force,0,12,474,438,45,20,188,912,Defensive
2014-15,Air Force,13,13,482,352,68,32,292,834,Offense
2014-15,Air Force,0,13,619,494,53,26,209,1113,Defensive
2015-16,Air Force,14,14,468,384,72,44,344,852,Offense
2015-16,Air Force,0,14,594,508,42,20,163,1102,Defensive
2016-17,Air Force,13,13,433,352,57,28,319,718,Offense
2016-17,Air Force,0,13,576,510,49,22,224,1005,Defensive
