Date,Opponent,Result,G,KO,KOYds,KOTB,KORet,KickRetTDs,KORetYds,Team,OffenseDefense
11/20/2014,North Carolina,L 20 - 45,1/,,515,4,3,nan,50,Duke Blue Devils,Defense
11/29/2014,Wake Forest,W 41 - 21,1/,,441,1,3,nan,75,Duke Blue Devils,Offense
11/29/2014,Wake Forest,W 41 - 21,1/,,222,nan,6,nan,147,Duke Blue Devils,Defense
12/27/2014,"Arizona St. @ El Paso, Texas",L 31 - 36,1/,,387,3,6,nan,155,Duke Blue Devils,Offense
12/27/2014,"Arizona St. @ El Paso, Texas",L 31 - 36,1/,,503,2,3,nan,134,Duke Blue Devils,Defense
09/03/2016,N.C. Central,W 49 - 6,1/,6,361,nan,2,nan,50,Duke Blue Devils,Offense
09/03/2016,N.C. Central,W 49 - 6,1/,3,182,1,6,nan,95,Duke Blue Devils,Defense
09/10/2016,Wake Forest,L 14 - 24,1/,3,186,2,1,nan,20,Duke Blue Devils,Offense
09/10/2016,Wake Forest,L 14 - 24,1/,5,325,4,1,nan,8,Duke Blue Devils,Defense
09/17/2016,@ Northwestern,L 13 - 24,1/,2,114,nan,1,nan,25,Duke Blue Devils,Offense
09/17/2016,@ Northwestern,L 13 - 24,1/,5,322,4,2,nan,26,Duke Blue Devils,Defense
09/24/2016,@ Notre Dame,W 38 - 35,1/,7,402,1,5,1/,184,Duke Blue Devils,Offense
09/24/2016,@ Notre Dame,W 38 - 35,1/,6,385,1,6,nan,118,Duke Blue Devils,Defense
10/01/2016,Virginia,L 20 - 34,1/,5,317,1,4,nan,97,Duke Blue Devils,Offense
10/01/2016,Virginia,L 20 - 34,1/,6,372,2,4,nan,94,Duke Blue Devils,Defense
10/08/2016,Army West Point,W 13 - 6,1/,3,168,nan,2,nan,43,Duke Blue Devils,Offense
10/08/2016,Army West Point,W 13 - 6,1/,2,126,nan,3,nan,39,Duke Blue Devils,Defense
10/14/2016,@ Louisville,L 14 - 24,1/,3,185,nan,5,nan,119,Duke Blue Devils,Offense
10/14/2016,@ Louisville,L 14 - 24,1/,5,308,nan,3,nan,50,Duke Blue Devils,Defense
10/29/2016,@ Georgia Tech,L 35 - 38,1/,6,368,nan,1,nan,14,Duke Blue Devils,Offense
10/29/2016,@ Georgia Tech,L 35 - 38,1/,7,455,6,6,nan,76,Duke Blue Devils,Defense
11/05/2016,Virginia Tech,L 21 - 24,1/,4,253,nan,1,nan,22,Duke Blue Devils,Offense
11/05/2016,Virginia Tech,L 21 - 24,1/,5,324,4,4,nan,77,Duke Blue Devils,Defense
11/10/2016,North Carolina,W 28 - 27,1/,5,304,nan,5,nan,136,Duke Blue Devils,Offense
11/10/2016,North Carolina,W 28 - 27,1/,6,376,1,4,nan,145,Duke Blue Devils,Defense
11/19/2016,@ Pittsburgh,L 14 - 56,1/,2,115,1,9,nan,198,Duke Blue Devils,Offense
11/19/2016,@ Pittsburgh,L 14 - 56,1/,9,547,nan,1,nan,14,Duke Blue Devils,Defense
11/26/2016,@ Miami (FL),L 21 - 40,1/,4,227,1,4,nan,74,Duke Blue Devils,Offense
11/26/2016,@ Miami (FL),L 21 - 40,1/,9,583,5,2,nan,42,Duke Blue Devils,Defense
09/01/2013,"Colorado @ Denver, Colo.",L 27 - 41,1/,,390,5,5,nan,192,Colorado St. Rams,Offense
09/01/2013,"Colorado @ Denver, Colo.",L 27 - 41,1/,,461,2,1,nan,19,Colorado St. Rams,Defense
09/07/2013,@ Tulsa,L 27 - 30,1/,,382,1,2,nan,33,Colorado St. Rams,Offense
09/07/2013,@ Tulsa,L 27 - 30,1/,,390,4,4,nan,80,Colorado St. Rams,Defense
09/14/2013,Cal Poly,W 34 - 17,1/,,444,4,nan,nan,nan,Colorado St. Rams,Offense
09/14/2013,Cal Poly,W 34 - 17,1/,,260,4,3,nan,48,Colorado St. Rams,Defense
09/21/2013,@ Alabama,L 6 - 31,1/,,179,nan,6,nan,116,Colorado St. Rams,Offense
09/21/2013,@ Alabama,L 6 - 31,1/,,373,nan,3,nan,60,Colorado St. Rams,Defense
09/28/2013,UTEP,W 59 - 42,1/,,561,2,5,nan,117,Colorado St. Rams,Offense
09/28/2013,UTEP,W 59 - 42,1/,,391,1,7,nan,126,Colorado St. Rams,Defense
10/12/2013,San Jose St.,L 27 - 34,1/,,320,2,2,nan,58,Colorado St. Rams,Offense
10/12/2013,San Jose St.,L 27 - 34,1/,,454,5,2,nan,32,Colorado St. Rams,Defense
10/19/2013,@ Wyoming,W 52 - 22,1/,,549,4,1,nan,13,Colorado St. Rams,Offense
10/19/2013,@ Wyoming,W 52 - 22,1/,,235,3,5,nan,89,Colorado St. Rams,Defense
10/26/2013,@ Hawaii,W 35 - 28,1/,,342,nan,5,nan,114,Colorado St. Rams,Offense
10/26/2013,@ Hawaii,W 35 - 28,1/,,383,1,5,nan,161,Colorado St. Rams,Defense
11/02/2013,Boise St.,L 30 - 42,1/,,309,nan,2,nan,77,Colorado St. Rams,Offense
11/02/2013,Boise St.,L 30 - 42,1/,,448,4,5,nan,100,Colorado St. Rams,Defense
11/09/2013,Nevada,W 38 - 17,1/,,507,3,2,nan,41,Colorado St. Rams,Offense
11/09/2013,Nevada,W 38 - 17,1/,,254,2,5,nan,99,Colorado St. Rams,Defense
11/16/2013,@ New Mexico,W 66 - 42,1/,,562,2,7,nan,163,Colorado St. Rams,Offense
11/16/2013,@ New Mexico,W 66 - 42,1/,,445,nan,9,1/,208,Colorado St. Rams,Defense
11/23/2013,@ Utah St.,L 0 - 13,1/,,55,nan,nan,nan,nan,Colorado St. Rams,Offense
11/23/2013,@ Utah St.,L 0 - 13,1/,,260,4,1,nan,21,Colorado St. Rams,Defense
11/30/2013,Air Force,W 58 - 13,1/,,580,4,nan,nan,nan,Colorado St. Rams,Offense
11/30/2013,Air Force,W 58 - 13,1/,,195,3,5,nan,102,Colorado St. Rams,Defense
12/21/2013,"Washington St. @ Albuquerque, N.M.",W 48 - 45,1/,,498,4,4,nan,52,Colorado St. Rams,Offense
12/21/2013,"Washington St. @ Albuquerque, N.M.",W 48 - 45,1/,,510,4,4,nan,66,Colorado St. Rams,Defense
09/05/2015,Savannah St.,W 65 - 13,1/,11,673,2,1,nan,100,Colorado St. Rams,Offense
09/05/2015,Savannah St.,W 65 - 13,1/,3,193,2,6,nan,80,Colorado St. Rams,Defense
09/12/2015,Minnesota,L 20 - 23 (1OT),1/,4,258,1,nan,nan,nan,Colorado St. Rams,Offense
09/12/2015,Minnesota,L 20 - 23 (1OT),1/,5,319,4,3,nan,71,Colorado St. Rams,Defense
09/19/2015,"Colorado @ Denver, Colo.",L 24 - 27 (1OT),1/,5,325,3,3,nan,91,Colorado St. Rams,Offense
09/19/2015,"Colorado @ Denver, Colo.",L 24 - 27 (1OT),1/,5,320,2,2,nan,58,Colorado St. Rams,Defense
09/26/2015,@ UTSA,W 33 - 31,1/,6,368,nan,6,nan,138,Colorado St. Rams,Offense
09/26/2015,@ UTSA,W 33 - 31,1/,7,424,1,6,nan,118,Colorado St. Rams,Defense
10/03/2015,@ Utah St.,L 18 - 33,1/,4,254,1,3,nan,58,Colorado St. Rams,Offense
10/03/2015,@ Utah St.,L 18 - 33,1/,8,513,5,3,nan,46,Colorado St. Rams,Defense
10/10/2015,Boise St.,L 10 - 41,1/,3,189,2,nan,nan,nan,Colorado St. Rams,Offense
10/10/2015,Boise St.,L 10 - 41,1/,7,455,7,nan,nan,nan,Colorado St. Rams,Defense
10/17/2015,Air Force,W 38 - 23,1/,7,436,4,1,nan,10,Colorado St. Rams,Offense
10/17/2015,Air Force,W 38 - 23,1/,5,274,3,3,nan,85,Colorado St. Rams,Defense
10/31/2015,San Diego St.,L 17 - 41,1/,4,262,1,2,nan,35,Colorado St. Rams,Offense
10/31/2015,San Diego St.,L 17 - 41,1/,7,455,5,3,nan,81,Colorado St. Rams,Defense
11/07/2015,@ Wyoming,W 26 - 7,1/,6,388,4,2,nan,33,Colorado St. Rams,Offense
11/07/2015,@ Wyoming,W 26 - 7,1/,2,126,nan,2,nan,43,Colorado St. Rams,Defense
11/14/2015,UNLV,W 49 - 35,1/,8,520,7,5,nan,106,Colorado St. Rams,Offense
11/14/2015,UNLV,W 49 - 35,1/,5,319,nan,1,nan,23,Colorado St. Rams,Defense
11/21/2015,@ New Mexico,W 28 - 21,1/,5,325,2,2,nan,34,Colorado St. Rams,Offense
11/21/2015,@ New Mexico,W 28 - 21,1/,4,256,2,3,nan,62,Colorado St. Rams,Defense
11/28/2015,@ Fresno St.,W 34 - 31,1/,6,365,nan,5,1/,151,Colorado St. Rams,Offense
11/28/2015,@ Fresno St.,W 34 - 31,1/,6,347,1,6,nan,125,Colorado St. Rams,Defense
12/29/2015,"Nevada @ Tucson, Ariz.",L 23 - 28,1/,6,331,nan,4,nan,96,Colorado St. Rams,Offense
12/29/2015,"Nevada @ Tucson, Ariz.",L 23 - 28,1/,7,449,3,5,1/,182,Colorado St. Rams,Defense
08/29/2014,"Colorado @ Denver, Colorado",W 31 - 17,1/,,389,4,3,nan,87,Colorado St. Rams,Offense
08/29/2014,"Colorado @ Denver, Colorado",W 31 - 17,1/,,259,1,2,nan,42,Colorado St. Rams,Defense
09/06/2014,@ Boise St.,L 24 - 37,1/,,259,nan,4,nan,88,Colorado St. Rams,Offense
09/06/2014,@ Boise St.,L 24 - 37,1/,,455,3,4,nan,88,Colorado St. Rams,Defense
09/13/2014,UC Davis,W 49 - 21,1/,,507,1,4,nan,100,Colorado St. Rams,Offense
09/13/2014,UC Davis,W 49 - 21,1/,,240,nan,7,nan,151,Colorado St. Rams,Defense
09/27/2014,@ Boston College,W 24 - 21,1/,,322,3,4,nan,86,Colorado St. Rams,Offense
09/27/2014,@ Boston College,W 24 - 21,1/,,218,nan,2,nan,37,Colorado St. Rams,Defense
10/04/2014,Tulsa,W 42 - 17,1/,,453,5,3,nan,52,Colorado St. Rams,Offense
10/04/2014,Tulsa,W 42 - 17,1/,,223,1,2,nan,40,Colorado St. Rams,Defense
10/11/2014,@ Nevada,W 31 - 24,1/,,374,5,1,nan,17,Colorado St. Rams,Offense
10/11/2014,@ Nevada,W 31 - 24,1/,,260,3,1,nan,36,Colorado St. Rams,Defense
10/18/2014,Utah St.,W 16 - 13,1/,,255,3,1,nan,32,Colorado St. Rams,Offense
10/18/2014,Utah St.,W 16 - 13,1/,,260,3,1,nan,21,Colorado St. Rams,Defense
10/25/2014,Wyoming,W 45 - 31,1/,,524,6,5,nan,118,Colorado St. Rams,Offense
10/25/2014,Wyoming,W 45 - 31,1/,,341,1,2,nan,38,Colorado St. Rams,Defense
11/01/2014,@ San Jose St.,W 38 - 31,1/,,438,1,3,nan,63,Colorado St. Rams,Offense
11/01/2014,@ San Jose St.,W 38 - 31,1/,,268,2,6,nan,114,Colorado St. Rams,Defense
11/08/2014,Hawaii,W 49 - 22,1/,,579,4,2,nan,22,Colorado St. Rams,Offense
11/08/2014,Hawaii,W 49 - 22,1/,,283,2,5,nan,94,Colorado St. Rams,Defense
11/22/2014,New Mexico,W 58 - 20,1/,,572,3,1,nan,32,Colorado St. Rams,Offense
11/22/2014,New Mexico,W 58 - 20,1/,,220,2,6,nan,134,Colorado St. Rams,Defense
11/28/2014,@ Air Force,L 24 - 27,1/,,321,3,1,nan,19,Colorado St. Rams,Offense
11/28/2014,@ Air Force,L 24 - 27,1/,,325,4,2,nan,52,Colorado St. Rams,Defense
12/20/2014,Utah @ Las Vegas,L 10 - 45,1/,,135,nan,7,nan,127,Colorado St. Rams,Offense
12/20/2014,Utah @ Las Vegas,L 10 - 45,1/,,482,1,2,nan,26,Colorado St. Rams,Defense
09/02/2016,"Colorado @ Denver, Colo.",L 7 - 44,1/,2,127,1,1,nan,35,Colorado St. Rams,Offense
09/02/2016,"Colorado @ Denver, Colo.",L 7 - 44,1/,9,585,8,1,nan,26,Colorado St. Rams,Defense
09/10/2016,UTSA,W 23 - 14,1/,5,318,3,1,nan,15,Colorado St. Rams,Offense
09/10/2016,UTSA,W 23 - 14,1/,3,184,2,2,nan,60,Colorado St. Rams,Defense
09/17/2016,Northern Colo.,W 47 - 21,1/,8,520,6,3,nan,64,Colorado St. Rams,Offense
09/17/2016,Northern Colo.,W 47 - 21,1/,4,253,1,2,nan,22,Colorado St. Rams,Defense
09/24/2016,@ Minnesota,L 24 - 31,1/,5,317,3,3,nan,53,Colorado St. Rams,Offense
09/24/2016,@ Minnesota,L 24 - 31,1/,6,383,3,2,nan,35,Colorado St. Rams,Defense
10/01/2016,Wyoming,L 17 - 38,1/,3,195,1,3,nan,63,Colorado St. Rams,Offense
10/01/2016,Wyoming,L 17 - 38,1/,7,456,4,2,nan,40,Colorado St. Rams,Defense
10/08/2016,Utah St.,W 31 - 24,1/,6,367,4,1,nan,20,Colorado St. Rams,Offense
10/08/2016,Utah St.,W 31 - 24,1/,5,300,3,1,nan,29,Colorado St. Rams,Defense
10/15/2016,@ Boise St.,L 23 - 28,1/,2,129,1,3,nan,67,Colorado St. Rams,Offense
10/15/2016,@ Boise St.,L 23 - 28,1/,5,321,2,nan,nan,nan,Colorado St. Rams,Defense
10/22/2016,@ UNLV,W 42 - 23,1/,7,449,3,2,nan,28,Colorado St. Rams,Offense
10/22/2016,@ UNLV,W 42 - 23,1/,4,205,2,4,nan,61,Colorado St. Rams,Defense
11/05/2016,Fresno St.,W 37 - 0,1/,7,455,6,1,nan,23,Colorado St. Rams,Offense
11/05/2016,Fresno St.,W 37 - 0,1/,1,65,nan,1,nan,19,Colorado St. Rams,Defense
11/12/2016,@ Air Force,L 46 - 49,1/,8,520,8,4,nan,93,Colorado St. Rams,Offense
11/12/2016,@ Air Force,L 46 - 49,1/,8,500,4,nan,nan,nan,Colorado St. Rams,Defense
11/19/2016,New Mexico,W 49 - 31,1/,8,463,4,nan,nan,nan,Colorado St. Rams,Offense
11/19/2016,New Mexico,W 49 - 31,1/,5,295,4,4,nan,77,Colorado St. Rams,Defense
11/26/2016,@ San Diego St.,W 63 - 31,1/,10,546,1,4,nan,87,Colorado St. Rams,Offense
11/26/2016,@ San Diego St.,W 63 - 31,1/,6,363,2,9,nan,169,Colorado St. Rams,Defense
12/22/2016,"Idaho @ Boise, Idaho",L 50 - 61,1/,4,229,nan,9,nan,163,Colorado St. Rams,Offense
12/22/2016,"Idaho @ Boise, Idaho",L 50 - 61,1/,10/,535,1,4,nan,90,Colorado St. Rams,Defense
08/30/2014,@ Southern California,L 13 - 52,1/,,180,nan,4,nan,72,Fresno St. Bulldogs,Offense
08/30/2014,@ Southern California,L 13 - 52,1/,,542,4,3,nan,43,Fresno St. Bulldogs,Defense
09/06/2014,@ Utah,L 27 - 59,1/,,256,nan,3,nan,61,Fresno St. Bulldogs,Offense
09/06/2014,@ Utah,L 27 - 59,1/,,643,6,3,nan,66,Fresno St. Bulldogs,Defense
09/13/2014,Nebraska,L 19 - 55,1/,,182,nan,6,nan,135,Fresno St. Bulldogs,Offense
09/13/2014,Nebraska,L 19 - 55,1/,,704,5,3,nan,38,Fresno St. Bulldogs,Defense
09/20/2014,Southern Utah,W 56 - 16,1/,,529,2,1,nan,9,Fresno St. Bulldogs,Offense
09/20/2014,Southern Utah,W 56 - 16,1/,,206,1,6,nan,100,Fresno St. Bulldogs,Defense
09/26/2014,@ New Mexico,W 35 - 24,1/,,353,2,2,nan,35,Fresno St. Bulldogs,Offense
09/26/2014,@ New Mexico,W 35 - 24,1/,,314,3,4,nan,65,Fresno St. Bulldogs,Defense
10/03/2014,San Diego St.,W 24 - 13,1/,,277,nan,4,nan,89,Fresno St. Bulldogs,Offense
10/03/2014,San Diego St.,W 24 - 13,1/,,255,nan,5,nan,123,Fresno St. Bulldogs,Defense
10/10/2014,@ UNLV,L 27 - 30 (1OT),1/,,300,nan,4,nan,73,Fresno St. Bulldogs,Offense
10/10/2014,@ UNLV,L 27 - 30 (1OT),1/,,370,2,3,nan,46,Fresno St. Bulldogs,Defense
10/17/2014,@ Boise St.,L 27 - 37,1/,,329,1,3,nan,42,Fresno St. Bulldogs,Offense
10/17/2014,@ Boise St.,L 27 - 37,1/,,508,5,5,nan,78,Fresno St. Bulldogs,Defense
11/01/2014,Wyoming,L 17 - 45,1/,,202,nan,5,nan,114,Fresno St. Bulldogs,Offense
11/01/2014,Wyoming,L 17 - 45,1/,,354,nan,3,nan,46,Fresno St. Bulldogs,Defense
11/08/2014,San Jose St.,W 38 - 24,1/,,439,3,5,nan,73,Fresno St. Bulldogs,Offense
11/08/2014,San Jose St.,W 38 - 24,1/,,299,nan,4,nan,73,Fresno St. Bulldogs,Defense
11/22/2014,@ Nevada,W 40 - 20,1/,,426,4,3,nan,47,Fresno St. Bulldogs,Offense
11/22/2014,@ Nevada,W 40 - 20,1/,,310,2,2,nan,35,Fresno St. Bulldogs,Defense
11/29/2014,Hawaii,W 28 - 21,1/,,286,2,2,nan,56,Fresno St. Bulldogs,Offense
11/29/2014,Hawaii,W 28 - 21,1/,,191,1,3,nan,62,Fresno St. Bulldogs,Defense
12/06/2014,@ Boise St.,L 14 - 28,1/,,128,nan,2,nan,25,Fresno St. Bulldogs,Offense
12/06/2014,@ Boise St.,L 14 - 28,1/,,322,3,2,nan,33,Fresno St. Bulldogs,Defense
12/24/2014,"Rice @ Honolulu, HI",L 6 - 30,1/,,189,1,2,nan,40,Fresno St. Bulldogs,Offense
12/24/2014,"Rice @ Honolulu, HI",L 6 - 30,1/,,374,4,2,nan,41,Fresno St. Bulldogs,Defense
08/29/2013,Rutgers,W 52 - 51 (1OT),1/,,352,1,7,nan,181,Fresno St. Bulldogs,Offense
08/29/2013,Rutgers,W 52 - 51 (1OT),1/,,593,2,2,1/,113,Fresno St. Bulldogs,Defense
09/07/2013,Cal Poly,W 41 - 25,1/,,520,3,2,nan,15,Fresno St. Bulldogs,Offense
09/07/2013,Cal Poly,W 41 - 25,1/,,256,2,5,nan,96,Fresno St. Bulldogs,Defense
09/20/2013,Boise St.,W 41 - 40,1/,,478,2,6,nan,124,Fresno St. Bulldogs,Offense
09/20/2013,Boise St.,W 41 - 40,1/,,420,nan,6,nan,165,Fresno St. Bulldogs,Defense
09/28/2013,@ Hawaii,W 42 - 37,1/,,401,2,4,nan,98,Fresno St. Bulldogs,Offense
09/28/2013,@ Hawaii,W 42 - 37,1/,,407,2,4,nan,106,Fresno St. Bulldogs,Defense
10/05/2013,@ Idaho,W 61 - 14,1/,,609,4,2,nan,59,Fresno St. Bulldogs,Offense
10/05/2013,@ Idaho,W 61 - 14,1/,,240,1,5,nan,128,Fresno St. Bulldogs,Defense
10/19/2013,UNLV,W 38 - 14,1/,,384,nan,2,nan,39,Fresno St. Bulldogs,Offense
10/19/2013,UNLV,W 38 - 14,1/,,181,1,7,nan,158,Fresno St. Bulldogs,Defense
10/26/2013,@ San Diego St.,W 35 - 28 (1OT),1/,,221,nan,3,nan,57,Fresno St. Bulldogs,Offense
10/26/2013,@ San Diego St.,W 35 - 28 (1OT),1/,,252,1,4,nan,101,Fresno St. Bulldogs,Defense
11/02/2013,Nevada,W 41 - 23,1/,,467,1,5,nan,80,Fresno St. Bulldogs,Offense
11/02/2013,Nevada,W 41 - 23,1/,,275,nan,6,nan,93,Fresno St. Bulldogs,Defense
11/09/2013,@ Wyoming,W 48 - 10,1/,,516,6,2,nan,17,Fresno St. Bulldogs,Offense
11/09/2013,@ Wyoming,W 48 - 10,1/,,184,1,2,nan,36,Fresno St. Bulldogs,Defense
11/23/2013,New Mexico,W 69 - 28,1/,,573,nan,5,nan,100,Fresno St. Bulldogs,Offense
11/23/2013,New Mexico,W 69 - 28,1/,,297,nan,10/,1/,269/,Fresno St. Bulldogs,Defense
11/29/2013,@ San Jose St.,L 52 - 62,1/,,410,2,8,nan,151,Fresno St. Bulldogs,Offense
11/29/2013,@ San Jose St.,L 52 - 62,1/,,492,1,2,nan,37,Fresno St. Bulldogs,Defense
12/07/2013,Utah St.,W 24 - 17,1/,,271,nan,4,nan,30,Fresno St. Bulldogs,Offense
12/07/2013,Utah St.,W 24 - 17,1/,,170,nan,4,nan,87,Fresno St. Bulldogs,Defense
12/21/2013,Southern California @ Las Vegas,L 20 - 45,1/,,167,nan,6,nan,119,Fresno St. Bulldogs,Offense
12/21/2013,Southern California @ Las Vegas,L 20 - 45,1/,,485,1,3,nan,14,Fresno St. Bulldogs,Defense
09/03/2016,@ Nebraska,L 10 - 43,1/,2,130,1,5,nan,102,Fresno St. Bulldogs,Offense
09/03/2016,@ Nebraska,L 10 - 43,1/,7,444,2,1,nan,32,Fresno St. Bulldogs,Defense
09/10/2016,Sacramento St.,W 31 - 3,1/,6,386,3,nan,nan,nan,Fresno St. Bulldogs,Offense
09/10/2016,Sacramento St.,W 31 - 3,1/,1,65,1,3,nan,43,Fresno St. Bulldogs,Defense
09/17/2016,@ Toledo,L 17 - 52,1/,4,243,1,7,nan,133,Fresno St. Bulldogs,Offense
09/17/2016,@ Toledo,L 17 - 52,1/,9,545,1,3,nan,27,Fresno St. Bulldogs,Defense
09/24/2016,Tulsa,L 41 - 48 (2OT),1/,8,484,1,5,nan,165,Fresno St. Bulldogs,Offense
09/24/2016,Tulsa,L 41 - 48 (2OT),1/,8,493,3,6,nan,98,Fresno St. Bulldogs,Defense
10/01/2016,@ UNLV,L 20 - 45,1/,5,307,nan,6,nan,124,Fresno St. Bulldogs,Offense
10/01/2016,@ UNLV,L 20 - 45,1/,8,504,2,4,nan,86,Fresno St. Bulldogs,Defense
10/08/2016,@ Nevada,L 22 - 27,1/,6,384,4,nan,nan,nan,Fresno St. Bulldogs,Offense
10/08/2016,@ Nevada,L 22 - 27,1/,5,314,4,2,nan,34,Fresno St. Bulldogs,Defense
10/14/2016,San Diego St.,L 3 - 17,1/,2,122,nan,4,nan,91,Fresno St. Bulldogs,Offense
10/14/2016,San Diego St.,L 3 - 17,1/,4,256,nan,2,nan,41,Fresno St. Bulldogs,Defense
10/22/2016,@ Utah St.,L 20 - 38,1/,5,301,2,4,nan,69,Fresno St. Bulldogs,Offense
10/22/2016,@ Utah St.,L 20 - 38,1/,7,429,3,3,nan,47,Fresno St. Bulldogs,Defense
10/28/2016,Air Force,L 21 - 31,1/,4,240,nan,6,nan,113,Fresno St. Bulldogs,Offense
10/28/2016,Air Force,L 21 - 31,1/,6,331,nan,4,nan,69,Fresno St. Bulldogs,Defense
11/05/2016,@ Colorado St.,L 0 - 37,1/,1,65,nan,1,nan,19,Fresno St. Bulldogs,Offense
11/05/2016,@ Colorado St.,L 0 - 37,1/,7,455,6,1,nan,23,Fresno St. Bulldogs,Defense
11/19/2016,Hawaii,L 13 - 14,1/,4,216,nan,2,nan,42,Fresno St. Bulldogs,Offense
11/19/2016,Hawaii,L 13 - 14,1/,3,180,1,2,nan,40,Fresno St. Bulldogs,Defense
11/26/2016,San Jose St.,L 14 - 16,1/,3,185,nan,1,nan,19,Fresno St. Bulldogs,Offense
11/26/2016,San Jose St.,L 14 - 16,1/,5,324,4,3,nan,63,Fresno St. Bulldogs,Defense
09/03/2015,Abilene Christian,W 34 - 13,1/,7,433,4,2,nan,33,Fresno St. Bulldogs,Offense
09/03/2015,Abilene Christian,W 34 - 13,1/,2,122,nan,2,nan,29,Fresno St. Bulldogs,Defense
09/12/2015,@ Ole Miss,L 21 - 73,1/,3,186,1,5,nan,77,Fresno St. Bulldogs,Offense
09/12/2015,@ Ole Miss,L 21 - 73,1/,12/,765,7,2,nan,29,Fresno St. Bulldogs,Defense
09/19/2015,Utah,L 24 - 45,1/,4,233,1,8,nan,145,Fresno St. Bulldogs,Offense
09/19/2015,Utah,L 24 - 45,1/,8,469,nan,3,1/,115,Fresno St. Bulldogs,Defense
09/26/2015,@ San Jose St.,L 23 - 49,1/,5,325,5,8,nan,209,Fresno St. Bulldogs,Offense
09/26/2015,@ San Jose St.,L 23 - 49,1/,8,435,nan,nan,nan,nan,Fresno St. Bulldogs,Defense
10/03/2015,@ San Diego St.,L 7 - 21,1/,2,130,nan,1,nan,19,Fresno St. Bulldogs,Offense
10/03/2015,@ San Diego St.,L 7 - 21,1/,4,260,3,2,nan,40,Fresno St. Bulldogs,Defense
10/10/2015,Utah St.,L 14 - 56,1/,4,255,2,4,nan,85,Fresno St. Bulldogs,Offense
10/10/2015,Utah St.,L 14 - 56,1/,9,572,5,2,nan,36,Fresno St. Bulldogs,Defense
10/16/2015,UNLV,W 31 - 28,1/,6,390,5,3,nan,44,Fresno St. Bulldogs,Offense
10/16/2015,UNLV,W 31 - 28,1/,5,311,2,1,nan,23,Fresno St. Bulldogs,Defense
10/24/2015,@ Air Force,L 14 - 42,1/,3,195,3,1,nan,21,Fresno St. Bulldogs,Offense
10/24/2015,@ Air Force,L 14 - 42,1/,7,455,6,nan,nan,nan,Fresno St. Bulldogs,Defense
11/05/2015,Nevada,L 16 - 30,1/,4,217,nan,5,nan,108,Fresno St. Bulldogs,Offense
11/05/2015,Nevada,L 16 - 30,1/,7,429,2,4,nan,55,Fresno St. Bulldogs,Defense
11/14/2015,@ Hawaii,W 42 - 14,1/,7,434,2,nan,nan,nan,Fresno St. Bulldogs,Offense
11/14/2015,@ Hawaii,W 42 - 14,1/,3,195,3,5,nan,86,Fresno St. Bulldogs,Defense
11/21/2015,@ BYU,L 10 - 52,1/,3,191,1,7,nan,149,Fresno St. Bulldogs,Offense
11/21/2015,@ BYU,L 10 - 52,1/,9,566,2,2,nan,51,Fresno St. Bulldogs,Defense
11/28/2015,Colorado St.,L 31 - 34,1/,6,347,1,6,nan,125,Fresno St. Bulldogs,Offense
11/28/2015,Colorado St.,L 31 - 34,1/,6,365,nan,5,1/,151,Fresno St. Bulldogs,Defense
08/30/2014,"Oklahoma St. @ Arlington, Texas",W 37 - 31,1/,,464,1,3,nan,44,Florida St. Seminoles,Offense
08/30/2014,"Oklahoma St. @ Arlington, Texas",W 37 - 31,1/,,227,1,7,nan,159,Florida St. Seminoles,Defense
09/06/2014,The Citadel,W 37 - 12,1/,,525,8/,1,nan,12,Florida St. Seminoles,Offense
09/06/2014,The Citadel,W 37 - 12,1/,,118,nan,nan,nan,nan,Florida St. Seminoles,Defense
09/20/2014,Clemson,W 23 - 17 (1OT),1/,,252,2,4,nan,65,Florida St. Seminoles,Offense
09/20/2014,Clemson,W 23 - 17 (1OT),1/,,210,nan,2,nan,25,Florida St. Seminoles,Defense
09/27/2014,@ NC State,W 56 - 41,1/,,560,2,5,nan,101,Florida St. Seminoles,Offense
09/27/2014,@ NC State,W 56 - 41,1/,,491,3,7,nan,90,Florida St. Seminoles,Defense
10/04/2014,Wake Forest,W 43 - 3,1/,,631,3,2,nan,54,Florida St. Seminoles,Offense
10/04/2014,Wake Forest,W 43 - 3,1/,,127,nan,6,nan,115,Florida St. Seminoles,Defense
10/11/2014,@ Syracuse,W 38 - 20,1/,,432,3,2,nan,36,Florida St. Seminoles,Offense
10/11/2014,@ Syracuse,W 38 - 20,1/,,312,2,4,nan,85,Florida St. Seminoles,Defense
10/18/2014,Notre Dame,W 31 - 27,1/,,370,2,3,nan,64,Florida St. Seminoles,Offense
10/18/2014,Notre Dame,W 31 - 27,1/,,376,2,4,nan,67,Florida St. Seminoles,Defense
10/30/2014,@ Louisville,W 42 - 31,1/,,443,4,5,nan,104,Florida St. Seminoles,Offense
10/30/2014,@ Louisville,W 42 - 31,1/,,384,1,3,nan,46,Florida St. Seminoles,Defense
11/08/2014,Virginia,W 34 - 20,1/,,444,5,2,nan,35,Florida St. Seminoles,Offense
11/08/2014,Virginia,W 34 - 20,1/,,260,2,1,nan,33,Florida St. Seminoles,Defense
11/15/2014,@ Miami (FL),W 30 - 26,1/,,455,6,4,nan,99,Florida St. Seminoles,Offense
11/15/2014,@ Miami (FL),W 30 - 26,1/,,383,2,1,nan,26,Florida St. Seminoles,Defense
