Date,Opponent,Result,G,KO,KOYds,KOTB,KORet,KickRetTDs,KORetYds,Team,OffenseDefense
09/07/2013,N.C. A&T,L 21 - 24,1/,,298,2,1,1/,91,Appalachian St. Mountaineers,Defense
09/21/2013,@ Elon,W 31 - 21,1/,,361,1,2,nan,34,Appalachian St. Mountaineers,Offense
09/21/2013,@ Elon,W 31 - 21,1/,,254,2,5,nan,140,Appalachian St. Mountaineers,Defense
09/28/2013,Charleston So.,L 24 - 27,1/,,286,nan,3,nan,63,Appalachian St. Mountaineers,Offense
09/28/2013,Charleston So.,L 24 - 27,1/,,286,1,3,nan,59,Appalachian St. Mountaineers,Defense
10/05/2013,@ The Citadel,L 28 - 31 (1OT),1/,,322,4,3,nan,47,Appalachian St. Mountaineers,Offense
10/05/2013,@ The Citadel,L 28 - 31 (1OT),1/,,308,1,1,nan,5,Appalachian St. Mountaineers,Defense
10/12/2013,Samford,L 10 - 34,1/,,130,1,5,nan,93,Appalachian St. Mountaineers,Offense
10/12/2013,Samford,L 10 - 34,1/,,418,2,1,nan,20,Appalachian St. Mountaineers,Defense
10/19/2013,@ Furman,L 10 - 27,1/,,129,1,1,nan,12,Appalachian St. Mountaineers,Offense
10/19/2013,@ Furman,L 10 - 27,1/,,390,5,1,nan,34,Appalachian St. Mountaineers,Defense
10/26/2013,Ga. Southern,W 38 - 14,1/,,415,3,1,nan,29,Appalachian St. Mountaineers,Offense
10/26/2013,Ga. Southern,W 38 - 14,1/,,130,1,4,nan,75,Appalachian St. Mountaineers,Defense
11/02/2013,Chattanooga,L 28 - 35,1/,,320,4,6,nan,155,Appalachian St. Mountaineers,Offense
11/02/2013,Chattanooga,L 28 - 35,1/,,370,nan,nan,nan,nan,Appalachian St. Mountaineers,Defense
11/09/2013,@ Georgia,L 6 - 45,1/,,129,nan,7,nan,159,Appalachian St. Mountaineers,Offense
11/09/2013,@ Georgia,L 6 - 45,1/,,495,1,3,nan,19,Appalachian St. Mountaineers,Defense
11/16/2013,@ Wofford,W 33 - 21,1/,,450,1,1,nan,26,Appalachian St. Mountaineers,Offense
11/16/2013,@ Wofford,W 33 - 21,1/,,195,2,6,nan,170/,Appalachian St. Mountaineers,Defense
11/23/2013,Western Caro.,W 48 - 27,1/,,610,5,4,nan,93,Appalachian St. Mountaineers,Offense
11/23/2013,Western Caro.,W 48 - 27,1/,,273,1,4,nan,82,Appalachian St. Mountaineers,Defense
09/01/2016,@ Tennessee,L 13 - 20 (1OT),1/,3,195,2,3,nan,46,Appalachian St. Mountaineers,Offense
09/01/2016,@ Tennessee,L 13 - 20 (1OT),1/,4,256,1,1,nan,41,Appalachian St. Mountaineers,Defense
09/10/2016,Old Dominion,W 31 - 7,1/,6,390,4,2,nan,28,Appalachian St. Mountaineers,Offense
09/10/2016,Old Dominion,W 31 - 7,1/,2,108,nan,2,nan,50,Appalachian St. Mountaineers,Defense
09/17/2016,Miami (FL),L 10 - 45,1/,3,195,1,1,nan,21,Appalachian St. Mountaineers,Offense
09/17/2016,Miami (FL),L 10 - 45,1/,8,511,6,2,nan,60,Appalachian St. Mountaineers,Defense
09/24/2016,@ Akron,W 45 - 38,1/,8,480,5,7/,nan,175/,Appalachian St. Mountaineers,Offense
09/24/2016,@ Akron,W 45 - 38,1/,7,422,nan,2,nan,9,Appalachian St. Mountaineers,Defense
10/01/2016,Georgia St.,W 17 - 3,1/,4,260,4,1,nan,14,Appalachian St. Mountaineers,Offense
10/01/2016,Georgia St.,W 17 - 3,1/,2,102,nan,nan,nan,nan,Appalachian St. Mountaineers,Defense
10/12/2016,@ Louisiana,W 24 - 0,1/,5,325,3,1,nan,18,Appalachian St. Mountaineers,Offense
10/12/2016,@ Louisiana,W 24 - 0,1/,1,62,nan,2,nan,35,Appalachian St. Mountaineers,Defense
10/22/2016,Idaho,W 37 - 19,1/,8,517,5,2,nan,51,Appalachian St. Mountaineers,Offense
10/22/2016,Idaho,W 37 - 19,1/,5,241,1,3,nan,92,Appalachian St. Mountaineers,Defense
10/27/2016,@ Ga. Southern,W 34 - 10,1/,7,452,2,3,nan,66,Appalachian St. Mountaineers,Offense
