Date,Opponent,Result,SackUA,G,SackA,SackYds,Sacks,Team,OffenseDefense
09/21/2013,@ Elon,W 31 - 21,nan,1/,nan,nan,nan,Appalachian St. Mountaineers,Offense
09/21/2013,@ Elon,W 31 - 21,nan,1/,nan,14,2.0,Appalachian St. Mountaineers,Defense
09/28/2013,Charleston So.,L 24 - 27,nan,1/,nan,2,1.0,Appalachian St. Mountaineers,Offense
09/28/2013,Charleston So.,L 24 - 27,nan,1/,nan,3,1.0,Appalachian St. Mountaineers,Defense
10/05/2013,@ The Citadel,L 28 - 31 (1OT),nan,1/,nan,nan,nan,Appalachian St. Mountaineers,Offense
10/05/2013,@ The Citadel,L 28 - 31 (1OT),nan,1/,nan,7,1.0,Appalachian St. Mountaineers,Defense
10/12/2013,Samford,L 10 - 34,nan,1/,nan,nan,nan,Appalachian St. Mountaineers,Offense
10/12/2013,Samford,L 10 - 34,nan,1/,nan,58/,5.0,Appalachian St. Mountaineers,Defense
10/19/2013,@ Furman,L 10 - 27,nan,1/,nan,nan,nan,Appalachian St. Mountaineers,Offense
10/19/2013,@ Furman,L 10 - 27,nan,1/,nan,1,1.0,Appalachian St. Mountaineers,Defense
10/26/2013,Ga. Southern,W 38 - 14,nan,1/,nan,5,1.0,Appalachian St. Mountaineers,Offense
10/26/2013,Ga. Southern,W 38 - 14,nan,1/,nan,12,2.0,Appalachian St. Mountaineers,Defense
11/02/2013,Chattanooga,L 28 - 35,nan,1/,nan,6,1.0,Appalachian St. Mountaineers,Offense
11/02/2013,Chattanooga,L 28 - 35,nan,1/,nan,14,3.0,Appalachian St. Mountaineers,Defense
11/09/2013,@ Georgia,L 6 - 45,nan,1/,nan,nan,nan,Appalachian St. Mountaineers,Offense
11/09/2013,@ Georgia,L 6 - 45,nan,1/,nan,32,3.0,Appalachian St. Mountaineers,Defense
11/16/2013,@ Wofford,W 33 - 21,nan,1/,nan,6,1.0,Appalachian St. Mountaineers,Offense
11/16/2013,@ Wofford,W 33 - 21,nan,1/,nan,nan,nan,Appalachian St. Mountaineers,Defense
11/23/2013,Western Caro.,W 48 - 27,nan,1/,nan,5,1.0,Appalachian St. Mountaineers,Offense
11/23/2013,Western Caro.,W 48 - 27,nan,1/,nan,nan,nan,Appalachian St. Mountaineers,Defense
09/01/2016,@ Tennessee,L 13 - 20 (1OT),nan,1/,nan,19,2.0,Appalachian St. Mountaineers,Offense
09/01/2016,@ Tennessee,L 13 - 20 (1OT),nan,1/,nan,nan,nan,Appalachian St. Mountaineers,Defense
09/10/2016,Old Dominion,W 31 - 7,nan,1/,nan,8,3.0,Appalachian St. Mountaineers,Offense
09/10/2016,Old Dominion,W 31 - 7,nan,1/,nan,8,3.0,Appalachian St. Mountaineers,Defense
09/17/2016,Miami (FL),L 10 - 45,nan,1/,nan,8,1.0,Appalachian St. Mountaineers,Offense
