Date,Opponent,Result,SackUA,G,SackA,SackYds,Sacks,Team,OffenseDefense
11/26/2016,Purdue,W 26 - 24,nan,1/,nan,42,3.0,Indiana Hoosiers,Defense
12/28/2016,"Utah @ Santa Clara, CA",L 24 - 26,nan,1/,nan,30,5.0,Indiana Hoosiers,Offense
12/28/2016,"Utah @ Santa Clara, CA",L 24 - 26,nan,1/,nan,23,3.0,Indiana Hoosiers,Defense
08/30/2014,Indiana St.,W 28 - 10,nan,1/,nan,33,4.0,Indiana Hoosiers,Offense
08/30/2014,Indiana St.,W 28 - 10,nan,1/,nan,5,2.0,Indiana Hoosiers,Defense
09/13/2014,@ Bowling Green,L 42 - 45,nan,1/,nan,3,1.0,Indiana Hoosiers,Offense
09/13/2014,@ Bowling Green,L 42 - 45,nan,1/,nan,nan,nan,Indiana Hoosiers,Defense
09/20/2014,@ Missouri,W 31 - 27,nan,1/,nan,17,2.0,Indiana Hoosiers,Offense
09/20/2014,@ Missouri,W 31 - 27,nan,1/,nan,13,2.0,Indiana Hoosiers,Defense
09/27/2014,Maryland,L 15 - 37,nan,1/,nan,13,2.0,Indiana Hoosiers,Offense
09/27/2014,Maryland,L 15 - 37,nan,1/,nan,25,3.0,Indiana Hoosiers,Defense
10/04/2014,North Texas,W 49 - 24,nan,1/,nan,12,2.0,Indiana Hoosiers,Offense
10/04/2014,North Texas,W 49 - 24,nan,1/,nan,nan,nan,Indiana Hoosiers,Defense
10/11/2014,@ Iowa,L 29 - 45,nan,1/,nan,11,2.0,Indiana Hoosiers,Offense
10/11/2014,@ Iowa,L 29 - 45,nan,1/,nan,13,2.0,Indiana Hoosiers,Defense
10/18/2014,Michigan St.,L 17 - 56,nan,1/,nan,4,1.0,Indiana Hoosiers,Offense
10/18/2014,Michigan St.,L 17 - 56,nan,1/,nan,17,4.0,Indiana Hoosiers,Defense
11/01/2014,@ Michigan,L 10 - 34,nan,1/,nan,2,1.0,Indiana Hoosiers,Offense
11/01/2014,@ Michigan,L 10 - 34,nan,1/,nan,14,2.0,Indiana Hoosiers,Defense
11/08/2014,Penn St.,L 7 - 13,nan,1/,nan,23,5.0,Indiana Hoosiers,Offense
11/08/2014,Penn St.,L 7 - 13,nan,1/,nan,8,1.0,Indiana Hoosiers,Defense
11/15/2014,@ Rutgers,L 23 - 45,nan,1/,nan,nan,nan,Indiana Hoosiers,Offense
11/15/2014,@ Rutgers,L 23 - 45,nan,1/,nan,55,5.0,Indiana Hoosiers,Defense
11/22/2014,@ Ohio St.,L 27 - 42,nan,1/,nan,14,3.0,Indiana Hoosiers,Offense
11/22/2014,@ Ohio St.,L 27 - 42,nan,1/,nan,14,3.0,Indiana Hoosiers,Defense
11/29/2014,Purdue,W 23 - 16,nan,1/,nan,nan,nan,Indiana Hoosiers,Offense
11/29/2014,Purdue,W 23 - 16,nan,1/,nan,15,2.0,Indiana Hoosiers,Defense
08/29/2013,Indiana St.,W 73 - 35,nan,1/,nan,19,4.0,Indiana Hoosiers,Offense
08/29/2013,Indiana St.,W 73 - 35,nan,1/,nan,nan,nan,Indiana Hoosiers,Defense
09/07/2013,Navy,L 35 - 41,nan,1/,nan,11,1.0,Indiana Hoosiers,Offense
09/07/2013,Navy,L 35 - 41,nan,1/,nan,nan,nan,Indiana Hoosiers,Defense
09/14/2013,Bowling Green,W 42 - 10,nan,1/,nan,8,2.0,Indiana Hoosiers,Offense
09/14/2013,Bowling Green,W 42 - 10,nan,1/,nan,24,4.0,Indiana Hoosiers,Defense
09/21/2013,Missouri,L 28 - 45,nan,1/,nan,17,3.0,Indiana Hoosiers,Offense
09/21/2013,Missouri,L 28 - 45,nan,1/,nan,nan,nan,Indiana Hoosiers,Defense
10/05/2013,Penn St.,W 44 - 24,nan,1/,nan,5,1.0,Indiana Hoosiers,Offense
10/05/2013,Penn St.,W 44 - 24,nan,1/,nan,17,3.0,Indiana Hoosiers,Defense
10/12/2013,@ Michigan St.,L 28 - 42,nan,1/,nan,9,1.0,Indiana Hoosiers,Offense
10/12/2013,@ Michigan St.,L 28 - 42,nan,1/,nan,18,2.0,Indiana Hoosiers,Defense
10/19/2013,@ Michigan,L 47 - 63,nan,1/,nan,22,2.0,Indiana Hoosiers,Offense
10/19/2013,@ Michigan,L 47 - 63,nan,1/,nan,22,2.0,Indiana Hoosiers,Defense
11/02/2013,Minnesota,L 39 - 42,nan,1/,nan,3,1.0,Indiana Hoosiers,Offense
11/02/2013,Minnesota,L 39 - 42,nan,1/,nan,nan,nan,Indiana Hoosiers,Defense
11/09/2013,Illinois,W 52 - 35,nan,1/,nan,8,1.0,Indiana Hoosiers,Offense
11/09/2013,Illinois,W 52 - 35,nan,1/,nan,14,3.0,Indiana Hoosiers,Defense
11/16/2013,@ Wisconsin,L 3 - 51,nan,1/,nan,5,1.0,Indiana Hoosiers,Offense
11/16/2013,@ Wisconsin,L 3 - 51,nan,1/,nan,nan,nan,Indiana Hoosiers,Defense
11/23/2013,@ Ohio St.,L 14 - 42,nan,1/,nan,6,1.0,Indiana Hoosiers,Offense
11/23/2013,@ Ohio St.,L 14 - 42,nan,1/,nan,26,4.0,Indiana Hoosiers,Defense
11/30/2013,Purdue,W 56 - 36,nan,1/,nan,13,2.0,Indiana Hoosiers,Offense
11/30/2013,Purdue,W 56 - 36,nan,1/,nan,nan,nan,Indiana Hoosiers,Defense
09/03/2016,Murray St.,W 52 - 3,nan,1/,nan,29,6.0,Illinois Fighting Illini,Offense
09/03/2016,Murray St.,W 52 - 3,nan,1/,nan,11,2.0,Illinois Fighting Illini,Defense
09/10/2016,North Carolina,L 23 - 48,nan,1/,nan,7,2.0,Illinois Fighting Illini,Offense
09/10/2016,North Carolina,L 23 - 48,nan,1/,nan,10,2.0,Illinois Fighting Illini,Defense
09/17/2016,Western Mich.,L 10 - 34,nan,1/,nan,16,5.0,Illinois Fighting Illini,Offense
09/17/2016,Western Mich.,L 10 - 34,nan,1/,nan,31,4.0,Illinois Fighting Illini,Defense
10/01/2016,@ Nebraska,L 16 - 31,nan,1/,nan,nan,nan,Illinois Fighting Illini,Offense
10/01/2016,@ Nebraska,L 16 - 31,nan,1/,nan,9,1.0,Illinois Fighting Illini,Defense
10/08/2016,Purdue,L 31 - 34 (1OT),nan,1/,nan,nan,nan,Illinois Fighting Illini,Offense
10/08/2016,Purdue,L 31 - 34 (1OT),nan,1/,nan,nan,nan,Illinois Fighting Illini,Defense
10/15/2016,@ Rutgers,W 24 - 7,nan,1/,nan,10,2.0,Illinois Fighting Illini,Offense
10/15/2016,@ Rutgers,W 24 - 7,nan,1/,nan,15,3.0,Illinois Fighting Illini,Defense
10/22/2016,@ Michigan,L 8 - 41,nan,1/,nan,17,2.0,Illinois Fighting Illini,Offense
10/22/2016,@ Michigan,L 8 - 41,nan,1/,nan,13,1.0,Illinois Fighting Illini,Defense
10/29/2016,Minnesota,L 17 - 40,nan,1/,nan,22,2.0,Illinois Fighting Illini,Offense
10/29/2016,Minnesota,L 17 - 40,nan,1/,nan,20,2.0,Illinois Fighting Illini,Defense
11/05/2016,Michigan St.,W 31 - 27,nan,1/,nan,12,3.0,Illinois Fighting Illini,Offense
11/05/2016,Michigan St.,W 31 - 27,nan,1/,nan,nan,nan,Illinois Fighting Illini,Defense
11/12/2016,@ Wisconsin,L 3 - 48,nan,1/,nan,5,1.0,Illinois Fighting Illini,Offense
11/12/2016,@ Wisconsin,L 3 - 48,nan,1/,nan,nan,nan,Illinois Fighting Illini,Defense
11/19/2016,Iowa,L 0 - 28,nan,1/,nan,nan,nan,Illinois Fighting Illini,Offense
11/19/2016,Iowa,L 0 - 28,nan,1/,nan,10,2.0,Illinois Fighting Illini,Defense
11/26/2016,@ Northwestern,L 21 - 42,nan,1/,nan,33,5.0,Illinois Fighting Illini,Offense
11/26/2016,@ Northwestern,L 21 - 42,nan,1/,nan,24,3.0,Illinois Fighting Illini,Defense
08/30/2014,Youngstown St.,W 28 - 17,nan,1/,nan,17,3.0,Illinois Fighting Illini,Offense
08/30/2014,Youngstown St.,W 28 - 17,nan,1/,nan,7,1.0,Illinois Fighting Illini,Defense
09/06/2014,Western Ky.,W 42 - 34,nan,1/,nan,15,2.0,Illinois Fighting Illini,Offense
09/06/2014,Western Ky.,W 42 - 34,nan,1/,nan,11,1.0,Illinois Fighting Illini,Defense
09/13/2014,@ Washington,L 19 - 44,nan,1/,nan,9,1.0,Illinois Fighting Illini,Offense
09/13/2014,@ Washington,L 19 - 44,nan,1/,nan,29,6.0,Illinois Fighting Illini,Defense
09/20/2014,Texas St.,W 42 - 35,nan,1/,nan,28,4.0,Illinois Fighting Illini,Offense
09/20/2014,Texas St.,W 42 - 35,nan,1/,nan,4,1.0,Illinois Fighting Illini,Defense
09/27/2014,@ Nebraska,L 14 - 45,nan,1/,nan,13,2.0,Illinois Fighting Illini,Offense
09/27/2014,@ Nebraska,L 14 - 45,nan,1/,nan,28,4.0,Illinois Fighting Illini,Defense
10/04/2014,Purdue,L 27 - 38,nan,1/,nan,nan,nan,Illinois Fighting Illini,Offense
10/04/2014,Purdue,L 27 - 38,nan,1/,nan,22,3.0,Illinois Fighting Illini,Defense
10/11/2014,@ Wisconsin,L 28 - 38,nan,1/,nan,nan,nan,Illinois Fighting Illini,Offense
10/11/2014,@ Wisconsin,L 28 - 38,nan,1/,nan,39,6.0/,Illinois Fighting Illini,Defense
10/25/2014,Minnesota,W 28 - 24,nan,1/,nan,23,4.0,Illinois Fighting Illini,Offense
10/25/2014,Minnesota,W 28 - 24,nan,1/,nan,20,3.0,Illinois Fighting Illini,Defense
11/01/2014,@ Ohio St.,L 14 - 55,nan,1/,nan,2,1.0,Illinois Fighting Illini,Offense
11/01/2014,@ Ohio St.,L 14 - 55,nan,1/,nan,19,3.0,Illinois Fighting Illini,Defense
11/15/2014,Iowa,L 14 - 30,nan,1/,nan,nan,nan,Illinois Fighting Illini,Offense
11/15/2014,Iowa,L 14 - 30,nan,1/,nan,3,1.0,Illinois Fighting Illini,Defense
11/22/2014,Penn St.,W 16 - 14,nan,1/,nan,20,2.0,Illinois Fighting Illini,Offense
11/22/2014,Penn St.,W 16 - 14,nan,1/,nan,14,2.0,Illinois Fighting Illini,Defense
11/29/2014,@ Northwestern,W 47 - 33,nan,1/,nan,3,2.0,Illinois Fighting Illini,Offense
11/29/2014,@ Northwestern,W 47 - 33,nan,1/,nan,nan,nan,Illinois Fighting Illini,Defense
12/26/2014,"Louisiana Tech @ Dallas, Texas",L 18 - 35,nan,1/,nan,19,2.0,Illinois Fighting Illini,Offense
12/26/2014,"Louisiana Tech @ Dallas, Texas",L 18 - 35,nan,1/,nan,43,6.0,Illinois Fighting Illini,Defense
09/05/2015,Kent St.,W 52 - 3,nan,1/,nan,5,1.0,Illinois Fighting Illini,Offense
09/05/2015,Kent St.,W 52 - 3,nan,1/,nan,11,1.0,Illinois Fighting Illini,Defense
09/12/2015,Western Ill.,W 44 - 0,nan,1/,nan,nan,nan,Illinois Fighting Illini,Offense
09/12/2015,Western Ill.,W 44 - 0,nan,1/,nan,nan,nan,Illinois Fighting Illini,Defense
09/19/2015,@ North Carolina,L 14 - 48,nan,1/,nan,nan,nan,Illinois Fighting Illini,Offense
09/19/2015,@ North Carolina,L 14 - 48,nan,1/,nan,nan,nan,Illinois Fighting Illini,Defense
09/26/2015,Middle Tenn.,W 27 - 25,nan,1/,nan,31,3.0,Illinois Fighting Illini,Offense
09/26/2015,Middle Tenn.,W 27 - 25,nan,1/,nan,26,2.0,Illinois Fighting Illini,Defense
10/03/2015,Nebraska,W 14 - 13,nan,1/,nan,15,1.0,Illinois Fighting Illini,Offense
10/03/2015,Nebraska,W 14 - 13,nan,1/,nan,16,2.0,Illinois Fighting Illini,Defense
10/10/2015,@ Iowa,L 20 - 29,nan,1/,nan,4,1.0,Illinois Fighting Illini,Offense
10/10/2015,@ Iowa,L 20 - 29,nan,1/,nan,20,3.0,Illinois Fighting Illini,Defense
10/24/2015,Wisconsin,L 13 - 24,nan,1/,nan,15,3.0,Illinois Fighting Illini,Offense
10/24/2015,Wisconsin,L 13 - 24,nan,1/,nan,nan,nan,Illinois Fighting Illini,Defense
10/31/2015,@ Penn St.,L 0 - 39,nan,1/,nan,20,3.0,Illinois Fighting Illini,Offense
10/31/2015,@ Penn St.,L 0 - 39,nan,1/,nan,36,4.0,Illinois Fighting Illini,Defense
11/07/2015,@ Purdue,W 48 - 14,nan,1/,nan,28,3.0,Illinois Fighting Illini,Offense
11/07/2015,@ Purdue,W 48 - 14,nan,1/,nan,11,1.0,Illinois Fighting Illini,Defense
11/14/2015,Ohio St.,L 3 - 28,nan,1/,nan,6,1.0,Illinois Fighting Illini,Offense
11/14/2015,Ohio St.,L 3 - 28,nan,1/,nan,22,3.0,Illinois Fighting Illini,Defense
11/21/2015,@ Minnesota,L 23 - 32,nan,1/,nan,nan,nan,Illinois Fighting Illini,Offense
11/21/2015,@ Minnesota,L 23 - 32,nan,1/,nan,23,2.0,Illinois Fighting Illini,Defense
11/28/2015,Northwestern,L 14 - 24,nan,1/,nan,15,3.0,Illinois Fighting Illini,Offense
11/28/2015,Northwestern,L 14 - 24,nan,1/,nan,15,2.0,Illinois Fighting Illini,Defense
08/31/2013,Southern Ill.,W 42 - 34,nan,1/,nan,nan,nan,Illinois Fighting Illini,Offense
08/31/2013,Southern Ill.,W 42 - 34,nan,1/,nan,45,5.0,Illinois Fighting Illini,Defense
09/07/2013,Cincinnati,W 45 - 17,nan,1/,nan,13,2.0,Illinois Fighting Illini,Offense
09/07/2013,Cincinnati,W 45 - 17,nan,1/,nan,nan,nan,Illinois Fighting Illini,Defense
09/14/2013,"Washington @ Chicago, Ill.",L 24 - 34,nan,1/,nan,11,2.0,Illinois Fighting Illini,Offense
09/14/2013,"Washington @ Chicago, Ill.",L 24 - 34,nan,1/,nan,32,4.0,Illinois Fighting Illini,Defense
09/28/2013,Miami (OH),W 50 - 14,nan,1/,nan,nan,nan,Illinois Fighting Illini,Offense
09/28/2013,Miami (OH),W 50 - 14,nan,1/,nan,7,1.0,Illinois Fighting Illini,Defense
10/05/2013,@ Nebraska,L 19 - 39,nan,1/,nan,nan,nan,Illinois Fighting Illini,Offense
10/05/2013,@ Nebraska,L 19 - 39,nan,1/,nan,16,3.0,Illinois Fighting Illini,Defense
10/19/2013,Wisconsin,L 32 - 56,nan,1/,nan,3,1.0,Illinois Fighting Illini,Offense
10/19/2013,Wisconsin,L 32 - 56,nan,1/,nan,18,3.0,Illinois Fighting Illini,Defense
10/26/2013,Michigan St.,L 3 - 42,nan,1/,nan,15,2.0,Illinois Fighting Illini,Offense
10/26/2013,Michigan St.,L 3 - 42,nan,1/,nan,12,2.0,Illinois Fighting Illini,Defense
11/02/2013,@ Penn St.,L 17 - 24 (1OT),nan,1/,nan,4,1.0,Illinois Fighting Illini,Offense
11/02/2013,@ Penn St.,L 17 - 24 (1OT),nan,1/,nan,11,1.0,Illinois Fighting Illini,Defense
11/09/2013,@ Indiana,L 35 - 52,nan,1/,nan,14,3.0,Illinois Fighting Illini,Offense
11/09/2013,@ Indiana,L 35 - 52,nan,1/,nan,8,1.0,Illinois Fighting Illini,Defense
11/16/2013,Ohio St.,L 35 - 60,nan,1/,nan,13,1.0,Illinois Fighting Illini,Offense
11/16/2013,Ohio St.,L 35 - 60,nan,1/,nan,47,6.0,Illinois Fighting Illini,Defense
11/23/2013,@ Purdue,W 20 - 16,nan,1/,nan,14,2.0,Illinois Fighting Illini,Offense
11/23/2013,@ Purdue,W 20 - 16,nan,1/,nan,13,2.0,Illinois Fighting Illini,Defense
11/30/2013,Northwestern,L 34 - 37,nan,1/,nan,7,1.0,Illinois Fighting Illini,Offense
11/30/2013,Northwestern,L 34 - 37,nan,1/,nan,22,2.0,Illinois Fighting Illini,Defense
09/01/2016,Montana St.,W 20 - 17,nan,1/,nan,6,2.0,Idaho Vandals,Offense
09/01/2016,Montana St.,W 20 - 17,nan,1/,nan,2,1.0,Idaho Vandals,Defense
09/10/2016,@ Washington,L 14 - 59,nan,1/,nan,10,2.0,Idaho Vandals,Offense
09/10/2016,@ Washington,L 14 - 59,nan,1/,nan,24,4.0,Idaho Vandals,Defense
09/17/2016,@ Washington St.,L 6 - 56,nan,1/,nan,11,1.0,Idaho Vandals,Offense
09/17/2016,@ Washington St.,L 6 - 56,nan,1/,nan,nan,nan,Idaho Vandals,Defense
09/24/2016,@ UNLV,W 33 - 30 (1OT),nan,1/,nan,nan,nan,Idaho Vandals,Offense
09/24/2016,@ UNLV,W 33 - 30 (1OT),nan,1/,nan,16,3.0,Idaho Vandals,Defense
10/01/2016,Troy,L 13 - 34,nan,1/,nan,nan,nan,Idaho Vandals,Offense
10/01/2016,Troy,L 13 - 34,nan,1/,nan,39,5.0,Idaho Vandals,Defense
10/08/2016,@ La.-Monroe,W 34 - 31,nan,1/,nan,nan,nan,Idaho Vandals,Offense
10/08/2016,@ La.-Monroe,W 34 - 31,nan,1/,nan,nan,nan,Idaho Vandals,Defense
10/15/2016,New Mexico St.,W 55 - 23,nan,1/,nan,33,5.0,Idaho Vandals,Offense
10/15/2016,New Mexico St.,W 55 - 23,nan,1/,nan,nan,nan,Idaho Vandals,Defense
10/22/2016,@ Appalachian St.,L 19 - 37,nan,1/,nan,15,3.0,Idaho Vandals,Offense
10/22/2016,@ Appalachian St.,L 19 - 37,nan,1/,nan,29,4.0,Idaho Vandals,Defense
11/05/2016,@ Louisiana,W 23 - 13,nan,1/,nan,36,5.0,Idaho Vandals,Offense
11/05/2016,@ Louisiana,W 23 - 13,nan,1/,nan,nan,nan,Idaho Vandals,Defense
11/12/2016,@ Texas St.,W 47 - 14,nan,1/,nan,29,4.0,Idaho Vandals,Offense
11/12/2016,@ Texas St.,W 47 - 14,nan,1/,nan,8,2.0,Idaho Vandals,Defense
11/26/2016,South Ala.,W 38 - 31,nan,1/,nan,18,2.0,Idaho Vandals,Offense
11/26/2016,South Ala.,W 38 - 31,nan,1/,nan,1,1.0,Idaho Vandals,Defense
12/03/2016,Georgia St.,W 37 - 12,nan,1/,nan,nan,nan,Idaho Vandals,Offense
12/03/2016,Georgia St.,W 37 - 12,nan,1/,nan,9,2.0,Idaho Vandals,Defense
12/22/2016,"Colorado St. @ Boise, Idaho",W 61 - 50,nan,1/,nan,nan,nan,Idaho Vandals,Offense
12/22/2016,"Colorado St. @ Boise, Idaho",W 61 - 50,nan,1/,nan,12,3.0,Idaho Vandals,Defense
09/06/2014,@ La.-Monroe,L 31 - 38,nan,1/,nan,17,3.0,Idaho Vandals,Offense
09/06/2014,@ La.-Monroe,L 31 - 38,nan,1/,nan,31,4.0,Idaho Vandals,Defense
09/13/2014,Western Mich.,L 33 - 45,nan,1/,nan,3,1.0,Idaho Vandals,Offense
09/13/2014,Western Mich.,L 33 - 45,nan,1/,nan,29,4.0,Idaho Vandals,Defense
09/20/2014,@ Ohio,L 24 - 36,nan,1/,nan,13,1.0,Idaho Vandals,Offense
09/20/2014,@ Ohio,L 24 - 36,nan,1/,nan,23,3.0,Idaho Vandals,Defense
09/27/2014,South Ala.,L 10 - 34,nan,1/,nan,nan,nan,Idaho Vandals,Offense
09/27/2014,South Ala.,L 10 - 34,nan,1/,nan,70/,7.0,Idaho Vandals,Defense
10/04/2014,@ Texas St.,L 30 - 35,nan,1/,nan,4,1.0,Idaho Vandals,Offense
10/04/2014,@ Texas St.,L 30 - 35,nan,1/,nan,50,9.0/,Idaho Vandals,Defense
10/11/2014,@ Ga. Southern,L 24 - 47,nan,1/,nan,11,2.0,Idaho Vandals,Offense
10/11/2014,@ Ga. Southern,L 24 - 47,nan,1/,nan,21,3.0,Idaho Vandals,Defense
10/18/2014,New Mexico St.,W 29 - 17,nan,1/,nan,10,1.0,Idaho Vandals,Offense
10/18/2014,New Mexico St.,W 29 - 17,nan,1/,nan,nan,nan,Idaho Vandals,Defense
11/01/2014,Arkansas St.,L 28 - 44,nan,1/,nan,14,3.0,Idaho Vandals,Offense
11/01/2014,Arkansas St.,L 28 - 44,nan,1/,nan,25,5.0,Idaho Vandals,Defense
11/08/2014,@ San Diego St.,L 21 - 35,nan,1/,nan,24,4.0,Idaho Vandals,Offense
11/08/2014,@ San Diego St.,L 21 - 35,nan,1/,nan,20,2.0,Idaho Vandals,Defense
11/15/2014,Troy,L 17 - 34,nan,1/,nan,7,1.0,Idaho Vandals,Offense
11/15/2014,Troy,L 17 - 34,nan,1/,nan,8,2.0,Idaho Vandals,Defense
11/29/2014,@ Appalachian St.,L 28 - 45,nan,1/,nan,nan,nan,Idaho Vandals,Offense
11/29/2014,@ Appalachian St.,L 28 - 45,nan,1/,nan,5,2.0,Idaho Vandals,Defense
09/03/2015,Ohio,L 28 - 45,nan,1/,nan,4,2.0,Idaho Vandals,Offense
09/03/2015,Ohio,L 28 - 45,nan,1/,nan,20,3.0,Idaho Vandals,Defense
09/12/2015,@ Southern California,L 9 - 59,nan,1/,nan,nan,nan,Idaho Vandals,Offense
09/12/2015,@ Southern California,L 9 - 59,nan,1/,nan,8,1.0,Idaho Vandals,Defense
09/19/2015,Wofford,W 41 - 38,nan,1/,nan,nan,nan,Idaho Vandals,Offense
09/19/2015,Wofford,W 41 - 38,nan,1/,nan,19,4.0,Idaho Vandals,Defense
09/26/2015,Ga. Southern,L 20 - 44,nan,1/,nan,nan,nan,Idaho Vandals,Offense
09/26/2015,Ga. Southern,L 20 - 44,nan,1/,nan,15,2.0,Idaho Vandals,Defense
10/03/2015,@ Arkansas St.,L 35 - 49,nan,1/,nan,17,2.0,Idaho Vandals,Offense
10/03/2015,@ Arkansas St.,L 35 - 49,nan,1/,nan,9,2.0,Idaho Vandals,Defense
10/17/2015,@ Troy,W 19 - 16,nan,1/,nan,13,4.0,Idaho Vandals,Offense
10/17/2015,@ Troy,W 19 - 16,nan,1/,nan,14,2.0,Idaho Vandals,Defense
10/24/2015,La.-Monroe,W 27 - 13,nan,1/,nan,7,1.0,Idaho Vandals,Offense
10/24/2015,La.-Monroe,W 27 - 13,nan,1/,nan,29,3.0,Idaho Vandals,Defense
10/31/2015,@ New Mexico St.,L 48 - 55 (1OT),nan,1/,nan,8,1.0,Idaho Vandals,Offense
10/31/2015,@ New Mexico St.,L 48 - 55 (1OT),nan,1/,nan,11,3.0,Idaho Vandals,Defense
11/07/2015,@ South Ala.,L 45 - 52,nan,1/,nan,12,2.0,Idaho Vandals,Offense
11/07/2015,@ South Ala.,L 45 - 52,nan,1/,nan,nan,nan,Idaho Vandals,Defense
11/14/2015,Appalachian St.,L 20 - 47,nan,1/,nan,2,1.0,Idaho Vandals,Offense
11/14/2015,Appalachian St.,L 20 - 47,nan,1/,nan,26,5.0,Idaho Vandals,Defense
11/21/2015,@ Auburn,L 34 - 56,nan,1/,nan,nan,nan,Idaho Vandals,Offense
11/21/2015,@ Auburn,L 34 - 56,nan,1/,nan,18,3.0,Idaho Vandals,Defense
11/28/2015,Texas St.,W 38 - 31,nan,1/,nan,nan,nan,Idaho Vandals,Offense
11/28/2015,Texas St.,W 38 - 31,nan,1/,nan,9,1.0,Idaho Vandals,Defense
08/31/2013,@ North Texas,L 6 - 40,nan,1/,nan,nan,nan,Idaho Vandals,Offense
08/31/2013,@ North Texas,L 6 - 40,nan,1/,nan,39,5.0,Idaho Vandals,Defense
09/07/2013,@ Wyoming,L 10 - 42,nan,1/,nan,24,3.0,Idaho Vandals,Offense
09/07/2013,@ Wyoming,L 10 - 42,nan,1/,nan,61/,7.0,Idaho Vandals,Defense
09/14/2013,Northern Ill.,L 35 - 45,nan,1/,nan,16,2.0,Idaho Vandals,Offense
09/14/2013,Northern Ill.,L 35 - 45,nan,1/,nan,55/,9.0/,Idaho Vandals,Defense
09/21/2013,@ Washington St.,L 0 - 42,nan,1/,nan,8,1.0,Idaho Vandals,Offense
09/21/2013,@ Washington St.,L 0 - 42,nan,1/,nan,36,5.0,Idaho Vandals,Defense
09/28/2013,Temple,W 26 - 24,nan,1/,nan,12,2.0,Idaho Vandals,Offense
09/28/2013,Temple,W 26 - 24,nan,1/,nan,6,2.0,Idaho Vandals,Defense
10/05/2013,Fresno St.,L 14 - 61,nan,1/,nan,nan,nan,Idaho Vandals,Offense
10/05/2013,Fresno St.,L 14 - 61,nan,1/,nan,41,6.0,Idaho Vandals,Defense
10/12/2013,@ Arkansas St.,L 24 - 48,nan,1/,nan,13,2.0,Idaho Vandals,Offense
10/12/2013,@ Arkansas St.,L 24 - 48,nan,1/,nan,26,3.0,Idaho Vandals,Defense
10/26/2013,@ Ole Miss,L 14 - 59,nan,1/,nan,14,1.0,Idaho Vandals,Offense
10/26/2013,@ Ole Miss,L 14 - 59,nan,1/,nan,7,2.0,Idaho Vandals,Defense
11/02/2013,Texas St.,L 21 - 37,nan,1/,nan,15,2.0,Idaho Vandals,Offense
11/02/2013,Texas St.,L 21 - 37,nan,1/,nan,15,2.0,Idaho Vandals,Defense
11/09/2013,Old Dominion,L 38 - 59,nan,1/,nan,22,3.0,Idaho Vandals,Offense
11/09/2013,Old Dominion,L 38 - 59,nan,1/,nan,27,4.0,Idaho Vandals,Defense
11/23/2013,@ Florida St.,L 14 - 80,nan,1/,nan,17,3.0,Idaho Vandals,Offense
11/23/2013,@ Florida St.,L 14 - 80,nan,1/,nan,43,7.0,Idaho Vandals,Defense
11/30/2013,@ New Mexico St.,L 16 - 24,nan,1/,nan,27,4.0,Idaho Vandals,Offense
11/30/2013,@ New Mexico St.,L 16 - 24,nan,1/,nan,12,1.0,Idaho Vandals,Defense
09/03/2016,"Oklahoma @ Houston, Texas",W 33 - 23,nan,1/,nan,20,5.0,Houston Cougars,Offense
09/03/2016,"Oklahoma @ Houston, Texas",W 33 - 23,nan,1/,nan,13,2.0,Houston Cougars,Defense
09/10/2016,Lamar University,W 42 - 0,nan,1/,nan,28,3.0,Houston Cougars,Offense
09/10/2016,Lamar University,W 42 - 0,nan,1/,nan,nan,nan,Houston Cougars,Defense
09/15/2016,@ Cincinnati,W 40 - 16,nan,1/,nan,21,3.0,Houston Cougars,Offense
09/15/2016,@ Cincinnati,W 40 - 16,nan,1/,nan,22,3.0,Houston Cougars,Defense
09/24/2016,@ Texas St.,W 64 - 3,nan,1/,nan,22,3.0,Houston Cougars,Offense
09/24/2016,@ Texas St.,W 64 - 3,nan,1/,nan,6,1.0,Houston Cougars,Defense
09/29/2016,UConn,W 42 - 14,nan,1/,nan,21,4.0,Houston Cougars,Offense
09/29/2016,UConn,W 42 - 14,nan,1/,nan,11,3.0,Houston Cougars,Defense
10/08/2016,@ Navy,L 40 - 46,nan,1/,nan,nan,nan,Houston Cougars,Offense
10/08/2016,@ Navy,L 40 - 46,nan,1/,nan,4,2.0,Houston Cougars,Defense
10/15/2016,Tulsa,W 38 - 31,nan,1/,nan,8,1.0,Houston Cougars,Offense
10/15/2016,Tulsa,W 38 - 31,nan,1/,nan,nan,nan,Houston Cougars,Defense
10/22/2016,@ SMU,L 16 - 38,nan,1/,nan,nan,nan,Houston Cougars,Offense
10/22/2016,@ SMU,L 16 - 38,nan,1/,nan,57,7.0,Houston Cougars,Defense
10/29/2016,UCF,W 31 - 24,nan,1/,nan,32,3.0,Houston Cougars,Offense
10/29/2016,UCF,W 31 - 24,nan,1/,nan,27,4.0,Houston Cougars,Defense
11/12/2016,Tulane,W 30 - 18,nan,1/,nan,17,3.0,Houston Cougars,Offense
11/12/2016,Tulane,W 30 - 18,nan,1/,nan,29,4.0,Houston Cougars,Defense
11/17/2016,Louisville,W 36 - 10,nan,1/,nan,83/,11.0/,Houston Cougars,Offense
11/17/2016,Louisville,W 36 - 10,nan,1/,nan,8,1.0,Houston Cougars,Defense
11/25/2016,@ Memphis,L 44 - 48,nan,1/,nan,7,1.0,Houston Cougars,Offense
