Date,Opponent,Result,G,FumblesRecovered,Int,Blkd,Team,OffenseDefense
08/31/2013,@ Montana,L 6 - 30,1/,1,1,1,Appalachian St. Mountaineers,Defense
09/07/2013,N.C. A&T,L 21 - 24,1/,nan,1,nan,Appalachian St. Mountaineers,Offense
09/07/2013,N.C. A&T,L 21 - 24,1/,nan,2,1,Appalachian St. Mountaineers,Defense
09/21/2013,@ Elon,W 31 - 21,1/,1,2,nan,Appalachian St. Mountaineers,Offense
09/21/2013,@ Elon,W 31 - 21,1/,2,nan,nan,Appalachian St. Mountaineers,Defense
09/28/2013,Charleston So.,L 24 - 27,1/,nan,1,nan,Appalachian St. Mountaineers,Offense
09/28/2013,Charleston So.,L 24 - 27,1/,nan,nan,nan,Appalachian St. Mountaineers,Defense
10/05/2013,@ The Citadel,L 28 - 31 (1OT),1/,1,nan,nan,Appalachian St. Mountaineers,Offense
10/05/2013,@ The Citadel,L 28 - 31 (1OT),1/,1,1,nan,Appalachian St. Mountaineers,Defense
10/12/2013,Samford,L 10 - 34,1/,nan,nan,nan,Appalachian St. Mountaineers,Offense
10/12/2013,Samford,L 10 - 34,1/,nan,nan,nan,Appalachian St. Mountaineers,Defense
10/19/2013,@ Furman,L 10 - 27,1/,1,nan,nan,Appalachian St. Mountaineers,Offense
10/19/2013,@ Furman,L 10 - 27,1/,4/,1,nan,Appalachian St. Mountaineers,Defense
10/26/2013,Ga. Southern,W 38 - 14,1/,1,1,nan,Appalachian St. Mountaineers,Offense
10/26/2013,Ga. Southern,W 38 - 14,1/,nan,nan,1,Appalachian St. Mountaineers,Defense
11/02/2013,Chattanooga,L 28 - 35,1/,nan,1,nan,Appalachian St. Mountaineers,Offense
11/02/2013,Chattanooga,L 28 - 35,1/,nan,1,nan,Appalachian St. Mountaineers,Defense
11/09/2013,@ Georgia,L 6 - 45,1/,1,2,nan,Appalachian St. Mountaineers,Offense
11/09/2013,@ Georgia,L 6 - 45,1/,1,1,1,Appalachian St. Mountaineers,Defense
11/16/2013,@ Wofford,W 33 - 21,1/,1,nan,nan,Appalachian St. Mountaineers,Offense
11/16/2013,@ Wofford,W 33 - 21,1/,nan,nan,nan,Appalachian St. Mountaineers,Defense
11/23/2013,Western Caro.,W 48 - 27,1/,1,2,nan,Appalachian St. Mountaineers,Offense
11/23/2013,Western Caro.,W 48 - 27,1/,1,nan,nan,Appalachian St. Mountaineers,Defense
09/01/2016,@ Tennessee,L 13 - 20 (1OT),1/,1,1,nan,Appalachian St. Mountaineers,Offense
09/01/2016,@ Tennessee,L 13 - 20 (1OT),1/,nan,1,nan,Appalachian St. Mountaineers,Defense
09/10/2016,Old Dominion,W 31 - 7,1/,nan,1,1,Appalachian St. Mountaineers,Offense
09/10/2016,Old Dominion,W 31 - 7,1/,nan,1,nan,Appalachian St. Mountaineers,Defense
09/17/2016,Miami (FL),L 10 - 45,1/,nan,1,nan,Appalachian St. Mountaineers,Offense
09/17/2016,Miami (FL),L 10 - 45,1/,nan,1,nan,Appalachian St. Mountaineers,Defense
09/24/2016,@ Akron,W 45 - 38,1/,nan,2,nan,Appalachian St. Mountaineers,Offense
09/24/2016,@ Akron,W 45 - 38,1/,1,nan,nan,Appalachian St. Mountaineers,Defense
10/01/2016,Georgia St.,W 17 - 3,1/,nan,4,nan,Appalachian St. Mountaineers,Offense
10/01/2016,Georgia St.,W 17 - 3,1/,nan,1,nan,Appalachian St. Mountaineers,Defense
10/12/2016,@ Louisiana,W 24 - 0,1/,nan,nan,nan,Appalachian St. Mountaineers,Offense
10/12/2016,@ Louisiana,W 24 - 0,1/,nan,1,nan,Appalachian St. Mountaineers,Defense
10/22/2016,Idaho,W 37 - 19,1/,nan,3,nan,Appalachian St. Mountaineers,Offense
10/22/2016,Idaho,W 37 - 19,1/,1,nan,nan,Appalachian St. Mountaineers,Defense
10/27/2016,@ Ga. Southern,W 34 - 10,1/,nan,3,nan,Appalachian St. Mountaineers,Offense
10/27/2016,@ Ga. Southern,W 34 - 10,1/,1,2,1,Appalachian St. Mountaineers,Defense
11/05/2016,Texas St.,W 35 - 10,1/,nan,1,nan,Appalachian St. Mountaineers,Offense
11/05/2016,Texas St.,W 35 - 10,1/,nan,nan,1,Appalachian St. Mountaineers,Defense
11/12/2016,@ Troy,L 24 - 28,1/,nan,1,nan,Appalachian St. Mountaineers,Offense
11/12/2016,@ Troy,L 24 - 28,1/,1,1,nan,Appalachian St. Mountaineers,Defense
11/19/2016,La.-Monroe,W 42 - 17,1/,nan,1,nan,Appalachian St. Mountaineers,Offense
11/19/2016,La.-Monroe,W 42 - 17,1/,nan,nan,nan,Appalachian St. Mountaineers,Defense
11/26/2016,@ New Mexico St.,W 37 - 7,1/,nan,2,nan,Appalachian St. Mountaineers,Offense
11/26/2016,@ New Mexico St.,W 37 - 7,1/,1,nan,nan,Appalachian St. Mountaineers,Defense
12/17/2016,"Toledo @ Montgomery, AL",W 31 - 28,1/,nan,nan,nan,Appalachian St. Mountaineers,Offense
12/17/2016,"Toledo @ Montgomery, AL",W 31 - 28,1/,nan,nan,nan,Appalachian St. Mountaineers,Defense
08/30/2014,@ Michigan,L 14 - 52,1/,nan,1,nan,Appalachian St. Mountaineers,Offense
08/30/2014,@ Michigan,L 14 - 52,1/,nan,nan,1,Appalachian St. Mountaineers,Defense
09/06/2014,Campbell,W 66 - 0,1/,1,3,nan,Appalachian St. Mountaineers,Offense
09/06/2014,Campbell,W 66 - 0,1/,nan,1,nan,Appalachian St. Mountaineers,Defense
09/20/2014,@ Southern Miss.,L 20 - 21,1/,nan,2,nan,Appalachian St. Mountaineers,Offense
09/20/2014,@ Southern Miss.,L 20 - 21,1/,1,2,2/,Appalachian St. Mountaineers,Defense
09/25/2014,@ Ga. Southern,L 14 - 34,1/,nan,1,1/,Appalachian St. Mountaineers,Offense
09/25/2014,@ Ga. Southern,L 14 - 34,1/,nan,2,1/,Appalachian St. Mountaineers,Defense
10/04/2014,South Ala.,L 21 - 47,1/,nan,nan,1/,Appalachian St. Mountaineers,Offense
10/04/2014,South Ala.,L 21 - 47,1/,2,1,1/,Appalachian St. Mountaineers,Defense
10/11/2014,Liberty,L 48 - 55 (1OT),1/,1,1,nan,Appalachian St. Mountaineers,Offense
10/11/2014,Liberty,L 48 - 55 (1OT),1/,2,2,nan,Appalachian St. Mountaineers,Defense
10/18/2014,@ Troy,W 53 - 14,1/,2,2,nan,Appalachian St. Mountaineers,Offense
10/18/2014,@ Troy,W 53 - 14,1/,1,nan,nan,Appalachian St. Mountaineers,Defense
11/01/2014,Georgia St.,W 44 - 0,1/,2,1,nan,Appalachian St. Mountaineers,Offense
11/01/2014,Georgia St.,W 44 - 0,1/,nan,nan,nan,Appalachian St. Mountaineers,Defense
11/08/2014,La.-Monroe,W 31 - 29,1/,nan,nan,nan,Appalachian St. Mountaineers,Offense
11/08/2014,La.-Monroe,W 31 - 29,1/,nan,1,nan,Appalachian St. Mountaineers,Defense
11/15/2014,@ Arkansas St.,W 37 - 32,1/,1,nan,nan,Appalachian St. Mountaineers,Offense
11/15/2014,@ Arkansas St.,W 37 - 32,1/,2,nan,nan,Appalachian St. Mountaineers,Defense
11/22/2014,@ Louisiana,W 35 - 16,1/,nan,nan,nan,Appalachian St. Mountaineers,Offense
11/22/2014,@ Louisiana,W 35 - 16,1/,1,1,nan,Appalachian St. Mountaineers,Defense
11/29/2014,Idaho,W 45 - 28,1/,nan,1,nan,Appalachian St. Mountaineers,Offense
11/29/2014,Idaho,W 45 - 28,1/,1,1,1/,Appalachian St. Mountaineers,Defense
08/30/2014,"West Virginia @ Atlanta, Georgia",W 33 - 23,1/,nan,nan,nan,Alabama Crimson Tide,Offense
08/30/2014,"West Virginia @ Atlanta, Georgia",W 33 - 23,1/,nan,1,nan,Alabama Crimson Tide,Defense
09/06/2014,Fla. Atlantic,W 41 - 0,1/,1,nan,nan,Alabama Crimson Tide,Offense
09/06/2014,Fla. Atlantic,W 41 - 0,1/,1,nan,nan,Alabama Crimson Tide,Defense
09/13/2014,Southern Miss.,W 52 - 12,1/,nan,nan,nan,Alabama Crimson Tide,Offense
09/13/2014,Southern Miss.,W 52 - 12,1/,1,nan,nan,Alabama Crimson Tide,Defense
09/20/2014,Florida,W 42 - 21,1/,1,2,nan,Alabama Crimson Tide,Offense
09/20/2014,Florida,W 42 - 21,1/,3,1,nan,Alabama Crimson Tide,Defense
10/04/2014,@ Ole Miss,L 17 - 23,1/,1,nan,1,Alabama Crimson Tide,Offense
10/04/2014,@ Ole Miss,L 17 - 23,1/,1,1,nan,Alabama Crimson Tide,Defense
10/11/2014,@ Arkansas,W 14 - 13,1/,2,1,1,Alabama Crimson Tide,Offense
10/11/2014,@ Arkansas,W 14 - 13,1/,2,nan,nan,Alabama Crimson Tide,Defense
10/18/2014,Texas A&M,W 59 - 0,1/,nan,1,nan,Alabama Crimson Tide,Offense
10/18/2014,Texas A&M,W 59 - 0,1/,nan,nan,nan,Alabama Crimson Tide,Defense
10/25/2014,@ Tennessee,W 34 - 20,1/,1,1,nan,Alabama Crimson Tide,Offense
10/25/2014,@ Tennessee,W 34 - 20,1/,2,nan,nan,Alabama Crimson Tide,Defense
11/08/2014,@ LSU,W 20 - 13 (1OT),1/,nan,1,nan,Alabama Crimson Tide,Offense
11/08/2014,@ LSU,W 20 - 13 (1OT),1/,1,nan,nan,Alabama Crimson Tide,Defense
11/15/2014,Mississippi St.,W 25 - 20,1/,nan,3,nan,Alabama Crimson Tide,Offense
11/15/2014,Mississippi St.,W 25 - 20,1/,nan,nan,nan,Alabama Crimson Tide,Defense
11/22/2014,Western Caro.,W 48 - 14,1/,nan,nan,nan,Alabama Crimson Tide,Offense
11/22/2014,Western Caro.,W 48 - 14,1/,1,1,nan,Alabama Crimson Tide,Defense
11/29/2014,Auburn,W 55 - 44,1/,1,1,nan,Alabama Crimson Tide,Offense
