Date,Opponent,Result,G,FumblesRecovered,Int,Blkd,Team,OffenseDefense
10/12/2013,Marshall,L 23 - 24,1/,nan,1,nan,Fla. Atlantic Owls,Offense
10/12/2013,Marshall,L 23 - 24,1/,nan,1,nan,Fla. Atlantic Owls,Defense
10/26/2013,@ Auburn,L 10 - 45,1/,nan,1,nan,Fla. Atlantic Owls,Offense
10/26/2013,@ Auburn,L 10 - 45,1/,1,nan,nan,Fla. Atlantic Owls,Defense
11/02/2013,Tulane,W 34 - 17,1/,nan,4/,nan,Fla. Atlantic Owls,Offense
11/02/2013,Tulane,W 34 - 17,1/,1,1,nan,Fla. Atlantic Owls,Defense
11/16/2013,@ Southern Miss.,W 41 - 7,1/,1,2,nan,Fla. Atlantic Owls,Offense
11/16/2013,@ Southern Miss.,W 41 - 7,1/,nan,nan,nan,Fla. Atlantic Owls,Defense
11/23/2013,New Mexico St.,W 55 - 10,1/,1,nan,1,Fla. Atlantic Owls,Offense
11/23/2013,New Mexico St.,W 55 - 10,1/,nan,1,nan,Fla. Atlantic Owls,Defense
11/29/2013,FIU,W 21 - 6,1/,nan,nan,nan,Fla. Atlantic Owls,Offense
11/29/2013,FIU,W 21 - 6,1/,2,1,nan,Fla. Atlantic Owls,Defense
08/30/2014,@ Nebraska,L 7 - 55,1/,nan,nan,nan,Fla. Atlantic Owls,Offense
08/30/2014,@ Nebraska,L 7 - 55,1/,nan,nan,nan,Fla. Atlantic Owls,Defense
09/06/2014,@ Alabama,L 0 - 41,1/,1,nan,nan,Fla. Atlantic Owls,Offense
09/06/2014,@ Alabama,L 0 - 41,1/,1,nan,nan,Fla. Atlantic Owls,Defense
09/13/2014,Tulsa,W 50 - 21,1/,1,2,nan,Fla. Atlantic Owls,Offense
09/13/2014,Tulsa,W 50 - 21,1/,nan,nan,1,Fla. Atlantic Owls,Defense
09/20/2014,@ Wyoming,L 19 - 20,1/,1,nan,nan,Fla. Atlantic Owls,Offense
09/20/2014,@ Wyoming,L 19 - 20,1/,3,nan,nan,Fla. Atlantic Owls,Defense
09/27/2014,UTSA,W 41 - 37,1/,nan,2,nan,Fla. Atlantic Owls,Offense
09/27/2014,UTSA,W 41 - 37,1/,2,nan,nan,Fla. Atlantic Owls,Defense
10/02/2014,@ FIU,L 10 - 38,1/,1,nan,nan,Fla. Atlantic Owls,Offense
10/02/2014,@ FIU,L 10 - 38,1/,3,1,nan,Fla. Atlantic Owls,Defense
10/18/2014,Western Ky.,W 45 - 38,1/,1,1,nan,Fla. Atlantic Owls,Offense
10/18/2014,Western Ky.,W 45 - 38,1/,1,nan,nan,Fla. Atlantic Owls,Defense
10/25/2014,@ Marshall,L 16 - 35,1/,nan,nan,nan,Fla. Atlantic Owls,Offense
10/25/2014,@ Marshall,L 16 - 35,1/,nan,nan,nan,Fla. Atlantic Owls,Defense
11/01/2014,UAB,L 28 - 31,1/,nan,nan,1,Fla. Atlantic Owls,Offense
11/01/2014,UAB,L 28 - 31,1/,1,1,1,Fla. Atlantic Owls,Defense
11/08/2014,@ North Texas,L 10 - 31,1/,1,1,nan,Fla. Atlantic Owls,Offense
11/08/2014,@ North Texas,L 10 - 31,1/,1,1,nan,Fla. Atlantic Owls,Defense
11/22/2014,@ Middle Tenn.,L 34 - 35,1/,1,1,nan,Fla. Atlantic Owls,Offense
11/22/2014,@ Middle Tenn.,L 34 - 35,1/,nan,2,nan,Fla. Atlantic Owls,Defense
11/29/2014,Old Dominion,L 28 - 31,1/,nan,1,nan,Fla. Atlantic Owls,Offense
11/29/2014,Old Dominion,L 28 - 31,1/,1,nan,nan,Fla. Atlantic Owls,Defense
09/03/2016,Southern Ill.,W 38 - 30,1/,1,nan,1,Fla. Atlantic Owls,Offense
09/03/2016,Southern Ill.,W 38 - 30,1/,nan,nan,nan,Fla. Atlantic Owls,Defense
09/10/2016,@ Miami (FL),L 10 - 38,1/,nan,2,1,Fla. Atlantic Owls,Offense
09/10/2016,@ Miami (FL),L 10 - 38,1/,nan,1,1,Fla. Atlantic Owls,Defense
09/17/2016,@ Kansas St.,L 7 - 63,1/,1,nan,nan,Fla. Atlantic Owls,Offense
09/17/2016,@ Kansas St.,L 7 - 63,1/,2,2,nan,Fla. Atlantic Owls,Defense
09/24/2016,Ball St.,L 27 - 31,1/,nan,1,nan,Fla. Atlantic Owls,Offense
09/24/2016,Ball St.,L 27 - 31,1/,1,1,nan,Fla. Atlantic Owls,Defense
10/01/2016,@ FIU,L 31 - 33,1/,nan,2,1,Fla. Atlantic Owls,Offense
10/01/2016,@ FIU,L 31 - 33,1/,1,nan,nan,Fla. Atlantic Owls,Defense
10/09/2016,Charlotte,L 23 - 28,1/,1,1,nan,Fla. Atlantic Owls,Offense
10/09/2016,Charlotte,L 23 - 28,1/,nan,1,nan,Fla. Atlantic Owls,Defense
10/15/2016,@ Marshall,L 21 - 27,1/,nan,1,nan,Fla. Atlantic Owls,Offense
10/15/2016,@ Marshall,L 21 - 27,1/,1,1,nan,Fla. Atlantic Owls,Defense
10/29/2016,Western Ky.,L 3 - 52,1/,1,nan,nan,Fla. Atlantic Owls,Offense
10/29/2016,Western Ky.,L 3 - 52,1/,1,1,nan,Fla. Atlantic Owls,Defense
11/05/2016,@ Rice,W 42 - 25,1/,1,2,nan,Fla. Atlantic Owls,Offense
11/05/2016,@ Rice,W 42 - 25,1/,nan,nan,nan,Fla. Atlantic Owls,Defense
11/12/2016,UTEP,W 35 - 31,1/,nan,1,nan,Fla. Atlantic Owls,Offense
11/12/2016,UTEP,W 35 - 31,1/,1,2,nan,Fla. Atlantic Owls,Defense
11/19/2016,Old Dominion,L 24 - 42,1/,nan,nan,1,Fla. Atlantic Owls,Offense
11/19/2016,Old Dominion,L 24 - 42,1/,nan,nan,nan,Fla. Atlantic Owls,Defense
11/26/2016,@ Middle Tenn.,L 56 - 77,1/,nan,nan,nan,Fla. Atlantic Owls,Offense
11/26/2016,@ Middle Tenn.,L 56 - 77,1/,nan,4/,nan,Fla. Atlantic Owls,Defense
08/30/2014,Bethune-Cookman,L 12 - 14,1/,nan,nan,nan,FIU Panthers,Offense
08/30/2014,Bethune-Cookman,L 12 - 14,1/,nan,nan,nan,FIU Panthers,Defense
09/06/2014,Wagner,W 34 - 3,1/,4/,2,nan,FIU Panthers,Offense
09/06/2014,Wagner,W 34 - 3,1/,3/,nan,nan,FIU Panthers,Defense
09/13/2014,Pittsburgh,L 25 - 42,1/,2,1,nan,FIU Panthers,Offense
09/13/2014,Pittsburgh,L 25 - 42,1/,1,nan,nan,FIU Panthers,Defense
09/20/2014,Louisville,L 3 - 34,1/,2,nan,nan,FIU Panthers,Offense
09/20/2014,Louisville,L 3 - 34,1/,1,2,nan,FIU Panthers,Defense
09/27/2014,@ UAB,W 34 - 20,1/,2,4/,1,FIU Panthers,Offense
09/27/2014,@ UAB,W 34 - 20,1/,nan,nan,nan,FIU Panthers,Defense
10/02/2014,Fla. Atlantic,W 38 - 10,1/,3,1,nan,FIU Panthers,Offense
10/02/2014,Fla. Atlantic,W 38 - 10,1/,1,nan,nan,FIU Panthers,Defense
10/11/2014,@ UTSA,L 13 - 16,1/,3,nan,nan,FIU Panthers,Offense
10/11/2014,@ UTSA,L 13 - 16,1/,3,2,nan,FIU Panthers,Defense
10/18/2014,Marshall,L 13 - 45,1/,nan,1,nan,FIU Panthers,Offense
10/18/2014,Marshall,L 13 - 45,1/,nan,2,1,FIU Panthers,Defense
11/01/2014,Rice,L 17 - 31,1/,nan,nan,nan,FIU Panthers,Offense
11/01/2014,Rice,L 17 - 31,1/,2,nan,nan,FIU Panthers,Defense
11/08/2014,@ Old Dominion,L 35 - 38,1/,1,nan,nan,FIU Panthers,Offense
11/08/2014,@ Old Dominion,L 35 - 38,1/,nan,1,nan,FIU Panthers,Defense
11/15/2014,Middle Tenn.,W 38 - 28,1/,2,3,nan,FIU Panthers,Offense
11/15/2014,Middle Tenn.,W 38 - 28,1/,1,nan,nan,FIU Panthers,Defense
11/22/2014,@ North Texas,L 14 - 17,1/,nan,2,nan,FIU Panthers,Offense
11/22/2014,@ North Texas,L 14 - 17,1/,nan,3,nan,FIU Panthers,Defense
09/01/2016,Indiana,L 13 - 34,1/,1,nan,nan,FIU Panthers,Offense
09/01/2016,Indiana,L 13 - 34,1/,nan,3,nan,FIU Panthers,Defense
09/09/2016,Maryland,L 14 - 41,1/,nan,nan,nan,FIU Panthers,Offense
09/09/2016,Maryland,L 14 - 41,1/,nan,1,nan,FIU Panthers,Defense
09/17/2016,@ Massachusetts,L 13 - 21,1/,nan,1,nan,FIU Panthers,Offense
09/17/2016,@ Massachusetts,L 13 - 21,1/,2,nan,nan,FIU Panthers,Defense
09/24/2016,UCF,L 14 - 53,1/,nan,nan,nan,FIU Panthers,Offense
09/24/2016,UCF,L 14 - 53,1/,nan,1,nan,FIU Panthers,Defense
10/01/2016,Fla. Atlantic,W 33 - 31,1/,1,nan,nan,FIU Panthers,Offense
10/01/2016,Fla. Atlantic,W 33 - 31,1/,nan,2,1,FIU Panthers,Defense
10/08/2016,@ UTEP,W 35 - 21,1/,nan,1,nan,FIU Panthers,Offense
10/08/2016,@ UTEP,W 35 - 21,1/,nan,1,nan,FIU Panthers,Defense
10/15/2016,@ Charlotte,W 27 - 26,1/,2,1,1,FIU Panthers,Offense
10/15/2016,@ Charlotte,W 27 - 26,1/,1,2,nan,FIU Panthers,Defense
10/22/2016,Louisiana Tech,L 24 - 44,1/,nan,nan,nan,FIU Panthers,Offense
10/22/2016,Louisiana Tech,L 24 - 44,1/,nan,1,nan,FIU Panthers,Defense
10/29/2016,Middle Tenn.,L 35 - 42,1/,nan,nan,nan,FIU Panthers,Offense
10/29/2016,Middle Tenn.,L 35 - 42,1/,2,1,nan,FIU Panthers,Defense
11/05/2016,@ Western Ky.,L 21 - 49,1/,2,nan,nan,FIU Panthers,Offense
11/05/2016,@ Western Ky.,L 21 - 49,1/,1,2,nan,FIU Panthers,Defense
11/19/2016,Marshall,W 31 - 14,1/,nan,2,1,FIU Panthers,Offense
11/19/2016,Marshall,W 31 - 14,1/,nan,2,nan,FIU Panthers,Defense
11/26/2016,@ Old Dominion,L 28 - 42,1/,2,1,nan,FIU Panthers,Offense
11/26/2016,@ Old Dominion,L 28 - 42,1/,nan,1,nan,FIU Panthers,Defense
08/27/2016,"California @ Sydney, Australia",L 31 - 51,1/,nan,nan,nan,Hawaii Rainbow Warriors,Offense
08/27/2016,"California @ Sydney, Australia",L 31 - 51,1/,2,1,nan,Hawaii Rainbow Warriors,Defense
09/03/2016,@ Michigan,L 3 - 63,1/,nan,1,nan,Hawaii Rainbow Warriors,Offense
09/03/2016,@ Michigan,L 3 - 63,1/,nan,2,nan,Hawaii Rainbow Warriors,Defense
09/10/2016,UT Martin,W 41 - 36,1/,2,2,nan,Hawaii Rainbow Warriors,Offense
09/10/2016,UT Martin,W 41 - 36,1/,nan,3,nan,Hawaii Rainbow Warriors,Defense
09/17/2016,@ Arizona,L 28 - 47,1/,nan,nan,nan,Hawaii Rainbow Warriors,Offense
09/17/2016,@ Arizona,L 28 - 47,1/,1,1,nan,Hawaii Rainbow Warriors,Defense
10/01/2016,Nevada,W 38 - 17,1/,nan,nan,nan,Hawaii Rainbow Warriors,Offense
10/01/2016,Nevada,W 38 - 17,1/,1,nan,nan,Hawaii Rainbow Warriors,Defense
10/08/2016,@ San Jose St.,W 34 - 17,1/,nan,3,1,Hawaii Rainbow Warriors,Offense
10/08/2016,@ San Jose St.,W 34 - 17,1/,2,nan,nan,Hawaii Rainbow Warriors,Defense
10/15/2016,UNLV,L 38 - 41,1/,nan,nan,1,Hawaii Rainbow Warriors,Offense
10/15/2016,UNLV,L 38 - 41,1/,1,nan,nan,Hawaii Rainbow Warriors,Defense
10/22/2016,@ Air Force,W 34 - 27 (2OT),1/,2,1,nan,Hawaii Rainbow Warriors,Offense
10/22/2016,@ Air Force,W 34 - 27 (2OT),1/,nan,2,nan,Hawaii Rainbow Warriors,Defense
10/29/2016,New Mexico,L 21 - 28,1/,nan,1,nan,Hawaii Rainbow Warriors,Offense
10/29/2016,New Mexico,L 21 - 28,1/,1,nan,nan,Hawaii Rainbow Warriors,Defense
11/05/2016,@ San Diego St.,L 0 - 55,1/,nan,1,nan,Hawaii Rainbow Warriors,Offense
11/05/2016,@ San Diego St.,L 0 - 55,1/,nan,4/,nan,Hawaii Rainbow Warriors,Defense
11/12/2016,Boise St.,L 16 - 52,1/,nan,nan,nan,Hawaii Rainbow Warriors,Offense
11/12/2016,Boise St.,L 16 - 52,1/,1,1,nan,Hawaii Rainbow Warriors,Defense
11/19/2016,@ Fresno St.,W 14 - 13,1/,nan,nan,1,Hawaii Rainbow Warriors,Offense
11/19/2016,@ Fresno St.,W 14 - 13,1/,nan,1,nan,Hawaii Rainbow Warriors,Defense
11/26/2016,Massachusetts,W 46 - 40,1/,1,nan,1,Hawaii Rainbow Warriors,Offense
11/26/2016,Massachusetts,W 46 - 40,1/,1,nan,nan,Hawaii Rainbow Warriors,Defense
12/24/2016,Middle Tenn.,W 52 - 35,1/,1,2,nan,Hawaii Rainbow Warriors,Offense
12/24/2016,Middle Tenn.,W 52 - 35,1/,nan,nan,nan,Hawaii Rainbow Warriors,Defense
09/03/2015,Colorado,W 28 - 20,1/,2,1,1,Hawaii Rainbow Warriors,Offense
09/03/2015,Colorado,W 28 - 20,1/,nan,2,nan,Hawaii Rainbow Warriors,Defense
09/12/2015,@ Ohio St.,L 0 - 38,1/,nan,nan,nan,Hawaii Rainbow Warriors,Offense
09/12/2015,@ Ohio St.,L 0 - 38,1/,2,2,nan,Hawaii Rainbow Warriors,Defense
09/19/2015,UC Davis,W 47 - 27,1/,1,nan,1,Hawaii Rainbow Warriors,Offense
09/19/2015,UC Davis,W 47 - 27,1/,1,nan,1,Hawaii Rainbow Warriors,Defense
09/26/2015,@ Wisconsin,L 0 - 28,1/,nan,nan,nan,Hawaii Rainbow Warriors,Offense
09/26/2015,@ Wisconsin,L 0 - 28,1/,nan,nan,nan,Hawaii Rainbow Warriors,Defense
10/03/2015,@ Boise St.,L 0 - 55,1/,nan,nan,nan,Hawaii Rainbow Warriors,Offense
10/03/2015,@ Boise St.,L 0 - 55,1/,1,3,nan,Hawaii Rainbow Warriors,Defense
10/10/2015,San Diego St.,L 14 - 28,1/,1,nan,nan,Hawaii Rainbow Warriors,Offense
10/10/2015,San Diego St.,L 14 - 28,1/,1,2,nan,Hawaii Rainbow Warriors,Defense
10/17/2015,@ New Mexico,L 27 - 28,1/,2,nan,nan,Hawaii Rainbow Warriors,Offense
10/17/2015,@ New Mexico,L 27 - 28,1/,nan,2,nan,Hawaii Rainbow Warriors,Defense
10/24/2015,@ Nevada,L 20 - 30,1/,nan,1,nan,Hawaii Rainbow Warriors,Offense
10/24/2015,@ Nevada,L 20 - 30,1/,1,3,nan,Hawaii Rainbow Warriors,Defense
10/31/2015,Air Force,L 7 - 58,1/,nan,nan,nan,Hawaii Rainbow Warriors,Offense
10/31/2015,Air Force,L 7 - 58,1/,2,2,nan,Hawaii Rainbow Warriors,Defense
11/07/2015,@ UNLV,L 21 - 41,1/,1,1,nan,Hawaii Rainbow Warriors,Offense
11/07/2015,@ UNLV,L 21 - 41,1/,2,1,nan,Hawaii Rainbow Warriors,Defense
11/14/2015,Fresno St.,L 14 - 42,1/,nan,nan,nan,Hawaii Rainbow Warriors,Offense
11/14/2015,Fresno St.,L 14 - 42,1/,1,3,nan,Hawaii Rainbow Warriors,Defense
11/21/2015,San Jose St.,L 23 - 42,1/,nan,nan,nan,Hawaii Rainbow Warriors,Offense
11/21/2015,San Jose St.,L 23 - 42,1/,1,1,nan,Hawaii Rainbow Warriors,Defense
11/28/2015,La.-Monroe,W 28 - 26,1/,1,nan,nan,Hawaii Rainbow Warriors,Offense
11/28/2015,La.-Monroe,W 28 - 26,1/,1,nan,nan,Hawaii Rainbow Warriors,Defense
08/27/2014,Abilene Christian,W 38 - 37,1/,nan,1,nan,Georgia St. Panthers,Offense
08/27/2014,Abilene Christian,W 38 - 37,1/,1,2,nan,Georgia St. Panthers,Defense
09/06/2014,New Mexico St.,L 31 - 34,1/,2,1,nan,Georgia St. Panthers,Offense
09/06/2014,New Mexico St.,L 31 - 34,1/,2,2,nan,Georgia St. Panthers,Defense
09/13/2014,Air Force,L 38 - 48,1/,nan,nan,nan,Georgia St. Panthers,Offense
09/13/2014,Air Force,L 38 - 48,1/,nan,1,nan,Georgia St. Panthers,Defense
09/20/2014,@ Washington,L 14 - 45,1/,nan,nan,nan,Georgia St. Panthers,Offense
09/20/2014,@ Washington,L 14 - 45,1/,1,3,nan,Georgia St. Panthers,Defense
10/04/2014,@ Louisiana,L 31 - 34,1/,nan,nan,nan,Georgia St. Panthers,Offense
10/04/2014,@ Louisiana,L 31 - 34,1/,nan,nan,nan,Georgia St. Panthers,Defense
10/11/2014,Arkansas St.,L 10 - 52,1/,2,nan,nan,Georgia St. Panthers,Offense
10/11/2014,Arkansas St.,L 10 - 52,1/,1,1,nan,Georgia St. Panthers,Defense
10/18/2014,@ South Ala.,L 27 - 30,1/,nan,nan,nan,Georgia St. Panthers,Offense
10/18/2014,@ South Ala.,L 27 - 30,1/,1,nan,nan,Georgia St. Panthers,Defense
10/25/2014,Ga. Southern,L 31 - 69,1/,nan,nan,nan,Georgia St. Panthers,Offense
10/25/2014,Ga. Southern,L 31 - 69,1/,2,1,nan,Georgia St. Panthers,Defense
11/01/2014,@ Appalachian St.,L 0 - 44,1/,nan,nan,nan,Georgia St. Panthers,Offense
11/01/2014,@ Appalachian St.,L 0 - 44,1/,2,1,nan,Georgia St. Panthers,Defense
11/08/2014,@ Troy,L 21 - 45,1/,nan,nan,nan,Georgia St. Panthers,Offense
11/08/2014,@ Troy,L 21 - 45,1/,1,2,nan,Georgia St. Panthers,Defense
11/22/2014,@ Clemson,L 0 - 28,1/,1,1,nan,Georgia St. Panthers,Offense
11/22/2014,@ Clemson,L 0 - 28,1/,nan,3,nan,Georgia St. Panthers,Defense
11/29/2014,Texas St.,L 31 - 54,1/,nan,nan,nan,Georgia St. Panthers,Offense
11/29/2014,Texas St.,L 31 - 54,1/,1,2,nan,Georgia St. Panthers,Defense
08/30/2014,Wofford,W 38 - 19,1/,nan,nan,1,Georgia Tech Yellow Jackets,Offense
08/30/2014,Wofford,W 38 - 19,1/,nan,nan,nan,Georgia Tech Yellow Jackets,Defense
09/06/2014,@ Tulane,W 38 - 21,1/,nan,3,1,Georgia Tech Yellow Jackets,Offense
09/06/2014,@ Tulane,W 38 - 21,1/,2,1,nan,Georgia Tech Yellow Jackets,Defense
09/13/2014,Ga. Southern,W 42 - 38,1/,1,nan,nan,Georgia Tech Yellow Jackets,Offense
09/13/2014,Ga. Southern,W 42 - 38,1/,nan,nan,nan,Georgia Tech Yellow Jackets,Defense
09/20/2014,@ Virginia Tech,W 27 - 24,1/,nan,3,1,Georgia Tech Yellow Jackets,Offense
09/20/2014,@ Virginia Tech,W 27 - 24,1/,1,nan,nan,Georgia Tech Yellow Jackets,Defense
10/04/2014,Miami (FL),W 28 - 17,1/,nan,2,nan,Georgia Tech Yellow Jackets,Offense
10/04/2014,Miami (FL),W 28 - 17,1/,nan,nan,nan,Georgia Tech Yellow Jackets,Defense
10/11/2014,Duke,L 25 - 31,1/,nan,nan,nan,Georgia Tech Yellow Jackets,Offense
10/11/2014,Duke,L 25 - 31,1/,1,2,nan,Georgia Tech Yellow Jackets,Defense
10/18/2014,@ North Carolina,L 43 - 48,1/,nan,1,nan,Georgia Tech Yellow Jackets,Offense
10/18/2014,@ North Carolina,L 43 - 48,1/,1,nan,nan,Georgia Tech Yellow Jackets,Defense
10/25/2014,@ Pittsburgh,W 56 - 28,1/,6/,nan,nan,Georgia Tech Yellow Jackets,Offense
10/25/2014,@ Pittsburgh,W 56 - 28,1/,1,nan,nan,Georgia Tech Yellow Jackets,Defense
11/01/2014,Virginia,W 35 - 10,1/,nan,2,1,Georgia Tech Yellow Jackets,Offense
11/01/2014,Virginia,W 35 - 10,1/,nan,1,nan,Georgia Tech Yellow Jackets,Defense
11/08/2014,@ NC State,W 56 - 23,1/,1,2,1,Georgia Tech Yellow Jackets,Offense
11/08/2014,@ NC State,W 56 - 23,1/,2,nan,nan,Georgia Tech Yellow Jackets,Defense
11/15/2014,Clemson,W 28 - 6,1/,nan,3,nan,Georgia Tech Yellow Jackets,Offense
11/15/2014,Clemson,W 28 - 6,1/,2,nan,nan,Georgia Tech Yellow Jackets,Defense
11/29/2014,@ Georgia,W 30 - 24 (1OT),1/,2,1,1,Georgia Tech Yellow Jackets,Offense
11/29/2014,@ Georgia,W 30 - 24 (1OT),1/,2,nan,2/,Georgia Tech Yellow Jackets,Defense
12/06/2014,"Florida St. @ Charlotte, N.C.",L 35 - 37,1/,nan,nan,nan,Georgia Tech Yellow Jackets,Offense
12/06/2014,"Florida St. @ Charlotte, N.C.",L 35 - 37,1/,nan,1,nan,Georgia Tech Yellow Jackets,Defense
12/31/2014,"Mississippi St. @ Miami Gardens, Fla.",W 49 - 34,1/,1,1,nan,Georgia Tech Yellow Jackets,Offense
12/31/2014,"Mississippi St. @ Miami Gardens, Fla.",W 49 - 34,1/,nan,1,nan,Georgia Tech Yellow Jackets,Defense
09/03/2015,Alcorn,W 69 - 6,1/,2,1,nan,Georgia Tech Yellow Jackets,Offense
09/03/2015,Alcorn,W 69 - 6,1/,1,nan,nan,Georgia Tech Yellow Jackets,Defense
09/12/2015,Tulane,W 65 - 10,1/,1,1,1,Georgia Tech Yellow Jackets,Offense
09/12/2015,Tulane,W 65 - 10,1/,1,nan,nan,Georgia Tech Yellow Jackets,Defense
09/19/2015,@ Notre Dame,L 22 - 30,1/,1,1,nan,Georgia Tech Yellow Jackets,Offense
09/19/2015,@ Notre Dame,L 22 - 30,1/,1,nan,nan,Georgia Tech Yellow Jackets,Defense
09/26/2015,@ Duke,L 20 - 34,1/,1,2,nan,Georgia Tech Yellow Jackets,Offense
09/26/2015,@ Duke,L 20 - 34,1/,1,1,nan,Georgia Tech Yellow Jackets,Defense
10/03/2015,North Carolina,L 31 - 38,1/,nan,nan,1,Georgia Tech Yellow Jackets,Offense
10/03/2015,North Carolina,L 31 - 38,1/,1,1,nan,Georgia Tech Yellow Jackets,Defense
10/10/2015,@ Clemson,L 24 - 43,1/,2,1,nan,Georgia Tech Yellow Jackets,Offense
10/10/2015,@ Clemson,L 24 - 43,1/,nan,1,1,Georgia Tech Yellow Jackets,Defense
10/17/2015,Pittsburgh,L 28 - 31,1/,nan,nan,nan,Georgia Tech Yellow Jackets,Offense
10/17/2015,Pittsburgh,L 28 - 31,1/,1,1,1,Georgia Tech Yellow Jackets,Defense
10/24/2015,Florida St.,W 22 - 16,1/,nan,1,1,Georgia Tech Yellow Jackets,Offense
10/24/2015,Florida St.,W 22 - 16,1/,nan,2,nan,Georgia Tech Yellow Jackets,Defense
10/31/2015,@ Virginia,L 21 - 27,1/,nan,1,nan,Georgia Tech Yellow Jackets,Offense
10/31/2015,@ Virginia,L 21 - 27,1/,2,nan,nan,Georgia Tech Yellow Jackets,Defense
11/12/2015,Virginia Tech,L 21 - 23,1/,1,1,nan,Georgia Tech Yellow Jackets,Offense
11/12/2015,Virginia Tech,L 21 - 23,1/,3/,nan,nan,Georgia Tech Yellow Jackets,Defense
11/21/2015,@ Miami (FL),L 21 - 38,1/,nan,nan,nan,Georgia Tech Yellow Jackets,Offense
11/21/2015,@ Miami (FL),L 21 - 38,1/,2,2,nan,Georgia Tech Yellow Jackets,Defense
11/28/2015,Georgia,L 7 - 13,1/,nan,nan,nan,Georgia Tech Yellow Jackets,Offense
11/28/2015,Georgia,L 7 - 13,1/,1,2,nan,Georgia Tech Yellow Jackets,Defense
09/03/2016,"Boston College @ Dublin, Ireland",W 17 - 14,1/,2,1,1,Georgia Tech Yellow Jackets,Offense
09/03/2016,"Boston College @ Dublin, Ireland",W 17 - 14,1/,1,nan,nan,Georgia Tech Yellow Jackets,Defense
09/10/2016,Mercer,W 35 - 10,1/,nan,nan,1,Georgia Tech Yellow Jackets,Offense
09/10/2016,Mercer,W 35 - 10,1/,2,nan,nan,Georgia Tech Yellow Jackets,Defense
09/17/2016,Vanderbilt,W 38 - 7,1/,nan,1,nan,Georgia Tech Yellow Jackets,Offense
09/17/2016,Vanderbilt,W 38 - 7,1/,nan,1,nan,Georgia Tech Yellow Jackets,Defense
09/22/2016,Clemson,L 7 - 26,1/,nan,1,nan,Georgia Tech Yellow Jackets,Offense
09/22/2016,Clemson,L 7 - 26,1/,nan,1,nan,Georgia Tech Yellow Jackets,Defense
10/01/2016,Miami (FL),L 21 - 35,1/,nan,nan,nan,Georgia Tech Yellow Jackets,Offense
10/01/2016,Miami (FL),L 21 - 35,1/,2,1,nan,Georgia Tech Yellow Jackets,Defense
10/08/2016,@ Pittsburgh,L 34 - 37,1/,1,nan,nan,Georgia Tech Yellow Jackets,Offense
10/08/2016,@ Pittsburgh,L 34 - 37,1/,nan,nan,nan,Georgia Tech Yellow Jackets,Defense
10/15/2016,Ga. Southern,W 35 - 24,1/,nan,nan,nan,Georgia Tech Yellow Jackets,Offense
10/15/2016,Ga. Southern,W 35 - 24,1/,nan,nan,nan,Georgia Tech Yellow Jackets,Defense
10/29/2016,Duke,W 38 - 35,1/,2,1,nan,Georgia Tech Yellow Jackets,Offense
10/29/2016,Duke,W 38 - 35,1/,2,nan,nan,Georgia Tech Yellow Jackets,Defense
11/05/2016,@ North Carolina,L 20 - 48,1/,nan,nan,nan,Georgia Tech Yellow Jackets,Offense
11/05/2016,@ North Carolina,L 20 - 48,1/,2,nan,1,Georgia Tech Yellow Jackets,Defense
11/12/2016,@ Virginia Tech,W 30 - 20,1/,2,2,1,Georgia Tech Yellow Jackets,Offense
11/12/2016,@ Virginia Tech,W 30 - 20,1/,1,nan,nan,Georgia Tech Yellow Jackets,Defense
11/19/2016,Virginia,W 31 - 17,1/,nan,3,nan,Georgia Tech Yellow Jackets,Offense
11/19/2016,Virginia,W 31 - 17,1/,nan,nan,nan,Georgia Tech Yellow Jackets,Defense
11/26/2016,@ Georgia,W 28 - 27,1/,nan,2,nan,Georgia Tech Yellow Jackets,Offense
11/26/2016,@ Georgia,W 28 - 27,1/,1,1,nan,Georgia Tech Yellow Jackets,Defense
12/31/2016,"Kentucky @ Jacksonville, Fla.",W 33 - 18,1/,1,nan,1,Georgia Tech Yellow Jackets,Offense
12/31/2016,"Kentucky @ Jacksonville, Fla.",W 33 - 18,1/,nan,nan,1,Georgia Tech Yellow Jackets,Defense
09/02/2016,Ball St.,L 21 - 31,1/,nan,2,nan,Georgia St. Panthers,Offense
09/02/2016,Ball St.,L 21 - 31,1/,1,1,nan,Georgia St. Panthers,Defense
09/10/2016,@ Air Force,L 14 - 48,1/,nan,nan,nan,Georgia St. Panthers,Offense
09/10/2016,@ Air Force,L 14 - 48,1/,nan,nan,nan,Georgia St. Panthers,Defense
09/17/2016,@ Wisconsin,L 17 - 23,1/,1,1,nan,Georgia St. Panthers,Offense
09/17/2016,@ Wisconsin,L 17 - 23,1/,nan,nan,1,Georgia St. Panthers,Defense
10/01/2016,@ Appalachian St.,L 3 - 17,1/,nan,1,nan,Georgia St. Panthers,Offense
10/01/2016,@ Appalachian St.,L 3 - 17,1/,nan,4,nan,Georgia St. Panthers,Defense
10/08/2016,Texas St.,W 41 - 21,1/,1,2,1,Georgia St. Panthers,Offense
10/08/2016,Texas St.,W 41 - 21,1/,3/,nan,nan,Georgia St. Panthers,Defense
10/15/2016,@ Troy,L 21 - 31,1/,nan,1,nan,Georgia St. Panthers,Offense
10/15/2016,@ Troy,L 21 - 31,1/,1,2,nan,Georgia St. Panthers,Defense
