Year,Team,GP,Punts,G,PuntYds,PuntTBs,LongPunt,OffenseDefense
2016-17,Akron,12,61,12,2255,nan,nan,Offense
2016-17,Akron,0,51,12,1981,1,nan,Defensive
2017-18,Akron,13,81,13,3284,3,nan,Offense
2017-18,Akron,0,54,13,2078,5,nan,Defensive
2013-14,Akron,12,66,12,2789,8,nan,Offense
2013-14,Akron,0,57,12,2175,4,nan,Defensive
2014-15,Akron,12,67,12,2806,14,nan,Offense
2014-15,Akron,0,66,12,2655,5,nan,Defensive
2015-16,Akron,13,81,13,3291,8,nan,Offense
2015-16,Akron,0,75,13,3107,5,nan,Defensive
2016-17,Akron,12,61,12,2255,nan,nan,Offense
2016-17,Akron,0,51,12,1981,1,nan,Defensive
2017-18,Akron,13,81,13,3284,3,nan,Offense
2017-18,Akron,0,54,13,2078,5,nan,Defensive
2013-14,Akron,12,66,12,2789,8,nan,Offense
2013-14,Akron,0,57,12,2175,4,nan,Defensive
2014-15,Akron,12,67,12,2806,14,nan,Offense
2014-15,Akron,0,66,12,2655,5,nan,Defensive
2015-16,Akron,13,81,13,3291,8,nan,Offense
2015-16,Akron,0,75,13,3107,5,nan,Defensive
2016-17,Akron,12,61,12,2255,nan,nan,Offense
2016-17,Akron,0,51,12,1981,1,nan,Defensive
2017-18,Akron,13,81,13,3284,3,nan,Offense
2017-18,Akron,0,54,13,2078,5,nan,Defensive
2013-14,Air Force,12,49,12,1895,3,nan,Offense
2013-14,Air Force,0,31,12,1333,5,nan,Defensive
2014-15,Air Force,13,61,13,2662,9,nan,Offense
2014-15,Air Force,0,68,13,2710,8,nan,Defensive
2015-16,Air Force,14,60,14,2316,3,nan,Offense
2015-16,Air Force,0,79,14,3526,6,nan,Defensive
2016-17,Air Force,13,48,13,1973,1,nan,Offense
2016-17,Air Force,0,65,13,2578,6,nan,Defensive
2017-18,Air Force,12,41,12,1728,nan,nan,Offense
2017-18,Air Force,0,50,12,2050,6,nan,Defensive
2013-14,Air Force,12,49,12,1895,3,nan,Offense
2013-14,Air Force,0,31,12,1333,5,nan,Defensive
2014-15,Air Force,13,61,13,2662,9,nan,Offense
2014-15,Air Force,0,68,13,2710,8,nan,Defensive
2015-16,Air Force,14,60,14,2316,3,nan,Offense
2015-16,Air Force,0,79,14,3526,6,nan,Defensive
2016-17,Air Force,13,48,13,1973,1,nan,Offense
2016-17,Air Force,0,65,13,2578,6,nan,Defensive
2017-18,Air Force,12,41,12,1728,nan,nan,Offense
2017-18,Air Force,0,50,12,2050,6,nan,Defensive
2013-14,Air Force,12,49,12,1895,3,nan,Offense
2013-14,Air Force,0,31,12,1333,5,nan,Defensive
2014-15,Air Force,13,61,13,2662,9,nan,Offense
2014-15,Air Force,0,68,13,2710,8,nan,Defensive
2015-16,Air Force,14,60,14,2316,3,nan,Offense
