Year,Team,GP,Punts,G,PuntYds,PuntTBs,LongPunt,OffenseDefense
2017-18,Duke,12,63,12,2614,10,nan,Offense
2017-18,Duke,0,68,12,3074,2,nan,Defensive
2013-14,Duke,14,69,14,2945,6,nan,Offense
2013-14,Duke,0,75,14,3020,2,nan,Defensive
2014-15,Duke,13,59,13,2537,8,nan,Offense
2014-15,Duke,0,63,13,2603,4,nan,Defensive
2015-16,Duke,13,65,13,2826,13,nan,Offense
2015-16,Duke,0,81,13,3365,5,nan,Defensive
2016-17,Duke,12,68,12,2640,4,nan,Offense
2016-17,Duke,0,67,12,2828,7,nan,Defensive
2017-18,Duke,12,63,12,2614,10,nan,Offense
2017-18,Duke,0,68,12,3074,2,nan,Defensive
2013-14,Duke,14,69,14,2945,6,nan,Offense
2013-14,Duke,0,75,14,3020,2,nan,Defensive
2014-15,Duke,13,59,13,2537,8,nan,Offense
2014-15,Duke,0,63,13,2603,4,nan,Defensive
2015-16,Duke,13,65,13,2826,13,nan,Offense
2015-16,Duke,0,81,13,3365,5,nan,Defensive
2016-17,Duke,12,68,12,2640,4,nan,Offense
2016-17,Duke,0,67,12,2828,7,nan,Defensive
2017-18,Duke,12,63,12,2614,10,nan,Offense
2017-18,Duke,0,68,12,3074,2,nan,Defensive
2013-14,Colorado St.,14,70,14,2851,4,nan,Offense
2013-14,Colorado St.,0,77,14,3217,5,nan,Defensive
2014-15,Colorado St.,13,51,13,2235,4,nan,Offense
2014-15,Colorado St.,0,71,13,2981,7,nan,Defensive
2015-16,Colorado St.,13,53,13,2393,1,nan,Offense
2015-16,Colorado St.,0,64,13,2642,5,nan,Defensive
2016-17,Colorado St.,13,56,13,2469,4,nan,Offense
2016-17,Colorado St.,0,63,13,2635,3,nan,Defensive
2017-18,Colorado St.,12,40,12,1777,6,nan,Offense
2017-18,Colorado St.,0,53,12,2273,2,nan,Defensive
2013-14,Colorado St.,14,70,14,2851,4,nan,Offense
2013-14,Colorado St.,0,77,14,3217,5,nan,Defensive
2014-15,Colorado St.,13,51,13,2235,4,nan,Offense
2014-15,Colorado St.,0,71,13,2981,7,nan,Defensive
2015-16,Colorado St.,13,53,13,2393,1,nan,Offense
2015-16,Colorado St.,0,64,13,2642,5,nan,Defensive
2016-17,Colorado St.,13,56,13,2469,4,nan,Offense
2016-17,Colorado St.,0,63,13,2635,3,nan,Defensive
2017-18,Colorado St.,12,40,12,1777,6,nan,Offense
2017-18,Colorado St.,0,53,12,2273,2,nan,Defensive
2013-14,Colorado St.,14,70,14,2851,4,nan,Offense
2013-14,Colorado St.,0,77,14,3217,5,nan,Defensive
2014-15,Colorado St.,13,51,13,2235,4,nan,Offense
2014-15,Colorado St.,0,71,13,2981,7,nan,Defensive
2015-16,Colorado St.,13,53,13,2393,1,nan,Offense
2015-16,Colorado St.,0,64,13,2642,5,nan,Defensive
2016-17,Colorado St.,13,56,13,2469,4,nan,Offense
2016-17,Colorado St.,0,63,13,2635,3,nan,Defensive
2017-18,Colorado St.,12,40,12,1777,6,nan,Offense
2017-18,Colorado St.,0,53,12,2273,2,nan,Defensive
2013-14,Colorado St.,14,70,14,2851,4,nan,Offense
2013-14,Colorado St.,0,77,14,3217,5,nan,Defensive
2014-15,Colorado St.,13,51,13,2235,4,nan,Offense
2014-15,Colorado St.,0,71,13,2981,7,nan,Defensive
2015-16,Colorado St.,13,53,13,2393,1,nan,Offense
2015-16,Colorado St.,0,64,13,2642,5,nan,Defensive
2016-17,Colorado St.,13,56,13,2469,4,nan,Offense
2016-17,Colorado St.,0,63,13,2635,3,nan,Defensive
2017-18,Colorado St.,12,40,12,1777,6,nan,Offense
2017-18,Colorado St.,0,53,12,2273,2,nan,Defensive
2013-14,Fresno St.,13,59,13,2486,3,nan,Offense
2013-14,Fresno St.,0,76,13,3199,6,nan,Defensive
2014-15,Fresno St.,14,85,14,3432,3,nan,Offense
2014-15,Fresno St.,0,76,14,3176,5,nan,Defensive
2015-16,Fresno St.,12,68,12,2826,3,nan,Offense
2015-16,Fresno St.,0,54,12,2199,2,nan,Defensive
2016-17,Fresno St.,12,80,12,2990,2,nan,Offense
2016-17,Fresno St.,0,68,12,2574,2,nan,Defensive
2017-18,Fresno St.,13,65,13,2736,8,nan,Offense
2017-18,Fresno St.,0,73,13,3093,1,nan,Defensive
2013-14,Fresno St.,13,59,13,2486,3,nan,Offense
2013-14,Fresno St.,0,76,13,3199,6,nan,Defensive
2014-15,Fresno St.,14,85,14,3432,3,nan,Offense
2014-15,Fresno St.,0,76,14,3176,5,nan,Defensive
2015-16,Fresno St.,12,68,12,2826,3,nan,Offense
2015-16,Fresno St.,0,54,12,2199,2,nan,Defensive
2016-17,Fresno St.,12,80,12,2990,2,nan,Offense
2016-17,Fresno St.,0,68,12,2574,2,nan,Defensive
2017-18,Fresno St.,13,65,13,2736,8,nan,Offense
2017-18,Fresno St.,0,73,13,3093,1,nan,Defensive
2013-14,Fresno St.,13,59,13,2486,3,nan,Offense
2013-14,Fresno St.,0,76,13,3199,6,nan,Defensive
2014-15,Fresno St.,14,85,14,3432,3,nan,Offense
2014-15,Fresno St.,0,76,14,3176,5,nan,Defensive
2015-16,Fresno St.,12,68,12,2826,3,nan,Offense
2015-16,Fresno St.,0,54,12,2199,2,nan,Defensive
2016-17,Fresno St.,12,80,12,2990,2,nan,Offense
2016-17,Fresno St.,0,68,12,2574,2,nan,Defensive
2017-18,Fresno St.,13,65,13,2736,8,nan,Offense
2017-18,Fresno St.,0,73,13,3093,1,nan,Defensive
2013-14,Fresno St.,13,59,13,2486,3,nan,Offense
2013-14,Fresno St.,0,76,13,3199,6,nan,Defensive
2014-15,Fresno St.,14,85,14,3432,3,nan,Offense
2014-15,Fresno St.,0,76,14,3176,5,nan,Defensive
2015-16,Fresno St.,12,68,12,2826,3,nan,Offense
2015-16,Fresno St.,0,54,12,2199,2,nan,Defensive
2016-17,Fresno St.,12,80,12,2990,2,nan,Offense
2016-17,Fresno St.,0,68,12,2574,2,nan,Defensive
2017-18,Fresno St.,13,65,13,2736,8,nan,Offense
2017-18,Fresno St.,0,73,13,3093,1,nan,Defensive
2013-14,Florida St.,14,42,14,1725,2,nan,Offense
2013-14,Florida St.,0,96,14,4109,5,nan,Defensive
2014-15,Florida St.,14,48,14,1966,2,nan,Offense
2014-15,Florida St.,0,64,14,2712,6,nan,Defensive
2015-16,Florida St.,13,62,13,2793,4,nan,Offense
2015-16,Florida St.,0,85,13,3586,6,nan,Defensive
2016-17,Florida St.,13,56,13,2227,2,nan,Offense
2016-17,Florida St.,0,76,13,3191,3,nan,Defensive
2017-18,Florida St.,12,66,12,2811,5,nan,Offense
2017-18,Florida St.,0,73,12,3025,3,nan,Defensive
2013-14,Florida St.,14,42,14,1725,2,nan,Offense
2013-14,Florida St.,0,96,14,4109,5,nan,Defensive
2014-15,Florida St.,14,48,14,1966,2,nan,Offense
2014-15,Florida St.,0,64,14,2712,6,nan,Defensive
2015-16,Florida St.,13,62,13,2793,4,nan,Offense
2015-16,Florida St.,0,85,13,3586,6,nan,Defensive
2016-17,Florida St.,13,56,13,2227,2,nan,Offense
2016-17,Florida St.,0,76,13,3191,3,nan,Defensive
2017-18,Florida St.,12,66,12,2811,5,nan,Offense
2017-18,Florida St.,0,73,12,3025,3,nan,Defensive
2013-14,Florida St.,14,42,14,1725,2,nan,Offense
2013-14,Florida St.,0,96,14,4109,5,nan,Defensive
2014-15,Florida St.,14,48,14,1966,2,nan,Offense
2014-15,Florida St.,0,64,14,2712,6,nan,Defensive
2015-16,Florida St.,13,62,13,2793,4,nan,Offense
2015-16,Florida St.,0,85,13,3586,6,nan,Defensive
2016-17,Florida St.,13,56,13,2227,2,nan,Offense
2016-17,Florida St.,0,76,13,3191,3,nan,Defensive
2017-18,Florida St.,12,66,12,2811,5,nan,Offense
2017-18,Florida St.,0,73,12,3025,3,nan,Defensive
2013-14,Florida St.,14,42,14,1725,2,nan,Offense
2013-14,Florida St.,0,96,14,4109,5,nan,Defensive
2014-15,Florida St.,14,48,14,1966,2,nan,Offense
2014-15,Florida St.,0,64,14,2712,6,nan,Defensive
2015-16,Florida St.,13,62,13,2793,4,nan,Offense
2015-16,Florida St.,0,85,13,3586,6,nan,Defensive
2016-17,Florida St.,13,56,13,2227,2,nan,Offense
2016-17,Florida St.,0,76,13,3191,3,nan,Defensive
2017-18,Florida St.,12,66,12,2811,5,nan,Offense
2017-18,Florida St.,0,73,12,3025,3,nan,Defensive
2013-14,Florida,12,51,12,2085,8,nan,Offense
2013-14,Florida,0,51,12,2170,2,nan,Defensive
2014-15,Florida,12,65,12,2832,7,nan,Offense
2014-15,Florida,0,76,12,3148,4,nan,Defensive
2015-16,Florida,14,84,14,3765,5,nan,Offense
2015-16,Florida,0,89,14,3940,3,nan,Defensive
2016-17,Florida,13,65,13,3065,7,nan,Offense
2016-17,Florida,0,78,13,3249,1,nan,Defensive
2017-18,Florida,11,65,11,3068,5,nan,Offense
2017-18,Florida,0,55,11,2343,3,nan,Defensive
2013-14,Florida,12,51,12,2085,8,nan,Offense
2013-14,Florida,0,51,12,2170,2,nan,Defensive
2014-15,Florida,12,65,12,2832,7,nan,Offense
2014-15,Florida,0,76,12,3148,4,nan,Defensive
2015-16,Florida,14,84,14,3765,5,nan,Offense
2015-16,Florida,0,89,14,3940,3,nan,Defensive
2016-17,Florida,13,65,13,3065,7,nan,Offense
2016-17,Florida,0,78,13,3249,1,nan,Defensive
2017-18,Florida,11,65,11,3068,5,nan,Offense
2017-18,Florida,0,55,11,2343,3,nan,Defensive
2013-14,Florida,12,51,12,2085,8,nan,Offense
2013-14,Florida,0,51,12,2170,2,nan,Defensive
2014-15,Florida,12,65,12,2832,7,nan,Offense
2014-15,Florida,0,76,12,3148,4,nan,Defensive
2015-16,Florida,14,84,14,3765,5,nan,Offense
2015-16,Florida,0,89,14,3940,3,nan,Defensive
2016-17,Florida,13,65,13,3065,7,nan,Offense
2016-17,Florida,0,78,13,3249,1,nan,Defensive
2017-18,Florida,11,65,11,3068,5,nan,Offense
2017-18,Florida,0,55,11,2343,3,nan,Defensive
2013-14,Fla. Atlantic,12,72,12,3072,5,nan,Offense
2013-14,Fla. Atlantic,0,81,12,3429,15,nan,Defensive
2014-15,Fla. Atlantic,12,69,12,2931,5,nan,Offense
2014-15,Fla. Atlantic,0,55,12,2332,3,nan,Defensive
2015-16,Fla. Atlantic,12,56,12,2512,3,nan,Offense
2015-16,Fla. Atlantic,0,59,12,2562,8,nan,Defensive
2016-17,Fla. Atlantic,12,69,12,2895,6,nan,Offense
2016-17,Fla. Atlantic,0,53,12,2173,nan,nan,Defensive
2017-18,Fla. Atlantic,13,46,13,1959,1,nan,Offense
2017-18,Fla. Atlantic,0,62,13,2501,3,nan,Defensive
2013-14,Fla. Atlantic,12,72,12,3072,5,nan,Offense
2013-14,Fla. Atlantic,0,81,12,3429,15,nan,Defensive
2014-15,Fla. Atlantic,12,69,12,2931,5,nan,Offense
2014-15,Fla. Atlantic,0,55,12,2332,3,nan,Defensive
2015-16,Fla. Atlantic,12,56,12,2512,3,nan,Offense
2015-16,Fla. Atlantic,0,59,12,2562,8,nan,Defensive
2016-17,Fla. Atlantic,12,69,12,2895,6,nan,Offense
2016-17,Fla. Atlantic,0,53,12,2173,nan,nan,Defensive
2017-18,Fla. Atlantic,13,46,13,1959,1,nan,Offense
2017-18,Fla. Atlantic,0,62,13,2501,3,nan,Defensive
2013-14,Fla. Atlantic,12,72,12,3072,5,nan,Offense
2013-14,Fla. Atlantic,0,81,12,3429,15,nan,Defensive
2014-15,Fla. Atlantic,12,69,12,2931,5,nan,Offense
2014-15,Fla. Atlantic,0,55,12,2332,3,nan,Defensive
2015-16,Fla. Atlantic,12,56,12,2512,3,nan,Offense
2015-16,Fla. Atlantic,0,59,12,2562,8,nan,Defensive
2016-17,Fla. Atlantic,12,69,12,2895,6,nan,Offense
2016-17,Fla. Atlantic,0,53,12,2173,nan,nan,Defensive
2017-18,Fla. Atlantic,13,46,13,1959,1,nan,Offense
2017-18,Fla. Atlantic,0,62,13,2501,3,nan,Defensive
2013-14,Fla. Atlantic,12,72,12,3072,5,nan,Offense
2013-14,Fla. Atlantic,0,81,12,3429,15,nan,Defensive
2014-15,Fla. Atlantic,12,69,12,2931,5,nan,Offense
2014-15,Fla. Atlantic,0,55,12,2332,3,nan,Defensive
2015-16,Fla. Atlantic,12,56,12,2512,3,nan,Offense
2015-16,Fla. Atlantic,0,59,12,2562,8,nan,Defensive
2016-17,Fla. Atlantic,12,69,12,2895,6,nan,Offense
2016-17,Fla. Atlantic,0,53,12,2173,nan,nan,Defensive
2017-18,Fla. Atlantic,13,46,13,1959,1,nan,Offense
2017-18,Fla. Atlantic,0,62,13,2501,3,nan,Defensive
2013-14,FIU,12,89,12,3421,3,nan,Offense
2013-14,FIU,0,51,12,2116,5,nan,Defensive
2014-15,FIU,12,82,12,3211,7,nan,Offense
2014-15,FIU,0,65,12,2767,9,nan,Defensive
2015-16,FIU,12,63,12,2530,5,nan,Offense
2015-16,FIU,0,53,12,2258,4,nan,Defensive
2016-17,FIU,12,61,12,2293,3,nan,Offense
2016-17,FIU,0,52,12,2034,3,nan,Defensive
2017-18,FIU,12,50,12,2088,6,nan,Offense
2017-18,FIU,0,39,12,1629,5,nan,Defensive
2013-14,FIU,12,89,12,3421,3,nan,Offense
2013-14,FIU,0,51,12,2116,5,nan,Defensive
2014-15,FIU,12,82,12,3211,7,nan,Offense
2014-15,FIU,0,65,12,2767,9,nan,Defensive
2015-16,FIU,12,63,12,2530,5,nan,Offense
2015-16,FIU,0,53,12,2258,4,nan,Defensive
2016-17,FIU,12,61,12,2293,3,nan,Offense
2016-17,FIU,0,52,12,2034,3,nan,Defensive
2017-18,FIU,12,50,12,2088,6,nan,Offense
2017-18,FIU,0,39,12,1629,5,nan,Defensive
2013-14,Hawaii,12,82,12,3291,1,nan,Offense
2013-14,Hawaii,0,73,12,2793,2,nan,Defensive
2014-15,Hawaii,13,86,13,3554,2,nan,Offense
2014-15,Hawaii,0,82,13,3367,9,nan,Defensive
2015-16,Hawaii,13,81,13,3631,3,nan,Offense
2015-16,Hawaii,0,71,13,2840,6,nan,Defensive
2016-17,Hawaii,14,70,14,3122,4,nan,Offense
2016-17,Hawaii,0,49,14,2122,5,nan,Defensive
2017-18,Hawaii,12,58,12,2440,1,nan,Offense
2017-18,Hawaii,0,44,12,1776,5,nan,Defensive
2013-14,Hawaii,12,82,12,3291,1,nan,Offense
2013-14,Hawaii,0,73,12,2793,2,nan,Defensive
2014-15,Hawaii,13,86,13,3554,2,nan,Offense
2014-15,Hawaii,0,82,13,3367,9,nan,Defensive
2015-16,Hawaii,13,81,13,3631,3,nan,Offense
2015-16,Hawaii,0,71,13,2840,6,nan,Defensive
2016-17,Hawaii,14,70,14,3122,4,nan,Offense
2016-17,Hawaii,0,49,14,2122,5,nan,Defensive
2017-18,Hawaii,12,58,12,2440,1,nan,Offense
2017-18,Hawaii,0,44,12,1776,5,nan,Defensive
2013-14,Georgia St.,12,82,12,3344,8,nan,Offense
2013-14,Georgia St.,0,52,12,2078,3,nan,Defensive
2014-15,Georgia St.,12,60,12,2210,4,nan,Offense
2014-15,Georgia St.,0,38,12,1525,nan,nan,Defensive
2015-16,Georgia St.,13,68,13,2908,4,nan,Offense
2015-16,Georgia St.,0,60,13,2529,5,nan,Defensive
2016-17,Georgia St.,12,68,12,2655,4,nan,Offense
2016-17,Georgia St.,0,58,12,2411,3,nan,Defensive
2017-18,Georgia St.,11,59,11,2369,7,nan,Offense
2017-18,Georgia St.,0,56,11,2459,4,nan,Defensive
2013-14,Georgia Tech,13,45,13,1902,3,nan,Offense
2013-14,Georgia Tech,0,69,13,2805,8,nan,Defensive
2014-15,Georgia Tech,14,32,14,1285,2,nan,Offense
2014-15,Georgia Tech,0,41,14,1608,3,nan,Defensive
2015-16,Georgia Tech,12,47,12,1793,nan,nan,Offense
2015-16,Georgia Tech,0,60,12,2417,4,nan,Defensive
2016-17,Georgia Tech,13,48,13,2026,5,nan,Offense
2016-17,Georgia Tech,0,48,13,1879,1,nan,Defensive
2017-18,Georgia Tech,11,50,11,2205,1,nan,Offense
2017-18,Georgia Tech,0,57,11,2440,4,nan,Defensive
2013-14,Georgia Tech,13,45,13,1902,3,nan,Offense
2013-14,Georgia Tech,0,69,13,2805,8,nan,Defensive
2014-15,Georgia Tech,14,32,14,1285,2,nan,Offense
2014-15,Georgia Tech,0,41,14,1608,3,nan,Defensive
2015-16,Georgia Tech,12,47,12,1793,nan,nan,Offense
2015-16,Georgia Tech,0,60,12,2417,4,nan,Defensive
2016-17,Georgia Tech,13,48,13,2026,5,nan,Offense
2016-17,Georgia Tech,0,48,13,1879,1,nan,Defensive
2017-18,Georgia Tech,11,50,11,2205,1,nan,Offense
2017-18,Georgia Tech,0,57,11,2440,4,nan,Defensive
2013-14,Georgia Tech,13,45,13,1902,3,nan,Offense
2013-14,Georgia Tech,0,69,13,2805,8,nan,Defensive
2014-15,Georgia Tech,14,32,14,1285,2,nan,Offense
2014-15,Georgia Tech,0,41,14,1608,3,nan,Defensive
2015-16,Georgia Tech,12,47,12,1793,nan,nan,Offense
2015-16,Georgia Tech,0,60,12,2417,4,nan,Defensive
2016-17,Georgia Tech,13,48,13,2026,5,nan,Offense
2016-17,Georgia Tech,0,48,13,1879,1,nan,Defensive
2017-18,Georgia Tech,11,50,11,2205,1,nan,Offense
2017-18,Georgia Tech,0,57,11,2440,4,nan,Defensive
2013-14,Georgia St.,12,82,12,3344,8,nan,Offense
2013-14,Georgia St.,0,52,12,2078,3,nan,Defensive
2014-15,Georgia St.,12,60,12,2210,4,nan,Offense
2014-15,Georgia St.,0,38,12,1525,nan,nan,Defensive
2015-16,Georgia St.,13,68,13,2908,4,nan,Offense
2015-16,Georgia St.,0,60,13,2529,5,nan,Defensive
2016-17,Georgia St.,12,68,12,2655,4,nan,Offense
2016-17,Georgia St.,0,58,12,2411,3,nan,Defensive
2017-18,Georgia St.,11,59,11,2369,7,nan,Offense
2017-18,Georgia St.,0,56,11,2459,4,nan,Defensive
2013-14,Georgia St.,12,82,12,3344,8,nan,Offense
2013-14,Georgia St.,0,52,12,2078,3,nan,Defensive
2014-15,Georgia St.,12,60,12,2210,4,nan,Offense
2014-15,Georgia St.,0,38,12,1525,nan,nan,Defensive
2015-16,Georgia St.,13,68,13,2908,4,nan,Offense
2015-16,Georgia St.,0,60,13,2529,5,nan,Defensive
2016-17,Georgia St.,12,68,12,2655,4,nan,Offense
2016-17,Georgia St.,0,58,12,2411,3,nan,Defensive
2017-18,Georgia St.,11,59,11,2369,7,nan,Offense
2017-18,Georgia St.,0,56,11,2459,4,nan,Defensive
2013-14,Georgia St.,12,82,12,3344,8,nan,Offense
2013-14,Georgia St.,0,52,12,2078,3,nan,Defensive
2014-15,Georgia St.,12,60,12,2210,4,nan,Offense
2014-15,Georgia St.,0,38,12,1525,nan,nan,Defensive
2015-16,Georgia St.,13,68,13,2908,4,nan,Offense
2015-16,Georgia St.,0,60,13,2529,5,nan,Defensive
2016-17,Georgia St.,12,68,12,2655,4,nan,Offense
2016-17,Georgia St.,0,58,12,2411,3,nan,Defensive
2017-18,Georgia St.,11,59,11,2369,7,nan,Offense
2017-18,Georgia St.,0,56,11,2459,4,nan,Defensive
2013-14,Georgia,13,44,13,1808,2,nan,Offense
2013-14,Georgia,0,66,13,2744,4,nan,Defensive
2014-15,Georgia,13,43,13,1630,1,nan,Offense
2014-15,Georgia,0,74,13,3059,2,nan,Defensive
2015-16,Georgia,13,67,13,2685,7,nan,Offense
2015-16,Georgia,0,83,13,3296,4,nan,Defensive
2016-17,Georgia,13,69,13,2590,3,nan,Offense
2016-17,Georgia,0,69,13,3059,8,nan,Defensive
2017-18,Georgia,13,49,13,2180,3,nan,Offense
2017-18,Georgia,0,82,13,3533,9,nan,Defensive
2013-14,Georgia,13,44,13,1808,2,nan,Offense
2013-14,Georgia,0,66,13,2744,4,nan,Defensive
2014-15,Georgia,13,43,13,1630,1,nan,Offense
2014-15,Georgia,0,74,13,3059,2,nan,Defensive
2015-16,Georgia,13,67,13,2685,7,nan,Offense
2015-16,Georgia,0,83,13,3296,4,nan,Defensive
2016-17,Georgia,13,69,13,2590,3,nan,Offense
2016-17,Georgia,0,69,13,3059,8,nan,Defensive
2017-18,Georgia,13,49,13,2180,3,nan,Offense
2017-18,Georgia,0,82,13,3533,9,nan,Defensive
2013-14,Georgia,13,44,13,1808,2,nan,Offense
2013-14,Georgia,0,66,13,2744,4,nan,Defensive
2014-15,Georgia,13,43,13,1630,1,nan,Offense
2014-15,Georgia,0,74,13,3059,2,nan,Defensive
2015-16,Georgia,13,67,13,2685,7,nan,Offense
2015-16,Georgia,0,83,13,3296,4,nan,Defensive
2016-17,Georgia,13,69,13,2590,3,nan,Offense
2016-17,Georgia,0,69,13,3059,8,nan,Defensive
2017-18,Georgia,13,49,13,2180,3,nan,Offense
2017-18,Georgia,0,82,13,3533,9,nan,Defensive
2013-14,Georgia,13,44,13,1808,2,nan,Offense
2013-14,Georgia,0,66,13,2744,4,nan,Defensive
2014-15,Georgia,13,43,13,1630,1,nan,Offense
2014-15,Georgia,0,74,13,3059,2,nan,Defensive
2015-16,Georgia,13,67,13,2685,7,nan,Offense
2015-16,Georgia,0,83,13,3296,4,nan,Defensive
2016-17,Georgia,13,69,13,2590,3,nan,Offense
2016-17,Georgia,0,69,13,3059,8,nan,Defensive
2017-18,Georgia,13,49,13,2180,3,nan,Offense
2017-18,Georgia,0,82,13,3533,9,nan,Defensive
2013-14,Ga. Southern,11,33,11,1343,5,nan,Offense
2013-14,Ga. Southern,0,57,11,2178,5,nan,Defensive
2014-15,Ga. Southern,12,39,12,1493,3,nan,Offense
2014-15,Ga. Southern,0,53,12,2182,4,nan,Defensive
2015-16,Ga. Southern,13,43,13,1716,4,nan,Offense
2015-16,Ga. Southern,0,58,13,2432,5,nan,Defensive
2016-17,Ga. Southern,12,56,12,2189,1,nan,Offense
2016-17,Ga. Southern,0,55,12,2072,1,nan,Defensive
2017-18,Ga. Southern,12,69,12,2783,6,nan,Offense
2017-18,Ga. Southern,0,53,12,2237,8,nan,Defensive
2013-14,Ga. Southern,11,33,11,1343,5,nan,Offense
2013-14,Ga. Southern,0,57,11,2178,5,nan,Defensive
2014-15,Ga. Southern,12,39,12,1493,3,nan,Offense
2014-15,Ga. Southern,0,53,12,2182,4,nan,Defensive
2015-16,Ga. Southern,13,43,13,1716,4,nan,Offense
2015-16,Ga. Southern,0,58,13,2432,5,nan,Defensive
2016-17,Ga. Southern,12,56,12,2189,1,nan,Offense
2016-17,Ga. Southern,0,55,12,2072,1,nan,Defensive
2017-18,Ga. Southern,12,69,12,2783,6,nan,Offense
2017-18,Ga. Southern,0,53,12,2237,8,nan,Defensive
2013-14,Ga. Southern,11,33,11,1343,5,nan,Offense
2013-14,Ga. Southern,0,57,11,2178,5,nan,Defensive
2014-15,Ga. Southern,12,39,12,1493,3,nan,Offense
2014-15,Ga. Southern,0,53,12,2182,4,nan,Defensive
2015-16,Ga. Southern,13,43,13,1716,4,nan,Offense
2015-16,Ga. Southern,0,58,13,2432,5,nan,Defensive
2016-17,Ga. Southern,12,56,12,2189,1,nan,Offense
2016-17,Ga. Southern,0,55,12,2072,1,nan,Defensive
2017-18,Ga. Southern,12,69,12,2783,6,nan,Offense
2017-18,Ga. Southern,0,53,12,2237,8,nan,Defensive
2013-14,Ga. Southern,11,33,11,1343,5,nan,Offense
2013-14,Ga. Southern,0,57,11,2178,5,nan,Defensive
2014-15,Ga. Southern,12,39,12,1493,3,nan,Offense
2014-15,Ga. Southern,0,53,12,2182,4,nan,Defensive
2015-16,Ga. Southern,13,43,13,1716,4,nan,Offense
2015-16,Ga. Southern,0,58,13,2432,5,nan,Defensive
2016-17,Ga. Southern,12,56,12,2189,1,nan,Offense
2016-17,Ga. Southern,0,55,12,2072,1,nan,Defensive
2017-18,Ga. Southern,12,69,12,2783,6,nan,Offense
2017-18,Ga. Southern,0,53,12,2237,8,nan,Defensive
2013-14,Indiana,12,54,12,2110,3,nan,Offense
2013-14,Indiana,0,44,12,1894,7,nan,Defensive
2014-15,Indiana,12,77,12,3133,7,nan,Offense
2014-15,Indiana,0,67,12,2663,6,nan,Defensive
2015-16,Indiana,13,64,13,2628,5,nan,Offense
2015-16,Indiana,0,68,13,2822,4,nan,Defensive
2016-17,Indiana,13,64,13,2471,nan,nan,Offense
2016-17,Indiana,0,81,13,3159,8,nan,Defensive
2017-18,Indiana,12,86,12,3459,5,nan,Offense
2017-18,Indiana,0,95,12,4052,7,nan,Defensive
2013-14,Indiana,12,54,12,2110,3,nan,Offense
2013-14,Indiana,0,44,12,1894,7,nan,Defensive
2014-15,Indiana,12,77,12,3133,7,nan,Offense
2014-15,Indiana,0,67,12,2663,6,nan,Defensive
2015-16,Indiana,13,64,13,2628,5,nan,Offense
2015-16,Indiana,0,68,13,2822,4,nan,Defensive
2016-17,Indiana,13,64,13,2471,nan,nan,Offense
2016-17,Indiana,0,81,13,3159,8,nan,Defensive
2017-18,Indiana,12,86,12,3459,5,nan,Offense
2017-18,Indiana,0,95,12,4052,7,nan,Defensive
2013-14,Indiana,12,54,12,2110,3,nan,Offense
2013-14,Indiana,0,44,12,1894,7,nan,Defensive
2014-15,Indiana,12,77,12,3133,7,nan,Offense
2014-15,Indiana,0,67,12,2663,6,nan,Defensive
2015-16,Indiana,13,64,13,2628,5,nan,Offense
2015-16,Indiana,0,68,13,2822,4,nan,Defensive
2016-17,Indiana,13,64,13,2471,nan,nan,Offense
2016-17,Indiana,0,81,13,3159,8,nan,Defensive
2017-18,Indiana,12,86,12,3459,5,nan,Offense
2017-18,Indiana,0,95,12,4052,7,nan,Defensive
2013-14,Illinois,12,51,12,2094,2,nan,Offense
2013-14,Illinois,0,49,12,2006,4,nan,Defensive
2014-15,Illinois,13,78,13,3422,7,nan,Offense
2014-15,Illinois,0,63,13,2466,6,nan,Defensive
2015-16,Illinois,12,75,12,3005,10,nan,Offense
2015-16,Illinois,0,80,12,3229,4,nan,Defensive
2016-17,Illinois,12,77,12,3070,5,nan,Offense
2016-17,Illinois,0,52,12,2024,2,nan,Defensive
2017-18,Illinois,12,78,12,3268,3,nan,Offense
2017-18,Illinois,0,58,12,2363,10,nan,Defensive
2013-14,Illinois,12,51,12,2094,2,nan,Offense
2013-14,Illinois,0,49,12,2006,4,nan,Defensive
2014-15,Illinois,13,78,13,3422,7,nan,Offense
2014-15,Illinois,0,63,13,2466,6,nan,Defensive
2015-16,Illinois,12,75,12,3005,10,nan,Offense
2015-16,Illinois,0,80,12,3229,4,nan,Defensive
2016-17,Illinois,12,77,12,3070,5,nan,Offense
2016-17,Illinois,0,52,12,2024,2,nan,Defensive
2017-18,Illinois,12,78,12,3268,3,nan,Offense
2017-18,Illinois,0,58,12,2363,10,nan,Defensive
2013-14,Illinois,12,51,12,2094,2,nan,Offense
2013-14,Illinois,0,49,12,2006,4,nan,Defensive
2014-15,Illinois,13,78,13,3422,7,nan,Offense
2014-15,Illinois,0,63,13,2466,6,nan,Defensive
2015-16,Illinois,12,75,12,3005,10,nan,Offense
2015-16,Illinois,0,80,12,3229,4,nan,Defensive
2016-17,Illinois,12,77,12,3070,5,nan,Offense
2016-17,Illinois,0,52,12,2024,2,nan,Defensive
2017-18,Illinois,12,78,12,3268,3,nan,Offense
2017-18,Illinois,0,58,12,2363,10,nan,Defensive
2013-14,Illinois,12,51,12,2094,2,nan,Offense
2013-14,Illinois,0,49,12,2006,4,nan,Defensive
2014-15,Illinois,13,78,13,3422,7,nan,Offense
2014-15,Illinois,0,63,13,2466,6,nan,Defensive
