Jersey,Player,Yr,Pos,GP,GS,FumblesRecovered,Int,FumblesLost,Interceptions,stat,year,team
24,"Bickley, Fransohn",Fr,WR,12,7,nan,nan,2.0,nan,Turnover Margin,2013-14,Akron Zips
20,"Freeman, Malachi",Sr,DB,12,12,nan,3,nan,nan,Turnover Margin,2013-14,Akron Zips
12,"Davis, Imani",So,WR,12,1,nan,nan,1.0,nan,Turnover Margin,2013-14,Akron Zips
91,"Presley, Albert",Sr,DL,12,6,1.0,nan,nan,nan,Turnover Margin,2013-14,Akron Zips
16,"Pohl, Kyle",So,QB,12,12,nan,nan,3.0,10,Turnover Margin,2013-14,Akron Zips
5,"March, Justin",Jr,LB,12,12,nan,3,nan,nan,Turnover Margin,2013-14,Akron Zips
23,"Ford, Bre'",Jr,DB,12,4,nan,1,nan,nan,Turnover Margin,2013-14,Akron Zips
7,"Chisholm, Jawon",Jr,RB,12,12,nan,nan,2.0,nan,Turnover Margin,2013-14,Akron Zips
7A,"Holmes, Anthony",Sr,DB,12,11,nan,2,nan,nan,Turnover Margin,2013-14,Akron Zips
88,"Dillard, Jerrod",Sr,WR,12,12,nan,nan,1.0,nan,Turnover Margin,2013-14,Akron Zips
32,"Durant, Martel",Jr,DB,11,0,nan,1,nan,nan,Turnover Margin,2013-14,Akron Zips
96,"Horner, Alfonso",So,DL,11,4,1.0,nan,nan,nan,Turnover Margin,2013-14,Akron Zips
4,"Robinson, Johnny",Jr,DB,11,9,1.0,2,nan,nan,Turnover Margin,2013-14,Akron Zips
58,"Caponi, Nico",Sr,DL,10,7,1.0,nan,nan,nan,Turnover Margin,2013-14,Akron Zips
2,"Bercovici, Mike",Sr,QB,13,13,nan,nan,3.0,9.0,Turnover Margin,2015-16,Arizona St. Sun Devils
58,"Fiso, Salamo",Jr,LB,13,13,nan,1.0,nan,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
83,"Kohl, Kody",Jr,TE,13,12,nan,nan,1.0,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
0C,"Carrington, Lloyd",Sr,DB,13,13,nan,1.0,nan,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
94,"Cherry, Demetrius",Sr,DL,13,11,1.0,nan,nan,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
32,"Longino, Antonio",Sr,LB,13,12,1.0,nan,nan,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
0S,"Sam, Christian",So,LB,13,13,nan,1.0,nan,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
12,"White, Tim",Jr,WR,13,10,nan,nan,1.0,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
15,"Lucien, Devin",Sr,WR,13,10,nan,nan,1.0,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
1,"Hayes, De'Chavon",Jr,RB,13,1,nan,nan,1.0,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
10,"Brown, Kweishi",Sr,DB,13,13,nan,2.0,nan,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
28,"Moeakiola, Viliami",Jr,LB,12,12,1.0,1.0,nan,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
25,"Orr, Kareem",Fr,DB,12,9,nan,6.0,nan,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
41,"Latu, Viliami",Jr,LB,12,4,1.0,nan,nan,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
4,"Richard, Demario",So,RB,12,11,nan,nan,2.0,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
31,"Ball, Marcus",So,DB,11,1,1.0,1.0,nan,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
97,"Boateng, Edmond",Jr,DL,10,3,1.0,nan,nan,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
0K,"Crump, Koron",Jr,LB,12,8,3,1,nan,nan,Turnover Margin,2016-17,Arizona St. Sun Devils
0W,"Wicker, Jojo",So,DL,12,11,1,nan,nan,nan,Turnover Margin,2016-17,Arizona St. Sun Devils
12,"White, Tim",Sr,WR,12,7,nan,nan,1.0,nan,Turnover Margin,2016-17,Arizona St. Sun Devils
8,"Hayes, De'Chavon",Sr,DB,12,9,nan,3,1.0,nan,Turnover Margin,2016-17,Arizona St. Sun Devils
7,"Ballage, Kalen",Jr,RB,12,6,nan,nan,2.0,nan,Turnover Margin,2016-17,Arizona St. Sun Devils
43,"Mendoza, Carlos",Sr,LB,12,1,1,nan,nan,nan,Turnover Margin,2016-17,Arizona St. Sun Devils
25,"Orr, Kareem",So,DB,11,11,nan,1,nan,nan,Turnover Margin,2016-17,Arizona St. Sun Devils
31,"Ball, Marcus",Jr,LB,11,8,1,1,nan,nan,Turnover Margin,2016-17,Arizona St. Sun Devils
28,"Moeakiola, Viliami",Sr,DB,11,10,1,1,nan,nan,Turnover Margin,2016-17,Arizona St. Sun Devils
0R,"Robinson, Robbie",Fr,DB,10,0,nan,1,nan,nan,Turnover Margin,2016-17,Arizona St. Sun Devils
45,"Lea, George",Fr,DL,10,4,1,nan,nan,nan,Turnover Margin,2016-17,Arizona St. Sun Devils
5,"Wilkins, Manny",So,QB,10,10,nan,nan,1.0,9,Turnover Margin,2016-17,Arizona St. Sun Devils
5F,"Fiso, Salamo",Sr,LB,7,4,nan,1,nan,nan,Turnover Margin,2016-17,Arizona St. Sun Devils
17a,"Hayes, Tae",Fr,DL,13,7,1,1,nan,nan,Turnover Margin,2015-16,Appalachian St. Mountaineers
58,"Flory, Anthony",Fr,LB,13,0,1,nan,nan,nan,Turnover Margin,2015-16,Appalachian St. Mountaineers
8,"Boyd, Josh",Fr,RB,13,0,nan,nan,1.0,nan,Turnover Margin,2015-16,Appalachian St. Mountaineers
45,"Boggs, Eric",So,LB,13,13,nan,3,nan,nan,Turnover Margin,2015-16,Appalachian St. Mountaineers
5a,"Gibbs, Latrell",So,DB,13,12,nan,7,nan,nan,Turnover Margin,2015-16,Appalachian St. Mountaineers
11a,"Stringer, Devan",So,LB,13,12,1,nan,nan,nan,Turnover Margin,2015-16,Appalachian St. Mountaineers
4,"Barbour, Jaylan",Fr,WR,13,0,nan,nan,1.0,nan,Turnover Margin,2015-16,Appalachian St. Mountaineers
30,"Sombo, Osvaldo",Sr,LB,13,0,1,nan,nan,nan,Turnover Margin,2015-16,Appalachian St. Mountaineers
11,"Lamb, Taylor",So,QB,13,13,nan,nan,2.0,9,Turnover Margin,2015-16,Appalachian St. Mountaineers
3,"Gray, Alex",Jr,DB,13,13,nan,2,nan,nan,Turnover Margin,2015-16,Appalachian St. Mountaineers
7,"Jones, Malachi",Sr,WR,13,13,nan,nan,1.0,nan,Turnover Margin,2015-16,Appalachian St. Mountaineers
49,"Blair, Ronad",Sr,DL,13,13,1,1,nan,nan,Turnover Margin,2015-16,Appalachian St. Mountaineers
4a,"Williams, Mondo",Jr,DB,12,7,nan,2,nan,nan,Turnover Margin,2015-16,Appalachian St. Mountaineers
88a,"Law, John",Jr,LB,12,12,nan,2,nan,nan,Turnover Margin,2015-16,Appalachian St. Mountaineers
83,"McElfresh, Simms",Sr,WR,12,10,nan,nan,1.0,nan,Turnover Margin,2015-16,Appalachian St. Mountaineers
14,"Cox, Marcus",Jr,RB,12,12,nan,nan,3.0,nan,Turnover Margin,2015-16,Appalachian St. Mountaineers
25,"Moore, Jalin",Fr,RB,12,0,nan,nan,1.0,nan,Turnover Margin,2015-16,Appalachian St. Mountaineers
2,"Lewis, Ike",nan,WR,12,1,nan,nan,1.0,nan,Turnover Margin,2015-16,Appalachian St. Mountaineers
14,"Cox, Marcus",Fr,RB,12,10,nan,nan,4.0,nan,Turnover Margin,2013-14,Appalachian St. Mountaineers
88,"Law, John",Fr,LB,12,9,1.0,3.0,nan,nan,Turnover Margin,2013-14,Appalachian St. Mountaineers
13,"Walton, Kevin",So,DB,12,7,nan,1.0,nan,nan,Turnover Margin,2013-14,Appalachian St. Mountaineers
26,"Ross, Joel",Jr,DB,12,8,nan,nan,1.0,nan,Turnover Margin,2013-14,Appalachian St. Mountaineers
21,"Middleton, Doug",So,DB,12,5,nan,2.0,nan,nan,Turnover Margin,2013-14,Appalachian St. Mountaineers
5,"Bryant, Kameron",So,QB,12,8,nan,nan,4.0,4.0,Turnover Margin,2013-14,Appalachian St. Mountaineers
45,"Anderson, Karl",Sr,LB,12,12,1.0,2.0,nan,nan,Turnover Margin,2013-14,Appalachian St. Mountaineers
11,"Peacock, Andrew",Sr,WR,12,10,1.0,nan,1.0,1.0,Turnover Margin,2013-14,Appalachian St. Mountaineers
29,"Krah, Aaron",So,DB,11,0,1.0,nan,nan,nan,Turnover Margin,2013-14,Appalachian St. Mountaineers
46,"Scott, Adam",Sr,DL,11,9,2.0,nan,nan,nan,Turnover Margin,2013-14,Appalachian St. Mountaineers
4,"Walker, Rodger",Sr,DB,10,9,nan,2.0,nan,nan,Turnover Margin,2013-14,Appalachian St. Mountaineers
22,"McGowan, Brandon",Jr,LB,9,3,1.0,nan,nan,nan,Turnover Margin,2013-14,Appalachian St. Mountaineers
22,"Duck, Clifton",nan,CB,13,13,nan,5,nan,nan,Turnover Margin,2016-17,Appalachian St. Mountaineers
4D,"Williams, Mondo",Sr,DB,13,13,nan,4,nan,nan,Turnover Margin,2016-17,Appalachian St. Mountaineers
25,"Moore, Jalin",So,RB,13,7,nan,nan,1.0,nan,Turnover Margin,2016-17,Appalachian St. Mountaineers
45,"Boggs, Eric",Jr,LB,13,13,nan,3,nan,nan,Turnover Margin,2016-17,Appalachian St. Mountaineers
10,"Howard, A.J.",Jr,DB,13,13,nan,3,nan,nan,Turnover Margin,2016-17,Appalachian St. Mountaineers
11,"Lamb, Taylor",Jr,QB,13,13,nan,nan,1.0,8,Turnover Margin,2016-17,Appalachian St. Mountaineers
19,"Evans, Darrynton",nan,nan,12,0,nan,nan,1.0,nan,Turnover Margin,2016-17,Appalachian St. Mountaineers
26,"Thomas, Josh",So,DB,12,0,nan,2,nan,nan,Turnover Margin,2016-17,Appalachian St. Mountaineers
3D,"Gray, Alex",Sr,DB,12,12,1,1,nan,nan,Turnover Margin,2016-17,Appalachian St. Mountaineers
88,"Law, John",Sr,LB,12,12,nan,1,nan,nan,Turnover Margin,2016-17,Appalachian St. Mountaineers
84,"McGuire, Montez",nan,nan,12,1,nan,nan,1.0,nan,Turnover Margin,2014-15,Appalachian St. Mountaineers
27,"Gibbs, Latrell",nan,nan,12,9,nan,2.0,nan,nan,Turnover Margin,2014-15,Appalachian St. Mountaineers
24,"Blackmon, Dante",So,DB,12,3,nan,1.0,nan,nan,Turnover Margin,2014-15,Appalachian St. Mountaineers
7Q,"Lamb, Taylor",So,QB,12,10,nan,nan,nan,9.0,Turnover Margin,2014-15,Appalachian St. Mountaineers
14,"Cox, Marcus",So,RB,12,9,nan,nan,6.0,nan,Turnover Margin,2014-15,Appalachian St. Mountaineers
88,"Law, John",So,LB,12,12,1.0,1.0,nan,nan,Turnover Margin,2014-15,Appalachian St. Mountaineers
29,"Krah, Aaron",Jr,DB,12,0,1.0,nan,nan,nan,Turnover Margin,2014-15,Appalachian St. Mountaineers
49,"Blair, Ronald",Sr,DL,12,12,1.0,nan,nan,nan,Turnover Margin,2014-15,Appalachian St. Mountaineers
26,"Ross, Joel",Sr,DB,12,11,nan,3.0,nan,nan,Turnover Margin,2014-15,Appalachian St. Mountaineers
2,"Robinson, Deuce",Sr,DL,12,1,1.0,nan,nan,nan,Turnover Margin,2014-15,Appalachian St. Mountaineers
21,"Middleton, Doug",Jr,DB,12,12,nan,4.0,nan,nan,Turnover Margin,2014-15,Appalachian St. Mountaineers
81,"Beathard, Bobo",Jr,WR,12,10,nan,nan,2.0,nan,Turnover Margin,2014-15,Appalachian St. Mountaineers
20,"Upshaw, Terrence",So,RB,11,3,nan,nan,1.0,nan,Turnover Margin,2014-15,Appalachian St. Mountaineers
11,"Stringer, Devan",nan,nan,10,7,1.0,nan,nan,nan,Turnover Margin,2014-15,Appalachian St. Mountaineers
36,"Dada, Olawale",Jr,LB,8,7,1.0,nan,nan,nan,Turnover Margin,2014-15,Appalachian St. Mountaineers
5,"Bryant, Kameron",Jr,QB,6,2,nan,nan,nan,2.0,Turnover Margin,2014-15,Appalachian St. Mountaineers
27,"Henry, Derrick",So,RB,14,3,nan,nan,1.0,nan,Turnover Margin,2014-15,Alabama Crimson Tide
19,"Ragland, Reggie",Jr,LB,14,13,3.0,1,nan,nan,Turnover Margin,2014-15,Alabama Crimson Tide
5,"Jones, Cyrus",Jr,DB,14,14,1.0,3,nan,nan,Turnover Margin,2014-15,Alabama Crimson Tide
26,"Collins, Landon",Jr,DB,14,14,2.0,3,nan,nan,Turnover Margin,2014-15,Alabama Crimson Tide
7A,"Anderson, Ryan",So,LB,14,0,1.0,nan,nan,nan,Turnover Margin,2014-15,Alabama Crimson Tide
22,"Jones, Christion",Sr,WR,14,8,nan,nan,2.0,nan,Turnover Margin,2014-15,Alabama Crimson Tide
45,"Fowler, Jalston",Sr,RB,14,5,nan,nan,1.0,nan,Turnover Margin,2014-15,Alabama Crimson Tide
2D,"Perry, Nick",Sr,DB,14,12,nan,2,nan,nan,Turnover Margin,2014-15,Alabama Crimson Tide
6,"Sims, Blake",Sr,QB,14,14,nan,nan,3.0,10,Turnover Margin,2014-15,Alabama Crimson Tide
4,"Yeldon, T.J.",Jr,RB,13,10,nan,nan,1.0,nan,Turnover Margin,2014-15,Alabama Crimson Tide
23,"Washington, Jabriel",Jr,DB,13,1,nan,1,nan,nan,Turnover Margin,2014-15,Alabama Crimson Tide
2,"White, Deandrew",Sr,WR,12,10,nan,nan,1.0,nan,Turnover Margin,2014-15,Alabama Crimson Tide
2B,"Jones, Tyren",Fr,RB,11,0,nan,nan,1.0,nan,Turnover Margin,2014-15,Alabama Crimson Tide
1B,"Harrison, Ronnie",Fr,DL,15,1,nan,2.0,nan,nan,Turnover Margin,2015-16,Alabama Crimson Tide
90,"Reed, Jarran",Sr,DL,15,15,1.0,nan,nan,nan,Turnover Margin,2015-16,Alabama Crimson Tide
26,"Humphrey, Marlon",Fr,DB,15,15,nan,3.0,nan,nan,Turnover Margin,2015-16,Alabama Crimson Tide
14,"Coker, Jake",Sr,QB,15,14,nan,nan,1.0,8.0,Turnover Margin,2015-16,Alabama Crimson Tide
13,"Stewart, Ardarius",So,WR,15,15,nan,nan,1.0,nan,Turnover Margin,2015-16,Alabama Crimson Tide
21,"Smith, Maurice",Jr,DB,15,0,1.0,nan,nan,nan,Turnover Margin,2015-16,Alabama Crimson Tide
86,"Robinson, A'Shawn",Jr,DL,15,15,1.0,nan,nan,nan,Turnover Margin,2015-16,Alabama Crimson Tide
4,"Jackson, Eddie",Jr,DB,15,15,1.0,6.0,nan,nan,Turnover Margin,2015-16,Alabama Crimson Tide
2,"Henry, Derrick",Jr,RB,15,15,nan,nan,3.0,nan,Turnover Margin,2015-16,Alabama Crimson Tide
18,"Bateman, Cooper",So,QB,15,1,nan,nan,nan,2.0,Turnover Margin,2015-16,Alabama Crimson Tide
24,"Matias-Smith, Geno",Sr,DB,15,15,1.0,1.0,nan,nan,Turnover Margin,2015-16,Alabama Crimson Tide
25,"Lee, Dillon",Sr,LB,15,6,nan,2.0,nan,nan,Turnover Margin,2015-16,Alabama Crimson Tide
5,"Jones, Cyrus",Sr,DB,15,15,1.0,2.0,1.0,nan,Turnover Margin,2015-16,Alabama Crimson Tide
22,"Anderson, Ryan",Jr,LB,15,0,2.0,nan,nan,nan,Turnover Margin,2015-16,Alabama Crimson Tide
29,"Fitzpatrick, Minkah",Fr,DB,14,10,nan,2.0,nan,nan,Turnover Margin,2015-16,Alabama Crimson Tide
25,"Lee, Dillon",So,LB,13,0,1,nan,nan,nan,Turnover Margin,2013-14,Alabama Crimson Tide
26,"Collins, Landon",So,DB,13,9,2,2,nan,nan,Turnover Margin,2013-14,Alabama Crimson Tide
22,"Jones, Christion",Jr,WR,13,7,nan,nan,1.0,nan,Turnover Margin,2013-14,Alabama Crimson Tide
33,"Depriest, Trey",Jr,LB,13,13,2,1,nan,nan,Turnover Margin,2013-14,Alabama Crimson Tide
49,"Stinson, Ed",Sr,DL,13,13,1,nan,nan,nan,Turnover Margin,2013-14,Alabama Crimson Tide
10,"McCarron, A.J.",Sr,QB,13,13,nan,nan,1.0,7,Turnover Margin,2013-14,Alabama Crimson Tide
4,"Yeldon, T.J.",So,RB,12,11,nan,nan,4.0,nan,Turnover Margin,2013-14,Alabama Crimson Tide
17,"Drake, Kenyan",So,RB,12,1,nan,nan,3.0,nan,Turnover Margin,2013-14,Alabama Crimson Tide
5,"Jones, Cyrus",So,DB,11,5,nan,2,nan,nan,Turnover Margin,2013-14,Alabama Crimson Tide
13,"Belue, Deion",Sr,DB,11,11,nan,1,nan,nan,Turnover Margin,2013-14,Alabama Crimson Tide
6A,"Clinton-Dix, Haha",Jr,DB,11,10,nan,2,nan,nan,Turnover Margin,2013-14,Alabama Crimson Tide
30,"Wilson, Mack",Fr,LB,15,0,1,nan,nan,nan,Turnover Margin,2016-17,Alabama Crimson Tide
25,"Jacobs, Joshua",Fr,RB,15,1,nan,nan,2.0,nan,Turnover Margin,2016-17,Alabama Crimson Tide
22,"Anderson, Ryan",Sr,LB,15,15,3,1,nan,nan,Turnover Margin,2016-17,Alabama Crimson Tide
93,"Allen, Jonathan",Sr,DL,15,15,3,nan,nan,nan,Turnover Margin,2016-17,Alabama Crimson Tide
56,"Williams, Tim",Sr,LB,15,2,1,nan,nan,nan,Turnover Margin,2016-17,Alabama Crimson Tide
26,"Humphrey, Marlon",So,DB,15,14,nan,2,nan,nan,Turnover Margin,2016-17,Alabama Crimson Tide
2,"Hurts, Jalen",Fr,QB,15,14,nan,nan,5.0,9,Turnover Margin,2016-17,Alabama Crimson Tide
94,"Payne, Daron",So,DL,15,15,1,nan,nan,nan,Turnover Margin,2016-17,Alabama Crimson Tide
29,"Fitzpatrick, Minkah",So,DB,15,15,nan,6,nan,nan,Turnover Margin,2016-17,Alabama Crimson Tide
31,"Anderson, Keaton",So,LB,15,0,1,nan,nan,nan,Turnover Margin,2016-17,Alabama Crimson Tide
1D,"Harrison, Ronnie",So,DL,15,14,2,2,nan,nan,Turnover Margin,2016-17,Alabama Crimson Tide
32,"Evans, Rashaan",Jr,LB,14,2,1,nan,nan,nan,Turnover Margin,2016-17,Alabama Crimson Tide
20,"Hamilton, Shaun Dion",Jr,LB,13,12,nan,2,nan,nan,Turnover Margin,2016-17,Alabama Crimson Tide
13,"Stewart, Ardarius",Jr,WR,12,12,nan,nan,1.0,nan,Turnover Margin,2016-17,Alabama Crimson Tide
2A,"Brown, Tony",Jr,DB,11,6,nan,2,nan,nan,Turnover Margin,2016-17,Alabama Crimson Tide
6,"Scott, Deandre",Jr,DB,13,13,1.0,6.0,nan,nan,Turnover Margin,2015-16,Akron Zips
32,"Guiser, Zach",So,DB,13,13,1.0,2.0,nan,nan,Turnover Margin,2015-16,Akron Zips
36,"Grice, Cody",Sr,DL,13,13,1.0,nan,nan,nan,Turnover Margin,2015-16,Akron Zips
27,"Senter, John",Sr,DB,13,1,2.0,nan,nan,nan,Turnover Margin,2015-16,Akron Zips
90,"Pittman, Se'Von",Jr,DL,13,12,1.0,nan,nan,nan,Turnover Margin,2015-16,Akron Zips
1D,"Lawrence, Hakeem",Jr,RB,13,0,nan,nan,1.0,nan,Turnover Margin,2015-16,Akron Zips
54,"Evans, Dylan",Sr,LB,13,13,nan,1.0,nan,nan,Turnover Margin,2015-16,Akron Zips
21,"Givens, Kris",Sr,DB,13,13,nan,1.0,nan,nan,Turnover Margin,2015-16,Akron Zips
24,"George, Jordan",Fr,DB,13,0,nan,1.0,nan,nan,Turnover Margin,2015-16,Akron Zips
88,"Buddenberg, Michael",So,OL,13,0,1.0,nan,nan,nan,Turnover Margin,2015-16,Akron Zips
12,"Davis, Imani",Sr,WR,13,13,nan,nan,1.0,nan,Turnover Margin,2015-16,Akron Zips
49,"Allen, Christian",Jr,RB,13,1,1.0,nan,nan,nan,Turnover Margin,2015-16,Akron Zips
13,"Woodson, Thomas",So,QB,13,10,nan,nan,2.0,11.0,Turnover Margin,2015-16,Akron Zips
29,"Cheek, Bryce",Sr,DB,13,13,1.0,1.0,nan,nan,Turnover Margin,2015-16,Akron Zips
1,"Brown, Jatavis",Sr,LB,13,13,nan,1.0,nan,nan,Turnover Margin,2015-16,Akron Zips
80,"Pratt, Andrew",Sr,WR,13,13,1.0,nan,nan,nan,Turnover Margin,2015-16,Akron Zips
82,"Wolf, Austin",So,WR,12,0,1.0,nan,nan,nan,Turnover Margin,2015-16,Akron Zips
5D,"Coe, Rodney",Sr,DL,12,11,1.0,nan,nan,nan,Turnover Margin,2015-16,Akron Zips
23,"Edwards, Van",Fr,RB,12,0,nan,nan,1.0,nan,Turnover Margin,2015-16,Akron Zips
2,"Hope, Larry",Jr,DB,11,0,nan,1.0,nan,nan,Turnover Margin,2015-16,Akron Zips
34,"Marcus, Jamal",Jr,DL,11,10,1.0,nan,nan,nan,Turnover Margin,2015-16,Akron Zips
2D,"Means, Michael",Jr,WR,8,0,nan,nan,1.0,nan,Turnover Margin,2015-16,Akron Zips
1,"Davis, Alvin",Fr,DB,12,7,1.0,nan,nan,nan,Turnover Margin,2016-17,Akron Zips
9,"Natson, Jojo",Sr,WR,12,11,nan,nan,1.0,nan,Turnover Margin,2016-17,Akron Zips
19,"Venckus, Daumantas",Sr,DL,12,7,2.0,nan,nan,nan,Turnover Margin,2016-17,Akron Zips
7,"Lane, Jerome",Jr,WR,12,12,nan,nan,1.0,nan,Turnover Margin,2016-17,Akron Zips
11,"Coney, A.J.",Jr,DB,12,3,nan,nan,2.0,nan,Turnover Margin,2016-17,Akron Zips
12,"Brown, Kyron",So,DB,12,1,nan,3.0,nan,nan,Turnover Margin,2016-17,Akron Zips
3F,"Bischof, Nathan",So,DB,12,0,1.0,nan,nan,nan,Turnover Margin,2016-17,Akron Zips
16,"Lloyd, Demarcus",Jr,LB,11,0,nan,1.0,nan,nan,Turnover Margin,2016-17,Akron Zips
2G,"Goodman, Tyrell",Sr,WR,11,1,nan,nan,1.0,3.0,Turnover Margin,2016-17,Akron Zips
2,"Hope, Larry",Sr,DB,11,10,nan,1.0,nan,nan,Turnover Margin,2016-17,Akron Zips
6,"Scott, Deandre",Sr,DB,11,10,1.0,1.0,nan,nan,Turnover Margin,2016-17,Akron Zips
97,"Williams, Brennan",So,DL,10,1,1.0,nan,nan,nan,Turnover Margin,2016-17,Akron Zips
5,"Chapman, Tra'Von",Jr,QB,9,3,nan,nan,2.0,5.0,Turnover Margin,2016-17,Akron Zips
32,"Guiser, Zach",Jr,DB,9,8,nan,1.0,nan,nan,Turnover Margin,2016-17,Akron Zips
4,"Woodson, Thomas",Jr,QB,8,8,nan,nan,nan,6.0,Turnover Margin,2016-17,Akron Zips
21,"Givens, Kris",Jr,DB,12,10,nan,2,nan,nan,Turnover Margin,2014-15,Akron Zips
12,"Mizell, C.J.",Sr,LB,12,10,2,nan,nan,nan,Turnover Margin,2014-15,Akron Zips
32,"Durant, Martel",Sr,DB,12,2,nan,3,nan,nan,Turnover Margin,2014-15,Akron Zips
54,"Evans, Dylan",Jr,LB,12,2,1,nan,nan,nan,Turnover Margin,2014-15,Akron Zips
96,"Horner, Alfonso",Jr,DL,12,10,1,nan,nan,nan,Turnover Margin,2014-15,Akron Zips
44,"Rossi, Nick",Sr,LB,12,1,1,nan,nan,nan,Turnover Margin,2014-15,Akron Zips
27,"Senter, John",Jr,DB,12,5,nan,1,nan,nan,Turnover Margin,2014-15,Akron Zips
4A,"Robinson, Johnny",Sr,DB,12,4,nan,1,nan,nan,Turnover Margin,2014-15,Akron Zips
7A,"Morgan, Devonte",Sr,DB,12,10,2,1,nan,nan,Turnover Margin,2014-15,Akron Zips
36,"Grice, Cody",Jr,DL,12,12,3,nan,nan,nan,Turnover Margin,2014-15,Akron Zips
23,"Ford, Bre'",Sr,DB,12,7,nan,2,nan,nan,Turnover Margin,2014-15,Akron Zips
29,"Cheek, Bryce",Jr,DB,12,3,1,nan,nan,nan,Turnover Margin,2014-15,Akron Zips
4,"Bickley, Fransohn",So,WR,11,2,nan,nan,1.0,nan,Turnover Margin,2014-15,Akron Zips
80,"Pratt, Andrew",Jr,WR,11,5,nan,nan,2.0,nan,Turnover Margin,2014-15,Akron Zips
7,"Chisholm, Jawon",Sr,RB,11,6,nan,nan,1.0,nan,Turnover Margin,2014-15,Akron Zips
1D,"Davis, Imani",Jr,WR,11,2,nan,nan,1.0,nan,Turnover Margin,2014-15,Akron Zips
34,"Hundley, Conor",Jr,RB,11,6,nan,nan,1.0,nan,Turnover Margin,2014-15,Akron Zips
6,"Scott, Deandre",So,DB,11,10,nan,2,nan,nan,Turnover Margin,2014-15,Akron Zips
16,"Pohl, Kyle",Jr,QB,10,10,nan,nan,3.0,8,Turnover Margin,2014-15,Akron Zips
19,"Phillips, Drew",Sr,WR,9,0,nan,1,nan,nan,Turnover Margin,2014-15,Akron Zips
91,"Timmerman, Troy",Sr,DL,13,13,2.0,nan,nan,nan,Turnover Margin,2014-15,Air Force Falcons
20,"McHenry, Gavin",Jr,DB,13,6,1.0,1.0,nan,nan,Turnover Margin,2014-15,Air Force Falcons
21,"Spears, Christian",Sr,DB,13,13,nan,1.0,nan,nan,Turnover Margin,2014-15,Air Force Falcons
8,"Steelhammer, Weston",So,DB,13,11,2.0,6.0,nan,nan,Turnover Margin,2014-15,Air Force Falcons
5R,"Rushing, Devin",Jr,RB,13,3,nan,nan,1.0,nan,Turnover Margin,2014-15,Air Force Falcons
6,"Healy, Connor",Jr,LB,13,13,1.0,nan,nan,nan,Turnover Margin,2014-15,Air Force Falcons
97,"Fitzgerald, Nick",Sr,DL,13,13,1.0,nan,nan,nan,Turnover Margin,2014-15,Air Force Falcons
51,"Pierce, Jordan",Sr,LB,13,12,nan,2.0,nan,nan,Turnover Margin,2014-15,Air Force Falcons
2,"Pearson, Kale",Sr,QB,12,12,nan,nan,3.0,3.0,Turnover Margin,2014-15,Air Force Falcons
80,"Griffin, Garrett",Jr,TE,12,10,nan,nan,1.0,nan,Turnover Margin,2014-15,Air Force Falcons
7,"Brown, Garrett",Jr,WR,12,8,nan,nan,1.0,nan,Turnover Margin,2014-15,Air Force Falcons
5,"Walker, Dexter",Jr,DB,12,12,1.0,nan,nan,nan,Turnover Margin,2014-15,Air Force Falcons
43,"Davern, Shayne",So,RB,11,9,nan,nan,1.0,nan,Turnover Margin,2014-15,Air Force Falcons
24,"Lee, Jonathan",Sr,RB,11,1,nan,nan,1.0,nan,Turnover Margin,2014-15,Air Force Falcons
3,"Johnson, D.J.",So,RB,11,2,nan,nan,1.0,nan,Turnover Margin,2014-15,Air Force Falcons
28,"Owens, Jocobi",So,RB,10,10,nan,nan,2.0,nan,Turnover Margin,2014-15,Air Force Falcons
7,"Brown, Garrett",So,WR,12,2,nan,nan,1.0,nan,Turnover Margin,2013-14,Air Force Falcons
20,"McHenry, Gavin",So,DB,12,12,1.0,nan,nan,nan,Turnover Margin,2013-14,Air Force Falcons
5,"Walker, Dexter",So,DB,12,8,1.0,nan,nan,nan,Turnover Margin,2013-14,Air Force Falcons
21,"Spears, Christian",Jr,DB,12,12,nan,2.0,nan,nan,Turnover Margin,2013-14,Air Force Falcons
36,"Proctor, Spencer",Jr,LB,12,12,1.0,nan,nan,nan,Turnover Margin,2013-14,Air Force Falcons
37,"Lacoste, Anthony",Sr,DB,12,6,nan,nan,2.0,nan,Turnover Margin,2013-14,Air Force Falcons
39,"Wharton, Donnie",nan,nan,11,1,1.0,nan,nan,nan,Turnover Margin,2013-14,Air Force Falcons
40,"Watson, Ryan",Fr,DL,11,1,1.0,nan,nan,nan,Turnover Margin,2013-14,Air Force Falcons
