Year,Team,GP,G,PassAttempts,Completions,Interceptions,PassYards,PassTDs,PassEff,CompletionsPerGame,YdsPerCompletion,Pct,PassYardsG,OffenseDefense
2015-16,Arizona St.,13,13,534,320,9,3888,30,136.25,24.62,12.150,,299.08,Offense
2015-16,Arizona St.,0,13,516,294,15,4388,35,144.98,22.62,14.925,,337.54,Defensive
2016-17,Arizona St.,12,12,425,257,14,3111,16,127.79,21.42,12.105,,259.25,Offense
2016-17,Arizona St.,0,12,485,310,9,4289,33,156.94,25.83,13.835,,357.42,Defensive
2017-18,Arizona St.,12,12,376,239,6,2972,18,142.57,19.92,12.435,,247.67,Offense
2017-18,Arizona St.,0,12,430,265,11,3256,19,134.70,22.08,12.287,,271.33,Defensive
2013-14,Arizona St.,14,14,494,309,12,3723,28,139.70,22.07,12.049,0.626,265.93,Offense
2013-14,Arizona St.,0,14,445,249,21,3286,24,126.34,17.79,13.197,0.560,234.71,Defensive
2014-15,Arizona St.,13,13,467,281,9,3556,34,144.30,21.62,12.655,0.602,273.54,Offense
2014-15,Arizona St.,0,13,453,269,14,3376,22,131.83,20.69,12.550,0.594,259.69,Defensive
2015-16,Arizona St.,13,13,534,320,9,3888,30,136.25,24.62,12.150,0.599,299.08,Offense
2015-16,Arizona St.,0,13,516,294,15,4388,35,144.98,22.62,14.925,0.570,337.54,Defensive
2016-17,Arizona St.,12,12,425,257,14,3111,16,127.79,21.42,12.105,0.605,259.25,Offense
2016-17,Arizona St.,0,12,485,310,9,4289,33,156.94,25.83,13.835,0.639,357.42,Defensive
2017-18,Arizona St.,12,12,376,239,6,2972,18,142.57,19.92,12.435,0.636,247.67,Offense
2017-18,Arizona St.,0,12,430,265,11,3256,19,134.70,22.08,12.287,0.616,271.33,Defensive
2013-14,Boise St.,13,13,466,329,11,3610,28,150.78,25.31,10.973,0.706,277.69,Offense
2013-14,Boise St.,0,13,455,294,16,3240,17,129.73,22.62,11.020,0.646,249.23,Defensive
2014-15,Boise St.,14,14,451,310,15,3926,27,154.96,22.14,12.665,0.687,280.43,Offense
2014-15,Boise St.,0,14,488,280,22,3260,18,116.65,20.00,11.643,0.574,232.86,Defensive
2015-16,Boise St.,13,13,526,334,12,4032,24,138.38,25.69,12.072,0.635,310.15,Offense
2015-16,Boise St.,0,13,411,220,22,2731,14,109.88,16.92,12.414,0.535,210.08,Defensive
2016-17,Boise St.,13,13,406,253,8,3878,28,161.37,19.46,15.328,0.623,298.31,Offense
2016-17,Boise St.,0,13,442,268,7,2769,19,1516.25,268.00,140.288,7.386,2769.00,Defensive
2017-18,Boise St.,13,13,406,258,5,3308,24,149.03,19.85,12.822,0.635,254.46,Offense
2017-18,Boise St.,0,13,434,254,13,2741,15,116.99,19.54,10.791,0.585,210.85,Defensive
2013-14,Boise St.,13,13,466,329,11,3610,28,150.78,25.31,10.973,,277.69,Offense
2013-14,Boise St.,0,13,455,294,16,3240,17,129.73,22.62,11.020,,249.23,Defensive
2014-15,Boise St.,14,14,451,310,15,3926,27,154.96,22.14,12.665,,280.43,Offense
2014-15,Boise St.,0,14,488,280,22,3260,18,116.65,20.00,11.643,,232.86,Defensive
2015-16,Boise St.,13,13,526,334,12,4032,24,138.38,25.69,12.072,,310.15,Offense
2015-16,Boise St.,0,13,411,220,22,2731,14,109.88,16.92,12.414,,210.08,Defensive
2016-17,Boise St.,13,13,406,253,8,3878,28,161.37,19.46,15.328,,298.31,Offense
2016-17,Boise St.,0,13,442,268,7,2769,19,1516.25,268.00,140.288,,2769.00,Defensive
2017-18,Boise St.,13,13,406,258,5,3308,24,149.03,19.85,12.822,,254.46,Offense
2017-18,Boise St.,0,13,434,254,13,2741,15,116.99,19.54,10.791,,210.85,Defensive
2013-14,Baylor,13,13,448,277,6,4668,35,172.46,21.31,16.852,,359.08,Offense
2013-14,Baylor,0,13,440,212,19,2794,23,110.14,16.31,13.179,,214.92,Defensive
2014-15,Baylor,13,13,519,323,8,4757,38,160.31,24.85,14.728,,365.92,Offense
2014-15,Baylor,0,13,456,249,13,3434,24,129.53,19.15,13.791,,264.15,Defensive
2015-16,Baylor,13,13,389,229,13,3764,44,170.79,17.62,16.437,,289.54,Offense
2015-16,Baylor,0,13,442,255,14,3035,30,131.43,19.62,11.902,,233.46,Defensive
2016-17,Baylor,13,13,480,269,15,3652,33,136.39,20.69,13.576,,280.92,Offense
2016-17,Baylor,0,13,412,226,12,2992,17,123.65,17.38,13.239,,230.15,Defensive
2017-18,Baylor,12,12,462,269,14,3452,23,131.36,22.42,12.833,,287.67,Offense
2017-18,Baylor,0,12,386,255,3,3204,25,155.61,21.25,12.565,,267.00,Defensive
2013-14,Baylor,13,13,448,277,6,4668,35,172.46,21.31,16.852,0.618,359.08,Offense
2013-14,Baylor,0,13,440,212,19,2794,23,110.14,16.31,13.179,0.482,214.92,Defensive
2014-15,Baylor,13,13,519,323,8,4757,38,160.31,24.85,14.728,0.622,365.92,Offense
2014-15,Baylor,0,13,456,249,13,3434,24,129.53,19.15,13.791,0.546,264.15,Defensive
2015-16,Baylor,13,13,389,229,13,3764,44,170.79,17.62,16.437,0.589,289.54,Offense
2015-16,Baylor,0,13,442,255,14,3035,30,131.43,19.62,11.902,0.577,233.46,Defensive
2016-17,Baylor,13,13,480,269,15,3652,33,136.39,20.69,13.576,0.560,280.92,Offense
2016-17,Baylor,0,13,412,226,12,2992,17,123.65,17.38,13.239,0.549,230.15,Defensive
2017-18,Baylor,12,12,462,269,14,3452,23,131.36,22.42,12.833,0.582,287.67,Offense
2017-18,Baylor,0,12,386,255,3,3204,25,155.61,21.25,12.565,0.661,267.00,Defensive
2013-14,Baylor,13,13,448,277,6,4668,35,172.46,21.31,16.852,,359.08,Offense
2013-14,Baylor,0,13,440,212,19,2794,23,110.14,16.31,13.179,,214.92,Defensive
2014-15,Baylor,13,13,519,323,8,4757,38,160.31,24.85,14.728,,365.92,Offense
2014-15,Baylor,0,13,456,249,13,3434,24,129.53,19.15,13.791,,264.15,Defensive
2015-16,Baylor,13,13,389,229,13,3764,44,170.79,17.62,16.437,,289.54,Offense
2015-16,Baylor,0,13,442,255,14,3035,30,131.43,19.62,11.902,,233.46,Defensive
2016-17,Baylor,13,13,480,269,15,3652,33,136.39,20.69,13.576,,280.92,Offense
2016-17,Baylor,0,13,412,226,12,2992,17,123.65,17.38,13.239,,230.15,Defensive
2017-18,Baylor,12,12,462,269,14,3452,23,131.36,22.42,12.833,,287.67,Offense
2017-18,Baylor,0,12,386,255,3,3204,25,155.61,21.25,12.565,,267.00,Defensive
2013-14,Baylor,13,13,448,277,6,4668,35,172.46,21.31,16.852,0.618,359.08,Offense
2013-14,Baylor,0,13,440,212,19,2794,23,110.14,16.31,13.179,0.482,214.92,Defensive
2014-15,Baylor,13,13,519,323,8,4757,38,160.31,24.85,14.728,0.622,365.92,Offense
2014-15,Baylor,0,13,456,249,13,3434,24,129.53,19.15,13.791,0.546,264.15,Defensive
2015-16,Baylor,13,13,389,229,13,3764,44,170.79,17.62,16.437,0.589,289.54,Offense
2015-16,Baylor,0,13,442,255,14,3035,30,131.43,19.62,11.902,0.577,233.46,Defensive
2016-17,Baylor,13,13,480,269,15,3652,33,136.39,20.69,13.576,0.560,280.92,Offense
2016-17,Baylor,0,13,412,226,12,2992,17,123.65,17.38,13.239,0.549,230.15,Defensive
2017-18,Baylor,12,12,462,269,14,3452,23,131.36,22.42,12.833,0.582,287.67,Offense
2017-18,Baylor,0,12,386,255,3,3204,25,155.61,21.25,12.565,0.661,267.00,Defensive
2013-14,Ball St.,13,13,509,322,8,4214,35,152.35,24.77,13.087,,324.15,Offense
2013-14,Ball St.,0,13,433,265,13,2841,14,120.98,20.38,10.721,,218.54,Defensive
2014-15,Ball St.,12,12,409,232,7,2590,19,121.82,19.33,11.164,,215.83,Offense
2014-15,Ball St.,0,12,402,250,10,2853,16,129.96,20.83,11.412,,237.75,Defensive
2015-16,Ball St.,12,12,459,263,9,2619,17,113.53,21.92,9.958,,218.25,Offense
2015-16,Ball St.,0,12,408,289,7,3510,26,160.70,24.08,12.145,,292.50,Defensive
2016-17,Ball St.,12,12,436,263,15,2750,14,117.02,21.92,10.456,,229.17,Offense
2016-17,Ball St.,0,12,480,301,7,3836,27,1791.66,301.00,154.699,,3836.00,Defensive
2017-18,Ball St.,12,12,405,228,14,2126,11,102.44,19.00,9.325,,177.17,Offense
2017-18,Ball St.,0,12,316,186,6,2803,29,159.86,15.50,15.070,,233.58,Defensive
2013-14,Ball St.,13,13,509,322,8,4214,35,152.35,24.77,13.087,0.633,324.15,Offense
2013-14,Ball St.,0,13,433,265,13,2841,14,120.98,20.38,10.721,0.612,218.54,Defensive
2014-15,Ball St.,12,12,409,232,7,2590,19,121.82,19.33,11.164,0.567,215.83,Offense
2014-15,Ball St.,0,12,402,250,10,2853,16,129.96,20.83,11.412,0.622,237.75,Defensive
2015-16,Ball St.,12,12,459,263,9,2619,17,113.53,21.92,9.958,0.573,218.25,Offense
2015-16,Ball St.,0,12,408,289,7,3510,26,160.70,24.08,12.145,0.708,292.50,Defensive
2016-17,Ball St.,12,12,436,263,15,2750,14,117.02,21.92,10.456,0.603,229.17,Offense
2016-17,Ball St.,0,12,480,301,7,3836,27,1791.66,301.00,154.699,7.642,3836.00,Defensive
2017-18,Ball St.,12,12,405,228,14,2126,11,102.44,19.00,9.325,0.563,177.17,Offense
2017-18,Ball St.,0,12,316,186,6,2803,29,159.86,15.50,15.070,0.589,233.58,Defensive
2013-14,Ball St.,13,13,509,322,8,4214,35,152.35,24.77,13.087,,324.15,Offense
2013-14,Ball St.,0,13,433,265,13,2841,14,120.98,20.38,10.721,,218.54,Defensive
2014-15,Ball St.,12,12,409,232,7,2590,19,121.82,19.33,11.164,,215.83,Offense
2014-15,Ball St.,0,12,402,250,10,2853,16,129.96,20.83,11.412,,237.75,Defensive
2015-16,Ball St.,12,12,459,263,9,2619,17,113.53,21.92,9.958,,218.25,Offense
2015-16,Ball St.,0,12,408,289,7,3510,26,160.70,24.08,12.145,,292.50,Defensive
2016-17,Ball St.,12,12,436,263,15,2750,14,117.02,21.92,10.456,,229.17,Offense
2016-17,Ball St.,0,12,480,301,7,3836,27,1791.66,301.00,154.699,,3836.00,Defensive
2017-18,Ball St.,12,12,405,228,14,2126,11,102.44,19.00,9.325,,177.17,Offense
2017-18,Ball St.,0,12,316,186,6,2803,29,159.86,15.50,15.070,,233.58,Defensive
2013-14,BYU,13,13,447,237,14,2942,19,116.07,18.23,12.414,0.530,226.31,Offense
2013-14,BYU,0,13,490,279,13,2846,19,113.22,21.46,10.201,0.569,218.92,Defensive
2014-15,BYU,13,13,483,289,12,3623,32,139.74,22.23,12.536,0.598,278.69,Offense
2014-15,BYU,0,13,549,318,14,3506,25,121.49,24.46,11.025,0.579,269.69,Defensive
2015-16,BYU,13,13,504,302,12,3854,26,136.42,23.23,12.762,0.599,296.46,Offense
2015-16,BYU,0,13,407,226,15,2624,12,112.04,17.38,11.611,0.555,201.85,Defensive
2016-17,BYU,13,13,412,245,12,2573,15,118.11,18.85,10.502,0.595,197.92,Offense
2016-17,BYU,0,13,429,271,21,3278,17,1643.41,271.00,152.714,8.118,3278.00,Defensive
2017-18,BYU,13,13,418,228,19,2530,13,106.56,17.54,11.096,0.545,194.62,Offense
2017-18,BYU,0,13,386,254,8,2928,19,141.62,19.54,11.528,0.658,225.23,Defensive
2013-14,BYU,13,13,447,237,14,2942,19,116.07,18.23,12.414,0.530,226.31,Offense
2013-14,BYU,0,13,490,279,13,2846,19,113.22,21.46,10.201,0.569,218.92,Defensive
2014-15,BYU,13,13,483,289,12,3623,32,139.74,22.23,12.536,0.598,278.69,Offense
2014-15,BYU,0,13,549,318,14,3506,25,121.49,24.46,11.025,0.579,269.69,Defensive
2015-16,BYU,13,13,504,302,12,3854,26,136.42,23.23,12.762,0.599,296.46,Offense
2015-16,BYU,0,13,407,226,15,2624,12,112.04,17.38,11.611,0.555,201.85,Defensive
2016-17,BYU,13,13,412,245,12,2573,15,118.11,18.85,10.502,0.595,197.92,Offense
2016-17,BYU,0,13,429,271,21,3278,17,1643.41,271.00,152.714,8.118,3278.00,Defensive
2017-18,BYU,13,13,418,228,19,2530,13,106.56,17.54,11.096,0.545,194.62,Offense
2017-18,BYU,0,13,386,254,8,2928,19,141.62,19.54,11.528,0.658,225.23,Defensive
2013-14,BYU,13,13,447,237,14,2942,19,116.07,18.23,12.414,,226.31,Offense
2013-14,BYU,0,13,490,279,13,2846,19,113.22,21.46,10.201,,218.92,Defensive
2014-15,BYU,13,13,483,289,12,3623,32,139.74,22.23,12.536,,278.69,Offense
2014-15,BYU,0,13,549,318,14,3506,25,121.49,24.46,11.025,,269.69,Defensive
2015-16,BYU,13,13,504,302,12,3854,26,136.42,23.23,12.762,,296.46,Offense
2015-16,BYU,0,13,407,226,15,2624,12,112.04,17.38,11.611,,201.85,Defensive
2016-17,BYU,13,13,412,245,12,2573,15,118.11,18.85,10.502,,197.92,Offense
2016-17,BYU,0,13,429,271,21,3278,17,1643.41,271.00,152.714,,3278.00,Defensive
2017-18,BYU,13,13,418,228,19,2530,13,106.56,17.54,11.096,,194.62,Offense
2017-18,BYU,0,13,386,254,8,2928,19,141.62,19.54,11.528,,225.23,Defensive
2013-14,BYU,13,13,447,237,14,2942,19,116.07,18.23,12.414,,226.31,Offense
2013-14,BYU,0,13,490,279,13,2846,19,113.22,21.46,10.201,,218.92,Defensive
2014-15,BYU,13,13,483,289,12,3623,32,139.74,22.23,12.536,,278.69,Offense
2014-15,BYU,0,13,549,318,14,3506,25,121.49,24.46,11.025,,269.69,Defensive
2015-16,BYU,13,13,504,302,12,3854,26,136.42,23.23,12.762,,296.46,Offense
