Jersey,Player,Yr,Pos,GP,GS,G,PBU,Int,IntRetTDs,IntRYds,PDef,stat,year,team
17,"Rhodes, J'Marcus",Jr,DB,12,3,12,1,nan,nan,nan,1.0,Passes Defended,2016-17,Arizona St. Sun Devils
0K,"Crump, Koron",Jr,LB,12,8,12,1,1,nan,59,2.0,Passes Defended,2016-17,Arizona St. Sun Devils
0W,"Wicker, Jojo",So,DL,12,11,12,3,nan,nan,nan,3.0,Passes Defended,2016-17,Arizona St. Sun Devils
12,"White, Tim",Sr,WR,12,7,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
92,"Topps, Tramel",Sr,DL,12,0,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
22,"Ralston, Nick",Fr,RB,12,0,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
8,"Hayes, De'Chavon",Sr,DB,12,9,12,6,3,nan,56,9.0,Passes Defended,2016-17,Arizona St. Sun Devils
90,"Smallwood, Tashon",Jr,DL,12,12,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
95,"Wren, Renell",So,DL,12,1,12,3,nan,nan,nan,3.0,Passes Defended,2016-17,Arizona St. Sun Devils
7,"Ballage, Kalen",Jr,RB,12,6,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
59,"Bailey, Quinn",So,OL,12,12,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
0C,"Calhoun, DJ",Jr,LB,12,12,12,1,nan,nan,nan,1.0,Passes Defended,2016-17,Arizona St. Sun Devils
44,"Latu, Alani",Jr,LB,12,7,12,2,nan,nan,nan,2.0,Passes Defended,2016-17,Arizona St. Sun Devils
19,"Jefferson, Ellis",Jr,WR,12,0,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
26,"Haack, Matt",Sr,P,12,0,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
0G,"Gonzalez, Zane",Sr,K,12,0,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
57,"Goodman, Evan",Sr,OL,12,12,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
43,"Mendoza, Carlos",Sr,LB,12,1,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
89,"Gammage, Frederick",Sr,WR,12,4,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
1,"Harry, N'Keal",Fr,WR,12,12,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
99,"Cabral, Cohl",Fr,OL,11,0,11,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
16,"Chandler, Maurice",Jr,DB,11,4,11,2,nan,nan,nan,2.0,Passes Defended,2016-17,Arizona St. Sun Devils
10,"Williams, Kyle",Fr,DB,11,0,11,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
25,"Orr, Kareem",So,DB,11,11,11,5,1,nan,13,6.0,Passes Defended,2016-17,Arizona St. Sun Devils
71,"Miller, Steven",Fr,OL,11,3,11,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
83,"Kohl, Kody",Sr,TE,11,11,11,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
4,"Richard, Demario",Jr,RB,11,10,11,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
97,"Boateng, Edmond",Sr,DL,11,0,11,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
2A,"Adams, Chad",Jr,DB,11,3,11,1,nan,nan,nan,1.0,Passes Defended,2016-17,Arizona St. Sun Devils
31,"Ball, Marcus",Jr,LB,11,8,11,2,1,nan,22,3.0,Passes Defended,2016-17,Arizona St. Sun Devils
28,"Moeakiola, Viliami",Sr,DB,11,10,11,9,1,1,28,10.0,Passes Defended,2016-17,Arizona St. Sun Devils
80,"Epps, Raymond",Jr,TE,11,2,11,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
65,"McCollum, A.J.",Jr,OL,10,8,10,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
15,"Eckhols, Bryson",Sr,DB,10,0,10,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
0R,"Robinson, Robbie",Fr,DB,10,0,10,nan,1,nan,3,1.0,Passes Defended,2016-17,Arizona St. Sun Devils
51,"Robertson, Zach",Fr,OL,10,5,10,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
45,"Lea, George",Fr,DL,10,4,10,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
77,"McCray, Stephon",Sr,OL,10,10,10,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
82,"Harvey, Jalen",So,WR,10,5,10,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
30,"Tautalatasi, Dasmond",So,DB,10,0,10,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
13,"Perry, Armand",So,DB,10,10,10,3,nan,nan,nan,3.0,Passes Defended,2016-17,Arizona St. Sun Devils
5,"Wilkins, Manny",So,QB,10,10,10,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
41,"Latu, Viliami",Sr,LB,10,10,10,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
39,"Lawal, Malik",Fr,LB,10,0,10,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
9,"Wilson, Jay Jay",So,TE,9,2,9,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
94,"Hill, Christian",Jr,DL,9,0,9,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
63,"Fraboni, Mitchell",Jr,DB,8,0,8,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
6,"Smith, Cameron",Jr,WR,8,1,8,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
1G,"Guignard, Deion",So,DB,7,0,7,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
76,"Jones, Sam",So,OL,7,7,7,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
5F,"Fiso, Salamo",Sr,LB,7,4,7,1,1,nan,22,2.0,Passes Defended,2016-17,Arizona St. Sun Devils
37,"Gerhart, Coltin",So,DB,7,0,7,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
15,"Sterling-Cole, Dillon",Fr,QB,6,1,6,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
75,"McClure, Tyler",Jr,OL,6,2,6,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
34,"Smith, Jack",Fr,WR,5,0,5,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
91,"Smith, Corey",Jr,DL,5,0,5,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
86,"Jenkins, Ryan",Jr,WR,5,0,5,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
2,"White, Brady",Fr,QB,4,1,4,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
2W,"Whiley, Tyler",So,LB,4,1,4,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
79,"Walter, Mason",Fr,OL,4,0,4,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
64,"John, Riley",nan,nan,3,0,3,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
5M,"Mathews, Brandon",Sr,LB,3,0,3,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
96,"Bates, Jalen",Fr,DL,3,0,3,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
21,"Chatman, Terrell",Fr,WR,3,0,3,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
56,"Losoya, Alex",So,OL,2,0,2,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
23,"Lewis, Jason",Fr,RB,2,0,2,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
87,"Hudson, Tommy",Fr,TE,2,0,2,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
2C,"Cosgrove, Mark",Jr,RB,2,0,2,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
0S,"Sam, Christian",Jr,LB,2,2,2,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
88,"Groebner, Daniel",Sr,WR,1,0,1,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
78,"Nathe, Marshal",Fr,OL,1,1,1,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
36,"Sleep-Dalton, Michael",So,P,1,0,1,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
0L,"Lucas, Chase",Fr,DB,1,0,1,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
1A,"Akina, Shawn",Fr,QB,1,0,1,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
3R,"Rogers, Owen",So,OL,1,0,1,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
20,"Thomas, Khaylan",So,LB,1,0,1,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
8P,"Pokraka, Josh",So,TE,1,0,1,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
4O,"O'Brien, John",So,K,1,0,1,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
72,"Cote, Cade",Fr,OL,1,0,1,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
8A,"Alexander, JD",Fr,TE,1,0,1,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
3,"Perkins, Bryce",Fr,QB,1,0,1,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
47,"Thompson, Matt",Sr,LB,1,0,1,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
14,"Lauderdale, Eric",Sr,WR,1,0,1,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
35,"Brimhall, Jacom",Jr,RB,1,0,1,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
0W,"Wicker, Jojo",Fr,DL,13,10,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
2,"Bercovici, Mike",Sr,QB,13,13,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
81,"Chambers, Gary",Sr,WR,13,2,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
73,"Teofilo, Vi",Sr,OL,13,13,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
58,"Fiso, Salamo",Jr,LB,13,13,13,2,1,nan,18,3.0,Passes Defended,2015-16,Arizona St. Sun Devils
83,"Kohl, Kody",Jr,TE,13,12,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
75,"McGehee, William",Sr,OL,13,12,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
8,"Foster, D.J.",Sr,WR,13,13,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
57,"Goodman, Evan",Jr,OL,13,11,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
0C,"Carrington, Lloyd",Sr,DB,13,13,13,6,1,1,38,7.0,Passes Defended,2015-16,Arizona St. Sun Devils
94,"Cherry, Demetrius",Sr,DL,13,11,13,2,nan,nan,nan,2.0,Passes Defended,2015-16,Arizona St. Sun Devils
5,"Gonzalez, Zane",Jr,K,13,0,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
26,"Haack, Matt",Jr,P,13,0,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
19,"Jefferson, Ellis",So,WR,13,0,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
50,"Kelly, Nick",Sr,OL,13,13,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
32,"Longino, Antonio",Sr,LB,13,12,13,2,nan,nan,nan,2.0,Passes Defended,2015-16,Arizona St. Sun Devils
55,"Westerman, Christian",Sr,OL,13,13,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
3,"Calhoun, DJ",So,LB,13,0,13,1,nan,nan,nan,1.0,Passes Defended,2015-16,Arizona St. Sun Devils
0S,"Sam, Christian",So,LB,13,13,13,2,1,nan,nan,3.0,Passes Defended,2015-16,Arizona St. Sun Devils
12,"White, Tim",Jr,WR,13,10,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
15,"Lucien, Devin",Sr,WR,13,10,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
1,"Hayes, De'Chavon",Jr,RB,13,1,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
63,"Fraboni, Mitchell",Fr,DB,13,0,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
90,"Smallwood, T.",So,DL,13,11,13,1,nan,nan,nan,1.0,Passes Defended,2015-16,Arizona St. Sun Devils
10,"Brown, Kweishi",Sr,DB,13,13,13,10,2,nan,33,12.0,Passes Defended,2015-16,Arizona St. Sun Devils
28,"Moeakiola, Viliami",Jr,LB,12,12,12,5,1,nan,nan,6.0,Passes Defended,2015-16,Arizona St. Sun Devils
0A,"Adams, Chad",So,DB,12,2,12,1,nan,nan,nan,1.0,Passes Defended,2015-16,Arizona St. Sun Devils
25,"Orr, Kareem",Fr,DB,12,9,12,2,6,1,98,8.0,Passes Defended,2015-16,Arizona St. Sun Devils
17,"Murphy-Richardson, Ismael",Fr,LB,12,1,12,1,nan,nan,nan,1.0,Passes Defended,2015-16,Arizona St. Sun Devils
7,"Means, Solomon",Sr,DB,12,2,12,3,nan,nan,nan,3.0,Passes Defended,2015-16,Arizona St. Sun Devils
80,"Epps, Raymond",So,TE,12,5,12,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
41,"Latu, Viliami",Jr,LB,12,4,12,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
44,"Latu, Alani",So,LB,12,0,12,1,nan,nan,nan,1.0,Passes Defended,2015-16,Arizona St. Sun Devils
77,"McCray, Stephon",Jr,OL,12,0,12,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
30,"Tautalatasi, Dasmond",Fr,DB,12,0,12,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
76,"Jones, Sam",So,OL,12,3,12,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
4,"Richard, Demario",So,RB,12,11,12,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
31,"Ball, Marcus",So,DB,11,1,11,nan,1,nan,nan,1.0,Passes Defended,2015-16,Arizona St. Sun Devils
6,"Wilson, Jay Jay",Fr,LB,11,0,11,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
97,"Boateng, Edmond",Jr,DL,10,3,10,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
9,"Ballage, Kalen",So,RB,10,1,10,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
38,"Simone, Jordan",Sr,DB,10,10,10,4,2,nan,2,6.0,Passes Defended,2015-16,Arizona St. Sun Devils
18,"Johnson, James",So,DB,10,1,10,1,nan,nan,nan,1.0,Passes Defended,2015-16,Arizona St. Sun Devils
98,"Latu, Mo",Sr,DL,9,0,9,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
35,"Brimhall, Jacom",So,RB,8,0,8,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
24,"Scott, Deandre",So,DB,7,0,7,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
20,"Thomas, Khaylan",Fr,LB,6,0,6,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
89,"Gammage, Frederick",Jr,WR,6,0,6,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
82,"Harvey, Jalen",So,WR,5,0,5,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
59,"Bailey, Quinn",So,OL,5,0,5,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
22,"Ralston, Nick",Fr,RB,4,0,4,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
95,"Wren, Renell",Fr,DL,4,0,4,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
91,"Smith, Corey",So,DL,4,0,4,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
0M,"Wilkins, Manny",So,QB,4,0,4,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
37,"Gerhart, Coltin",Fr,DB,3,0,3,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
14,"Lauderdale, Eric",Jr,WR,3,0,3,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
99,"Dayries, Emanuel",So,DL,2,0,2,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
13,"Perry, Armand",So,DB,2,2,2,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
92,"Topps, Tramel",Jr,DL,2,0,2,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
0X,"Cox, Chans",So,LB,2,0,2,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
5F,"Franklin, Jason",Sr,LB,1,0,1,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
54,"Humphreys, Connor",Fr,OL,1,0,1,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Arizona St. Sun Devils
40,"Norwood, Nate",nan,DE,13,11,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
26,"Thomas, Josh",Fr,DB,13,0,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
93,"McMurry, Elias",Fr,OL,13,0,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
17a,"Hayes, Tae",Fr,DL,13,7,13,4,1,nan,18,5.0,Passes Defended,2015-16,Appalachian St. Mountaineers
58,"Flory, Anthony",Fr,LB,13,0,13,1,nan,nan,nan,1.0,Passes Defended,2015-16,Appalachian St. Mountaineers
99,"Burns, Stephen",Sr,DL,13,0,13,1,nan,nan,nan,1.0,Passes Defended,2015-16,Appalachian St. Mountaineers
8,"Boyd, Josh",Fr,RB,13,0,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
19,"Anderson, Dustin",Jr,LB,13,0,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
45,"Boggs, Eric",So,LB,13,13,13,1,3,nan,61,4.0,Passes Defended,2015-16,Appalachian St. Mountaineers
5a,"Gibbs, Latrell",So,DB,13,12,13,12,7,2,149,19.0,Passes Defended,2015-16,Appalachian St. Mountaineers
11a,"Stringer, Devan",So,LB,13,12,13,2,nan,nan,nan,2.0,Passes Defended,2015-16,Appalachian St. Mountaineers
10,"Howard, A.J.",So,DB,13,0,13,1,nan,nan,nan,1.0,Passes Defended,2015-16,Appalachian St. Mountaineers
4,"Barbour, Jaylan",Fr,WR,13,0,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
91,"Critcher, Bentlee",Jr,P,13,0,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
75,"Collins, Parker",Jr,OL,13,13,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
70,"Gossett, Colby",So,OL,13,13,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
86,"Duffield, Levi",So,TE,13,4,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
51,"Fuller, Caleb",So,LB,13,0,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
33,"Davidson, Eric",Sr,RB,13,0,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
30,"Sombo, Osvaldo",Sr,LB,13,0,13,1,nan,nan,nan,1.0,Passes Defended,2015-16,Appalachian St. Mountaineers
11,"Lamb, Taylor",So,QB,13,13,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
6,"Gilchrist, Kennan",Jr,LB,13,12,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
85,"Burns, Barrett",Jr,TE,13,13,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
72,"Fernandez, Tyson",Jr,DL,13,12,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
54,"Small, Darian",Jr,DL,13,0,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
36,"Dada, Olawale",Jr,DL,13,3,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
3,"Gray, Alex",Jr,DB,13,13,13,2,2,nan,3,4.0,Passes Defended,2015-16,Appalachian St. Mountaineers
7,"Jones, Malachi",Sr,WR,13,13,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
49,"Blair, Ronad",Sr,DL,13,13,13,nan,1,1,30,1.0,Passes Defended,2015-16,Appalachian St. Mountaineers
21,"Middleton, Doug",Sr,DB,13,13,13,3,nan,nan,nan,3.0,Passes Defended,2015-16,Appalachian St. Mountaineers
59,"Matics, Zach",Sr,P,13,0,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
60,"Chapman, Jesse",Sr,OL,13,13,13,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
4a,"Williams, Mondo",Jr,DB,12,7,12,4,2,nan,19,6.0,Passes Defended,2015-16,Appalachian St. Mountaineers
81,"Beathard, Bobo",Sr,WR,12,4,12,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
67,"Counts, Shaq",Sr,OL,12,1,12,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
73,"Harris, Davante",Sr,OL,12,12,12,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
88a,"Law, John",Jr,LB,12,12,12,1,2,nan,nan,3.0,Passes Defended,2015-16,Appalachian St. Mountaineers
83,"McElfresh, Simms",Sr,WR,12,10,12,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
14,"Cox, Marcus",Jr,RB,12,12,12,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
25,"Moore, Jalin",Fr,RB,12,0,12,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
37,"Fuller, Teh'Ron",Fr,LB,12,0,12,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
2,"Lewis, Ike",nan,WR,12,1,12,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
92,"Stout, Myquon",Fr,DL,12,0,12,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
6W,"Meadors, Shaedon",So,WR,11,1,11,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
27,"Sigalo, Junior",Fr,DB,11,0,11,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
66,"Collmar, Jamie",Jr,DL,11,6,11,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
35,"Thomas, Toronto",Jr,LB,11,0,11,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
20,"Upshaw, Terrence",So,RB,11,1,11,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
28,"Fergerson, Ricky",Sr,RB,11,0,11,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
90,"Singleton, Tashion",Jr,DL,11,0,11,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
13,"Jones, Dante",So,WR,11,0,11,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
84,"McGuire, Montez",Sr,WR,10,3,10,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
29,"Krah, Aaron",Sr,DB,10,0,10,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
43,"Ward, D.J.",Sr,LB,10,1,10,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
12A,"Ford, Jordan",Jr,DB,9,0,9,1,nan,nan,nan,1.0,Passes Defended,2015-16,Appalachian St. Mountaineers
46,"Cecil, Bill",So,TE,9,1,9,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
53a,"McKinney, Cody",Jr,LB,9,0,9,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
48,"Reed, Dezmin",Jr,LB,8,0,8,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
80,"Nunn, Hunter",So,TE,8,1,8,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
50,"Nunn, Beau",So,OL,8,7,8,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
47,"Godwin, Okon",Fr,LB,7,0,7,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
52,"Edge-Campbell, Tobias",Fr,OL,7,0,7,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
76,"Malone, Madison",Fr,OL,6,0,6,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
3W,"Hopkins, Deltron",Fr,WR,6,0,6,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
1Q,"Caruso, J.P.",Fr,QB,5,0,5,nan,nan,nan,nan,0.0,Passes Defended,2015-16,Appalachian St. Mountaineers
