Year,Team,GP,G,RushNetYards,ReceivingYards,IntRYds,PuntRetYds,FRetYds,KORetYds,APY,All-PurposeYardsG,OffenseDefense
2016-17,Alabama,15,15,3675,3154,398,528,210,547,8512,nan,Offense
2016-17,Alabama,0,15,959,2968,96,213,44,1212,5492,nan,Defensive
2017-18,Alabama,12,12,3184,2401,221,233,nan,348,6416,nan,Offense
2017-18,Alabama,0,12,1129,1964,97,5,nan,868,4063,nan,Defensive
2013-14,Akron,12,12,1471,2633,132,72,nan,817,5125,nan,Offense
2013-14,Akron,0,12,1969,2795,151,109,18,716,5734,nan,Defensive
2014-15,Akron,12,12,1484,2995,244,75,6,626,5430,nan,Offense
2014-15,Akron,0,12,1783,2670,160,123,29,828,5593,nan,Defensive
2015-16,Akron,13,13,2134,2508,29,98,68,565,5402,nan,Offense
2015-16,Akron,0,13,1208,3102,86,123,nan,794,5399,nan,Defensive
2016-17,Akron,12,12,1586,3063,107,298,35,814,5903,nan,Offense
2016-17,Akron,0,12,2696,2896,126,157,85,1185,7145,nan,Defensive
2017-18,Akron,13,13,1406,2872,398,12,56,602,5346,nan,Offense
2017-18,Akron,0,13,2564,3054,85,280,7,898,6929,nan,Defensive
2013-14,Alabama,13,13,2673,3230,253,413,46,736,7351,nan,Offense
2013-14,Alabama,0,13,1381,2344,129,58,39,1400,5422,nan,Defensive
2014-15,Alabama,14,14,2893,3890,84,234,40,1006,8147,nan,Offense
2014-15,Alabama,0,14,1434,3164,124,83,76,1291,6172,nan,Defensive
2015-16,Alabama,15,15,2999,3407,462,597,27,803,8310,nan,Offense
2015-16,Alabama,0,15,1136,3009,140,279,nan,779,5323,nan,Defensive
2016-17,Alabama,15,15,3675,3154,398,528,210,547,8512,nan,Offense
2016-17,Alabama,0,15,959,2968,96,213,44,1212,5492,nan,Defensive
2017-18,Alabama,12,12,3184,2401,221,233,nan,348,6416,nan,Offense
2017-18,Alabama,0,12,1129,1964,97,5,nan,868,4063,nan,Defensive
2013-14,Akron,12,12,1471,2633,132,72,nan,817,5125,nan,Offense
2013-14,Akron,0,12,1969,2795,151,109,18,716,5734,nan,Defensive
2014-15,Akron,12,12,1484,2995,244,75,6,626,5430,nan,Offense
2014-15,Akron,0,12,1783,2670,160,123,29,828,5593,nan,Defensive
2015-16,Akron,13,13,2134,2508,29,98,68,565,5402,nan,Offense
2015-16,Akron,0,13,1208,3102,86,123,nan,794,5399,nan,Defensive
2016-17,Akron,12,12,1586,3063,107,298,35,814,5903,nan,Offense
2016-17,Akron,0,12,2696,2896,126,157,85,1185,7145,nan,Defensive
2017-18,Akron,13,13,1406,2872,398,12,56,602,5346,nan,Offense
