Year,Team,GP,G,RushNetYards,ReceivingYards,IntRYds,PuntRetYds,FRetYds,KORetYds,APY,All-PurposeYardsG,OffenseDefense
2016-17,Ga. Southern,12,12,2690,1868,39,207,90,1026,5932,nan,Offense
2016-17,Ga. Southern,0,12,2005,2754,111,56,55,388,5336,nan,Defensive
2017-18,Ga. Southern,12,12,2668,1320,80,143,34,1050,5295,nan,Offense
2017-18,Ga. Southern,0,12,2164,2761,43,153,91,146,5358,nan,Defensive
2013-14,Indiana,12,12,2422,3680,55,130,23,1052,7362,nan,Offense
2013-14,Indiana,0,12,2853,3482,201,140,30,636,7339,nan,Defensive
2014-15,Indiana,12,12,3163,1697,110,88,11,903,5986,nan,Offense
2014-15,Indiana,0,12,2192,3013,147,195,5,550,6102,nan,Defensive
2015-16,Indiana,13,13,2736,3820,238,199,nan,979,7972,nan,Offense
2015-16,Indiana,0,13,2544,4079,2,191,49,878,7738,nan,Defensive
2016-17,Indiana,13,13,1979,3559,142,179,nan,1008,6779,nan,Offense
2016-17,Indiana,0,13,2085,2856,279,195,84,688,6187,nan,Defensive
2017-18,Indiana,12,12,1561,3188,34,368,30,623,5804,nan,Offense
2017-18,Indiana,0,12,1925,2156,98,124,18,647,5006,nan,Defensive
2013-14,Indiana,12,12,2422,3680,55,130,23,1052,7362,nan,Offense
2013-14,Indiana,0,12,2853,3482,201,140,30,636,7339,nan,Defensive
2014-15,Indiana,12,12,3163,1697,110,88,11,903,5986,nan,Offense
2014-15,Indiana,0,12,2192,3013,147,195,5,550,6102,nan,Defensive
2015-16,Indiana,13,13,2736,3820,238,199,nan,979,7972,nan,Offense
2015-16,Indiana,0,13,2544,4079,2,191,49,878,7738,nan,Defensive
2016-17,Indiana,13,13,1979,3559,142,179,nan,1008,6779,nan,Offense
2016-17,Indiana,0,13,2085,2856,279,195,84,688,6187,nan,Defensive
2017-18,Indiana,12,12,1561,3188,34,368,30,623,5804,nan,Offense
2017-18,Indiana,0,12,1925,2156,98,124,18,647,5006,nan,Defensive
2013-14,Indiana,12,12,2422,3680,55,130,23,1052,7362,nan,Offense
2013-14,Indiana,0,12,2853,3482,201,140,30,636,7339,nan,Defensive
2014-15,Indiana,12,12,3163,1697,110,88,11,903,5986,nan,Offense
2014-15,Indiana,0,12,2192,3013,147,195,5,550,6102,nan,Defensive
2015-16,Indiana,13,13,2736,3820,238,199,nan,979,7972,nan,Offense
2015-16,Indiana,0,13,2544,4079,2,191,49,878,7738,nan,Defensive
2016-17,Indiana,13,13,1979,3559,142,179,nan,1008,6779,nan,Offense
2016-17,Indiana,0,13,2085,2856,279,195,84,688,6187,nan,Defensive
2017-18,Indiana,12,12,1561,3188,34,368,30,623,5804,nan,Offense
2017-18,Indiana,0,12,1925,2156,98,124,18,647,5006,nan,Defensive
2013-14,Illinois,12,12,1668,3452,22,272,7,1015,6436,nan,Offense
2013-14,Illinois,0,12,2863,2915,178,117,nan,719,6792,nan,Defensive
2014-15,Illinois,13,13,1527,3247,203,191,56,778,6002,nan,Offense
2014-15,Illinois,0,13,3109,2824,272,174,147,629,7164,nan,Defensive
2015-16,Illinois,12,12,1551,2921,195,290,25,614,5599,nan,Offense
2015-16,Illinois,0,12,1997,2213,48,297,nan,723,5278,nan,Defensive
2016-17,Illinois,12,12,1686,2095,133,101,27,754,4796,nan,Offense
2016-17,Illinois,0,12,2630,2231,161,273,41,676,6012,nan,Defensive
2017-18,Illinois,12,12,1267,2098,105,74,116,693,4364,nan,Offense
2017-18,Illinois,0,12,2622,2399,335,143,3,212,5693,nan,Defensive
2013-14,Illinois,12,12,1668,3452,22,272,7,1015,6436,nan,Offense
2013-14,Illinois,0,12,2863,2915,178,117,nan,719,6792,nan,Defensive
2014-15,Illinois,13,13,1527,3247,203,191,56,778,6002,nan,Offense
2014-15,Illinois,0,13,3109,2824,272,174,147,629,7164,nan,Defensive
2015-16,Illinois,12,12,1551,2921,195,290,25,614,5599,nan,Offense
2015-16,Illinois,0,12,1997,2213,48,297,nan,723,5278,nan,Defensive
2016-17,Illinois,12,12,1686,2095,133,101,27,754,4796,nan,Offense
2016-17,Illinois,0,12,2630,2231,161,273,41,676,6012,nan,Defensive
2017-18,Illinois,12,12,1267,2098,105,74,116,693,4364,nan,Offense
2017-18,Illinois,0,12,2622,2399,335,143,3,212,5693,nan,Defensive
2013-14,Illinois,12,12,1668,3452,22,272,7,1015,6436,nan,Offense
2013-14,Illinois,0,12,2863,2915,178,117,nan,719,6792,nan,Defensive
2014-15,Illinois,13,13,1527,3247,203,191,56,778,6002,nan,Offense
2014-15,Illinois,0,13,3109,2824,272,174,147,629,7164,nan,Defensive
2015-16,Illinois,12,12,1551,2921,195,290,25,614,5599,nan,Offense
2015-16,Illinois,0,12,1997,2213,48,297,nan,723,5278,nan,Defensive
2016-17,Illinois,12,12,1686,2095,133,101,27,754,4796,nan,Offense
2016-17,Illinois,0,12,2630,2231,161,273,41,676,6012,nan,Defensive
2017-18,Illinois,12,12,1267,2098,105,74,116,693,4364,nan,Offense
2017-18,Illinois,0,12,2622,2399,335,143,3,212,5693,nan,Defensive
2013-14,Illinois,12,12,1668,3452,22,272,7,1015,6436,nan,Offense
2013-14,Illinois,0,12,2863,2915,178,117,nan,719,6792,nan,Defensive
2014-15,Illinois,13,13,1527,3247,203,191,56,778,6002,nan,Offense
2014-15,Illinois,0,13,3109,2824,272,174,147,629,7164,nan,Defensive
2015-16,Illinois,12,12,1551,2921,195,290,25,614,5599,nan,Offense
2015-16,Illinois,0,12,1997,2213,48,297,nan,723,5278,nan,Defensive
2016-17,Illinois,12,12,1686,2095,133,101,27,754,4796,nan,Offense
2016-17,Illinois,0,12,2630,2231,161,273,41,676,6012,nan,Defensive
2017-18,Illinois,12,12,1267,2098,105,74,116,693,4364,nan,Offense
2017-18,Illinois,0,12,2622,2399,335,143,3,212,5693,nan,Defensive
2013-14,Idaho,12,12,1650,2770,67,131,nan,991,5603,nan,Offense
2013-14,Idaho,0,12,2563,3790,281,390,19,797,7840,nan,Defensive
2014-15,Idaho,11,11,1561,3031,46,80,nan,1016,5734,nan,Offense
2014-15,Idaho,0,11,2708,2382,274,129,96,813,6402,nan,Defensive
2015-16,Idaho,12,12,1766,3375,45,20,15,746,5967,nan,Offense
2015-16,Idaho,0,12,3279,2573,216,183,63,722,7036,nan,Defensive
2016-17,Idaho,13,13,1921,3240,130,133,58,922,6404,nan,Offense
2016-17,Idaho,0,13,1883,3685,164,124,12,876,6829,nan,Defensive
2017-18,Idaho,12,12,1495,2699,131,77,5,529,4989,nan,Offense
2017-18,Idaho,0,12,2017,2668,87,346,2,492,5612,nan,Defensive
2013-14,Idaho,12,12,1650,2770,67,131,nan,991,5603,nan,Offense
2013-14,Idaho,0,12,2563,3790,281,390,19,797,7840,nan,Defensive
2014-15,Idaho,11,11,1561,3031,46,80,nan,1016,5734,nan,Offense
2014-15,Idaho,0,11,2708,2382,274,129,96,813,6402,nan,Defensive
2015-16,Idaho,12,12,1766,3375,45,20,15,746,5967,nan,Offense
2015-16,Idaho,0,12,3279,2573,216,183,63,722,7036,nan,Defensive
2016-17,Idaho,13,13,1921,3240,130,133,58,922,6404,nan,Offense
2016-17,Idaho,0,13,1883,3685,164,124,12,876,6829,nan,Defensive
2017-18,Idaho,12,12,1495,2699,131,77,5,529,4989,nan,Offense
2017-18,Idaho,0,12,2017,2668,87,346,2,492,5612,nan,Defensive
2013-14,Idaho,12,12,1650,2770,67,131,nan,991,5603,nan,Offense
2013-14,Idaho,0,12,2563,3790,281,390,19,797,7840,nan,Defensive
2014-15,Idaho,11,11,1561,3031,46,80,nan,1016,5734,nan,Offense
2014-15,Idaho,0,11,2708,2382,274,129,96,813,6402,nan,Defensive
2015-16,Idaho,12,12,1766,3375,45,20,15,746,5967,nan,Offense
2015-16,Idaho,0,12,3279,2573,216,183,63,722,7036,nan,Defensive
2016-17,Idaho,13,13,1921,3240,130,133,58,922,6404,nan,Offense
2016-17,Idaho,0,13,1883,3685,164,124,12,876,6829,nan,Defensive
2017-18,Idaho,12,12,1495,2699,131,77,5,529,4989,nan,Offense
2017-18,Idaho,0,12,2017,2668,87,346,2,492,5612,nan,Defensive
2013-14,Idaho,12,12,1650,2770,67,131,nan,991,5603,nan,Offense
2013-14,Idaho,0,12,2563,3790,281,390,19,797,7840,nan,Defensive
2014-15,Idaho,11,11,1561,3031,46,80,nan,1016,5734,nan,Offense
2014-15,Idaho,0,11,2708,2382,274,129,96,813,6402,nan,Defensive
2015-16,Idaho,12,12,1766,3375,45,20,15,746,5967,nan,Offense
2015-16,Idaho,0,12,3279,2573,216,183,63,722,7036,nan,Defensive
2016-17,Idaho,13,13,1921,3240,130,133,58,922,6404,nan,Offense
2016-17,Idaho,0,13,1883,3685,164,124,12,876,6829,nan,Defensive
2017-18,Idaho,12,12,1495,2699,131,77,5,529,4989,nan,Offense
2017-18,Idaho,0,12,2017,2668,87,346,2,492,5612,nan,Defensive
2013-14,Houston,13,13,1807,3647,305,73,85,1187,7192,nan,Offense
2013-14,Houston,0,13,1937,3468,97,73,7,903,6548,nan,Defensive
2014-15,Houston,13,13,2390,2993,286,85,28,728,6510,nan,Offense
2014-15,Houston,0,13,1863,2601,108,99,nan,1117,5799,nan,Defensive
2015-16,Houston,14,14,3301,3477,342,302,106,777,8305,nan,Offense
2015-16,Houston,0,14,1524,3846,67,35,nan,1389,6861,nan,Defensive
2016-17,Houston,13,13,1912,3852,132,73,37,783,6889,nan,Offense
2016-17,Houston,0,13,1302,2853,211,34,53,991,5444,nan,Defensive
2017-18,Houston,11,11,1930,2867,292,70,6,675,5840,nan,Offense
2017-18,Houston,0,11,1644,2949,112,47,3,683,5438,nan,Defensive
2013-14,Houston,13,13,1807,3647,305,73,85,1187,7192,nan,Offense
2013-14,Houston,0,13,1937,3468,97,73,7,903,6548,nan,Defensive
2014-15,Houston,13,13,2390,2993,286,85,28,728,6510,nan,Offense
2014-15,Houston,0,13,1863,2601,108,99,nan,1117,5799,nan,Defensive
2015-16,Houston,14,14,3301,3477,342,302,106,777,8305,nan,Offense
2015-16,Houston,0,14,1524,3846,67,35,nan,1389,6861,nan,Defensive
2016-17,Houston,13,13,1912,3852,132,73,37,783,6889,nan,Offense
2016-17,Houston,0,13,1302,2853,211,34,53,991,5444,nan,Defensive
2017-18,Houston,11,11,1930,2867,292,70,6,675,5840,nan,Offense
2017-18,Houston,0,11,1644,2949,112,47,3,683,5438,nan,Defensive
2013-14,Houston,13,13,1807,3647,305,73,85,1187,7192,nan,Offense
2013-14,Houston,0,13,1937,3468,97,73,7,903,6548,nan,Defensive
2014-15,Houston,13,13,2390,2993,286,85,28,728,6510,nan,Offense
2014-15,Houston,0,13,1863,2601,108,99,nan,1117,5799,nan,Defensive
2015-16,Houston,14,14,3301,3477,342,302,106,777,8305,nan,Offense
2015-16,Houston,0,14,1524,3846,67,35,nan,1389,6861,nan,Defensive
2016-17,Houston,13,13,1912,3852,132,73,37,783,6889,nan,Offense
2016-17,Houston,0,13,1302,2853,211,34,53,991,5444,nan,Defensive
2017-18,Houston,11,11,1930,2867,292,70,6,675,5840,nan,Offense
2017-18,Houston,0,11,1644,2949,112,47,3,683,5438,nan,Defensive
2013-14,Houston,13,13,1807,3647,305,73,85,1187,7192,nan,Offense
2013-14,Houston,0,13,1937,3468,97,73,7,903,6548,nan,Defensive
2014-15,Houston,13,13,2390,2993,286,85,28,728,6510,nan,Offense
2014-15,Houston,0,13,1863,2601,108,99,nan,1117,5799,nan,Defensive
2015-16,Houston,14,14,3301,3477,342,302,106,777,8305,nan,Offense
2015-16,Houston,0,14,1524,3846,67,35,nan,1389,6861,nan,Defensive
2016-17,Houston,13,13,1912,3852,132,73,37,783,6889,nan,Offense
2016-17,Houston,0,13,1302,2853,211,34,53,991,5444,nan,Defensive
2017-18,Houston,11,11,1930,2867,292,70,6,675,5840,nan,Offense
2017-18,Houston,0,11,1644,2949,112,47,3,683,5438,nan,Defensive
2013-14,Hawaii,12,12,1375,3617,85,186,-11,1111,6363,nan,Offense
2013-14,Hawaii,0,12,2563,3373,314,93,121,749,7213,nan,Defensive
2014-15,Hawaii,13,13,1943,2794,139,229,nan,789,5910,nan,Offense
2014-15,Hawaii,0,13,2240,3196,136,29,88,770,6459,nan,Defensive
2015-16,Hawaii,13,13,1611,2501,36,201,nan,1130,5479,nan,Offense
2015-16,Hawaii,0,13,3118,2716,246,209,21,667,6977,nan,Defensive
2016-17,Hawaii,14,14,2293,3185,78,63,20,1403,7066,nan,Offense
2016-17,Hawaii,0,14,3279,3183,281,292,78,891,8004,nan,Defensive
2017-18,Hawaii,12,12,2018,2814,130,30,66,812,5959,nan,Offense
2017-18,Hawaii,0,12,2522,2983,79,201,8,957,6745,nan,Defensive
2013-14,Hawaii,12,12,1375,3617,85,186,-11,1111,6363,nan,Offense
2013-14,Hawaii,0,12,2563,3373,314,93,121,749,7213,nan,Defensive
2014-15,Hawaii,13,13,1943,2794,139,229,nan,789,5910,nan,Offense
2014-15,Hawaii,0,13,2240,3196,136,29,88,770,6459,nan,Defensive
2015-16,Hawaii,13,13,1611,2501,36,201,nan,1130,5479,nan,Offense
2015-16,Hawaii,0,13,3118,2716,246,209,21,667,6977,nan,Defensive
2016-17,Hawaii,14,14,2293,3185,78,63,20,1403,7066,nan,Offense
2016-17,Hawaii,0,14,3279,3183,281,292,78,891,8004,nan,Defensive
2017-18,Hawaii,12,12,2018,2814,130,30,66,812,5959,nan,Offense
2017-18,Hawaii,0,12,2522,2983,79,201,8,957,6745,nan,Defensive
2013-14,Kansas St.,13,13,2314,2921,401,200,nan,866,6783,nan,Offense
2013-14,Kansas St.,0,13,1808,2857,220,128,nan,1107,6120,nan,Defensive
2014-15,Kansas St.,13,13,1745,3736,42,432,34,769,6758,nan,Offense
2014-15,Kansas St.,0,13,1824,2977,115,122,6,1078,6122,nan,Defensive
2015-16,Kansas St.,13,13,2050,2288,2,167,9,1268,5789,nan,Offense
2015-16,Kansas St.,0,13,2167,3712,162,127,1,1011,7180,nan,Defensive
2016-17,Kansas St.,13,13,3013,2041,205,227,62,991,6539,nan,Offense
2016-17,Kansas St.,0,13,1495,3545,59,87,nan,773,5959,nan,Defensive
2017-18,Kansas St.,12,12,2240,2180,130,399,68,1036,6053,nan,Offense
2017-18,Kansas St.,0,12,1461,3723,94,97,nan,535,5910,nan,Defensive
2013-14,Kansas St.,13,13,2314,2921,401,200,nan,866,6783,nan,Offense
2013-14,Kansas St.,0,13,1808,2857,220,128,nan,1107,6120,nan,Defensive
2014-15,Kansas St.,13,13,1745,3736,42,432,34,769,6758,nan,Offense
2014-15,Kansas St.,0,13,1824,2977,115,122,6,1078,6122,nan,Defensive
2015-16,Kansas St.,13,13,2050,2288,2,167,9,1268,5789,nan,Offense
2015-16,Kansas St.,0,13,2167,3712,162,127,1,1011,7180,nan,Defensive
2016-17,Kansas St.,13,13,3013,2041,205,227,62,991,6539,nan,Offense
2016-17,Kansas St.,0,13,1495,3545,59,87,nan,773,5959,nan,Defensive
2017-18,Kansas St.,12,12,2240,2180,130,399,68,1036,6053,nan,Offense
2017-18,Kansas St.,0,12,1461,3723,94,97,nan,535,5910,nan,Defensive
2013-14,Kansas St.,13,13,2314,2921,401,200,nan,866,6783,nan,Offense
2013-14,Kansas St.,0,13,1808,2857,220,128,nan,1107,6120,nan,Defensive
2014-15,Kansas St.,13,13,1745,3736,42,432,34,769,6758,nan,Offense
2014-15,Kansas St.,0,13,1824,2977,115,122,6,1078,6122,nan,Defensive
2015-16,Kansas St.,13,13,2050,2288,2,167,9,1268,5789,nan,Offense
2015-16,Kansas St.,0,13,2167,3712,162,127,1,1011,7180,nan,Defensive
2016-17,Kansas St.,13,13,3013,2041,205,227,62,991,6539,nan,Offense
2016-17,Kansas St.,0,13,1495,3545,59,87,nan,773,5959,nan,Defensive
2017-18,Kansas St.,12,12,2240,2180,130,399,68,1036,6053,nan,Offense
2017-18,Kansas St.,0,12,1461,3723,94,97,nan,535,5910,nan,Defensive
2013-14,Kansas St.,13,13,2314,2921,401,200,nan,866,6783,nan,Offense
2013-14,Kansas St.,0,13,1808,2857,220,128,nan,1107,6120,nan,Defensive
2014-15,Kansas St.,13,13,1745,3736,42,432,34,769,6758,nan,Offense
2014-15,Kansas St.,0,13,1824,2977,115,122,6,1078,6122,nan,Defensive
2015-16,Kansas St.,13,13,2050,2288,2,167,9,1268,5789,nan,Offense
2015-16,Kansas St.,0,13,2167,3712,162,127,1,1011,7180,nan,Defensive
2016-17,Kansas St.,13,13,3013,2041,205,227,62,991,6539,nan,Offense
2016-17,Kansas St.,0,13,1495,3545,59,87,nan,773,5959,nan,Defensive
2017-18,Kansas St.,12,12,2240,2180,130,399,68,1036,6053,nan,Offense
2017-18,Kansas St.,0,12,1461,3723,94,97,nan,535,5910,nan,Defensive
2013-14,Kansas,12,12,1849,1685,171,203,nan,927,4835,nan,Offense
2013-14,Kansas,0,12,2287,2904,205,172,64,492,6124,nan,Defensive
2014-15,Kansas,12,12,1454,2435,168,174,81,876,5216,nan,Offense
2014-15,Kansas,0,12,2516,2922,135,261,8,807,6687,nan,Defensive
2015-16,Kansas,12,12,1355,2623,159,26,84,1094,5341,nan,Offense
2015-16,Kansas,0,12,3206,3524,189,244,30,384,7577,nan,Defensive
2016-17,Kansas,12,12,1429,2885,131,-10,13,868,5316,nan,Offense
2016-17,Kansas,0,12,2837,2637,453,241,54,432,6654,nan,Defensive
2017-18,Kansas,12,12,1231,2717,12,81,8,1045,5094,nan,Offense
2017-18,Kansas,0,12,2059,3561,229,366,20,688,6923,nan,Defensive
2013-14,Kansas,12,12,1849,1685,171,203,nan,927,4835,nan,Offense
2013-14,Kansas,0,12,2287,2904,205,172,64,492,6124,nan,Defensive
2014-15,Kansas,12,12,1454,2435,168,174,81,876,5216,nan,Offense
2014-15,Kansas,0,12,2516,2922,135,261,8,807,6687,nan,Defensive
2015-16,Kansas,12,12,1355,2623,159,26,84,1094,5341,nan,Offense
2015-16,Kansas,0,12,3206,3524,189,244,30,384,7577,nan,Defensive
2016-17,Kansas,12,12,1429,2885,131,-10,13,868,5316,nan,Offense
2016-17,Kansas,0,12,2837,2637,453,241,54,432,6654,nan,Defensive
2017-18,Kansas,12,12,1231,2717,12,81,8,1045,5094,nan,Offense
2017-18,Kansas,0,12,2059,3561,229,366,20,688,6923,nan,Defensive
2013-14,Kansas,12,12,1849,1685,171,203,nan,927,4835,nan,Offense
2013-14,Kansas,0,12,2287,2904,205,172,64,492,6124,nan,Defensive
2014-15,Kansas,12,12,1454,2435,168,174,81,876,5216,nan,Offense
2014-15,Kansas,0,12,2516,2922,135,261,8,807,6687,nan,Defensive
2015-16,Kansas,12,12,1355,2623,159,26,84,1094,5341,nan,Offense
2015-16,Kansas,0,12,3206,3524,189,244,30,384,7577,nan,Defensive
2016-17,Kansas,12,12,1429,2885,131,-10,13,868,5316,nan,Offense
2016-17,Kansas,0,12,2837,2637,453,241,54,432,6654,nan,Defensive
2017-18,Kansas,12,12,1231,2717,12,81,8,1045,5094,nan,Offense
2017-18,Kansas,0,12,2059,3561,229,366,20,688,6923,nan,Defensive
2013-14,Kansas,12,12,1849,1685,171,203,nan,927,4835,nan,Offense
2013-14,Kansas,0,12,2287,2904,205,172,64,492,6124,nan,Defensive
2014-15,Kansas,12,12,1454,2435,168,174,81,876,5216,nan,Offense
2014-15,Kansas,0,12,2516,2922,135,261,8,807,6687,nan,Defensive
2015-16,Kansas,12,12,1355,2623,159,26,84,1094,5341,nan,Offense
2015-16,Kansas,0,12,3206,3524,189,244,30,384,7577,nan,Defensive
2016-17,Kansas,12,12,1429,2885,131,-10,13,868,5316,nan,Offense
2016-17,Kansas,0,12,2837,2637,453,241,54,432,6654,nan,Defensive
2017-18,Kansas,12,12,1231,2717,12,81,8,1045,5094,nan,Offense
2017-18,Kansas,0,12,2059,3561,229,366,20,688,6923,nan,Defensive
2013-14,Iowa St.,12,12,1726,2630,18,178,nan,1085,5632,nan,Offense
2013-14,Iowa St.,0,12,2688,2869,173,182,92,642,6646,nan,Defensive
2014-15,Iowa St.,12,12,1489,2981,65,156,51,619,5361,nan,Offense
2014-15,Iowa St.,0,12,2955,3392,148,67,nan,718,7280,nan,Defensive
2015-16,Iowa St.,12,12,2184,2716,23,383,-1,690,5995,nan,Offense
2015-16,Iowa St.,0,12,2239,3202,203,94,nan,913,6651,nan,Defensive
2016-17,Iowa St.,12,12,1953,3106,90,226,nan,1017,6392,nan,Offense
2016-17,Iowa St.,0,12,2618,2817,39,66,16,629,6185,nan,Defensive
2017-18,Iowa St.,12,12,1438,3234,286,181,nan,533,5672,nan,Offense
2017-18,Iowa St.,0,12,1611,2810,106,80,nan,662,5269,nan,Defensive
2013-14,Iowa St.,12,12,1726,2630,18,178,nan,1085,5632,nan,Offense
2013-14,Iowa St.,0,12,2688,2869,173,182,92,642,6646,nan,Defensive
2014-15,Iowa St.,12,12,1489,2981,65,156,51,619,5361,nan,Offense
2014-15,Iowa St.,0,12,2955,3392,148,67,nan,718,7280,nan,Defensive
2015-16,Iowa St.,12,12,2184,2716,23,383,-1,690,5995,nan,Offense
2015-16,Iowa St.,0,12,2239,3202,203,94,nan,913,6651,nan,Defensive
2016-17,Iowa St.,12,12,1953,3106,90,226,nan,1017,6392,nan,Offense
2016-17,Iowa St.,0,12,2618,2817,39,66,16,629,6185,nan,Defensive
2017-18,Iowa St.,12,12,1438,3234,286,181,nan,533,5672,nan,Offense
2017-18,Iowa St.,0,12,1611,2810,106,80,nan,662,5269,nan,Defensive
2013-14,Iowa St.,12,12,1726,2630,18,178,nan,1085,5632,nan,Offense
2013-14,Iowa St.,0,12,2688,2869,173,182,92,642,6646,nan,Defensive
2014-15,Iowa St.,12,12,1489,2981,65,156,51,619,5361,nan,Offense
2014-15,Iowa St.,0,12,2955,3392,148,67,nan,718,7280,nan,Defensive
2015-16,Iowa St.,12,12,2184,2716,23,383,-1,690,5995,nan,Offense
2015-16,Iowa St.,0,12,2239,3202,203,94,nan,913,6651,nan,Defensive
2016-17,Iowa St.,12,12,1953,3106,90,226,nan,1017,6392,nan,Offense
2016-17,Iowa St.,0,12,2618,2817,39,66,16,629,6185,nan,Defensive
2017-18,Iowa St.,12,12,1438,3234,286,181,nan,533,5672,nan,Offense
2017-18,Iowa St.,0,12,1611,2810,106,80,nan,662,5269,nan,Defensive
2013-14,Iowa St.,12,12,1726,2630,18,178,nan,1085,5632,nan,Offense
2013-14,Iowa St.,0,12,2688,2869,173,182,92,642,6646,nan,Defensive
2014-15,Iowa St.,12,12,1489,2981,65,156,51,619,5361,nan,Offense
2014-15,Iowa St.,0,12,2955,3392,148,67,nan,718,7280,nan,Defensive
2015-16,Iowa St.,12,12,2184,2716,23,383,-1,690,5995,nan,Offense
2015-16,Iowa St.,0,12,2239,3202,203,94,nan,913,6651,nan,Defensive
2016-17,Iowa St.,12,12,1953,3106,90,226,nan,1017,6392,nan,Offense
2016-17,Iowa St.,0,12,2618,2817,39,66,16,629,6185,nan,Defensive
2017-18,Iowa St.,12,12,1438,3234,286,181,nan,533,5672,nan,Offense
2017-18,Iowa St.,0,12,1611,2810,106,80,nan,662,5269,nan,Defensive
2013-14,Iowa,13,13,2339,2562,174,337,52,857,6321,nan,Offense
2013-14,Iowa,0,13,1669,2271,142,103,nan,908,5093,nan,Defensive
2014-15,Iowa,13,13,2120,3081,169,123,nan,869,6362,nan,Offense
2014-15,Iowa,0,13,2188,2287,140,227,58,370,5268,nan,Defensive
2015-16,Iowa,14,14,2544,2862,321,251,nan,797,6775,nan,Offense
2015-16,Iowa,0,14,1700,3074,113,180,nan,848,5915,nan,Defensive
2016-17,Iowa,13,13,2234,1991,56,412,32,831,5556,nan,Offense
2016-17,Iowa,0,13,1947,2618,173,134,nan,428,5300,nan,Defensive
2017-18,Iowa,12,12,1709,2374,389,122,nan,660,5266,nan,Offense
2017-18,Iowa,0,12,1705,2559,43,81,82,537,5000,nan,Defensive
2013-14,Iowa,13,13,2339,2562,174,337,52,857,6321,nan,Offense
2013-14,Iowa,0,13,1669,2271,142,103,nan,908,5093,nan,Defensive
2014-15,Iowa,13,13,2120,3081,169,123,nan,869,6362,nan,Offense
2014-15,Iowa,0,13,2188,2287,140,227,58,370,5268,nan,Defensive
2015-16,Iowa,14,14,2544,2862,321,251,nan,797,6775,nan,Offense
2015-16,Iowa,0,14,1700,3074,113,180,nan,848,5915,nan,Defensive
2016-17,Iowa,13,13,2234,1991,56,412,32,831,5556,nan,Offense
2016-17,Iowa,0,13,1947,2618,173,134,nan,428,5300,nan,Defensive
2017-18,Iowa,12,12,1709,2374,389,122,nan,660,5266,nan,Offense
2017-18,Iowa,0,12,1705,2559,43,81,82,537,5000,nan,Defensive
2013-14,Iowa,13,13,2339,2562,174,337,52,857,6321,nan,Offense
2013-14,Iowa,0,13,1669,2271,142,103,nan,908,5093,nan,Defensive
2014-15,Iowa,13,13,2120,3081,169,123,nan,869,6362,nan,Offense
2014-15,Iowa,0,13,2188,2287,140,227,58,370,5268,nan,Defensive
2015-16,Iowa,14,14,2544,2862,321,251,nan,797,6775,nan,Offense
2015-16,Iowa,0,14,1700,3074,113,180,nan,848,5915,nan,Defensive
2016-17,Iowa,13,13,2234,1991,56,412,32,831,5556,nan,Offense
2016-17,Iowa,0,13,1947,2618,173,134,nan,428,5300,nan,Defensive
2017-18,Iowa,12,12,1709,2374,389,122,nan,660,5266,nan,Offense
2017-18,Iowa,0,12,1705,2559,43,81,82,537,5000,nan,Defensive
2013-14,Iowa,13,13,2339,2562,174,337,52,857,6321,nan,Offense
2013-14,Iowa,0,13,1669,2271,142,103,nan,908,5093,nan,Defensive
2014-15,Iowa,13,13,2120,3081,169,123,nan,869,6362,nan,Offense
2014-15,Iowa,0,13,2188,2287,140,227,58,370,5268,nan,Defensive
2015-16,Iowa,14,14,2544,2862,321,251,nan,797,6775,nan,Offense
2015-16,Iowa,0,14,1700,3074,113,180,nan,848,5915,nan,Defensive
2016-17,Iowa,13,13,2234,1991,56,412,32,831,5556,nan,Offense
2016-17,Iowa,0,13,1947,2618,173,134,nan,428,5300,nan,Defensive
2017-18,Iowa,12,12,1709,2374,389,122,nan,660,5266,nan,Offense
2017-18,Iowa,0,12,1705,2559,43,81,82,537,5000,nan,Defensive
2013-14,Indiana,12,12,2422,3680,55,130,23,1052,7362,nan,Offense
2013-14,Indiana,0,12,2853,3482,201,140,30,636,7339,nan,Defensive
2014-15,Indiana,12,12,3163,1697,110,88,11,903,5986,nan,Offense
2014-15,Indiana,0,12,2192,3013,147,195,5,550,6102,nan,Defensive
2015-16,Indiana,13,13,2736,3820,238,199,nan,979,7972,nan,Offense
2015-16,Indiana,0,13,2544,4079,2,191,49,878,7738,nan,Defensive
2016-17,Indiana,13,13,1979,3559,142,179,nan,1008,6779,nan,Offense
2016-17,Indiana,0,13,2085,2856,279,195,84,688,6187,nan,Defensive
2017-18,Indiana,12,12,1561,3188,34,368,30,623,5804,nan,Offense
2017-18,Indiana,0,12,1925,2156,98,124,18,647,5006,nan,Defensive
2013-14,Louisiana,13,13,2659,2759,352,157,63,853,6843,nan,Offense
2013-14,Louisiana,0,13,1959,3157,215,157,nan,1086,6574,nan,Defensive
2014-15,Louisiana,13,13,2937,2489,99,125,45,628,6328,nan,Offense
2014-15,Louisiana,0,13,1849,3427,166,143,nan,655,6240,nan,Defensive
2015-16,Louisiana,12,12,2074,2491,114,242,28,684,5633,nan,Offense
2015-16,Louisiana,0,12,2205,2845,110,94,29,1035,6339,nan,Defensive
2016-17,Louisiana,13,13,2326,2317,120,87,117,710,5677,nan,Offense
2016-17,Louisiana,0,13,1679,3249,135,195,34,643,5935,nan,Defensive
