Year,Team,GP,G,PBU,Int,IntRetTDs,IntRYds,PDef,OffenseDefense
2013-14,Akron,12,12,31,13,1,132,44,Offense
2013-14,Akron,0,12,49,10,nan,151,59,Defensive
2014-15,Akron,12,12,44,13,1,244,57,Offense
2014-15,Akron,0,12,61,14,nan,160,75,Defensive
2015-16,Akron,13,13,54,14,nan,29,68,Offense
2015-16,Akron,0,13,37,12,1,86,49,Defensive
2016-17,Akron,12,12,43,8,1,107,51,Offense
2016-17,Akron,0,12,57,14,nan,126,71,Defensive
2017-18,Akron,13,13,39,19,3,398,58,Offense
2017-18,Akron,0,13,49,11,nan,85,60,Defensive
2013-14,Akron,12,12,31,13,1,132,44,Offense
2013-14,Akron,0,12,49,10,nan,151,59,Defensive
2014-15,Akron,12,12,44,13,1,244,57,Offense
2014-15,Akron,0,12,61,14,nan,160,75,Defensive
2015-16,Akron,13,13,54,14,nan,29,68,Offense
2015-16,Akron,0,13,37,12,1,86,49,Defensive
2016-17,Akron,12,12,43,8,1,107,51,Offense
2016-17,Akron,0,12,57,14,nan,126,71,Defensive
2017-18,Akron,13,13,39,19,3,398,58,Offense
2017-18,Akron,0,13,49,11,nan,85,60,Defensive
2013-14,Akron,12,12,31,13,1,132,44.00,Offense
2013-14,Akron,0,12,49,10,nan,151,59.00,Defensive
2014-15,Akron,12,12,44,13,1,244,57.00,Offense
2014-15,Akron,0,12,61,14,nan,160,75.00,Defensive
2015-16,Akron,13,13,54,14,nan,29,68.00,Offense
2015-16,Akron,0,13,37,12,1,86,49.00,Defensive
2016-17,Akron,12,12,43,8,1,107,51.00,Offense
2016-17,Akron,0,12,57,14,nan,126,71.00,Defensive
2017-18,Akron,13,13,39,19,3,398,58.00,Offense
2017-18,Akron,0,13,49,11,nan,85,60.00,Defensive
2013-14,Air Force,12,12,28,4,nan,38,32,Offense
2013-14,Air Force,0,12,17,4,nan,18,21,Defensive
2014-15,Air Force,13,13,34,10,nan,72,44,Offense
2014-15,Air Force,0,13,24,4,1,110,28,Defensive
2015-16,Air Force,14,14,45,11,1,92,56,Offense
2015-16,Air Force,0,14,15,12,nan,96,27,Defensive
2016-17,Air Force,13,13,46,15,1,145,61,Offense
2016-17,Air Force,0,13,13,8,1,97,21,Defensive
2017-18,Air Force,12,12,26,5,1,64,31,Offense
2017-18,Air Force,0,12,17,6,nan,73,23,Defensive
2013-14,Air Force,12,12,28,4,nan,38,32,Offense
2013-14,Air Force,0,12,17,4,nan,18,21,Defensive
2014-15,Air Force,13,13,34,10,nan,72,44,Offense
2014-15,Air Force,0,13,24,4,1,110,28,Defensive
2015-16,Air Force,14,14,45,11,1,92,56,Offense
2015-16,Air Force,0,14,15,12,nan,96,27,Defensive
2016-17,Air Force,13,13,46,15,1,145,61,Offense
2016-17,Air Force,0,13,13,8,1,97,21,Defensive
2017-18,Air Force,12,12,26,5,1,64,31,Offense
2017-18,Air Force,0,12,17,6,nan,73,23,Defensive
2013-14,Air Force,12,12,28,4,nan,38,32.00,Offense
2013-14,Air Force,0,12,17,4,nan,18,21.00,Defensive
2014-15,Air Force,13,13,34,10,nan,72,44.00,Offense
2014-15,Air Force,0,13,24,4,1,110,28.00,Defensive
2015-16,Air Force,14,14,45,11,1,92,56.00,Offense
2015-16,Air Force,0,14,15,12,nan,96,27.00,Defensive
2016-17,Air Force,13,13,46,15,1,145,61.00,Offense
2016-17,Air Force,0,13,13,8,1,97,21.00,Defensive
2017-18,Air Force,12,12,26,5,1,64,31.00,Offense
2017-18,Air Force,0,12,17,6,nan,73,23.00,Defensive
2013-14,Air Force,12,12,28,4,nan,38,32.00,Offense
2013-14,Air Force,0,12,17,4,nan,18,21.00,Defensive
2014-15,Air Force,13,13,34,10,nan,72,44.00,Offense
2014-15,Air Force,0,13,24,4,1,110,28.00,Defensive
2015-16,Air Force,14,14,45,11,1,92,56.00,Offense
2015-16,Air Force,0,14,15,12,nan,96,27.00,Defensive
2016-17,Air Force,13,13,46,15,1,145,61.00,Offense
2016-17,Air Force,0,13,13,8,1,97,21.00,Defensive
2017-18,Air Force,12,12,26,5,1,64,31.00,Offense
2017-18,Air Force,0,12,17,6,nan,73,23.00,Defensive
2011-12,Auburn,1,1,4,2,nan,1,6,Offense
2011-12,Auburn,0,1,3,1,nan,22,4,Defensive
2013-14,Auburn,14,14,56,13,1,112,69,Offense
2013-14,Auburn,0,14,28,8,1,64,36,Defensive
2014-15,Auburn,13,13,47,22,1,130,69,Offense
2014-15,Auburn,0,13,46,7,nan,95,53,Defensive
2015-16,Auburn,13,13,53,14,1,144,67,Offense
2015-16,Auburn,0,13,38,12,1,131,50,Defensive
2016-17,Auburn,13,13,69,11,nan,83,80,Offense
2016-17,Auburn,0,13,33,6,1,50,39,Defensive
2017-18,Auburn,13,13,47,6,2,82,53,Offense
2017-18,Auburn,0,13,28,4,nan,7,32,Defensive
2013-14,Army West Point,12,12,20,7,nan,nan,27.00,Offense
2013-14,Army West Point,0,12,15,4,nan,21,19.00,Defensive
2014-15,Army West Point,12,12,33,11,2,237,44.00,Offense
2014-15,Army West Point,0,12,9,2,nan,28,11.00,Defensive
2015-16,Army West Point,12,12,27,6,nan,98,33.00,Offense
2015-16,Army West Point,0,12,19,9,nan,15,28.00,Defensive
2016-17,Army West Point,13,13,30,17,nan,98,47.00,Offense
2016-17,Army West Point,0,13,17,11,1,73,28.00,Defensive
2017-18,Army West Point,12,12,32,5,1,82,37.00,Offense
2017-18,Army West Point,0,12,9,5,1,100,14.00,Defensive
