Year,Team,GP,G,PBU,Int,IntRetTDs,IntRYds,PDef,OffenseDefense
2016-17,Fresno St.,0,12,47,13,1,164,60,Defensive
2017-18,Fresno St.,13,13,40,8,1,38,48,Offense
2017-18,Fresno St.,0,13,38,6,1,101,44,Defensive
2013-14,Fresno St.,13,13,54,14,2,223,68.00,Offense
2013-14,Fresno St.,0,13,61,10,nan,39,71.00,Defensive
2014-15,Fresno St.,14,14,43,9,1,100,52.00,Offense
2014-15,Fresno St.,0,14,57,21,1,234,78.00,Defensive
2015-16,Fresno St.,12,12,36,9,1,190,45.00,Offense
2015-16,Fresno St.,0,12,40,16,4,322,56.00,Defensive
2016-17,Fresno St.,12,12,35,5,nan,nan,40.00,Offense
2016-17,Fresno St.,0,12,47,13,1,164,60.00,Defensive
2017-18,Fresno St.,13,13,40,8,1,38,48.00,Offense
2017-18,Fresno St.,0,13,38,6,1,101,44.00,Defensive
2013-14,Fresno St.,13,13,54,14,2,223,68.00,Offense
2013-14,Fresno St.,0,13,61,10,nan,39,71.00,Defensive
2014-15,Fresno St.,14,14,43,9,1,100,52.00,Offense
2014-15,Fresno St.,0,14,57,21,1,234,78.00,Defensive
2015-16,Fresno St.,12,12,36,9,1,190,45.00,Offense
2015-16,Fresno St.,0,12,40,16,4,322,56.00,Defensive
2016-17,Fresno St.,12,12,35,5,nan,nan,40.00,Offense
2016-17,Fresno St.,0,12,47,13,1,164,60.00,Defensive
2017-18,Fresno St.,13,13,40,8,1,38,48.00,Offense
2017-18,Fresno St.,0,13,38,6,1,101,44.00,Defensive
2013-14,Florida St.,14,14,49,26,5,529,75,Offense
2013-14,Florida St.,0,14,46,13,nan,72,59,Defensive
2014-15,Florida St.,14,14,54,14,2,156,68,Offense
2014-15,Florida St.,0,14,56,20,nan,132,76,Defensive
2015-16,Florida St.,13,13,48,8,nan,104,56,Offense
2015-16,Florida St.,0,13,36,9,nan,28,45,Defensive
2016-17,Florida St.,13,13,40,15,nan,37,55,Offense
2016-17,Florida St.,0,13,59,8,1,84,67,Defensive
2017-18,Florida St.,12,12,55,9,2,88,64,Offense
2017-18,Florida St.,0,12,32,13,nan,133,45,Defensive
2013-14,Florida St.,14,14,49,26,5,529,75,Offense
2013-14,Florida St.,0,14,46,13,nan,72,59,Defensive
2014-15,Florida St.,14,14,54,14,2,156,68,Offense
2014-15,Florida St.,0,14,56,20,nan,132,76,Defensive
2015-16,Florida St.,13,13,48,8,nan,104,56,Offense
2015-16,Florida St.,0,13,36,9,nan,28,45,Defensive
2016-17,Florida St.,13,13,40,15,nan,37,55,Offense
2016-17,Florida St.,0,13,59,8,1,84,67,Defensive
2017-18,Florida St.,12,12,55,9,2,88,64,Offense
2017-18,Florida St.,0,12,32,13,nan,133,45,Defensive
2013-14,Florida St.,14,14,49,26,5,529,75.00,Offense
2013-14,Florida St.,0,14,46,13,nan,72,59.00,Defensive
2014-15,Florida St.,14,14,54,14,2,156,68.00,Offense
2014-15,Florida St.,0,14,56,20,nan,132,76.00,Defensive
2015-16,Florida St.,13,13,48,8,nan,104,56.00,Offense
2015-16,Florida St.,0,13,36,9,nan,28,45.00,Defensive
2016-17,Florida St.,13,13,40,15,nan,37,55.00,Offense
2016-17,Florida St.,0,13,59,8,1,84,67.00,Defensive
2017-18,Florida St.,12,12,55,9,2,88,64.00,Offense
2017-18,Florida St.,0,12,32,13,nan,133,45.00,Defensive
2013-14,Florida St.,14,14,49,26,5,529,75.00,Offense
2013-14,Florida St.,0,14,46,13,nan,72,59.00,Defensive
2014-15,Florida St.,14,14,54,14,2,156,68.00,Offense
2014-15,Florida St.,0,14,56,20,nan,132,76.00,Defensive
2015-16,Florida St.,13,13,48,8,nan,104,56.00,Offense
2015-16,Florida St.,0,13,36,9,nan,28,45.00,Defensive
2016-17,Florida St.,13,13,40,15,nan,37,55.00,Offense
2016-17,Florida St.,0,13,59,8,1,84,67.00,Defensive
2017-18,Florida St.,12,12,55,9,2,88,64.00,Offense
2017-18,Florida St.,0,12,32,13,nan,133,45.00,Defensive
2013-14,Florida,12,12,47,10,1,172,57,Offense
2013-14,Florida,0,12,40,9,1,252,49,Defensive
2014-15,Florida,12,12,62,16,2,138,78,Offense
2014-15,Florida,0,12,29,14,2,280,43,Defensive
2015-16,Florida,14,14,54,14,2,247,68,Offense
2015-16,Florida,0,14,41,10,nan,3,51,Defensive
2016-17,Florida,13,13,41,16,4,321,57,Offense
2016-17,Florida,0,13,43,15,2,171,58,Defensive
2017-18,Florida,11,11,36,14,3,228,50,Offense
2017-18,Florida,0,11,41,10,1,82,51,Defensive
2013-14,Florida,12,12,47,10,1,172,57.00,Offense
2013-14,Florida,0,12,40,9,1,252,49.00,Defensive
2014-15,Florida,12,12,62,16,2,138,78.00,Offense
2014-15,Florida,0,12,29,14,2,280,43.00,Defensive
2015-16,Florida,14,14,54,14,2,247,68.00,Offense
2015-16,Florida,0,14,41,10,nan,3,51.00,Defensive
2016-17,Florida,13,13,41,16,4,321,57.00,Offense
2016-17,Florida,0,13,43,15,2,171,58.00,Defensive
2017-18,Florida,11,11,36,14,3,228,50.00,Offense
2017-18,Florida,0,11,41,10,1,82,51.00,Defensive
2013-14,Florida,12,12,47,10,1,172,57.00,Offense
2013-14,Florida,0,12,40,9,1,252,49.00,Defensive
2014-15,Florida,12,12,62,16,2,138,78.00,Offense
2014-15,Florida,0,12,29,14,2,280,43.00,Defensive
2015-16,Florida,14,14,54,14,2,247,68.00,Offense
2015-16,Florida,0,14,41,10,nan,3,51.00,Defensive
2016-17,Florida,13,13,41,16,4,321,57.00,Offense
2016-17,Florida,0,13,43,15,2,171,58.00,Defensive
2017-18,Florida,11,11,36,14,3,228,50.00,Offense
2017-18,Florida,0,11,41,10,1,82,51.00,Defensive
2013-14,Fla. Atlantic,12,12,44,13,2,220,57.00,Offense
2013-14,Fla. Atlantic,0,12,40,11,1,210,51.00,Defensive
2014-15,Fla. Atlantic,12,12,45,8,2,111,53.00,Offense
2014-15,Fla. Atlantic,0,12,38,5,nan,46,43.00,Defensive
2015-16,Fla. Atlantic,12,12,46,14,3,347,60.00,Offense
2015-16,Fla. Atlantic,0,12,50,12,2,150,62.00,Defensive
2016-17,Fla. Atlantic,12,12,26,10,1,84,36.00,Offense
2016-17,Fla. Atlantic,0,12,42,13,1,114,55.00,Defensive
2017-18,Fla. Atlantic,13,13,40,20,nan,190,60.00,Offense
2017-18,Fla. Atlantic,0,13,30,7,nan,43,37.00,Defensive
2013-14,Fla. Atlantic,12,12,44,13,2,220,57,Offense
2013-14,Fla. Atlantic,0,12,40,11,1,210,51,Defensive
2014-15,Fla. Atlantic,12,12,45,8,2,111,53,Offense
2014-15,Fla. Atlantic,0,12,38,5,nan,46,43,Defensive
2015-16,Fla. Atlantic,12,12,46,14,3,347,60,Offense
2015-16,Fla. Atlantic,0,12,50,12,2,150,62,Defensive
2016-17,Fla. Atlantic,12,12,26,10,1,84,36,Offense
2016-17,Fla. Atlantic,0,12,42,13,1,114,55,Defensive
2017-18,Fla. Atlantic,13,13,40,20,nan,190,60,Offense
2017-18,Fla. Atlantic,0,13,30,7,nan,43,37,Defensive
2013-14,Fla. Atlantic,12,12,44,13,2,220,57,Offense
2013-14,Fla. Atlantic,0,12,40,11,1,210,51,Defensive
2014-15,Fla. Atlantic,12,12,45,8,2,111,53,Offense
2014-15,Fla. Atlantic,0,12,38,5,nan,46,43,Defensive
2015-16,Fla. Atlantic,12,12,46,14,3,347,60,Offense
2015-16,Fla. Atlantic,0,12,50,12,2,150,62,Defensive
2016-17,Fla. Atlantic,12,12,26,10,1,84,36,Offense
2016-17,Fla. Atlantic,0,12,42,13,1,114,55,Defensive
2017-18,Fla. Atlantic,13,13,40,20,nan,190,60,Offense
2017-18,Fla. Atlantic,0,13,30,7,nan,43,37,Defensive
2013-14,Fla. Atlantic,12,12,44,13,2,220,57.00,Offense
2013-14,Fla. Atlantic,0,12,40,11,1,210,51.00,Defensive
2014-15,Fla. Atlantic,12,12,45,8,2,111,53.00,Offense
2014-15,Fla. Atlantic,0,12,38,5,nan,46,43.00,Defensive
2015-16,Fla. Atlantic,12,12,46,14,3,347,60.00,Offense
2015-16,Fla. Atlantic,0,12,50,12,2,150,62.00,Defensive
2016-17,Fla. Atlantic,12,12,26,10,1,84,36.00,Offense
2016-17,Fla. Atlantic,0,12,42,13,1,114,55.00,Defensive
2017-18,Fla. Atlantic,13,13,40,20,nan,190,60.00,Offense
2017-18,Fla. Atlantic,0,13,30,7,nan,43,37.00,Defensive
2013-14,FIU,12,12,31,7,nan,48,38,Offense
2013-14,FIU,0,12,37,10,2,162,47,Defensive
2014-15,FIU,12,12,33,14,5,325,47,Offense
2014-15,FIU,0,12,47,10,2,104,57,Defensive
2015-16,FIU,12,12,42,9,2,134,51,Offense
2015-16,FIU,0,12,57,8,4,306,65,Defensive
2016-17,FIU,12,12,45,6,1,106,51,Offense
2016-17,FIU,0,12,59,17,6,339,76,Defensive
2017-18,FIU,12,12,31,7,1,58,38,Offense
2017-18,FIU,0,12,43,8,nan,63,51,Defensive
2013-14,FIU,12,12,31,7,nan,48,38.00,Offense
2013-14,FIU,0,12,37,10,2,162,47.00,Defensive
2014-15,FIU,12,12,33,14,5,325,47.00,Offense
2014-15,FIU,0,12,47,10,2,104,57.00,Defensive
2015-16,FIU,12,12,42,9,2,134,51.00,Offense
2015-16,FIU,0,12,57,8,4,306,65.00,Defensive
2016-17,FIU,12,12,45,6,1,106,51.00,Offense
2016-17,FIU,0,12,59,17,6,339,76.00,Defensive
2017-18,FIU,12,12,31,7,1,58,38.00,Offense
2017-18,FIU,0,12,43,8,nan,63,51.00,Defensive
2013-14,Hawaii,12,12,47,9,1,85,56.00,Offense
2013-14,Hawaii,0,12,66,22,3,314,88.00,Defensive
2014-15,Hawaii,13,13,30,11,nan,139,41.00,Offense
2014-15,Hawaii,0,13,67,14,nan,136,81.00,Defensive
2015-16,Hawaii,13,13,40,3,nan,36,43.00,Offense
2015-16,Hawaii,0,13,77,21,nan,246,98.00,Defensive
2016-17,Hawaii,14,14,27,11,1,78,38.00,Offense
2016-17,Hawaii,0,14,64,15,4,281,79.00,Defensive
2017-18,Hawaii,12,12,27,9,1,130,36.00,Offense
2017-18,Hawaii,0,12,54,8,1,79,62.00,Defensive
2013-14,Hawaii,12,12,47,9,1,85,56.00,Offense
2013-14,Hawaii,0,12,66,22,3,314,88.00,Defensive
2014-15,Hawaii,13,13,30,11,nan,139,41.00,Offense
2014-15,Hawaii,0,13,67,14,nan,136,81.00,Defensive
2015-16,Hawaii,13,13,40,3,nan,36,43.00,Offense
2015-16,Hawaii,0,13,77,21,nan,246,98.00,Defensive
2016-17,Hawaii,14,14,27,11,1,78,38.00,Offense
2016-17,Hawaii,0,14,64,15,4,281,79.00,Defensive
2017-18,Hawaii,12,12,27,9,1,130,36.00,Offense
2017-18,Hawaii,0,12,54,8,1,79,62.00,Defensive
2013-14,Georgia St.,12,12,23,6,nan,16,29,Offense
2013-14,Georgia St.,0,12,52,12,1,155,64,Defensive
2014-15,Georgia St.,12,12,27,3,nan,28,30,Offense
2014-15,Georgia St.,0,12,32,18,3,247,50,Defensive
2015-16,Georgia St.,13,13,57,15,1,133,72,Offense
2015-16,Georgia St.,0,13,41,12,2,156,53,Defensive
2016-17,Georgia St.,12,12,36,11,2,91,47,Offense
2016-17,Georgia St.,0,12,33,15,nan,76,48,Defensive
2017-18,Georgia St.,11,11,29,8,nan,68,37,Offense
2017-18,Georgia St.,0,11,34,9,nan,240,43,Defensive
2013-14,Georgia Tech,13,13,40,14,2,255,54,Offense
2013-14,Georgia Tech,0,13,23,13,2,126,36,Defensive
2014-15,Georgia Tech,14,14,48,18,5,328,66,Offense
2014-15,Georgia Tech,0,14,20,6,nan,27,26,Defensive
2015-16,Georgia Tech,12,12,28,9,1,70,37,Offense
2015-16,Georgia Tech,0,12,29,10,nan,175,39,Defensive
2016-17,Georgia Tech,13,13,32,11,1,137,43,Offense
2016-17,Georgia Tech,0,13,16,4,nan,6,20,Defensive
2017-18,Georgia Tech,11,11,35,6,1,98,41,Offense
2017-18,Georgia Tech,0,11,19,5,1,78,24,Defensive
2013-14,Georgia Tech,13,13,40,14,2,255,54.00,Offense
2013-14,Georgia Tech,0,13,23,13,2,126,36.00,Defensive
2014-15,Georgia Tech,14,14,48,18,5,328,66.00,Offense
2014-15,Georgia Tech,0,14,20,6,nan,27,26.00,Defensive
2015-16,Georgia Tech,12,12,28,9,1,70,37.00,Offense
2015-16,Georgia Tech,0,12,29,10,nan,175,39.00,Defensive
2016-17,Georgia Tech,13,13,32,11,1,137,43.00,Offense
2016-17,Georgia Tech,0,13,16,4,nan,6,20.00,Defensive
2017-18,Georgia Tech,11,11,35,6,1,98,41.00,Offense
2017-18,Georgia Tech,0,11,19,5,1,78,24.00,Defensive
2013-14,Georgia Tech,13,13,40,14,2,255,54.00,Offense
2013-14,Georgia Tech,0,13,23,13,2,126,36.00,Defensive
2014-15,Georgia Tech,14,14,48,18,5,328,66.00,Offense
2014-15,Georgia Tech,0,14,20,6,nan,27,26.00,Defensive
2015-16,Georgia Tech,12,12,28,9,1,70,37.00,Offense
2015-16,Georgia Tech,0,12,29,10,nan,175,39.00,Defensive
2016-17,Georgia Tech,13,13,32,11,1,137,43.00,Offense
2016-17,Georgia Tech,0,13,16,4,nan,6,20.00,Defensive
2017-18,Georgia Tech,11,11,35,6,1,98,41.00,Offense
2017-18,Georgia Tech,0,11,19,5,1,78,24.00,Defensive
2013-14,Georgia St.,12,12,23,6,nan,16,29.00,Offense
2013-14,Georgia St.,0,12,52,12,1,155,64.00,Defensive
2014-15,Georgia St.,12,12,27,3,nan,28,30.00,Offense
2014-15,Georgia St.,0,12,32,18,3,247,50.00,Defensive
2015-16,Georgia St.,13,13,57,15,1,133,72.00,Offense
2015-16,Georgia St.,0,13,41,12,2,156,53.00,Defensive
2016-17,Georgia St.,12,12,36,11,2,91,47.00,Offense
2016-17,Georgia St.,0,12,33,15,nan,76,48.00,Defensive
2017-18,Georgia St.,11,11,29,8,nan,68,37.00,Offense
2017-18,Georgia St.,0,11,34,9,nan,240,43.00,Defensive
2013-14,Georgia St.,12,12,23,6,nan,16,29.00,Offense
2013-14,Georgia St.,0,12,52,12,1,155,64.00,Defensive
2014-15,Georgia St.,12,12,27,3,nan,28,30.00,Offense
2014-15,Georgia St.,0,12,32,18,3,247,50.00,Defensive
2015-16,Georgia St.,13,13,57,15,1,133,72.00,Offense
2015-16,Georgia St.,0,13,41,12,2,156,53.00,Defensive
2016-17,Georgia St.,12,12,36,11,2,91,47.00,Offense
2016-17,Georgia St.,0,12,33,15,nan,76,48.00,Defensive
2017-18,Georgia St.,11,11,29,8,nan,68,37.00,Offense
2017-18,Georgia St.,0,11,34,9,nan,240,43.00,Defensive
2013-14,Georgia St.,12,12,23,6,nan,16,29,Offense
2013-14,Georgia St.,0,12,52,12,1,155,64,Defensive
2014-15,Georgia St.,12,12,27,3,nan,28,30,Offense
2014-15,Georgia St.,0,12,32,18,3,247,50,Defensive
2015-16,Georgia St.,13,13,57,15,1,133,72,Offense
2015-16,Georgia St.,0,13,41,12,2,156,53,Defensive
2016-17,Georgia St.,12,12,36,11,2,91,47,Offense
2016-17,Georgia St.,0,12,33,15,nan,76,48,Defensive
2017-18,Georgia St.,11,11,29,8,nan,68,37,Offense
2017-18,Georgia St.,0,11,34,9,nan,240,43,Defensive
2013-14,Georgia,13,13,48,7,1,78,55.00,Offense
2013-14,Georgia,0,13,50,12,nan,58,62.00,Defensive
2014-15,Georgia,13,13,40,16,1,166,56.00,Offense
2014-15,Georgia,0,13,28,6,nan,41,34.00,Defensive
2015-16,Georgia,13,13,33,12,1,258,45.00,Offense
2015-16,Georgia,0,13,43,8,1,138,51.00,Defensive
2016-17,Georgia,13,13,37,15,1,108,52.00,Offense
2016-17,Georgia,0,13,42,9,1,210,51.00,Defensive
2017-18,Georgia,13,13,43,10,nan,134,53.00,Offense
2017-18,Georgia,0,13,25,7,nan,63,32.00,Defensive
2013-14,Georgia,13,13,48,7,1,78,55,Offense
2013-14,Georgia,0,13,50,12,nan,58,62,Defensive
2014-15,Georgia,13,13,40,16,1,166,56,Offense
2014-15,Georgia,0,13,28,6,nan,41,34,Defensive
2015-16,Georgia,13,13,33,12,1,258,45,Offense
2015-16,Georgia,0,13,43,8,1,138,51,Defensive
2016-17,Georgia,13,13,37,15,1,108,52,Offense
2016-17,Georgia,0,13,42,9,1,210,51,Defensive
2017-18,Georgia,13,13,43,10,nan,134,53,Offense
2017-18,Georgia,0,13,25,7,nan,63,32,Defensive
2013-14,Georgia,13,13,48,7,1,78,55.00,Offense
2013-14,Georgia,0,13,50,12,nan,58,62.00,Defensive
2014-15,Georgia,13,13,40,16,1,166,56.00,Offense
2014-15,Georgia,0,13,28,6,nan,41,34.00,Defensive
2015-16,Georgia,13,13,33,12,1,258,45.00,Offense
2015-16,Georgia,0,13,43,8,1,138,51.00,Defensive
2016-17,Georgia,13,13,37,15,1,108,52.00,Offense
2016-17,Georgia,0,13,42,9,1,210,51.00,Defensive
2017-18,Georgia,13,13,43,10,nan,134,53.00,Offense
2017-18,Georgia,0,13,25,7,nan,63,32.00,Defensive
2013-14,Georgia,13,13,48,7,1,78,55,Offense
2013-14,Georgia,0,13,50,12,nan,58,62,Defensive
2014-15,Georgia,13,13,40,16,1,166,56,Offense
2014-15,Georgia,0,13,28,6,nan,41,34,Defensive
2015-16,Georgia,13,13,33,12,1,258,45,Offense
2015-16,Georgia,0,13,43,8,1,138,51,Defensive
2016-17,Georgia,13,13,37,15,1,108,52,Offense
2016-17,Georgia,0,13,42,9,1,210,51,Defensive
2017-18,Georgia,13,13,43,10,nan,134,53,Offense
2017-18,Georgia,0,13,25,7,nan,63,32,Defensive
2013-14,Ga. Southern,11,11,39,10,nan,94,49.00,Offense
2013-14,Ga. Southern,0,11,19,4,nan,16,23.00,Defensive
2014-15,Ga. Southern,12,12,37,13,2,277,50.00,Offense
2014-15,Ga. Southern,0,12,17,4,nan,73,21.00,Defensive
2015-16,Ga. Southern,13,13,42,17,nan,178,59.00,Offense
2015-16,Ga. Southern,0,13,12,10,1,109,22.00,Defensive
2016-17,Ga. Southern,12,12,34,9,nan,39,43.00,Offense
2016-17,Ga. Southern,0,12,31,9,1,111,40.00,Defensive
2017-18,Ga. Southern,12,12,46,14,nan,80,60.00,Offense
2017-18,Ga. Southern,0,12,21,7,nan,43,28.00,Defensive
2013-14,Ga. Southern,11,11,39,10,nan,94,49,Offense
2013-14,Ga. Southern,0,11,19,4,nan,16,23,Defensive
2014-15,Ga. Southern,12,12,37,13,2,277,50,Offense
2014-15,Ga. Southern,0,12,17,4,nan,73,21,Defensive
2015-16,Ga. Southern,13,13,42,17,nan,178,59,Offense
2015-16,Ga. Southern,0,13,12,10,1,109,22,Defensive
2016-17,Ga. Southern,12,12,34,9,nan,39,43,Offense
2016-17,Ga. Southern,0,12,31,9,1,111,40,Defensive
2017-18,Ga. Southern,12,12,46,14,nan,80,60,Offense
2017-18,Ga. Southern,0,12,21,7,nan,43,28,Defensive
2013-14,Ga. Southern,11,11,39,10,nan,94,49.00,Offense
2013-14,Ga. Southern,0,11,19,4,nan,16,23.00,Defensive
2014-15,Ga. Southern,12,12,37,13,2,277,50.00,Offense
2014-15,Ga. Southern,0,12,17,4,nan,73,21.00,Defensive
2015-16,Ga. Southern,13,13,42,17,nan,178,59.00,Offense
2015-16,Ga. Southern,0,13,12,10,1,109,22.00,Defensive
2016-17,Ga. Southern,12,12,34,9,nan,39,43.00,Offense
2016-17,Ga. Southern,0,12,31,9,1,111,40.00,Defensive
2017-18,Ga. Southern,12,12,46,14,nan,80,60.00,Offense
2017-18,Ga. Southern,0,12,21,7,nan,43,28.00,Defensive
2013-14,Ga. Southern,11,11,39,10,nan,94,49,Offense
2013-14,Ga. Southern,0,11,19,4,nan,16,23,Defensive
2014-15,Ga. Southern,12,12,37,13,2,277,50,Offense
2014-15,Ga. Southern,0,12,17,4,nan,73,21,Defensive
2015-16,Ga. Southern,13,13,42,17,nan,178,59,Offense
2015-16,Ga. Southern,0,13,12,10,1,109,22,Defensive
2016-17,Ga. Southern,12,12,34,9,nan,39,43,Offense
2016-17,Ga. Southern,0,12,31,9,1,111,40,Defensive
2017-18,Ga. Southern,12,12,46,14,nan,80,60,Offense
2017-18,Ga. Southern,0,12,21,7,nan,43,28,Defensive
2013-14,Indiana,12,12,54,7,nan,55,61.00,Offense
2013-14,Indiana,0,12,42,14,2,201,56.00,Defensive
2014-15,Indiana,12,12,47,13,1,110,60.00,Offense
2014-15,Indiana,0,12,40,9,1,147,49.00,Defensive
2015-16,Indiana,13,13,62,12,2,238,74.00,Offense
2015-16,Indiana,0,13,51,8,nan,2,59.00,Defensive
2016-17,Indiana,13,13,64,13,2,142,77.00,Offense
2016-17,Indiana,0,13,64,18,2,279,82.00,Defensive
2017-18,Indiana,12,12,39,5,nan,34,44.00,Offense
2017-18,Indiana,0,12,51,13,nan,98,64.00,Defensive
2013-14,Indiana,12,12,54,7,nan,55,61,Offense
2013-14,Indiana,0,12,42,14,2,201,56,Defensive
2014-15,Indiana,12,12,47,13,1,110,60,Offense
2014-15,Indiana,0,12,40,9,1,147,49,Defensive
2015-16,Indiana,13,13,62,12,2,238,74,Offense
2015-16,Indiana,0,13,51,8,nan,2,59,Defensive
2016-17,Indiana,13,13,64,13,2,142,77,Offense
2016-17,Indiana,0,13,64,18,2,279,82,Defensive
2017-18,Indiana,12,12,39,5,nan,34,44,Offense
2017-18,Indiana,0,12,51,13,nan,98,64,Defensive
2013-14,Indiana,12,12,54,7,nan,55,61,Offense
2013-14,Indiana,0,12,42,14,2,201,56,Defensive
2014-15,Indiana,12,12,47,13,1,110,60,Offense
2014-15,Indiana,0,12,40,9,1,147,49,Defensive
2015-16,Indiana,13,13,62,12,2,238,74,Offense
2015-16,Indiana,0,13,51,8,nan,2,59,Defensive
2016-17,Indiana,13,13,64,13,2,142,77,Offense
2016-17,Indiana,0,13,64,18,2,279,82,Defensive
2017-18,Indiana,12,12,39,5,nan,34,44,Offense
2017-18,Indiana,0,12,51,13,nan,98,64,Defensive
2013-14,Illinois,12,12,28,3,nan,22,31.00,Offense
2013-14,Illinois,0,12,42,14,1,178,56.00,Defensive
2014-15,Illinois,13,13,38,7,3,203,45.00,Offense
2014-15,Illinois,0,13,42,12,2,272,54.00,Defensive
2015-16,Illinois,12,12,42,13,1,195,55.00,Offense
2015-16,Illinois,0,12,37,8,nan,48,45.00,Defensive
2016-17,Illinois,12,12,26,7,1,133,33.00,Offense
2016-17,Illinois,0,12,42,9,nan,161,51.00,Defensive
2017-18,Illinois,12,12,36,9,1,105,45.00,Offense
2017-18,Illinois,0,12,51,19,2,335,70.00,Defensive
2013-14,Illinois,12,12,28,3,nan,22,31,Offense
2013-14,Illinois,0,12,42,14,1,178,56,Defensive
2014-15,Illinois,13,13,38,7,3,203,45,Offense
2014-15,Illinois,0,13,42,12,2,272,54,Defensive
2015-16,Illinois,12,12,42,13,1,195,55,Offense
2015-16,Illinois,0,12,37,8,nan,48,45,Defensive
2016-17,Illinois,12,12,26,7,1,133,33,Offense
2016-17,Illinois,0,12,42,9,nan,161,51,Defensive
2017-18,Illinois,12,12,36,9,1,105,45,Offense
2017-18,Illinois,0,12,51,19,2,335,70,Defensive
2013-14,Illinois,12,12,28,3,nan,22,31.00,Offense
2013-14,Illinois,0,12,42,14,1,178,56.00,Defensive
2014-15,Illinois,13,13,38,7,3,203,45.00,Offense
2014-15,Illinois,0,13,42,12,2,272,54.00,Defensive
2015-16,Illinois,12,12,42,13,1,195,55.00,Offense
2015-16,Illinois,0,12,37,8,nan,48,45.00,Defensive
2016-17,Illinois,12,12,26,7,1,133,33.00,Offense
2016-17,Illinois,0,12,42,9,nan,161,51.00,Defensive
2017-18,Illinois,12,12,36,9,1,105,45.00,Offense
2017-18,Illinois,0,12,51,19,2,335,70.00,Defensive
2013-14,Illinois,12,12,28,3,nan,22,31,Offense
2013-14,Illinois,0,12,42,14,1,178,56,Defensive
2014-15,Illinois,13,13,38,7,3,203,45,Offense
2014-15,Illinois,0,13,42,12,2,272,54,Defensive
2015-16,Illinois,12,12,42,13,1,195,55,Offense
2015-16,Illinois,0,12,37,8,nan,48,45,Defensive
2016-17,Illinois,12,12,26,7,1,133,33,Offense
2016-17,Illinois,0,12,42,9,nan,161,51,Defensive
2017-18,Illinois,12,12,36,9,1,105,45,Offense
2017-18,Illinois,0,12,51,19,2,335,70,Defensive
2013-14,Idaho,12,12,31,10,nan,67,41.00,Offense
2013-14,Idaho,0,12,47,13,2,281,60.00,Defensive
2014-15,Idaho,11,11,14,8,nan,46,22.00,Offense
2014-15,Idaho,0,11,54,20,3,274,74.00,Defensive
2015-16,Idaho,12,12,25,6,1,45,31.00,Offense
2015-16,Idaho,0,12,35,15,2,216,50.00,Defensive
2016-17,Idaho,13,13,40,17,1,130,57.00,Offense
2016-17,Idaho,0,13,35,11,2,164,46.00,Defensive
2017-18,Idaho,12,12,29,9,nan,131,38.00,Offense
2017-18,Idaho,0,12,51,7,nan,87,58.00,Defensive
2013-14,Idaho,12,12,31,10,nan,67,41,Offense
2013-14,Idaho,0,12,47,13,2,281,60,Defensive
2014-15,Idaho,11,11,14,8,nan,46,22,Offense
2014-15,Idaho,0,11,54,20,3,274,74,Defensive
2015-16,Idaho,12,12,25,6,1,45,31,Offense
2015-16,Idaho,0,12,35,15,2,216,50,Defensive
2016-17,Idaho,13,13,40,17,1,130,57,Offense
2016-17,Idaho,0,13,35,11,2,164,46,Defensive
2017-18,Idaho,12,12,29,9,nan,131,38,Offense
2017-18,Idaho,0,12,51,7,nan,87,58,Defensive
2013-14,Idaho,12,12,31,10,nan,67,41.00,Offense
2013-14,Idaho,0,12,47,13,2,281,60.00,Defensive
2014-15,Idaho,11,11,14,8,nan,46,22.00,Offense
2014-15,Idaho,0,11,54,20,3,274,74.00,Defensive
2015-16,Idaho,12,12,25,6,1,45,31.00,Offense
2015-16,Idaho,0,12,35,15,2,216,50.00,Defensive
2016-17,Idaho,13,13,40,17,1,130,57.00,Offense
2016-17,Idaho,0,13,35,11,2,164,46.00,Defensive
2017-18,Idaho,12,12,29,9,nan,131,38.00,Offense
2017-18,Idaho,0,12,51,7,nan,87,58.00,Defensive
2013-14,Idaho,12,12,31,10,nan,67,41,Offense
2013-14,Idaho,0,12,47,13,2,281,60,Defensive
2014-15,Idaho,11,11,14,8,nan,46,22,Offense
2014-15,Idaho,0,11,54,20,3,274,74,Defensive
2015-16,Idaho,12,12,25,6,1,45,31,Offense
2015-16,Idaho,0,12,35,15,2,216,50,Defensive
2016-17,Idaho,13,13,40,17,1,130,57,Offense
2016-17,Idaho,0,13,35,11,2,164,46,Defensive
2017-18,Idaho,12,12,29,9,nan,131,38,Offense
2017-18,Idaho,0,12,51,7,nan,87,58,Defensive
2013-14,Houston,13,13,55,25,2,305,80.00,Offense
2013-14,Houston,0,13,76,10,nan,97,86.00,Defensive
2014-15,Houston,13,13,41,19,1,286,60.00,Offense
2014-15,Houston,0,13,37,15,nan,108,52.00,Defensive
2015-16,Houston,14,14,66,21,3,342,87.00,Offense
2015-16,Houston,0,14,40,7,nan,67,47.00,Defensive
2016-17,Houston,13,13,52,7,2,132,59.00,Offense
2016-17,Houston,0,13,41,15,2,211,56.00,Defensive
2017-18,Houston,11,11,39,14,1,292,53.00,Offense
2017-18,Houston,0,11,31,11,nan,112,42.00,Defensive
2013-14,Houston,13,13,55,25,2,305,80,Offense
2013-14,Houston,0,13,76,10,nan,97,86,Defensive
2014-15,Houston,13,13,41,19,1,286,60,Offense
2014-15,Houston,0,13,37,15,nan,108,52,Defensive
