Stat,Player,Value,Team,Year
Rush Net Yards,De'Veon Smith,519,Michigan  Wolverines,2015
Sacks,Brennen Beyer,5.5,Michigan  Wolverines,2015
Tackles,Jake Ryan,112,Michigan  Wolverines,2015
Tot Off,Devin Gardner,2154,Michigan  Wolverines,2015
APY,Jeremy Langford,1584,Michigan St. Spartans,2015
FGM,Michael Geiger,14,Michigan St. Spartans,2015
Int,Kurtis Drummond,4,Michigan St. Spartans,2015
Pass Eff,Tyler O'Connor,183.03,Michigan St. Spartans,2015
Points,Jeremy Langford,132,Michigan St. Spartans,2015
Punt Avg,Mike Sadler,537.6,Michigan St. Spartans,2015
Punt Ret Yds,Macgarrett Kings,122,Michigan St. Spartans,2015
Rec,Tony Lippett,65,Michigan St. Spartans,2015
ReceivingYards,Tony Lippett,1198,Michigan St. Spartans,2015
Rush Net Yards,Jeremy Langford,1522,Michigan St. Spartans,2015
Sacks,Shilique Calhoun,8.0,Michigan St. Spartans,2015
Tackles,Kurtis Drummond,72,Michigan St. Spartans,2015
Tot Off,Connor Cook,3294,Michigan St. Spartans,2015
APY,Reggie Whatley,1448,Middle Tenn. Blue Raiders,2015
FGM,Cody Clark,9,Middle Tenn. Blue Raiders,2015
Int,Kevin Byard,6,Middle Tenn. Blue Raiders,2015
Pass Eff,Shane Tucker,200.80,Middle Tenn. Blue Raiders,2015
Points,Cody Clark,73,Middle Tenn. Blue Raiders,2015
Punt Avg,Zachary Lopez,313.9,Middle Tenn. Blue Raiders,2015
Punt Ret Yds,Ed'Marques Batties,129,Middle Tenn. Blue Raiders,2015
Rec,Ed'Marques Batties,45,Middle Tenn. Blue Raiders,2015
ReceivingYards,Marcus Henry,527,Middle Tenn. Blue Raiders,2015
Rush Net Yards,Reggie Whatley,767,Middle Tenn. Blue Raiders,2015
Sacks,Leighton Gasque,6.0,Middle Tenn. Blue Raiders,2015
Tackles,T.T. Barber,72,Middle Tenn. Blue Raiders,2015
Tot Off,Austin Grammer,2999,Middle Tenn. Blue Raiders,2015
APY,Josh Robinson,1573,Mississippi St. Bulldogs,2015
FGM,Evan Sobiesk,12,Mississippi St. Bulldogs,2015
Int,Richie Brown,3,Mississippi St. Bulldogs,2015
Pass Eff,Jameon Lewis,631.60,Mississippi St. Bulldogs,2015
Points,Evan Sobiesk,92,Mississippi St. Bulldogs,2015
Punt Avg,Devon Bell,474.8,Mississippi St. Bulldogs,2015
Punt Ret Yds,Fred Ross,75,Mississippi St. Bulldogs,2015
Rec,De'Runnya Wilson,47,Mississippi St. Bulldogs,2015
ReceivingYards,De'Runnya Wilson,680,Mississippi St. Bulldogs,2015
Rush Net Yards,Josh Robinson,1203,Mississippi St. Bulldogs,2015
Sacks,Preston Smith,9.0,Mississippi St. Bulldogs,2015
Tackles,Benardrick McKinney,71,Mississippi St. Bulldogs,2015
Tot Off,Dak Prescott,4435,Mississippi St. Bulldogs,2015
APY,Matt Dayes,1278,NC State Wolfpack,2015
FGM,Niklas Sade,12,NC State Wolfpack,2015
Int,Josh Jones,4,NC State Wolfpack,2015
Pass Eff,Shadrach Thornton,581.20,NC State Wolfpack,2015
Points,Niklas Sade,82,NC State Wolfpack,2015
Punt Avg,Wil Baumann,584.5,NC State Wolfpack,2015
Punt Ret Yds,Bra'Lon Cherry,35,NC State Wolfpack,2015
Rec,Bo Hines,45,NC State Wolfpack,2015
ReceivingYards,Bo Hines,616,NC State Wolfpack,2015
Rush Net Yards,Shadrach Thornton,907,NC State Wolfpack,2015
Sacks,Art Norman,6.5,NC State Wolfpack,2015
Tackles,Hakim Jones,80,NC State Wolfpack,2015
Tot Off,Jacoby Brissett,3135,NC State Wolfpack,2015
APY,Keenan Reynolds,1191,Navy Midshipmen,2015
FGM,Austin Grebe,6,Navy Midshipmen,2015
Int,George Jamison,3,Navy Midshipmen,2015
Pass Eff,Tago Smith,256.86,Navy Midshipmen,2015
Points,Keenan Reynolds,138,Navy Midshipmen,2015
Punt Avg,Pablo Beltran,560.4,Navy Midshipmen,2015
Punt Ret Yds,Debrandon Sanders,30,Navy Midshipmen,2015
Rec,Jamir Tillman,20,Navy Midshipmen,2015
ReceivingYards,Jamir Tillman,386,Navy Midshipmen,2015
Rush Net Yards,Keenan Reynolds,1191,Navy Midshipmen,2015
Sacks,Will Anthony,2.5,Navy Midshipmen,2015
Tackles,Jordan Drake,109,Navy Midshipmen,2015
Tot Off,Keenan Reynolds,2034,Navy Midshipmen,2015
APY,Ameer Abdullah,2272,"Nebraska  Cornhuskers, Huskers",2015
FGM,Drew Brown,14,"Nebraska  Cornhuskers, Huskers",2015
Int,Nathan Gerry,5,"Nebraska  Cornhuskers, Huskers",2015
Pass Eff,De'Mornay Pierson-El,564.40,"Nebraska  Cornhuskers, Huskers",2015
Points,Ameer Abdullah,132,"Nebraska  Cornhuskers, Huskers",2015
Punt Avg,Sam Foltz,543.0,"Nebraska  Cornhuskers, Huskers",2015
Punt Ret Yds,De'Mornay Pierson-El,596,"Nebraska  Cornhuskers, Huskers",2015
Rec,Kenny Bell,47,"Nebraska  Cornhuskers, Huskers",2015
ReceivingYards,Kenny Bell,788,"Nebraska  Cornhuskers, Huskers",2015
Rush Net Yards,Ameer Abdullah,1611,"Nebraska  Cornhuskers, Huskers",2015
Sacks,Randy Gregory,7.0,"Nebraska  Cornhuskers, Huskers",2015
Tackles,Zaire Anderson,103,"Nebraska  Cornhuskers, Huskers",2015
Tot Off,Tommy Armstrong Jr.,3400,"Nebraska  Cornhuskers, Huskers",2015
APY,Don Jackson,1114,Nevada  Wolf Pack,2015
FGM,Brent Zuzo,14,Nevada  Wolf Pack,2015
Int,Nigel Haikins,3,Nevada  Wolf Pack,2015
Pass Eff,Cody Fajardo,120.06,Nevada  Wolf Pack,2015
Points,Brent Zuzo,85,Nevada  Wolf Pack,2015
Punt Avg,Alex Boy,510.1,Nevada  Wolf Pack,2015
Punt Ret Yds,Richy Turner,163,Nevada  Wolf Pack,2015
Rec,Richy Turner,63,Nevada  Wolf Pack,2015
ReceivingYards,Jerico Richardson,655,Nevada  Wolf Pack,2015
Rush Net Yards,Cody Fajardo,1046,Nevada  Wolf Pack,2015
Sacks,Ian Seau,8.5,Nevada  Wolf Pack,2015
Tackles,Jordan Dobrich,81,Nevada  Wolf Pack,2015
Tot Off,Cody Fajardo,3544,Nevada  Wolf Pack,2015
APY,Jhurell Pressley,1129,New Mexico  Lobos,2015
FGM,Zack Rogers,5,New Mexico  Lobos,2015
Int,Cranston Jones,3,New Mexico  Lobos,2015
Pass Eff,David Anaya,581.20,New Mexico  Lobos,2015
Points,Jhurell Pressley,74,New Mexico  Lobos,2015
Punt Avg,Zack Rogers,521.1,New Mexico  Lobos,2015
Punt Ret Yds,Chris Davis,35,New Mexico  Lobos,2015
Rec,Jeric Magnant,16,New Mexico  Lobos,2015
ReceivingYards,Tyler Duncan,293,New Mexico  Lobos,2015
Rush Net Yards,Jhurell Pressley,1083,New Mexico  Lobos,2015
Sacks,Nik D'Avanzo,4.5,New Mexico  Lobos,2015
Tackles,Dakota Cox,116,New Mexico  Lobos,2015
Tot Off,Lamar Jordan,1507,New Mexico  Lobos,2015
APY,Teldrick Morgan,1361,New Mexico St. Aggies,2015
FGM,Maxwell Johnson,7,New Mexico St. Aggies,2015
Int,Winston Rose,5,New Mexico St. Aggies,2015
Pass Eff,Tyler Rogers,118.84,New Mexico St. Aggies,2015
Points,Larry Rose III,60,New Mexico St. Aggies,2015
Punt Avg,S Witkowski,372.5,New Mexico St. Aggies,2015
Punt Ret Yds,Teldrick Morgan,73,New Mexico St. Aggies,2015
Rec,Teldrick Morgan,75,New Mexico St. Aggies,2015
ReceivingYards,Teldrick Morgan,903,New Mexico St. Aggies,2015
Rush Net Yards,Larry Rose III,1102,New Mexico St. Aggies,2015
Sacks,Stephen Meredith,2.0,New Mexico St. Aggies,2015
Tackles,Rodney Butler,119,New Mexico St. Aggies,2015
Tot Off,Tyler Rogers,2979,New Mexico St. Aggies,2015
APY,T.J. Logan,1131,North Carolina  Tar Heels,2015
FGM,Nick Weiler,5,North Carolina  Tar Heels,2015
Int,Brian Walker,3,North Carolina  Tar Heels,2015
Pass Eff,Ryan Switzer,724.00,North Carolina  Tar Heels,2015
Points,Marquise Williams,84,North Carolina  Tar Heels,2015
Punt Avg,Thomas Hibbard,493.4,North Carolina  Tar Heels,2015
Punt Ret Yds,Ryan Switzer,172,North Carolina  Tar Heels,2015
Rec,Ryan Switzer,61,North Carolina  Tar Heels,2015
ReceivingYards,Ryan Switzer,762,North Carolina  Tar Heels,2015
Rush Net Yards,Marquise Williams,783,North Carolina  Tar Heels,2015
Sacks,Jessie Rogers,5.5,North Carolina  Tar Heels,2015
Tackles,Tim Scott,78,North Carolina  Tar Heels,2015
Tot Off,Marquise Williams,3856,North Carolina  Tar Heels,2015
APY,Carlos Harris,1451,North Texas Mean Green,2015
FGM,Trevor Moore,15,North Texas Mean Green,2015
Int,James Jones,3,North Texas Mean Green,2015
Pass Eff,Dajon Williams,145.57,North Texas Mean Green,2015
Points,Trevor Moore,82,North Texas Mean Green,2015
Punt Avg,Eric Keena,451.0,North Texas Mean Green,2015
Punt Ret Yds,Darvin Kidsy,233,North Texas Mean Green,2015
Rec,Carlos Harris,70,North Texas Mean Green,2015
ReceivingYards,Carlos Harris,863,North Texas Mean Green,2015
Rush Net Yards,Antoinne Jimmerson,589,North Texas Mean Green,2015
Sacks,Chad Polk,5.5,North Texas Mean Green,2015
Tackles,Derek Akunne,108,North Texas Mean Green,2015
Tot Off,Andrew McNulty,1349,North Texas Mean Green,2015
APY,Da'Ron Brown,1173,Northern Ill. Huskies,2015
FGM,Christian Hagan,9,Northern Ill. Huskies,2015
Int,Dechane Durante,4,Northern Ill. Huskies,2015
Pass Eff,Aregeros Turner,251.20,Northern Ill. Huskies,2015
Points,Cameron Stingily,84,Northern Ill. Huskies,2015
Punt Avg,Tyler Wedel,538.9,Northern Ill. Huskies,2015
Punt Ret Yds,Chad Beebe,148,Northern Ill. Huskies,2015
Rec,Da'Ron Brown,68,Northern Ill. Huskies,2015
ReceivingYards,Da'Ron Brown,1065,Northern Ill. Huskies,2015
Rush Net Yards,Cameron Stingily,971,Northern Ill. Huskies,2015
Sacks,Jason Meehan,7.0,Northern Ill. Huskies,2015
Tackles,Marlon Moore,99,Northern Ill. Huskies,2015
Tot Off,Drew Hare,3222,Northern Ill. Huskies,2015
APY,Justin Jackson,1388,Northwestern Wildcats,2015
FGM,Jack Mitchell,14,Northwestern Wildcats,2015
Int,Ibraheim Campbell,3,Northwestern Wildcats,2015
Pass Eff,Jayme Taylor,572.80,Northwestern Wildcats,2015
Points,Jack Mitchell,68,Northwestern Wildcats,2015
Punt Avg,Chris Gradone,421.4,Northwestern Wildcats,2015
Punt Ret Yds,Tony Jones,62,Northwestern Wildcats,2015
Rec,Kyle Prater,51,Northwestern Wildcats,2015
ReceivingYards,Kyle Prater,535,Northwestern Wildcats,2015
Rush Net Yards,Justin Jackson,1187,Northwestern Wildcats,2015
Sacks,Dean Lowry,4.0,Northwestern Wildcats,2015
Tackles,Chi Chi Ariguzo,97,Northwestern Wildcats,2015
Tot Off,Trevor Siemian,2091,Northwestern Wildcats,2015
APY,Amir Carlisle,1116,Notre Dame Fighting Irish,2015
FGM,Kyle Brindza,14,Notre Dame Fighting Irish,2015
Int,Cole Luke,4,Notre Dame Fighting Irish,2015
Pass Eff,Everett Golson,143.58,Notre Dame Fighting Irish,2015
Points,Kyle Brindza,93,Notre Dame Fighting Irish,2015
Punt Avg,Kyle Brindza,547.3,Notre Dame Fighting Irish,2015
Punt Ret Yds,Cody Riggs,95,Notre Dame Fighting Irish,2015
Rec,Will Fuller,76,Notre Dame Fighting Irish,2015
ReceivingYards,Will Fuller,1094,Notre Dame Fighting Irish,2015
Rush Net Yards,Tarean Folston,889,Notre Dame Fighting Irish,2015
Sacks,Romeo Okwara,4.0,Notre Dame Fighting Irish,2015
Tackles,Jaylon Smith,112,Notre Dame Fighting Irish,2015
Tot Off,Everett Golson,3728,Notre Dame Fighting Irish,2015
APY,Daz'Mond Patterson,1126,Ohio Bobcats,2015
FGM,Josiah Yazdani,16,Ohio Bobcats,2015
Int,Quentin Poling,3,Ohio Bobcats,2015
Pass Eff,Derrius Vick,130.94,Ohio Bobcats,2015
Points,Josiah Yazdani,73,Ohio Bobcats,2015
Punt Avg,Bonnstetter,490.3,Ohio Bobcats,2015
Punt Ret Yds,Daz'Mond Patterson,136,Ohio Bobcats,2015
Rec,Sabastian Smith,31,Ohio Bobcats,2015
ReceivingYards,Chase Cochran,443,Ohio Bobcats,2015
Rush Net Yards,A.J. Ouellette,785,Ohio Bobcats,2015
Sacks,Quentin Poling,5.0,Ohio Bobcats,2015
Tackles,Quentin Poling,89,Ohio Bobcats,2015
Tot Off,Derrius Vick,1546,Ohio Bobcats,2015
APY,Ezekiel Elliott,2114,Ohio St. Buckeyes,2015
FGM,Sean Nuernberger,13,Ohio St. Buckeyes,2015
Int,Vonn Bell,6,Ohio St. Buckeyes,2015
Pass Eff,Evan Spencer,539.20,Ohio St. Buckeyes,2015
Points,Sean Nuernberger,128,Ohio St. Buckeyes,2015
Punt Avg,Cameron Johnston,664.3,Ohio St. Buckeyes,2015
Punt Ret Yds,Jalin Marshall,283,Ohio St. Buckeyes,2015
Rec,Michael Thomas,54,Ohio St. Buckeyes,2015
ReceivingYards,Devin Smith,931,Ohio St. Buckeyes,2015
Rush Net Yards,Ezekiel Elliott,1878,Ohio St. Buckeyes,2015
Sacks,Joey Bosa,13.5,Ohio St. Buckeyes,2015
Tackles,Joshua Perry,124,Ohio St. Buckeyes,2015
Tot Off,J.T. Barrett,3772,Ohio St. Buckeyes,2015
APY,Samaje Perine,1821,Oklahoma  Sooners,2015
FGM,Mike Hunnicutt,13,Oklahoma  Sooners,2015
Int,Zack Sanchez,6,Oklahoma  Sooners,2015
Pass Eff,Durron Neal,131.80,Oklahoma  Sooners,2015
Points,Samaje Perine,126,Oklahoma  Sooners,2015
Punt Avg,Jed Barnett,518.8,Oklahoma  Sooners,2015
Punt Ret Yds,Sterling Shepard,73,Oklahoma  Sooners,2015
Rec,Sterling Shepard,51,Oklahoma  Sooners,2015
ReceivingYards,Sterling Shepard,970,Oklahoma  Sooners,2015
Rush Net Yards,Samaje Perine,1713,Oklahoma  Sooners,2015
Sacks,Eric Striker,9.0,Oklahoma  Sooners,2015
Tackles,Dominique Alexander,107,Oklahoma  Sooners,2015
Tot Off,Trevor Knight,2639,Oklahoma  Sooners,2015
APY,Tyreek Hill,1811,Oklahoma St. Cowboys,2015
FGM,Ben Grogan,22,Oklahoma St. Cowboys,2015
Int,Ramon Richards,3,Oklahoma St. Cowboys,2015
Pass Eff,Brandon Sheperd,284.80,Oklahoma St. Cowboys,2015
Points,Ben Grogan,107,Oklahoma St. Cowboys,2015
Punt Avg,Kip Smith,521.8,Oklahoma St. Cowboys,2015
Punt Ret Yds,Tyreek Hill,256,Oklahoma St. Cowboys,2015
Rec,David Glidden,42,Oklahoma St. Cowboys,2015
ReceivingYards,Brandon Sheperd,737,Oklahoma St. Cowboys,2015
Rush Net Yards,Desmond Roland,770,Oklahoma St. Cowboys,2015
Sacks,Emmanuel Ogbah,11.0,Oklahoma St. Cowboys,2015
Tackles,Jordan Sterns,103,Oklahoma St. Cowboys,2015
Tot Off,Daxx Garman,2024,Oklahoma St. Cowboys,2015
APY,Antonio Vaughan,1105,Old Dominion Monarchs,2015
FGM,Ricky Segers,2,Old Dominion Monarchs,2015
Int,Fellonte Misher,2,Old Dominion Monarchs,2015
Pass Eff,Antonio Vaughan,385.60,Old Dominion Monarchs,2015
Points,Ray Lawry,90,Old Dominion Monarchs,2015
Punt Avg,Taylor Heinicke,379.2,Old Dominion Monarchs,2015
Punt Ret Yds,Antonio Vaughan,99,Old Dominion Monarchs,2015
Rec,Antonio Vaughan,57,Old Dominion Monarchs,2015
ReceivingYards,Antonio Vaughan,975,Old Dominion Monarchs,2015
Rush Net Yards,Ray Lawry,734,Old Dominion Monarchs,2015
Sacks,Poncho Barnwell,3.5,Old Dominion Monarchs,2015
Tackles,D.J. Simon,83,Old Dominion Monarchs,2015
Tot Off,Taylor Heinicke,3342,Old Dominion Monarchs,2015
APY,Jaylen Walton,1176,Ole Miss Rebels,2015
FGM,Gary Wunderlich,6,Ole Miss Rebels,2015
Int,Senquez Golson,10,Ole Miss Rebels,2015
Pass Eff,Jordan Wilkins,345.20,Ole Miss Rebels,2015
Points,Jaylen Walton,42,Ole Miss Rebels,2015
Punt Avg,Will Gleeson,465.9,Ole Miss Rebels,2015
Punt Ret Yds,Markell Pack,96,Ole Miss Rebels,2015
Rec,Laquon Treadwell,48,Ole Miss Rebels,2015
ReceivingYards,Vince Sanders,696,Ole Miss Rebels,2015
Rush Net Yards,Jaylen Walton,586,Ole Miss Rebels,2015
Sacks,Marquis Haynes,7.5,Ole Miss Rebels,2015
Tackles,Mike Hilton,71,Ole Miss Rebels,2015
Tot Off,Bo Wallace,3393,Ole Miss Rebels,2015
APY,Royce Freeman,1523,Oregon  Ducks,2015
FGM,Aidan Schneider,11,Oregon  Ducks,2015
Int,Erick Dargan,7,Oregon  Ducks,2015
Pass Eff,Royce Freeman,648.40,Oregon  Ducks,2015
Points,Royce Freeman,114,Oregon  Ducks,2015
Punt Avg,Ian Wheeler,591.5,Oregon  Ducks,2015
Punt Ret Yds,Charles Nelson,171,Oregon  Ducks,2015
Rec,Byron Marshall,74,Oregon  Ducks,2015
ReceivingYards,Byron Marshall,1003,Oregon  Ducks,2015
Rush Net Yards,Royce Freeman,1365,Oregon  Ducks,2015
Sacks,Christian French,6.5,Oregon  Ducks,2015
Tackles,Erick Dargan,95,Oregon  Ducks,2015
Tot Off,Marcus Mariota,5224,Oregon  Ducks,2015
APY,Victor Bolden,960,Oregon St. Beavers,2015
FGM,Garrett Owens,11,Oregon St. Beavers,2015
Int,Tyrequek Zimmerman,3,Oregon St. Beavers,2015
Pass Eff,Sean Mannion,128.32,Oregon St. Beavers,2015
Points,Terron Ward,60,Oregon St. Beavers,2015
Punt Avg,Keith Kostol,477.4,Oregon St. Beavers,2015
Punt Ret Yds,Rahmel Dockery,49,Oregon St. Beavers,2015
Rec,Victor Bolden,72,Oregon St. Beavers,2015
ReceivingYards,Victor Bolden,798,Oregon St. Beavers,2015
Rush Net Yards,Storm Woods,766,Oregon St. Beavers,2015
Sacks,Lavonte Barnett,4.5,Oregon St. Beavers,2015
Tackles,Tyrequek Zimmerman,91,Oregon St. Beavers,2015
Tot Off,Sean Mannion,2858,Oregon St. Beavers,2015
APY,Daesean Hamilton,931,Penn St. Nittany Lions,2015
FGM,Sam Ficken,24,Penn St. Nittany Lions,2015
Int,Anthony Zettel,3,Penn St. Nittany Lions,2015
Pass Eff,D.J. Crook,156.53,Penn St. Nittany Lions,2015
Points,Sam Ficken,100,Penn St. Nittany Lions,2015
Punt Avg,Daniel Pasquariello,257.2,Penn St. Nittany Lions,2015
Punt Ret Yds,Jesse Della Valle,129,Penn St. Nittany Lions,2015
Rec,Daesean Hamilton,82,Penn St. Nittany Lions,2015
ReceivingYards,Daesean Hamilton,899,Penn St. Nittany Lions,2015
Rush Net Yards,Akeel Lynch,678,Penn St. Nittany Lions,2015
Sacks,Anthony Zettel,8.0,Penn St. Nittany Lions,2015
Tackles,Mike Hull,107,Penn St. Nittany Lions,2015
Tot Off,Christian Hackenberg,2883,Penn St. Nittany Lions,2015
APY,Tyler Boyd,1928,Pittsburgh  Panthers,2015
FGM,Chris Blewitt,16,Pittsburgh  Panthers,2015
Int,Ray Vinopal,2,Pittsburgh  Panthers,2015
Pass Eff,Tyler Boyd,343.60,Pittsburgh  Panthers,2015
Points,James Conner,156,Pittsburgh  Panthers,2015
Punt Avg,Ryan Winslow,475.9,Pittsburgh  Panthers,2015
Punt Ret Yds,Tyler Boyd,162,Pittsburgh  Panthers,2015
Rec,Tyler Boyd,78,Pittsburgh  Panthers,2015
ReceivingYards,Tyler Boyd,1261,Pittsburgh  Panthers,2015
Rush Net Yards,James Conner,1765,Pittsburgh  Panthers,2015
Sacks,Rori Blair,5.0,Pittsburgh  Panthers,2015
Tackles,Anthony Gonzalez,74,Pittsburgh  Panthers,2015
Tot Off,Chad Voytik,2699,Pittsburgh  Panthers,2015
APY,Jowan Davis,1064,Rice Owls,2015
FGM,James Farrimond,8,Rice Owls,2015
Int,Bryce Callahan,2,Rice Owls,2015
Pass Eff,Tyler Stehling,150.82,Rice Owls,2015
Points,Darik Dillard,72,Rice Owls,2015
Punt Avg,James Farrimond,549.5,Rice Owls,2015
Punt Ret Yds,Bryce Callahan,77,Rice Owls,2015
Rec,Jordan Taylor,54,Rice Owls,2015
ReceivingYards,Jordan Taylor,842,Rice Owls,2015
Rush Net Yards,Jowan Davis,956,Rice Owls,2015
Sacks,Zach Patt,9.5,Rice Owls,2015
Tackles,Alex Lyons,71,Rice Owls,2015
Tot Off,Driphus Jackson,3243,Rice Owls,2015
APY,Janarion Grant,1319,Rutgers Scarlet Knights,2015
FGM,Kyle Federico,16,Rutgers Scarlet Knights,2015
Int,Lorenzo Waters,2,Rutgers Scarlet Knights,2015
Pass Eff,Gary Nova,145.29,Rutgers Scarlet Knights,2015
Points,Kyle Federico,89,Rutgers Scarlet Knights,2015
Punt Avg,Tim Gleeson,359.1,Rutgers Scarlet Knights,2015
Punt Ret Yds,Janarion Grant,45,Rutgers Scarlet Knights,2015
Rec,Leonte Carroo,55,Rutgers Scarlet Knights,2015
ReceivingYards,Leonte Carroo,1086,Rutgers Scarlet Knights,2015
Rush Net Yards,Desmon Peoples,447,Rutgers Scarlet Knights,2015
Sacks,Kemoko Turay,7.5,Rutgers Scarlet Knights,2015
Tackles,Steve Longa,102,Rutgers Scarlet Knights,2015
Tot Off,Gary Nova,2846,Rutgers Scarlet Knights,2015
APY,Deion Sanders Jr.,947,SMU Mustangs,2015
FGM,Cody Rademacher,9,SMU Mustangs,2015
Int,Horace Richardson,2,SMU Mustangs,2015
Pass Eff,Matt Davis,98.00,SMU Mustangs,2015
Points,Cody Rademacher,39,SMU Mustangs,2015
Punt Avg,Jackson Koonce,487.4,SMU Mustangs,2015
Punt Ret Yds,Daijuan Stewart,75,SMU Mustangs,2015
Rec,Darius Joseph,54,SMU Mustangs,2015
ReceivingYards,Der'Rikk Thompson,512,SMU Mustangs,2015
Rush Net Yards,Matt Davis,613,SMU Mustangs,2015
Sacks,Zach Wood,4.0,SMU Mustangs,2015
Tackles,Hayden Greenbauer,79,SMU Mustangs,2015
Tot Off,Matt Davis,1468,SMU Mustangs,2015
APY,Donnel Pumphrey,2027,San Diego St. Aztecs,2015
FGM,Donny Hageman,20,San Diego St. Aztecs,2015
Int,Calvin Munson,4,San Diego St. Aztecs,2015
Pass Eff,Lloyd Mills,226.00,San Diego St. Aztecs,2015
Points,Donnel Pumphrey,120,San Diego St. Aztecs,2015
Punt Avg,Joel Alesi,471.3,San Diego St. Aztecs,2015
Punt Ret Yds,Lloyd Mills,205,San Diego St. Aztecs,2015
Rec,Ezell Ruffin,26,San Diego St. Aztecs,2015
ReceivingYards,Eric Judge,471,San Diego St. Aztecs,2015
Rush Net Yards,Donnel Pumphrey,1867,San Diego St. Aztecs,2015
Sacks,Calvin Munson,4.0,San Diego St. Aztecs,2015
Tackles,Josh Gavert,89,San Diego St. Aztecs,2015
Tot Off,Quinn Kaehler,2052,San Diego St. Aztecs,2015
APY,Tyler Ervin,1781,San Jose St. Spartans,2015
FGM,Austin Lopez,12,San Jose St. Spartans,2015
Int,Jimmy Pruitt,3,San Jose St. Spartans,2015
Pass Eff,Joe Gray,127.85,San Jose St. Spartans,2015
Points,Austin Lopez,63,San Jose St. Spartans,2015
Punt Avg,Michael Carrizosa,417.1,San Jose St. Spartans,2015
Punt Ret Yds,Tyler Ervin,81,San Jose St. Spartans,2015
Rec,Tyler Winston,78,San Jose St. Spartans,2015
ReceivingYards,Tyler Winston,694,San Jose St. Spartans,2015
Rush Net Yards,Tyler Ervin,888,San Jose St. Spartans,2015
Sacks,Travis Raciti,3.0,San Jose St. Spartans,2015
Tackles,Vince Buhagiar,96,San Jose St. Spartans,2015
Tot Off,Joe Gray,2404,San Jose St. Spartans,2015
APY,Shavarez Smith,735,South Ala. Jaguars,2015
FGM,Aleem Sunanon,15,South Ala. Jaguars,2015
Int,Montell Garner,2,South Ala. Jaguars,2015
Pass Eff,Jake Howton,665.20,South Ala. Jaguars,2015
Points,Aleem Sunanon,69,South Ala. Jaguars,2015
Punt Avg,Brandon McKee,552.0,South Ala. Jaguars,2015
Punt Ret Yds,Jerem̩ Jones,69,South Ala. Jaguars,2015
Rec,Shavarez Smith,54,South Ala. Jaguars,2015
ReceivingYards,Shavarez Smith,748,South Ala. Jaguars,2015
Rush Net Yards,Kendall Houston,705,South Ala. Jaguars,2015
Sacks,Theo Rich,8.0,South Ala. Jaguars,2015
Tackles,Terrell Brigham,113,South Ala. Jaguars,2015
Tot Off,Brandon Bridge,2224,South Ala. Jaguars,2015
APY,Pharoh Cooper,1411,South Carolina  Gamecocks,2015
FGM,Elliott Fry,18,South Carolina  Gamecocks,2015
Int,Brison Williams,4,South Carolina  Gamecocks,2015
Pass Eff,Pharoh Cooper,226.90,South Carolina  Gamecocks,2015
Points,Elliott Fry,105,South Carolina  Gamecocks,2015
Punt Avg,Tyler Hull,545.5,South Carolina  Gamecocks,2015
Punt Ret Yds,Pharoh Cooper,75,South Carolina  Gamecocks,2015
Rec,Pharoh Cooper,69,South Carolina  Gamecocks,2015
ReceivingYards,Pharoh Cooper,1136,South Carolina  Gamecocks,2015
Rush Net Yards,Mike Davis,982,South Carolina  Gamecocks,2015
Sacks,Gerald Dixon,2.0,South Carolina  Gamecocks,2015
Tackles,Skai Moore,93,South Carolina  Gamecocks,2015
Tot Off,Dylan Thompson,3502,South Carolina  Gamecocks,2015
APY,Javorius Allen,1947,Southern California Trojans,2015
FGM,Andre Heidari,9,Southern California Trojans,2015
Int,Su'A Cravens,3,Southern California Trojans,2015
Pass Eff,Cody Kessler,167.05,Southern California Trojans,2015
Points,Nelson Agholor,84,Southern California Trojans,2015
Punt Avg,Kris Albarado,507.7,Southern California Trojans,2015
Punt Ret Yds,Nelson Agholor,197,Southern California Trojans,2015
Rec,Nelson Agholor,104,Southern California Trojans,2015
ReceivingYards,Nelson Agholor,1313,Southern California Trojans,2015
Rush Net Yards,Javorius Allen,1489,Southern California Trojans,2015
Sacks,J.R. Tavai,7.0,Southern California Trojans,2015
Tackles,Hayes Pullard,95,Southern California Trojans,2015
Tot Off,Cody Kessler,3674,Southern California Trojans,2015
APY,Michael Thomas,1217,Southern Miss.  Golden Eagles,2015
FGM,Corey Acosta,19,Southern Miss.  Golden Eagles,2015
Int,Kalan Reed,2,Southern Miss.  Golden Eagles,2015
Pass Eff,Nick Mullens,122.49,Southern Miss.  Golden Eagles,2015
Points,Corey Acosta,78,Southern Miss.  Golden Eagles,2015
Punt Avg,Tyler Sarrazin,469.4,Southern Miss.  Golden Eagles,2015
Punt Ret Yds,Casey Martin,134,Southern Miss.  Golden Eagles,2015
Rec,Casey Martin,55,Southern Miss.  Golden Eagles,2015
ReceivingYards,Michael Thomas,592,Southern Miss.  Golden Eagles,2015
Rush Net Yards,Ito Smith,536,Southern Miss.  Golden Eagles,2015
Sacks,Dasman McCullum,4.5,Southern Miss.  Golden Eagles,2015
Tackles,Jacorius Cotton,73,Southern Miss.  Golden Eagles,2015
Tot Off,Nick Mullens,2509,Southern Miss.  Golden Eagles,2015
APY,Ty Montgomery,1415,Stanford Cardinal,2015
FGM,Jordan Williamson,15,Stanford Cardinal,2015
Int,Jordan Richards,3,Stanford Cardinal,2015
