Stat,Player,Value,Team,Year
Tot Off,Nick Marshall,3044,Auburn Tigers,2014
APY,Jamaal Williams,1358,BYU Cougars,2014
FGM,Justin Sorensen,21,BYU Cougars,2014
Int,Craig Bills,2,BYU Cougars,2014
Pass Eff,Taysom Hill,118.15,BYU Cougars,2014
Points,Justin Sorensen,108,BYU Cougars,2014
Punt Avg,Scott Arellano,529.9,BYU Cougars,2014
Punt Ret Yds,JD Falslev,253,BYU Cougars,2014
Rec,Cody Hoffman,57,BYU Cougars,2014
ReceivingYards,Cody Hoffman,894,BYU Cougars,2014
Rush Net Yards,Taysom Hill,1344,BYU Cougars,2014
Sacks,Bronson Kaufusi,4.0,BYU Cougars,2014
Tackles,Uani 'Unga,143,BYU Cougars,2014
Tot Off,Taysom Hill,4282,BYU Cougars,2014
APY,Jamill Smith,1705,Ball St. Cardinals,2014
FGM,Scott Secor,19,Ball St. Cardinals,2014
Int,Jeffrey Garrett,5,Ball St. Cardinals,2014
Pass Eff,Jamill Smith,205.40,Ball St. Cardinals,2014
Points,Scott Secor,117,Ball St. Cardinals,2014
Punt Avg,Kyle Schmidt,492.3,Ball St. Cardinals,2014
Punt Ret Yds,Jamill Smith,84,Ball St. Cardinals,2014
Rec,Willie Snead,106,Ball St. Cardinals,2014
ReceivingYards,Willie Snead,1516,Ball St. Cardinals,2014
Rush Net Yards,Jahwan Edwards,1110,Ball St. Cardinals,2014
Sacks,Jonathan Newsome,8.0,Ball St. Cardinals,2014
Tackles,Ben Ingle,116,Ball St. Cardinals,2014
Tot Off,Keith Wenning,4192,Ball St. Cardinals,2014
APY,Antwan Goodley,1397,Baylor Bears,2014
FGM,Aaron Jones,14,Baylor Bears,2014
Int,Eddie Lackey,3,Baylor Bears,2014
Pass Eff,Levi Norwood,444.40,Baylor Bears,2014
Points,Aaron Jones,124,Baylor Bears,2014
Punt Avg,Spencer Roth,550.5,Baylor Bears,2014
Punt Ret Yds,Levi Norwood,240,Baylor Bears,2014
Rec,Antwan Goodley,71,Baylor Bears,2014
ReceivingYards,Antwan Goodley,1339,Baylor Bears,2014
Rush Net Yards,Lache Seastrunk,1177,Baylor Bears,2014
Sacks,Chris McAllister,6.5,Baylor Bears,2014
Tackles,Eddie Lackey,108,Baylor Bears,2014
Tot Off,Bryce Petty,4409,Baylor Bears,2014
APY,Jay Ajayi,1647,Boise St. Broncos,2014
FGM,Dan Goodale,17,Boise St. Broncos,2014
Int,Donte Deayon,6,Boise St. Broncos,2014
Pass Eff,Trevor Harman,276.40,Boise St. Broncos,2014
Points,Jay Ajayi,114,Boise St. Broncos,2014
Punt Avg,Trevor Harman,424.7,Boise St. Broncos,2014
Punt Ret Yds,Shane Williams-Rhodes,233,Boise St. Broncos,2014
Rec,Matt Miller,88,Boise St. Broncos,2014
ReceivingYards,Matt Miller,1140,Boise St. Broncos,2014
Rush Net Yards,Jay Ajayi,1425,Boise St. Broncos,2014
Sacks,Demarcus Lawrence,10.5,Boise St. Broncos,2014
Tackles,Ben Weaver,89,Boise St. Broncos,2014
Tot Off,Grant Hedrick,2102,Boise St. Broncos,2014
APY,Andre Williams,2177,Boston College Eagles,2014
FGM,Nate Freese,20,Boston College Eagles,2014
Int,Bryce Jones,2,Boston College Eagles,2014
Pass Eff,Chase Rettig,140.56,Boston College Eagles,2014
Points,Andre Williams,108,Boston College Eagles,2014
Punt Avg,Nate Freese,539.7,Boston College Eagles,2014
Punt Ret Yds,Spiffy Evans,154,Boston College Eagles,2014
Rec,Alex Amidon,77,Boston College Eagles,2014
ReceivingYards,Alex Amidon,1032,Boston College Eagles,2014
Rush Net Yards,Andre Williams,2177,Boston College Eagles,2014
Sacks,Kasim Edebali,9.5,Boston College Eagles,2014
Tackles,Steele Divitto,112,Boston College Eagles,2014
Tot Off,Andre Williams,2177,Boston College Eagles,2014
APY,Travis Greene,1749,Bowling Green  Falcons,2014
FGM,Tyler Tate,18,Bowling Green  Falcons,2014
Int,Booboo Gates,2,Bowling Green  Falcons,2014
Pass Eff,Matt Johnson,161.71,Bowling Green  Falcons,2014
Points,Tyler Tate,113,Bowling Green  Falcons,2014
Punt Avg,Brian Schmiedebusch,581.5,Bowling Green  Falcons,2014
Punt Ret Yds,Ryan Burbrink,103,Bowling Green  Falcons,2014
Rec,Shaun Joplin,54,Bowling Green  Falcons,2014
ReceivingYards,Shaun Joplin,908,Bowling Green  Falcons,2014
Rush Net Yards,Travis Greene,1594,Bowling Green  Falcons,2014
Sacks,Ted Ouellet,6.5,Bowling Green  Falcons,2014
Tackles,D.J. Lynch,85,Bowling Green  Falcons,2014
Tot Off,Matt Johnson,3705,Bowling Green  Falcons,2014
APY,Branden Oliver,1708,Buffalo  Bulls,2014
FGM,Patrick Clarke,13,Buffalo  Bulls,2014
Int,Khalil Mack,3,Buffalo  Bulls,2014
Pass Eff,Tony Daniel,154.69,Buffalo  Bulls,2014
Points,Branden Oliver,96,Buffalo  Bulls,2014
Punt Avg,Tyler Grassman,515.3,Buffalo  Bulls,2014
Punt Ret Yds,Alex Neutz,28,Buffalo  Bulls,2014
Rec,Alex Neutz,61,Buffalo  Bulls,2014
ReceivingYards,Alex Neutz,1024,Buffalo  Bulls,2014
Rush Net Yards,Branden Oliver,1535,Buffalo  Bulls,2014
Sacks,Khalil Mack,10.5,Buffalo  Bulls,2014
Tackles,Khalil Mack,100,Buffalo  Bulls,2014
Tot Off,Joe Licata,2760,Buffalo  Bulls,2014
APY,Khalfani Muhammad,1638,California  Golden Bears,2014
FGM,Vincenzo D'Amato,17,California  Golden Bears,2014
Int,Kameron Jackson,1,California  Golden Bears,2014
Pass Eff,Vincenzo D'Amato,514.00,California  Golden Bears,2014
Points,Vincenzo D'Amato,82,California  Golden Bears,2014
Punt Avg,Cole Leininger,522.3,California  Golden Bears,2014
Punt Ret Yds,Bryce Treggs,39,California  Golden Bears,2014
Rec,Bryce Treggs,77,California  Golden Bears,2014
ReceivingYards,Chris Harper,852,California  Golden Bears,2014
Rush Net Yards,Khalfani Muhammad,445,California  Golden Bears,2014
Sacks,Kyle Kragen,3.0,California  Golden Bears,2014
Tackles,Michael Lowe,67,California  Golden Bears,2014
Tot Off,Jared Goff,3446,California  Golden Bears,2014
APY,Ralph David Abernathy IV,1046,Cincinnati  Bearcats,2014
FGM,Tony Miliano,7,Cincinnati  Bearcats,2014
Int,Deven Drane,3,Cincinnati  Bearcats,2014
Pass Eff,Shaq Washington,322.00,Cincinnati  Bearcats,2014
Points,Tony Miliano,75,Cincinnati  Bearcats,2014
Punt Avg,John Lloyd,567.4,Cincinnati  Bearcats,2014
Punt Ret Yds,Shaq Washington,109,Cincinnati  Bearcats,2014
Rec,Shaq Washington,78,Cincinnati  Bearcats,2014
ReceivingYards,Anthony McClung,939,Cincinnati  Bearcats,2014
Rush Net Yards,Hosey Williams,655,Cincinnati  Bearcats,2014
Sacks,Silverberry Mouhon,9.5,Cincinnati  Bearcats,2014
Tackles,Greg Blair,106,Cincinnati  Bearcats,2014
Tot Off,Brendon Kay,3439,Cincinnati  Bearcats,2014
APY,Sammy Watkins,1768,Clemson Tigers,2014
FGM,Chandler Catanzaro,13,Clemson Tigers,2014
Int,Bashaud Breeland,4,Clemson Tigers,2014
Pass Eff,Tajh Boyd,168.69,Clemson Tigers,2014
Points,Chandler Catanzaro,99,Clemson Tigers,2014
Punt Avg,Bradley Pinion,508.5,Clemson Tigers,2014
Punt Ret Yds,Adam Humphries,212,Clemson Tigers,2014
Rec,Sammy Watkins,101,Clemson Tigers,2014
ReceivingYards,Sammy Watkins,1464,Clemson Tigers,2014
Rush Net Yards,Roderick McDowell,1025,Clemson Tigers,2014
Sacks,Vic Beasley,13.0,Clemson Tigers,2014
Tackles,Spencer Shuey,95,Clemson Tigers,2014
Tot Off,Tajh Boyd,4251,Clemson Tigers,2014
APY,Paul Richardson,1350,Colorado  Buffaloes,2014
FGM,Will Oliver,17,Colorado  Buffaloes,2014
Int,Greg Henderson,4,Colorado  Buffaloes,2014
Pass Eff,Paul Richardson,530.00,Colorado  Buffaloes,2014
Points,Will Oliver,81,Colorado  Buffaloes,2014
Punt Avg,Darragh O'Neill,486.5,Colorado  Buffaloes,2014
Punt Ret Yds,Nelson Spruce,45,Colorado  Buffaloes,2014
Rec,Paul Richardson,83,Colorado  Buffaloes,2014
ReceivingYards,Paul Richardson,1343,Colorado  Buffaloes,2014
Rush Net Yards,Christian Powell,562,Colorado  Buffaloes,2014
Sacks,Chidera Uzo-Diribe,4.0,Colorado  Buffaloes,2014
Tackles,Addison Gillam,107,Colorado  Buffaloes,2014
Tot Off,Sefo Liufau,1822,Colorado  Buffaloes,2014
APY,Kapri Bibbs,1800,Colorado St. Rams,2014
FGM,Jared Roberts,21,Colorado St. Rams,2014
Int,Trent Matthews,4,Colorado St. Rams,2014
Pass Eff,Joe Hansley,715.60,Colorado St. Rams,2014
Points,Kapri Bibbs,186,Colorado St. Rams,2014
Punt Avg,Hayden Hunt,600.2,Colorado St. Rams,2014
Punt Ret Yds,Joe Hansley,120,Colorado St. Rams,2014
Rec,Rashard Higgins,68,Colorado St. Rams,2014
ReceivingYards,Rashard Higgins,837,Colorado St. Rams,2014
Rush Net Yards,Kapri Bibbs,1741,Colorado St. Rams,2014
Sacks,Shaquil Barrett,12.0,Colorado St. Rams,2014
Tackles,Max Morgan,134,Colorado St. Rams,2014
Tot Off,Garrett Grayson,3815,Colorado St. Rams,2014
APY,Jamison Crowder,1832,Duke Blue Devils,2014
FGM,Ross Martin,13,Duke Blue Devils,2014
Int,Jeremy Cash,4,Duke Blue Devils,2014
Pass Eff,Brandon Connette,153.59,Duke Blue Devils,2014
Points,Ross Martin,97,Duke Blue Devils,2014
Punt Avg,Will Monday,548.0,Duke Blue Devils,2014
Punt Ret Yds,Jamison Crowder,401,Duke Blue Devils,2014
Rec,Jamison Crowder,108,Duke Blue Devils,2014
ReceivingYards,Jamison Crowder,1360,Duke Blue Devils,2014
Rush Net Yards,Josh Snead,651,Duke Blue Devils,2014
Sacks,Kenny Anunike,6.0,Duke Blue Devils,2014
Tackles,David Helton,133,Duke Blue Devils,2014
Tot Off,Anthony Boone,2474,Duke Blue Devils,2014
APY,Vintavious Cooper,1605,East Carolina Pirates,2014
FGM,Warren Harvey,15,East Carolina Pirates,2014
Int,Damon Magazu,5,East Carolina Pirates,2014
Pass Eff,John Worthy,547.60,East Carolina Pirates,2014
Points,Warren Harvey,106,East Carolina Pirates,2014
Punt Avg,Trent Tignor,565.8,East Carolina Pirates,2014
Punt Ret Yds,Justin Hardy,225,East Carolina Pirates,2014
Rec,Justin Hardy,114,East Carolina Pirates,2014
ReceivingYards,Justin Hardy,1284,East Carolina Pirates,2014
Rush Net Yards,Vintavious Cooper,1193,East Carolina Pirates,2014
Sacks,Terrell Stanley,7.0,East Carolina Pirates,2014
Tackles,Damon Magazu,80,East Carolina Pirates,2014
Tot Off,Shane Carden,4242,East Carolina Pirates,2014
APY,Bronson Hill,1276,Eastern Mich. Eagles,2014
FGM,Dylan Mulder,6,Eastern Mich. Eagles,2014
Int,Ike Spearman,2,Eastern Mich. Eagles,2014
Pass Eff,Tyler Benz,124.31,Eastern Mich. Eagles,2014
Points,Ryan Brumfield,42,Eastern Mich. Eagles,2014
Punt Avg,Austin Barnes,368.3,Eastern Mich. Eagles,2014
Punt Ret Yds,Demarius Reed,46,Eastern Mich. Eagles,2014
Rec,Dustin Creel,46,Eastern Mich. Eagles,2014
ReceivingYards,Tyreese Russell,594,Eastern Mich. Eagles,2014
Rush Net Yards,Bronson Hill,1101,Eastern Mich. Eagles,2014
Sacks,Kalonji Kashama,5.5,Eastern Mich. Eagles,2014
Tackles,Ike Spearman,82,Eastern Mich. Eagles,2014
Tot Off,Tyler Benz,1501,Eastern Mich. Eagles,2014
APY,Lamarq Caldwell,608,FIU Panthers,2014
FGM,Austin Taylor,8,FIU Panthers,2014
Int,Justin Halley,3,FIU Panthers,2014
Pass Eff,Lamarq Caldwell,564.40,FIU Panthers,2014
Points,Austin Taylor,35,FIU Panthers,2014
Punt Avg,Chris Ayers,293.9,FIU Panthers,2014
Punt Ret Yds,Sam Miller,105,FIU Panthers,2014
Rec,Jonnu Smith,39,FIU Panthers,2014
ReceivingYards,Jonnu Smith,388,FIU Panthers,2014
