Year,Team,GP,G,FF,FRet,FRetTD,FRetYds,OffenseDefense
2013-14,Akron,0,12,11,1,1,18,Defensive
2014-15,Akron,12,12,15,1,nan,6,Offense
2014-15,Akron,0,12,15,2,1,29,Defensive
2015-16,Akron,13,13,14,2,nan,68,Offense
2015-16,Akron,0,13,10,nan,1,nan,Defensive
2016-17,Akron,12,12,5,1,1,35,Offense
2016-17,Akron,0,12,8,2,1,85,Defensive
2017-18,Akron,13,13,12,2,1,56,Offense
2017-18,Akron,0,13,9,1,nan,7,Defensive
2013-14,Akron,12,12,14,nan,nan,nan,Offense
2013-14,Akron,0,12,11,1,1,18,Defensive
2014-15,Akron,12,12,15,1,nan,6,Offense
2014-15,Akron,0,12,15,2,1,29,Defensive
2015-16,Akron,13,13,14,2,nan,68,Offense
2015-16,Akron,0,13,10,nan,1,nan,Defensive
2016-17,Akron,12,12,5,1,1,35,Offense
2016-17,Akron,0,12,8,2,1,85,Defensive
2017-18,Akron,13,13,12,2,1,56,Offense
2017-18,Akron,0,13,9,1,nan,7,Defensive
2013-14,Air Force,12,12,11,nan,nan,nan,Offense
2013-14,Air Force,0,12,13,nan,nan,nan,Defensive
2014-15,Air Force,13,13,8,2,1,88,Offense
2014-15,Air Force,0,13,11,3,1,54,Defensive
2015-16,Air Force,14,14,5,nan,nan,nan,Offense
2015-16,Air Force,0,14,13,3,1,90,Defensive
2016-17,Air Force,13,13,10,2,nan,8,Offense
2016-17,Air Force,0,13,12,1,1,15,Defensive
2017-18,Air Force,12,12,8,nan,1,nan,Offense
2017-18,Air Force,0,12,18,4,1,93,Defensive
2013-14,Air Force,12,12,11,nan,nan,nan,Offense
2013-14,Air Force,0,12,13,nan,nan,nan,Defensive
2014-15,Air Force,13,13,8,2,1,88,Offense
2014-15,Air Force,0,13,11,3,1,54,Defensive
2015-16,Air Force,14,14,5,nan,nan,nan,Offense
2015-16,Air Force,0,14,13,3,1,90,Defensive
2016-17,Air Force,13,13,10,2,nan,8,Offense
2016-17,Air Force,0,13,12,1,1,15,Defensive
2017-18,Air Force,12,12,8,nan,1,nan,Offense
2017-18,Air Force,0,12,18,4,1,93,Defensive
2013-14,Air Force,12,12,11,nan,nan,nan,Offense
2013-14,Air Force,0,12,13,nan,nan,nan,Defensive
2014-15,Air Force,13,13,8,2,1,88,Offense
2014-15,Air Force,0,13,11,3,1,54,Defensive
2015-16,Air Force,14,14,5,nan,nan,nan,Offense
2015-16,Air Force,0,14,13,3,1,90,Defensive
2016-17,Air Force,13,13,10,2,nan,8,Offense
2016-17,Air Force,0,13,12,1,1,15,Defensive
2017-18,Air Force,12,12,8,nan,1,nan,Offense
2017-18,Air Force,0,12,18,4,1,93,Defensive
2013-14,Air Force,12,12,11,nan,nan,nan,Offense
2013-14,Air Force,0,12,13,nan,nan,nan,Defensive
2014-15,Air Force,13,13,8,2,1,88,Offense
2014-15,Air Force,0,13,11,3,1,54,Defensive
2015-16,Air Force,14,14,5,nan,nan,nan,Offense
2015-16,Air Force,0,14,13,3,1,90,Defensive
2016-17,Air Force,13,13,10,2,nan,8,Offense
2016-17,Air Force,0,13,12,1,1,15,Defensive
2017-18,Air Force,12,12,8,nan,1,nan,Offense
2017-18,Air Force,0,12,18,4,1,93,Defensive
2011-12,Auburn,1,1,1,nan,nan,nan,Offense
2011-12,Auburn,0,1,2,nan,nan,nan,Defensive
2013-14,Auburn,14,14,11,1,1,11,Offense
2013-14,Auburn,0,14,15,3,1,35,Defensive
2014-15,Auburn,13,13,12,nan,nan,nan,Offense
2014-15,Auburn,0,13,13,nan,1,nan,Defensive
2015-16,Auburn,13,13,11,1,1,82,Offense
2015-16,Auburn,0,13,12,nan,nan,nan,Defensive
2016-17,Auburn,13,13,8,1,1,13,Offense
2016-17,Auburn,0,13,10,nan,nan,nan,Defensive
2017-18,Auburn,13,13,14,3,nan,58,Offense
2017-18,Auburn,0,13,14,2,1,31,Defensive
2013-14,Army West Point,12,12,11,1,nan,19,Offense
2013-14,Army West Point,0,12,7,1,1,19,Defensive
2014-15,Army West Point,12,12,5,nan,nan,nan,Offense
2014-15,Army West Point,0,12,9,1,nan,nan,Defensive
2015-16,Army West Point,12,12,6,nan,nan,nan,Offense
2015-16,Army West Point,0,12,13,1,1,48,Defensive
2016-17,Army West Point,13,13,7,1,1,13,Offense
2016-17,Army West Point,0,13,14,2,nan,9,Defensive
2017-18,Army West Point,12,12,6,4,1,29,Offense
2017-18,Army West Point,0,12,2,nan,nan,nan,Defensive
2013-14,Army West Point,12,12,11,1,nan,19,Offense
2013-14,Army West Point,0,12,7,1,1,19,Defensive
2014-15,Army West Point,12,12,5,nan,nan,nan,Offense
2014-15,Army West Point,0,12,9,1,nan,nan,Defensive
2015-16,Army West Point,12,12,6,nan,nan,nan,Offense
2015-16,Army West Point,0,12,13,1,1,48,Defensive
2016-17,Army West Point,13,13,7,1,1,13,Offense
2016-17,Army West Point,0,13,14,2,nan,9,Defensive
2017-18,Army West Point,12,12,6,4,1,29,Offense
2017-18,Army West Point,0,12,2,nan,nan,nan,Defensive
2013-14,Army West Point,12,12,11,1,nan,19,Offense
