Year,Team,GP,G,FF,FRet,FRetTD,FRetYds,OffenseDefense
2015-16,Fla. Atlantic,12,12,13,nan,1,nan,Offense
2015-16,Fla. Atlantic,0,12,11,5,2,163,Defensive
2016-17,Fla. Atlantic,12,12,5,nan,nan,nan,Offense
2016-17,Fla. Atlantic,0,12,8,1,nan,20,Defensive
2017-18,Fla. Atlantic,13,13,10,1,1,14,Offense
2017-18,Fla. Atlantic,0,13,8,1,nan,10,Defensive
2013-14,Fla. Atlantic,12,12,7,1,1,10,Offense
2013-14,Fla. Atlantic,0,12,16,3,1,49,Defensive
2014-15,Fla. Atlantic,12,12,7,1,nan,5,Offense
2014-15,Fla. Atlantic,0,12,15,2,1,103,Defensive
2015-16,Fla. Atlantic,12,12,13,nan,1,nan,Offense
2015-16,Fla. Atlantic,0,12,11,5,2,163,Defensive
2016-17,Fla. Atlantic,12,12,5,nan,nan,nan,Offense
2016-17,Fla. Atlantic,0,12,8,1,nan,20,Defensive
2017-18,Fla. Atlantic,13,13,10,1,1,14,Offense
2017-18,Fla. Atlantic,0,13,8,1,nan,10,Defensive
2013-14,Fla. Atlantic,12,12,7,1,1,10,Offense
2013-14,Fla. Atlantic,0,12,16,3,1,49,Defensive
2014-15,Fla. Atlantic,12,12,7,1,nan,5,Offense
2014-15,Fla. Atlantic,0,12,15,2,1,103,Defensive
2015-16,Fla. Atlantic,12,12,13,nan,1,nan,Offense
2015-16,Fla. Atlantic,0,12,11,5,2,163,Defensive
2016-17,Fla. Atlantic,12,12,5,nan,nan,nan,Offense
2016-17,Fla. Atlantic,0,12,8,1,nan,20,Defensive
2017-18,Fla. Atlantic,13,13,10,1,1,14,Offense
2017-18,Fla. Atlantic,0,13,8,1,nan,10,Defensive
2013-14,FIU,12,12,10,nan,nan,nan,Offense
2013-14,FIU,0,12,9,1,nan,13,Defensive
2014-15,FIU,12,12,16,5,1,141,Offense
2014-15,FIU,0,12,20,nan,nan,nan,Defensive
2015-16,FIU,12,12,12,1,nan,43,Offense
2015-16,FIU,0,12,11,3,nan,32,Defensive
2016-17,FIU,12,12,7,nan,nan,nan,Offense
2016-17,FIU,0,12,10,1,nan,6,Defensive
2017-18,FIU,12,12,8,1,1,38,Offense
2017-18,FIU,0,12,14,3,nan,102,Defensive
2013-14,FIU,12,12,10,nan,nan,nan,Offense
2013-14,FIU,0,12,9,1,nan,13,Defensive
2014-15,FIU,12,12,16,5,1,141,Offense
2014-15,FIU,0,12,20,nan,nan,nan,Defensive
2015-16,FIU,12,12,12,1,nan,43,Offense
2015-16,FIU,0,12,11,3,nan,32,Defensive
2016-17,FIU,12,12,7,nan,nan,nan,Offense
2016-17,FIU,0,12,10,1,nan,6,Defensive
2017-18,FIU,12,12,8,1,1,38,Offense
2017-18,FIU,0,12,14,3,nan,102,Defensive
2013-14,Hawaii,12,12,14,2,nan,-11,Offense
2013-14,Hawaii,0,12,12,5,2,121,Defensive
2014-15,Hawaii,13,13,10,nan,1,nan,Offense
2014-15,Hawaii,0,13,12,3,2,88,Defensive
2015-16,Hawaii,13,13,10,nan,nan,nan,Offense
2015-16,Hawaii,0,13,14,2,2,21,Defensive
2016-17,Hawaii,14,14,7,2,nan,20,Offense
2016-17,Hawaii,0,14,15,3,2,78,Defensive
2017-18,Hawaii,12,12,9,4,2,66,Offense
2017-18,Hawaii,0,12,10,1,nan,8,Defensive
2013-14,Hawaii,12,12,14,2,nan,-11,Offense
2013-14,Hawaii,0,12,12,5,2,121,Defensive
2014-15,Hawaii,13,13,10,nan,1,nan,Offense
2014-15,Hawaii,0,13,12,3,2,88,Defensive
2015-16,Hawaii,13,13,10,nan,nan,nan,Offense
2015-16,Hawaii,0,13,14,2,2,21,Defensive
2016-17,Hawaii,14,14,7,2,nan,20,Offense
2016-17,Hawaii,0,14,15,3,2,78,Defensive
2017-18,Hawaii,12,12,9,4,2,66,Offense
2017-18,Hawaii,0,12,10,1,nan,8,Defensive
2013-14,Georgia St.,12,12,10,1,1,88,Offense
2013-14,Georgia St.,0,12,15,4,1,83,Defensive
2014-15,Georgia St.,12,12,4,nan,nan,nan,Offense
2014-15,Georgia St.,0,12,14,1,nan,17,Defensive
2015-16,Georgia St.,13,13,7,1,nan,nan,Offense
2015-16,Georgia St.,0,13,13,5,3,134,Defensive
2016-17,Georgia St.,12,12,9,2,1,33,Offense
2016-17,Georgia St.,0,12,7,1,1,53,Defensive
2017-18,Georgia St.,11,11,5,2,2,33,Offense
2017-18,Georgia St.,0,11,10,1,nan,5,Defensive
2013-14,Georgia Tech,13,13,11,3,1,27,Offense
2013-14,Georgia Tech,0,13,19,nan,nan,nan,Defensive
2014-15,Georgia Tech,14,14,16,2,1,50,Offense
2014-15,Georgia Tech,0,14,10,2,1,109,Defensive
2015-16,Georgia Tech,12,12,8,1,2,11,Offense
2015-16,Georgia Tech,0,12,19,5,1,105,Defensive
2016-17,Georgia Tech,13,13,8,1,1,38,Offense
2016-17,Georgia Tech,0,13,11,3,2,48,Defensive
2017-18,Georgia Tech,11,11,5,nan,nan,nan,Offense
2017-18,Georgia Tech,0,11,13,1,nan,7,Defensive
2013-14,Georgia Tech,13,13,11,3,1,27,Offense
2013-14,Georgia Tech,0,13,19,nan,nan,nan,Defensive
2014-15,Georgia Tech,14,14,16,2,1,50,Offense
2014-15,Georgia Tech,0,14,10,2,1,109,Defensive
2015-16,Georgia Tech,12,12,8,1,2,11,Offense
2015-16,Georgia Tech,0,12,19,5,1,105,Defensive
2016-17,Georgia Tech,13,13,8,1,1,38,Offense
2016-17,Georgia Tech,0,13,11,3,2,48,Defensive
2017-18,Georgia Tech,11,11,5,nan,nan,nan,Offense
2017-18,Georgia Tech,0,11,13,1,nan,7,Defensive
2013-14,Georgia Tech,13,13,11,3,1,27,Offense
2013-14,Georgia Tech,0,13,19,nan,nan,nan,Defensive
2014-15,Georgia Tech,14,14,16,2,1,50,Offense
2014-15,Georgia Tech,0,14,10,2,1,109,Defensive
2015-16,Georgia Tech,12,12,8,1,2,11,Offense
2015-16,Georgia Tech,0,12,19,5,1,105,Defensive
2016-17,Georgia Tech,13,13,8,1,1,38,Offense
2016-17,Georgia Tech,0,13,11,3,2,48,Defensive
2017-18,Georgia Tech,11,11,5,nan,nan,nan,Offense
2017-18,Georgia Tech,0,11,13,1,nan,7,Defensive
2013-14,Georgia St.,12,12,10,1,1,88,Offense
2013-14,Georgia St.,0,12,15,4,1,83,Defensive
2014-15,Georgia St.,12,12,4,nan,nan,nan,Offense
2014-15,Georgia St.,0,12,14,1,nan,17,Defensive
2015-16,Georgia St.,13,13,7,1,nan,nan,Offense
2015-16,Georgia St.,0,13,13,5,3,134,Defensive
2016-17,Georgia St.,12,12,9,2,1,33,Offense
2016-17,Georgia St.,0,12,7,1,1,53,Defensive
2017-18,Georgia St.,11,11,5,2,2,33,Offense
2017-18,Georgia St.,0,11,10,1,nan,5,Defensive
2013-14,Georgia St.,12,12,10,1,1,88,Offense
2013-14,Georgia St.,0,12,15,4,1,83,Defensive
2014-15,Georgia St.,12,12,4,nan,nan,nan,Offense
2014-15,Georgia St.,0,12,14,1,nan,17,Defensive
2015-16,Georgia St.,13,13,7,1,nan,nan,Offense
2015-16,Georgia St.,0,13,13,5,3,134,Defensive
2016-17,Georgia St.,12,12,9,2,1,33,Offense
2016-17,Georgia St.,0,12,7,1,1,53,Defensive
2017-18,Georgia St.,11,11,5,2,2,33,Offense
2017-18,Georgia St.,0,11,10,1,nan,5,Defensive
2013-14,Georgia St.,12,12,10,1,1,88,Offense
2013-14,Georgia St.,0,12,15,4,1,83,Defensive
2014-15,Georgia St.,12,12,4,nan,nan,nan,Offense
2014-15,Georgia St.,0,12,14,1,nan,17,Defensive
2015-16,Georgia St.,13,13,7,1,nan,nan,Offense
2015-16,Georgia St.,0,13,13,5,3,134,Defensive
2016-17,Georgia St.,12,12,9,2,1,33,Offense
2016-17,Georgia St.,0,12,7,1,1,53,Defensive
2017-18,Georgia St.,11,11,5,2,2,33,Offense
2017-18,Georgia St.,0,11,10,1,nan,5,Defensive
2013-14,Georgia,13,13,10,3,nan,9,Offense
2013-14,Georgia,0,13,12,3,1,41,Defensive
2014-15,Georgia,13,13,13,3,3,164,Offense
2014-15,Georgia,0,13,13,1,nan,1,Defensive
2015-16,Georgia,13,13,9,1,1,96,Offense
2015-16,Georgia,0,13,11,1,2,62,Defensive
2016-17,Georgia,13,13,15,3,1,43,Offense
2016-17,Georgia,0,13,10,nan,1,nan,Defensive
2017-18,Georgia,13,13,10,2,1,12,Offense
2017-18,Georgia,0,13,9,1,nan,15,Defensive
2013-14,Georgia,13,13,10,3,nan,9,Offense
2013-14,Georgia,0,13,12,3,1,41,Defensive
2014-15,Georgia,13,13,13,3,3,164,Offense
2014-15,Georgia,0,13,13,1,nan,1,Defensive
2015-16,Georgia,13,13,9,1,1,96,Offense
2015-16,Georgia,0,13,11,1,2,62,Defensive
2016-17,Georgia,13,13,15,3,1,43,Offense
2016-17,Georgia,0,13,10,nan,1,nan,Defensive
2017-18,Georgia,13,13,10,2,1,12,Offense
2017-18,Georgia,0,13,9,1,nan,15,Defensive
2013-14,Georgia,13,13,10,3,nan,9,Offense
2013-14,Georgia,0,13,12,3,1,41,Defensive
2014-15,Georgia,13,13,13,3,3,164,Offense
2014-15,Georgia,0,13,13,1,nan,1,Defensive
2015-16,Georgia,13,13,9,1,1,96,Offense
2015-16,Georgia,0,13,11,1,2,62,Defensive
2016-17,Georgia,13,13,15,3,1,43,Offense
2016-17,Georgia,0,13,10,nan,1,nan,Defensive
2017-18,Georgia,13,13,10,2,1,12,Offense
2017-18,Georgia,0,13,9,1,nan,15,Defensive
2013-14,Georgia,13,13,10,3,nan,9,Offense
2013-14,Georgia,0,13,12,3,1,41,Defensive
2014-15,Georgia,13,13,13,3,3,164,Offense
2014-15,Georgia,0,13,13,1,nan,1,Defensive
2015-16,Georgia,13,13,9,1,1,96,Offense
2015-16,Georgia,0,13,11,1,2,62,Defensive
2016-17,Georgia,13,13,15,3,1,43,Offense
2016-17,Georgia,0,13,10,nan,1,nan,Defensive
2017-18,Georgia,13,13,10,2,1,12,Offense
2017-18,Georgia,0,13,9,1,nan,15,Defensive
2013-14,Ga. Southern,11,11,3,nan,nan,nan,Offense
2013-14,Ga. Southern,0,11,13,1,1,36,Defensive
2014-15,Ga. Southern,12,12,12,nan,nan,nan,Offense
2014-15,Ga. Southern,0,12,12,nan,nan,nan,Defensive
2015-16,Ga. Southern,13,13,11,3,2,136,Offense
2015-16,Ga. Southern,0,13,13,3,3,154,Defensive
2016-17,Ga. Southern,12,12,10,1,1,90,Offense
2016-17,Ga. Southern,0,12,11,4,nan,55,Defensive
2017-18,Ga. Southern,12,12,6,2,1,34,Offense
2017-18,Ga. Southern,0,12,17,4,2,91,Defensive
2013-14,Ga. Southern,11,11,3,nan,nan,nan,Offense
2013-14,Ga. Southern,0,11,13,1,1,36,Defensive
2014-15,Ga. Southern,12,12,12,nan,nan,nan,Offense
2014-15,Ga. Southern,0,12,12,nan,nan,nan,Defensive
2015-16,Ga. Southern,13,13,11,3,2,136,Offense
2015-16,Ga. Southern,0,13,13,3,3,154,Defensive
2016-17,Ga. Southern,12,12,10,1,1,90,Offense
2016-17,Ga. Southern,0,12,11,4,nan,55,Defensive
2017-18,Ga. Southern,12,12,6,2,1,34,Offense
2017-18,Ga. Southern,0,12,17,4,2,91,Defensive
2013-14,Ga. Southern,11,11,3,nan,nan,nan,Offense
2013-14,Ga. Southern,0,11,13,1,1,36,Defensive
2014-15,Ga. Southern,12,12,12,nan,nan,nan,Offense
2014-15,Ga. Southern,0,12,12,nan,nan,nan,Defensive
2015-16,Ga. Southern,13,13,11,3,2,136,Offense
2015-16,Ga. Southern,0,13,13,3,3,154,Defensive
2016-17,Ga. Southern,12,12,10,1,1,90,Offense
2016-17,Ga. Southern,0,12,11,4,nan,55,Defensive
2017-18,Ga. Southern,12,12,6,2,1,34,Offense
2017-18,Ga. Southern,0,12,17,4,2,91,Defensive
2013-14,Ga. Southern,11,11,3,nan,nan,nan,Offense
2013-14,Ga. Southern,0,11,13,1,1,36,Defensive
2014-15,Ga. Southern,12,12,12,nan,nan,nan,Offense
2014-15,Ga. Southern,0,12,12,nan,nan,nan,Defensive
2015-16,Ga. Southern,13,13,11,3,2,136,Offense
2015-16,Ga. Southern,0,13,13,3,3,154,Defensive
2016-17,Ga. Southern,12,12,10,1,1,90,Offense
2016-17,Ga. Southern,0,12,11,4,nan,55,Defensive
2017-18,Ga. Southern,12,12,6,2,1,34,Offense
2017-18,Ga. Southern,0,12,17,4,2,91,Defensive
2013-14,Indiana,12,12,14,3,nan,23,Offense
2013-14,Indiana,0,12,5,3,1,30,Defensive
2014-15,Indiana,12,12,5,1,nan,11,Offense
2014-15,Indiana,0,12,9,2,nan,5,Defensive
2015-16,Indiana,13,13,13,nan,nan,nan,Offense
2015-16,Indiana,0,13,11,3,1,49,Defensive
2016-17,Indiana,13,13,13,nan,nan,nan,Offense
2016-17,Indiana,0,13,15,2,2,84,Defensive
2017-18,Indiana,12,12,11,3,1,30,Offense
2017-18,Indiana,0,12,14,3,1,18,Defensive
2013-14,Indiana,12,12,14,3,nan,23,Offense
2013-14,Indiana,0,12,5,3,1,30,Defensive
2014-15,Indiana,12,12,5,1,nan,11,Offense
2014-15,Indiana,0,12,9,2,nan,5,Defensive
2015-16,Indiana,13,13,13,nan,nan,nan,Offense
2015-16,Indiana,0,13,11,3,1,49,Defensive
2016-17,Indiana,13,13,13,nan,nan,nan,Offense
2016-17,Indiana,0,13,15,2,2,84,Defensive
2017-18,Indiana,12,12,11,3,1,30,Offense
2017-18,Indiana,0,12,14,3,1,18,Defensive
2013-14,Indiana,12,12,14,3,nan,23,Offense
2013-14,Indiana,0,12,5,3,1,30,Defensive
2014-15,Indiana,12,12,5,1,nan,11,Offense
2014-15,Indiana,0,12,9,2,nan,5,Defensive
2015-16,Indiana,13,13,13,nan,nan,nan,Offense
2015-16,Indiana,0,13,11,3,1,49,Defensive
2016-17,Indiana,13,13,13,nan,nan,nan,Offense
2016-17,Indiana,0,13,15,2,2,84,Defensive
2017-18,Indiana,12,12,11,3,1,30,Offense
2017-18,Indiana,0,12,14,3,1,18,Defensive
2013-14,Illinois,12,12,10,1,nan,7,Offense
2013-14,Illinois,0,12,9,1,nan,nan,Defensive
2014-15,Illinois,13,13,12,6,1,56,Offense
2014-15,Illinois,0,13,10,2,2,147,Defensive
2015-16,Illinois,12,12,9,2,nan,25,Offense
2015-16,Illinois,0,12,7,nan,nan,nan,Defensive
2016-17,Illinois,12,12,14,2,nan,27,Offense
2016-17,Illinois,0,12,9,2,nan,41,Defensive
2017-18,Illinois,12,12,17,4,1,116,Offense
2017-18,Illinois,0,12,14,1,1,3,Defensive
2013-14,Illinois,12,12,10,1,nan,7,Offense
2013-14,Illinois,0,12,9,1,nan,nan,Defensive
2014-15,Illinois,13,13,12,6,1,56,Offense
2014-15,Illinois,0,13,10,2,2,147,Defensive
2015-16,Illinois,12,12,9,2,nan,25,Offense
2015-16,Illinois,0,12,7,nan,nan,nan,Defensive
2016-17,Illinois,12,12,14,2,nan,27,Offense
2016-17,Illinois,0,12,9,2,nan,41,Defensive
2017-18,Illinois,12,12,17,4,1,116,Offense
2017-18,Illinois,0,12,14,1,1,3,Defensive
2013-14,Illinois,12,12,10,1,nan,7,Offense
2013-14,Illinois,0,12,9,1,nan,nan,Defensive
2014-15,Illinois,13,13,12,6,1,56,Offense
2014-15,Illinois,0,13,10,2,2,147,Defensive
2015-16,Illinois,12,12,9,2,nan,25,Offense
2015-16,Illinois,0,12,7,nan,nan,nan,Defensive
2016-17,Illinois,12,12,14,2,nan,27,Offense
2016-17,Illinois,0,12,9,2,nan,41,Defensive
2017-18,Illinois,12,12,17,4,1,116,Offense
2017-18,Illinois,0,12,14,1,1,3,Defensive
2013-14,Illinois,12,12,10,1,nan,7,Offense
2013-14,Illinois,0,12,9,1,nan,nan,Defensive
2014-15,Illinois,13,13,12,6,1,56,Offense
2014-15,Illinois,0,13,10,2,2,147,Defensive
2015-16,Illinois,12,12,9,2,nan,25,Offense
2015-16,Illinois,0,12,7,nan,nan,nan,Defensive
2016-17,Illinois,12,12,14,2,nan,27,Offense
2016-17,Illinois,0,12,9,2,nan,41,Defensive
2017-18,Illinois,12,12,17,4,1,116,Offense
2017-18,Illinois,0,12,14,1,1,3,Defensive
2013-14,Idaho,12,12,7,nan,nan,nan,Offense
2013-14,Idaho,0,12,17,2,1,19,Defensive
2014-15,Idaho,11,11,9,nan,nan,nan,Offense
2014-15,Idaho,0,11,7,2,1,96,Defensive
2015-16,Idaho,12,12,12,2,1,15,Offense
2015-16,Idaho,0,12,8,2,1,63,Defensive
2016-17,Idaho,13,13,9,2,nan,58,Offense
2016-17,Idaho,0,13,10,2,2,12,Defensive
2017-18,Idaho,12,12,13,1,nan,5,Offense
2017-18,Idaho,0,12,13,1,nan,2,Defensive
2013-14,Idaho,12,12,7,nan,nan,nan,Offense
2013-14,Idaho,0,12,17,2,1,19,Defensive
2014-15,Idaho,11,11,9,nan,nan,nan,Offense
2014-15,Idaho,0,11,7,2,1,96,Defensive
2015-16,Idaho,12,12,12,2,1,15,Offense
2015-16,Idaho,0,12,8,2,1,63,Defensive
2016-17,Idaho,13,13,9,2,nan,58,Offense
2016-17,Idaho,0,13,10,2,2,12,Defensive
2017-18,Idaho,12,12,13,1,nan,5,Offense
2017-18,Idaho,0,12,13,1,nan,2,Defensive
2013-14,Idaho,12,12,7,nan,nan,nan,Offense
2013-14,Idaho,0,12,17,2,1,19,Defensive
2014-15,Idaho,11,11,9,nan,nan,nan,Offense
2014-15,Idaho,0,11,7,2,1,96,Defensive
2015-16,Idaho,12,12,12,2,1,15,Offense
2015-16,Idaho,0,12,8,2,1,63,Defensive
2016-17,Idaho,13,13,9,2,nan,58,Offense
2016-17,Idaho,0,13,10,2,2,12,Defensive
2017-18,Idaho,12,12,13,1,nan,5,Offense
2017-18,Idaho,0,12,13,1,nan,2,Defensive
2013-14,Idaho,12,12,7,nan,nan,nan,Offense
2013-14,Idaho,0,12,17,2,1,19,Defensive
2014-15,Idaho,11,11,9,nan,nan,nan,Offense
2014-15,Idaho,0,11,7,2,1,96,Defensive
2015-16,Idaho,12,12,12,2,1,15,Offense
2015-16,Idaho,0,12,8,2,1,63,Defensive
2016-17,Idaho,13,13,9,2,nan,58,Offense
2016-17,Idaho,0,13,10,2,2,12,Defensive
2017-18,Idaho,12,12,13,1,nan,5,Offense
2017-18,Idaho,0,12,13,1,nan,2,Defensive
2013-14,Houston,13,13,17,3,2,85,Offense
2013-14,Houston,0,13,9,1,1,7,Defensive
2014-15,Houston,13,13,15,1,2,28,Offense
2014-15,Houston,0,13,6,nan,nan,nan,Defensive
2015-16,Houston,14,14,11,3,1,106,Offense
2015-16,Houston,0,14,13,nan,nan,nan,Defensive
2016-17,Houston,13,13,13,3,3,37,Offense
2016-17,Houston,0,13,11,1,nan,53,Defensive
2017-18,Houston,11,11,7,1,nan,6,Offense
2017-18,Houston,0,11,12,3,1,3,Defensive
2013-14,Houston,13,13,17,3,2,85,Offense
2013-14,Houston,0,13,9,1,1,7,Defensive
2014-15,Houston,13,13,15,1,2,28,Offense
2014-15,Houston,0,13,6,nan,nan,nan,Defensive
2015-16,Houston,14,14,11,3,1,106,Offense
2015-16,Houston,0,14,13,nan,nan,nan,Defensive
2016-17,Houston,13,13,13,3,3,37,Offense
2016-17,Houston,0,13,11,1,nan,53,Defensive
2017-18,Houston,11,11,7,1,nan,6,Offense
2017-18,Houston,0,11,12,3,1,3,Defensive
2013-14,Houston,13,13,17,3,2,85,Offense
2013-14,Houston,0,13,9,1,1,7,Defensive
2014-15,Houston,13,13,15,1,2,28,Offense
2014-15,Houston,0,13,6,nan,nan,nan,Defensive
2015-16,Houston,14,14,11,3,1,106,Offense
2015-16,Houston,0,14,13,nan,nan,nan,Defensive
2016-17,Houston,13,13,13,3,3,37,Offense
2016-17,Houston,0,13,11,1,nan,53,Defensive
2017-18,Houston,11,11,7,1,nan,6,Offense
2017-18,Houston,0,11,12,3,1,3,Defensive
2013-14,Houston,13,13,17,3,2,85,Offense
2013-14,Houston,0,13,9,1,1,7,Defensive
2014-15,Houston,13,13,15,1,2,28,Offense
2014-15,Houston,0,13,6,nan,nan,nan,Defensive
2015-16,Houston,14,14,11,3,1,106,Offense
2015-16,Houston,0,14,13,nan,nan,nan,Defensive
2016-17,Houston,13,13,13,3,3,37,Offense
2016-17,Houston,0,13,11,1,nan,53,Defensive
2017-18,Houston,11,11,7,1,nan,6,Offense
2017-18,Houston,0,11,12,3,1,3,Defensive
2013-14,Hawaii,12,12,14,2,nan,-11,Offense
2013-14,Hawaii,0,12,12,5,2,121,Defensive
2014-15,Hawaii,13,13,10,nan,1,nan,Offense
2014-15,Hawaii,0,13,12,3,2,88,Defensive
2015-16,Hawaii,13,13,10,nan,nan,nan,Offense
2015-16,Hawaii,0,13,14,2,2,21,Defensive
2016-17,Hawaii,14,14,7,2,nan,20,Offense
2016-17,Hawaii,0,14,15,3,2,78,Defensive
2017-18,Hawaii,12,12,9,4,2,66,Offense
2017-18,Hawaii,0,12,10,1,nan,8,Defensive
2013-14,Hawaii,12,12,14,2,nan,-11,Offense
2013-14,Hawaii,0,12,12,5,2,121,Defensive
2014-15,Hawaii,13,13,10,nan,1,nan,Offense
2014-15,Hawaii,0,13,12,3,2,88,Defensive
2015-16,Hawaii,13,13,10,nan,nan,nan,Offense
2015-16,Hawaii,0,13,14,2,2,21,Defensive
2016-17,Hawaii,14,14,7,2,nan,20,Offense
2016-17,Hawaii,0,14,15,3,2,78,Defensive
2017-18,Hawaii,12,12,9,4,2,66,Offense
2017-18,Hawaii,0,12,10,1,nan,8,Defensive
2013-14,Kansas St.,13,13,13,nan,1,nan,Offense
2013-14,Kansas St.,0,13,14,1,nan,nan,Defensive
2014-15,Kansas St.,13,13,9,2,nan,34,Offense
2014-15,Kansas St.,0,13,5,1,nan,6,Defensive
2015-16,Kansas St.,13,13,13,1,nan,9,Offense
2015-16,Kansas St.,0,13,8,1,nan,1,Defensive
2016-17,Kansas St.,13,13,12,3,nan,62,Offense
2016-17,Kansas St.,0,13,7,nan,nan,nan,Defensive
2017-18,Kansas St.,12,12,12,2,1,68,Offense
2017-18,Kansas St.,0,12,8,nan,nan,nan,Defensive
2013-14,Kansas St.,13,13,13,nan,1,nan,Offense
2013-14,Kansas St.,0,13,14,1,nan,nan,Defensive
2014-15,Kansas St.,13,13,9,2,nan,34,Offense
2014-15,Kansas St.,0,13,5,1,nan,6,Defensive
2015-16,Kansas St.,13,13,13,1,nan,9,Offense
2015-16,Kansas St.,0,13,8,1,nan,1,Defensive
2016-17,Kansas St.,13,13,12,3,nan,62,Offense
2016-17,Kansas St.,0,13,7,nan,nan,nan,Defensive
2017-18,Kansas St.,12,12,12,2,1,68,Offense
2017-18,Kansas St.,0,12,8,nan,nan,nan,Defensive
2013-14,Kansas St.,13,13,13,nan,1,nan,Offense
2013-14,Kansas St.,0,13,14,1,nan,nan,Defensive
2014-15,Kansas St.,13,13,9,2,nan,34,Offense
2014-15,Kansas St.,0,13,5,1,nan,6,Defensive
2015-16,Kansas St.,13,13,13,1,nan,9,Offense
2015-16,Kansas St.,0,13,8,1,nan,1,Defensive
2016-17,Kansas St.,13,13,12,3,nan,62,Offense
2016-17,Kansas St.,0,13,7,nan,nan,nan,Defensive
2017-18,Kansas St.,12,12,12,2,1,68,Offense
2017-18,Kansas St.,0,12,8,nan,nan,nan,Defensive
2013-14,Kansas St.,13,13,13,nan,1,nan,Offense
2013-14,Kansas St.,0,13,14,1,nan,nan,Defensive
2014-15,Kansas St.,13,13,9,2,nan,34,Offense
2014-15,Kansas St.,0,13,5,1,nan,6,Defensive
2015-16,Kansas St.,13,13,13,1,nan,9,Offense
2015-16,Kansas St.,0,13,8,1,nan,1,Defensive
2016-17,Kansas St.,13,13,12,3,nan,62,Offense
2016-17,Kansas St.,0,13,7,nan,nan,nan,Defensive
2017-18,Kansas St.,12,12,12,2,1,68,Offense
2017-18,Kansas St.,0,12,8,nan,nan,nan,Defensive
2013-14,Kansas,12,12,11,1,nan,nan,Offense
2013-14,Kansas,0,12,15,3,1,64,Defensive
2014-15,Kansas,12,12,18,2,1,81,Offense
2014-15,Kansas,0,12,11,1,nan,8,Defensive
2015-16,Kansas,12,12,8,5,nan,84,Offense
2015-16,Kansas,0,12,17,1,1,30,Defensive
2016-17,Kansas,12,12,14,2,nan,13,Offense
2016-17,Kansas,0,12,10,2,nan,54,Defensive
2017-18,Kansas,12,12,9,1,nan,8,Offense
2017-18,Kansas,0,12,11,1,1,20,Defensive
2013-14,Kansas,12,12,11,1,nan,nan,Offense
2013-14,Kansas,0,12,15,3,1,64,Defensive
2014-15,Kansas,12,12,18,2,1,81,Offense
2014-15,Kansas,0,12,11,1,nan,8,Defensive
2015-16,Kansas,12,12,8,5,nan,84,Offense
2015-16,Kansas,0,12,17,1,1,30,Defensive
2016-17,Kansas,12,12,14,2,nan,13,Offense
2016-17,Kansas,0,12,10,2,nan,54,Defensive
2017-18,Kansas,12,12,9,1,nan,8,Offense
2017-18,Kansas,0,12,11,1,1,20,Defensive
2013-14,Kansas,12,12,11,1,nan,nan,Offense
2013-14,Kansas,0,12,15,3,1,64,Defensive
2014-15,Kansas,12,12,18,2,1,81,Offense
2014-15,Kansas,0,12,11,1,nan,8,Defensive
2015-16,Kansas,12,12,8,5,nan,84,Offense
2015-16,Kansas,0,12,17,1,1,30,Defensive
2016-17,Kansas,12,12,14,2,nan,13,Offense
2016-17,Kansas,0,12,10,2,nan,54,Defensive
2017-18,Kansas,12,12,9,1,nan,8,Offense
2017-18,Kansas,0,12,11,1,1,20,Defensive
2013-14,Kansas,12,12,11,1,nan,nan,Offense
2013-14,Kansas,0,12,15,3,1,64,Defensive
2014-15,Kansas,12,12,18,2,1,81,Offense
2014-15,Kansas,0,12,11,1,nan,8,Defensive
2015-16,Kansas,12,12,8,5,nan,84,Offense
2015-16,Kansas,0,12,17,1,1,30,Defensive
2016-17,Kansas,12,12,14,2,nan,13,Offense
2016-17,Kansas,0,12,10,2,nan,54,Defensive
2017-18,Kansas,12,12,9,1,nan,8,Offense
2017-18,Kansas,0,12,11,1,1,20,Defensive
2013-14,Iowa St.,12,12,13,nan,nan,nan,Offense
2013-14,Iowa St.,0,12,13,2,2,92,Defensive
2014-15,Iowa St.,12,12,5,1,1,51,Offense
2014-15,Iowa St.,0,12,11,nan,nan,nan,Defensive
2015-16,Iowa St.,12,12,13,nan,nan,-1,Offense
2015-16,Iowa St.,0,12,18,nan,nan,nan,Defensive
2016-17,Iowa St.,12,12,6,nan,nan,nan,Offense
2016-17,Iowa St.,0,12,9,1,nan,16,Defensive
2017-18,Iowa St.,12,12,9,nan,nan,nan,Offense
2017-18,Iowa St.,0,12,4,nan,nan,nan,Defensive
2013-14,Iowa St.,12,12,13,nan,nan,nan,Offense
2013-14,Iowa St.,0,12,13,2,2,92,Defensive
2014-15,Iowa St.,12,12,5,1,1,51,Offense
2014-15,Iowa St.,0,12,11,nan,nan,nan,Defensive
2015-16,Iowa St.,12,12,13,nan,nan,-1,Offense
2015-16,Iowa St.,0,12,18,nan,nan,nan,Defensive
2016-17,Iowa St.,12,12,6,nan,nan,nan,Offense
2016-17,Iowa St.,0,12,9,1,nan,16,Defensive
2017-18,Iowa St.,12,12,9,nan,nan,nan,Offense
2017-18,Iowa St.,0,12,4,nan,nan,nan,Defensive
2013-14,Iowa St.,12,12,13,nan,nan,nan,Offense
2013-14,Iowa St.,0,12,13,2,2,92,Defensive
2014-15,Iowa St.,12,12,5,1,1,51,Offense
