Year,Team,GP,G,KO,KOYds,KOTB,KORet,KickRetTDs,KORetYds,OffenseDefense
2015-16,Alabama,15,15,101,6379,55,37,1,803,Offense
2015-16,Alabama,0,15,57,3475,17,41,nan,779,Defensive
2016-17,Alabama,15,15,110,6930,52,28,nan,547,Offense
2016-17,Alabama,0,15,49,2916,13,57,nan,1212,Defensive
2017-18,Alabama,12,12,89,5614,42,15,nan,348,Offense
2017-18,Alabama,0,12,34,2160,19,45,nan,868,Defensive
2013-14,Akron,12,12,,2989,14,44,nan,817,Offense
2013-14,Akron,0,12,,3604,17,39,nan,716,Defensive
2014-15,Akron,12,12,,3278,10,32,nan,626,Offense
2014-15,Akron,0,12,,3548,25,43,nan,828,Defensive
2015-16,Akron,13,13,,3753,16,34,nan,565,Offense
2015-16,Akron,0,13,,3289,21,44,nan,794,Defensive
2016-17,Akron,12,12,,3693,8,45,nan,814,Offense
2016-17,Akron,0,12,,4407,25,56,nan,1185,Defensive
2017-18,Akron,13,13,,3362,11,33,nan,602,Offense
2017-18,Akron,0,13,,4328,36,45,nan,898,Defensive
2013-14,Akron,12,12,,2989,14,44,nan,817,Offense
2013-14,Akron,0,12,,3604,17,39,nan,716,Defensive
2014-15,Akron,12,12,,3278,10,32,nan,626,Offense
2014-15,Akron,0,12,,3548,25,43,nan,828,Defensive
2015-16,Akron,13,13,,3753,16,34,nan,565,Offense
2015-16,Akron,0,13,,3289,21,44,nan,794,Defensive
2016-17,Akron,12,12,,3693,8,45,nan,814,Offense
2016-17,Akron,0,12,,4407,25,56,nan,1185,Defensive
2017-18,Akron,13,13,,3362,11,33,nan,602,Offense
2017-18,Akron,0,13,,4328,36,45,nan,898,Defensive
2013-14,Akron,12,12,53,2989,14,44,nan,817,Offense
2013-14,Akron,0,12,63,3604,17,39,nan,716,Defensive
2014-15,Akron,12,12,57,3278,10,32,nan,626,Offense
2014-15,Akron,0,12,61,3548,25,43,nan,828,Defensive
2015-16,Akron,13,13,65,3753,16,34,nan,565,Offense
2015-16,Akron,0,13,56,3289,21,44,nan,794,Defensive
2016-17,Akron,12,12,65,3693,8,45,nan,814,Offense
2016-17,Akron,0,12,76,4407,25,56,nan,1185,Defensive
2017-18,Akron,13,13,58,3362,11,33,nan,602,Offense
2017-18,Akron,0,13,71,4328,36,45,nan,898,Defensive
2013-14,Air Force,12,12,,3639,36,28,nan,657,Offense
2013-14,Air Force,0,12,,5248,54,22,nan,422,Defensive
2014-15,Air Force,13,13,,4873,39,34,nan,709,Offense
2014-15,Air Force,0,13,,3752,26,36,nan,745,Defensive
2015-16,Air Force,14,14,,5392,49,32,nan,669,Offense
2015-16,Air Force,0,14,,4376,39,34,1,825,Defensive
2016-17,Air Force,13,13,,5373,45,20,1,508,Offense
2016-17,Air Force,0,13,,3753,38,39,nan,813,Defensive
2017-18,Air Force,12,12,,4082,34,26,nan,454,Offense
2017-18,Air Force,0,12,,4693,46,30,nan,529,Defensive
2013-14,Air Force,12,12,,3639,36,28,nan,657,Offense
2013-14,Air Force,0,12,,5248,54,22,nan,422,Defensive
2014-15,Air Force,13,13,,4873,39,34,nan,709,Offense
2014-15,Air Force,0,13,,3752,26,36,nan,745,Defensive
2015-16,Air Force,14,14,,5392,49,32,nan,669,Offense
2015-16,Air Force,0,14,,4376,39,34,1,825,Defensive
2016-17,Air Force,13,13,,5373,45,20,1,508,Offense
2016-17,Air Force,0,13,,3753,38,39,nan,813,Defensive
2017-18,Air Force,12,12,,4082,34,26,nan,454,Offense
2017-18,Air Force,0,12,,4693,46,30,nan,529,Defensive
2013-14,Air Force,12,12,58,3639,36,28,nan,657,Offense
2013-14,Air Force,0,12,82,5248,54,22,nan,422,Defensive
2014-15,Air Force,13,13,78,4873,39,34,nan,709,Offense
2014-15,Air Force,0,13,63,3752,26,36,nan,745,Defensive
2015-16,Air Force,14,14,86,5392,49,32,nan,669,Offense
2015-16,Air Force,0,14,72,4376,39,34,1,825,Defensive
2016-17,Air Force,13,13,88,5373,45,20,1,508,Offense
2016-17,Air Force,0,13,62,3753,38,39,nan,813,Defensive
2017-18,Air Force,12,12,67,4082,34,26,nan,454,Offense
2017-18,Air Force,0,12,75,4693,46,30,nan,529,Defensive
2013-14,Air Force,12,12,58,3639,36,28,nan,657,Offense
2013-14,Air Force,0,12,82,5248,54,22,nan,422,Defensive
2014-15,Air Force,13,13,78,4873,39,34,nan,709,Offense
2014-15,Air Force,0,13,63,3752,26,36,nan,745,Defensive
