Year,Team,GP,G,KO,KOYds,KOTB,KORet,KickRetTDs,KORetYds,OffenseDefense
2014-15,Georgia,0,13,,2791,14,64,nan,1232,Defensive
2015-16,Georgia,13,13,,4367,23,32,nan,578,Offense
2015-16,Georgia,0,13,,2963,15,45,nan,954,Defensive
2016-17,Georgia,13,13,,4140,24,29,1,585,Offense
2016-17,Georgia,0,13,,3796,33,42,1,1001,Defensive
2017-18,Georgia,13,13,,5387,60,21,nan,517,Offense
2017-18,Georgia,0,13,,2756,20,24,nan,480,Defensive
2013-14,Ga. Southern,11,11,67,3956,24,32,nan,509,Offense
2013-14,Ga. Southern,0,11,55,3167,22,40,nan,832,Defensive
2014-15,Ga. Southern,12,12,86,5358,32,33,nan,786,Offense
2014-15,Ga. Southern,0,12,52,3144,15,48,nan,1029,Defensive
2015-16,Ga. Southern,13,13,89,5507,53,41,nan,1012,Offense
2015-16,Ga. Southern,0,13,64,4006,23,36,nan,525,Defensive
2016-17,Ga. Southern,12,12,66,4252,45,51,nan,1026,Offense
2016-17,Ga. Southern,0,12,66,3979,12,18,1,388,Defensive
2017-18,Ga. Southern,12,12,54,3457,46,49,1,1050,Offense
2017-18,Ga. Southern,0,12,72,4186,19,7,nan,146,Defensive
2013-14,Ga. Southern,11,11,,3956,24,32,nan,509,Offense
2013-14,Ga. Southern,0,11,,3167,22,40,nan,832,Defensive
2014-15,Ga. Southern,12,12,,5358,32,33,nan,786,Offense
2014-15,Ga. Southern,0,12,,3144,15,48,nan,1029,Defensive
2015-16,Ga. Southern,13,13,,5507,53,41,nan,1012,Offense
2015-16,Ga. Southern,0,13,,4006,23,36,nan,525,Defensive
2016-17,Ga. Southern,12,12,,4252,45,51,nan,1026,Offense
2016-17,Ga. Southern,0,12,,3979,12,18,1,388,Defensive
2017-18,Ga. Southern,12,12,,3457,46,49,1,1050,Offense
2017-18,Ga. Southern,0,12,,4186,19,7,nan,146,Defensive
2013-14,Ga. Southern,11,11,67,3956,24,32,nan,509,Offense
2013-14,Ga. Southern,0,11,55,3167,22,40,nan,832,Defensive
2014-15,Ga. Southern,12,12,86,5358,32,33,nan,786,Offense
2014-15,Ga. Southern,0,12,52,3144,15,48,nan,1029,Defensive
2015-16,Ga. Southern,13,13,89,5507,53,41,nan,1012,Offense
2015-16,Ga. Southern,0,13,64,4006,23,36,nan,525,Defensive
2016-17,Ga. Southern,12,12,66,4252,45,51,nan,1026,Offense
2016-17,Ga. Southern,0,12,66,3979,12,18,1,388,Defensive
2017-18,Ga. Southern,12,12,54,3457,46,49,1,1050,Offense
2017-18,Ga. Southern,0,12,72,4186,19,7,nan,146,Defensive
2013-14,Ga. Southern,11,11,,3956,24,32,nan,509,Offense
2013-14,Ga. Southern,0,11,,3167,22,40,nan,832,Defensive
2014-15,Ga. Southern,12,12,,5358,32,33,nan,786,Offense
2014-15,Ga. Southern,0,12,,3144,15,48,nan,1029,Defensive
2015-16,Ga. Southern,13,13,,5507,53,41,nan,1012,Offense
2015-16,Ga. Southern,0,13,,4006,23,36,nan,525,Defensive
2016-17,Ga. Southern,12,12,,4252,45,51,nan,1026,Offense
2016-17,Ga. Southern,0,12,,3979,12,18,1,388,Defensive
2017-18,Ga. Southern,12,12,,3457,46,49,1,1050,Offense
2017-18,Ga. Southern,0,12,,4186,19,7,nan,146,Defensive
2013-14,Indiana,12,12,77,4866,38,50,nan,1052,Offense
2013-14,Indiana,0,12,83,5061,32,36,nan,636,Defensive
2014-15,Indiana,12,12,57,3493,27,48,nan,903,Offense
2014-15,Indiana,0,12,79,4678,27,24,nan,550,Defensive
2015-16,Indiana,13,13,91,5720,52,51,nan,979,Offense
2015-16,Indiana,0,13,81,4966,27,37,1,878,Defensive
2016-17,Indiana,13,13,69,4140,29,52,nan,1008,Offense
2016-17,Indiana,0,13,76,4465,19,35,nan,688,Defensive
2017-18,Indiana,12,12,62,3843,32,33,nan,623,Offense
2017-18,Indiana,0,12,61,3830,26,26,1,647,Defensive
2013-14,Indiana,12,12,,4866,38,50,nan,1052,Offense
2013-14,Indiana,0,12,,5061,32,36,nan,636,Defensive
2014-15,Indiana,12,12,,3493,27,48,nan,903,Offense
2014-15,Indiana,0,12,,4678,27,24,nan,550,Defensive
2015-16,Indiana,13,13,,5720,52,51,nan,979,Offense
2015-16,Indiana,0,13,,4966,27,37,1,878,Defensive
2016-17,Indiana,13,13,,4140,29,52,nan,1008,Offense
2016-17,Indiana,0,13,,4465,19,35,nan,688,Defensive
2017-18,Indiana,12,12,,3843,32,33,nan,623,Offense
2017-18,Indiana,0,12,,3830,26,26,1,647,Defensive
2013-14,Indiana,12,12,,4866,38,50,nan,1052,Offense
2013-14,Indiana,0,12,,5061,32,36,nan,636,Defensive
2014-15,Indiana,12,12,,3493,27,48,nan,903,Offense
2014-15,Indiana,0,12,,4678,27,24,nan,550,Defensive
2015-16,Indiana,13,13,,5720,52,51,nan,979,Offense
2015-16,Indiana,0,13,,4966,27,37,1,878,Defensive
2016-17,Indiana,13,13,,4140,29,52,nan,1008,Offense
2016-17,Indiana,0,13,,4465,19,35,nan,688,Defensive
2017-18,Indiana,12,12,,3843,32,33,nan,623,Offense
2017-18,Indiana,0,12,,3830,26,26,1,647,Defensive
2013-14,Illinois,12,12,66,4134,35,52,1,1015,Offense
2013-14,Illinois,0,12,79,4692,23,29,nan,719,Defensive
2014-15,Illinois,13,13,65,3967,34,40,nan,778,Offense
2014-15,Illinois,0,13,80,4702,36,27,1,629,Defensive
2015-16,Illinois,12,12,60,3590,21,31,nan,614,Offense
2015-16,Illinois,0,12,60,3637,22,36,nan,723,Defensive
2016-17,Illinois,12,12,51,3164,20,40,nan,754,Offense
2016-17,Illinois,0,12,76,4566,33,28,nan,676,Defensive
2017-18,Illinois,12,12,42,2663,31,36,nan,693,Offense
2017-18,Illinois,0,12,68,4210,30,11,nan,212,Defensive
2013-14,Illinois,12,12,,4134,35,52,1,1015,Offense
2013-14,Illinois,0,12,,4692,23,29,nan,719,Defensive
2014-15,Illinois,13,13,,3967,34,40,nan,778,Offense
2014-15,Illinois,0,13,,4702,36,27,1,629,Defensive
2015-16,Illinois,12,12,,3590,21,31,nan,614,Offense
2015-16,Illinois,0,12,,3637,22,36,nan,723,Defensive
2016-17,Illinois,12,12,,3164,20,40,nan,754,Offense
2016-17,Illinois,0,12,,4566,33,28,nan,676,Defensive
2017-18,Illinois,12,12,,2663,31,36,nan,693,Offense
2017-18,Illinois,0,12,,4210,30,11,nan,212,Defensive
2013-14,Illinois,12,12,66,4134,35,52,1,1015,Offense
2013-14,Illinois,0,12,79,4692,23,29,nan,719,Defensive
2014-15,Illinois,13,13,65,3967,34,40,nan,778,Offense
2014-15,Illinois,0,13,80,4702,36,27,1,629,Defensive
2015-16,Illinois,12,12,60,3590,21,31,nan,614,Offense
2015-16,Illinois,0,12,60,3637,22,36,nan,723,Defensive
2016-17,Illinois,12,12,51,3164,20,40,nan,754,Offense
2016-17,Illinois,0,12,76,4566,33,28,nan,676,Defensive
2017-18,Illinois,12,12,42,2663,31,36,nan,693,Offense
2017-18,Illinois,0,12,68,4210,30,11,nan,212,Defensive
2013-14,Illinois,12,12,,4134,35,52,1,1015,Offense
2013-14,Illinois,0,12,,4692,23,29,nan,719,Defensive
2014-15,Illinois,13,13,,3967,34,40,nan,778,Offense
2014-15,Illinois,0,13,,4702,36,27,1,629,Defensive
2015-16,Illinois,12,12,,3590,21,31,nan,614,Offense
2015-16,Illinois,0,12,,3637,22,36,nan,723,Defensive
2016-17,Illinois,12,12,,3164,20,40,nan,754,Offense
2016-17,Illinois,0,12,,4566,33,28,nan,676,Defensive
2017-18,Illinois,12,12,,2663,31,36,nan,693,Offense
2017-18,Illinois,0,12,,4210,30,11,nan,212,Defensive
2013-14,Idaho,12,12,46,2814,16,48,nan,991,Offense
2013-14,Idaho,0,12,96,5982,45,26,1,797,Defensive
2014-15,Idaho,11,11,54,3207,14,47,nan,1016,Offense
2014-15,Idaho,0,11,77,4638,29,38,nan,813,Defensive
2015-16,Idaho,12,12,74,4571,41,42,nan,746,Offense
2015-16,Idaho,0,12,90,5626,46,27,2,722,Defensive
2016-17,Idaho,13,13,81,4837,26,50,nan,922,Offense
2016-17,Idaho,0,13,74,4513,23,50,nan,876,Defensive
2017-18,Idaho,12,12,52,3153,26,32,nan,529,Offense
2017-18,Idaho,0,12,66,4034,27,24,nan,492,Defensive
2013-14,Idaho,12,12,,2814,16,48,nan,991,Offense
2013-14,Idaho,0,12,,5982,45,26,1,797,Defensive
2014-15,Idaho,11,11,,3207,14,47,nan,1016,Offense
2014-15,Idaho,0,11,,4638,29,38,nan,813,Defensive
2015-16,Idaho,12,12,,4571,41,42,nan,746,Offense
2015-16,Idaho,0,12,,5626,46,27,2,722,Defensive
2016-17,Idaho,13,13,,4837,26,50,nan,922,Offense
2016-17,Idaho,0,13,,4513,23,50,nan,876,Defensive
2017-18,Idaho,12,12,,3153,26,32,nan,529,Offense
2017-18,Idaho,0,12,,4034,27,24,nan,492,Defensive
2013-14,Idaho,12,12,46,2814,16,48,nan,991,Offense
2013-14,Idaho,0,12,96,5982,45,26,1,797,Defensive
2014-15,Idaho,11,11,54,3207,14,47,nan,1016,Offense
2014-15,Idaho,0,11,77,4638,29,38,nan,813,Defensive
2015-16,Idaho,12,12,74,4571,41,42,nan,746,Offense
2015-16,Idaho,0,12,90,5626,46,27,2,722,Defensive
2016-17,Idaho,13,13,81,4837,26,50,nan,922,Offense
2016-17,Idaho,0,13,74,4513,23,50,nan,876,Defensive
2017-18,Idaho,12,12,52,3153,26,32,nan,529,Offense
2017-18,Idaho,0,12,66,4034,27,24,nan,492,Defensive
2013-14,Idaho,12,12,,2814,16,48,nan,991,Offense
2013-14,Idaho,0,12,,5982,45,26,1,797,Defensive
2014-15,Idaho,11,11,,3207,14,47,nan,1016,Offense
2014-15,Idaho,0,11,,4638,29,38,nan,813,Defensive
2015-16,Idaho,12,12,,4571,41,42,nan,746,Offense
2015-16,Idaho,0,12,,5626,46,27,2,722,Defensive
2016-17,Idaho,13,13,,4837,26,50,nan,922,Offense
2016-17,Idaho,0,13,,4513,23,50,nan,876,Defensive
2017-18,Idaho,12,12,,3153,26,32,nan,529,Offense
2017-18,Idaho,0,12,,4034,27,24,nan,492,Defensive
2013-14,Houston,13,13,84,5318,38,47,1,1187,Offense
2013-14,Houston,0,13,62,3783,14,42,nan,903,Defensive
2014-15,Houston,13,13,75,4620,21,44,nan,728,Offense
2014-15,Houston,0,13,56,3334,10,52,nan,1117,Defensive
2015-16,Houston,14,14,100,6265,30,33,2,777,Offense
2015-16,Houston,0,14,62,3676,26,68,nan,1389,Defensive
2016-17,Houston,13,13,84,5281,37,37,1,783,Offense
2016-17,Houston,0,13,60,3633,23,43,nan,991,Defensive
2017-18,Houston,11,11,60,3618,25,28,nan,675,Offense
2017-18,Houston,0,11,57,3597,29,32,1,683,Defensive
2013-14,Houston,13,13,,5318,38,47,1,1187,Offense
2013-14,Houston,0,13,,3783,14,42,nan,903,Defensive
2014-15,Houston,13,13,,4620,21,44,nan,728,Offense
2014-15,Houston,0,13,,3334,10,52,nan,1117,Defensive
2015-16,Houston,14,14,,6265,30,33,2,777,Offense
2015-16,Houston,0,14,,3676,26,68,nan,1389,Defensive
2016-17,Houston,13,13,,5281,37,37,1,783,Offense
2016-17,Houston,0,13,,3633,23,43,nan,991,Defensive
2017-18,Houston,11,11,,3618,25,28,nan,675,Offense
2017-18,Houston,0,11,,3597,29,32,1,683,Defensive
2013-14,Houston,13,13,,5318,38,47,1,1187,Offense
2013-14,Houston,0,13,,3783,14,42,nan,903,Defensive
2014-15,Houston,13,13,,4620,21,44,nan,728,Offense
2014-15,Houston,0,13,,3334,10,52,nan,1117,Defensive
2015-16,Houston,14,14,,6265,30,33,2,777,Offense
2015-16,Houston,0,14,,3676,26,68,nan,1389,Defensive
2016-17,Houston,13,13,,5281,37,37,1,783,Offense
2016-17,Houston,0,13,,3633,23,43,nan,991,Defensive
2017-18,Houston,11,11,,3618,25,28,nan,675,Offense
2017-18,Houston,0,11,,3597,29,32,1,683,Defensive
2013-14,Houston,13,13,84,5318,38,47,1,1187,Offense
2013-14,Houston,0,13,62,3783,14,42,nan,903,Defensive
2014-15,Houston,13,13,75,4620,21,44,nan,728,Offense
2014-15,Houston,0,13,56,3334,10,52,nan,1117,Defensive
2015-16,Houston,14,14,100,6265,30,33,2,777,Offense
2015-16,Houston,0,14,62,3676,26,68,nan,1389,Defensive
2016-17,Houston,13,13,84,5281,37,37,1,783,Offense
2016-17,Houston,0,13,60,3633,23,43,nan,991,Defensive
2017-18,Houston,11,11,60,3618,25,28,nan,675,Offense
2017-18,Houston,0,11,57,3597,29,32,1,683,Defensive
2013-14,Hawaii,12,12,,3940,26,53,nan,1111,Offense
2013-14,Hawaii,0,12,,4956,26,34,nan,749,Defensive
2014-15,Hawaii,13,13,,3596,27,41,nan,789,Offense
2014-15,Hawaii,0,13,,4083,25,28,nan,770,Defensive
2015-16,Hawaii,13,13,,2942,21,53,1,1130,Offense
2015-16,Hawaii,0,13,,5386,27,25,1,667,Defensive
2016-17,Hawaii,14,14,,4489,25,64,nan,1403,Offense
2016-17,Hawaii,0,14,,6196,30,44,nan,891,Defensive
2017-18,Hawaii,12,12,,2885,2,41,nan,812,Offense
2017-18,Hawaii,0,12,,4537,29,47,2,957,Defensive
2013-14,Hawaii,12,12,,3940,26,53,nan,1111,Offense
2013-14,Hawaii,0,12,,4956,26,34,nan,749,Defensive
2014-15,Hawaii,13,13,,3596,27,41,nan,789,Offense
2014-15,Hawaii,0,13,,4083,25,28,nan,770,Defensive
2015-16,Hawaii,13,13,,2942,21,53,1,1130,Offense
2015-16,Hawaii,0,13,,5386,27,25,1,667,Defensive
2016-17,Hawaii,14,14,,4489,25,64,nan,1403,Offense
2016-17,Hawaii,0,14,,6196,30,44,nan,891,Defensive
2017-18,Hawaii,12,12,,2885,2,41,nan,812,Offense
2017-18,Hawaii,0,12,,4537,29,47,2,957,Defensive
2013-14,Kansas St.,13,13,83,4971,26,37,1,866,Offense
2013-14,Kansas St.,0,13,63,3704,22,54,1,1107,Defensive
2014-15,Kansas St.,13,13,92,5522,25,35,1,769,Offense
2014-15,Kansas St.,0,13,61,3563,21,60,nan,1078,Defensive
2015-16,Kansas St.,13,13,75,4365,15,50,4,1268,Offense
2015-16,Kansas St.,0,13,76,4327,24,56,nan,1011,Defensive
2016-17,Kansas St.,13,13,81,5027,35,38,1,991,Offense
2016-17,Kansas St.,0,13,56,3277,15,42,nan,773,Defensive
2017-18,Kansas St.,12,12,76,4664,42,42,2,1036,Offense
2017-18,Kansas St.,0,12,63,3599,20,33,nan,535,Defensive
2013-14,Kansas St.,13,13,83,4971,26,37,1,866,Offense
2013-14,Kansas St.,0,13,63,3704,22,54,1,1107,Defensive
2014-15,Kansas St.,13,13,92,5522,25,35,1,769,Offense
2014-15,Kansas St.,0,13,61,3563,21,60,nan,1078,Defensive
2015-16,Kansas St.,13,13,75,4365,15,50,4,1268,Offense
2015-16,Kansas St.,0,13,76,4327,24,56,nan,1011,Defensive
2016-17,Kansas St.,13,13,81,5027,35,38,1,991,Offense
2016-17,Kansas St.,0,13,56,3277,15,42,nan,773,Defensive
2017-18,Kansas St.,12,12,76,4664,42,42,2,1036,Offense
2017-18,Kansas St.,0,12,63,3599,20,33,nan,535,Defensive
2013-14,Kansas St.,13,13,,4971,26,37,1,866,Offense
2013-14,Kansas St.,0,13,,3704,22,54,1,1107,Defensive
2014-15,Kansas St.,13,13,,5522,25,35,1,769,Offense
2014-15,Kansas St.,0,13,,3563,21,60,nan,1078,Defensive
2015-16,Kansas St.,13,13,,4365,15,50,4,1268,Offense
2015-16,Kansas St.,0,13,,4327,24,56,nan,1011,Defensive
2016-17,Kansas St.,13,13,,5027,35,38,1,991,Offense
2016-17,Kansas St.,0,13,,3277,15,42,nan,773,Defensive
2017-18,Kansas St.,12,12,,4664,42,42,2,1036,Offense
2017-18,Kansas St.,0,12,,3599,20,33,nan,535,Defensive
2013-14,Kansas St.,13,13,,4971,26,37,1,866,Offense
2013-14,Kansas St.,0,13,,3704,22,54,1,1107,Defensive
2014-15,Kansas St.,13,13,,5522,25,35,1,769,Offense
2014-15,Kansas St.,0,13,,3563,21,60,nan,1078,Defensive
2015-16,Kansas St.,13,13,,4365,15,50,4,1268,Offense
2015-16,Kansas St.,0,13,,4327,24,56,nan,1011,Defensive
2016-17,Kansas St.,13,13,,5027,35,38,1,991,Offense
2016-17,Kansas St.,0,13,,3277,15,42,nan,773,Defensive
2017-18,Kansas St.,12,12,,4664,42,42,2,1036,Offense
2017-18,Kansas St.,0,12,,3599,20,33,nan,535,Defensive
2013-14,Kansas,12,12,,2655,22,44,nan,927,Offense
2013-14,Kansas,0,12,,4352,24,22,1,492,Defensive
2014-15,Kansas,12,12,,2619,13,44,nan,876,Offense
2014-15,Kansas,0,12,,4991,34,30,2,807,Defensive
2015-16,Kansas,12,12,,2620,20,54,1,1094,Offense
2015-16,Kansas,0,12,,6139,43,19,nan,384,Defensive
2016-17,Kansas,12,12,,3356,30,46,1,868,Offense
2016-17,Kansas,0,12,,5346,37,21,nan,432,Defensive
2017-18,Kansas,12,12,,2902,17,51,nan,1045,Offense
2017-18,Kansas,0,12,,5774,39,29,1,688,Defensive
2013-14,Kansas,12,12,44,2655,22,44,nan,927,Offense
2013-14,Kansas,0,12,72,4352,24,22,1,492,Defensive
2014-15,Kansas,12,12,48,2619,13,44,nan,876,Offense
2014-15,Kansas,0,12,80,4991,34,30,2,807,Defensive
2015-16,Kansas,12,12,43,2620,20,54,1,1094,Offense
2015-16,Kansas,0,12,100,6139,43,19,nan,384,Defensive
2016-17,Kansas,12,12,53,3356,30,46,1,868,Offense
2016-17,Kansas,0,12,87,5346,37,21,nan,432,Defensive
2017-18,Kansas,12,12,51,2902,17,51,nan,1045,Offense
2017-18,Kansas,0,12,96,5774,39,29,1,688,Defensive
2013-14,Kansas,12,12,44,2655,22,44,nan,927,Offense
2013-14,Kansas,0,12,72,4352,24,22,1,492,Defensive
2014-15,Kansas,12,12,48,2619,13,44,nan,876,Offense
2014-15,Kansas,0,12,80,4991,34,30,2,807,Defensive
2015-16,Kansas,12,12,43,2620,20,54,1,1094,Offense
2015-16,Kansas,0,12,100,6139,43,19,nan,384,Defensive
2016-17,Kansas,12,12,53,3356,30,46,1,868,Offense
2016-17,Kansas,0,12,87,5346,37,21,nan,432,Defensive
2017-18,Kansas,12,12,51,2902,17,51,nan,1045,Offense
2017-18,Kansas,0,12,96,5774,39,29,1,688,Defensive
2013-14,Kansas,12,12,,2655,22,44,nan,927,Offense
2013-14,Kansas,0,12,,4352,24,22,1,492,Defensive
2014-15,Kansas,12,12,,2619,13,44,nan,876,Offense
2014-15,Kansas,0,12,,4991,34,30,2,807,Defensive
2015-16,Kansas,12,12,,2620,20,54,1,1094,Offense
2015-16,Kansas,0,12,,6139,43,19,nan,384,Defensive
2016-17,Kansas,12,12,,3356,30,46,1,868,Offense
2016-17,Kansas,0,12,,5346,37,21,nan,432,Defensive
2017-18,Kansas,12,12,,2902,17,51,nan,1045,Offense
2017-18,Kansas,0,12,,5774,39,29,1,688,Defensive
2013-14,Iowa St.,12,12,55,3333,22,49,2,1085,Offense
2013-14,Iowa St.,0,12,78,4640,29,34,1,642,Defensive
2014-15,Iowa St.,12,12,56,3442,13,30,nan,619,Offense
2014-15,Iowa St.,0,12,86,5346,52,40,1,718,Defensive
2015-16,Iowa St.,12,12,59,3560,10,37,nan,690,Offense
2015-16,Iowa St.,0,12,73,4505,32,47,1,913,Defensive
2016-17,Iowa St.,12,12,67,4160,35,44,1,1017,Offense
2016-17,Iowa St.,0,12,72,4406,25,30,nan,629,Defensive
2017-18,Iowa St.,12,12,72,4547,41,26,nan,533,Offense
2017-18,Iowa St.,0,12,52,3258,23,28,1,662,Defensive
2013-14,Iowa St.,12,12,,3333,22,49,2,1085,Offense
2013-14,Iowa St.,0,12,,4640,29,34,1,642,Defensive
2014-15,Iowa St.,12,12,,3442,13,30,nan,619,Offense
2014-15,Iowa St.,0,12,,5346,52,40,1,718,Defensive
2015-16,Iowa St.,12,12,,3560,10,37,nan,690,Offense
2015-16,Iowa St.,0,12,,4505,32,47,1,913,Defensive
2016-17,Iowa St.,12,12,,4160,35,44,1,1017,Offense
2016-17,Iowa St.,0,12,,4406,25,30,nan,629,Defensive
2017-18,Iowa St.,12,12,,4547,41,26,nan,533,Offense
2017-18,Iowa St.,0,12,,3258,23,28,1,662,Defensive
2013-14,Iowa St.,12,12,55,3333,22,49,2,1085,Offense
2013-14,Iowa St.,0,12,78,4640,29,34,1,642,Defensive
2014-15,Iowa St.,12,12,56,3442,13,30,nan,619,Offense
2014-15,Iowa St.,0,12,86,5346,52,40,1,718,Defensive
2015-16,Iowa St.,12,12,59,3560,10,37,nan,690,Offense
2015-16,Iowa St.,0,12,73,4505,32,47,1,913,Defensive
2016-17,Iowa St.,12,12,67,4160,35,44,1,1017,Offense
2016-17,Iowa St.,0,12,72,4406,25,30,nan,629,Defensive
2017-18,Iowa St.,12,12,72,4547,41,26,nan,533,Offense
2017-18,Iowa St.,0,12,52,3258,23,28,1,662,Defensive
2013-14,Iowa St.,12,12,,3333,22,49,2,1085,Offense
2013-14,Iowa St.,0,12,,4640,29,34,1,642,Defensive
2014-15,Iowa St.,12,12,,3442,13,30,nan,619,Offense
2014-15,Iowa St.,0,12,,5346,52,40,1,718,Defensive
2015-16,Iowa St.,12,12,,3560,10,37,nan,690,Offense
2015-16,Iowa St.,0,12,,4505,32,47,1,913,Defensive
2016-17,Iowa St.,12,12,,4160,35,44,1,1017,Offense
2016-17,Iowa St.,0,12,,4406,25,30,nan,629,Defensive
2017-18,Iowa St.,12,12,,4547,41,26,nan,533,Offense
2017-18,Iowa St.,0,12,,3258,23,28,1,662,Defensive
2013-14,Iowa,13,13,69,4258,30,39,nan,857,Offense
2013-14,Iowa,0,13,52,3118,13,39,nan,908,Defensive
2014-15,Iowa,13,13,65,4018,43,42,nan,869,Offense
2014-15,Iowa,0,13,68,4165,22,23,nan,370,Defensive
2015-16,Iowa,14,14,83,5256,47,35,nan,797,Offense
2015-16,Iowa,0,14,62,3722,24,36,1,848,Defensive
2016-17,Iowa,13,13,64,3982,42,32,nan,831,Offense
2016-17,Iowa,0,13,51,3135,18,21,nan,428,Defensive
2017-18,Iowa,12,12,64,4057,32,29,nan,660,Offense
2017-18,Iowa,0,12,51,3158,19,32,nan,537,Defensive
2013-14,Iowa,13,13,,4258,30,39,nan,857,Offense
2013-14,Iowa,0,13,,3118,13,39,nan,908,Defensive
2014-15,Iowa,13,13,,4018,43,42,nan,869,Offense
2014-15,Iowa,0,13,,4165,22,23,nan,370,Defensive
2015-16,Iowa,14,14,,5256,47,35,nan,797,Offense
2015-16,Iowa,0,14,,3722,24,36,1,848,Defensive
2016-17,Iowa,13,13,,3982,42,32,nan,831,Offense
2016-17,Iowa,0,13,,3135,18,21,nan,428,Defensive
2017-18,Iowa,12,12,,4057,32,29,nan,660,Offense
2017-18,Iowa,0,12,,3158,19,32,nan,537,Defensive
2013-14,Iowa,13,13,69,4258,30,39,nan,857,Offense
2013-14,Iowa,0,13,52,3118,13,39,nan,908,Defensive
2014-15,Iowa,13,13,65,4018,43,42,nan,869,Offense
2014-15,Iowa,0,13,68,4165,22,23,nan,370,Defensive
2015-16,Iowa,14,14,83,5256,47,35,nan,797,Offense
2015-16,Iowa,0,14,62,3722,24,36,1,848,Defensive
2016-17,Iowa,13,13,64,3982,42,32,nan,831,Offense
2016-17,Iowa,0,13,51,3135,18,21,nan,428,Defensive
2017-18,Iowa,12,12,64,4057,32,29,nan,660,Offense
2017-18,Iowa,0,12,51,3158,19,32,nan,537,Defensive
2013-14,Iowa,13,13,,4258,30,39,nan,857,Offense
2013-14,Iowa,0,13,,3118,13,39,nan,908,Defensive
2014-15,Iowa,13,13,,4018,43,42,nan,869,Offense
2014-15,Iowa,0,13,,4165,22,23,nan,370,Defensive
2015-16,Iowa,14,14,,5256,47,35,nan,797,Offense
2015-16,Iowa,0,14,,3722,24,36,1,848,Defensive
2016-17,Iowa,13,13,,3982,42,32,nan,831,Offense
2016-17,Iowa,0,13,,3135,18,21,nan,428,Defensive
2017-18,Iowa,12,12,,4057,32,29,nan,660,Offense
2017-18,Iowa,0,12,,3158,19,32,nan,537,Defensive
2013-14,Indiana,12,12,77,4866,38,50,nan,1052,Offense
2013-14,Indiana,0,12,83,5061,32,36,nan,636,Defensive
2014-15,Indiana,12,12,57,3493,27,48,nan,903,Offense
2014-15,Indiana,0,12,79,4678,27,24,nan,550,Defensive
2015-16,Indiana,13,13,91,5720,52,51,nan,979,Offense
2015-16,Indiana,0,13,81,4966,27,37,1,878,Defensive
2016-17,Indiana,13,13,69,4140,29,52,nan,1008,Offense
2016-17,Indiana,0,13,76,4465,19,35,nan,688,Defensive
2017-18,Indiana,12,12,62,3843,32,33,nan,623,Offense
2017-18,Indiana,0,12,61,3830,26,26,1,647,Defensive
2013-14,Louisiana,13,13,77,4683,26,43,1,853,Offense
2013-14,Louisiana,0,13,68,3886,21,49,3,1086,Defensive
2014-15,Louisiana,13,13,77,4661,34,33,nan,628,Offense
2014-15,Louisiana,0,13,67,4089,31,38,nan,655,Defensive
2015-16,Louisiana,12,12,63,3573,7,36,1,684,Offense
2015-16,Louisiana,0,12,73,4425,32,49,1,1035,Defensive
2016-17,Louisiana,13,13,58,3450,18,40,nan,710,Offense
2016-17,Louisiana,0,13,65,4040,24,39,nan,643,Defensive
2017-18,Louisiana,12,12,64,3853,19,41,2,900,Offense
2017-18,Louisiana,0,12,82,5019,37,40,1,886,Defensive
2013-14,Louisiana,13,13,,4683,26,43,1,853,Offense
2013-14,Louisiana,0,13,,3886,21,49,3,1086,Defensive
2014-15,Louisiana,13,13,,4661,34,33,nan,628,Offense
2014-15,Louisiana,0,13,,4089,31,38,nan,655,Defensive
2015-16,Louisiana,12,12,,3573,7,36,1,684,Offense
2015-16,Louisiana,0,12,,4425,32,49,1,1035,Defensive
2016-17,Louisiana,13,13,,3450,18,40,nan,710,Offense
2016-17,Louisiana,0,13,,4040,24,39,nan,643,Defensive
2017-18,Louisiana,12,12,,3853,19,41,2,900,Offense
2017-18,Louisiana,0,12,,5019,37,40,1,886,Defensive
2013-14,La.-Monroe,12,12,,3252,30,35,1,643,Offense
2013-14,La.-Monroe,0,12,,4199,31,22,nan,421,Defensive
2014-15,La.-Monroe,12,12,,3233,29,42,nan,867,Offense
2014-15,La.-Monroe,0,12,,3942,20,22,nan,476,Defensive
2015-16,La.-Monroe,13,13,,3234,6,45,nan,873,Offense
2015-16,La.-Monroe,0,13,,5485,41,49,nan,799,Defensive
2016-17,La.-Monroe,12,12,,3195,6,43,nan,907,Offense
2016-17,La.-Monroe,0,12,,5311,39,42,1,968,Defensive
2017-18,La.-Monroe,12,12,,4305,25,57,4,1415,Offense
2017-18,La.-Monroe,0,12,,4983,23,43,1,1004,Defensive
2013-14,La.-Monroe,12,12,53,3252,30,35,1,643,Offense
2013-14,La.-Monroe,0,12,68,4199,31,22,nan,421,Defensive
2014-15,La.-Monroe,12,12,54,3233,29,42,nan,867,Offense
2014-15,La.-Monroe,0,12,64,3942,20,22,nan,476,Defensive
2015-16,La.-Monroe,13,13,57,3234,6,45,nan,873,Offense
2015-16,La.-Monroe,0,13,91,5485,41,49,nan,799,Defensive
2016-17,La.-Monroe,12,12,56,3195,6,43,nan,907,Offense
2016-17,La.-Monroe,0,12,87,5311,39,42,1,968,Defensive
2017-18,La.-Monroe,12,12,69,4305,25,57,4,1415,Offense
2017-18,La.-Monroe,0,12,86,4983,23,43,1,1004,Defensive
