Year,Team,GP,FumblesRecovered,Int,FumblesLost,Interceptions,OffenseDefense
2015-16,Hawaii,13,8,3,13,21,Offense
2015-16,Hawaii,0,13,21,8,3,Defensive
2016-17,Hawaii,14,6,11,10,15,Offense
2016-17,Hawaii,0,10,15,6,11,Defensive
2017-18,Hawaii,12,6,9,6,8,Offense
2017-18,Hawaii,0,6,8,6,9,Defensive
2013-14,Georgia St.,12,8,6,11,12,Offense
2013-14,Georgia St.,0,11,12,10,6,Defensive
2014-15,Georgia St.,12,5,3,12,18,Offense
2014-15,Georgia St.,0,12,18,5,3,Defensive
2015-16,Georgia St.,13,7,15,11,12,Offense
2015-16,Georgia St.,0,11,12,7,15,Defensive
2016-17,Georgia St.,12,7,11,8,15,Offense
2016-17,Georgia St.,0,8,15,7,11,Defensive
2017-18,Georgia St.,11,6,8,11,9,Offense
2017-18,Georgia St.,0,11,9,6,8,Defensive
2013-14,Georgia Tech,13,6,14,11,13,Offense
2013-14,Georgia Tech,0,11,13,6,14,Defensive
2014-15,Georgia Tech,14,11,18,12,6,Offense
2014-15,Georgia Tech,0,12,6,11,18,Defensive
2015-16,Georgia Tech,12,8,9,14,10,Offense
2015-16,Georgia Tech,0,14,10,8,9,Defensive
2016-17,Georgia Tech,13,8,11,11,4,Offense
2016-17,Georgia Tech,0,11,4,8,11,Defensive
2017-18,Georgia Tech,11,4,6,10,5,Offense
2017-18,Georgia Tech,0,10,5,4,6,Defensive
2013-14,Georgia Tech,13,6,14,11,13,Offense
2013-14,Georgia Tech,0,11,13,6,14,Defensive
2014-15,Georgia Tech,14,11,18,12,6,Offense
2014-15,Georgia Tech,0,12,6,11,18,Defensive
2015-16,Georgia Tech,12,8,9,14,10,Offense
2015-16,Georgia Tech,0,14,10,8,9,Defensive
2016-17,Georgia Tech,13,8,11,11,4,Offense
2016-17,Georgia Tech,0,11,4,8,11,Defensive
2017-18,Georgia Tech,11,4,6,10,5,Offense
2017-18,Georgia Tech,0,10,5,4,6,Defensive
2013-14,Georgia Tech,13,6,14,11,13,Offense
2013-14,Georgia Tech,0,11,13,6,14,Defensive
2014-15,Georgia Tech,14,11,18,12,6,Offense
2014-15,Georgia Tech,0,12,6,11,18,Defensive
2015-16,Georgia Tech,12,8,9,14,10,Offense
2015-16,Georgia Tech,0,14,10,8,9,Defensive
2016-17,Georgia Tech,13,8,11,11,4,Offense
2016-17,Georgia Tech,0,11,4,8,11,Defensive
2017-18,Georgia Tech,11,4,6,10,5,Offense
2017-18,Georgia Tech,0,10,5,4,6,Defensive
2013-14,Georgia St.,12,8,6,11,12,Offense
2013-14,Georgia St.,0,11,12,10,6,Defensive
2014-15,Georgia St.,12,5,3,12,18,Offense
2014-15,Georgia St.,0,12,18,5,3,Defensive
2015-16,Georgia St.,13,7,15,11,12,Offense
2015-16,Georgia St.,0,11,12,7,15,Defensive
2016-17,Georgia St.,12,7,11,8,15,Offense
2016-17,Georgia St.,0,8,15,7,11,Defensive
2017-18,Georgia St.,11,6,8,11,9,Offense
2017-18,Georgia St.,0,11,9,6,8,Defensive
2013-14,Georgia St.,12,8,6,11,12,Offense
2013-14,Georgia St.,0,11,12,10,6,Defensive
2014-15,Georgia St.,12,5,3,12,18,Offense
2014-15,Georgia St.,0,12,18,5,3,Defensive
2015-16,Georgia St.,13,7,15,11,12,Offense
2015-16,Georgia St.,0,11,12,7,15,Defensive
2016-17,Georgia St.,12,7,11,8,15,Offense
2016-17,Georgia St.,0,8,15,7,11,Defensive
2017-18,Georgia St.,11,6,8,11,9,Offense
2017-18,Georgia St.,0,11,9,6,8,Defensive
2013-14,Georgia St.,12,8,6,11,12,Offense
2013-14,Georgia St.,0,11,12,10,6,Defensive
2014-15,Georgia St.,12,5,3,12,18,Offense
2014-15,Georgia St.,0,12,18,5,3,Defensive
2015-16,Georgia St.,13,7,15,11,12,Offense
2015-16,Georgia St.,0,11,12,7,15,Defensive
2016-17,Georgia St.,12,7,11,8,15,Offense
2016-17,Georgia St.,0,8,15,7,11,Defensive
2017-18,Georgia St.,11,6,8,11,9,Offense
2017-18,Georgia St.,0,11,9,6,8,Defensive
2013-14,Georgia,13,8,7,10,12,Offense
2013-14,Georgia,0,10,12,8,7,Defensive
2014-15,Georgia,13,13,16,7,6,Offense
2014-15,Georgia,0,7,6,13,16,Defensive
2015-16,Georgia,13,10,12,10,8,Offense
2015-16,Georgia,0,10,8,10,12,Defensive
2016-17,Georgia,13,12,15,10,9,Offense
2016-17,Georgia,0,10,9,12,15,Defensive
2017-18,Georgia,13,8,10,6,7,Offense
2017-18,Georgia,0,6,7,8,10,Defensive
2013-14,Georgia,13,8,7,10,12,Offense
2013-14,Georgia,0,10,12,8,7,Defensive
2014-15,Georgia,13,13,16,7,6,Offense
2014-15,Georgia,0,7,6,13,16,Defensive
2015-16,Georgia,13,10,12,10,8,Offense
2015-16,Georgia,0,10,8,10,12,Defensive
2016-17,Georgia,13,12,15,10,9,Offense
2016-17,Georgia,0,10,9,12,15,Defensive
2017-18,Georgia,13,8,10,6,7,Offense
2017-18,Georgia,0,6,7,8,10,Defensive
2013-14,Georgia,13,8,7,10,12,Offense
2013-14,Georgia,0,10,12,8,7,Defensive
2014-15,Georgia,13,13,16,7,6,Offense
2014-15,Georgia,0,7,6,13,16,Defensive
2015-16,Georgia,13,10,12,10,8,Offense
2015-16,Georgia,0,10,8,10,12,Defensive
2016-17,Georgia,13,12,15,10,9,Offense
2016-17,Georgia,0,10,9,12,15,Defensive
2017-18,Georgia,13,8,10,6,7,Offense
2017-18,Georgia,0,6,7,8,10,Defensive
2013-14,Georgia,13,8,7,10,12,Offense
2013-14,Georgia,0,10,12,8,7,Defensive
2014-15,Georgia,13,13,16,7,6,Offense
2014-15,Georgia,0,7,6,13,16,Defensive
2015-16,Georgia,13,10,12,10,8,Offense
2015-16,Georgia,0,10,8,10,12,Defensive
2016-17,Georgia,13,12,15,10,9,Offense
2016-17,Georgia,0,10,9,12,15,Defensive
2017-18,Georgia,13,8,10,6,7,Offense
2017-18,Georgia,0,6,7,8,10,Defensive
2013-14,Ga. Southern,11,2,10,13,4,Offense
2013-14,Ga. Southern,0,13,4,2,10,Defensive
2014-15,Ga. Southern,12,7,13,8,4,Offense
2014-15,Ga. Southern,0,8,4,7,13,Defensive
2015-16,Ga. Southern,13,10,17,11,10,Offense
2015-16,Ga. Southern,0,11,10,10,17,Defensive
2016-17,Ga. Southern,12,10,9,9,9,Offense
2016-17,Ga. Southern,0,9,9,10,9,Defensive
2017-18,Ga. Southern,12,6,14,13,7,Offense
2017-18,Ga. Southern,0,13,7,6,14,Defensive
2013-14,Ga. Southern,11,2,10,13,4,Offense
2013-14,Ga. Southern,0,13,4,2,10,Defensive
2014-15,Ga. Southern,12,7,13,8,4,Offense
2014-15,Ga. Southern,0,8,4,7,13,Defensive
2015-16,Ga. Southern,13,10,17,11,10,Offense
2015-16,Ga. Southern,0,11,10,10,17,Defensive
2016-17,Ga. Southern,12,10,9,9,9,Offense
2016-17,Ga. Southern,0,9,9,10,9,Defensive
2017-18,Ga. Southern,12,6,14,13,7,Offense
2017-18,Ga. Southern,0,13,7,6,14,Defensive
2013-14,Ga. Southern,11,2,10,13,4,Offense
2013-14,Ga. Southern,0,13,4,2,10,Defensive
2014-15,Ga. Southern,12,7,13,8,4,Offense
2014-15,Ga. Southern,0,8,4,7,13,Defensive
2015-16,Ga. Southern,13,10,17,11,10,Offense
2015-16,Ga. Southern,0,11,10,10,17,Defensive
2016-17,Ga. Southern,12,10,9,9,9,Offense
2016-17,Ga. Southern,0,9,9,10,9,Defensive
2017-18,Ga. Southern,12,6,14,13,7,Offense
2017-18,Ga. Southern,0,13,7,6,14,Defensive
2013-14,Ga. Southern,11,2,10,13,4,Offense
2013-14,Ga. Southern,0,13,4,2,10,Defensive
2014-15,Ga. Southern,12,7,13,8,4,Offense
2014-15,Ga. Southern,0,8,4,7,13,Defensive
2015-16,Ga. Southern,13,10,17,11,10,Offense
2015-16,Ga. Southern,0,11,10,10,17,Defensive
2016-17,Ga. Southern,12,10,9,9,9,Offense
2016-17,Ga. Southern,0,9,9,10,9,Defensive
2017-18,Ga. Southern,12,6,14,13,7,Offense
2017-18,Ga. Southern,0,13,7,6,14,Defensive
2013-14,Indiana,12,10,7,6,14,Offense
2013-14,Indiana,0,6,14,10,7,Defensive
2014-15,Indiana,12,4,13,10,9,Offense
2014-15,Indiana,0,10,9,4,13,Defensive
2015-16,Indiana,13,10,12,6,8,Offense
2015-16,Indiana,0,6,8,10,12,Defensive
2016-17,Indiana,13,10,13,11,18,Offense
2016-17,Indiana,0,11,18,10,13,Defensive
2017-18,Indiana,12,8,5,7,13,Offense
2017-18,Indiana,0,7,13,8,5,Defensive
2013-14,Indiana,12,10,7,6,14,Offense
2013-14,Indiana,0,6,14,10,7,Defensive
2014-15,Indiana,12,4,13,10,9,Offense
2014-15,Indiana,0,10,9,4,13,Defensive
2015-16,Indiana,13,10,12,6,8,Offense
2015-16,Indiana,0,6,8,10,12,Defensive
2016-17,Indiana,13,10,13,11,18,Offense
2016-17,Indiana,0,11,18,10,13,Defensive
2017-18,Indiana,12,8,5,7,13,Offense
2017-18,Indiana,0,7,13,8,5,Defensive
2013-14,Indiana,12,10,7,6,14,Offense
2013-14,Indiana,0,6,14,10,7,Defensive
2014-15,Indiana,12,4,13,10,9,Offense
2014-15,Indiana,0,10,9,4,13,Defensive
2015-16,Indiana,13,10,12,6,8,Offense
2015-16,Indiana,0,6,8,10,12,Defensive
2016-17,Indiana,13,10,13,11,18,Offense
2016-17,Indiana,0,11,18,10,13,Defensive
2017-18,Indiana,12,8,5,7,13,Offense
2017-18,Indiana,0,7,13,8,5,Defensive
2013-14,Illinois,12,8,3,7,14,Offense
2013-14,Illinois,0,7,14,8,3,Defensive
2014-15,Illinois,13,12,7,10,12,Offense
2014-15,Illinois,0,10,12,12,7,Defensive
2015-16,Illinois,12,8,13,9,8,Offense
2015-16,Illinois,0,9,8,8,13,Defensive
2016-17,Illinois,12,11,7,11,9,Offense
2016-17,Illinois,0,11,9,11,7,Defensive
2017-18,Illinois,12,10,9,7,19,Offense
2017-18,Illinois,0,7,19,10,9,Defensive
2013-14,Illinois,12,8,3,7,14,Offense
2013-14,Illinois,0,7,14,8,3,Defensive
2014-15,Illinois,13,12,7,10,12,Offense
2014-15,Illinois,0,10,12,12,7,Defensive
2015-16,Illinois,12,8,13,9,8,Offense
2015-16,Illinois,0,9,8,8,13,Defensive
2016-17,Illinois,12,11,7,11,9,Offense
2016-17,Illinois,0,11,9,11,7,Defensive
2017-18,Illinois,12,10,9,7,19,Offense
2017-18,Illinois,0,7,19,10,9,Defensive
2013-14,Illinois,12,8,3,7,14,Offense
2013-14,Illinois,0,7,14,8,3,Defensive
2014-15,Illinois,13,12,7,10,12,Offense
2014-15,Illinois,0,10,12,12,7,Defensive
2015-16,Illinois,12,8,13,9,8,Offense
2015-16,Illinois,0,9,8,8,13,Defensive
2016-17,Illinois,12,11,7,11,9,Offense
2016-17,Illinois,0,11,9,11,7,Defensive
2017-18,Illinois,12,10,9,7,19,Offense
2017-18,Illinois,0,7,19,10,9,Defensive
2013-14,Illinois,12,8,3,7,14,Offense
2013-14,Illinois,0,7,14,8,3,Defensive
2014-15,Illinois,13,12,7,10,12,Offense
2014-15,Illinois,0,10,12,12,7,Defensive
2015-16,Illinois,12,8,13,9,8,Offense
2015-16,Illinois,0,9,8,8,13,Defensive
2016-17,Illinois,12,11,7,11,9,Offense
2016-17,Illinois,0,11,9,11,7,Defensive
2017-18,Illinois,12,10,9,7,19,Offense
2017-18,Illinois,0,7,19,10,9,Defensive
2013-14,Idaho,12,9,10,14,13,Offense
2013-14,Idaho,0,14,13,9,10,Defensive
2014-15,Idaho,11,9,8,8,20,Offense
2014-15,Idaho,0,8,20,9,8,Defensive
2015-16,Idaho,12,11,6,8,15,Offense
2015-16,Idaho,0,8,15,11,6,Defensive
2016-17,Idaho,13,11,17,6,11,Offense
2016-17,Idaho,0,6,11,11,17,Defensive
2017-18,Idaho,12,9,9,9,7,Offense
2017-18,Idaho,0,9,7,9,9,Defensive
2013-14,Idaho,12,9,10,14,13,Offense
2013-14,Idaho,0,14,13,9,10,Defensive
2014-15,Idaho,11,9,8,8,20,Offense
2014-15,Idaho,0,8,20,9,8,Defensive
2015-16,Idaho,12,11,6,8,15,Offense
2015-16,Idaho,0,8,15,11,6,Defensive
2016-17,Idaho,13,11,17,6,11,Offense
2016-17,Idaho,0,6,11,11,17,Defensive
2017-18,Idaho,12,9,9,9,7,Offense
2017-18,Idaho,0,9,7,9,9,Defensive
2013-14,Idaho,12,9,10,14,13,Offense
2013-14,Idaho,0,14,13,9,10,Defensive
2014-15,Idaho,11,9,8,8,20,Offense
2014-15,Idaho,0,8,20,9,8,Defensive
2015-16,Idaho,12,11,6,8,15,Offense
2015-16,Idaho,0,8,15,11,6,Defensive
2016-17,Idaho,13,11,17,6,11,Offense
2016-17,Idaho,0,6,11,11,17,Defensive
2017-18,Idaho,12,9,9,9,7,Offense
2017-18,Idaho,0,9,7,9,9,Defensive
2013-14,Idaho,12,9,10,14,13,Offense
2013-14,Idaho,0,14,13,9,10,Defensive
2014-15,Idaho,11,9,8,8,20,Offense
2014-15,Idaho,0,8,20,9,8,Defensive
2015-16,Idaho,12,11,6,8,15,Offense
2015-16,Idaho,0,8,15,11,6,Defensive
2016-17,Idaho,13,11,17,6,11,Offense
2016-17,Idaho,0,6,11,11,17,Defensive
2017-18,Idaho,12,9,9,9,7,Offense
2017-18,Idaho,0,9,7,9,9,Defensive
2013-14,Houston,13,18,25,8,10,Offense
2013-14,Houston,0,8,10,18,25,Defensive
2014-15,Houston,13,11,19,7,15,Offense
2014-15,Houston,0,7,15,11,19,Defensive
2015-16,Houston,14,14,21,7,7,Offense
2015-16,Houston,0,7,7,14,21,Defensive
2016-17,Houston,13,11,7,10,15,Offense
2016-17,Houston,0,10,15,11,7,Defensive
2017-18,Houston,11,5,14,10,11,Offense
2017-18,Houston,0,10,11,5,14,Defensive
2013-14,Houston,13,18,25,8,10,Offense
2013-14,Houston,0,8,10,18,25,Defensive
2014-15,Houston,13,11,19,7,15,Offense
2014-15,Houston,0,7,15,11,19,Defensive
2015-16,Houston,14,14,21,7,7,Offense
2015-16,Houston,0,7,7,14,21,Defensive
2016-17,Houston,13,11,7,10,15,Offense
2016-17,Houston,0,10,15,11,7,Defensive
2017-18,Houston,11,5,14,10,11,Offense
2017-18,Houston,0,10,11,5,14,Defensive
2013-14,Houston,13,18,25,8,10,Offense
2013-14,Houston,0,8,10,18,25,Defensive
2014-15,Houston,13,11,19,7,15,Offense
2014-15,Houston,0,7,15,11,19,Defensive
2015-16,Houston,14,14,21,7,7,Offense
2015-16,Houston,0,7,7,14,21,Defensive
2016-17,Houston,13,11,7,10,15,Offense
2016-17,Houston,0,10,15,11,7,Defensive
2017-18,Houston,11,5,14,10,11,Offense
2017-18,Houston,0,10,11,5,14,Defensive
2013-14,Houston,13,18,25,8,10,Offense
2013-14,Houston,0,8,10,18,25,Defensive
2014-15,Houston,13,11,19,7,15,Offense
2014-15,Houston,0,7,15,11,19,Defensive
2015-16,Houston,14,14,21,7,7,Offense
2015-16,Houston,0,7,7,14,21,Defensive
2016-17,Houston,13,11,7,10,15,Offense
2016-17,Houston,0,10,15,11,7,Defensive
2017-18,Houston,11,5,14,10,11,Offense
2017-18,Houston,0,10,11,5,14,Defensive
2013-14,Hawaii,12,15,9,12,22,Offense
2013-14,Hawaii,0,11,22,15,9,Defensive
2014-15,Hawaii,13,9,11,13,14,Offense
2014-15,Hawaii,0,13,14,9,11,Defensive
2015-16,Hawaii,13,8,3,13,21,Offense
2015-16,Hawaii,0,13,21,8,3,Defensive
2016-17,Hawaii,14,6,11,10,15,Offense
2016-17,Hawaii,0,10,15,6,11,Defensive
2017-18,Hawaii,12,6,9,6,8,Offense
2017-18,Hawaii,0,6,8,6,9,Defensive
2013-14,Hawaii,12,15,9,12,22,Offense
2013-14,Hawaii,0,11,22,15,9,Defensive
2014-15,Hawaii,13,9,11,13,14,Offense
2014-15,Hawaii,0,13,14,9,11,Defensive
2015-16,Hawaii,13,8,3,13,21,Offense
2015-16,Hawaii,0,13,21,8,3,Defensive
2016-17,Hawaii,14,6,11,10,15,Offense
2016-17,Hawaii,0,10,15,6,11,Defensive
2017-18,Hawaii,12,6,9,6,8,Offense
2017-18,Hawaii,0,6,8,6,9,Defensive
2013-14,Kansas St.,13,8,17,12,13,Offense
2013-14,Kansas St.,0,12,13,8,17,Defensive
2014-15,Kansas St.,13,6,15,5,8,Offense
2014-15,Kansas St.,0,5,8,6,15,Defensive
2015-16,Kansas St.,13,11,5,6,13,Offense
2015-16,Kansas St.,0,6,13,11,5,Defensive
2016-17,Kansas St.,13,9,16,7,5,Offense
2016-17,Kansas St.,0,7,5,9,16,Defensive
2017-18,Kansas St.,12,10,12,5,7,Offense
2017-18,Kansas St.,0,5,7,10,12,Defensive
2013-14,Kansas St.,13,8,17,12,13,Offense
2013-14,Kansas St.,0,12,13,8,17,Defensive
2014-15,Kansas St.,13,6,15,5,8,Offense
2014-15,Kansas St.,0,5,8,6,15,Defensive
2015-16,Kansas St.,13,11,5,6,13,Offense
2015-16,Kansas St.,0,6,13,11,5,Defensive
2016-17,Kansas St.,13,9,16,7,5,Offense
2016-17,Kansas St.,0,7,5,9,16,Defensive
2017-18,Kansas St.,12,10,12,5,7,Offense
2017-18,Kansas St.,0,5,7,10,12,Defensive
2013-14,Kansas St.,13,8,17,12,13,Offense
2013-14,Kansas St.,0,12,13,8,17,Defensive
2014-15,Kansas St.,13,6,15,5,8,Offense
2014-15,Kansas St.,0,5,8,6,15,Defensive
2015-16,Kansas St.,13,11,5,6,13,Offense
2015-16,Kansas St.,0,6,13,11,5,Defensive
2016-17,Kansas St.,13,9,16,7,5,Offense
2016-17,Kansas St.,0,7,5,9,16,Defensive
2017-18,Kansas St.,12,10,12,5,7,Offense
2017-18,Kansas St.,0,5,7,10,12,Defensive
2013-14,Kansas St.,13,8,17,12,13,Offense
2013-14,Kansas St.,0,12,13,8,17,Defensive
2014-15,Kansas St.,13,6,15,5,8,Offense
2014-15,Kansas St.,0,5,8,6,15,Defensive
2015-16,Kansas St.,13,11,5,6,13,Offense
2015-16,Kansas St.,0,6,13,11,5,Defensive
2016-17,Kansas St.,13,9,16,7,5,Offense
2016-17,Kansas St.,0,7,5,9,16,Defensive
2017-18,Kansas St.,12,10,12,5,7,Offense
2017-18,Kansas St.,0,5,7,10,12,Defensive
2013-14,Kansas,12,10,14,11,12,Offense
2013-14,Kansas,0,11,12,10,14,Defensive
2014-15,Kansas,12,12,9,5,13,Offense
2014-15,Kansas,0,5,13,12,9,Defensive
2015-16,Kansas,12,9,9,11,14,Offense
2015-16,Kansas,0,11,14,9,9,Defensive
2016-17,Kansas,12,12,10,14,22,Offense
2016-17,Kansas,0,14,22,12,10,Defensive
2017-18,Kansas,12,5,4,9,17,Offense
2017-18,Kansas,0,9,17,5,4,Defensive
2013-14,Kansas,12,10,14,11,12,Offense
2013-14,Kansas,0,11,12,10,14,Defensive
2014-15,Kansas,12,12,9,5,13,Offense
2014-15,Kansas,0,5,13,12,9,Defensive
2015-16,Kansas,12,9,9,11,14,Offense
2015-16,Kansas,0,11,14,9,9,Defensive
2016-17,Kansas,12,12,10,14,22,Offense
2016-17,Kansas,0,14,22,12,10,Defensive
2017-18,Kansas,12,5,4,9,17,Offense
2017-18,Kansas,0,9,17,5,4,Defensive
2013-14,Kansas,12,10,14,11,12,Offense
2013-14,Kansas,0,11,12,10,14,Defensive
2014-15,Kansas,12,12,9,5,13,Offense
2014-15,Kansas,0,5,13,12,9,Defensive
2015-16,Kansas,12,9,9,11,14,Offense
2015-16,Kansas,0,11,14,9,9,Defensive
2016-17,Kansas,12,12,10,14,22,Offense
2016-17,Kansas,0,14,22,12,10,Defensive
2017-18,Kansas,12,5,4,9,17,Offense
2017-18,Kansas,0,9,17,5,4,Defensive
2013-14,Kansas,12,10,14,11,12,Offense
2013-14,Kansas,0,11,12,10,14,Defensive
2014-15,Kansas,12,12,9,5,13,Offense
2014-15,Kansas,0,5,13,12,9,Defensive
2015-16,Kansas,12,9,9,11,14,Offense
2015-16,Kansas,0,11,14,9,9,Defensive
2016-17,Kansas,12,12,10,14,22,Offense
2016-17,Kansas,0,14,22,12,10,Defensive
2017-18,Kansas,12,5,4,9,17,Offense
2017-18,Kansas,0,9,17,5,4,Defensive
2013-14,Iowa St.,12,13,8,8,14,Offense
2013-14,Iowa St.,0,8,14,13,8,Defensive
2014-15,Iowa St.,12,6,10,5,11,Offense
2014-15,Iowa St.,0,5,11,6,10,Defensive
2015-16,Iowa St.,12,8,5,12,12,Offense
2015-16,Iowa St.,0,12,12,8,5,Defensive
2016-17,Iowa St.,12,4,9,8,8,Offense
2016-17,Iowa St.,0,8,8,4,9,Defensive
2017-18,Iowa St.,12,8,12,nan,9,Offense
2017-18,Iowa St.,0,nan,9,8,12,Defensive
2013-14,Iowa St.,12,13,8,8,14,Offense
2013-14,Iowa St.,0,8,14,13,8,Defensive
2014-15,Iowa St.,12,6,10,5,11,Offense
2014-15,Iowa St.,0,5,11,6,10,Defensive
2015-16,Iowa St.,12,8,5,12,12,Offense
2015-16,Iowa St.,0,12,12,8,5,Defensive
2016-17,Iowa St.,12,4,9,8,8,Offense
2016-17,Iowa St.,0,8,8,4,9,Defensive
2017-18,Iowa St.,12,8,12,nan,9,Offense
2017-18,Iowa St.,0,nan,9,8,12,Defensive
2013-14,Iowa St.,12,13,8,8,14,Offense
2013-14,Iowa St.,0,8,14,13,8,Defensive
2014-15,Iowa St.,12,6,10,5,11,Offense
2014-15,Iowa St.,0,5,11,6,10,Defensive
2015-16,Iowa St.,12,8,5,12,12,Offense
2015-16,Iowa St.,0,12,12,8,5,Defensive
2016-17,Iowa St.,12,4,9,8,8,Offense
2016-17,Iowa St.,0,8,8,4,9,Defensive
2017-18,Iowa St.,12,8,12,nan,9,Offense
2017-18,Iowa St.,0,nan,9,8,12,Defensive
2013-14,Iowa St.,12,13,8,8,14,Offense
2013-14,Iowa St.,0,8,14,13,8,Defensive
2014-15,Iowa St.,12,6,10,5,11,Offense
2014-15,Iowa St.,0,5,11,6,10,Defensive
2015-16,Iowa St.,12,8,5,12,12,Offense
2015-16,Iowa St.,0,12,12,8,5,Defensive
2016-17,Iowa St.,12,4,9,8,8,Offense
2016-17,Iowa St.,0,8,8,4,9,Defensive
2017-18,Iowa St.,12,8,12,nan,9,Offense
2017-18,Iowa St.,0,nan,9,8,12,Defensive
2013-14,Iowa,13,8,13,7,15,Offense
2013-14,Iowa,0,7,15,8,13,Defensive
2014-15,Iowa,13,3,13,15,7,Offense
2014-15,Iowa,0,15,7,3,13,Defensive
2015-16,Iowa,14,8,19,11,5,Offense
2015-16,Iowa,0,11,5,8,19,Defensive
2016-17,Iowa,13,9,9,2,10,Offense
2016-17,Iowa,0,2,10,9,9,Defensive
2017-18,Iowa,12,4,19,13,6,Offense
2017-18,Iowa,0,13,6,4,19,Defensive
2013-14,Iowa,13,8,13,7,15,Offense
2013-14,Iowa,0,7,15,8,13,Defensive
2014-15,Iowa,13,3,13,15,7,Offense
2014-15,Iowa,0,15,7,3,13,Defensive
2015-16,Iowa,14,8,19,11,5,Offense
2015-16,Iowa,0,11,5,8,19,Defensive
2016-17,Iowa,13,9,9,2,10,Offense
2016-17,Iowa,0,2,10,9,9,Defensive
2017-18,Iowa,12,4,19,13,6,Offense
2017-18,Iowa,0,13,6,4,19,Defensive
2013-14,Iowa,13,8,13,7,15,Offense
2013-14,Iowa,0,7,15,8,13,Defensive
2014-15,Iowa,13,3,13,15,7,Offense
2014-15,Iowa,0,15,7,3,13,Defensive
2015-16,Iowa,14,8,19,11,5,Offense
2015-16,Iowa,0,11,5,8,19,Defensive
2016-17,Iowa,13,9,9,2,10,Offense
2016-17,Iowa,0,2,10,9,9,Defensive
2017-18,Iowa,12,4,19,13,6,Offense
2017-18,Iowa,0,13,6,4,19,Defensive
2013-14,Iowa,13,8,13,7,15,Offense
2013-14,Iowa,0,7,15,8,13,Defensive
2014-15,Iowa,13,3,13,15,7,Offense
2014-15,Iowa,0,15,7,3,13,Defensive
2015-16,Iowa,14,8,19,11,5,Offense
2015-16,Iowa,0,11,5,8,19,Defensive
2016-17,Iowa,13,9,9,2,10,Offense
2016-17,Iowa,0,2,10,9,9,Defensive
2017-18,Iowa,12,4,19,13,6,Offense
2017-18,Iowa,0,13,6,4,19,Defensive
2013-14,Indiana,12,10,7,6,14,Offense
2013-14,Indiana,0,6,14,10,7,Defensive
2014-15,Indiana,12,4,13,10,9,Offense
2014-15,Indiana,0,10,9,4,13,Defensive
2015-16,Indiana,13,10,12,6,8,Offense
2015-16,Indiana,0,6,8,10,12,Defensive
2016-17,Indiana,13,10,13,11,18,Offense
2016-17,Indiana,0,11,18,10,13,Defensive
2017-18,Indiana,12,8,5,7,13,Offense
2017-18,Indiana,0,7,13,8,5,Defensive
2013-14,Louisiana,13,9,14,8,14,Offense
2013-14,Louisiana,0,8,14,9,14,Defensive
2014-15,Louisiana,13,10,7,5,9,Offense
2014-15,Louisiana,0,5,9,10,7,Defensive
2015-16,Louisiana,12,6,5,8,12,Offense
2015-16,Louisiana,0,8,12,6,5,Defensive
2016-17,Louisiana,13,8,10,4,13,Offense
2016-17,Louisiana,0,4,13,8,10,Defensive
2017-18,Louisiana,12,6,9,4,12,Offense
2017-18,Louisiana,0,4,12,6,9,Defensive
2013-14,Louisiana,13,9,14,8,14,Offense
2013-14,Louisiana,0,8,14,9,14,Defensive
2014-15,Louisiana,13,10,7,5,9,Offense
2014-15,Louisiana,0,5,9,10,7,Defensive
2015-16,Louisiana,12,6,5,8,12,Offense
2015-16,Louisiana,0,8,12,6,5,Defensive
2016-17,Louisiana,13,8,10,4,13,Offense
2016-17,Louisiana,0,4,13,8,10,Defensive
2017-18,Louisiana,12,6,9,4,12,Offense
2017-18,Louisiana,0,4,12,6,9,Defensive
2013-14,La.-Monroe,12,6,13,9,14,Offense
2013-14,La.-Monroe,0,8,14,6,13,Defensive
2014-15,La.-Monroe,12,5,11,10,7,Offense
2014-15,La.-Monroe,0,10,7,5,11,Defensive
2015-16,La.-Monroe,13,9,5,11,19,Offense
2015-16,La.-Monroe,0,11,19,9,5,Defensive
2016-17,La.-Monroe,12,7,6,8,16,Offense
2016-17,La.-Monroe,0,8,16,7,6,Defensive
2017-18,La.-Monroe,12,5,9,9,9,Offense
2017-18,La.-Monroe,0,9,9,5,9,Defensive
2013-14,La.-Monroe,12,6,13,9,14,Offense
2013-14,La.-Monroe,0,8,14,6,13,Defensive
2014-15,La.-Monroe,12,5,11,10,7,Offense
2014-15,La.-Monroe,0,10,7,5,11,Defensive
2015-16,La.-Monroe,13,9,5,11,19,Offense
2015-16,La.-Monroe,0,11,19,9,5,Defensive
2016-17,La.-Monroe,12,7,6,8,16,Offense
2016-17,La.-Monroe,0,8,16,7,6,Defensive
2017-18,La.-Monroe,12,5,9,9,9,Offense
2017-18,La.-Monroe,0,9,9,5,9,Defensive
2013-14,La.-Monroe,12,6,13,9,14,Offense
2013-14,La.-Monroe,0,8,14,6,13,Defensive
2014-15,La.-Monroe,12,5,11,10,7,Offense
2014-15,La.-Monroe,0,10,7,5,11,Defensive
2015-16,La.-Monroe,13,9,5,11,19,Offense
2015-16,La.-Monroe,0,11,19,9,5,Defensive
2016-17,La.-Monroe,12,7,6,8,16,Offense
2016-17,La.-Monroe,0,8,16,7,6,Defensive
2017-18,La.-Monroe,12,5,9,9,9,Offense
2017-18,La.-Monroe,0,9,9,5,9,Defensive
2013-14,La.-Monroe,12,6,13,9,14,Offense
