team,link,txt,key,match
Colorado Buffaloes,http://stats.ncaa.org/team/157/roster/11520,Roster,roster,True
Colorado Buffaloes,http://stats.ncaa.org/team/157/stats/11520,Team Statistics,stats,True
Colorado St. Rams,http://stats.ncaa.org/teams/history/MFB/156,Team History,history,True
Colorado St. Rams,http://stats.ncaa.org/people/40992?sport_code=MFB,Jim McElwain,people,True
Colorado St. Rams,http://stats.ncaa.org/team/156/roster/11520,Roster,roster,True
Colorado St. Rams,http://stats.ncaa.org/team/156/stats/11520,Team Statistics,stats,True
Duke Blue Devils,http://stats.ncaa.org/teams/history/MFB/193,Team History,history,True
Duke Blue Devils,http://stats.ncaa.org/people/856?sport_code=MFB,David Cutcliffe,people,True
Duke Blue Devils,http://stats.ncaa.org/team/193/roster/11520,Roster,roster,True
Duke Blue Devils,http://stats.ncaa.org/team/193/stats/11520,Team Statistics,stats,True
Cincinnati Bearcats,http://stats.ncaa.org/teams/history/MFB/140,Team History,history,True
Cincinnati Bearcats,http://stats.ncaa.org/people/3821?sport_code=MFB,Tommy Tuberville,people,True
Cincinnati Bearcats,http://stats.ncaa.org/team/140/roster/11520,Roster,roster,True
Cincinnati Bearcats,http://stats.ncaa.org/team/140/stats/11520,Team Statistics,stats,True
Eastern Mich. Eagles,http://stats.ncaa.org/teams/history/MFB/204,Team History,history,True
Eastern Mich. Eagles,http://stats.ncaa.org/people/35864?sport_code=MFB,Ron English,people,True
Eastern Mich. Eagles,http://stats.ncaa.org/people/27809?sport_code=MFB,Stan Parrish,people,True
Eastern Mich. Eagles,http://stats.ncaa.org/team/204/roster/11520,Roster,roster,True
Eastern Mich. Eagles,http://stats.ncaa.org/team/204/stats/11520,Team Statistics,stats,True
East Carolina Pirates,http://stats.ncaa.org/teams/history/MFB/196,Team History,history,True
East Carolina Pirates,http://stats.ncaa.org/people/36711?sport_code=MFB,Ruffin McNeill,people,True
East Carolina Pirates,http://stats.ncaa.org/team/196/roster/11520,Roster,roster,True
East Carolina Pirates,http://stats.ncaa.org/team/196/stats/11520,Team Statistics,stats,True
FIU Panthers,http://stats.ncaa.org/teams/history/MFB/231,Team History,history,True
FIU Panthers,http://stats.ncaa.org/people/3283?sport_code=MFB,Ron Turner,people,True
FIU Panthers,http://stats.ncaa.org/team/231/roster/11520,Roster,roster,True
FIU Panthers,http://stats.ncaa.org/team/231/stats/11520,Team Statistics,stats,True
Fla. Atlantic Owls,http://stats.ncaa.org/teams/history/MFB/229,Team History,history,True
Fla. Atlantic Owls,http://stats.ncaa.org/people/39896?sport_code=MFB,Carl Pelini,people,True
Fla. Atlantic Owls,http://stats.ncaa.org/people/42421?sport_code=MFB,Brian Wright,people,True
Fla. Atlantic Owls,http://stats.ncaa.org/team/229/roster/11520,Roster,roster,True
Fla. Atlantic Owls,http://stats.ncaa.org/team/229/stats/11520,Team Statistics,stats,True
Florida St. Seminoles,http://stats.ncaa.org/teams/history/MFB/234,Team History,history,True
Florida St. Seminoles,http://stats.ncaa.org/people/37001?sport_code=MFB,Jimbo Fisher,people,True
Florida St. Seminoles,http://stats.ncaa.org/team/234/roster/11520,Roster,roster,True
Florida St. Seminoles,http://stats.ncaa.org/team/234/stats/11520,Team Statistics,stats,True
Fresno St. Bulldogs,http://stats.ncaa.org/teams/history/MFB/96,Team History,history,True
Fresno St. Bulldogs,http://stats.ncaa.org/people/40878?sport_code=MFB,Tim DeRuyter,people,True
