Team,Year,Link
Temple,2015,http://stats.ncaa.org/team/690/11980
Tennessee,2015,http://stats.ncaa.org/team/694/11980
Texas,2015,http://stats.ncaa.org/team/703/11980
Texas A&M,2015,http://stats.ncaa.org/team/697/11980
Air Force,2014,http://stats.ncaa.org/team/721/11520
Air Force,2016,http://stats.ncaa.org/team/721/12240
Texas St.,2015,http://stats.ncaa.org/team/670/11980
Texas Tech,2015,http://stats.ncaa.org/team/700/11980
Toledo,2015,http://stats.ncaa.org/team/709/11980
Troy,2015,http://stats.ncaa.org/team/716/11980
Tulane,2015,http://stats.ncaa.org/team/718/11980
Tulsa,2015,http://stats.ncaa.org/team/719/11980
UAB,2015,http://stats.ncaa.org/team/9/11980
UCF,2015,http://stats.ncaa.org/team/128/11980
UCLA,2015,http://stats.ncaa.org/team/110/11980
Akron,2014,http://stats.ncaa.org/team/5/11520
Alabama,2014,http://stats.ncaa.org/team/8/11520
Appalachian St.,2014,http://stats.ncaa.org/team/27/11520
Arizona,2014,http://stats.ncaa.org/team/29/11520
Arizona St.,2014,http://stats.ncaa.org/team/28/11520
Arkansas,2014,http://stats.ncaa.org/team/31/11520
Arkansas St.,2014,http://stats.ncaa.org/team/30/11520
Army West Point,2014,http://stats.ncaa.org/team/725/11520
Auburn,2014,http://stats.ncaa.org/team/37/11520
BYU,2014,http://stats.ncaa.org/team/77/11520
Ball St.,2014,http://stats.ncaa.org/team/47/11520
Akron,2016,http://stats.ncaa.org/team/5/12240
Alabama,2016,http://stats.ncaa.org/team/8/12240
Appalachian St.,2016,http://stats.ncaa.org/team/27/12240
Arizona,2016,http://stats.ncaa.org/team/29/12240
Arizona St.,2016,http://stats.ncaa.org/team/28/12240
Arkansas,2016,http://stats.ncaa.org/team/31/12240
Arkansas St.,2016,http://stats.ncaa.org/team/30/12240
UConn,2015,http://stats.ncaa.org/team/164/11980
UNLV,2015,http://stats.ncaa.org/team/465/11980
UTEP,2015,http://stats.ncaa.org/team/704/11980
UTSA,2015,http://stats.ncaa.org/team/706/11980
Utah,2015,http://stats.ncaa.org/team/732/11980
Utah St.,2015,http://stats.ncaa.org/team/731/11980
Vanderbilt,2015,http://stats.ncaa.org/team/736/11980
Virginia,2015,http://stats.ncaa.org/team/746/11980
Baylor,2014,http://stats.ncaa.org/team/51/11520
Boise St.,2014,http://stats.ncaa.org/team/66/11520
Boston College,2014,http://stats.ncaa.org/team/67/11520
Bowling Green,2014,http://stats.ncaa.org/team/71/11520
Buffalo,2014,http://stats.ncaa.org/team/86/11520
California,2014,http://stats.ncaa.org/team/107/11520
Central Mich.,2014,http://stats.ncaa.org/team/129/11520
Cincinnati,2014,http://stats.ncaa.org/team/140/11520
Clemson,2014,http://stats.ncaa.org/team/147/11520
Colorado,2014,http://stats.ncaa.org/team/157/11520
Air Force,2017,http://stats.ncaa.org/team/721/12424
Army West Point,2016,http://stats.ncaa.org/team/725/12240
Auburn,2016,http://stats.ncaa.org/team/37/12240
BYU,2016,http://stats.ncaa.org/team/77/12240
Ball St.,2016,http://stats.ncaa.org/team/47/12240
Baylor,2016,http://stats.ncaa.org/team/51/12240
Boise St.,2016,http://stats.ncaa.org/team/66/12240
Boston College,2016,http://stats.ncaa.org/team/67/12240
Bowling Green,2016,http://stats.ncaa.org/team/71/12240
Buffalo,2016,http://stats.ncaa.org/team/86/12240
Virginia Tech,2015,http://stats.ncaa.org/team/742/11980
Wake Forest,2015,http://stats.ncaa.org/team/749/11980
Washington,2015,http://stats.ncaa.org/team/756/11980
Washington St.,2015,http://stats.ncaa.org/team/754/11980
West Virginia,2015,http://stats.ncaa.org/team/768/11980
Western Ky.,2015,http://stats.ncaa.org/team/772/11980
Western Mich.,2015,http://stats.ncaa.org/team/774/11980
Wisconsin,2015,http://stats.ncaa.org/team/796/11980
Wyoming,2015,http://stats.ncaa.org/team/811/11980
Colorado St.,2014,http://stats.ncaa.org/team/156/11520
Duke,2014,http://stats.ncaa.org/team/193/11520
East Carolina,2014,http://stats.ncaa.org/team/196/11520
Eastern Mich.,2014,http://stats.ncaa.org/team/204/11520
FIU,2014,http://stats.ncaa.org/team/231/11520
Fla. Atlantic,2014,http://stats.ncaa.org/team/229/11520
Florida,2014,http://stats.ncaa.org/team/235/11520
Florida St.,2014,http://stats.ncaa.org/team/234/11520
Fresno St.,2014,http://stats.ncaa.org/team/96/11520
Ga. Southern,2014,http://stats.ncaa.org/team/253/11520
Akron,2017,http://stats.ncaa.org/team/5/12424
Alabama,2017,http://stats.ncaa.org/team/8/12424
Appalachian St.,2017,http://stats.ncaa.org/team/27/12424
Arizona,2017,http://stats.ncaa.org/team/29/12424
Arizona St.,2017,http://stats.ncaa.org/team/28/12424
Arkansas,2017,http://stats.ncaa.org/team/31/12424
Arkansas St.,2017,http://stats.ncaa.org/team/30/12424
Army West Point,2017,http://stats.ncaa.org/team/725/12424
Auburn,2017,http://stats.ncaa.org/team/37/12424
BYU,2017,http://stats.ncaa.org/team/77/12424
California,2016,http://stats.ncaa.org/team/107/12240
Central Mich.,2016,http://stats.ncaa.org/team/129/12240
Charlotte,2016,http://stats.ncaa.org/team/458/12240
Cincinnati,2016,http://stats.ncaa.org/team/140/12240
Clemson,2016,http://stats.ncaa.org/team/147/12240
Colorado,2016,http://stats.ncaa.org/team/157/12240
Colorado St.,2016,http://stats.ncaa.org/team/156/12240
Duke,2016,http://stats.ncaa.org/team/193/12240
East Carolina,2016,http://stats.ncaa.org/team/196/12240
Eastern Mich.,2016,http://stats.ncaa.org/team/204/12240
Georgia,2014,http://stats.ncaa.org/team/257/11520
Georgia St.,2014,http://stats.ncaa.org/team/254/11520
Georgia Tech,2014,http://stats.ncaa.org/team/255/11520
Hawaii,2014,http://stats.ncaa.org/team/277/11520
Houston,2014,http://stats.ncaa.org/team/288/11520
Idaho,2014,http://stats.ncaa.org/team/295/11520
Illinois,2014,http://stats.ncaa.org/team/301/11520
Ball St.,2017,http://stats.ncaa.org/team/47/12424
Baylor,2017,http://stats.ncaa.org/team/51/12424
Boise St.,2017,http://stats.ncaa.org/team/66/12424
Boston College,2017,http://stats.ncaa.org/team/67/12424
Bowling Green,2017,http://stats.ncaa.org/team/71/12424
Buffalo,2017,http://stats.ncaa.org/team/86/12424
California,2017,http://stats.ncaa.org/team/107/12424
Central Mich.,2017,http://stats.ncaa.org/team/129/12424
Charlotte,2017,http://stats.ncaa.org/team/458/12424
FIU,2016,http://stats.ncaa.org/team/231/12240
Fla. Atlantic,2016,http://stats.ncaa.org/team/229/12240
Florida,2016,http://stats.ncaa.org/team/235/12240
Florida St.,2016,http://stats.ncaa.org/team/234/12240
Fresno St.,2016,http://stats.ncaa.org/team/96/12240
Ga. Southern,2016,http://stats.ncaa.org/team/253/12240
Georgia,2016,http://stats.ncaa.org/team/257/12240
Georgia St.,2016,http://stats.ncaa.org/team/254/12240
Georgia Tech,2016,http://stats.ncaa.org/team/255/12240
Hawaii,2016,http://stats.ncaa.org/team/277/12240
Houston,2016,http://stats.ncaa.org/team/288/12240
Indiana,2014,http://stats.ncaa.org/team/306/11520
Iowa,2014,http://stats.ncaa.org/team/312/11520
Iowa St.,2014,http://stats.ncaa.org/team/311/11520
Kansas,2014,http://stats.ncaa.org/team/328/11520
Kansas St.,2014,http://stats.ncaa.org/team/327/11520
Kent St.,2014,http://stats.ncaa.org/team/331/11520
Kentucky,2014,http://stats.ncaa.org/team/334/11520
LSU,2014,http://stats.ncaa.org/team/365/11520
La.-Monroe,2014,http://stats.ncaa.org/team/498/11520
Cincinnati,2017,http://stats.ncaa.org/team/140/12424
Clemson,2017,http://stats.ncaa.org/team/147/12424
Coastal Caro.,2017,http://stats.ncaa.org/team/149/12424
Colorado,2017,http://stats.ncaa.org/team/157/12424
Colorado St.,2017,http://stats.ncaa.org/team/156/12424
Duke,2017,http://stats.ncaa.org/team/193/12424
East Carolina,2017,http://stats.ncaa.org/team/196/12424
Eastern Mich.,2017,http://stats.ncaa.org/team/204/12424
FIU,2017,http://stats.ncaa.org/team/231/12424
Fla. Atlantic,2017,http://stats.ncaa.org/team/229/12424
Idaho,2016,http://stats.ncaa.org/team/295/12240
Illinois,2016,http://stats.ncaa.org/team/301/12240
Indiana,2016,http://stats.ncaa.org/team/306/12240
Iowa,2016,http://stats.ncaa.org/team/312/12240
Iowa St.,2016,http://stats.ncaa.org/team/311/12240
Kansas,2016,http://stats.ncaa.org/team/328/12240
Kansas St.,2016,http://stats.ncaa.org/team/327/12240
Kent St.,2016,http://stats.ncaa.org/team/331/12240
Kentucky,2016,http://stats.ncaa.org/team/334/12240
LSU,2016,http://stats.ncaa.org/team/365/12240
Louisiana,2014,http://stats.ncaa.org/team/671/11520
Louisiana Tech,2014,http://stats.ncaa.org/team/366/11520
Louisville,2014,http://stats.ncaa.org/team/367/11520
Marshall,2014,http://stats.ncaa.org/team/388/11520
Maryland,2014,http://stats.ncaa.org/team/392/11520
Massachusetts,2014,http://stats.ncaa.org/team/400/11520
Memphis,2014,http://stats.ncaa.org/team/404/11520
Miami (FL),2014,http://stats.ncaa.org/team/415/11520
Miami (OH),2014,http://stats.ncaa.org/team/414/11520
Michigan,2014,http://stats.ncaa.org/team/418/11520
Florida,2017,http://stats.ncaa.org/team/235/12424
Florida St.,2017,http://stats.ncaa.org/team/234/12424
Fresno St.,2017,http://stats.ncaa.org/team/96/12424
Ga. Southern,2017,http://stats.ncaa.org/team/253/12424
Georgia,2017,http://stats.ncaa.org/team/257/12424
Georgia St.,2017,http://stats.ncaa.org/team/254/12424
Georgia Tech,2017,http://stats.ncaa.org/team/255/12424
Hawaii,2017,http://stats.ncaa.org/team/277/12424
La.-Monroe,2016,http://stats.ncaa.org/team/498/12240
Louisiana,2016,http://stats.ncaa.org/team/671/12240
Louisiana Tech,2016,http://stats.ncaa.org/team/366/12240
Louisville,2016,http://stats.ncaa.org/team/367/12240
Marshall,2016,http://stats.ncaa.org/team/388/12240
Maryland,2016,http://stats.ncaa.org/team/392/12240
Massachusetts,2016,http://stats.ncaa.org/team/400/12240
Memphis,2016,http://stats.ncaa.org/team/404/12240
Michigan St.,2014,http://stats.ncaa.org/team/416/11520
Middle Tenn.,2014,http://stats.ncaa.org/team/419/11520
Minnesota,2014,http://stats.ncaa.org/team/428/11520
Mississippi St.,2014,http://stats.ncaa.org/team/430/11520
Missouri,2014,http://stats.ncaa.org/team/434/11520
NC State,2014,http://stats.ncaa.org/team/490/11520
Navy,2014,http://stats.ncaa.org/team/726/11520
Nebraska,2014,http://stats.ncaa.org/team/463/11520
Houston,2017,http://stats.ncaa.org/team/288/12424
Idaho,2017,http://stats.ncaa.org/team/295/12424
Illinois,2017,http://stats.ncaa.org/team/301/12424
Indiana,2017,http://stats.ncaa.org/team/306/12424
Iowa,2017,http://stats.ncaa.org/team/312/12424
Iowa St.,2017,http://stats.ncaa.org/team/311/12424
Kansas,2017,http://stats.ncaa.org/team/328/12424
Kansas St.,2017,http://stats.ncaa.org/team/327/12424
Miami (FL),2016,http://stats.ncaa.org/team/415/12240
Miami (OH),2016,http://stats.ncaa.org/team/414/12240
Michigan,2016,http://stats.ncaa.org/team/418/12240
Michigan St.,2016,http://stats.ncaa.org/team/416/12240
Middle Tenn.,2016,http://stats.ncaa.org/team/419/12240
Minnesota,2016,http://stats.ncaa.org/team/428/12240
Mississippi St.,2016,http://stats.ncaa.org/team/430/12240
Missouri,2016,http://stats.ncaa.org/team/434/12240
Nevada,2014,http://stats.ncaa.org/team/466/11520
New Mexico,2014,http://stats.ncaa.org/team/473/11520
New Mexico St.,2014,http://stats.ncaa.org/team/472/11520
North Carolina,2014,http://stats.ncaa.org/team/457/11520
North Texas,2014,http://stats.ncaa.org/team/497/11520
Northern Ill.,2014,http://stats.ncaa.org/team/503/11520
Northwestern,2014,http://stats.ncaa.org/team/509/11520
Kent St.,2017,http://stats.ncaa.org/team/331/12424
Kentucky,2017,http://stats.ncaa.org/team/334/12424
LSU,2017,http://stats.ncaa.org/team/365/12424
La.-Monroe,2017,http://stats.ncaa.org/team/498/12424
Louisiana,2017,http://stats.ncaa.org/team/671/12424
Louisiana Tech,2017,http://stats.ncaa.org/team/366/12424
Louisville,2017,http://stats.ncaa.org/team/367/12424
NC State,2016,http://stats.ncaa.org/team/490/12240
Navy,2016,http://stats.ncaa.org/team/726/12240
Nebraska,2016,http://stats.ncaa.org/team/463/12240
Nevada,2016,http://stats.ncaa.org/team/466/12240
New Mexico,2016,http://stats.ncaa.org/team/473/12240
New Mexico St.,2016,http://stats.ncaa.org/team/472/12240
North Carolina,2016,http://stats.ncaa.org/team/457/12240
North Texas,2016,http://stats.ncaa.org/team/497/12240
Notre Dame,2014,http://stats.ncaa.org/team/513/11520
Ohio,2014,http://stats.ncaa.org/team/519/11520
Ohio St.,2014,http://stats.ncaa.org/team/518/11520
Oklahoma,2014,http://stats.ncaa.org/team/522/11520
Oklahoma St.,2014,http://stats.ncaa.org/team/521/11520
Old Dominion,2014,http://stats.ncaa.org/team/523/11520
Ole Miss,2014,http://stats.ncaa.org/team/433/11520
Oregon,2014,http://stats.ncaa.org/team/529/11520
Oregon St.,2014,http://stats.ncaa.org/team/528/11520
Penn St.,2014,http://stats.ncaa.org/team/539/11520
Marshall,2017,http://stats.ncaa.org/team/388/12424
Maryland,2017,http://stats.ncaa.org/team/392/12424
Massachusetts,2017,http://stats.ncaa.org/team/400/12424
Memphis,2017,http://stats.ncaa.org/team/404/12424
Miami (FL),2017,http://stats.ncaa.org/team/415/12424
Miami (OH),2017,http://stats.ncaa.org/team/414/12424
Michigan,2017,http://stats.ncaa.org/team/418/12424
Michigan St.,2017,http://stats.ncaa.org/team/416/12424
Middle Tenn.,2017,http://stats.ncaa.org/team/419/12424
Northern Ill.,2016,http://stats.ncaa.org/team/503/12240
Northwestern,2016,http://stats.ncaa.org/team/509/12240
Notre Dame,2016,http://stats.ncaa.org/team/513/12240
Ohio,2016,http://stats.ncaa.org/team/519/12240
Ohio St.,2016,http://stats.ncaa.org/team/518/12240
